Mes y año	Mes (código)	Sexo	Nivel formativo grupo IAEST descripción	Nivel formativo grupo IAEST código	Número de contratos	CCAA nombre
Septiembre 2020	202009	Hombres	Bachillerato	31	3967	Aragón
Septiembre 2020	202009	Mujeres	Bachillerato	31	3719	Aragón
Septiembre 2020	202009	Hombres	Enseñanza media de formación profesional	32	1566	Aragón
Septiembre 2020	202009	Mujeres	Enseñanza media de formación profesional	32	1323	Aragón
Septiembre 2020	202009	Hombres	Enseñanza superior de formación profesional	41	945	Aragón
Septiembre 2020	202009	Mujeres	Enseñanza superior de formación profesional	41	754	Aragón
Septiembre 2020	202009	Hombres	Enseñanza superior universitaria	42	2278	Aragón
Septiembre 2020	202009	Mujeres	Enseñanza superior universitaria	42	3121	Aragón
Agosto 2020	202008	Hombres	Educación Primaria o inferior	10	8205	Aragón
Agosto 2020	202008	Mujeres	Educación Primaria o inferior	10	5636	Aragón
Agosto 2020	202008	Hombres	Primera etapa de educación secundaria	20	6500	Aragón
Agosto 2020	202008	Mujeres	Primera etapa de educación secundaria	20	4945	Aragón
Agosto 2020	202008	Hombres	Bachillerato	31	2663	Aragón
Agosto 2020	202008	Mujeres	Bachillerato	31	2359	Aragón
Agosto 2020	202008	Hombres	Enseñanza media de formación profesional	32	941	Aragón
Agosto 2020	202008	Mujeres	Enseñanza media de formación profesional	32	904	Aragón
Agosto 2020	202008	Hombres	Enseñanza superior de formación profesional	41	623	Aragón
Agosto 2020	202008	Mujeres	Enseñanza superior de formación profesional	41	449	Aragón
Agosto 2020	202008	Hombres	Enseñanza superior universitaria	42	1299	Aragón
Agosto 2020	202008	Mujeres	Enseñanza superior universitaria	42	1447	Aragón
Julio 2020	202007	Hombres	Educación Primaria o inferior	10	10776	Aragón
Julio 2020	202007	Mujeres	Educación Primaria o inferior	10	7281	Aragón
Julio 2020	202007	Hombres	Primera etapa de educación secundaria	20	8145	Aragón
Julio 2020	202007	Mujeres	Primera etapa de educación secundaria	20	5730	Aragón
Julio 2020	202007	Hombres	Bachillerato	31	4055	Aragón
Julio 2020	202007	Mujeres	Bachillerato	31	3414	Aragón
Julio 2020	202007	Hombres	Enseñanza media de formación profesional	32	1457	Aragón
Julio 2020	202007	Mujeres	Enseñanza media de formación profesional	32	1334	Aragón
Julio 2020	202007	Hombres	Enseñanza superior de formación profesional	41	881	Aragón
Julio 2020	202007	Mujeres	Enseñanza superior de formación profesional	41	682	Aragón
Julio 2020	202007	Hombres	Enseñanza superior universitaria	42	1495	Aragón
Julio 2020	202007	Mujeres	Enseñanza superior universitaria	42	1942	Aragón
Junio 2020	202006	Hombres	Educación Primaria o inferior	10	12019	Aragón
Junio 2020	202006	Mujeres	Educación Primaria o inferior	10	6902	Aragón
Junio 2020	202006	Hombres	Primera etapa de educación secundaria	20	6100	Aragón
Junio 2020	202006	Mujeres	Primera etapa de educación secundaria	20	4008	Aragón
Junio 2020	202006	Hombres	Bachillerato	31	2365	Aragón
Junio 2020	202006	Mujeres	Bachillerato	31	2006	Aragón
Junio 2020	202006	Hombres	Enseñanza media de formación profesional	32	944	Aragón
Junio 2020	202006	Mujeres	Enseñanza media de formación profesional	32	880	Aragón
Junio 2020	202006	Hombres	Enseñanza superior de formación profesional	41	597	Aragón
Junio 2020	202006	Mujeres	Enseñanza superior de formación profesional	41	481	Aragón
Junio 2020	202006	Hombres	Enseñanza superior universitaria	42	1144	Aragón
Junio 2020	202006	Mujeres	Enseñanza superior universitaria	42	1427	Aragón
Mayo 2020	202005	Hombres	Educación Primaria o inferior	10	10378	Aragón
Mayo 2020	202005	Mujeres	Educación Primaria o inferior	10	4723	Aragón
Mayo 2020	202005	Hombres	Primera etapa de educación secundaria	20	4842	Aragón
Mayo 2020	202005	Mujeres	Primera etapa de educación secundaria	20	3043	Aragón
Mayo 2020	202005	Hombres	Bachillerato	31	1997	Aragón
Mayo 2020	202005	Mujeres	Bachillerato	31	1471	Aragón
Mayo 2020	202005	Hombres	Enseñanza media de formación profesional	32	616	Aragón
Mayo 2020	202005	Mujeres	Enseñanza media de formación profesional	32	653	Aragón
Mayo 2020	202005	Hombres	Enseñanza superior de formación profesional	41	380	Aragón
Mayo 2020	202005	Mujeres	Enseñanza superior de formación profesional	41	325	Aragón
Mayo 2020	202005	Hombres	Enseñanza superior universitaria	42	686	Aragón
Mayo 2020	202005	Mujeres	Enseñanza superior universitaria	42	921	Aragón
Abril 2020	202004	Hombres	Educación Primaria o inferior	10	6111	Aragón
Abril 2020	202004	Mujeres	Educación Primaria o inferior	10	2751	Aragón
Abril 2020	202004	Hombres	Primera etapa de educación secundaria	20	3066	Aragón
Abril 2020	202004	Mujeres	Primera etapa de educación secundaria	20	2115	Aragón
Abril 2020	202004	Hombres	Bachillerato	31	1116	Aragón
Abril 2020	202004	Mujeres	Bachillerato	31	965	Aragón
Abril 2020	202004	Hombres	Enseñanza media de formación profesional	32	467	Aragón
Abril 2020	202004	Mujeres	Enseñanza media de formación profesional	32	546	Aragón
Abril 2020	202004	Hombres	Enseñanza superior de formación profesional	41	268	Aragón
Abril 2020	202004	Mujeres	Enseñanza superior de formación profesional	41	244	Aragón
Abril 2020	202004	Hombres	Enseñanza superior universitaria	42	560	Aragón
Abril 2020	202004	Mujeres	Enseñanza superior universitaria	42	761	Aragón
Marzo 2020	202003	Hombres	Educación Primaria o inferior	10	6814	Aragón
Marzo 2020	202003	Mujeres	Educación Primaria o inferior	10	5091	Aragón
Marzo 2020	202003	Hombres	Primera etapa de educación secundaria	20	5825	Aragón
Marzo 2020	202003	Mujeres	Primera etapa de educación secundaria	20	4330	Aragón
Marzo 2020	202003	Hombres	Bachillerato	31	2635	Aragón
Marzo 2020	202003	Mujeres	Bachillerato	31	2620	Aragón
Marzo 2020	202003	Hombres	Enseñanza media de formación profesional	32	1100	Aragón
Marzo 2020	202003	Mujeres	Enseñanza media de formación profesional	32	1079	Aragón
Marzo 2020	202003	Hombres	Enseñanza superior de formación profesional	41	612	Aragón
Marzo 2020	202003	Mujeres	Enseñanza superior de formación profesional	41	602	Aragón
Marzo 2020	202003	Hombres	Enseñanza superior universitaria	42	1473	Aragón
Marzo 2020	202003	Mujeres	Enseñanza superior universitaria	42	1733	Aragón
Febrero 2020	202002	Hombres	Educación Primaria o inferior	10	9249	Aragón
Febrero 2020	202002	Mujeres	Educación Primaria o inferior	10	6657	Aragón
Febrero 2020	202002	Hombres	Primera etapa de educación secundaria	20	7881	Aragón
Febrero 2020	202002	Mujeres	Primera etapa de educación secundaria	20	6345	Aragón
Febrero 2020	202002	Hombres	Bachillerato	31	3171	Aragón
Febrero 2020	202002	Mujeres	Bachillerato	31	3300	Aragón
Febrero 2020	202002	Hombres	Enseñanza media de formación profesional	32	1425	Aragón
Febrero 2020	202002	Mujeres	Enseñanza media de formación profesional	32	1249	Aragón
Febrero 2020	202002	Hombres	Enseñanza superior de formación profesional	41	754	Aragón
Febrero 2020	202002	Mujeres	Enseñanza superior de formación profesional	41	791	Aragón
Febrero 2020	202002	Hombres	Enseñanza superior universitaria	42	1772	Aragón
Febrero 2020	202002	Mujeres	Enseñanza superior universitaria	42	2289	Aragón
Enero 2020	202001	Hombres	Educación Primaria o inferior	10	9221	Aragón
Enero 2020	202001	Mujeres	Educación Primaria o inferior	10	6868	Aragón
Enero 2020	202001	Hombres	Primera etapa de educación secundaria	20	7953	Aragón
Enero 2020	202001	Mujeres	Primera etapa de educación secundaria	20	6240	Aragón
Enero 2020	202001	Hombres	Bachillerato	31	3489	Aragón
Enero 2020	202001	Mujeres	Bachillerato	31	3714	Aragón
Enero 2020	202001	Hombres	Enseñanza media de formación profesional	32	1669	Aragón
Enero 2020	202001	Mujeres	Enseñanza media de formación profesional	32	1371	Aragón
Enero 2020	202001	Hombres	Enseñanza superior de formación profesional	41	945	Aragón
Enero 2020	202001	Mujeres	Enseñanza superior de formación profesional	41	895	Aragón
Enero 2020	202001	Hombres	Enseñanza superior universitaria	42	1867	Aragón
Enero 2020	202001	Mujeres	Enseñanza superior universitaria	42	2414	Aragón
Diciembre 2019	201912	Hombres	Educación Primaria o inferior	10	7542	Aragón
Diciembre 2019	201912	Mujeres	Educación Primaria o inferior	10	6777	Aragón
Diciembre 2019	201912	Hombres	Primera etapa de educación secundaria	20	7475	Aragón
Diciembre 2019	201912	Mujeres	Primera etapa de educación secundaria	20	6325	Aragón
Diciembre 2019	201912	Hombres	Bachillerato	31	3258	Aragón
Diciembre 2019	201912	Mujeres	Bachillerato	31	3817	Aragón
Diciembre 2019	201912	Hombres	Enseñanza media de formación profesional	32	1313	Aragón
Diciembre 2019	201912	Mujeres	Enseñanza media de formación profesional	32	1377	Aragón
Diciembre 2019	201912	Hombres	Enseñanza superior de formación profesional	41	711	Aragón
Diciembre 2019	201912	Mujeres	Enseñanza superior de formación profesional	41	764	Aragón
Diciembre 2019	201912	Hombres	Enseñanza superior universitaria	42	1460	Aragón
Diciembre 2019	201912	Mujeres	Enseñanza superior universitaria	42	2064	Aragón
Noviembre 2019	201911	Hombres	Educación Primaria o inferior	10	8779	Aragón
Noviembre 2019	201911	Mujeres	Educación Primaria o inferior	10	7084	Aragón
Noviembre 2019	201911	Hombres	Primera etapa de educación secundaria	20	7975	Aragón
Noviembre 2019	201911	Mujeres	Primera etapa de educación secundaria	20	6744	Aragón
Noviembre 2019	201911	Hombres	Bachillerato	31	3604	Aragón
Noviembre 2019	201911	Mujeres	Bachillerato	31	3910	Aragón
Noviembre 2019	201911	Hombres	Enseñanza media de formación profesional	32	1500	Aragón
Noviembre 2019	201911	Mujeres	Enseñanza media de formación profesional	32	1367	Aragón
Noviembre 2019	201911	Hombres	Enseñanza superior de formación profesional	41	862	Aragón
Noviembre 2019	201911	Mujeres	Enseñanza superior de formación profesional	41	817	Aragón
Noviembre 2019	201911	Hombres	Enseñanza superior universitaria	42	1714	Aragón
Noviembre 2019	201911	Mujeres	Enseñanza superior universitaria	42	2173	Aragón
Octubre 2019	201910	Hombres	Educación Primaria o inferior	10	11810	Aragón
Octubre 2019	201910	Mujeres	Educación Primaria o inferior	10	9649	Aragón
Octubre 2019	201910	Hombres	Primera etapa de educación secundaria	20	10214	Aragón
Octubre 2019	201910	Mujeres	Primera etapa de educación secundaria	20	8775	Aragón
Octubre 2019	201910	Hombres	Bachillerato	31	4526	Aragón
Octubre 2019	201910	Mujeres	Bachillerato	31	4695	Aragón
Octubre 2019	201910	Hombres	Enseñanza media de formación profesional	32	1706	Aragón
Octubre 2019	201910	Mujeres	Enseñanza media de formación profesional	32	1695	Aragón
Octubre 2019	201910	Hombres	Enseñanza superior de formación profesional	41	979	Aragón
Octubre 2019	201910	Mujeres	Enseñanza superior de formación profesional	41	939	Aragón
Octubre 2019	201910	Hombres	Enseñanza superior universitaria	42	2668	Aragón
Octubre 2019	201910	Mujeres	Enseñanza superior universitaria	42	3346	Aragón
Septiembre 2019	201909	Hombres	Educación Primaria o inferior	10	12698	Aragón
Septiembre 2019	201909	Mujeres	Educación Primaria o inferior	10	9097	Aragón
Septiembre 2019	201909	Hombres	Primera etapa de educación secundaria	20	10418	Aragón
Septiembre 2019	201909	Mujeres	Primera etapa de educación secundaria	20	8354	Aragón
Septiembre 2019	201909	Hombres	Bachillerato	31	4644	Aragón
Septiembre 2019	201909	Mujeres	Bachillerato	31	4690	Aragón
Septiembre 2019	201909	Hombres	Enseñanza media de formación profesional	32	1742	Aragón
Septiembre 2019	201909	Mujeres	Enseñanza media de formación profesional	32	1637	Aragón
Septiembre 2019	201909	Hombres	Enseñanza superior de formación profesional	41	989	Aragón
Septiembre 2019	201909	Mujeres	Enseñanza superior de formación profesional	41	897	Aragón
Septiembre 2019	201909	Hombres	Enseñanza superior universitaria	42	2548	Aragón
Septiembre 2019	201909	Mujeres	Enseñanza superior universitaria	42	3356	Aragón
Agosto 2019	201908	Hombres	Educación Primaria o inferior	10	10953	Aragón
Agosto 2019	201908	Mujeres	Educación Primaria o inferior	10	7629	Aragón
Agosto 2019	201908	Hombres	Primera etapa de educación secundaria	20	8817	Aragón
Agosto 2019	201908	Mujeres	Primera etapa de educación secundaria	20	6422	Aragón
Agosto 2019	201908	Hombres	Bachillerato	31	3560	Aragón
Agosto 2019	201908	Mujeres	Bachillerato	31	2997	Aragón
Agosto 2019	201908	Hombres	Enseñanza media de formación profesional	32	1292	Aragón
Agosto 2019	201908	Mujeres	Enseñanza media de formación profesional	32	1145	Aragón
Agosto 2019	201908	Hombres	Enseñanza superior de formación profesional	41	619	Aragón
Agosto 2019	201908	Mujeres	Enseñanza superior de formación profesional	41	574	Aragón
Agosto 2019	201908	Hombres	Enseñanza superior universitaria	42	1315	Aragón
Agosto 2019	201908	Mujeres	Enseñanza superior universitaria	42	1542	Aragón
Julio 2019	201907	Hombres	Educación Primaria o inferior	10	14770	Aragón
Julio 2019	201907	Mujeres	Educación Primaria o inferior	10	10654	Aragón
Julio 2019	201907	Hombres	Primera etapa de educación secundaria	20	11401	Aragón
Julio 2019	201907	Mujeres	Primera etapa de educación secundaria	20	8273	Aragón
Julio 2019	201907	Hombres	Bachillerato	31	5165	Aragón
Julio 2019	201907	Mujeres	Bachillerato	31	5030	Aragón
Julio 2019	201907	Hombres	Enseñanza media de formación profesional	32	1818	Aragón
Julio 2019	201907	Mujeres	Enseñanza media de formación profesional	32	1618	Aragón
Julio 2019	201907	Hombres	Enseñanza superior de formación profesional	41	1100	Aragón
Julio 2019	201907	Mujeres	Enseñanza superior de formación profesional	41	880	Aragón
Julio 2019	201907	Hombres	Enseñanza superior universitaria	42	1900	Aragón
Julio 2019	201907	Mujeres	Enseñanza superior universitaria	42	2356	Aragón
Junio 2019	201906	Hombres	Educación Primaria o inferior	10	15491	Aragón
Junio 2019	201906	Mujeres	Educación Primaria o inferior	10	10279	Aragón
Junio 2019	201906	Hombres	Primera etapa de educación secundaria	20	10709	Aragón
Junio 2019	201906	Mujeres	Primera etapa de educación secundaria	20	8221	Aragón
Junio 2019	201906	Hombres	Bachillerato	31	4479	Aragón
Junio 2019	201906	Mujeres	Bachillerato	31	4544	Aragón
Junio 2019	201906	Hombres	Enseñanza media de formación profesional	32	1920	Aragón
Junio 2019	201906	Mujeres	Enseñanza media de formación profesional	32	1506	Aragón
Junio 2019	201906	Hombres	Enseñanza superior de formación profesional	41	992	Aragón
Junio 2019	201906	Mujeres	Enseñanza superior de formación profesional	41	895	Aragón
Junio 2019	201906	Hombres	Enseñanza superior universitaria	42	1828	Aragón
Junio 2019	201906	Mujeres	Enseñanza superior universitaria	42	2147	Aragón
Mayo 2019	201905	Hombres	Educación Primaria o inferior	10	18138	Aragón
Mayo 2019	201905	Mujeres	Educación Primaria o inferior	10	10708	Aragón
Mayo 2019	201905	Hombres	Primera etapa de educación secundaria	20	11277	Aragón
Mayo 2019	201905	Mujeres	Primera etapa de educación secundaria	20	8800	Aragón
Mayo 2019	201905	Hombres	Bachillerato	31	4056	Aragón
Mayo 2019	201905	Mujeres	Bachillerato	31	4225	Aragón
Mayo 2019	201905	Hombres	Enseñanza media de formación profesional	32	1710	Aragón
Mayo 2019	201905	Mujeres	Enseñanza media de formación profesional	32	1485	Aragón
Mayo 2019	201905	Hombres	Enseñanza superior de formación profesional	41	819	Aragón
Mayo 2019	201905	Mujeres	Enseñanza superior de formación profesional	41	870	Aragón
Mayo 2019	201905	Hombres	Enseñanza superior universitaria	42	1799	Aragón
Mayo 2019	201905	Mujeres	Enseñanza superior universitaria	42	2046	Aragón
Abril 2019	201904	Hombres	Educación Primaria o inferior	10	9786	Aragón
Abril 2019	201904	Mujeres	Educación Primaria o inferior	10	6892	Aragón
Abril 2019	201904	Hombres	Primera etapa de educación secundaria	20	8392	Aragón
Abril 2019	201904	Mujeres	Primera etapa de educación secundaria	20	6513	Aragón
Abril 2019	201904	Hombres	Bachillerato	31	3504	Aragón
Abril 2019	201904	Mujeres	Bachillerato	31	3665	Aragón
Abril 2019	201904	Hombres	Enseñanza media de formación profesional	32	1432	Aragón
Abril 2019	201904	Mujeres	Enseñanza media de formación profesional	32	1334	Aragón
Abril 2019	201904	Hombres	Enseñanza superior de formación profesional	41	782	Aragón
Abril 2019	201904	Mujeres	Enseñanza superior de formación profesional	41	676	Aragón
Abril 2019	201904	Hombres	Enseñanza superior universitaria	42	1665	Aragón
Abril 2019	201904	Mujeres	Enseñanza superior universitaria	42	1927	Aragón
Marzo 2019	201903	Hombres	Educación Primaria o inferior	10	8509	Aragón
Marzo 2019	201903	Mujeres	Educación Primaria o inferior	10	6385	Aragón
Marzo 2019	201903	Hombres	Primera etapa de educación secundaria	20	7971	Aragón
Marzo 2019	201903	Mujeres	Primera etapa de educación secundaria	20	6438	Aragón
Marzo 2019	201903	Hombres	Bachillerato	31	3586	Aragón
Marzo 2019	201903	Mujeres	Bachillerato	31	3699	Aragón
Marzo 2019	201903	Hombres	Enseñanza media de formación profesional	32	1732	Aragón
Marzo 2019	201903	Mujeres	Enseñanza media de formación profesional	32	1336	Aragón
Marzo 2019	201903	Hombres	Enseñanza superior de formación profesional	41	762	Aragón
Marzo 2019	201903	Mujeres	Enseñanza superior de formación profesional	41	708	Aragón
Marzo 2019	201903	Hombres	Enseñanza superior universitaria	42	1815	Aragón
Marzo 2019	201903	Mujeres	Enseñanza superior universitaria	42	2254	Aragón
Febrero 2019	201902	Hombres	Educación Primaria o inferior	10	7763	Aragón
Febrero 2019	201902	Mujeres	Educación Primaria o inferior	10	5827	Aragón
Febrero 2019	201902	Hombres	Primera etapa de educación secundaria	20	7257	Aragón
Febrero 2019	201902	Mujeres	Primera etapa de educación secundaria	20	5943	Aragón
Febrero 2019	201902	Hombres	Bachillerato	31	3155	Aragón
Febrero 2019	201902	Mujeres	Bachillerato	31	3222	Aragón
Febrero 2019	201902	Hombres	Enseñanza media de formación profesional	32	1438	Aragón
Febrero 2019	201902	Mujeres	Enseñanza media de formación profesional	32	1214	Aragón
Febrero 2019	201902	Hombres	Enseñanza superior de formación profesional	41	806	Aragón
Febrero 2019	201902	Mujeres	Enseñanza superior de formación profesional	41	692	Aragón
Febrero 2019	201902	Hombres	Enseñanza superior universitaria	42	1925	Aragón
Febrero 2019	201902	Mujeres	Enseñanza superior universitaria	42	2338	Aragón
Enero 2019	201901	Hombres	Educación Primaria o inferior	10	8106	Aragón
Enero 2019	201901	Mujeres	Educación Primaria o inferior	10	6254	Aragón
Enero 2019	201901	Hombres	Primera etapa de educación secundaria	20	9064	Aragón
Enero 2019	201901	Mujeres	Primera etapa de educación secundaria	20	7181	Aragón
Enero 2019	201901	Hombres	Bachillerato	31	3781	Aragón
Enero 2019	201901	Mujeres	Bachillerato	31	3763	Aragón
Enero 2019	201901	Hombres	Enseñanza media de formación profesional	32	1812	Aragón
Enero 2019	201901	Mujeres	Enseñanza media de formación profesional	32	1444	Aragón
Enero 2019	201901	Hombres	Enseñanza superior de formación profesional	41	958	Aragón
Enero 2019	201901	Mujeres	Enseñanza superior de formación profesional	41	801	Aragón
Enero 2019	201901	Hombres	Enseñanza superior universitaria	42	2092	Aragón
Enero 2019	201901	Mujeres	Enseñanza superior universitaria	42	2595	Aragón
Diciembre 2018	201812	Hombres	Educación Primaria o inferior	10	6728	Aragón
Diciembre 2018	201812	Mujeres	Educación Primaria o inferior	10	6227	Aragón
Diciembre 2018	201812	Hombres	Primera etapa de educación secundaria	20	7546	Aragón
Diciembre 2018	201812	Mujeres	Primera etapa de educación secundaria	20	6526	Aragón
Diciembre 2018	201812	Hombres	Bachillerato	31	3198	Aragón
Diciembre 2018	201812	Mujeres	Bachillerato	31	3631	Aragón
Diciembre 2018	201812	Hombres	Enseñanza media de formación profesional	32	1403	Aragón
Diciembre 2018	201812	Mujeres	Enseñanza media de formación profesional	32	1363	Aragón
Diciembre 2018	201812	Hombres	Enseñanza superior de formación profesional	41	674	Aragón
Diciembre 2018	201812	Mujeres	Enseñanza superior de formación profesional	41	677	Aragón
Diciembre 2018	201812	Hombres	Enseñanza superior universitaria	42	1536	Aragón
Diciembre 2018	201812	Mujeres	Enseñanza superior universitaria	42	2015	Aragón
Noviembre 2018	201811	Hombres	Educación Primaria o inferior	10	8790	Aragón
Noviembre 2018	201811	Mujeres	Educación Primaria o inferior	10	6826	Aragón
Noviembre 2018	201811	Hombres	Primera etapa de educación secundaria	20	8328	Aragón
Noviembre 2018	201811	Mujeres	Primera etapa de educación secundaria	20	6900	Aragón
Noviembre 2018	201811	Hombres	Bachillerato	31	3753	Aragón
Noviembre 2018	201811	Mujeres	Bachillerato	31	4253	Aragón
Noviembre 2018	201811	Hombres	Enseñanza media de formación profesional	32	1662	Aragón
Noviembre 2018	201811	Mujeres	Enseñanza media de formación profesional	32	1547	Aragón
Noviembre 2018	201811	Hombres	Enseñanza superior de formación profesional	41	935	Aragón
Noviembre 2018	201811	Mujeres	Enseñanza superior de formación profesional	41	901	Aragón
