Provincia código	Provincia nombre	Situación preferente	Edad	Sexo	Personas residentes viviendas familiares
22	Huesca	Dependientes	16-25	Hombres	5
22	Huesca	Dependientes	16-25	Mujeres	4
22	Huesca	Dependientes	26-45	Hombres	24
22	Huesca	Dependientes	26-45	Mujeres	33
22	Huesca	Dependientes	46-64	Hombres	14
22	Huesca	Dependientes	46-64	Mujeres	41
22	Huesca	Dependientes	65 y más	Hombres	44
22	Huesca	Dependientes	65 y más	Mujeres	306
22	Huesca	Realizando o compartiendo las labores del hogar	16-25	Hombres	29
22	Huesca	Realizando o compartiendo las labores del hogar	16-25	Mujeres	527
22	Huesca	Realizando o compartiendo las labores del hogar	26-45	Hombres	82
22	Huesca	Realizando o compartiendo las labores del hogar	26-45	Mujeres	6844
22	Huesca	Realizando o compartiendo las labores del hogar	46-64	Hombres	79
22	Huesca	Realizando o compartiendo las labores del hogar	46-64	Mujeres	10913
22	Huesca	Realizando o compartiendo las labores del hogar	65 y más	Hombres	170
22	Huesca	Realizando o compartiendo las labores del hogar	65 y más	Mujeres	8876
22	Huesca	Otra situación	16-25	Hombres	54
22	Huesca	Otra situación	16-25	Mujeres	36
22	Huesca	Otra situación	26-45	Hombres	111
22	Huesca	Otra situación	26-45	Mujeres	95
22	Huesca	Otra situación	46-64	Hombres	95
22	Huesca	Otra situación	46-64	Mujeres	76
22	Huesca	Otra situación	65 y más	Hombres	37
22	Huesca	Otra situación	65 y más	Mujeres	281
44	Teruel	Estudiantes	16-25	Hombres	3251
44	Teruel	Estudiantes	16-25	Mujeres	3959
44	Teruel	Estudiantes	26-45	Hombres	161
44	Teruel	Estudiantes	26-45	Mujeres	316
44	Teruel	Estudiantes	46-64	Hombres	7
44	Teruel	Estudiantes	46-64	Mujeres	49
44	Teruel	Estudiantes	65 y más	Hombres	6
44	Teruel	Estudiantes	65 y más	Mujeres	31
44	Teruel	Ocupados	16-25	Hombres	4290
44	Teruel	Ocupados	16-25	Mujeres	2358
44	Teruel	Ocupados	26-45	Hombres	18471
44	Teruel	Ocupados	26-45	Mujeres	10822
44	Teruel	Ocupados	46-64	Hombres	9913
44	Teruel	Ocupados	46-64	Mujeres	4354
44	Teruel	Ocupados	65 y más	Hombres	237
44	Teruel	Ocupados	65 y más	Mujeres	179
44	Teruel	Parados buscando el primer empleo	16-25	Hombres	190
44	Teruel	Parados buscando el primer empleo	16-25	Mujeres	267
44	Teruel	Parados buscando el primer empleo	26-45	Hombres	80
44	Teruel	Parados buscando el primer empleo	26-45	Mujeres	173
44	Teruel	Parados buscando el primer empleo	46-64	Hombres	16
44	Teruel	Parados buscando el primer empleo	46-64	Mujeres	26
44	Teruel	Parados que han trabajado antes	16-25	Hombres	348
44	Teruel	Parados que han trabajado antes	16-25	Mujeres	351
44	Teruel	Parados que han trabajado antes	26-45	Hombres	738
44	Teruel	Parados que han trabajado antes	26-45	Mujeres	1181
44	Teruel	Parados que han trabajado antes	46-64	Hombres	333
44	Teruel	Parados que han trabajado antes	46-64	Mujeres	222
44	Teruel	Parados que han trabajado antes	65 y más	Hombres	3
44	Teruel	Parados que han trabajado antes	65 y más	Mujeres	10
44	Teruel	Pensionistas de invalidez	16-25	Hombres	23
44	Teruel	Pensionistas de invalidez	16-25	Mujeres	13
44	Teruel	Pensionistas de invalidez	26-45	Hombres	496
44	Teruel	Pensionistas de invalidez	26-45	Mujeres	157
44	Teruel	Pensionistas de invalidez	46-64	Hombres	699
44	Teruel	Pensionistas de invalidez	46-64	Mujeres	267
44	Teruel	Pensionistas de invalidez	65 y más	Hombres	259
44	Teruel	Pensionistas de invalidez	65 y más	Mujeres	226
44	Teruel	Pensionistas de viudedad u orfandad	16-25	Hombres	2
44	Teruel	Pensionistas de viudedad u orfandad	16-25	Mujeres	2
44	Teruel	Pensionistas de viudedad u orfandad	26-45	Hombres	4
44	Teruel	Pensionistas de viudedad u orfandad	26-45	Mujeres	52
44	Teruel	Pensionistas de viudedad u orfandad	46-64	Hombres	16
44	Teruel	Pensionistas de viudedad u orfandad	46-64	Mujeres	544
44	Teruel	Pensionistas de viudedad u orfandad	65 y más	Hombres	74
44	Teruel	Pensionistas de viudedad u orfandad	65 y más	Mujeres	5185
44	Teruel	Pensionistas de jubilación	46-64	Hombres	2866
44	Teruel	Pensionistas de jubilación	46-64	Mujeres	499
44	Teruel	Pensionistas de jubilación	65 y más	Hombres	15503
44	Teruel	Pensionistas de jubilación	65 y más	Mujeres	6936
44	Teruel	Realizando tareas de voluntariado	16-25	Hombres	7
44	Teruel	Realizando tareas de voluntariado	16-25	Mujeres	1
44	Teruel	Realizando tareas de voluntariado	26-45	Hombres	2
44	Teruel	Realizando tareas de voluntariado	26-45	Mujeres	6
44	Teruel	Realizando tareas de voluntariado	46-64	Hombres	3
44	Teruel	Realizando tareas de voluntariado	46-64	Mujeres	7
44	Teruel	Realizando tareas de voluntariado	65 y más	Hombres	2
44	Teruel	Realizando tareas de voluntariado	65 y más	Mujeres	9
44	Teruel	Dependientes	16-25	Hombres	13
44	Teruel	Dependientes	16-25	Mujeres	4
44	Teruel	Dependientes	26-45	Hombres	35
44	Teruel	Dependientes	26-45	Mujeres	19
44	Teruel	Dependientes	46-64	Hombres	13
44	Teruel	Dependientes	46-64	Mujeres	19
44	Teruel	Dependientes	65 y más	Hombres	18
44	Teruel	Dependientes	65 y más	Mujeres	106
44	Teruel	Realizando o compartiendo las labores del hogar	16-25	Hombres	12
44	Teruel	Realizando o compartiendo las labores del hogar	16-25	Mujeres	282
44	Teruel	Realizando o compartiendo las labores del hogar	26-45	Hombres	42
44	Teruel	Realizando o compartiendo las labores del hogar	26-45	Mujeres	5096
44	Teruel	Realizando o compartiendo las labores del hogar	46-64	Hombres	43
44	Teruel	Realizando o compartiendo las labores del hogar	46-64	Mujeres	6843
44	Teruel	Realizando o compartiendo las labores del hogar	65 y más	Hombres	108
44	Teruel	Realizando o compartiendo las labores del hogar	65 y más	Mujeres	6030
44	Teruel	Otra situación	16-25	Hombres	21
44	Teruel	Otra situación	16-25	Mujeres	19
44	Teruel	Otra situación	26-45	Hombres	66
44	Teruel	Otra situación	26-45	Mujeres	41
44	Teruel	Otra situación	46-64	Hombres	44
44	Teruel	Otra situación	46-64	Mujeres	29
44	Teruel	Otra situación	65 y más	Hombres	8
44	Teruel	Otra situación	65 y más	Mujeres	74
50	Zaragoza	Estudiantes	16-25	Hombres	23420
50	Zaragoza	Estudiantes	16-25	Mujeres	25649
50	Zaragoza	Estudiantes	26-45	Hombres	2071
50	Zaragoza	Estudiantes	26-45	Mujeres	3150
50	Zaragoza	Estudiantes	46-64	Hombres	195
50	Zaragoza	Estudiantes	46-64	Mujeres	1107
50	Zaragoza	Estudiantes	65 y más	Hombres	142
50	Zaragoza	Estudiantes	65 y más	Mujeres	440
50	Zaragoza	Ocupados	16-25	Hombres	27854
50	Zaragoza	Ocupados	16-25	Mujeres	21288
50	Zaragoza	Ocupados	26-45	Hombres	122697
50	Zaragoza	Ocupados	26-45	Mujeres	82272
50	Zaragoza	Ocupados	46-64	Hombres	70957
50	Zaragoza	Ocupados	46-64	Mujeres	32032
50	Zaragoza	Ocupados	65 y más	Hombres	2006
50	Zaragoza	Ocupados	65 y más	Mujeres	1717
50	Zaragoza	Parados buscando el primer empleo	16-25	Hombres	2158
50	Zaragoza	Parados buscando el primer empleo	16-25	Mujeres	2359
50	Zaragoza	Parados buscando el primer empleo	26-45	Hombres	1425
50	Zaragoza	Parados buscando el primer empleo	26-45	Mujeres	1968
50	Zaragoza	Parados buscando el primer empleo	46-64	Hombres	275
50	Zaragoza	Parados buscando el primer empleo	46-64	Mujeres	445
50	Zaragoza	Parados que han trabajado antes	16-25	Hombres	3767
50	Zaragoza	Parados que han trabajado antes	16-25	Mujeres	3765
50	Zaragoza	Parados que han trabajado antes	26-45	Hombres	7295
50	Zaragoza	Parados que han trabajado antes	26-45	Mujeres	12875
50	Zaragoza	Parados que han trabajado antes	46-64	Hombres	4119
50	Zaragoza	Parados que han trabajado antes	46-64	Mujeres	4158
50	Zaragoza	Parados que han trabajado antes	65 y más	Hombres	59
50	Zaragoza	Parados que han trabajado antes	65 y más	Mujeres	93
50	Zaragoza	Pensionistas de invalidez	16-25	Hombres	159
50	Zaragoza	Pensionistas de invalidez	16-25	Mujeres	89
50	Zaragoza	Pensionistas de invalidez	26-45	Hombres	2027
50	Zaragoza	Pensionistas de invalidez	26-45	Mujeres	1125
50	Zaragoza	Pensionistas de invalidez	46-64	Hombres	5873
50	Zaragoza	Pensionistas de invalidez	46-64	Mujeres	2280
50	Zaragoza	Pensionistas de invalidez	65 y más	Hombres	3479
50	Zaragoza	Pensionistas de invalidez	65 y más	Mujeres	2001
50	Zaragoza	Pensionistas de viudedad u orfandad	16-25	Hombres	37
50	Zaragoza	Pensionistas de viudedad u orfandad	16-25	Mujeres	39
50	Zaragoza	Pensionistas de viudedad u orfandad	26-45	Hombres	119
50	Zaragoza	Pensionistas de viudedad u orfandad	26-45	Mujeres	441
50	Zaragoza	Pensionistas de viudedad u orfandad	46-64	Hombres	248
50	Zaragoza	Pensionistas de viudedad u orfandad	46-64	Mujeres	4614
50	Zaragoza	Pensionistas de viudedad u orfandad	65 y más	Hombres	734
50	Zaragoza	Pensionistas de viudedad u orfandad	65 y más	Mujeres	31940
50	Zaragoza	Pensionistas de jubilación	46-64	Hombres	10804
50	Zaragoza	Pensionistas de jubilación	46-64	Mujeres	3082
50	Zaragoza	Pensionistas de jubilación	65 y más	Hombres	63238
50	Zaragoza	Pensionistas de jubilación	65 y más	Mujeres	25971
50	Zaragoza	Realizando tareas de voluntariado	16-25	Hombres	28
50	Zaragoza	Realizando tareas de voluntariado	16-25	Mujeres	21
50	Zaragoza	Realizando tareas de voluntariado	26-45	Hombres	53
50	Zaragoza	Realizando tareas de voluntariado	26-45	Mujeres	116
50	Zaragoza	Realizando tareas de voluntariado	46-64	Hombres	25
50	Zaragoza	Realizando tareas de voluntariado	46-64	Mujeres	242
50	Zaragoza	Realizando tareas de voluntariado	65 y más	Hombres	24
50	Zaragoza	Realizando tareas de voluntariado	65 y más	Mujeres	88
50	Zaragoza	Dependientes	16-25	Hombres	68
50	Zaragoza	Dependientes	16-25	Mujeres	61
50	Zaragoza	Dependientes	26-45	Hombres	176
50	Zaragoza	Dependientes	26-45	Mujeres	170
50	Zaragoza	Dependientes	46-64	Hombres	70
50	Zaragoza	Dependientes	46-64	Mujeres	211
50	Zaragoza	Dependientes	65 y más	Hombres	182
50	Zaragoza	Dependientes	65 y más	Mujeres	1295
50	Zaragoza	Realizando o compartiendo las labores del hogar	16-25	Hombres	100
50	Zaragoza	Realizando o compartiendo las labores del hogar	16-25	Mujeres	1620
50	Zaragoza	Realizando o compartiendo las labores del hogar	26-45	Hombres	399
50	Zaragoza	Realizando o compartiendo las labores del hogar	26-45	Mujeres	28316
50	Zaragoza	Realizando o compartiendo las labores del hogar	46-64	Hombres	443
50	Zaragoza	Realizando o compartiendo las labores del hogar	46-64	Mujeres	47625
50	Zaragoza	Realizando o compartiendo las labores del hogar	65 y más	Hombres	1035
50	Zaragoza	Realizando o compartiendo las labores del hogar	65 y más	Mujeres	30981
50	Zaragoza	Otra situación	16-25	Hombres	219
50	Zaragoza	Otra situación	16-25	Mujeres	182
50	Zaragoza	Otra situación	26-45	Hombres	515
50	Zaragoza	Otra situación	26-45	Mujeres	485
50	Zaragoza	Otra situación	46-64	Hombres	574
50	Zaragoza	Otra situación	46-64	Mujeres	496
50	Zaragoza	Otra situación	65 y más	Hombres	167
50	Zaragoza	Otra situación	65 y más	Mujeres	686
