Año	Código del municipio	Nombre del municipio	Superficie total de las explotaciones	Hectáreas en tierras labradas	Hectáreas en tierras para pastos permanentes	Hectáreas en especies arbóreas forestales	Hectáreas en otras tierras	Hectáreas en propiedad	Hectáreas en arrendamiento	Hectáreas en aparcería	Hectáreas en otros regímenes de tenencia de las tierras
1989	22202	Salas Bajas	861	632	0	3	227	843	19	0	0
1989	22203	Salillas	2589	1978	0	111	500	2070	117	402	0
1989	22204	Sallent de Gállego	13748	47	12298	800	602	10070	150	0	3528
1989	22205	San Esteban de Litera	5732	4261	20	275	1176	3886	689	1158	0
1989	22206	Sangarrén	2775	2275	307	1	192	2020	227	197	331
1989	22207	San Juan de Plan	4550	30	376	3682	463	4467	83	0	0
1989	22208	Santa Cilia	2754	966	65	285	1438	2319	153	282	0
1989	22209	Santa Cruz de la Serós	2690	487	200	866	1137	2586	86	18	0
1989	22212	Santaliestra y San Quílez	2724	208	0	295	2221	2590	135	0	0
1989	22213	Sariñena	21880	16097	447	505	4831	14253	3572	1051	3004
1989	22214	Secastilla	7756	674	40	3897	3145	7219	301	0	236
1989	22215	Seira	6825	0	351	3668	2806	6669	156	0	0
1989	22217	Sena	8777	5544	594	1440	1200	6416	299	1252	810
1989	22218	Senés de Alcubierre	1993	1483	483	0	27	1625	102	267	0
1989	22220	Sesa	2405	1971	0	150	284	1728	228	403	46
1989	22221	Sesué	362	0	233	2	126	270	92	0	0
1989	22222	Siétamo	4733	3265	240	474	754	2744	1511	58	420
1989	22223	Sopeira	3846	342	780	1571	1153	3302	542	2	0
1989	22225	Tamarite de Litera	9682	8703	126	24	830	8007	869	807	0
1989	22226	Tardienta	8492	4435	68	0	3989	7090	856	514	32
1989	22227	Tella-Sin	8495	11	3508	2298	2678	8358	137	0	0
1989	22228	Tierz	377	328	45	2	2	321	18	38	0
1989	22229	Tolva	6125	1686	1504	1164	1772	3774	2265	86	0
1989	22230	Torla-Ordesa	14295	27	9231	4360	678	14078	217	0	0
1989	22232	Torralba de Aragón	4068	2310	458	49	1251	3554	175	338	1
1989	22233	Torre la Ribera	3056	176	2247	185	448	2590	313	40	113
1989	22234	Torrente de Cinca	4067	2060	358	590	1059	3922	130	15	0
1989	22235	Torres de Alcanadre	1594	1428	128	9	29	1449	86	59	0
1989	22236	Torres de Barbués	1157	1049	71	5	32	739	307	100	12
1989	22239	Tramaced	1409	1106	228	0	75	1126	156	128	0
1989	22242	Valfarta	4096	3133	0	0	962	3144	71	852	29
1989	22243	Valle de Bardají	4512	187	80	1055	3190	4248	264	0	0
1989	22244	Valle de Lierp	3489	292	1305	922	971	3157	332	0	0
1989	22245	Velilla de Cinca	1092	462	591	25	14	1034	49	9	0
1989	22246	Beranuy	5550	219	3182	619	1530	4750	800	0	0
1989	22247	Viacamp y Litera	7141	361	1873	2748	2159	6801	340	0	0
1989	22248	Vicién	1576	1471	105	0	1	1409	167	0	0
1989	22249	Villanova	568	0	178	290	100	459	109	0	0
1989	22250	Villanúa	5716	75	2174	2683	784	5571	145	0	0
1989	22251	Villanueva de Sigena	13340	8723	287	200	4131	10195	2046	1100	0
1989	22252	Yebra de Basa	7603	498	428	2235	4442	6444	551	0	607
1989	22253	Yésero	2786	5	759	1026	996	2778	7	0	0
1989	22254	Zaidín	8212	4932	2571	93	616	7320	555	320	16
1989	22901	Valle de Hecho	22469	254	9984	10352	1879	22318	151	0	0
1989	22902	Puente la Reina de Jaca	4348	2006	9	1150	1182	4114	225	9	0
1989	22903	San Miguel del Cinca	9359	7314	481	94	1470	5819	683	979	1877
1989	22904	Sotonera (La)	14996	9513	564	972	3947	13872	1114	10	0
1989	22905	Lupiñén-Ortilla	10123	8762	98	260	1004	8790	1244	90	0
1989	22906	Santa María de Dulcis	2162	1006	19	381	756	1981	152	0	29
1989	22907	Aínsa-Sobrarbe	25974	3418	3629	8002	10925	23743	2045	0	187
1989	22908	Hoz y Costeán	5352	2308	34	525	2485	4917	368	67	0
1989	22909	Vencillón	935	817	0	55	63	924	11	0	0
1989	44001	Ababuj	5443	1933	2979	425	107	3818	711	104	811
1989	44002	Abejuela	7873	409	0	1748	5715	7264	326	0	283
1989	44003	Aguatón	2109	641	1424	2	42	1828	243	29	9
1989	44004	Aguaviva	3864	963	3	1051	1848	3351	410	0	103
1989	44005	Aguilar del Alfambra	3811	1231	2057	283	240	1080	601	0	2130
1989	44006	Alacón	4570	1633	57	308	2571	3366	709	137	358
1989	44007	Alba	6666	2318	4090	37	221	5242	907	227	290
1989	44008	Albalate del Arzobispo	20632	9254	2234	3401	5742	10188	811	5044	4588
1989	44009	Albarracín	46036	2903	3504	18377	21252	8265	1631	619	35521
1989	44010	Albentosa	6113	935	2820	1440	918	4603	717	0	793
1989	44011	Alcaine	4912	165	100	1872	2775	2630	103	34	2145
1989	44012	Alcalá de la Selva	10795	558	4013	4792	1432	6218	2859	0	1718
1989	44013	Alcañiz	46825	21987	1824	3521	19493	30078	2406	7097	7244
1989	44014	Alcorisa	11927	5414	22	1404	5087	4847	963	1085	5031
1989	44016	Alfambra	12524	6331	3325	2004	864	5921	3274	555	2774
1989	44017	Aliaga	18293	1441	10674	4362	1816	11853	2458	749	3234
1989	44018	Almohaja	2208	282	1395	142	389	946	135	0	1127
1989	44019	Alobras	3318	496	1050	1158	614	1313	344	0	1661
1989	44020	Alpeñés	2998	857	1635	202	304	1809	688	0	501
1989	44021	Allepuz	6737	1279	4171	1109	179	3339	2515	0	883
1989	44022	Alloza	8200	2182	3933	733	1352	4477	39	956	2727
1989	44023	Allueva	1296	7	445	674	170	447	0	15	834
1989	44024	Anadón	1703	475	5	124	1099	1060	57	361	224
1989	44025	Andorra	13429	6931	4807	1550	141	8610	715	2471	1633
1989	44026	Arcos de las Salinas	9823	158	598	3128	5940	9691	133	0	0
1989	44027	Arens de Lledó	2170	1022	0	845	303	2051	44	74	0
1989	44028	Argente	6096	3560	1066	402	1068	3204	935	759	1197
1989	44029	Ariño	6860	224	3660	2259	717	4715	12	18	2115
1989	44031	Azaila	8321	6269	2052	0	0	2754	204	3447	1916
1989	44032	Bádenas	3081	740	320	317	1704	1522	378	281	900
1989	44033	Báguena	2282	1548	211	221	303	1900	261	1	120
1989	44034	Bañón	5240	2137	315	1777	1011	2909	255	962	1114
1989	44035	Barrachina	2165	865	759	222	319	1363	380	154	268
1989	44036	Bea	2315	360	161	478	1316	1553	167	14	581
1989	44037	Beceite	10501	633	8	5005	4854	3467	11	3	7020
1989	44038	Belmonte de San José	1964	489	0	424	1051	1819	145	0	0
1989	44039	Bello	5050	4055	311	3	681	3310	900	489	351
1989	44040	Berge	3100	677	1814	343	265	2875	125	101	0
1989	44041	Bezas	2568	131	268	1319	850	552	100	0	1917
1989	44042	Blancas	6710	2865	2843	1	1001	3838	1070	815	987
1989	44043	Blesa	7046	2638	219	472	3718	4534	498	1460	555
1989	44044	Bordón	4000	322	2350	521	807	2174	1586	50	190
1989	44045	Bronchales	6022	1253	165	1549	3055	3224	908	0	1890
1989	44046	Bueña	3987	1387	1095	815	691	3444	458	85	0
1989	44047	Burbáguena	3718	1441	788	937	552	2746	113	115	744
1989	44048	Cabra de Mora	3300	283	903	1774	340	1576	410	0	1313
1989	44049	Calaceite	6248	4243	24	431	1551	5507	208	316	218
1989	44050	Calamocha	30186	12042	7067	4190	6886	16751	3750	1750	7935
1989	44051	Calanda	10631	6363	291	906	3072	6416	396	2228	1591
1989	44052	Calomarde	2661	290	0	1411	960	265	185	0	2211
1989	44053	Camañas	7008	3261	1176	66	2505	2773	1989	350	1896
1989	44054	Camarena de la Sierra	7822	58	2700	3002	2063	1889	28	0	5906
1989	44055	Camarillas	4870	2099	2384	305	82	2369	622	393	1487
1989	44056	Caminreal	4167	3158	106	0	903	2706	552	910	0
1989	44059	Cantavieja	12701	621	5985	3985	2110	6783	3409	0	2509
1989	44060	Cañada de Benatanduz	3060	416	1517	855	272	700	1087	286	987
1989	44061	Cañada de Verich (La)	944	232	0	295	417	846	98	0	0
1989	44062	Cañada Vellida	2368	1015	1191	148	14	1736	257	0	376
1989	44063	Cañizar del Olivar	2220	145	475	684	916	1500	30	0	690
1989	44064	Cascante del Río	3202	374	164	1253	1411	2656	224	0	322
1989	44065	Castejón de Tornos	3046	1416	30	180	1420	1669	667	0	709
1989	44066	Castel de Cabra	2901	501	1482	365	552	2221	99	0	581
1989	44067	Castelnou	3768	2829	874	45	19	2897	201	605	64
1989	44068	Castelserás	2954	1016	1845	6	86	2553	6	394	0
1989	44070	Castellar (El)	4632	512	1730	2041	348	1678	754	234	1965
1989	44071	Castellote	18836	2037	6169	4645	5985	8253	2538	278	7767
1989	44074	Cedrillas	6766	1884	2396	1004	1483	2901	787	364	2713
1989	44075	Celadas	9816	6488	180	2063	1085	7303	2415	98	0
1989	44076	Cella	10623	7324	2876	303	121	7935	1645	699	343
1989	44077	Cerollera (La)	3009	155	0	1707	1148	2634	375	0	0
1989	44080	Codoñera (La)	2106	1124	0	9	973	1700	0	383	22
1989	44082	Corbalán	7218	1122	559	2680	2858	5073	1098	1048	0
1989	44084	Cortes de Aragón	2346	761	958	450	177	1210	78	477	581
1989	44085	Cosa	5476	2210	992	1836	439	3436	733	426	881
1989	44086	Cretas	3480	2787	35	297	361	3198	225	57	0
1989	44087	Crivillén	4072	1120	1315	860	776	2125	630	0	1316
1989	44088	Cuba (La)	308	118	15	8	167	269	20	0	19
1989	44089	Cubla	4780	816	1121	1599	1245	2333	406	0	2041
1989	44090	Cucalón	3134	1228	704	170	1032	1717	774	474	169
1989	44092	Cuervo (El)	1979	155	460	455	909	1669	58	0	252
1989	44093	Cuevas de Almudén	3462	899	1939	339	285	2513	111	173	665
1989	44094	Cuevas Labradas	3982	931	958	511	1582	2223	443	0	1316
1989	44096	Ejulve	10300	945	1776	1711	5868	7637	293	0	2370
1989	44097	Escorihuela	5736	1815	717	2300	904	1121	948	70	3597
1989	44099	Escucha	3837	647	2471	45	674	3410	169	107	152
1989	44100	Estercuel	5450	217	3607	0	1626	5305	134	11	0
1989	44101	Ferreruela de Huerva	2076	1619	130	2	324	834	536	377	328
1989	44102	Fonfría	2365	791	66	370	1137	1063	543	0	759
1989	44103	Formiche Alto	5965	1045	692	3458	770	4827	551	180	407
1989	44105	Fórnoles	2529	622	0	1182	725	2391	31	81	26
1989	44106	Fortanete	15694	767	6531	7382	1014	11811	3628	176	79
1989	44107	Foz-Calanda	3019	765	23	903	1328	1620	30	256	1113
1989	44108	Fresneda (La)	3159	1260	2	864	1032	2959	87	62	51
1989	44109	Frías de Albarracín	5015	712	100	2605	1598	1074	516	0	3425
1989	44110	Fuenferrada	2382	1063	156	210	953	1604	468	0	310
1989	44111	Fuentes Calientes	2796	1797	2	7	990	1893	357	232	314
1989	44112	Fuentes Claras	3755	2983	469	4	299	2221	369	752	414
1989	44113	Fuentes de Rubielos	3074	94	551	876	1553	2090	172	42	771
1989	44114	Fuentespalda	3535	1069	0	2151	314	3268	113	36	118
1989	44115	Galve	5676	1481	3	299	3893	4679	397	173	427
1989	44116	Gargallo	2981	164	1412	783	622	1832	78	0	1071
1989	44117	Gea de Albarracín	5591	1226	581	922	2861	3364	723	18	1486
1989	44118	Ginebrosa (La)	6881	1615	34	2509	2723	4599	740	0	1542
1989	44119	Griegos	3170	448	0	1612	1110	275	318	0	2577
1989	44120	Guadalaviar	2826	716	0	1401	709	711	411	0	1704
1989	44121	Gúdar	5063	230	1757	2609	467	3450	605	0	1008
1989	44122	Híjar	15123	10929	2476	1514	204	8247	2230	3333	1313
1989	44123	Hinojosa de Jarque	3451	1367	1968	1	114	2910	280	207	54
1989	44124	Hoz de la Vieja (La)	4161	1227	1588	451	896	2884	910	117	250
1989	44125	Huesa del Común	5055	1108	2962	201	784	3569	448	140	897
1989	44126	Iglesuela del Cid (La)	3753	450	2268	568	468	1258	2023	0	473
1989	44127	Jabaloyas	6090	347	522	2523	2697	259	275	0	5556
1989	44128	Jarque de la Val	2891	1205	1406	225	54	1997	486	44	364
1989	44129	Jatiel	564	234	330	0	0	75	54	105	330
1989	44130	Jorcas	2810	1223	1383	135	69	1601	982	80	147
1989	44131	Josa	2537	76	869	307	1285	2116	0	19	402
1989	44132	Lagueruela	2650	2007	156	40	447	1020	676	376	578
1989	44133	Lanzuela	1380	780	113	129	358	771	163	107	340
1989	44135	Libros	2951	405	48	471	2027	2360	41	50	500
1989	44136	Lidón	3874	1509	1701	90	574	3036	225	463	150
1989	44137	Linares de Mora	11355	461	4163	4555	2176	3622	4912	369	2452
1989	44138	Loscos	7601	3855	2462	90	1194	3065	3402	472	662
1989	44141	Lledó	1098	798	0	220	79	1021	10	64	2
1989	44142	Maicas	2291	47	0	368	1876	1845	18	0	428
1989	44143	Manzanera	16041	969	6969	5102	3003	3311	1055	7	11669
1989	44144	Martín del Río	4905	1105	1315	1012	1473	2939	439	77	1451
1989	44145	Mas de las Matas	2853	2093	0	62	698	1807	990	0	55
1989	44146	Mata de los Olmos (La)	2302	1204	140	437	521	980	295	404	623
1989	44147	Mazaleón	7730	3006	14	141	4569	6828	120	329	453
1989	44148	Mezquita de Jarque	3039	1539	794	367	339	1465	480	199	896
1989	44149	Mirambel	3362	441	2371	1	549	2404	957	0	0
1989	44150	Miravete de la Sierra	3517	460	2787	228	42	2770	530	0	217
1989	44151	Molinos	6142	1050	3884	810	397	5005	142	375	619
1989	44152	Monforte de Moyuela	4599	2213	1776	290	320	2615	1626	0	359
1989	44153	Monreal del Campo	7830	5685	485	1331	329	4709	1726	461	933
1989	44154	Monroyo	7949	1118	52	4906	1874	5214	1425	0	1310
1989	44155	Montalbán	8159	376	3378	3756	649	4106	112	0	3941
1989	44156	Monteagudo del Castillo	4212	1153	2209	549	301	2880	905	8	420
1989	44157	Monterde de Albarracín	4383	495	3888	0	0	4095	281	0	7
1989	44158	Mora de Rubielos	15928	2400	2827	4709	5991	6953	1775	870	6329
1989	44159	Moscardón	2754	232	284	1300	937	356	169	0	2228
1989	44160	Mosqueruela	28432	1517	9744	11023	6148	5963	14810	0	7659
1989	44161	Muniesa	11718	5644	101	832	5141	8355	1434	1101	829
1989	44163	Noguera de Albarracín	5040	221	463	2201	2155	984	92	0	3965
1989	44164	Nogueras	1849	761	208	161	719	865	536	0	448
1989	44165	Nogueruelas	9023	301	433	5466	2823	3192	1641	1	4189
1989	44167	Obón	6431	119	2554	706	3052	4985	53	0	1392
1989	44168	Odón	8120	4633	2048	947	493	4192	1777	298	1854
1989	44169	Ojos Negros	7923	3753	2937	653	580	5109	2784	30	0
1989	44171	Olba	1861	74	283	1057	447	1198	46	0	617
1989	44172	Oliete	7147	1733	3674	993	746	4698	585	429	1435
1989	44173	Olmos (Los)	4153	1265	253	1221	1415	3198	286	182	488
1989	44174	Orihuela del Tremedal	7161	1115	352	3264	2430	2325	722	0	4114
1989	44175	Orrios	4149	1538	2204	407	0	1227	679	95	2149
1989	44176	Palomar de Arroyos	3534	376	2366	493	299	2796	240	0	499
1989	44177	Pancrudo	9625	3230	5564	772	59	6753	1792	0	1080
1989	44178	Parras de Castellote (Las)	1904	469	1	682	752	1693	210	1	0
1989	44179	Peñarroya de Tastavins	9436	1294	5	4391	3745	6219	910	3	2304
1989	44180	Peracense	2388	614	214	965	595	1328	316	0	744
1989	44181	Peralejos	3643	808	1839	227	770	1481	546	16	1601
1989	44182	Perales del Alfambra	9377	4030	782	568	3998	4823	2081	1052	1421
1989	44183	Pitarque	4651	56	2190	1582	823	3671	543	0	437
1989	44184	Plou	1468	454	657	0	356	1168	50	250	0
1989	44185	Pobo (El)	6223	2235	3692	91	205	4330	814	519	560
1989	44187	Portellada (La)	1324	781	5	507	30	1225	14	32	54
1989	44189	Pozondón	6338	991	4752	503	91	4862	704	0	772
1989	44190	Pozuel del Campo	2178	1483	228	423	43	720	669	376	413
1989	44191	Puebla de Híjar (La)	4320	3512	645	163	0	2559	647	952	163
1989	44192	Puebla de Valverde (La)	28677	4648	17429	2907	3692	12251	4935	516	10975
1989	44193	Puertomingalvo	9824	499	4359	3432	1535	2960	4899	0	1965
1989	44194	Ráfales	1723	567	15	914	227	1651	19	53	0
1989	44195	Rillo	5333	2221	2046	268	798	3622	1097	192	422
1989	44196	Riodeva	4013	278	1701	185	1848	3682	28	0	303
1989	44197	Ródenas	4458	1739	1608	191	920	2513	899	0	1046
1989	44198	Royuela	3273	638	30	100	2505	2331	642	0	300
1989	44199	Rubiales	2643	289	50	1924	380	185	250	2	2206
1989	44200	Rubielos de la Cérida	6481	1019	910	3128	1425	5763	185	401	133
1989	44201	Rubielos de Mora	6210	605	2120	2354	1131	3292	708	423	1786
1989	44203	Salcedillo	1514	280	0	1000	234	435	240	0	839
1989	44204	Saldón	2688	302	277	1491	618	1064	245	0	1379
1989	44205	Samper de Calanda	11280	7146	3241	820	74	7322	1405	2508	44
1989	44206	San Agustín	4734	751	1646	349	1988	3330	373	0	1031
1989	44207	San Martín del Río	1780	1049	679	37	15	1469	56	254	0
1989	44208	Santa Cruz de Nogueras	1520	914	152	0	455	567	756	0	197
1989	44209	Santa Eulalia	7462	3325	0	16	4122	3887	1790	262	1523
