Año	Dirección Provincial Código	Dirección Provincial Nombre	Sexo	Edad (grupos quinquenales)	Nº Accidentes
2015	44	Teruel	Hombres	16-19	5
2015	44	Teruel	Hombres	20-24	42
2015	44	Teruel	Hombres	25-29	79
2015	44	Teruel	Hombres	30-34	125
2015	44	Teruel	Hombres	35-39	120
2015	44	Teruel	Hombres	40-44	97
2015	44	Teruel	Hombres	45-49	124
2015	44	Teruel	Hombres	50-54	87
2015	44	Teruel	Hombres	55-59	61
2015	44	Teruel	Hombres	60-64	27
2015	44	Teruel	Hombres	Más de 64	1
2015	44	Teruel	Mujeres	16-19	1
2015	44	Teruel	Mujeres	20-24	12
2015	44	Teruel	Mujeres	25-29	20
2015	44	Teruel	Mujeres	30-34	30
2015	44	Teruel	Mujeres	35-39	22
2015	44	Teruel	Mujeres	40-44	25
2015	44	Teruel	Mujeres	45-49	45
2015	44	Teruel	Mujeres	50-54	35
2015	44	Teruel	Mujeres	55-59	26
2015	44	Teruel	Mujeres	60-64	12
2015	44	Teruel	Mujeres	Más de 64	1
2015	50	Zaragoza	Hombres	16-19	33
2015	50	Zaragoza	Hombres	20-24	340
2015	50	Zaragoza	Hombres	25-29	636
2015	50	Zaragoza	Hombres	30-34	885
2015	50	Zaragoza	Hombres	35-39	1146
2015	50	Zaragoza	Hombres	40-44	1010
2015	50	Zaragoza	Hombres	45-49	848
2015	50	Zaragoza	Hombres	50-54	700
2015	50	Zaragoza	Hombres	55-59	497
2015	50	Zaragoza	Hombres	60-64	209
2015	50	Zaragoza	Hombres	Más de 64	1
2015	50	Zaragoza	Mujeres	16-19	10
2015	50	Zaragoza	Mujeres	20-24	122
2015	50	Zaragoza	Mujeres	25-29	235
2015	50	Zaragoza	Mujeres	30-34	336
2015	50	Zaragoza	Mujeres	35-39	411
2015	50	Zaragoza	Mujeres	40-44	391
2015	50	Zaragoza	Mujeres	45-49	392
2015	50	Zaragoza	Mujeres	50-54	455
2015	50	Zaragoza	Mujeres	55-59	349
2015	50	Zaragoza	Mujeres	60-64	183
2015	50	Zaragoza	Mujeres	Más de 64	11
2014	22	Huesca	Hombres	16-19	12
2014	22	Huesca	Hombres	20-24	94
2014	22	Huesca	Hombres	25-29	163
2014	22	Huesca	Hombres	30-34	251
2014	22	Huesca	Hombres	35-39	256
2014	22	Huesca	Hombres	40-44	232
2014	22	Huesca	Hombres	45-49	208
2014	22	Huesca	Hombres	50-54	192
2014	22	Huesca	Hombres	55-59	124
2014	22	Huesca	Hombres	60-64	50
2014	22	Huesca	Hombres	Más de 64	3
2014	22	Huesca	Mujeres	16-19	6
2014	22	Huesca	Mujeres	20-24	30
2014	22	Huesca	Mujeres	25-29	51
2014	22	Huesca	Mujeres	30-34	59
2014	22	Huesca	Mujeres	35-39	69
2014	22	Huesca	Mujeres	40-44	94
2014	22	Huesca	Mujeres	45-49	79
2014	22	Huesca	Mujeres	50-54	77
2014	22	Huesca	Mujeres	55-59	65
2014	22	Huesca	Mujeres	60-64	22
2014	44	Teruel	Hombres	16-19	4
2014	44	Teruel	Hombres	20-24	51
2014	44	Teruel	Hombres	25-29	83
2014	44	Teruel	Hombres	30-34	110
2014	44	Teruel	Hombres	35-39	137
2014	44	Teruel	Hombres	40-44	136
2014	44	Teruel	Hombres	45-49	135
2014	44	Teruel	Hombres	50-54	105
2014	44	Teruel	Hombres	55-59	55
2014	44	Teruel	Hombres	60-64	23
2014	44	Teruel	Hombres	Más de 64	1
2014	44	Teruel	Mujeres	16-19	2
2014	44	Teruel	Mujeres	20-24	8
2014	44	Teruel	Mujeres	25-29	32
2014	44	Teruel	Mujeres	30-34	28
2014	44	Teruel	Mujeres	35-39	44
2014	44	Teruel	Mujeres	40-44	38
2014	44	Teruel	Mujeres	45-49	48
2014	44	Teruel	Mujeres	50-54	39
2014	44	Teruel	Mujeres	55-59	36
2014	44	Teruel	Mujeres	60-64	15
2014	50	Zaragoza	Hombres	16-19	26
2014	50	Zaragoza	Hombres	20-24	286
2014	50	Zaragoza	Hombres	25-29	575
2014	50	Zaragoza	Hombres	30-34	779
2014	50	Zaragoza	Hombres	35-39	1047
2014	50	Zaragoza	Hombres	40-44	925
2014	50	Zaragoza	Hombres	45-49	672
2014	50	Zaragoza	Hombres	50-54	552
2014	50	Zaragoza	Hombres	55-59	438
2014	50	Zaragoza	Hombres	60-64	185
2014	50	Zaragoza	Hombres	Más de 64	8
2014	50	Zaragoza	Mujeres	16-19	10
2014	50	Zaragoza	Mujeres	20-24	106
2014	50	Zaragoza	Mujeres	25-29	236
2014	50	Zaragoza	Mujeres	30-34	272
2014	50	Zaragoza	Mujeres	35-39	373
2014	50	Zaragoza	Mujeres	40-44	338
2014	50	Zaragoza	Mujeres	45-49	366
2014	50	Zaragoza	Mujeres	50-54	432
2014	50	Zaragoza	Mujeres	55-59	277
2014	50	Zaragoza	Mujeres	60-64	153
2014	50	Zaragoza	Mujeres	Más de 64	2
2013	22	Huesca	Hombres	16-19	9
2013	22	Huesca	Hombres	20-24	86
2013	22	Huesca	Hombres	25-29	150
2013	22	Huesca	Hombres	30-34	240
2013	22	Huesca	Hombres	35-39	254
2013	22	Huesca	Hombres	40-44	208
2013	22	Huesca	Hombres	45-49	197
2013	22	Huesca	Hombres	50-54	159
2013	22	Huesca	Hombres	55-59	130
2013	22	Huesca	Hombres	60-64	43
2013	22	Huesca	Hombres	Más de 64	5
2013	22	Huesca	Mujeres	16-19	2
2013	22	Huesca	Mujeres	20-24	19
2013	22	Huesca	Mujeres	25-29	52
2013	22	Huesca	Mujeres	30-34	51
2013	22	Huesca	Mujeres	35-39	74
2013	22	Huesca	Mujeres	40-44	67
2013	22	Huesca	Mujeres	45-49	78
2013	22	Huesca	Mujeres	50-54	72
2013	22	Huesca	Mujeres	55-59	62
2013	22	Huesca	Mujeres	60-64	19
2013	22	Huesca	Mujeres	Más de 64	2
2013	44	Teruel	Hombres	16-19	2
2013	44	Teruel	Hombres	20-24	43
2013	44	Teruel	Hombres	25-29	85
2013	44	Teruel	Hombres	30-34	114
2013	44	Teruel	Hombres	35-39	147
2013	44	Teruel	Hombres	40-44	146
2013	44	Teruel	Hombres	45-49	109
2013	44	Teruel	Hombres	50-54	95
2013	44	Teruel	Hombres	55-59	55
2013	44	Teruel	Hombres	60-64	22
2013	44	Teruel	Hombres	Más de 64	1
2013	44	Teruel	Mujeres	20-24	9
2013	44	Teruel	Mujeres	25-29	14
2013	44	Teruel	Mujeres	30-34	39
2013	44	Teruel	Mujeres	35-39	40
2013	44	Teruel	Mujeres	40-44	40
2013	44	Teruel	Mujeres	45-49	45
2013	44	Teruel	Mujeres	50-54	42
2013	44	Teruel	Mujeres	55-59	22
2013	44	Teruel	Mujeres	60-64	11
2013	50	Zaragoza	Hombres	16-19	33
2013	50	Zaragoza	Hombres	20-24	279
2013	50	Zaragoza	Hombres	25-29	532
2013	50	Zaragoza	Hombres	30-34	855
2013	50	Zaragoza	Hombres	35-39	960
2013	50	Zaragoza	Hombres	40-44	846
2013	50	Zaragoza	Hombres	45-49	706
2013	50	Zaragoza	Hombres	50-54	570
2013	50	Zaragoza	Hombres	55-59	398
2013	50	Zaragoza	Hombres	60-64	153
2013	50	Zaragoza	Hombres	Más de 64	3
2013	50	Zaragoza	Mujeres	16-19	8
2013	50	Zaragoza	Mujeres	20-24	99
2013	50	Zaragoza	Mujeres	25-29	276
2013	50	Zaragoza	Mujeres	30-34	312
2013	50	Zaragoza	Mujeres	35-39	334
2013	50	Zaragoza	Mujeres	40-44	340
2013	50	Zaragoza	Mujeres	45-49	358
2013	50	Zaragoza	Mujeres	50-54	379
2013	50	Zaragoza	Mujeres	55-59	288
2013	50	Zaragoza	Mujeres	60-64	142
2013	50	Zaragoza	Mujeres	Más de 64	4
2012	22	Huesca	Hombres	16-19	13
2012	22	Huesca	Hombres	20-24	133
2012	22	Huesca	Hombres	25-29	173
2012	22	Huesca	Hombres	30-34	247
2012	22	Huesca	Hombres	35-39	247
2012	22	Huesca	Hombres	40-44	198
2012	22	Huesca	Hombres	45-49	197
2012	22	Huesca	Hombres	50-54	149
2012	22	Huesca	Hombres	55-59	107
2012	22	Huesca	Hombres	60-64	51
2012	22	Huesca	Hombres	Más de 64	4
2012	22	Huesca	Mujeres	16-19	3
2012	22	Huesca	Mujeres	20-24	23
2012	22	Huesca	Mujeres	25-29	35
2012	22	Huesca	Mujeres	30-34	59
2012	22	Huesca	Mujeres	35-39	55
2012	22	Huesca	Mujeres	40-44	66
2012	22	Huesca	Mujeres	45-49	77
2012	22	Huesca	Mujeres	50-54	53
2012	22	Huesca	Mujeres	55-59	42
2012	22	Huesca	Mujeres	60-64	17
2012	44	Teruel	Hombres	16-19	5
2012	44	Teruel	Hombres	20-24	51
2012	44	Teruel	Hombres	25-29	95
2012	44	Teruel	Hombres	30-34	121
2012	44	Teruel	Hombres	35-39	132
2012	44	Teruel	Hombres	40-44	132
2012	44	Teruel	Hombres	45-49	122
2012	44	Teruel	Hombres	50-54	98
2012	44	Teruel	Hombres	55-59	70
2012	44	Teruel	Hombres	60-64	32
2012	44	Teruel	Mujeres	16-19	2
2012	44	Teruel	Mujeres	20-24	19
2012	44	Teruel	Mujeres	25-29	21
2012	44	Teruel	Mujeres	30-34	21
2012	44	Teruel	Mujeres	35-39	25
2012	44	Teruel	Mujeres	40-44	28
2012	44	Teruel	Mujeres	45-49	40
2012	44	Teruel	Mujeres	50-54	37
2012	44	Teruel	Mujeres	55-59	27
2012	44	Teruel	Mujeres	60-64	10
2012	44	Teruel	Mujeres	Más de 64	1
2012	50	Zaragoza	Hombres	16-19	42
2012	50	Zaragoza	Hombres	20-24	362
2012	50	Zaragoza	Hombres	25-29	695
2012	50	Zaragoza	Hombres	30-34	950
2012	50	Zaragoza	Hombres	35-39	981
2012	50	Zaragoza	Hombres	40-44	844
2012	50	Zaragoza	Hombres	45-49	768
2012	50	Zaragoza	Hombres	50-54	602
2012	50	Zaragoza	Hombres	55-59	424
2012	50	Zaragoza	Hombres	60-64	185
2012	50	Zaragoza	Hombres	Más de 64	7
2012	50	Zaragoza	Mujeres	16-19	11
2012	50	Zaragoza	Mujeres	20-24	133
2012	50	Zaragoza	Mujeres	25-29	243
2012	50	Zaragoza	Mujeres	30-34	317
2012	50	Zaragoza	Mujeres	35-39	304
2012	50	Zaragoza	Mujeres	40-44	337
2012	50	Zaragoza	Mujeres	45-49	309
2012	50	Zaragoza	Mujeres	50-54	276
2012	50	Zaragoza	Mujeres	55-59	208
2012	50	Zaragoza	Mujeres	60-64	119
2012	50	Zaragoza	Mujeres	Más de 64	8
2011	22	Huesca	Hombres	16-19	25
2011	22	Huesca	Hombres	20-24	166
2011	22	Huesca	Hombres	25-29	239
2011	22	Huesca	Hombres	30-34	293
2011	22	Huesca	Hombres	35-39	312
2011	22	Huesca	Hombres	40-44	240
2011	22	Huesca	Hombres	45-49	227
2011	22	Huesca	Hombres	50-54	162
2011	22	Huesca	Hombres	55-59	100
2011	22	Huesca	Hombres	60-64	60
2011	22	Huesca	Hombres	Más de 64	6
2011	22	Huesca	Mujeres	16-19	4
2011	22	Huesca	Mujeres	20-24	30
2011	22	Huesca	Mujeres	25-29	55
2011	22	Huesca	Mujeres	30-34	68
2011	22	Huesca	Mujeres	35-39	72
2011	22	Huesca	Mujeres	40-44	71
2011	22	Huesca	Mujeres	45-49	68
2011	22	Huesca	Mujeres	50-54	53
2011	22	Huesca	Mujeres	55-59	47
2011	22	Huesca	Mujeres	60-64	16
2011	22	Huesca	Mujeres	Más de 64	2
2011	44	Teruel	Hombres	16-19	14
2011	44	Teruel	Hombres	20-24	99
2011	44	Teruel	Hombres	25-29	149
2011	44	Teruel	Hombres	30-34	161
2011	44	Teruel	Hombres	35-39	152
2011	44	Teruel	Hombres	40-44	188
2011	44	Teruel	Hombres	45-49	147
2011	44	Teruel	Hombres	50-54	97
2011	44	Teruel	Hombres	55-59	65
2011	44	Teruel	Hombres	60-64	24
2011	44	Teruel	Mujeres	16-19	1
2011	44	Teruel	Mujeres	20-24	23
2011	44	Teruel	Mujeres	25-29	39
2011	44	Teruel	Mujeres	30-34	36
2011	44	Teruel	Mujeres	35-39	49
2011	44	Teruel	Mujeres	40-44	52
2011	44	Teruel	Mujeres	45-49	51
2011	44	Teruel	Mujeres	50-54	39
2011	44	Teruel	Mujeres	55-59	22
2011	44	Teruel	Mujeres	60-64	3
2011	50	Zaragoza	Hombres	16-19	78
2011	50	Zaragoza	Hombres	20-24	528
2011	50	Zaragoza	Hombres	25-29	902
2011	50	Zaragoza	Hombres	30-34	1223
2011	50	Zaragoza	Hombres	35-39	1198
2011	50	Zaragoza	Hombres	40-44	1004
2011	50	Zaragoza	Hombres	45-49	809
2011	50	Zaragoza	Hombres	50-54	640
2011	50	Zaragoza	Hombres	55-59	513
2011	50	Zaragoza	Hombres	60-64	180
2011	50	Zaragoza	Hombres	Más de 64	10
2011	50	Zaragoza	Mujeres	16-19	27
2011	50	Zaragoza	Mujeres	20-24	184
2011	50	Zaragoza	Mujeres	25-29	352
2011	50	Zaragoza	Mujeres	30-34	410
2011	50	Zaragoza	Mujeres	35-39	431
2011	50	Zaragoza	Mujeres	40-44	409
2011	50	Zaragoza	Mujeres	45-49	383
2011	50	Zaragoza	Mujeres	50-54	362
2011	50	Zaragoza	Mujeres	55-59	232
2011	50	Zaragoza	Mujeres	60-64	124
2011	50	Zaragoza	Mujeres	Más de 64	7
2010	22	Huesca	Hombres	16-19	40
2010	22	Huesca	Hombres	20-24	161
2010	22	Huesca	Hombres	25-29	264
2010	22	Huesca	Hombres	30-34	323
2010	22	Huesca	Hombres	35-39	257
2010	22	Huesca	Hombres	40-44	256
2010	22	Huesca	Hombres	45-49	208
2010	22	Huesca	Hombres	50-54	173
2010	22	Huesca	Hombres	55-59	107
2010	22	Huesca	Hombres	60-64	62
2010	22	Huesca	Hombres	Más de 64	4
2010	22	Huesca	Mujeres	16-19	9
2010	22	Huesca	Mujeres	20-24	51
2010	22	Huesca	Mujeres	25-29	63
2010	22	Huesca	Mujeres	30-34	71
2010	22	Huesca	Mujeres	35-39	73
2010	22	Huesca	Mujeres	40-44	82
2010	22	Huesca	Mujeres	45-49	71
2010	22	Huesca	Mujeres	50-54	66
2010	22	Huesca	Mujeres	55-59	28
2010	22	Huesca	Mujeres	60-64	21
2010	22	Huesca	Mujeres	Más de 64	2
2010	44	Teruel	Hombres	16-19	16
2010	44	Teruel	Hombres	20-24	121
2010	44	Teruel	Hombres	25-29	150
2010	44	Teruel	Hombres	30-34	202
2010	44	Teruel	Hombres	35-39	209
2010	44	Teruel	Hombres	40-44	175
2010	44	Teruel	Hombres	45-49	160
2010	44	Teruel	Hombres	50-54	111
2010	44	Teruel	Hombres	55-59	77
2010	44	Teruel	Hombres	60-64	29
2010	44	Teruel	Hombres	Más de 64	1
2010	44	Teruel	Mujeres	16-19	2
2010	44	Teruel	Mujeres	20-24	34
2010	44	Teruel	Mujeres	25-29	41
2010	44	Teruel	Mujeres	30-34	47
2010	44	Teruel	Mujeres	35-39	58
2010	44	Teruel	Mujeres	40-44	38
