Mes (código)	Mes y año	Comarca código	Comarca nombre	Sector código	Sector descripción	Sexo	Nº demandantes
201809	Septiembre 2018	04	La Ribagorza	3	Construcción	Mujeres	5
201809	Septiembre 2018	04	La Ribagorza	4	Servicios	Hombres	78
201809	Septiembre 2018	04	La Ribagorza	4	Servicios	Mujeres	163
201809	Septiembre 2018	04	La Ribagorza		Sin empleo anterior	Hombres	3
201809	Septiembre 2018	04	La Ribagorza		Sin empleo anterior	Mujeres	6
201809	Septiembre 2018	05	Cinco Villas	1	Agricultura, ganadería y pesca	Hombres	101
201809	Septiembre 2018	05	Cinco Villas	1	Agricultura, ganadería y pesca	Mujeres	59
201809	Septiembre 2018	05	Cinco Villas	2	Industria y energía	Hombres	98
201809	Septiembre 2018	05	Cinco Villas	2	Industria y energía	Mujeres	131
201809	Septiembre 2018	05	Cinco Villas	3	Construcción	Hombres	82
201809	Septiembre 2018	05	Cinco Villas	3	Construcción	Mujeres	16
201809	Septiembre 2018	05	Cinco Villas	4	Servicios	Hombres	205
201809	Septiembre 2018	05	Cinco Villas	4	Servicios	Mujeres	509
201809	Septiembre 2018	05	Cinco Villas		Sin empleo anterior	Hombres	28
201809	Septiembre 2018	05	Cinco Villas		Sin empleo anterior	Mujeres	125
201809	Septiembre 2018	06	Hoya de Huesca / Plana de Uesca	1	Agricultura, ganadería y pesca	Hombres	72
201809	Septiembre 2018	06	Hoya de Huesca / Plana de Uesca	1	Agricultura, ganadería y pesca	Mujeres	28
201809	Septiembre 2018	06	Hoya de Huesca / Plana de Uesca	2	Industria y energía	Hombres	147
201809	Septiembre 2018	06	Hoya de Huesca / Plana de Uesca	2	Industria y energía	Mujeres	79
201809	Septiembre 2018	06	Hoya de Huesca / Plana de Uesca	3	Construcción	Hombres	179
201809	Septiembre 2018	06	Hoya de Huesca / Plana de Uesca	3	Construcción	Mujeres	33
201809	Septiembre 2018	06	Hoya de Huesca / Plana de Uesca	4	Servicios	Hombres	697
201809	Septiembre 2018	06	Hoya de Huesca / Plana de Uesca	4	Servicios	Mujeres	1379
201809	Septiembre 2018	06	Hoya de Huesca / Plana de Uesca		Sin empleo anterior	Hombres	100
201809	Septiembre 2018	06	Hoya de Huesca / Plana de Uesca		Sin empleo anterior	Mujeres	162
201809	Septiembre 2018	07	Somontano de Barbastro	1	Agricultura, ganadería y pesca	Hombres	52
201809	Septiembre 2018	07	Somontano de Barbastro	1	Agricultura, ganadería y pesca	Mujeres	19
201809	Septiembre 2018	07	Somontano de Barbastro	2	Industria y energía	Hombres	66
201809	Septiembre 2018	07	Somontano de Barbastro	2	Industria y energía	Mujeres	39
201809	Septiembre 2018	07	Somontano de Barbastro	3	Construcción	Hombres	49
201809	Septiembre 2018	07	Somontano de Barbastro	3	Construcción	Mujeres	14
201809	Septiembre 2018	07	Somontano de Barbastro	4	Servicios	Hombres	194
201809	Septiembre 2018	07	Somontano de Barbastro	4	Servicios	Mujeres	450
201809	Septiembre 2018	07	Somontano de Barbastro		Sin empleo anterior	Hombres	35
201809	Septiembre 2018	07	Somontano de Barbastro		Sin empleo anterior	Mujeres	81
201809	Septiembre 2018	08	Cinca Medio	1	Agricultura, ganadería y pesca	Hombres	84
201809	Septiembre 2018	08	Cinca Medio	1	Agricultura, ganadería y pesca	Mujeres	28
201809	Septiembre 2018	08	Cinca Medio	2	Industria y energía	Hombres	76
201809	Septiembre 2018	08	Cinca Medio	2	Industria y energía	Mujeres	67
201809	Septiembre 2018	08	Cinca Medio	3	Construcción	Hombres	59
201809	Septiembre 2018	08	Cinca Medio	3	Construcción	Mujeres	7
201809	Septiembre 2018	08	Cinca Medio	4	Servicios	Hombres	153
201809	Septiembre 2018	08	Cinca Medio	4	Servicios	Mujeres	411
201809	Septiembre 2018	08	Cinca Medio		Sin empleo anterior	Hombres	36
201809	Septiembre 2018	08	Cinca Medio		Sin empleo anterior	Mujeres	83
201809	Septiembre 2018	09	La Litera / La Llitera	1	Agricultura, ganadería y pesca	Hombres	75
201809	Septiembre 2018	09	La Litera / La Llitera	1	Agricultura, ganadería y pesca	Mujeres	22
201809	Septiembre 2018	09	La Litera / La Llitera	2	Industria y energía	Hombres	48
201809	Septiembre 2018	09	La Litera / La Llitera	2	Industria y energía	Mujeres	32
201809	Septiembre 2018	09	La Litera / La Llitera	3	Construcción	Hombres	33
201809	Septiembre 2018	09	La Litera / La Llitera	3	Construcción	Mujeres	6
201809	Septiembre 2018	09	La Litera / La Llitera	4	Servicios	Hombres	97
201809	Septiembre 2018	09	La Litera / La Llitera	4	Servicios	Mujeres	258
201809	Septiembre 2018	09	La Litera / La Llitera		Sin empleo anterior	Hombres	5
201809	Septiembre 2018	09	La Litera / La Llitera		Sin empleo anterior	Mujeres	16
201809	Septiembre 2018	10	Los Monegros	1	Agricultura, ganadería y pesca	Hombres	59
201809	Septiembre 2018	10	Los Monegros	1	Agricultura, ganadería y pesca	Mujeres	22
201809	Septiembre 2018	10	Los Monegros	2	Industria y energía	Hombres	32
201809	Septiembre 2018	10	Los Monegros	2	Industria y energía	Mujeres	14
201809	Septiembre 2018	10	Los Monegros	3	Construcción	Hombres	36
201809	Septiembre 2018	10	Los Monegros	3	Construcción	Mujeres	5
201809	Septiembre 2018	10	Los Monegros	4	Servicios	Hombres	89
201809	Septiembre 2018	10	Los Monegros	4	Servicios	Mujeres	182
201809	Septiembre 2018	10	Los Monegros		Sin empleo anterior	Hombres	8
201809	Septiembre 2018	10	Los Monegros		Sin empleo anterior	Mujeres	45
201809	Septiembre 2018	11	Bajo Cinca / Baix Cinca	1	Agricultura, ganadería y pesca	Hombres	187
201809	Septiembre 2018	11	Bajo Cinca / Baix Cinca	1	Agricultura, ganadería y pesca	Mujeres	117
201809	Septiembre 2018	11	Bajo Cinca / Baix Cinca	2	Industria y energía	Hombres	56
201809	Septiembre 2018	11	Bajo Cinca / Baix Cinca	2	Industria y energía	Mujeres	41
201809	Septiembre 2018	11	Bajo Cinca / Baix Cinca	3	Construcción	Hombres	27
201809	Septiembre 2018	11	Bajo Cinca / Baix Cinca	3	Construcción	Mujeres	2
201809	Septiembre 2018	11	Bajo Cinca / Baix Cinca	4	Servicios	Hombres	166
201809	Septiembre 2018	11	Bajo Cinca / Baix Cinca	4	Servicios	Mujeres	350
201809	Septiembre 2018	11	Bajo Cinca / Baix Cinca		Sin empleo anterior	Hombres	6
201809	Septiembre 2018	11	Bajo Cinca / Baix Cinca		Sin empleo anterior	Mujeres	23
201809	Septiembre 2018	12	Tarazona y el Moncayo	1	Agricultura, ganadería y pesca	Hombres	25
201809	Septiembre 2018	12	Tarazona y el Moncayo	1	Agricultura, ganadería y pesca	Mujeres	11
201809	Septiembre 2018	12	Tarazona y el Moncayo	2	Industria y energía	Hombres	48
201809	Septiembre 2018	12	Tarazona y el Moncayo	2	Industria y energía	Mujeres	84
201809	Septiembre 2018	12	Tarazona y el Moncayo	3	Construcción	Hombres	45
201809	Septiembre 2018	12	Tarazona y el Moncayo	3	Construcción	Mujeres	8
201809	Septiembre 2018	12	Tarazona y el Moncayo	4	Servicios	Hombres	111
201809	Septiembre 2018	12	Tarazona y el Moncayo	4	Servicios	Mujeres	310
201809	Septiembre 2018	12	Tarazona y el Moncayo		Sin empleo anterior	Hombres	16
201809	Septiembre 2018	12	Tarazona y el Moncayo		Sin empleo anterior	Mujeres	29
201809	Septiembre 2018	13	Campo de Borja	1	Agricultura, ganadería y pesca	Hombres	52
201809	Septiembre 2018	13	Campo de Borja	1	Agricultura, ganadería y pesca	Mujeres	14
201809	Septiembre 2018	13	Campo de Borja	2	Industria y energía	Hombres	40
201809	Septiembre 2018	13	Campo de Borja	2	Industria y energía	Mujeres	66
201809	Septiembre 2018	13	Campo de Borja	3	Construcción	Hombres	25
201809	Septiembre 2018	13	Campo de Borja	3	Construcción	Mujeres	2
201809	Septiembre 2018	13	Campo de Borja	4	Servicios	Hombres	146
201809	Septiembre 2018	13	Campo de Borja	4	Servicios	Mujeres	234
201809	Septiembre 2018	13	Campo de Borja		Sin empleo anterior	Hombres	9
201809	Septiembre 2018	13	Campo de Borja		Sin empleo anterior	Mujeres	32
201809	Septiembre 2018	14	Aranda	1	Agricultura, ganadería y pesca	Hombres	28
201809	Septiembre 2018	14	Aranda	1	Agricultura, ganadería y pesca	Mujeres	3
201809	Septiembre 2018	14	Aranda	2	Industria y energía	Hombres	52
201809	Septiembre 2018	14	Aranda	2	Industria y energía	Mujeres	119
201809	Septiembre 2018	14	Aranda	3	Construcción	Hombres	9
201809	Septiembre 2018	14	Aranda	3	Construcción	Mujeres	1
201809	Septiembre 2018	14	Aranda	4	Servicios	Hombres	41
201809	Septiembre 2018	14	Aranda	4	Servicios	Mujeres	92
201809	Septiembre 2018	14	Aranda		Sin empleo anterior	Hombres	3
201809	Septiembre 2018	14	Aranda		Sin empleo anterior	Mujeres	16
201809	Septiembre 2018	15	Ribera Alta del Ebro	1	Agricultura, ganadería y pesca	Hombres	24
201809	Septiembre 2018	15	Ribera Alta del Ebro	1	Agricultura, ganadería y pesca	Mujeres	40
201809	Septiembre 2018	15	Ribera Alta del Ebro	2	Industria y energía	Hombres	79
201809	Septiembre 2018	15	Ribera Alta del Ebro	2	Industria y energía	Mujeres	113
201809	Septiembre 2018	15	Ribera Alta del Ebro	3	Construcción	Hombres	34
201809	Septiembre 2018	15	Ribera Alta del Ebro	3	Construcción	Mujeres	7
201809	Septiembre 2018	15	Ribera Alta del Ebro	4	Servicios	Hombres	269
201809	Septiembre 2018	15	Ribera Alta del Ebro	4	Servicios	Mujeres	546
201809	Septiembre 2018	15	Ribera Alta del Ebro		Sin empleo anterior	Hombres	41
201809	Septiembre 2018	15	Ribera Alta del Ebro		Sin empleo anterior	Mujeres	71
201809	Septiembre 2018	16	Valdejalón	1	Agricultura, ganadería y pesca	Hombres	195
201809	Septiembre 2018	16	Valdejalón	1	Agricultura, ganadería y pesca	Mujeres	144
201809	Septiembre 2018	16	Valdejalón	2	Industria y energía	Hombres	82
201809	Septiembre 2018	16	Valdejalón	2	Industria y energía	Mujeres	114
201809	Septiembre 2018	16	Valdejalón	3	Construcción	Hombres	51
201809	Septiembre 2018	16	Valdejalón	3	Construcción	Mujeres	8
201809	Septiembre 2018	16	Valdejalón	4	Servicios	Hombres	253
201809	Septiembre 2018	16	Valdejalón	4	Servicios	Mujeres	538
201809	Septiembre 2018	16	Valdejalón		Sin empleo anterior	Hombres	24
201809	Septiembre 2018	16	Valdejalón		Sin empleo anterior	Mujeres	77
201809	Septiembre 2018	17	D.C. Zaragoza	1	Agricultura, ganadería y pesca	Hombres	782
201809	Septiembre 2018	17	D.C. Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	308
201809	Septiembre 2018	17	D.C. Zaragoza	2	Industria y energía	Hombres	2286
201809	Septiembre 2018	17	D.C. Zaragoza	2	Industria y energía	Mujeres	2004
201809	Septiembre 2018	17	D.C. Zaragoza	3	Construcción	Hombres	2178
201809	Septiembre 2018	17	D.C. Zaragoza	3	Construcción	Mujeres	388
201809	Septiembre 2018	17	D.C. Zaragoza	4	Servicios	Hombres	9340
201809	Septiembre 2018	17	D.C. Zaragoza	4	Servicios	Mujeres	19244
201809	Septiembre 2018	17	D.C. Zaragoza		Sin empleo anterior	Hombres	1394
201809	Septiembre 2018	17	D.C. Zaragoza		Sin empleo anterior	Mujeres	2775
201809	Septiembre 2018	18	Ribera Baja del Ebro	1	Agricultura, ganadería y pesca	Hombres	26
201809	Septiembre 2018	18	Ribera Baja del Ebro	1	Agricultura, ganadería y pesca	Mujeres	24
201809	Septiembre 2018	18	Ribera Baja del Ebro	2	Industria y energía	Hombres	31
201809	Septiembre 2018	18	Ribera Baja del Ebro	2	Industria y energía	Mujeres	34
201809	Septiembre 2018	18	Ribera Baja del Ebro	3	Construcción	Hombres	15
201809	Septiembre 2018	18	Ribera Baja del Ebro	3	Construcción	Mujeres	4
201809	Septiembre 2018	18	Ribera Baja del Ebro	4	Servicios	Hombres	85
201809	Septiembre 2018	18	Ribera Baja del Ebro	4	Servicios	Mujeres	145
201809	Septiembre 2018	18	Ribera Baja del Ebro		Sin empleo anterior	Hombres	6
201809	Septiembre 2018	18	Ribera Baja del Ebro		Sin empleo anterior	Mujeres	27
201809	Septiembre 2018	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	Agricultura, ganadería y pesca	Hombres	106
201809	Septiembre 2018	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	Agricultura, ganadería y pesca	Mujeres	82
201809	Septiembre 2018	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2	Industria y energía	Hombres	17
201809	Septiembre 2018	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2	Industria y energía	Mujeres	92
201809	Septiembre 2018	19	Bajo Aragón-Caspe / Baix Aragó-Casp	3	Construcción	Hombres	27
201809	Septiembre 2018	19	Bajo Aragón-Caspe / Baix Aragó-Casp	3	Construcción	Mujeres	2
201809	Septiembre 2018	19	Bajo Aragón-Caspe / Baix Aragó-Casp	4	Servicios	Hombres	109
201809	Septiembre 2018	19	Bajo Aragón-Caspe / Baix Aragó-Casp	4	Servicios	Mujeres	253
201809	Septiembre 2018	19	Bajo Aragón-Caspe / Baix Aragó-Casp		Sin empleo anterior	Hombres	16
201809	Septiembre 2018	19	Bajo Aragón-Caspe / Baix Aragó-Casp		Sin empleo anterior	Mujeres	67
201809	Septiembre 2018	20	Comunidad de Calatayud	1	Agricultura, ganadería y pesca	Hombres	172
201809	Septiembre 2018	20	Comunidad de Calatayud	1	Agricultura, ganadería y pesca	Mujeres	90
201809	Septiembre 2018	20	Comunidad de Calatayud	2	Industria y energía	Hombres	87
201809	Septiembre 2018	20	Comunidad de Calatayud	2	Industria y energía	Mujeres	92
201809	Septiembre 2018	20	Comunidad de Calatayud	3	Construcción	Hombres	83
201809	Septiembre 2018	20	Comunidad de Calatayud	3	Construcción	Mujeres	11
201809	Septiembre 2018	20	Comunidad de Calatayud	4	Servicios	Hombres	320
201809	Septiembre 2018	20	Comunidad de Calatayud	4	Servicios	Mujeres	768
201809	Septiembre 2018	20	Comunidad de Calatayud		Sin empleo anterior	Hombres	32
201809	Septiembre 2018	20	Comunidad de Calatayud		Sin empleo anterior	Mujeres	94
201809	Septiembre 2018	21	Campo de Cariñena	1	Agricultura, ganadería y pesca	Hombres	36
201809	Septiembre 2018	21	Campo de Cariñena	1	Agricultura, ganadería y pesca	Mujeres	18
201809	Septiembre 2018	21	Campo de Cariñena	2	Industria y energía	Hombres	43
201809	Septiembre 2018	21	Campo de Cariñena	2	Industria y energía	Mujeres	35
201809	Septiembre 2018	21	Campo de Cariñena	3	Construcción	Hombres	7
201809	Septiembre 2018	21	Campo de Cariñena	3	Construcción	Mujeres	6
201809	Septiembre 2018	21	Campo de Cariñena	4	Servicios	Hombres	38
201809	Septiembre 2018	21	Campo de Cariñena	4	Servicios	Mujeres	100
201809	Septiembre 2018	21	Campo de Cariñena		Sin empleo anterior	Hombres	4
201809	Septiembre 2018	21	Campo de Cariñena		Sin empleo anterior	Mujeres	14
201809	Septiembre 2018	22	Campo de Belchite	1	Agricultura, ganadería y pesca	Hombres	4
201809	Septiembre 2018	22	Campo de Belchite	1	Agricultura, ganadería y pesca	Mujeres	3
201809	Septiembre 2018	22	Campo de Belchite	2	Industria y energía	Hombres	14
201809	Septiembre 2018	22	Campo de Belchite	2	Industria y energía	Mujeres	12
201809	Septiembre 2018	22	Campo de Belchite	3	Construcción	Hombres	12
201809	Septiembre 2018	22	Campo de Belchite	3	Construcción	Mujeres	1
201809	Septiembre 2018	22	Campo de Belchite	4	Servicios	Hombres	28
201809	Septiembre 2018	22	Campo de Belchite	4	Servicios	Mujeres	49
201809	Septiembre 2018	22	Campo de Belchite		Sin empleo anterior	Hombres	2
201809	Septiembre 2018	22	Campo de Belchite		Sin empleo anterior	Mujeres	7
201809	Septiembre 2018	23	Bajo Martín	1	Agricultura, ganadería y pesca	Hombres	17
201809	Septiembre 2018	23	Bajo Martín	1	Agricultura, ganadería y pesca	Mujeres	9
201809	Septiembre 2018	23	Bajo Martín	2	Industria y energía	Hombres	23
201809	Septiembre 2018	23	Bajo Martín	2	Industria y energía	Mujeres	16
201809	Septiembre 2018	23	Bajo Martín	3	Construcción	Hombres	13
201809	Septiembre 2018	23	Bajo Martín	3	Construcción	Mujeres	2
201809	Septiembre 2018	23	Bajo Martín	4	Servicios	Hombres	43
201809	Septiembre 2018	23	Bajo Martín	4	Servicios	Mujeres	82
201809	Septiembre 2018	23	Bajo Martín		Sin empleo anterior	Hombres	4
201809	Septiembre 2018	23	Bajo Martín		Sin empleo anterior	Mujeres	8
201809	Septiembre 2018	24	Campo de Daroca	1	Agricultura, ganadería y pesca	Hombres	10
201809	Septiembre 2018	24	Campo de Daroca	1	Agricultura, ganadería y pesca	Mujeres	12
201809	Septiembre 2018	24	Campo de Daroca	2	Industria y energía	Hombres	2
201809	Septiembre 2018	24	Campo de Daroca	2	Industria y energía	Mujeres	7
201809	Septiembre 2018	24	Campo de Daroca	3	Construcción	Hombres	6
201809	Septiembre 2018	24	Campo de Daroca	3	Construcción	Mujeres	1
201809	Septiembre 2018	24	Campo de Daroca	4	Servicios	Hombres	36
201809	Septiembre 2018	24	Campo de Daroca	4	Servicios	Mujeres	56
201809	Septiembre 2018	24	Campo de Daroca		Sin empleo anterior	Hombres	2
201809	Septiembre 2018	24	Campo de Daroca		Sin empleo anterior	Mujeres	4
201809	Septiembre 2018	25	Jiloca	1	Agricultura, ganadería y pesca	Hombres	14
201809	Septiembre 2018	25	Jiloca	1	Agricultura, ganadería y pesca	Mujeres	8
201809	Septiembre 2018	25	Jiloca	2	Industria y energía	Hombres	31
201809	Septiembre 2018	25	Jiloca	2	Industria y energía	Mujeres	25
201809	Septiembre 2018	25	Jiloca	3	Construcción	Hombres	20
201809	Septiembre 2018	25	Jiloca	3	Construcción	Mujeres	1
201809	Septiembre 2018	25	Jiloca	4	Servicios	Hombres	80
201809	Septiembre 2018	25	Jiloca	4	Servicios	Mujeres	150
201809	Septiembre 2018	25	Jiloca		Sin empleo anterior	Hombres	5
201809	Septiembre 2018	25	Jiloca		Sin empleo anterior	Mujeres	24
201809	Septiembre 2018	26	Cuencas Mineras	1	Agricultura, ganadería y pesca	Hombres	10
201809	Septiembre 2018	26	Cuencas Mineras	1	Agricultura, ganadería y pesca	Mujeres	2
201809	Septiembre 2018	26	Cuencas Mineras	2	Industria y energía	Hombres	41
201809	Septiembre 2018	26	Cuencas Mineras	2	Industria y energía	Mujeres	22
201809	Septiembre 2018	26	Cuencas Mineras	3	Construcción	Hombres	19
201809	Septiembre 2018	26	Cuencas Mineras	3	Construcción	Mujeres	1
201809	Septiembre 2018	26	Cuencas Mineras	4	Servicios	Hombres	61
201809	Septiembre 2018	26	Cuencas Mineras	4	Servicios	Mujeres	156
201809	Septiembre 2018	26	Cuencas Mineras		Sin empleo anterior	Hombres	10
201809	Septiembre 2018	26	Cuencas Mineras		Sin empleo anterior	Mujeres	43
201809	Septiembre 2018	27	Andorra-Sierra de Arcos	1	Agricultura, ganadería y pesca	Hombres	14
201809	Septiembre 2018	27	Andorra-Sierra de Arcos	1	Agricultura, ganadería y pesca	Mujeres	17
201809	Septiembre 2018	27	Andorra-Sierra de Arcos	2	Industria y energía	Hombres	72
201809	Septiembre 2018	27	Andorra-Sierra de Arcos	2	Industria y energía	Mujeres	20
201809	Septiembre 2018	27	Andorra-Sierra de Arcos	3	Construcción	Hombres	31
201809	Septiembre 2018	27	Andorra-Sierra de Arcos	3	Construcción	Mujeres	5
201809	Septiembre 2018	27	Andorra-Sierra de Arcos	4	Servicios	Hombres	72
201809	Septiembre 2018	27	Andorra-Sierra de Arcos	4	Servicios	Mujeres	183
201809	Septiembre 2018	27	Andorra-Sierra de Arcos		Sin empleo anterior	Hombres	12
201809	Septiembre 2018	27	Andorra-Sierra de Arcos		Sin empleo anterior	Mujeres	32
201809	Septiembre 2018	28	Bajo Aragón	1	Agricultura, ganadería y pesca	Hombres	84
201809	Septiembre 2018	28	Bajo Aragón	1	Agricultura, ganadería y pesca	Mujeres	49
201809	Septiembre 2018	28	Bajo Aragón	2	Industria y energía	Hombres	78
201809	Septiembre 2018	28	Bajo Aragón	2	Industria y energía	Mujeres	51
201809	Septiembre 2018	28	Bajo Aragón	3	Construcción	Hombres	92
201809	Septiembre 2018	28	Bajo Aragón	3	Construcción	Mujeres	17
201809	Septiembre 2018	28	Bajo Aragón	4	Servicios	Hombres	203
201809	Septiembre 2018	28	Bajo Aragón	4	Servicios	Mujeres	542
201809	Septiembre 2018	28	Bajo Aragón		Sin empleo anterior	Hombres	22
201809	Septiembre 2018	28	Bajo Aragón		Sin empleo anterior	Mujeres	74
201809	Septiembre 2018	29	Comunidad de Teruel	1	Agricultura, ganadería y pesca	Hombres	22
201809	Septiembre 2018	29	Comunidad de Teruel	1	Agricultura, ganadería y pesca	Mujeres	2
201809	Septiembre 2018	29	Comunidad de Teruel	2	Industria y energía	Hombres	111
201809	Septiembre 2018	29	Comunidad de Teruel	2	Industria y energía	Mujeres	119
201809	Septiembre 2018	29	Comunidad de Teruel	3	Construcción	Hombres	97
201809	Septiembre 2018	29	Comunidad de Teruel	3	Construcción	Mujeres	16
201809	Septiembre 2018	29	Comunidad de Teruel	4	Servicios	Hombres	451
201809	Septiembre 2018	29	Comunidad de Teruel	4	Servicios	Mujeres	882
201809	Septiembre 2018	29	Comunidad de Teruel		Sin empleo anterior	Hombres	44
201809	Septiembre 2018	29	Comunidad de Teruel		Sin empleo anterior	Mujeres	125
201809	Septiembre 2018	30	Maestrazgo	1	Agricultura, ganadería y pesca	Hombres	3
201809	Septiembre 2018	30	Maestrazgo	1	Agricultura, ganadería y pesca	Mujeres	3
201809	Septiembre 2018	30	Maestrazgo	2	Industria y energía	Hombres	4
201809	Septiembre 2018	30	Maestrazgo	2	Industria y energía	Mujeres	5
201809	Septiembre 2018	30	Maestrazgo	3	Construcción	Hombres	4
201809	Septiembre 2018	30	Maestrazgo	3	Construcción	Mujeres	1
201809	Septiembre 2018	30	Maestrazgo	4	Servicios	Hombres	11
201809	Septiembre 2018	30	Maestrazgo	4	Servicios	Mujeres	39
201809	Septiembre 2018	30	Maestrazgo		Sin empleo anterior	Hombres	2
201809	Septiembre 2018	30	Maestrazgo		Sin empleo anterior	Mujeres	5
201809	Septiembre 2018	31	Sierra de Albarracín	1	Agricultura, ganadería y pesca	Hombres	4
201809	Septiembre 2018	31	Sierra de Albarracín	1	Agricultura, ganadería y pesca	Mujeres	2
201809	Septiembre 2018	31	Sierra de Albarracín	2	Industria y energía	Hombres	6
201809	Septiembre 2018	31	Sierra de Albarracín	2	Industria y energía	Mujeres	4
201809	Septiembre 2018	31	Sierra de Albarracín	3	Construcción	Hombres	9
201809	Septiembre 2018	31	Sierra de Albarracín	3	Construcción	Mujeres	3
201809	Septiembre 2018	31	Sierra de Albarracín	4	Servicios	Hombres	34
201809	Septiembre 2018	31	Sierra de Albarracín	4	Servicios	Mujeres	45
201809	Septiembre 2018	31	Sierra de Albarracín		Sin empleo anterior	Hombres	2
201809	Septiembre 2018	31	Sierra de Albarracín		Sin empleo anterior	Mujeres	3
201809	Septiembre 2018	32	Gúdar-Javalambre	1	Agricultura, ganadería y pesca	Hombres	15
201809	Septiembre 2018	32	Gúdar-Javalambre	1	Agricultura, ganadería y pesca	Mujeres	2
201809	Septiembre 2018	32	Gúdar-Javalambre	2	Industria y energía	Hombres	19
201809	Septiembre 2018	32	Gúdar-Javalambre	2	Industria y energía	Mujeres	18
201809	Septiembre 2018	32	Gúdar-Javalambre	3	Construcción	Hombres	14
201809	Septiembre 2018	32	Gúdar-Javalambre	3	Construcción	Mujeres	4
201809	Septiembre 2018	32	Gúdar-Javalambre	4	Servicios	Hombres	55
201809	Septiembre 2018	32	Gúdar-Javalambre	4	Servicios	Mujeres	129
201809	Septiembre 2018	32	Gúdar-Javalambre		Sin empleo anterior	Hombres	1
201809	Septiembre 2018	32	Gúdar-Javalambre		Sin empleo anterior	Mujeres	7
201809	Septiembre 2018	33	Matarraña / Matarranya	1	Agricultura, ganadería y pesca	Hombres	12
201809	Septiembre 2018	33	Matarraña / Matarranya	1	Agricultura, ganadería y pesca	Mujeres	6
201809	Septiembre 2018	33	Matarraña / Matarranya	2	Industria y energía	Hombres	18
201809	Septiembre 2018	33	Matarraña / Matarranya	2	Industria y energía	Mujeres	18
201809	Septiembre 2018	33	Matarraña / Matarranya	3	Construcción	Hombres	14
201809	Septiembre 2018	33	Matarraña / Matarranya	3	Construcción	Mujeres	2
201809	Septiembre 2018	33	Matarraña / Matarranya	4	Servicios	Hombres	51
201809	Septiembre 2018	33	Matarraña / Matarranya	4	Servicios	Mujeres	105
201809	Septiembre 2018	33	Matarraña / Matarranya		Sin empleo anterior	Hombres	2
201809	Septiembre 2018	33	Matarraña / Matarranya		Sin empleo anterior	Mujeres	14
