Año	Comarca código	Comarca nombre	Estado de la información	Licencias, total
2001	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	119
2001	07	Somontano de Barbastro	ESTIMACIÓN	67
2001	08	Cinca Medio	ESTIMACIÓN	76
2001	09	La Litera / La Llitera	ESTIMACIÓN	105
2001	10	Los Monegros	ESTIMACIÓN	85
2001	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	81
2001	12	Tarazona y el Moncayo	ESTIMACIÓN	39
2001	13	Campo de Borja	ESTIMACIÓN	56
2001	14	Aranda	ESTIMACIÓN	21
2001	15	Ribera Alta del Ebro	ESTIMACIÓN	121
2001	16	Valdejalón	ESTIMACIÓN	140
2001	17	Central	ESTIMACIÓN	1885
2001	18	Ribera Baja del Ebro	ESTIMACIÓN	31
2001	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	50
2001	20	Comunidad de Calatayud	ESTIMACIÓN	107
2001	21	Campo de Cariñena	ESTIMACIÓN	39
2001	22	Campo de Belchite	ESTIMACIÓN	18
2001	23	Bajo Martín	ESTIMACIÓN	34
2001	24	Campo de Daroca	ESTIMACIÓN	22
2001	25	Jiloca	ESTIMACIÓN	69
2001	26	Cuencas Mineras	ESTIMACIÓN	21
2001	27	Andorra-Sierra de Arcos	ESTIMACIÓN	30
2001	28	Bajo Aragón	ESTIMACIÓN	154
2001	29	Comunidad de Teruel	ESTIMACIÓN	74
2001	30	Maestrazgo	ESTIMACIÓN	26
2001	31	Sierra de Albarracín	ESTIMACIÓN	34
2001	32	Gúdar-Javalambre	ESTIMACIÓN	118
2001	33	Matarraña / Matarranya	ESTIMACIÓN	51
2002	01	La Jacetania	ESTIMACIÓN	88
2002	02	Alto Gállego	ESTIMACIÓN	76
2002	03	Sobrarbe	ESTIMACIÓN	40
2002	04	La Ribagorza	ESTIMACIÓN	83
2002	05	Cinco Villas	ESTIMACIÓN	153
2002	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	141
2002	07	Somontano de Barbastro	ESTIMACIÓN	76
2002	08	Cinca Medio	ESTIMACIÓN	83
2002	09	La Litera / La Llitera	ESTIMACIÓN	91
2002	10	Los Monegros	ESTIMACIÓN	101
2002	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	63
2002	12	Tarazona y el Moncayo	ESTIMACIÓN	29
2002	13	Campo de Borja	ESTIMACIÓN	37
2002	14	Aranda	ESTIMACIÓN	20
2002	15	Ribera Alta del Ebro	ESTIMACIÓN	97
2002	16	Valdejalón	ESTIMACIÓN	83
2002	17	Central	ESTIMACIÓN	1820
2002	18	Ribera Baja del Ebro	ESTIMACIÓN	31
2002	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	36
2002	20	Comunidad de Calatayud	ESTIMACIÓN	104
2002	21	Campo de Cariñena	ESTIMACIÓN	45
2002	22	Campo de Belchite	ESTIMACIÓN	16
2002	23	Bajo Martín	ESTIMACIÓN	40
2002	24	Campo de Daroca	ESTIMACIÓN	13
2002	25	Jiloca	ESTIMACIÓN	67
2002	26	Cuencas Mineras	ESTIMACIÓN	28
2002	27	Andorra-Sierra de Arcos	ESTIMACIÓN	42
2002	28	Bajo Aragón	ESTIMACIÓN	129
2002	29	Comunidad de Teruel	ESTIMACIÓN	80
2002	30	Maestrazgo	ESTIMACIÓN	33
2002	31	Sierra de Albarracín	ESTIMACIÓN	47
2002	32	Gúdar-Javalambre	ESTIMACIÓN	87
2002	33	Matarraña / Matarranya	ESTIMACIÓN	42
2003	01	La Jacetania	ESTIMACIÓN	112
2003	02	Alto Gállego	ESTIMACIÓN	82
2003	03	Sobrarbe	ESTIMACIÓN	42
2003	04	La Ribagorza	ESTIMACIÓN	109
2003	05	Cinco Villas	ESTIMACIÓN	154
2003	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	161
2003	07	Somontano de Barbastro	ESTIMACIÓN	86
2003	08	Cinca Medio	ESTIMACIÓN	70
2003	09	La Litera / La Llitera	ESTIMACIÓN	107
2003	10	Los Monegros	ESTIMACIÓN	132
2003	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	95
2003	12	Tarazona y el Moncayo	ESTIMACIÓN	27
2003	13	Campo de Borja	ESTIMACIÓN	62
2003	14	Aranda	ESTIMACIÓN	7
2003	15	Ribera Alta del Ebro	ESTIMACIÓN	100
2003	16	Valdejalón	ESTIMACIÓN	140
2003	17	Central	ESTIMACIÓN	1750
2003	18	Ribera Baja del Ebro	ESTIMACIÓN	30
2003	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	44
2003	20	Comunidad de Calatayud	ESTIMACIÓN	53
2003	21	Campo de Cariñena	ESTIMACIÓN	32
2003	22	Campo de Belchite	ESTIMACIÓN	9
2003	23	Bajo Martín	ESTIMACIÓN	68
2003	24	Campo de Daroca	ESTIMACIÓN	11
2003	25	Jiloca	ESTIMACIÓN	79
2003	26	Cuencas Mineras	ESTIMACIÓN	24
2003	27	Andorra-Sierra de Arcos	ESTIMACIÓN	38
2003	28	Bajo Aragón	ESTIMACIÓN	185
2003	29	Comunidad de Teruel	ESTIMACIÓN	80
2003	30	Maestrazgo	ESTIMACIÓN	27
2003	31	Sierra de Albarracín	ESTIMACIÓN	33
2003	32	Gúdar-Javalambre	ESTIMACIÓN	76
2003	33	Matarraña / Matarranya	ESTIMACIÓN	34
2004	01	La Jacetania	ESTIMACIÓN	90
2004	02	Alto Gállego	ESTIMACIÓN	70
2004	03	Sobrarbe	ESTIMACIÓN	77
2004	04	La Ribagorza	ESTIMACIÓN	132
2004	05	Cinco Villas	ESTIMACIÓN	131
2004	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	180
2004	07	Somontano de Barbastro	ESTIMACIÓN	101
2004	08	Cinca Medio	ESTIMACIÓN	58
2004	09	La Litera / La Llitera	ESTIMACIÓN	98
2004	10	Los Monegros	ESTIMACIÓN	158
2004	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	80
2004	12	Tarazona y el Moncayo	ESTIMACIÓN	46
2004	13	Campo de Borja	ESTIMACIÓN	55
2004	14	Aranda	ESTIMACIÓN	9
2004	15	Ribera Alta del Ebro	ESTIMACIÓN	126
2004	16	Valdejalón	ESTIMACIÓN	125
2004	17	Central	ESTIMACIÓN	1978
2004	18	Ribera Baja del Ebro	ESTIMACIÓN	50
2004	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	53
2004	20	Comunidad de Calatayud	ESTIMACIÓN	68
2004	21	Campo de Cariñena	ESTIMACIÓN	33
2004	22	Campo de Belchite	ESTIMACIÓN	13
2004	23	Bajo Martín	ESTIMACIÓN	47
2004	24	Campo de Daroca	ESTIMACIÓN	9
2004	25	Jiloca	ESTIMACIÓN	83
2004	26	Cuencas Mineras	ESTIMACIÓN	29
2004	27	Andorra-Sierra de Arcos	ESTIMACIÓN	43
2004	28	Bajo Aragón	ESTIMACIÓN	202
2004	29	Comunidad de Teruel	ESTIMACIÓN	68
2004	30	Maestrazgo	ESTIMACIÓN	18
2004	31	Sierra de Albarracín	ESTIMACIÓN	32
2004	32	Gúdar-Javalambre	ESTIMACIÓN	139
2004	33	Matarraña / Matarranya	ESTIMACIÓN	43
2005	01	La Jacetania	ESTIMACIÓN	111
2005	02	Alto Gállego	ESTIMACIÓN	107
2005	03	Sobrarbe	ESTIMACIÓN	94
2005	04	La Ribagorza	ESTIMACIÓN	154
2005	05	Cinco Villas	ESTIMACIÓN	131
2005	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	208
2005	07	Somontano de Barbastro	ESTIMACIÓN	100
2005	08	Cinca Medio	ESTIMACIÓN	77
2005	09	La Litera / La Llitera	ESTIMACIÓN	102
2005	10	Los Monegros	ESTIMACIÓN	124
2005	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	93
2005	12	Tarazona y el Moncayo	ESTIMACIÓN	37
2005	13	Campo de Borja	ESTIMACIÓN	64
2005	14	Aranda	ESTIMACIÓN	9
2005	15	Ribera Alta del Ebro	ESTIMACIÓN	135
2005	16	Valdejalón	ESTIMACIÓN	132
2005	17	Central	ESTIMACIÓN	2067
2005	18	Ribera Baja del Ebro	ESTIMACIÓN	36
2005	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	55
2005	20	Comunidad de Calatayud	ESTIMACIÓN	55
2005	21	Campo de Cariñena	ESTIMACIÓN	44
2005	22	Campo de Belchite	ESTIMACIÓN	8
2005	23	Bajo Martín	ESTIMACIÓN	36
2005	24	Campo de Daroca	ESTIMACIÓN	11
2005	25	Jiloca	ESTIMACIÓN	83
2005	26	Cuencas Mineras	ESTIMACIÓN	22
2005	27	Andorra-Sierra de Arcos	ESTIMACIÓN	61
2005	28	Bajo Aragón	ESTIMACIÓN	175
2005	29	Comunidad de Teruel	ESTIMACIÓN	90
2005	30	Maestrazgo	ESTIMACIÓN	28
2005	31	Sierra de Albarracín	ESTIMACIÓN	30
2005	32	Gúdar-Javalambre	ESTIMACIÓN	136
2005	33	Matarraña / Matarranya	ESTIMACIÓN	65
2006	01	La Jacetania	ESTIMACIÓN	102
2006	02	Alto Gállego	ESTIMACIÓN	89
2006	03	Sobrarbe	ESTIMACIÓN	78
2006	04	La Ribagorza	ESTIMACIÓN	155
2006	05	Cinco Villas	ESTIMACIÓN	145
2006	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	196
2006	07	Somontano de Barbastro	ESTIMACIÓN	105
2006	08	Cinca Medio	ESTIMACIÓN	67
2006	09	La Litera / La Llitera	ESTIMACIÓN	121
2006	10	Los Monegros	ESTIMACIÓN	154
2006	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	105
2006	12	Tarazona y el Moncayo	ESTIMACIÓN	48
2006	13	Campo de Borja	ESTIMACIÓN	75
2006	14	Aranda	ESTIMACIÓN	7
2006	15	Ribera Alta del Ebro	ESTIMACIÓN	166
2006	16	Valdejalón	ESTIMACIÓN	179
2006	17	Central	ESTIMACIÓN	2238
2006	18	Ribera Baja del Ebro	ESTIMACIÓN	64
2006	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	46
2006	20	Comunidad de Calatayud	ESTIMACIÓN	71
2006	21	Campo de Cariñena	ESTIMACIÓN	47
2006	22	Campo de Belchite	ESTIMACIÓN	5
2006	23	Bajo Martín	ESTIMACIÓN	41
2006	24	Campo de Daroca	ESTIMACIÓN	7
2006	25	Jiloca	ESTIMACIÓN	69
2006	26	Cuencas Mineras	ESTIMACIÓN	26
2006	27	Andorra-Sierra de Arcos	ESTIMACIÓN	40
2006	28	Bajo Aragón	ESTIMACIÓN	149
2006	29	Comunidad de Teruel	ESTIMACIÓN	86
2006	30	Maestrazgo	ESTIMACIÓN	24
2006	31	Sierra de Albarracín	ESTIMACIÓN	24
2006	32	Gúdar-Javalambre	ESTIMACIÓN	116
2006	33	Matarraña / Matarranya	ESTIMACIÓN	76
2007	01	La Jacetania	ESTIMACIÓN	105
2007	02	Alto Gállego	ESTIMACIÓN	56
2007	03	Sobrarbe	ESTIMACIÓN	65
2007	04	La Ribagorza	ESTIMACIÓN	198
2007	05	Cinco Villas	ESTIMACIÓN	122
2007	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	189
2007	07	Somontano de Barbastro	ESTIMACIÓN	82
2007	08	Cinca Medio	ESTIMACIÓN	63
2007	09	La Litera / La Llitera	ESTIMACIÓN	152
2007	10	Los Monegros	ESTIMACIÓN	103
2007	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	102
2007	12	Tarazona y el Moncayo	ESTIMACIÓN	45
2007	13	Campo de Borja	ESTIMACIÓN	73
2007	14	Aranda	ESTIMACIÓN	6
2007	15	Ribera Alta del Ebro	ESTIMACIÓN	145
2007	16	Valdejalón	ESTIMACIÓN	155
2007	17	Central	ESTIMACIÓN	2190
2007	18	Ribera Baja del Ebro	ESTIMACIÓN	60
2007	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	57
2007	20	Comunidad de Calatayud	ESTIMACIÓN	74
2007	21	Campo de Cariñena	ESTIMACIÓN	47
2007	22	Campo de Belchite	ESTIMACIÓN	6
2007	23	Bajo Martín	ESTIMACIÓN	38
2007	24	Campo de Daroca	ESTIMACIÓN	2
2007	25	Jiloca	ESTIMACIÓN	94
2007	26	Cuencas Mineras	ESTIMACIÓN	17
2007	27	Andorra-Sierra de Arcos	ESTIMACIÓN	60
2007	28	Bajo Aragón	ESTIMACIÓN	153
2007	29	Comunidad de Teruel	ESTIMACIÓN	84
2007	30	Maestrazgo	ESTIMACIÓN	35
2007	31	Sierra de Albarracín	ESTIMACIÓN	32
2007	32	Gúdar-Javalambre	ESTIMACIÓN	118
2007	33	Matarraña / Matarranya	ESTIMACIÓN	85
2008	01	La Jacetania	ESTIMACIÓN	75
2008	02	Alto Gállego	ESTIMACIÓN	42
2008	03	Sobrarbe	ESTIMACIÓN	41
2008	04	La Ribagorza	ESTIMACIÓN	141
2008	05	Cinco Villas	ESTIMACIÓN	98
2008	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	154
2008	07	Somontano de Barbastro	ESTIMACIÓN	80
2008	08	Cinca Medio	ESTIMACIÓN	54
2008	09	La Litera / La Llitera	ESTIMACIÓN	104
2008	10	Los Monegros	ESTIMACIÓN	78
2008	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	71
2008	12	Tarazona y el Moncayo	ESTIMACIÓN	47
2008	13	Campo de Borja	ESTIMACIÓN	45
2008	14	Aranda	ESTIMACIÓN	8
2008	15	Ribera Alta del Ebro	ESTIMACIÓN	113
2008	16	Valdejalón	ESTIMACIÓN	121
2008	17	Central	ESTIMACIÓN	2251
2008	18	Ribera Baja del Ebro	ESTIMACIÓN	35
2008	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	54
2008	20	Comunidad de Calatayud	ESTIMACIÓN	51
2008	21	Campo de Cariñena	ESTIMACIÓN	29
2008	22	Campo de Belchite	ESTIMACIÓN	11
2008	23	Bajo Martín	ESTIMACIÓN	48
2008	24	Campo de Daroca	ESTIMACIÓN	11
2008	25	Jiloca	ESTIMACIÓN	83
2008	26	Cuencas Mineras	ESTIMACIÓN	10
2008	27	Andorra-Sierra de Arcos	ESTIMACIÓN	45
2008	28	Bajo Aragón	ESTIMACIÓN	125
2008	29	Comunidad de Teruel	ESTIMACIÓN	75
2008	30	Maestrazgo	ESTIMACIÓN	25
2008	31	Sierra de Albarracín	ESTIMACIÓN	46
2008	32	Gúdar-Javalambre	ESTIMACIÓN	123
2008	33	Matarraña / Matarranya	ESTIMACIÓN	60
2009	01	La Jacetania	ESTIMACIÓN	72
2009	02	Alto Gállego	ESTIMACIÓN	28
2009	03	Sobrarbe	ESTIMACIÓN	57
2009	04	La Ribagorza	ESTIMACIÓN	112
2009	05	Cinco Villas	ESTIMACIÓN	90
2009	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	96
2009	07	Somontano de Barbastro	ESTIMACIÓN	47
2009	08	Cinca Medio	ESTIMACIÓN	43
2009	09	La Litera / La Llitera	ESTIMACIÓN	72
2009	10	Los Monegros	ESTIMACIÓN	69
2009	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	43
2009	12	Tarazona y el Moncayo	ESTIMACIÓN	30
2009	13	Campo de Borja	ESTIMACIÓN	50
2009	14	Aranda	ESTIMACIÓN	11
2009	15	Ribera Alta del Ebro	ESTIMACIÓN	64
2009	16	Valdejalón	ESTIMACIÓN	62
2009	17	Central	ESTIMACIÓN	1600
2009	18	Ribera Baja del Ebro	ESTIMACIÓN	33
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	45
2009	20	Comunidad de Calatayud	ESTIMACIÓN	34
2009	21	Campo de Cariñena	ESTIMACIÓN	20
2009	22	Campo de Belchite	ESTIMACIÓN	14
2009	23	Bajo Martín	ESTIMACIÓN	26
2009	24	Campo de Daroca	ESTIMACIÓN	18
2009	25	Jiloca	ESTIMACIÓN	78
2009	26	Cuencas Mineras	ESTIMACIÓN	19
2009	27	Andorra-Sierra de Arcos	ESTIMACIÓN	38
2009	28	Bajo Aragón	ESTIMACIÓN	139
2009	29	Comunidad de Teruel	ESTIMACIÓN	75
2009	30	Maestrazgo	ESTIMACIÓN	29
2009	31	Sierra de Albarracín	ESTIMACIÓN	30
2009	32	Gúdar-Javalambre	ESTIMACIÓN	84
2009	33	Matarraña / Matarranya	ESTIMACIÓN	73
2010	01	La Jacetania	ESTIMACIÓN	71
2010	02	Alto Gállego	ESTIMACIÓN	35
2010	03	Sobrarbe	ESTIMACIÓN	47
2010	04	La Ribagorza	ESTIMACIÓN	106
2010	05	Cinco Villas	ESTIMACIÓN	70
2010	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	85
2010	07	Somontano de Barbastro	ESTIMACIÓN	62
2010	08	Cinca Medio	ESTIMACIÓN	36
2010	09	La Litera / La Llitera	ESTIMACIÓN	64
2010	10	Los Monegros	ESTIMACIÓN	73
2010	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	49
2010	12	Tarazona y el Moncayo	ESTIMACIÓN	29
2010	13	Campo de Borja	ESTIMACIÓN	61
2010	14	Aranda	ESTIMACIÓN	
2010	15	Ribera Alta del Ebro	ESTIMACIÓN	68
2010	16	Valdejalón	ESTIMACIÓN	73
2010	17	Central	ESTIMACIÓN	1588
2010	18	Ribera Baja del Ebro	ESTIMACIÓN	39
2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	58
2010	20	Comunidad de Calatayud	ESTIMACIÓN	40
2010	21	Campo de Cariñena	ESTIMACIÓN	26
2010	22	Campo de Belchite	ESTIMACIÓN	20
2010	23	Bajo Martín	ESTIMACIÓN	36
2010	24	Campo de Daroca	ESTIMACIÓN	15
2010	25	Jiloca	ESTIMACIÓN	53
2010	26	Cuencas Mineras	ESTIMACIÓN	15
2010	27	Andorra-Sierra de Arcos	ESTIMACIÓN	36
2010	28	Bajo Aragón	ESTIMACIÓN	129
2010	29	Comunidad de Teruel	ESTIMACIÓN	49
2010	30	Maestrazgo	ESTIMACIÓN	
2010	31	Sierra de Albarracín	ESTIMACIÓN	18
2010	32	Gúdar-Javalambre	ESTIMACIÓN	86
2010	33	Matarraña / Matarranya	ESTIMACIÓN	56
2011	01	La Jacetania	ESTIMACIÓN	50
2011	02	Alto Gállego	ESTIMACIÓN	34
2011	03	Sobrarbe	ESTIMACIÓN	54
2011	04	La Ribagorza	ESTIMACIÓN	90
2011	05	Cinco Villas	ESTIMACIÓN	60
2011	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	100
2011	07	Somontano de Barbastro	ESTIMACIÓN	43
2011	08	Cinca Medio	ESTIMACIÓN	45
2011	09	La Litera / La Llitera	ESTIMACIÓN	67
2011	10	Los Monegros	ESTIMACIÓN	68
2011	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	64
2011	12	Tarazona y el Moncayo	ESTIMACIÓN	20
2011	13	Campo de Borja	ESTIMACIÓN	29
2011	14	Aranda	ESTIMACIÓN	5
2011	15	Ribera Alta del Ebro	ESTIMACIÓN	58
2011	16	Valdejalón	ESTIMACIÓN	72
2011	17	Central	ESTIMACIÓN	1742
2011	18	Ribera Baja del Ebro	ESTIMACIÓN	33
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	72
2011	20	Comunidad de Calatayud	ESTIMACIÓN	35
2011	21	Campo de Cariñena	ESTIMACIÓN	11
2011	22	Campo de Belchite	ESTIMACIÓN	14
2011	23	Bajo Martín	ESTIMACIÓN	28
2011	24	Campo de Daroca	ESTIMACIÓN	12
2011	25	Jiloca	ESTIMACIÓN	50
2011	26	Cuencas Mineras	ESTIMACIÓN	13
2011	27	Andorra-Sierra de Arcos	ESTIMACIÓN	27
2011	28	Bajo Aragón	ESTIMACIÓN	100
2011	29	Comunidad de Teruel	ESTIMACIÓN	53
2011	30	Maestrazgo	ESTIMACIÓN	24
2011	31	Sierra de Albarracín	ESTIMACIÓN	19
2011	32	Gúdar-Javalambre	ESTIMACIÓN	83
2011	33	Matarraña / Matarranya	ESTIMACIÓN	49
2012	01	La Jacetania	ESTIMACIÓN	48
2012	02	Alto Gállego	ESTIMACIÓN	24
2012	03	Sobrarbe	ESTIMACIÓN	44
2012	04	La Ribagorza	ESTIMACIÓN	63
2012	05	Cinco Villas	ESTIMACIÓN	60
2012	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	91
2012	07	Somontano de Barbastro	ESTIMACIÓN	42
2012	08	Cinca Medio	ESTIMACIÓN	33
2012	09	La Litera / La Llitera	ESTIMACIÓN	38
2012	10	Los Monegros	ESTIMACIÓN	90
2012	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	53
2012	12	Tarazona y el Moncayo	ESTIMACIÓN	27
2012	13	Campo de Borja	ESTIMACIÓN	22
2012	14	Aranda	ESTIMACIÓN	11
2012	15	Ribera Alta del Ebro	ESTIMACIÓN	39
2012	16	Valdejalón	ESTIMACIÓN	64
2012	17	Central	ESTIMACIÓN	1609
2012	18	Ribera Baja del Ebro	ESTIMACIÓN	23
2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	57
2012	20	Comunidad de Calatayud	ESTIMACIÓN	36
2012	21	Campo de Cariñena	ESTIMACIÓN	27
2012	22	Campo de Belchite	ESTIMACIÓN	14
2012	23	Bajo Martín	ESTIMACIÓN	19
2012	24	Campo de Daroca	ESTIMACIÓN	8
2012	25	Jiloca	ESTIMACIÓN	56
2012	26	Cuencas Mineras	ESTIMACIÓN	16
2012	27	Andorra-Sierra de Arcos	ESTIMACIÓN	16
2012	28	Bajo Aragón	ESTIMACIÓN	68
2012	29	Comunidad de Teruel	ESTIMACIÓN	48
2012	30	Maestrazgo	ESTIMACIÓN	12
2012	31	Sierra de Albarracín	ESTIMACIÓN	28
2012	32	Gúdar-Javalambre	ESTIMACIÓN	50
2012	33	Matarraña / Matarranya	ESTIMACIÓN	49
2013	01	La Jacetania	ESTIMACIÓN	29
2013	02	Alto Gállego	ESTIMACIÓN	17
2013	03	Sobrarbe	ESTIMACIÓN	24
2013	04	La Ribagorza	ESTIMACIÓN	69
2013	05	Cinco Villas	ESTIMACIÓN	43
2013	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	86
2013	07	Somontano de Barbastro	ESTIMACIÓN	31
2013	08	Cinca Medio	ESTIMACIÓN	36
2013	09	La Litera / La Llitera	ESTIMACIÓN	36
2013	10	Los Monegros	ESTIMACIÓN	71
2013	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	53
2013	12	Tarazona y el Moncayo	ESTIMACIÓN	14
2013	13	Campo de Borja	ESTIMACIÓN	23
2013	14	Aranda	ESTIMACIÓN	9
2013	15	Ribera Alta del Ebro	ESTIMACIÓN	32
2013	16	Valdejalón	ESTIMACIÓN	52
2013	17	Central	ESTIMACIÓN	1529
2013	18	Ribera Baja del Ebro	ESTIMACIÓN	21
2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	38
2013	20	Comunidad de Calatayud	ESTIMACIÓN	24
2013	21	Campo de Cariñena	ESTIMACIÓN	5
2013	22	Campo de Belchite	ESTIMACIÓN	14
2013	23	Bajo Martín	ESTIMACIÓN	11
2013	24	Campo de Daroca	ESTIMACIÓN	16
2013	25	Jiloca	ESTIMACIÓN	47
2013	26	Cuencas Mineras	ESTIMACIÓN	13
2013	27	Andorra-Sierra de Arcos	ESTIMACIÓN	24
2013	28	Bajo Aragón	ESTIMACIÓN	69
2013	29	Comunidad de Teruel	ESTIMACIÓN	58
2013	30	Maestrazgo	ESTIMACIÓN	8
2013	31	Sierra de Albarracín	ESTIMACIÓN	12
2013	32	Gúdar-Javalambre	ESTIMACIÓN	37
2013	33	Matarraña / Matarranya	ESTIMACIÓN	22
2014	01	La Jacetania	ESTIMACIÓN	27
2014	02	Alto Gállego	ESTIMACIÓN	15
2014	03	Sobrarbe	ESTIMACIÓN	39
2014	04	La Ribagorza	ESTIMACIÓN	69
2014	05	Cinco Villas	ESTIMACIÓN	49
2014	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	82
2014	07	Somontano de Barbastro	ESTIMACIÓN	51
2014	08	Cinca Medio	ESTIMACIÓN	39
2014	09	La Litera / La Llitera	ESTIMACIÓN	29
2014	10	Los Monegros	ESTIMACIÓN	86
2014	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	36
2014	12	Tarazona y el Moncayo	ESTIMACIÓN	18
2014	13	Campo de Borja	ESTIMACIÓN	33
2014	14	Aranda	ESTIMACIÓN	6
2014	15	Ribera Alta del Ebro	ESTIMACIÓN	35
2014	16	Valdejalón	ESTIMACIÓN	55
2014	17	Central	ESTIMACIÓN	1575
2014	18	Ribera Baja del Ebro	ESTIMACIÓN	12
2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	46
2014	20	Comunidad de Calatayud	ESTIMACIÓN	32
2014	21	Campo de Cariñena	ESTIMACIÓN	6
2014	22	Campo de Belchite	ESTIMACIÓN	13
2014	23	Bajo Martín	ESTIMACIÓN	14
2014	24	Campo de Daroca	ESTIMACIÓN	10
2014	25	Jiloca	ESTIMACIÓN	50
2014	26	Cuencas Mineras	ESTIMACIÓN	13
2014	27	Andorra-Sierra de Arcos	ESTIMACIÓN	22
2014	28	Bajo Aragón	ESTIMACIÓN	57
2014	29	Comunidad de Teruel	ESTIMACIÓN	41
