Año	Comarca código	Comarca nombre	Saldo Vegetativo	Nacidos vivos residentes	Matrimonios residentes	Defunciones residentes
2003	06	Hoya de Huesca / Plana de Uesca	-166	564	278	730
2003	07	Somontano de Barbastro	-158	152	78	310
2003	08	Cinca Medio	-48	199	83	247
2003	09	La Litera / La Llitera	-123	123	58	246
2003	10	Los Monegros	-164	101	47	265
2003	11	Bajo Cinca / Baix Cinca	-57	211	70	268
2003	12	Tarazona y el Moncayo	-91	102	66	193
2003	13	Campo de Borja	-105	113	56	218
2003	14	Aranda	-28	64	28	92
2003	15	Ribera Alta del Ebro	-171	181	124	352
2003	16	Valdejalón	-109	209	104	318
2003	17	Central	321	6857	3575	6536
2003	18	Ribera Baja del Ebro	-49	50	29	99
2003	19	Bajo Aragón-Caspe / Baix Aragó-Casp	-75	96	57	171
2003	20	Comunidad de Calatayud	-297	280	146	577
2003	21	Campo de Cariñena	-93	69	27	162
2003	22	Campo de Belchite	-65	28	3	93
2003	23	Bajo Martín	-58	46	19	104
2003	24	Campo de Daroca	-86	26	15	112
2003	25	Jiloca	-97	76	46	173
2003	26	Cuencas Mineras	-52	60	26	112
2003	27	Andorra-Sierra de Arcos	-34	67	45	101
2003	28	Bajo Aragón	-125	244	164	369
2003	29	Comunidad de Teruel	-168	354	217	522
2003	30	Maestrazgo	-38	22	10	60
2003	31	Sierra de Albarracín	-43	21	11	64
2003	32	Gúdar-Javalambre	-61	60	25	121
2003	33	Matarraña / Matarranya	-96	46	21	142
