Mes y año	Sexo	Régimen	Afiliaciones en alta
Septiembre 2016	Hombres	General	221608
Septiembre 2016	Mujeres	General	207778
Septiembre 2016	Hombres	Minería	230
Septiembre 2016	Mujeres	Minería	13
Septiembre 2016	Hombres	Autónomos	69073
Septiembre 2016	Mujeres	Autónomos	36157
Junio 2016	Hombres	General	229923
Junio 2016	Mujeres	General	207825
Junio 2016	Hombres	Minería	239
Junio 2016	Mujeres	Minería	14
Junio 2016	Hombres	Autónomos	69606
Junio 2016	Mujeres	Autónomos	36564
Marzo 2016	Hombres	General	213748
Marzo 2016	Mujeres	General	204509
Marzo 2016	Hombres	Minería	253
Marzo 2016	Mujeres	Minería	14
Marzo 2016	Hombres	Autónomos	69178
Marzo 2016	Mujeres	Autónomos	36201
Diciembre 2015	Hombres	General	210800
Diciembre 2015	Mujeres	General	204499
Diciembre 2015	Hombres	Minería	261
Diciembre 2015	Mujeres	Minería	13
Diciembre 2015	Hombres	Autónomos	69578
Diciembre 2015	Mujeres	Autónomos	36425
Septiembre 2015	Hombres	General	214521
Septiembre 2015	Mujeres	General	201058
Septiembre 2015	Hombres	Minería	266
Septiembre 2015	Mujeres	Minería	13
Septiembre 2015	Hombres	Autónomos	69563
Septiembre 2015	Mujeres	Autónomos	36145
Junio 2015	Hombres	General	221094
Junio 2015	Mujeres	General	202064
Junio 2015	Hombres	Minería	278
Junio 2015	Mujeres	Minería	13
Junio 2015	Hombres	Autónomos	69917
Junio 2015	Mujeres	Autónomos	36414
Marzo 2015	Hombres	General	206943
Marzo 2015	Mujeres	General	198488
Marzo 2015	Hombres	Minería	282
Marzo 2015	Mujeres	Minería	13
Marzo 2015	Hombres	Autónomos	69242
Marzo 2015	Mujeres	Autónomos	35883
Diciembre 2014	Hombres	General	202759
Diciembre 2014	Mujeres	General	199305
Diciembre 2014	Hombres	Minería	280
Diciembre 2014	Mujeres	Minería	14
Diciembre 2014	Hombres	Autónomos	69452
Diciembre 2014	Mujeres	Autónomos	36239
Septiembre 2014	Hombres	General	206451
Septiembre 2014	Mujeres	General	196410
Septiembre 2014	Hombres	Minería	278
Septiembre 2014	Mujeres	Minería	14
Septiembre 2014	Hombres	Autónomos	69394
Septiembre 2014	Mujeres	Autónomos	35828
Junio 2014	Hombres	General	215527
Junio 2014	Mujeres	General	198761
Junio 2014	Hombres	Minería	283
Junio 2014	Mujeres	Minería	14
Junio 2014	Hombres	Autónomos	69408
Junio 2014	Mujeres	Autónomos	35754
Marzo 2014	Hombres	General	201519
Marzo 2014	Mujeres	General	194542
Marzo 2014	Hombres	Minería	300
Marzo 2014	Mujeres	Minería	15
Marzo 2014	Hombres	Autónomos	68496
Marzo 2014	Mujeres	Autónomos	35045
Diciembre 2013	Hombres	General	199835
Diciembre 2013	Mujeres	General	195563
Diciembre 2013	Hombres	Minería	305
Diciembre 2013	Mujeres	Minería	15
Diciembre 2013	Hombres	Autónomos	68619
Diciembre 2013	Mujeres	Autónomos	35089
Septiembre 2013	Hombres	General	205989
Septiembre 2013	Mujeres	General	194390
Septiembre 2013	Hombres	Minería	316
Septiembre 2013	Mujeres	Minería	15
Septiembre 2013	Hombres	Autónomos	68507
Septiembre 2013	Mujeres	Autónomos	34742
Junio 2013	Hombres	General	213524
Junio 2013	Mujeres	General	196628
Junio 2013	Hombres	Minería	318
Junio 2013	Mujeres	Minería	16
Junio 2013	Hombres	Autónomos	68382
Junio 2013	Mujeres	Autónomos	34702
Marzo 2013	Hombres	General	202778
Marzo 2013	Mujeres	General	193944
Marzo 2013	Hombres	Minería	326
Marzo 2013	Mujeres	Minería	16
Marzo 2013	Hombres	Autónomos	67946
Marzo 2013	Mujeres	Autónomos	34295
Diciembre 2012	Hombres	General	206400
Diciembre 2012	Mujeres	General	197827
Diciembre 2012	Hombres	Minería	349
Diciembre 2012	Mujeres	Minería	18
Diciembre 2012	Hombres	Autónomos	68407
Diciembre 2012	Mujeres	Autónomos	34442
Septiembre 2012	Hombres	General	217709
Septiembre 2012	Mujeres	General	200011
Septiembre 2012	Hombres	Minería	398
Septiembre 2012	Mujeres	Minería	19
Septiembre 2012	Hombres	Autónomos	69015
Septiembre 2012	Mujeres	Autónomos	34446
Junio 2012	Hombres	General	224812
Junio 2012	Mujeres	General	195589
Junio 2012	Hombres	Minería	406
Junio 2012	Mujeres	Minería	18
Junio 2012	Hombres	Autónomos	69360
Junio 2012	Mujeres	Autónomos	34583
Junio 2012	Hombres	Hogar Fijos	69
Junio 2012	Mujeres	Hogar Fijos	1414
Marzo 2012	Hombres	General	215721
Marzo 2012	Mujeres	General	188690
Marzo 2012	Hombres	Minería	412
Marzo 2012	Mujeres	Minería	18
Marzo 2012	Hombres	Autónomos	69180
Marzo 2012	Mujeres	Autónomos	34458
Marzo 2012	Hombres	Hogar Fijos	142
Marzo 2012	Mujeres	Hogar Fijos	2907
Diciembre 2011	Hombres	General	207112
Diciembre 2011	Mujeres	General	186796
Diciembre 2011	Hombres	Minería	414
Diciembre 2011	Mujeres	Minería	20
Diciembre 2011	Hombres	Autónomos	69756
Diciembre 2011	Mujeres	Autónomos	34705
Diciembre 2011	Hombres	Agrario ajena	8830
Diciembre 2011	Mujeres	Agrario ajena	1914
Diciembre 2011	Hombres	Hogar Fijos	251
Diciembre 2011	Mujeres	Hogar Fijos	4911
Septiembre 2011	Hombres	General	214237
Septiembre 2011	Mujeres	General	188193
Septiembre 2011	Hombres	Minería	417
Septiembre 2011	Mujeres	Minería	17
Septiembre 2011	Hombres	Autónomos	70080
Septiembre 2011	Mujeres	Autónomos	34694
Septiembre 2011	Hombres	Agrario ajena	9825
Septiembre 2011	Mujeres	Agrario ajena	3025
Septiembre 2011	Hombres	Hogar Fijos	261
Septiembre 2011	Mujeres	Hogar Fijos	4952
Junio 2011	Hombres	General	216878
Junio 2011	Mujeres	General	185191
Junio 2011	Hombres	Minería	409
Junio 2011	Mujeres	Minería	17
Junio 2011	Hombres	Autónomos	70606
Junio 2011	Mujeres	Autónomos	34919
Junio 2011	Hombres	Agrario ajena	11070
Junio 2011	Mujeres	Agrario ajena	3875
Junio 2011	Hombres	Hogar Fijos	263
Junio 2011	Mujeres	Hogar Fijos	4997
Marzo 2011	Hombres	General	216051
Marzo 2011	Mujeres	General	186996
Marzo 2011	Hombres	Minería	401
Marzo 2011	Mujeres	Minería	18
Marzo 2011	Hombres	Autónomos	70520
Marzo 2011	Mujeres	Autónomos	34791
Marzo 2011	Hombres	Agrario ajena	7501
Marzo 2011	Mujeres	Agrario ajena	1872
Marzo 2011	Hombres	Hogar Fijos	245
Marzo 2011	Mujeres	Hogar Fijos	4900
Diciembre 2010	Hombres	General	216529
Diciembre 2010	Mujeres	General	190450
Diciembre 2010	Hombres	Minería	408
Diciembre 2010	Mujeres	Minería	17
Diciembre 2010	Hombres	Autónomos	71179
Diciembre 2010	Mujeres	Autónomos	35005
Diciembre 2010	Hombres	Agrario ajena	9084
Diciembre 2010	Mujeres	Agrario ajena	2224
Diciembre 2010	Hombres	Hogar Fijos	220
Diciembre 2010	Mujeres	Hogar Fijos	4753
Septiembre 2010	Hombres	General	221518
Septiembre 2010	Mujeres	General	188449
Septiembre 2010	Hombres	Minería	430
Septiembre 2010	Mujeres	Minería	19
Septiembre 2010	Hombres	Autónomos	71560
Septiembre 2010	Mujeres	Autónomos	34946
Septiembre 2010	Hombres	Agrario ajena	10255
Septiembre 2010	Mujeres	Agrario ajena	3319
Septiembre 2010	Hombres	Hogar Fijos	233
Septiembre 2010	Mujeres	Hogar Fijos	4667
Junio 2010	Hombres	General	225094
Junio 2010	Mujeres	General	187207
Junio 2010	Hombres	Minería	438
Junio 2010	Mujeres	Minería	18
Junio 2010	Hombres	Autónomos	72338
Junio 2010	Mujeres	Autónomos	35078
Junio 2010	Hombres	Agrario ajena	9899
Junio 2010	Mujeres	Agrario ajena	3535
Junio 2010	Hombres	Hogar Fijos	229
Junio 2010	Mujeres	Hogar Fijos	4621
Marzo 2010	Hombres	General	221516
Marzo 2010	Mujeres	General	187780
Marzo 2010	Hombres	Minería	449
Marzo 2010	Mujeres	Minería	18
Marzo 2010	Hombres	Autónomos	72516
Marzo 2010	Mujeres	Autónomos	35006
Marzo 2010	Hombres	Agrario ajena	7577
Marzo 2010	Mujeres	Agrario ajena	1952
Marzo 2010	Hombres	Hogar Fijos	235
Marzo 2010	Mujeres	Hogar Fijos	4567
