Año	Código del municipio	Nombre del municipio	Unidades de trabajo que son jefes de explotación	Unidades de trabajo que son asalariados	Unidades de trabajo que son asalariados fijos	Unidades de trabajo que son asalariados eventuales	Unidades de trabajo que son mano de obra familiar	Unidades de trabajo que siendo mano de obra familiar son titulares explotación	Unidades de trabajo que siendo mano de obra familiar son cónyuges	Unidades de trabajo que siendo mano de obra familiar son otros diferentes
1989	22165	Ontiñena	66	4	3	0	72	65	1	6
1989	22167	Osso de Cinca	101	19	13	5	164	99	17	49
1989	22168	Palo	4	0	0	0	4	4	0	0
1989	22170	Panticosa	21	0	0	0	23	20	1	1
1989	22172	Peñalba	44	22	18	4	51	39	1	11
1989	22173	Peñas de Riglos (Las)	22	4	4	0	22	22	0	0
1989	22174	Peralta de Alcofea	72	22	16	6	82	70	3	8
1989	22175	Peralta de Calasanz	79	4	3	1	95	77	10	8
1989	22176	Peraltilla	18	0	0	0	21	18	0	2
1989	22177	Perarrúa	15	0	0	0	22	15	2	5
1989	22178	Pertusa	15	4	2	2	17	15	0	2
1989	22181	Piracés	11	1	0	1	13	11	0	2
1989	22182	Plan	31	0	0	0	46	31	6	9
1989	22184	Poleñino	37	6	6	0	40	35	1	5
1989	22186	Pozán de Vero	43	0	0	0	51	43	1	6
1989	22187	Puebla de Castro (La)	19	3	3	0	21	19	2	1
1989	22188	Puente de Montañana	8	1	1	0	10	8	1	1
1989	22189	Puértolas	19	0	0	0	28	19	4	4
1989	22190	Pueyo de Araguás (El)	22	0	0	0	32	22	1	9
1989	22193	Pueyo de Santa Cruz	27	7	4	3	26	25	1	0
1989	22195	Quicena	4	5	5	0	5	4	0	1
1989	22197	Robres	71	6	5	1	87	70	2	15
1989	22199	Sabiñánigo	71	24	18	7	74	55	2	17
1989	22200	Sahún	28	0	0	0	40	28	6	5
1989	22201	Salas Altas	65	2	0	2	85	63	4	19
1989	22202	Salas Bajas	23	1	0	1	28	23	2	3
1989	22203	Salillas	13	3	3	0	14	12	1	1
1989	22204	Sallent de Gállego	28	0	0	0	34	27	4	4
1989	22205	San Esteban de Litera	106	26	25	1	130	103	6	21
1989	22206	Sangarrén	24	12	10	1	22	18	0	4
1989	22207	San Juan de Plan	22	0	0	0	42	22	11	9
1989	22208	Santa Cilia	25	3	1	2	31	25	3	4
1989	22209	Santa Cruz de la Serós	13	1	1	0	20	13	2	5
1989	22212	Santaliestra y San Quílez	8	3	1	2	9	7	1	1
1989	22213	Sariñena	284	92	59	32	356	273	18	65
1989	22214	Secastilla	14	4	4	0	16	13	1	2
1989	22215	Seira	11	0	0	0	16	11	2	3
1989	22217	Sena	87	23	17	5	93	84	4	5
1989	22218	Senés de Alcubierre	10	9	8	1	11	9	0	2
1989	22220	Sesa	27	0	0	0	34	27	3	5
1989	22221	Sesué	13	0	0	0	19	13	2	4
1989	22222	Siétamo	30	18	16	2	34	26	0	8
1989	22223	Sopeira	15	0	0	0	17	15	2	1
1989	22225	Tamarite de Litera	327	146	106	40	471	317	60	95
1989	22226	Tardienta	63	14	12	2	69	59	1	9
1989	22227	Tella-Sin	15	0	0	0	25	15	6	4
1989	22228	Tierz	6	2	1	0	7	5	0	1
1989	22229	Tolva	26	8	7	1	37	23	4	10
1989	22230	Torla-Ordesa	40	0	0	0	52	40	4	8
1989	22232	Torralba de Aragón	24	9	9	0	28	21	0	7
1989	22233	Torre la Ribera	13	1	1	0	21	12	2	7
1989	22234	Torrente de Cinca	60	35	19	16	80	58	9	13
1989	22235	Torres de Alcanadre	16	1	1	0	19	16	0	2
1989	22236	Torres de Barbués	32	7	7	0	39	31	2	6
1989	22239	Tramaced	21	11	10	1	23	19	1	4
1989	22242	Valfarta	13	8	7	1	12	12	0	1
1989	22243	Valle de Bardají	10	0	0	0	15	10	2	3
1989	22244	Valle de Lierp	9	0	0	0	13	9	1	2
1989	22245	Velilla de Cinca	44	4	2	2	55	43	6	6
1989	22246	Beranuy	15	2	1	1	24	13	3	9
1989	22247	Viacamp y Litera	7	1	0	1	9	6	0	2
1989	22248	Vicién	4	9	9	0	5	2	0	2
1989	22249	Villanova	6	0	0	0	7	6	1	1
1989	22250	Villanúa	8	1	1	0	9	8	1	0
1989	22251	Villanueva de Sigena	69	33	32	0	72	66	4	2
1989	22252	Yebra de Basa	14	0	0	0	16	14	0	2
1989	22253	Yésero	6	0	0	0	9	5	4	1
1989	22254	Zaidín	250	69	34	34	355	247	37	71
1989	22901	Valle de Hecho	75	0	0	0	94	67	4	23
1989	22902	Puente la Reina de Jaca	36	11	7	4	58	35	11	12
1989	22903	San Miguel del Cinca	180	19	14	5	239	177	8	54
1989	22904	Sotonera (La)	99	43	41	2	109	95	1	13
1989	22905	Lupiñén-Ortilla	41	40	39	0	46	38	1	7
1989	22906	Santa María de Dulcis	39	0	0	0	41	39	1	2
1989	22907	Aínsa-Sobrarbe	84	7	7	1	92	83	2	7
1989	22908	Hoz y Costeán	41	0	0	0	50	41	3	6
1989	22909	Vencillón	57	2	1	1	82	57	4	21
1989	44001	Ababuj	13	0	0	0	23	12	3	7
1989	44002	Abejuela	6	0	0	0	7	6	0	0
1989	44003	Aguatón	9	0	0	0	10	9	1	0
1989	44004	Aguaviva	73	0	0	0	90	73	13	4
1989	44005	Aguilar del Alfambra	20	0	0	0	35	18	14	4
1989	44006	Alacón	68	1	1	0	79	68	6	5
1989	44007	Alba	43	1	1	0	63	42	7	15
1989	44008	Albalate del Arzobispo	145	21	18	3	179	144	20	16
1989	44009	Albarracín	34	55	31	24	36	29	1	6
1989	44010	Albentosa	22	1	0	0	29	22	2	4
1989	44011	Alcaine	8	0	0	0	9	8	0	1
1989	44012	Alcalá de la Selva	44	4	4	0	55	42	10	4
1989	44013	Alcañiz	398	76	50	26	534	381	64	90
1989	44014	Alcorisa	115	12	7	5	146	113	13	20
1989	44016	Alfambra	65	13	11	2	75	65	4	5
1989	44017	Aliaga	36	6	4	2	54	35	13	6
1989	44018	Almohaja	4	1	1	0	4	4	0	0
1989	44019	Alobras	11	3	0	3	22	11	4	7
1989	44020	Alpeñés	12	1	0	1	12	12	0	0
1989	44021	Allepuz	43	0	0	0	63	39	9	14
1989	44022	Alloza	68	0	0	0	79	68	6	5
1989	44023	Allueva	2	0	0	0	2	2	0	0
1989	44024	Anadón	6	0	0	0	8	6	2	0
1989	44025	Andorra	94	2	2	0	112	89	13	11
1989	44026	Arcos de las Salinas	17	0	0	0	20	17	2	1
1989	44027	Arens de Lledó	48	0	0	0	67	48	10	9
1989	44028	Argente	49	1	1	0	60	49	4	7
1989	44029	Ariño	29	0	0	0	36	29	3	5
1989	44031	Azaila	35	3	3	0	37	35	0	2
1989	44032	Bádenas	6	1	0	1	7	6	0	0
1989	44033	Báguena	74	4	0	4	93	72	7	14
1989	44034	Bañón	31	2	2	0	44	31	4	9
1989	44035	Barrachina	21	1	1	0	31	20	6	4
1989	44036	Bea	5	1	1	0	4	4	0	0
1989	44037	Beceite	58	1	0	1	62	58	2	2
1989	44038	Belmonte de San José	31	2	1	1	50	30	15	5
1989	44039	Bello	45	1	1	0	70	40	7	22
1989	44040	Berge	28	1	0	1	42	28	5	8
1989	44041	Bezas	2	3	0	3	4	2	1	0
1989	44042	Blancas	30	0	0	0	34	30	2	3
1989	44043	Blesa	32	1	1	0	35	32	2	2
1989	44044	Bordón	25	0	0	0	37	25	7	5
1989	44045	Bronchales	29	5	2	3	30	29	0	1
1989	44046	Bueña	31	0	0	0	37	31	4	2
1989	44047	Burbáguena	46	4	2	2	54	43	3	8
1989	44048	Cabra de Mora	11	3	3	0	13	9	3	0
1989	44049	Calaceite	160	14	4	10	241	156	44	41
1989	44050	Calamocha	251	21	13	9	298	244	34	19
1989	44051	Calanda	223	24	15	9	293	220	33	40
1989	44052	Calomarde	13	1	0	1	15	13	1	1
1989	44053	Camañas	33	1	1	0	42	33	7	2
1989	44054	Camarena de la Sierra	15	1	0	1	18	15	2	1
1989	44055	Camarillas	15	1	1	0	20	15	3	2
1989	44056	Caminreal	93	0	0	0	108	93	10	5
1989	44059	Cantavieja	63	3	1	1	99	63	16	19
1989	44060	Cañada de Benatanduz	11	0	0	0	29	11	7	11
1989	44061	Cañada de Verich (La)	15	0	0	0	23	15	4	4
1989	44062	Cañada Vellida	14	0	0	0	19	14	1	4
1989	44063	Cañizar del Olivar	6	3	3	0	8	6	1	1
1989	44064	Cascante del Río	19	0	0	0	28	19	4	5
1989	44065	Castejón de Tornos	15	0	0	0	22	14	3	5
1989	44066	Castel de Cabra	12	4	4	0	18	11	4	4
1989	44067	Castelnou	17	6	5	1	20	16	2	2
1989	44068	Castelserás	45	1	0	1	70	45	9	16
1989	44070	Castellar (El)	10	2	2	0	20	10	5	5
1989	44071	Castellote	98	9	4	5	144	95	22	27
1989	44074	Cedrillas	48	3	2	1	68	47	14	7
1989	44075	Celadas	68	2	1	1	94	68	8	18
1989	44076	Cella	215	21	16	4	311	203	72	35
1989	44077	Cerollera (La)	5	0	0	0	5	5	0	0
1989	44080	Codoñera (La)	49	0	0	0	75	49	14	12
1989	44082	Corbalán	12	1	1	0	19	12	3	4
1989	44084	Cortes de Aragón	10	3	0	2	13	10	1	1
1989	44085	Cosa	25	0	0	0	34	24	2	7
1989	44086	Cretas	147	9	5	4	203	142	32	29
1989	44087	Crivillén	9	2	2	0	10	9	0	1
1989	44088	Cuba (La)	13	0	0	0	17	13	3	1
1989	44089	Cubla	17	0	0	0	23	17	3	3
1989	44090	Cucalón	12	1	0	1	13	12	1	0
1989	44092	Cuervo (El)	9	0	0	0	14	9	4	2
1989	44093	Cuevas de Almudén	7	0	0	0	10	7	0	3
1989	44094	Cuevas Labradas	22	0	0	0	25	22	2	1
1989	44096	Ejulve	20	1	1	0	30	18	6	6
1989	44097	Escorihuela	35	4	0	4	47	35	3	9
1989	44099	Escucha	16	2	2	0	26	16	2	8
1989	44100	Estercuel	5	5	5	0	6	5	1	0
1989	44101	Ferreruela de Huerva	15	0	0	0	17	15	0	1
1989	44102	Fonfría	11	1	0	1	14	11	2	1
1989	44103	Formiche Alto	11	1	1	0	11	10	1	0
1989	44105	Fórnoles	30	0	0	0	41	29	6	5
1989	44106	Fortanete	30	1	1	0	56	30	15	10
1989	44107	Foz-Calanda	46	1	0	1	69	45	7	17
1989	44108	Fresneda (La)	81	2	1	1	121	81	20	20
1989	44109	Frías de Albarracín	20	7	0	7	28	20	1	7
1989	44110	Fuenferrada	16	0	0	0	18	16	1	0
1989	44111	Fuentes Calientes	21	0	0	0	33	21	5	7
1989	44112	Fuentes Claras	85	2	1	1	100	83	4	13
1989	44113	Fuentes de Rubielos	8	1	1	0	10	7	0	3
1989	44114	Fuentespalda	77	6	5	2	105	76	17	11
1989	44115	Galve	15	2	2	0	33	14	7	11
1989	44116	Gargallo	3	0	0	0	4	3	0	1
1989	44117	Gea de Albarracín	51	2	0	2	59	50	4	5
1989	44118	Ginebrosa (La)	76	8	4	4	115	74	25	16
1989	44119	Griegos	22	5	0	5	24	22	1	1
1989	44120	Guadalaviar	36	10	0	10	46	36	2	8
1989	44121	Gúdar	15	6	6	0	22	14	3	5
1989	44122	Híjar	178	36	33	2	189	173	7	9
1989	44123	Hinojosa de Jarque	13	2	2	0	19	13	3	3
1989	44124	Hoz de la Vieja (La)	28	0	0	0	31	28	2	1
1989	44125	Huesa del Común	17	0	0	0	17	17	0	0
1989	44126	Iglesuela del Cid (La)	45	1	0	1	85	45	34	6
1989	44127	Jabaloyas	16	5	1	4	25	16	6	2
1989	44128	Jarque de la Val	10	1	1	0	18	10	2	5
1989	44129	Jatiel	5	1	1	0	5	5	0	0
1989	44130	Jorcas	15	0	0	0	23	13	5	4
1989	44131	Josa	5	2	0	2	6	5	0	1
1989	44132	Lagueruela	16	2	0	1	19	15	3	1
1989	44133	Lanzuela	8	1	0	1	9	8	0	0
1989	44135	Libros	25	0	0	0	28	23	3	1
1989	44136	Lidón	20	1	1	0	24	20	2	2
1989	44137	Linares de Mora	32	4	4	0	54	29	9	16
1989	44138	Loscos	36	2	0	2	40	36	2	2
1989	44141	Lledó	40	1	0	1	56	40	8	8
1989	44142	Maicas	3	0	0	0	2	2	0	0
1989	44143	Manzanera	47	0	0	0	57	46	6	5
1989	44144	Martín del Río	30	3	2	1	34	29	2	3
1989	44145	Mas de las Matas	77	7	7	0	91	76	7	8
1989	44146	Mata de los Olmos (La)	8	22	12	10	6	5	0	0
1989	44147	Mazaleón	137	3	1	2	228	136	30	62
1989	44148	Mezquita de Jarque	15	1	1	0	20	15	3	2
1989	44149	Mirambel	25	0	0	0	37	25	7	5
1989	44150	Miravete de la Sierra	9	0	0	0	19	9	6	4
1989	44151	Molinos	34	2	1	1	55	34	10	11
1989	44152	Monforte de Moyuela	25	0	0	0	27	25	2	0
1989	44153	Monreal del Campo	124	51	30	21	147	122	15	10
1989	44154	Monroyo	22	0	0	0	28	22	0	5
1989	44155	Montalbán	17	8	6	2	20	15	2	2
1989	44156	Monteagudo del Castillo	21	0	0	0	24	20	3	1
1989	44157	Monterde de Albarracín	9	0	0	0	17	9	6	2
1989	44158	Mora de Rubielos	63	7	5	2	68	62	1	5
1989	44159	Moscardón	6	4	1	3	9	6	1	2
1989	44160	Mosqueruela	114	2	0	2	204	114	76	14
1989	44161	Muniesa	88	3	3	0	99	87	7	5
1989	44163	Noguera de Albarracín	15	0	0	0	18	15	0	3
1989	44164	Nogueras	7	0	0	0	7	7	0	0
1989	44165	Nogueruelas	18	1	0	1	22	18	2	2
1989	44167	Obón	6	3	0	3	11	6	1	3
1989	44168	Odón	49	5	2	3	61	49	5	7
1989	44169	Ojos Negros	43	0	0	0	54	43	5	6
1989	44171	Olba	16	0	0	0	19	15	3	0
1989	44172	Oliete	59	6	5	1	71	56	8	6
1989	44173	Olmos (Los)	27	1	0	1	33	27	2	4
1989	44174	Orihuela del Tremedal	23	4	0	3	25	23	0	1
1989	44175	Orrios	31	2	1	1	36	31	4	2
1989	44176	Palomar de Arroyos	15	4	3	1	16	15	0	1
1989	44177	Pancrudo	33	7	4	2	33	33	0	0
1989	44178	Parras de Castellote (Las)	20	0	0	0	27	20	2	4
1989	44179	Peñarroya de Tastavins	94	13	9	4	137	93	25	20
1989	44180	Peracense	7	1	0	1	12	7	2	3
1989	44181	Peralejos	10	4	4	0	12	9	2	0
1989	44182	Perales del Alfambra	44	6	5	1	58	44	6	8
1989	44183	Pitarque	11	0	0	0	19	11	5	4
1989	44184	Plou	6	0	0	0	6	6	0	0
1989	44185	Pobo (El)	26	0	0	0	41	26	7	8
1989	44187	Portellada (La)	52	0	0	0	74	51	11	12
1989	44189	Pozondón	10	0	0	0	13	10	1	2
1989	44190	Pozuel del Campo	16	0	0	0	19	16	2	2
1989	44191	Puebla de Híjar (La)	84	84	19	65	93	81	7	6
1989	44192	Puebla de Valverde (La)	41	11	8	3	54	41	5	9
1989	44193	Puertomingalvo	38	1	1	0	72	37	24	11
1989	44194	Ráfales	46	0	0	0	56	46	5	6
1989	44195	Rillo	23	0	0	0	30	22	0	7
1989	44196	Riodeva	15	0	0	0	22	14	4	3
1989	44197	Ródenas	17	2	2	0	17	16	2	0
1989	44198	Royuela	33	0	0	0	34	33	0	1
1989	44199	Rubiales	4	2	0	2	4	4	0	0
1989	44200	Rubielos de la Cérida	10	1	0	1	17	10	1	6
1989	44201	Rubielos de Mora	37	14	7	7	46	35	5	6
1989	44203	Salcedillo	2	0	0	0	3	2	1	0
1989	44204	Saldón	4	2	1	0	5	4	1	0
1989	44205	Samper de Calanda	98	7	7	0	104	95	4	5
1989	44206	San Agustín	30	4	3	0	41	29	9	3
1989	44207	San Martín del Río	49	5	1	4	61	48	10	3
1989	44208	Santa Cruz de Nogueras	7	0	0	0	8	7	0	1
1989	44209	Santa Eulalia	61	6	5	1	80	61	12	7
1989	44210	Sarrión	57	6	5	2	62	57	1	4
1989	44211	Segura de los Baños	7	1	0	1	8	7	0	1
1989	44212	Seno	13	0	0	0	17	13	1	3
1989	44213	Singra	18	2	1	1	27	17	4	6
1989	44215	Terriente	19	7	2	5	32	17	8	6
1989	44216	Teruel	200	48	37	10	236	196	25	14
1989	44217	Toril y Masegoso	4	0	0	0	8	4	1	2
1989	44218	Tormón	2	3	1	2	4	2	2	0
1989	44219	Tornos	30	0	0	0	39	28	6	4
1989	44220	Torralba de los Sisones	32	2	2	0	46	31	7	8
1989	44221	Torrecilla de Alcañiz	58	3	2	0	98	57	24	17
1989	44222	Torrecilla del Rebollar	32	1	0	1	44	32	10	2
1989	44223	Torre de Arcas	9	0	0	0	10	9	0	0
1989	44224	Torre de las Arcas	4	0	0	0	6	4	1	2
1989	44225	Torre del Compte	37	4	2	1	54	35	13	6
1989	44226	Torrelacárcel	42	2	2	0	56	42	8	6
1989	44227	Torre los Negros	13	2	2	0	15	13	1	1
1989	44228	Torremocha de Jiloca	28	0	0	0	34	28	3	3
1989	44229	Torres de Albarracín	19	8	6	2	20	18	1	1
1989	44230	Torrevelilla	25	3	2	2	43	25	9	9
1989	44231	Torrijas	7	0	0	0	12	7	1	3
1989	44232	Torrijo del Campo	93	0	0	0	127	93	26	8
1989	44234	Tramacastiel	21	0	0	0	27	21	3	3
1989	44235	Tramacastilla	14	3	0	2	20	14	1	4
1989	44236	Tronchón	16	3	3	0	25	16	3	6
1989	44237	Urrea de Gaén	72	2	2	0	76	72	2	2
1989	44238	Utrillas	11	3	3	0	15	11	1	3
1989	44239	Valacloche	5	0	0	0	6	5	1	0
1989	44240	Valbona	17	1	1	0	23	16	5	1
1989	44241	Valdealgorfa	75	6	4	2	113	74	23	16
1989	44243	Valdecuenca	2	0	0	0	2	2	0	0
1989	44244	Valdelinares	30	3	2	1	49	29	9	10
1989	44245	Valdeltormo	21	0	0	0	32	20	6	6
1989	44246	Valderrobres	188	6	3	2	258	184	38	35
1989	44247	Valjunquera	71	4	1	3	111	68	25	18
1989	44249	Vallecillo (El)	2	1	0	1	3	2	0	1
1989	44250	Veguillas de la Sierra	9	0	0	0	12	9	2	1
1989	44251	Villafranca del Campo	42	6	6	0	49	41	4	5
1989	44252	Villahermosa del Campo	16	2	1	1	16	15	0	0
1989	44256	Villanueva del Rebollar de la Sierra	11	0	0	0	17	11	6	0
1989	44257	Villar del Cobo	39	5	0	5	44	39	2	3
1989	44258	Villar del Salz	9	0	0	0	11	9	0	1
1989	44260	Villarluengo	28	6	6	0	66	27	15	24
1989	44261	Villarquemado	137	0	0	0	209	137	17	56
1989	44262	Villarroya de los Pinares	22	0	0	0	32	20	5	6
1989	44263	Villastar	18	2	2	0	25	18	4	2
1989	44264	Villel	35	6	3	3	54	36	11	7
1989	44265	Vinaceite	65	3	3	0	71	63	4	3
1989	44266	Visiedo	39	0	0	0	50	39	5	5
1989	44267	Vivel del Río Martín	20	0	0	0	25	20	4	0
1989	44268	Zoma (La)	3	0	0	0	3	3	1	0
1989	50001	Abanto	28	3	2	1	27	27	0	0
1989	50002	Acered	58	13	1	12	91	55	18	18
1989	50003	Agón	21	11	6	5	31	20	2	9
1989	50004	Aguarón	67	35	6	29	73	66	4	3
1989	50005	Aguilón	36	9	3	6	38	34	1	4
1989	50006	Ainzón	81	20	5	15	114	79	3	31
1989	50007	Aladrén	8	2	2	0	8	7	0	0
1989	50008	Alagón	172	24	16	8	179	167	2	11
1989	50009	Alarba	39	4	2	2	57	37	4	16
1989	50010	Alberite de San Juan	11	0	0	0	12	11	0	1
1989	50011	Albeta	1	0	0	0	1	1	0	0
1989	50012	Alborge	4	0	0	0	4	4	0	0
1989	50013	Alcalá de Ebro	26	0	0	0	28	26	1	2
1989	50014	Alcalá de Moncayo	19	1	1	0	21	17	1	3
1989	50015	Alconchel de Ariza	26	2	2	0	39	25	10	4
1989	50016	Aldehuela de Liestos	10	0	0	0	10	10	0	0
1989	50017	Alfajarín	80	27	19	8	93	76	0	16
1989	50018	Alfamén	98	173	54	119	142	94	2	46
1989	50019	Alforque	14	1	1	0	19	14	3	2
1989	50020	Alhama de Aragón	27	2	1	1	26	26	0	0
1989	50021	Almochuel	11	0	0	0	13	11	2	0
1989	50022	Almolda (La)	40	8	7	1	45	35	0	9
1989	50023	Almonacid de la Cuba	56	1	1	0	71	55	6	10
1989	50024	Almonacid de la Sierra	99	122	18	104	122	95	5	22
