Año	Residencia CCAA nombre	Edad (grupos quinquenales)	Sexo	Extranjeros
2001	Aragón	25 a 29	Hombres	2530
2001	Aragón	25 a 29	Mujeres	1743
2001	Aragón	30 a 34	Hombres	2955
2001	Aragón	30 a 34	Mujeres	1766
2001	Aragón	35 a 39	Hombres	2103
2001	Aragón	35 a 39	Mujeres	1280
2001	Aragón	40 a 44	Hombres	1304
2001	Aragón	40 a 44	Mujeres	880
2001	Aragón	45 a 49	Hombres	705
2001	Aragón	45 a 49	Mujeres	553
2001	Aragón	50 a 54	Hombres	387
2001	Aragón	50 a 54	Mujeres	303
2001	Aragón	55 a 59	Hombres	200
2001	Aragón	55 a 59	Mujeres	198
2001	Aragón	60 a 64	Hombres	149
2001	Aragón	60 a 64	Mujeres	117
2001	Aragón	65 a 69	Hombres	88
2001	Aragón	65 a 69	Mujeres	122
2001	Aragón	70 a 74	Hombres	71
2001	Aragón	70 a 74	Mujeres	91
2001	Aragón	75 a 79	Hombres	36
2001	Aragón	75 a 79	Mujeres	60
2001	Aragón	80 a 84	Hombres	29
2001	Aragón	80 a 84	Mujeres	35
2001	Aragón	85 a 89	Hombres	11
2001	Aragón	85 a 89	Mujeres	20
2001	Aragón	90 a 94	Hombres	2
2001	Aragón	90 a 94	Mujeres	7
2001	Aragón	95 y más	Hombres	4
2001	Aragón	95 y más	Mujeres	1
2002	Aragón	00 a 04	Hombres	1142
2002	Aragón	00 a 04	Mujeres	1040
2002	Aragón	05 a 09	Hombres	941
2002	Aragón	05 a 09	Mujeres	987
2002	Aragón	10 a 14	Hombres	961
2002	Aragón	10 a 14	Mujeres	924
2002	Aragón	15 a 19	Hombres	1171
2002	Aragón	15 a 19	Mujeres	943
2002	Aragón	20 a 24	Hombres	3090
2002	Aragón	20 a 24	Mujeres	2544
2002	Aragón	25 a 29	Hombres	4811
2002	Aragón	25 a 29	Mujeres	3162
2002	Aragón	30 a 34	Hombres	4895
2002	Aragón	30 a 34	Mujeres	2916
2002	Aragón	35 a 39	Hombres	3527
2002	Aragón	35 a 39	Mujeres	2177
2002	Aragón	40 a 44	Hombres	2158
2002	Aragón	40 a 44	Mujeres	1448
2002	Aragón	45 a 49	Hombres	1312
2002	Aragón	45 a 49	Mujeres	937
2002	Aragón	50 a 54	Hombres	620
2002	Aragón	50 a 54	Mujeres	528
2002	Aragón	55 a 59	Hombres	302
2002	Aragón	55 a 59	Mujeres	306
2002	Aragón	60 a 64	Hombres	200
2002	Aragón	60 a 64	Mujeres	199
2002	Aragón	65 a 69	Hombres	120
2002	Aragón	65 a 69	Mujeres	154
2002	Aragón	70 a 74	Hombres	92
2002	Aragón	70 a 74	Mujeres	128
2002	Aragón	75 a 79	Hombres	42
2002	Aragón	75 a 79	Mujeres	80
2002	Aragón	80 a 84	Hombres	32
2002	Aragón	80 a 84	Mujeres	37
2002	Aragón	85 a 89	Hombres	10
2002	Aragón	85 a 89	Mujeres	23
2002	Aragón	90 a 94	Hombres	2
2002	Aragón	90 a 94	Mujeres	7
2002	Aragón	95 y más	Hombres	4
2002	Aragón	95 y más	Mujeres	1
2003	Aragón	00 a 04	Hombres	1774
2003	Aragón	00 a 04	Mujeres	1669
2003	Aragón	05 a 09	Hombres	1561
2003	Aragón	05 a 09	Mujeres	1584
2003	Aragón	10 a 14	Hombres	1484
2003	Aragón	10 a 14	Mujeres	1440
2003	Aragón	15 a 19	Hombres	1720
2003	Aragón	15 a 19	Mujeres	1489
2003	Aragón	20 a 24	Hombres	4181
2003	Aragón	20 a 24	Mujeres	3673
2003	Aragón	25 a 29	Hombres	6553
2003	Aragón	25 a 29	Mujeres	4611
2003	Aragón	30 a 34	Hombres	6577
2003	Aragón	30 a 34	Mujeres	3904
2003	Aragón	35 a 39	Hombres	4689
2003	Aragón	35 a 39	Mujeres	2942
2003	Aragón	40 a 44	Hombres	2975
2003	Aragón	40 a 44	Mujeres	2020
2003	Aragón	45 a 49	Hombres	1797
2003	Aragón	45 a 49	Mujeres	1307
2003	Aragón	50 a 54	Hombres	859
2003	Aragón	50 a 54	Mujeres	750
2003	Aragón	55 a 59	Hombres	446
2003	Aragón	55 a 59	Mujeres	444
2003	Aragón	60 a 64	Hombres	242
2003	Aragón	60 a 64	Mujeres	281
2003	Aragón	65 a 69	Hombres	161
2003	Aragón	65 a 69	Mujeres	191
2003	Aragón	70 a 74	Hombres	107
2003	Aragón	70 a 74	Mujeres	154
2003	Aragón	75 a 79	Hombres	54
2003	Aragón	75 a 79	Mujeres	106
2003	Aragón	80 a 84	Hombres	35
2003	Aragón	80 a 84	Mujeres	49
2003	Aragón	85 a 89	Hombres	17
2003	Aragón	85 a 89	Mujeres	29
2003	Aragón	90 a 94	Hombres	2
2003	Aragón	90 a 94	Mujeres	11
2003	Aragón	95 y más	Hombres	7
2003	Aragón	95 y más	Mujeres	1
2004	Aragón	00 a 04	Hombres	2280
2004	Aragón	00 a 04	Mujeres	2093
2004	Aragón	05 a 09	Hombres	2116
2004	Aragón	05 a 09	Mujeres	2056
2004	Aragón	10 a 14	Hombres	1945
2004	Aragón	10 a 14	Mujeres	1906
2004	Aragón	15 a 19	Hombres	2152
2004	Aragón	15 a 19	Mujeres	1970
2004	Aragón	20 a 24	Hombres	4761
2004	Aragón	20 a 24	Mujeres	4381
2004	Aragón	25 a 29	Hombres	7933
2004	Aragón	25 a 29	Mujeres	5789
2004	Aragón	30 a 34	Hombres	7775
2004	Aragón	30 a 34	Mujeres	4904
2004	Aragón	35 a 39	Hombres	5898
2004	Aragón	35 a 39	Mujeres	3830
2004	Aragón	40 a 44	Hombres	3703
2004	Aragón	40 a 44	Mujeres	2560
2004	Aragón	45 a 49	Hombres	2379
2004	Aragón	45 a 49	Mujeres	1784
2004	Aragón	50 a 54	Hombres	1161
2004	Aragón	50 a 54	Mujeres	1062
2004	Aragón	55 a 59	Hombres	559
2004	Aragón	55 a 59	Mujeres	669
2004	Aragón	60 a 64	Hombres	307
2004	Aragón	60 a 64	Mujeres	398
2004	Aragón	65 a 69	Hombres	209
2004	Aragón	65 a 69	Mujeres	255
2004	Aragón	70 a 74	Hombres	138
2004	Aragón	70 a 74	Mujeres	205
2004	Aragón	75 a 79	Hombres	75
2004	Aragón	75 a 79	Mujeres	122
2004	Aragón	80 a 84	Hombres	36
2004	Aragón	80 a 84	Mujeres	68
2004	Aragón	85 a 89	Hombres	22
2004	Aragón	85 a 89	Mujeres	25
2004	Aragón	90 a 94	Hombres	4
2004	Aragón	90 a 94	Mujeres	12
2004	Aragón	95 y más	Hombres	1
2004	Aragón	95 y más	Mujeres	2
2005	Aragón	00 a 04	Hombres	2656
2005	Aragón	00 a 04	Mujeres	2582
2005	Aragón	05 a 09	Hombres	2598
2005	Aragón	05 a 09	Mujeres	2487
2005	Aragón	10 a 14	Hombres	2364
2005	Aragón	10 a 14	Mujeres	2333
2005	Aragón	15 a 19	Hombres	2851
2005	Aragón	15 a 19	Mujeres	2560
2005	Aragón	20 a 24	Hombres	5758
2005	Aragón	20 a 24	Mujeres	5261
2005	Aragón	25 a 29	Hombres	9784
2005	Aragón	25 a 29	Mujeres	7088
2005	Aragón	30 a 34	Hombres	9644
2005	Aragón	30 a 34	Mujeres	6129
2005	Aragón	35 a 39	Hombres	7547
2005	Aragón	35 a 39	Mujeres	4769
2005	Aragón	40 a 44	Hombres	4841
2005	Aragón	40 a 44	Mujeres	3268
2005	Aragón	45 a 49	Hombres	3080
2005	Aragón	45 a 49	Mujeres	2259
2005	Aragón	50 a 54	Hombres	1570
2005	Aragón	50 a 54	Mujeres	1421
2005	Aragón	55 a 59	Hombres	756
2005	Aragón	55 a 59	Mujeres	873
2005	Aragón	60 a 64	Hombres	389
2005	Aragón	60 a 64	Mujeres	509
2005	Aragón	65 a 69	Hombres	281
2005	Aragón	65 a 69	Mujeres	324
2005	Aragón	70 a 74	Hombres	173
2005	Aragón	70 a 74	Mujeres	272
2005	Aragón	75 a 79	Hombres	85
2005	Aragón	75 a 79	Mujeres	135
2005	Aragón	80 a 84	Hombres	36
2005	Aragón	80 a 84	Mujeres	75
2005	Aragón	85 a 89	Hombres	26
2005	Aragón	85 a 89	Mujeres	34
2005	Aragón	90 a 94	Hombres	10
2005	Aragón	90 a 94	Mujeres	15
2005	Aragón	95 y más	Hombres	2
2005	Aragón	95 y más	Mujeres	3
2006	Aragón	00 a 04	Hombres	2923
2006	Aragón	00 a 04	Mujeres	2815
2006	Aragón	05 a 09	Hombres	2978
2006	Aragón	05 a 09	Mujeres	2727
2006	Aragón	10 a 14	Hombres	2706
2006	Aragón	10 a 14	Mujeres	2666
2006	Aragón	15 a 19	Hombres	3213
2006	Aragón	15 a 19	Mujeres	3022
2006	Aragón	20 a 24	Hombres	5946
2006	Aragón	20 a 24	Mujeres	5562
2006	Aragón	25 a 29	Hombres	10121
2006	Aragón	25 a 29	Mujeres	7689
2006	Aragón	30 a 34	Hombres	10025
2006	Aragón	30 a 34	Mujeres	6753
2006	Aragón	35 a 39	Hombres	8391
2006	Aragón	35 a 39	Mujeres	5383
2006	Aragón	40 a 44	Hombres	5273
2006	Aragón	40 a 44	Mujeres	3635
2006	Aragón	45 a 49	Hombres	3392
2006	Aragón	45 a 49	Mujeres	2558
2006	Aragón	50 a 54	Hombres	1789
2006	Aragón	50 a 54	Mujeres	1586
2006	Aragón	55 a 59	Hombres	879
2006	Aragón	55 a 59	Mujeres	988
2006	Aragón	60 a 64	Hombres	404
2006	Aragón	60 a 64	Mujeres	507
2006	Aragón	65 a 69	Hombres	298
2006	Aragón	65 a 69	Mujeres	348
2006	Aragón	70 a 74	Hombres	169
2006	Aragón	70 a 74	Mujeres	233
2006	Aragón	75 a 79	Hombres	86
2006	Aragón	75 a 79	Mujeres	127
2006	Aragón	80 a 84	Hombres	21
2006	Aragón	80 a 84	Mujeres	63
2006	Aragón	85 a 89	Hombres	22
2006	Aragón	85 a 89	Mujeres	36
2006	Aragón	90 a 94	Hombres	11
2006	Aragón	90 a 94	Mujeres	14
2006	Aragón	95 y más	Hombres	1
2006	Aragón	95 y más	Mujeres	1
2007	Aragón	00 a 04	Hombres	3496
2007	Aragón	00 a 04	Mujeres	3357
2007	Aragón	05 a 09	Hombres	3510
2007	Aragón	05 a 09	Mujeres	3160
2007	Aragón	10 a 14	Hombres	3184
2007	Aragón	10 a 14	Mujeres	3072
2007	Aragón	15 a 19	Hombres	3774
2007	Aragón	15 a 19	Mujeres	3623
2007	Aragón	20 a 24	Hombres	6858
2007	Aragón	20 a 24	Mujeres	6533
2007	Aragón	25 a 29	Hombres	11256
2007	Aragón	25 a 29	Mujeres	9086
2007	Aragón	30 a 34	Hombres	11597
2007	Aragón	30 a 34	Mujeres	8110
2007	Aragón	35 a 39	Hombres	9802
2007	Aragón	35 a 39	Mujeres	6471
2007	Aragón	40 a 44	Hombres	6316
2007	Aragón	40 a 44	Mujeres	4268
2007	Aragón	45 a 49	Hombres	4140
2007	Aragón	45 a 49	Mujeres	3165
2007	Aragón	50 a 54	Hombres	2400
2007	Aragón	50 a 54	Mujeres	2060
2007	Aragón	55 a 59	Hombres	1132
2007	Aragón	55 a 59	Mujeres	1218
2007	Aragón	60 a 64	Hombres	531
2007	Aragón	60 a 64	Mujeres	644
2007	Aragón	65 a 69	Hombres	339
2007	Aragón	65 a 69	Mujeres	413
2007	Aragón	70 a 74	Hombres	201
2007	Aragón	70 a 74	Mujeres	275
2007	Aragón	75 a 79	Hombres	96
2007	Aragón	75 a 79	Mujeres	133
2007	Aragón	80 a 84	Hombres	30
2007	Aragón	80 a 84	Mujeres	72
2007	Aragón	85 a 89	Hombres	26
2007	Aragón	85 a 89	Mujeres	34
2007	Aragón	90 a 94	Hombres	6
2007	Aragón	90 a 94	Mujeres	13
2007	Aragón	95 y más	Hombres	1
2007	Aragón	95 y más	Mujeres	2
2008	Aragón	00 a 04	Hombres	4493
2008	Aragón	00 a 04	Mujeres	4155
2008	Aragón	05 a 09	Hombres	4061
2008	Aragón	05 a 09	Mujeres	3826
2008	Aragón	10 a 14	Hombres	3996
2008	Aragón	10 a 14	Mujeres	3595
2008	Aragón	15 a 19	Hombres	4810
2008	Aragón	15 a 19	Mujeres	4450
2008	Aragón	20 a 24	Hombres	9138
2008	Aragón	20 a 24	Mujeres	8195
2008	Aragón	25 a 29	Hombres	13670
2008	Aragón	25 a 29	Mujeres	10849
2008	Aragón	30 a 34	Hombres	14415
2008	Aragón	30 a 34	Mujeres	9998
2008	Aragón	35 a 39	Hombres	12086
2008	Aragón	35 a 39	Mujeres	7838
2008	Aragón	40 a 44	Hombres	8196
2008	Aragón	40 a 44	Mujeres	5444
2008	Aragón	45 a 49	Hombres	5436
2008	Aragón	45 a 49	Mujeres	3875
2008	Aragón	50 a 54	Hombres	3197
2008	Aragón	50 a 54	Mujeres	2634
2008	Aragón	55 a 59	Hombres	1496
2008	Aragón	55 a 59	Mujeres	1585
2008	Aragón	60 a 64	Hombres	727
2008	Aragón	60 a 64	Mujeres	843
2008	Aragón	65 a 69	Hombres	377
2008	Aragón	65 a 69	Mujeres	478
2008	Aragón	70 a 74	Hombres	222
2008	Aragón	70 a 74	Mujeres	305
2008	Aragón	75 a 79	Hombres	122
2008	Aragón	75 a 79	Mujeres	172
2008	Aragón	80 a 84	Hombres	44
2008	Aragón	80 a 84	Mujeres	75
2008	Aragón	85 a 89	Hombres	19
2008	Aragón	85 a 89	Mujeres	42
2008	Aragón	90 a 94	Hombres	8
2008	Aragón	90 a 94	Mujeres	16
2008	Aragón	95 y más	Hombres	2
2008	Aragón	95 y más	Mujeres	2
2009	Aragón	00 a 04	Hombres	5385
2009	Aragón	00 a 04	Mujeres	5074
2009	Aragón	05 a 09	Hombres	4445
2009	Aragón	05 a 09	Mujeres	4163
2009	Aragón	10 a 14	Hombres	4432
2009	Aragón	10 a 14	Mujeres	3997
2009	Aragón	15 a 19	Hombres	5031
2009	Aragón	15 a 19	Mujeres	4573
2009	Aragón	20 a 24	Hombres	9753
2009	Aragón	20 a 24	Mujeres	8968
2009	Aragón	25 a 29	Hombres	14502
2009	Aragón	25 a 29	Mujeres	11702
2009	Aragón	30 a 34	Hombres	16120
2009	Aragón	30 a 34	Mujeres	11147
2009	Aragón	35 a 39	Hombres	13227
2009	Aragón	35 a 39	Mujeres	8634
2009	Aragón	40 a 44	Hombres	9592
2009	Aragón	40 a 44	Mujeres	6368
2009	Aragón	45 a 49	Hombres	6153
2009	Aragón	45 a 49	Mujeres	4420
2009	Aragón	50 a 54	Hombres	3800
2009	Aragón	50 a 54	Mujeres	3047
2009	Aragón	55 a 59	Hombres	1841
2009	Aragón	55 a 59	Mujeres	1848
2009	Aragón	60 a 64	Hombres	831
2009	Aragón	60 a 64	Mujeres	994
2009	Aragón	65 a 69	Hombres	406
2009	Aragón	65 a 69	Mujeres	533
2009	Aragón	70 a 74	Hombres	256
2009	Aragón	70 a 74	Mujeres	338
2009	Aragón	75 a 79	Hombres	137
2009	Aragón	75 a 79	Mujeres	190
2009	Aragón	80 a 84	Hombres	46
2009	Aragón	80 a 84	Mujeres	84
2009	Aragón	85 a 89	Hombres	20
2009	Aragón	85 a 89	Mujeres	49
2009	Aragón	90 a 94	Hombres	6
2009	Aragón	90 a 94	Mujeres	10
2009	Aragón	95 y más	Hombres	8
2009	Aragón	95 y más	Mujeres	8
2010	Aragón	00 a 04	Hombres	5729
2010	Aragón	00 a 04	Mujeres	5369
2010	Aragón	05 a 09	Hombres	4470
2010	Aragón	05 a 09	Mujeres	4244
2010	Aragón	10 a 14	Hombres	4592
2010	Aragón	10 a 14	Mujeres	4076
2010	Aragón	15 a 19	Hombres	4953
2010	Aragón	15 a 19	Mujeres	4468
2010	Aragón	20 a 24	Hombres	8879
2010	Aragón	20 a 24	Mujeres	8644
2010	Aragón	25 a 29	Hombres	13173
2010	Aragón	25 a 29	Mujeres	11379
2010	Aragón	30 a 34	Hombres	15593
2010	Aragón	30 a 34	Mujeres	11509
2010	Aragón	35 a 39	Hombres	13197
2010	Aragón	35 a 39	Mujeres	9077
2010	Aragón	40 a 44	Hombres	10040
2010	Aragón	40 a 44	Mujeres	6882
2010	Aragón	45 a 49	Hombres	6448
2010	Aragón	45 a 49	Mujeres	4586
2010	Aragón	50 a 54	Hombres	3989
2010	Aragón	50 a 54	Mujeres	3309
2010	Aragón	55 a 59	Hombres	2112
2010	Aragón	55 a 59	Mujeres	2022
2010	Aragón	60 a 64	Hombres	935
2010	Aragón	60 a 64	Mujeres	1112
2010	Aragón	65 a 69	Hombres	447
2010	Aragón	65 a 69	Mujeres	587
2010	Aragón	70 a 74	Hombres	285
2010	Aragón	70 a 74	Mujeres	362
2010	Aragón	75 a 79	Hombres	159
2010	Aragón	75 a 79	Mujeres	219
2010	Aragón	80 a 84	Hombres	45
2010	Aragón	80 a 84	Mujeres	89
2010	Aragón	85 a 89	Hombres	21
2010	Aragón	85 a 89	Mujeres	52
2010	Aragón	90 a 94	Hombres	7
2010	Aragón	90 a 94	Mujeres	15
2010	Aragón	95 y más	Hombres	2
2010	Aragón	95 y más	Mujeres	9
2011	Aragón	00 a 04	Hombres	5998
2011	Aragón	00 a 04	Mujeres	5577
2011	Aragón	05 a 09	Hombres	4363
2011	Aragón	05 a 09	Mujeres	4089
2011	Aragón	10 a 14	Hombres	4549
2011	Aragón	10 a 14	Mujeres	4047
2011	Aragón	15 a 19	Hombres	4740
2011	Aragón	15 a 19	Mujeres	4262
2011	Aragón	20 a 24	Hombres	7772
2011	Aragón	20 a 24	Mujeres	8059
2011	Aragón	25 a 29	Hombres	11832
2011	Aragón	25 a 29	Mujeres	10900
2011	Aragón	30 a 34	Hombres	15002
2011	Aragón	30 a 34	Mujeres	11566
2011	Aragón	35 a 39	Hombres	13084
2011	Aragón	35 a 39	Mujeres	9295
2011	Aragón	40 a 44	Hombres	10482
2011	Aragón	40 a 44	Mujeres	7354
2011	Aragón	45 a 49	Hombres	6475
2011	Aragón	45 a 49	Mujeres	4768
2011	Aragón	50 a 54	Hombres	4245
2011	Aragón	50 a 54	Mujeres	3472
2011	Aragón	55 a 59	Hombres	2291
2011	Aragón	55 a 59	Mujeres	2233
2011	Aragón	60 a 64	Hombres	1068
2011	Aragón	60 a 64	Mujeres	1226
2011	Aragón	65 a 69	Hombres	490
2011	Aragón	65 a 69	Mujeres	592
2011	Aragón	70 a 74	Hombres	296
2011	Aragón	70 a 74	Mujeres	382
2011	Aragón	75 a 79	Hombres	171
2011	Aragón	75 a 79	Mujeres	239
2011	Aragón	80 a 84	Hombres	59
2011	Aragón	80 a 84	Mujeres	99
2011	Aragón	85 a 89	Hombres	19
2011	Aragón	85 a 89	Mujeres	55
2011	Aragón	90 a 94	Hombres	10
2011	Aragón	90 a 94	Mujeres	19
2011	Aragón	95 y más	Hombres	2
2011	Aragón	95 y más	Mujeres	11
2012	Aragón	00 a 04	Hombres	6015
2012	Aragón	00 a 04	Mujeres	5660
2012	Aragón	05 a 09	Hombres	4396
2012	Aragón	05 a 09	Mujeres	4234
2012	Aragón	10 a 14	Hombres	4514
2012	Aragón	10 a 14	Mujeres	4106
2012	Aragón	15 a 19	Hombres	4733
2012	Aragón	15 a 19	Mujeres	4182
2012	Aragón	20 a 24	Hombres	7241
2012	Aragón	20 a 24	Mujeres	7673
2012	Aragón	25 a 29	Hombres	11076
2012	Aragón	25 a 29	Mujeres	10823
2012	Aragón	30 a 34	Hombres	14468
2012	Aragón	30 a 34	Mujeres	11868
2012	Aragón	35 a 39	Hombres	13536
2012	Aragón	35 a 39	Mujeres	9653
2012	Aragón	40 a 44	Hombres	10946
2012	Aragón	40 a 44	Mujeres	7886
2012	Aragón	45 a 49	Hombres	6780
2012	Aragón	45 a 49	Mujeres	4901
2012	Aragón	50 a 54	Hombres	4508
2012	Aragón	50 a 54	Mujeres	3664
2012	Aragón	55 a 59	Hombres	2574
2012	Aragón	55 a 59	Mujeres	2397
2012	Aragón	60 a 64	Hombres	1193
2012	Aragón	60 a 64	Mujeres	1388
2012	Aragón	65 a 69	Hombres	559
2012	Aragón	65 a 69	Mujeres	649
2012	Aragón	70 a 74	Hombres	316
2012	Aragón	70 a 74	Mujeres	425
2012	Aragón	75 a 79	Hombres	188
2012	Aragón	75 a 79	Mujeres	248
2012	Aragón	80 a 84	Hombres	74
2012	Aragón	80 a 84	Mujeres	110
2012	Aragón	85 a 89	Hombres	21
2012	Aragón	85 a 89	Mujeres	57
2012	Aragón	90 a 94	Hombres	15
2012	Aragón	90 a 94	Mujeres	22
2012	Aragón	95 y más	Hombres	2
2012	Aragón	95 y más	Mujeres	10
2013	Aragón	00 a 04	Hombres	5894
2013	Aragón	00 a 04	Mujeres	5617
2013	Aragón	05 a 09	Hombres	4537
2013	Aragón	05 a 09	Mujeres	4367
2013	Aragón	10 a 14	Hombres	4495
2013	Aragón	10 a 14	Mujeres	4109
2013	Aragón	15 a 19	Hombres	4753
2013	Aragón	15 a 19	Mujeres	4089
2013	Aragón	20 a 24	Hombres	6544
2013	Aragón	20 a 24	Mujeres	6902
2013	Aragón	25 a 29	Hombres	10515
2013	Aragón	25 a 29	Mujeres	10673
2013	Aragón	30 a 34	Hombres	13713
2013	Aragón	30 a 34	Mujeres	11889
2013	Aragón	35 a 39	Hombres	13851
2013	Aragón	35 a 39	Mujeres	10208
2013	Aragón	40 a 44	Hombres	11093
2013	Aragón	40 a 44	Mujeres	7963
2013	Aragón	45 a 49	Hombres	7296
2013	Aragón	45 a 49	Mujeres	5506
2013	Aragón	50 a 54	Hombres	4730
2013	Aragón	50 a 54	Mujeres	3846
2013	Aragón	55 a 59	Hombres	2737
2013	Aragón	55 a 59	Mujeres	2542
2013	Aragón	60 a 64	Hombres	1343
2013	Aragón	60 a 64	Mujeres	1511
2013	Aragón	65 a 69	Hombres	620
2013	Aragón	65 a 69	Mujeres	742
2013	Aragón	70 a 74	Hombres	318
2013	Aragón	70 a 74	Mujeres	440
2013	Aragón	75 a 79	Hombres	179
2013	Aragón	75 a 79	Mujeres	278
2013	Aragón	80 a 84	Hombres	93
2013	Aragón	80 a 84	Mujeres	131
2013	Aragón	85 a 89	Hombres	28
2013	Aragón	85 a 89	Mujeres	55
