Comarca codigo	Comarca nombre	Edad	Jefe explotación	Sexo	Personas
13	Campo de Borja	b) >=35 a <55 años	1	Mujeres	114
13	Campo de Borja	c) >=55 años	1	Hombres	772
13	Campo de Borja	c) >=55 años	1	Mujeres	151
14	Aranda	a) <35 años	1	Hombres	21
14	Aranda	a) <35 años	1	Mujeres	4
14	Aranda	b) >=35 a <55 años	1	Hombres	171
14	Aranda	b) >=35 a <55 años	1	Mujeres	43
14	Aranda	c) >=55 años	1	Hombres	383
14	Aranda	c) >=55 años	1	Mujeres	63
15	Ribera Alta del Ebro	a) <35 años	1	Hombres	39
15	Ribera Alta del Ebro	a) <35 años	1	Mujeres	4
15	Ribera Alta del Ebro	b) >=35 a <55 años	1	Hombres	357
15	Ribera Alta del Ebro	b) >=35 a <55 años	1	Mujeres	61
15	Ribera Alta del Ebro	c) >=55 años	1	Hombres	558
15	Ribera Alta del Ebro	c) >=55 años	1	Mujeres	88
16	Valdejalón	a) <35 años	1	Hombres	118
16	Valdejalón	a) <35 años	1	Mujeres	11
16	Valdejalón	b) >=35 a <55 años	1	Hombres	811
16	Valdejalón	b) >=35 a <55 años	1	Mujeres	124
16	Valdejalón	c) >=55 años	1	Hombres	1279
16	Valdejalón	c) >=55 años	1	Mujeres	172
17	D.C. Zaragoza	a) <35 años	1	Hombres	99
17	D.C. Zaragoza	a) <35 años	1	Mujeres	12
17	D.C. Zaragoza	b) >=35 a <55 años	1	Hombres	868
17	D.C. Zaragoza	b) >=35 a <55 años	1	Mujeres	111
17	D.C. Zaragoza	c) >=55 años	1	Hombres	1282
17	D.C. Zaragoza	c) >=55 años	1	Mujeres	237
18	Ribera Baja del Ebro	a) <35 años	1	Hombres	61
18	Ribera Baja del Ebro	a) <35 años	1	Mujeres	7
18	Ribera Baja del Ebro	b) >=35 a <55 años	1	Hombres	377
18	Ribera Baja del Ebro	b) >=35 a <55 años	1	Mujeres	84
18	Ribera Baja del Ebro	c) >=55 años	1	Hombres	443
18	Ribera Baja del Ebro	c) >=55 años	1	Mujeres	107
19	Bajo Aragón-Caspe / Baix Aragó-Casp	a) <35 años	1	Hombres	107
19	Bajo Aragón-Caspe / Baix Aragó-Casp	a) <35 años	1	Mujeres	6
19	Bajo Aragón-Caspe / Baix Aragó-Casp	b) >=35 a <55 años	1	Hombres	557
19	Bajo Aragón-Caspe / Baix Aragó-Casp	b) >=35 a <55 años	1	Mujeres	99
19	Bajo Aragón-Caspe / Baix Aragó-Casp	c) >=55 años	1	Hombres	708
19	Bajo Aragón-Caspe / Baix Aragó-Casp	c) >=55 años	1	Mujeres	140
20	Comunidad de Calatayud	a) <35 años	1	Hombres	129
20	Comunidad de Calatayud	a) <35 años	1	Mujeres	18
20	Comunidad de Calatayud	b) >=35 a <55 años	1	Hombres	1086
20	Comunidad de Calatayud	b) >=35 a <55 años	1	Mujeres	169
20	Comunidad de Calatayud	c) >=55 años	1	Hombres	1736
20	Comunidad de Calatayud	c) >=55 años	1	Mujeres	217
21	Campo de Cariñena	a) <35 años	1	Hombres	93
21	Campo de Cariñena	a) <35 años	1	Mujeres	11
21	Campo de Cariñena	b) >=35 a <55 años	1	Hombres	698
21	Campo de Cariñena	b) >=35 a <55 años	1	Mujeres	145
21	Campo de Cariñena	c) >=55 años	1	Hombres	885
21	Campo de Cariñena	c) >=55 años	1	Mujeres	144
22	Campo de Belchite	a) <35 años	1	Hombres	57
22	Campo de Belchite	a) <35 años	1	Mujeres	3
22	Campo de Belchite	b) >=35 a <55 años	1	Hombres	400
22	Campo de Belchite	b) >=35 a <55 años	1	Mujeres	55
22	Campo de Belchite	c) >=55 años	1	Hombres	517
22	Campo de Belchite	c) >=55 años	1	Mujeres	98
23	Bajo Martín	a) <35 años	1	Hombres	52
23	Bajo Martín	a) <35 años	1	Mujeres	6
23	Bajo Martín	b) >=35 a <55 años	1	Hombres	281
23	Bajo Martín	b) >=35 a <55 años	1	Mujeres	58
23	Bajo Martín	c) >=55 años	1	Hombres	395
23	Bajo Martín	c) >=55 años	1	Mujeres	64
24	Campo de Daroca	a) <35 años	1	Hombres	82
24	Campo de Daroca	a) <35 años	1	Mujeres	2
24	Campo de Daroca	b) >=35 a <55 años	1	Hombres	386
24	Campo de Daroca	b) >=35 a <55 años	1	Mujeres	59
24	Campo de Daroca	c) >=55 años	1	Hombres	577
24	Campo de Daroca	c) >=55 años	1	Mujeres	121
25	Jiloca	a) <35 años	1	Hombres	78
25	Jiloca	a) <35 años	1	Mujeres	4
25	Jiloca	b) >=35 a <55 años	1	Hombres	582
25	Jiloca	b) >=35 a <55 años	1	Mujeres	114
25	Jiloca	c) >=55 años	1	Hombres	919
25	Jiloca	c) >=55 años	1	Mujeres	197
26	Cuencas Mineras	a) <35 años	1	Hombres	32
26	Cuencas Mineras	a) <35 años	1	Mujeres	3
26	Cuencas Mineras	b) >=35 a <55 años	1	Hombres	223
26	Cuencas Mineras	b) >=35 a <55 años	1	Mujeres	46
26	Cuencas Mineras	c) >=55 años	1	Hombres	273
26	Cuencas Mineras	c) >=55 años	1	Mujeres	58
27	Andorra-Sierra de Arcos	a) <35 años	1	Hombres	19
27	Andorra-Sierra de Arcos	a) <35 años	1	Mujeres	3
27	Andorra-Sierra de Arcos	b) >=35 a <55 años	1	Hombres	184
27	Andorra-Sierra de Arcos	b) >=35 a <55 años	1	Mujeres	49
27	Andorra-Sierra de Arcos	c) >=55 años	1	Hombres	419
27	Andorra-Sierra de Arcos	c) >=55 años	1	Mujeres	83
28	Bajo Aragón	a) <35 años	1	Hombres	105
28	Bajo Aragón	a) <35 años	1	Mujeres	10
28	Bajo Aragón	b) >=35 a <55 años	1	Hombres	667
28	Bajo Aragón	b) >=35 a <55 años	1	Mujeres	186
28	Bajo Aragón	c) >=55 años	1	Hombres	955
28	Bajo Aragón	c) >=55 años	1	Mujeres	222
29	Comunidad de Teruel	a) <35 años	1	Hombres	79
29	Comunidad de Teruel	a) <35 años	1	Mujeres	9
29	Comunidad de Teruel	b) >=35 a <55 años	1	Hombres	711
29	Comunidad de Teruel	b) >=35 a <55 años	1	Mujeres	109
29	Comunidad de Teruel	c) >=55 años	1	Hombres	1010
29	Comunidad de Teruel	c) >=55 años	1	Mujeres	229
30	Maestrazgo	a) <35 años	1	Hombres	23
30	Maestrazgo	a) <35 años	1	Mujeres	5
30	Maestrazgo	b) >=35 a <55 años	1	Hombres	215
30	Maestrazgo	b) >=35 a <55 años	1	Mujeres	49
30	Maestrazgo	c) >=55 años	1	Hombres	234
30	Maestrazgo	c) >=55 años	1	Mujeres	70
31	Sierra de Albarracín	a) <35 años	1	Hombres	20
31	Sierra de Albarracín	a) <35 años	1	Mujeres	7
31	Sierra de Albarracín	b) >=35 a <55 años	1	Hombres	136
31	Sierra de Albarracín	b) >=35 a <55 años	1	Mujeres	34
31	Sierra de Albarracín	c) >=55 años	1	Hombres	134
31	Sierra de Albarracín	c) >=55 años	1	Mujeres	32
32	Gúdar-Javalambre	a) <35 años	1	Hombres	43
32	Gúdar-Javalambre	a) <35 años	1	Mujeres	7
32	Gúdar-Javalambre	b) >=35 a <55 años	1	Hombres	240
32	Gúdar-Javalambre	b) >=35 a <55 años	1	Mujeres	51
32	Gúdar-Javalambre	c) >=55 años	1	Hombres	379
32	Gúdar-Javalambre	c) >=55 años	1	Mujeres	78
33	Matarraña / Matarranya	a) <35 años	1	Hombres	73
33	Matarraña / Matarranya	a) <35 años	1	Mujeres	8
33	Matarraña / Matarranya	b) >=35 a <55 años	1	Hombres	565
33	Matarraña / Matarranya	b) >=35 a <55 años	1	Mujeres	134
33	Matarraña / Matarranya	c) >=55 años	1	Hombres	717
33	Matarraña / Matarranya	c) >=55 años	1	Mujeres	133
