Año	VAB	Código	Comarca
2016	348470	13	Campo de Borja
2016	143539	14	Aranda
2016	1169476	15	Ribera Alta del Ebro
2016	735685	16	Valdejalón
2016	17307521	17	Central
2016	316966	18	Ribera Baja del Ebro
2016	255458	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2016	677190	20	Comunidad de Calatayud
2016	316753	21	Campo de Cariñena
2016	150653	22	Campo de Belchite
2016	208044	23	Bajo Martín
2016	169642	24	Campo de Daroca
2016	261829	25	Jiloca
2016	179637	26	Cuencas Mineras
2016	276259	27	Andorra-Sierra de Arcos
2016	657994	28	Bajo Aragón
2016	1222797	29	Comunidad de Teruel
2016	64154	30	Maestrazgo
2016	84812	31	Sierra de Albarracín
2016	186519	32	Gúdar-Javalambre
2016	174076	33	Matarraña / Matarranya
2015	395461	01	La Jacetania
2015	367672	02	Alto Gállego
2015	185940	03	Sobrarbe
2015	346649	04	La Ribagorza
2015	643645	05	Cinco Villas
2015	1502356	06	Hoya de Huesca / Plana de Uesca
2015	564374	07	Somontano de Barbastro
2015	527700	08	Cinca Medio
2015	431778	09	La Litera / La Llitera
2015	428395	10	Los Monegros
2015	503441	11	Bajo Cinca / Baix Cinca
2015	222563	12	Tarazona y el Moncayo
2015	324984	13	Campo de Borja
2015	136111	14	Aranda
2015	1141232	15	Ribera Alta del Ebro
2015	693758	16	Valdejalón
2015	16899530	17	Central
2015	305390	18	Ribera Baja del Ebro
2015	233255	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2015	630304	20	Comunidad de Calatayud
2015	289307	21	Campo de Cariñena
2015	130466	22	Campo de Belchite
2015	197556	23	Bajo Martín
2015	148044	24	Campo de Daroca
2015	259002	25	Jiloca
2015	183177	26	Cuencas Mineras
2015	274940	27	Andorra-Sierra de Arcos
2015	612620	28	Bajo Aragón
2015	1179030	29	Comunidad de Teruel
2015	60925	30	Maestrazgo
2015	81800	31	Sierra de Albarracín
2015	174530	32	Gúdar-Javalambre
2015	162918	33	Matarraña / Matarranya
2014	391649	01	La Jacetania
2014	353015	02	Alto Gállego
2014	179255	03	Sobrarbe
2014	340381	04	La Ribagorza
2014	646641	05	Cinco Villas
2014	1478627	06	Hoya de Huesca / Plana de Uesca
2014	556317	07	Somontano de Barbastro
2014	508175	08	Cinca Medio
2014	438373	09	La Litera / La Llitera
2014	443086	10	Los Monegros
2014	509142	11	Bajo Cinca / Baix Cinca
2014	213320	12	Tarazona y el Moncayo
2014	352539	13	Campo de Borja
2014	139068	14	Aranda
2014	1254412	15	Ribera Alta del Ebro
2014	699164	16	Valdejalón
2014	16477310	17	Central
2014	305894	18	Ribera Baja del Ebro
2014	231072	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2014	641745	20	Comunidad de Calatayud
2014	287470	21	Campo de Cariñena
2014	131117	22	Campo de Belchite
2014	188569	23	Bajo Martín
2014	143913	24	Campo de Daroca
2014	254722	25	Jiloca
2014	176052	26	Cuencas Mineras
2014	272602	27	Andorra-Sierra de Arcos
2014	612366	28	Bajo Aragón
2014	1150085	29	Comunidad de Teruel
2014	57916	30	Maestrazgo
2014	81701	31	Sierra de Albarracín
2014	176131	32	Gúdar-Javalambre
2014	159147	33	Matarraña / Matarranya
2013	400726	01	La Jacetania
2013	359075	02	Alto Gállego
2013	189910	03	Sobrarbe
2013	352145	04	La Ribagorza
2013	642056	05	Cinco Villas
2013	1494439	06	Hoya de Huesca / Plana de Uesca
2013	535739	07	Somontano de Barbastro
2013	528393	08	Cinca Medio
2013	431947	09	La Litera / La Llitera
2013	466087	10	Los Monegros
2013	523209	11	Bajo Cinca / Baix Cinca
2013	217804	12	Tarazona y el Moncayo
2013	333093	13	Campo de Borja
2013	135139	14	Aranda
2013	1107241	15	Ribera Alta del Ebro
2013	660146	16	Valdejalón
2013	16450789	17	Central
2013	328372	18	Ribera Baja del Ebro
2013	240400	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2013	634569	20	Comunidad de Calatayud
2013	286573	21	Campo de Cariñena
2013	138507	22	Campo de Belchite
2013	188671	23	Bajo Martín
2013	154989	24	Campo de Daroca
2013	248158	25	Jiloca
2013	170968	26	Cuencas Mineras
2013	265488	27	Andorra-Sierra de Arcos
2013	617535	28	Bajo Aragón
2013	1154103	29	Comunidad de Teruel
2013	58852	30	Maestrazgo
2013	79347	31	Sierra de Albarracín
2013	171875	32	Gúdar-Javalambre
2013	158988	33	Matarraña / Matarranya
2012	406382	01	La Jacetania
2012	358281	02	Alto Gállego
2012	188745	03	Sobrarbe
2012	343258	04	La Ribagorza
2012	651700	05	Cinco Villas
2012	1504414	06	Hoya de Huesca / Plana de Uesca
2012	538976	07	Somontano de Barbastro
2012	508925	08	Cinca Medio
2012	422551	09	La Litera / La Llitera
2012	445789	10	Los Monegros
2012	487403	11	Bajo Cinca / Baix Cinca
2012	220862	12	Tarazona y el Moncayo
2012	312555	13	Campo de Borja
2012	134950	14	Aranda
2012	1013269	15	Ribera Alta del Ebro
2012	652227	16	Valdejalón
2012	16705426	17	Central
2012	347504	18	Ribera Baja del Ebro
2012	234316	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2012	671481	20	Comunidad de Calatayud
2012	282481	21	Campo de Cariñena
2012	135415	22	Campo de Belchite
2012	187407	23	Bajo Martín
2012	151078	24	Campo de Daroca
2012	243082	25	Jiloca
2012	170288	26	Cuencas Mineras
2012	286466	27	Andorra-Sierra de Arcos
2012	612173	28	Bajo Aragón
2012	1166428	29	Comunidad de Teruel
2012	57736	30	Maestrazgo
2012	81724	31	Sierra de Albarracín
2012	175781	32	Gúdar-Javalambre
2012	153208	33	Matarraña / Matarranya
2011	424014	01	La Jacetania
2011	384575	02	Alto Gállego
2011	201069	03	Sobrarbe
2011	361259	04	La Ribagorza
2011	665309	05	Cinco Villas
2011	1587008	06	Hoya de Huesca / Plana de Uesca
2011	578532	07	Somontano de Barbastro
2011	545870	08	Cinca Medio
2011	428408	09	La Litera / La Llitera
2011	473858	10	Los Monegros
2011	509666	11	Bajo Cinca / Baix Cinca
2011	232258	12	Tarazona y el Moncayo
2011	336350	13	Campo de Borja
2011	139275	14	Aranda
2011	1156165	15	Ribera Alta del Ebro
2011	716460	16	Valdejalón
2011	17319788	17	Central
2011	348493	18	Ribera Baja del Ebro
2011	248527	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2011	721025	20	Comunidad de Calatayud
2011	282367	21	Campo de Cariñena
2011	143011	22	Campo de Belchite
2011	204075	23	Bajo Martín
2011	161127	24	Campo de Daroca
2011	258640	25	Jiloca
2011	173490	26	Cuencas Mineras
2011	290952	27	Andorra-Sierra de Arcos
2011	620879	28	Bajo Aragón
2011	1174624	29	Comunidad de Teruel
2011	60539	30	Maestrazgo
2011	81569	31	Sierra de Albarracín
2011	179853	32	Gúdar-Javalambre
2011	161133	33	Matarraña / Matarranya
2010	443401	01	La Jacetania
2010	404191	02	Alto Gállego
2010	206197	03	Sobrarbe
2010	386124	04	La Ribagorza
2010	689103	05	Cinco Villas
2010	1605360	06	Hoya de Huesca / Plana de Uesca
2010	580575	07	Somontano de Barbastro
2010	551703	08	Cinca Medio
2010	442747	09	La Litera / La Llitera
2010	478498	10	Los Monegros
2010	521816	11	Bajo Cinca / Baix Cinca
2010	244810	12	Tarazona y el Moncayo
2010	330733	13	Campo de Borja
2010	141596	14	Aranda
2010	1188305	15	Ribera Alta del Ebro
2010	736725	16	Valdejalón
2010	17350961	17	Central
2010	377159	18	Ribera Baja del Ebro
2010	265232	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2010	727198	20	Comunidad de Calatayud
2010	278769	21	Campo de Cariñena
2010	142811	22	Campo de Belchite
2010	217383	23	Bajo Martín
2010	168581	24	Campo de Daroca
2010	255229	25	Jiloca
2010	171927	26	Cuencas Mineras
2010	272923	27	Andorra-Sierra de Arcos
2010	632789	28	Bajo Aragón
2010	1186293	29	Comunidad de Teruel
2010	64190	30	Maestrazgo
2010	89510	31	Sierra de Albarracín
2010	181701	32	Gúdar-Javalambre
2010	175273	33	Matarraña / Matarranya
