Comarca código	Comarca nombre	Tipo variación	Sexo	Nacionalidad Continente codigo	Nacionalidad Continente	Año	Variaciones
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Externa	Mujeres	2	África	2017	37
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Externa	Mujeres	3	América	2017	5
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Externa	Mujeres	4	Asia	2017	15
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Interna	Hombres	1	Europa	2017	84
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Interna	Hombres	2	África	2017	29
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Interna	Hombres	3	América	2017	3
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Interna	Hombres	4	Asia	2017	21
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Interna	Mujeres	1	Europa	2017	73
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Interna	Mujeres	2	África	2017	25
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Interna	Mujeres	3	América	2017	2
20	Comunidad de Calatayud	Externa	Hombres	1	Europa	2017	529
20	Comunidad de Calatayud	Externa	Hombres	2	África	2017	41
20	Comunidad de Calatayud	Externa	Hombres	3	América	2017	7
20	Comunidad de Calatayud	Externa	Hombres	4	Asia	2017	7
20	Comunidad de Calatayud	Externa	Hombres	5	Otros continentes	2017	1
20	Comunidad de Calatayud	Externa	Mujeres	1	Europa	2017	295
20	Comunidad de Calatayud	Externa	Mujeres	2	África	2017	15
20	Comunidad de Calatayud	Externa	Mujeres	3	América	2017	17
20	Comunidad de Calatayud	Externa	Mujeres	4	Asia	2017	4
20	Comunidad de Calatayud	Interna	Hombres	1	Europa	2017	463
20	Comunidad de Calatayud	Interna	Hombres	2	África	2017	26
20	Comunidad de Calatayud	Interna	Hombres	3	América	2017	9
20	Comunidad de Calatayud	Interna	Hombres	4	Asia	2017	6
20	Comunidad de Calatayud	Interna	Mujeres	1	Europa	2017	451
20	Comunidad de Calatayud	Interna	Mujeres	2	África	2017	15
20	Comunidad de Calatayud	Interna	Mujeres	3	América	2017	16
20	Comunidad de Calatayud	Interna	Mujeres	4	Asia	2017	1
20	Comunidad de Calatayud	Interna	Mujeres	5	Otros continentes	2017	1
21	Campo de Cariñena	Externa	Hombres	1	Europa	2017	70
21	Campo de Cariñena	Externa	Hombres	2	África	2017	25
21	Campo de Cariñena	Externa	Hombres	3	América	2017	1
21	Campo de Cariñena	Externa	Mujeres	1	Europa	2017	55
21	Campo de Cariñena	Externa	Mujeres	2	África	2017	6
21	Campo de Cariñena	Externa	Mujeres	3	América	2017	6
21	Campo de Cariñena	Interna	Hombres	1	Europa	2017	115
21	Campo de Cariñena	Interna	Hombres	2	África	2017	25
21	Campo de Cariñena	Interna	Hombres	3	América	2017	3
21	Campo de Cariñena	Interna	Mujeres	1	Europa	2017	142
21	Campo de Cariñena	Interna	Mujeres	2	África	2017	11
21	Campo de Cariñena	Interna	Mujeres	3	América	2017	4
22	Campo de Belchite	Externa	Hombres	1	Europa	2017	36
22	Campo de Belchite	Externa	Hombres	2	África	2017	6
22	Campo de Belchite	Externa	Mujeres	1	Europa	2017	26
22	Campo de Belchite	Externa	Mujeres	2	África	2017	4
22	Campo de Belchite	Externa	Mujeres	3	América	2017	1
22	Campo de Belchite	Externa	Mujeres	5	Otros continentes	2017	1
22	Campo de Belchite	Interna	Hombres	1	Europa	2017	87
22	Campo de Belchite	Interna	Hombres	2	África	2017	2
22	Campo de Belchite	Interna	Hombres	3	América	2017	3
22	Campo de Belchite	Interna	Mujeres	1	Europa	2017	88
22	Campo de Belchite	Interna	Mujeres	2	África	2017	3
22	Campo de Belchite	Interna	Mujeres	3	América	2017	4
23	Bajo Martín	Externa	Hombres	1	Europa	2017	31
23	Bajo Martín	Externa	Hombres	2	África	2017	22
23	Bajo Martín	Externa	Hombres	3	América	2017	1
23	Bajo Martín	Externa	Mujeres	1	Europa	2017	27
23	Bajo Martín	Externa	Mujeres	2	África	2017	7
23	Bajo Martín	Externa	Mujeres	3	América	2017	3
23	Bajo Martín	Interna	Hombres	1	Europa	2017	57
23	Bajo Martín	Interna	Hombres	2	África	2017	15
23	Bajo Martín	Interna	Hombres	3	América	2017	4
23	Bajo Martín	Interna	Mujeres	1	Europa	2017	84
23	Bajo Martín	Interna	Mujeres	2	África	2017	11
23	Bajo Martín	Interna	Mujeres	3	América	2017	1
24	Campo de Daroca	Externa	Hombres	1	Europa	2017	37
24	Campo de Daroca	Externa	Hombres	2	África	2017	1
24	Campo de Daroca	Externa	Hombres	3	América	2017	2
24	Campo de Daroca	Externa	Mujeres	1	Europa	2017	36
24	Campo de Daroca	Externa	Mujeres	2	África	2017	1
24	Campo de Daroca	Externa	Mujeres	3	América	2017	4
24	Campo de Daroca	Externa	Mujeres	4	Asia	2017	1
24	Campo de Daroca	Interna	Hombres	1	Europa	2017	71
24	Campo de Daroca	Interna	Hombres	2	África	2017	16
24	Campo de Daroca	Interna	Hombres	3	América	2017	2
24	Campo de Daroca	Interna	Mujeres	1	Europa	2017	95
24	Campo de Daroca	Interna	Mujeres	2	África	2017	10
24	Campo de Daroca	Interna	Mujeres	3	América	2017	5
25	Jiloca	Externa	Hombres	1	Europa	2017	105
25	Jiloca	Externa	Hombres	2	África	2017	23
25	Jiloca	Externa	Hombres	3	América	2017	9
25	Jiloca	Externa	Hombres	4	Asia	2017	2
25	Jiloca	Externa	Mujeres	1	Europa	2017	93
25	Jiloca	Externa	Mujeres	2	África	2017	7
25	Jiloca	Externa	Mujeres	3	América	2017	19
25	Jiloca	Externa	Mujeres	4	Asia	2017	1
25	Jiloca	Interna	Hombres	1	Europa	2017	122
25	Jiloca	Interna	Hombres	2	África	2017	37
25	Jiloca	Interna	Hombres	3	América	2017	5
25	Jiloca	Interna	Mujeres	1	Europa	2017	155
25	Jiloca	Interna	Mujeres	2	África	2017	27
25	Jiloca	Interna	Mujeres	3	América	2017	11
25	Jiloca	Interna	Mujeres	4	Asia	2017	1
26	Cuencas Mineras	Externa	Hombres	1	Europa	2017	62
26	Cuencas Mineras	Externa	Hombres	2	África	2017	22
26	Cuencas Mineras	Externa	Hombres	3	América	2017	3
26	Cuencas Mineras	Externa	Hombres	4	Asia	2017	4
26	Cuencas Mineras	Externa	Mujeres	1	Europa	2017	47
26	Cuencas Mineras	Externa	Mujeres	2	África	2017	14
26	Cuencas Mineras	Externa	Mujeres	3	América	2017	1
26	Cuencas Mineras	Externa	Mujeres	4	Asia	2017	3
26	Cuencas Mineras	Interna	Hombres	1	Europa	2017	110
26	Cuencas Mineras	Interna	Hombres	2	África	2017	25
26	Cuencas Mineras	Interna	Hombres	3	América	2017	3
26	Cuencas Mineras	Interna	Hombres	4	Asia	2017	1
26	Cuencas Mineras	Interna	Mujeres	1	Europa	2017	92
26	Cuencas Mineras	Interna	Mujeres	2	África	2017	17
26	Cuencas Mineras	Interna	Mujeres	3	América	2017	2
27	Andorra-Sierra de Arcos	Externa	Hombres	1	Europa	2017	127
27	Andorra-Sierra de Arcos	Externa	Hombres	2	África	2017	10
27	Andorra-Sierra de Arcos	Externa	Hombres	3	América	2017	1
27	Andorra-Sierra de Arcos	Externa	Hombres	4	Asia	2017	8
27	Andorra-Sierra de Arcos	Externa	Mujeres	1	Europa	2017	106
27	Andorra-Sierra de Arcos	Externa	Mujeres	2	África	2017	5
27	Andorra-Sierra de Arcos	Externa	Mujeres	3	América	2017	6
27	Andorra-Sierra de Arcos	Externa	Mujeres	4	Asia	2017	9
27	Andorra-Sierra de Arcos	Interna	Hombres	1	Europa	2017	88
27	Andorra-Sierra de Arcos	Interna	Hombres	2	África	2017	36
27	Andorra-Sierra de Arcos	Interna	Hombres	3	América	2017	3
27	Andorra-Sierra de Arcos	Interna	Hombres	4	Asia	2017	2
27	Andorra-Sierra de Arcos	Interna	Mujeres	1	Europa	2017	106
27	Andorra-Sierra de Arcos	Interna	Mujeres	2	África	2017	22
27	Andorra-Sierra de Arcos	Interna	Mujeres	3	América	2017	9
27	Andorra-Sierra de Arcos	Interna	Mujeres	4	Asia	2017	2
28	Bajo Aragón	Externa	Hombres	1	Europa	2017	222
28	Bajo Aragón	Externa	Hombres	2	África	2017	47
28	Bajo Aragón	Externa	Hombres	3	América	2017	13
28	Bajo Aragón	Externa	Hombres	4	Asia	2017	4
28	Bajo Aragón	Externa	Mujeres	1	Europa	2017	242
28	Bajo Aragón	Externa	Mujeres	2	África	2017	19
28	Bajo Aragón	Externa	Mujeres	3	América	2017	12
28	Bajo Aragón	Externa	Mujeres	4	Asia	2017	3
28	Bajo Aragón	Interna	Hombres	1	Europa	2017	217
28	Bajo Aragón	Interna	Hombres	2	África	2017	44
28	Bajo Aragón	Interna	Hombres	3	América	2017	6
28	Bajo Aragón	Interna	Hombres	4	Asia	2017	7
28	Bajo Aragón	Interna	Mujeres	1	Europa	2017	256
28	Bajo Aragón	Interna	Mujeres	2	África	2017	39
28	Bajo Aragón	Interna	Mujeres	3	América	2017	10
28	Bajo Aragón	Interna	Mujeres	4	Asia	2017	3
28	Bajo Aragón	Interna	Mujeres	5	Otros continentes	2017	1
29	Comunidad de Teruel	Externa	Hombres	1	Europa	2017	380
29	Comunidad de Teruel	Externa	Hombres	2	África	2017	42
29	Comunidad de Teruel	Externa	Hombres	3	América	2017	50
29	Comunidad de Teruel	Externa	Hombres	4	Asia	2017	15
29	Comunidad de Teruel	Externa	Mujeres	1	Europa	2017	352
29	Comunidad de Teruel	Externa	Mujeres	2	África	2017	28
29	Comunidad de Teruel	Externa	Mujeres	3	América	2017	52
29	Comunidad de Teruel	Externa	Mujeres	4	Asia	2017	6
29	Comunidad de Teruel	Externa	Mujeres	5	Otros continentes	2017	1
29	Comunidad de Teruel	Interna	Hombres	1	Europa	2017	310
29	Comunidad de Teruel	Interna	Hombres	2	África	2017	48
29	Comunidad de Teruel	Interna	Hombres	3	América	2017	15
29	Comunidad de Teruel	Interna	Hombres	4	Asia	2017	5
29	Comunidad de Teruel	Interna	Mujeres	1	Europa	2017	334
29	Comunidad de Teruel	Interna	Mujeres	2	África	2017	25
29	Comunidad de Teruel	Interna	Mujeres	3	América	2017	10
