Mes y año	Provincia código	Provincia nombre	Nivel formativo grupo IAEST código	Nivel formativo grupo IAEST descripción	Sexo	Nº parados
Octubre 2020	44	Teruel	42	Enseñanza superior universitaria	Mujeres	383
Octubre 2020	50	Zaragoza	10	Educación Primaria o inferior	Hombres	5207
Octubre 2020	50	Zaragoza	10	Educación Primaria o inferior	Mujeres	6878
Octubre 2020	50	Zaragoza	20	Primera etapa de educación secundaria	Hombres	12823
Octubre 2020	50	Zaragoza	20	Primera etapa de educación secundaria	Mujeres	16713
Octubre 2020	50	Zaragoza	31	Bachillerato	Hombres	1954
Octubre 2020	50	Zaragoza	31	Bachillerato	Mujeres	2877
Octubre 2020	50	Zaragoza	32	Enseñanza media de formación profesional	Hombres	1563
Octubre 2020	50	Zaragoza	32	Enseñanza media de formación profesional	Mujeres	2655
Octubre 2020	50	Zaragoza	41	Enseñanza superior de formación profesional	Hombres	1485
Octubre 2020	50	Zaragoza	41	Enseñanza superior de formación profesional	Mujeres	2176
Octubre 2020	50	Zaragoza	42	Enseñanza superior universitaria	Hombres	1820
Octubre 2020	50	Zaragoza	42	Enseñanza superior universitaria	Mujeres	4058
Septiembre 2020	22	Huesca	10	Educación Primaria o inferior	Hombres	1370
Septiembre 2020	22	Huesca	10	Educación Primaria o inferior	Mujeres	1708
Septiembre 2020	22	Huesca	20	Primera etapa de educación secundaria	Hombres	2088
Septiembre 2020	22	Huesca	20	Primera etapa de educación secundaria	Mujeres	2316
Septiembre 2020	22	Huesca	31	Bachillerato	Hombres	323
Septiembre 2020	22	Huesca	31	Bachillerato	Mujeres	464
Septiembre 2020	22	Huesca	32	Enseñanza media de formación profesional	Hombres	259
Septiembre 2020	22	Huesca	32	Enseñanza media de formación profesional	Mujeres	403
Septiembre 2020	22	Huesca	41	Enseñanza superior de formación profesional	Hombres	232
Septiembre 2020	22	Huesca	41	Enseñanza superior de formación profesional	Mujeres	394
Septiembre 2020	22	Huesca	42	Enseñanza superior universitaria	Hombres	350
Septiembre 2020	22	Huesca	42	Enseñanza superior universitaria	Mujeres	797
Septiembre 2020	44	Teruel	10	Educación Primaria o inferior	Hombres	755
Septiembre 2020	44	Teruel	10	Educación Primaria o inferior	Mujeres	1117
Septiembre 2020	44	Teruel	20	Primera etapa de educación secundaria	Hombres	1334
Septiembre 2020	44	Teruel	20	Primera etapa de educación secundaria	Mujeres	1457
Septiembre 2020	44	Teruel	31	Bachillerato	Hombres	144
Septiembre 2020	44	Teruel	31	Bachillerato	Mujeres	199
Septiembre 2020	44	Teruel	32	Enseñanza media de formación profesional	Hombres	165
Septiembre 2020	44	Teruel	32	Enseñanza media de formación profesional	Mujeres	271
Septiembre 2020	44	Teruel	41	Enseñanza superior de formación profesional	Hombres	146
Septiembre 2020	44	Teruel	41	Enseñanza superior de formación profesional	Mujeres	211
Septiembre 2020	44	Teruel	42	Enseñanza superior universitaria	Hombres	194
Septiembre 2020	44	Teruel	42	Enseñanza superior universitaria	Mujeres	416
Septiembre 2020	50	Zaragoza	10	Educación Primaria o inferior	Hombres	4889
Septiembre 2020	50	Zaragoza	10	Educación Primaria o inferior	Mujeres	6564
Septiembre 2020	50	Zaragoza	20	Primera etapa de educación secundaria	Hombres	12729
Septiembre 2020	50	Zaragoza	20	Primera etapa de educación secundaria	Mujeres	16499
Septiembre 2020	50	Zaragoza	31	Bachillerato	Hombres	1961
Septiembre 2020	50	Zaragoza	31	Bachillerato	Mujeres	2867
Septiembre 2020	50	Zaragoza	32	Enseñanza media de formación profesional	Hombres	1555
Septiembre 2020	50	Zaragoza	32	Enseñanza media de formación profesional	Mujeres	2659
Septiembre 2020	50	Zaragoza	41	Enseñanza superior de formación profesional	Hombres	1471
Septiembre 2020	50	Zaragoza	41	Enseñanza superior de formación profesional	Mujeres	2174
Septiembre 2020	50	Zaragoza	42	Enseñanza superior universitaria	Hombres	1958
Septiembre 2020	50	Zaragoza	42	Enseñanza superior universitaria	Mujeres	4271
Agosto 2020	22	Huesca	10	Educación Primaria o inferior	Hombres	1257
Agosto 2020	22	Huesca	10	Educación Primaria o inferior	Mujeres	1497
Agosto 2020	22	Huesca	20	Primera etapa de educación secundaria	Hombres	1961
Agosto 2020	22	Huesca	20	Primera etapa de educación secundaria	Mujeres	2224
Agosto 2020	22	Huesca	31	Bachillerato	Hombres	301
Agosto 2020	22	Huesca	31	Bachillerato	Mujeres	447
Agosto 2020	22	Huesca	32	Enseñanza media de formación profesional	Hombres	234
Agosto 2020	22	Huesca	32	Enseñanza media de formación profesional	Mujeres	393
Agosto 2020	22	Huesca	41	Enseñanza superior de formación profesional	Hombres	218
Agosto 2020	22	Huesca	41	Enseñanza superior de formación profesional	Mujeres	401
Agosto 2020	22	Huesca	42	Enseñanza superior universitaria	Hombres	341
Agosto 2020	22	Huesca	42	Enseñanza superior universitaria	Mujeres	843
Agosto 2020	44	Teruel	10	Educación Primaria o inferior	Hombres	759
Agosto 2020	44	Teruel	10	Educación Primaria o inferior	Mujeres	1078
Agosto 2020	44	Teruel	20	Primera etapa de educación secundaria	Hombres	1334
Agosto 2020	44	Teruel	20	Primera etapa de educación secundaria	Mujeres	1435
Agosto 2020	44	Teruel	31	Bachillerato	Hombres	134
Agosto 2020	44	Teruel	31	Bachillerato	Mujeres	187
Agosto 2020	44	Teruel	32	Enseñanza media de formación profesional	Hombres	158
Agosto 2020	44	Teruel	32	Enseñanza media de formación profesional	Mujeres	273
Agosto 2020	44	Teruel	41	Enseñanza superior de formación profesional	Hombres	151
Agosto 2020	44	Teruel	41	Enseñanza superior de formación profesional	Mujeres	211
Agosto 2020	44	Teruel	42	Enseñanza superior universitaria	Hombres	195
Agosto 2020	44	Teruel	42	Enseñanza superior universitaria	Mujeres	500
Agosto 2020	50	Zaragoza	10	Educación Primaria o inferior	Hombres	4724
Agosto 2020	50	Zaragoza	10	Educación Primaria o inferior	Mujeres	6421
Agosto 2020	50	Zaragoza	20	Primera etapa de educación secundaria	Hombres	12990
Agosto 2020	50	Zaragoza	20	Primera etapa de educación secundaria	Mujeres	16574
Agosto 2020	50	Zaragoza	31	Bachillerato	Hombres	1994
Agosto 2020	50	Zaragoza	31	Bachillerato	Mujeres	2819
Agosto 2020	50	Zaragoza	32	Enseñanza media de formación profesional	Hombres	1626
Agosto 2020	50	Zaragoza	32	Enseñanza media de formación profesional	Mujeres	2682
Agosto 2020	50	Zaragoza	41	Enseñanza superior de formación profesional	Hombres	1496
Agosto 2020	50	Zaragoza	41	Enseñanza superior de formación profesional	Mujeres	2210
Agosto 2020	50	Zaragoza	42	Enseñanza superior universitaria	Hombres	2100
Agosto 2020	50	Zaragoza	42	Enseñanza superior universitaria	Mujeres	4755
Julio 2020	22	Huesca	10	Educación Primaria o inferior	Hombres	1170
Julio 2020	22	Huesca	10	Educación Primaria o inferior	Mujeres	1427
Julio 2020	22	Huesca	20	Primera etapa de educación secundaria	Hombres	1903
Julio 2020	22	Huesca	20	Primera etapa de educación secundaria	Mujeres	2197
Julio 2020	22	Huesca	31	Bachillerato	Hombres	295
Julio 2020	22	Huesca	31	Bachillerato	Mujeres	435
Julio 2020	22	Huesca	32	Enseñanza media de formación profesional	Hombres	217
Julio 2020	22	Huesca	32	Enseñanza media de formación profesional	Mujeres	387
Julio 2020	22	Huesca	41	Enseñanza superior de formación profesional	Hombres	213
Julio 2020	22	Huesca	41	Enseñanza superior de formación profesional	Mujeres	371
Julio 2020	22	Huesca	42	Enseñanza superior universitaria	Hombres	313
Julio 2020	22	Huesca	42	Enseñanza superior universitaria	Mujeres	766
Julio 2020	44	Teruel	10	Educación Primaria o inferior	Hombres	743
Julio 2020	44	Teruel	10	Educación Primaria o inferior	Mujeres	1053
Julio 2020	44	Teruel	20	Primera etapa de educación secundaria	Hombres	1333
Julio 2020	44	Teruel	20	Primera etapa de educación secundaria	Mujeres	1442
Julio 2020	44	Teruel	31	Bachillerato	Hombres	141
Julio 2020	44	Teruel	31	Bachillerato	Mujeres	183
Julio 2020	44	Teruel	32	Enseñanza media de formación profesional	Hombres	164
Julio 2020	44	Teruel	32	Enseñanza media de formación profesional	Mujeres	281
Julio 2020	44	Teruel	41	Enseñanza superior de formación profesional	Hombres	155
Julio 2020	44	Teruel	41	Enseñanza superior de formación profesional	Mujeres	207
Julio 2020	44	Teruel	42	Enseñanza superior universitaria	Hombres	190
Julio 2020	44	Teruel	42	Enseñanza superior universitaria	Mujeres	483
Julio 2020	50	Zaragoza	10	Educación Primaria o inferior	Hombres	4734
Julio 2020	50	Zaragoza	10	Educación Primaria o inferior	Mujeres	6378
Julio 2020	50	Zaragoza	20	Primera etapa de educación secundaria	Hombres	12960
Julio 2020	50	Zaragoza	20	Primera etapa de educación secundaria	Mujeres	16546
Julio 2020	50	Zaragoza	31	Bachillerato	Hombres	1929
Julio 2020	50	Zaragoza	31	Bachillerato	Mujeres	2796
Julio 2020	50	Zaragoza	32	Enseñanza media de formación profesional	Hombres	1619
Julio 2020	50	Zaragoza	32	Enseñanza media de formación profesional	Mujeres	2717
Julio 2020	50	Zaragoza	41	Enseñanza superior de formación profesional	Hombres	1450
Julio 2020	50	Zaragoza	41	Enseñanza superior de formación profesional	Mujeres	2169
Julio 2020	50	Zaragoza	42	Enseñanza superior universitaria	Hombres	1986
Julio 2020	50	Zaragoza	42	Enseñanza superior universitaria	Mujeres	4432
Junio 2020	22	Huesca	10	Educación Primaria o inferior	Hombres	1126
Junio 2020	22	Huesca	10	Educación Primaria o inferior	Mujeres	1472
Junio 2020	22	Huesca	20	Primera etapa de educación secundaria	Hombres	1963
Junio 2020	22	Huesca	20	Primera etapa de educación secundaria	Mujeres	2266
Junio 2020	22	Huesca	31	Bachillerato	Hombres	307
Junio 2020	22	Huesca	31	Bachillerato	Mujeres	427
Junio 2020	22	Huesca	32	Enseñanza media de formación profesional	Hombres	252
Junio 2020	22	Huesca	32	Enseñanza media de formación profesional	Mujeres	426
Junio 2020	22	Huesca	41	Enseñanza superior de formación profesional	Hombres	235
Junio 2020	22	Huesca	41	Enseñanza superior de formación profesional	Mujeres	375
Junio 2020	22	Huesca	42	Enseñanza superior universitaria	Hombres	309
Junio 2020	22	Huesca	42	Enseñanza superior universitaria	Mujeres	764
Junio 2020	44	Teruel	10	Educación Primaria o inferior	Hombres	746
Junio 2020	44	Teruel	10	Educación Primaria o inferior	Mujeres	1058
Junio 2020	44	Teruel	20	Primera etapa de educación secundaria	Hombres	1396
Junio 2020	44	Teruel	20	Primera etapa de educación secundaria	Mujeres	1489
Junio 2020	44	Teruel	31	Bachillerato	Hombres	139
Junio 2020	44	Teruel	31	Bachillerato	Mujeres	183
Junio 2020	44	Teruel	32	Enseñanza media de formación profesional	Hombres	195
Junio 2020	44	Teruel	32	Enseñanza media de formación profesional	Mujeres	319
Junio 2020	44	Teruel	41	Enseñanza superior de formación profesional	Hombres	149
Junio 2020	44	Teruel	41	Enseñanza superior de formación profesional	Mujeres	209
Junio 2020	44	Teruel	42	Enseñanza superior universitaria	Hombres	174
Junio 2020	44	Teruel	42	Enseñanza superior universitaria	Mujeres	421
Junio 2020	50	Zaragoza	10	Educación Primaria o inferior	Hombres	4598
Junio 2020	50	Zaragoza	10	Educación Primaria o inferior	Mujeres	6369
Junio 2020	50	Zaragoza	20	Primera etapa de educación secundaria	Hombres	13213
Junio 2020	50	Zaragoza	20	Primera etapa de educación secundaria	Mujeres	16716
Junio 2020	50	Zaragoza	31	Bachillerato	Hombres	2006
Junio 2020	50	Zaragoza	31	Bachillerato	Mujeres	2799
Junio 2020	50	Zaragoza	32	Enseñanza media de formación profesional	Hombres	1736
Junio 2020	50	Zaragoza	32	Enseñanza media de formación profesional	Mujeres	2876
Junio 2020	50	Zaragoza	41	Enseñanza superior de formación profesional	Hombres	1464
Junio 2020	50	Zaragoza	41	Enseñanza superior de formación profesional	Mujeres	2220
Junio 2020	50	Zaragoza	42	Enseñanza superior universitaria	Hombres	1890
Junio 2020	50	Zaragoza	42	Enseñanza superior universitaria	Mujeres	4173
Mayo 2020	22	Huesca	10	Educación Primaria o inferior	Hombres	1105
Mayo 2020	22	Huesca	10	Educación Primaria o inferior	Mujeres	1484
Mayo 2020	22	Huesca	20	Primera etapa de educación secundaria	Hombres	2059
Mayo 2020	22	Huesca	20	Primera etapa de educación secundaria	Mujeres	2295
Mayo 2020	22	Huesca	31	Bachillerato	Hombres	341
Mayo 2020	22	Huesca	31	Bachillerato	Mujeres	458
Mayo 2020	22	Huesca	32	Enseñanza media de formación profesional	Hombres	249
Mayo 2020	22	Huesca	32	Enseñanza media de formación profesional	Mujeres	441
Mayo 2020	22	Huesca	41	Enseñanza superior de formación profesional	Hombres	253
Mayo 2020	22	Huesca	41	Enseñanza superior de formación profesional	Mujeres	420
Mayo 2020	22	Huesca	42	Enseñanza superior universitaria	Hombres	311
Mayo 2020	22	Huesca	42	Enseñanza superior universitaria	Mujeres	733
Mayo 2020	44	Teruel	10	Educación Primaria o inferior	Hombres	754
Mayo 2020	44	Teruel	10	Educación Primaria o inferior	Mujeres	1021
Mayo 2020	44	Teruel	20	Primera etapa de educación secundaria	Hombres	1446
Mayo 2020	44	Teruel	20	Primera etapa de educación secundaria	Mujeres	1473
Mayo 2020	44	Teruel	31	Bachillerato	Hombres	156
Mayo 2020	44	Teruel	31	Bachillerato	Mujeres	193
Mayo 2020	44	Teruel	32	Enseñanza media de formación profesional	Hombres	190
Mayo 2020	44	Teruel	32	Enseñanza media de formación profesional	Mujeres	310
Mayo 2020	44	Teruel	41	Enseñanza superior de formación profesional	Hombres	151
Mayo 2020	44	Teruel	41	Enseñanza superior de formación profesional	Mujeres	212
Mayo 2020	44	Teruel	42	Enseñanza superior universitaria	Hombres	180
Mayo 2020	44	Teruel	42	Enseñanza superior universitaria	Mujeres	432
Mayo 2020	50	Zaragoza	10	Educación Primaria o inferior	Hombres	4705
Mayo 2020	50	Zaragoza	10	Educación Primaria o inferior	Mujeres	6424
Mayo 2020	50	Zaragoza	20	Primera etapa de educación secundaria	Hombres	13869
Mayo 2020	50	Zaragoza	20	Primera etapa de educación secundaria	Mujeres	17048
Mayo 2020	50	Zaragoza	31	Bachillerato	Hombres	2113
Mayo 2020	50	Zaragoza	31	Bachillerato	Mujeres	2902
Mayo 2020	50	Zaragoza	32	Enseñanza media de formación profesional	Hombres	1823
Mayo 2020	50	Zaragoza	32	Enseñanza media de formación profesional	Mujeres	3026
Mayo 2020	50	Zaragoza	41	Enseñanza superior de formación profesional	Hombres	1529
Mayo 2020	50	Zaragoza	41	Enseñanza superior de formación profesional	Mujeres	2318
Mayo 2020	50	Zaragoza	42	Enseñanza superior universitaria	Hombres	1927
Mayo 2020	50	Zaragoza	42	Enseñanza superior universitaria	Mujeres	4178
Abril 2020	22	Huesca	10	Educación Primaria o inferior	Hombres	1181
Abril 2020	22	Huesca	10	Educación Primaria o inferior	Mujeres	1551
Abril 2020	22	Huesca	20	Primera etapa de educación secundaria	Hombres	2135
