Mes y año	Mes (código)	Comarca código	Comarca nombre	Sector código	Sector descripción	Sexo	Número de contratos
Mayo 2019	201905	06	Hoya de Huesca / Plana de Uesca	3	Construcción	Hombres	202
Mayo 2019	201905	06	Hoya de Huesca / Plana de Uesca	3	Construcción	Mujeres	13
Mayo 2019	201905	06	Hoya de Huesca / Plana de Uesca	4	Servicios	Hombres	1074
Mayo 2019	201905	06	Hoya de Huesca / Plana de Uesca	4	Servicios	Mujeres	1221
Mayo 2019	201905	07	Somontano de Barbastro	1	Agricultura, ganadería y pesca	Hombres	213
Mayo 2019	201905	07	Somontano de Barbastro	1	Agricultura, ganadería y pesca	Mujeres	16
Mayo 2019	201905	07	Somontano de Barbastro	2	Industria y energía	Hombres	83
Mayo 2019	201905	07	Somontano de Barbastro	2	Industria y energía	Mujeres	29
Mayo 2019	201905	07	Somontano de Barbastro	3	Construcción	Hombres	22
Mayo 2019	201905	07	Somontano de Barbastro	3	Construcción	Mujeres	1
Mayo 2019	201905	07	Somontano de Barbastro	4	Servicios	Hombres	245
Mayo 2019	201905	07	Somontano de Barbastro	4	Servicios	Mujeres	300
Mayo 2019	201905	08	Cinca Medio	1	Agricultura, ganadería y pesca	Hombres	478
Mayo 2019	201905	08	Cinca Medio	1	Agricultura, ganadería y pesca	Mujeres	104
Mayo 2019	201905	08	Cinca Medio	2	Industria y energía	Hombres	94
Mayo 2019	201905	08	Cinca Medio	2	Industria y energía	Mujeres	26
Mayo 2019	201905	08	Cinca Medio	3	Construcción	Hombres	57
Mayo 2019	201905	08	Cinca Medio	3	Construcción	Mujeres	8
Mayo 2019	201905	08	Cinca Medio	4	Servicios	Hombres	291
Mayo 2019	201905	08	Cinca Medio	4	Servicios	Mujeres	330
Mayo 2019	201905	09	La Litera / La Llitera	1	Agricultura, ganadería y pesca	Hombres	251
Mayo 2019	201905	09	La Litera / La Llitera	1	Agricultura, ganadería y pesca	Mujeres	67
Mayo 2019	201905	09	La Litera / La Llitera	2	Industria y energía	Hombres	87
Mayo 2019	201905	09	La Litera / La Llitera	2	Industria y energía	Mujeres	17
Mayo 2019	201905	09	La Litera / La Llitera	3	Construcción	Hombres	70
Mayo 2019	201905	09	La Litera / La Llitera	3	Construcción	Mujeres	3
Mayo 2019	201905	09	La Litera / La Llitera	4	Servicios	Hombres	120
Mayo 2019	201905	09	La Litera / La Llitera	4	Servicios	Mujeres	158
Mayo 2019	201905	10	Los Monegros	1	Agricultura, ganadería y pesca	Hombres	111
Mayo 2019	201905	10	Los Monegros	1	Agricultura, ganadería y pesca	Mujeres	17
Mayo 2019	201905	10	Los Monegros	2	Industria y energía	Hombres	35
Mayo 2019	201905	10	Los Monegros	2	Industria y energía	Mujeres	4
Mayo 2019	201905	10	Los Monegros	3	Construcción	Hombres	20
Mayo 2019	201905	10	Los Monegros	4	Servicios	Hombres	85
Mayo 2019	201905	10	Los Monegros	4	Servicios	Mujeres	134
Mayo 2019	201905	11	Bajo Cinca / Baix Cinca	1	Agricultura, ganadería y pesca	Hombres	3354
Mayo 2019	201905	11	Bajo Cinca / Baix Cinca	1	Agricultura, ganadería y pesca	Mujeres	965
Mayo 2019	201905	11	Bajo Cinca / Baix Cinca	2	Industria y energía	Hombres	168
Mayo 2019	201905	11	Bajo Cinca / Baix Cinca	2	Industria y energía	Mujeres	145
Mayo 2019	201905	11	Bajo Cinca / Baix Cinca	3	Construcción	Hombres	21
Mayo 2019	201905	11	Bajo Cinca / Baix Cinca	3	Construcción	Mujeres	2
Mayo 2019	201905	11	Bajo Cinca / Baix Cinca	4	Servicios	Hombres	347
Mayo 2019	201905	11	Bajo Cinca / Baix Cinca	4	Servicios	Mujeres	648
Mayo 2019	201905	12	Tarazona y el Moncayo	1	Agricultura, ganadería y pesca	Hombres	12
Mayo 2019	201905	12	Tarazona y el Moncayo	1	Agricultura, ganadería y pesca	Mujeres	2
Mayo 2019	201905	12	Tarazona y el Moncayo	2	Industria y energía	Hombres	254
Mayo 2019	201905	12	Tarazona y el Moncayo	2	Industria y energía	Mujeres	200
Mayo 2019	201905	12	Tarazona y el Moncayo	3	Construcción	Hombres	14
Mayo 2019	201905	12	Tarazona y el Moncayo	3	Construcción	Mujeres	1
Mayo 2019	201905	12	Tarazona y el Moncayo	4	Servicios	Hombres	253
Mayo 2019	201905	12	Tarazona y el Moncayo	4	Servicios	Mujeres	179
Mayo 2019	201905	13	Campo de Borja	1	Agricultura, ganadería y pesca	Hombres	48
Mayo 2019	201905	13	Campo de Borja	1	Agricultura, ganadería y pesca	Mujeres	11
Mayo 2019	201905	13	Campo de Borja	2	Industria y energía	Hombres	72
Mayo 2019	201905	13	Campo de Borja	2	Industria y energía	Mujeres	94
Mayo 2019	201905	13	Campo de Borja	3	Construcción	Hombres	16
Mayo 2019	201905	13	Campo de Borja	3	Construcción	Mujeres	1
Mayo 2019	201905	13	Campo de Borja	4	Servicios	Hombres	87
Mayo 2019	201905	13	Campo de Borja	4	Servicios	Mujeres	87
Mayo 2019	201905	14	Aranda	1	Agricultura, ganadería y pesca	Hombres	16
Mayo 2019	201905	14	Aranda	1	Agricultura, ganadería y pesca	Mujeres	2
Mayo 2019	201905	14	Aranda	2	Industria y energía	Hombres	70
Mayo 2019	201905	14	Aranda	2	Industria y energía	Mujeres	45
Mayo 2019	201905	14	Aranda	3	Construcción	Hombres	3
Mayo 2019	201905	14	Aranda	4	Servicios	Hombres	13
Mayo 2019	201905	14	Aranda	4	Servicios	Mujeres	25
Mayo 2019	201905	15	Ribera Alta del Ebro	1	Agricultura, ganadería y pesca	Hombres	59
Mayo 2019	201905	15	Ribera Alta del Ebro	1	Agricultura, ganadería y pesca	Mujeres	52
Mayo 2019	201905	15	Ribera Alta del Ebro	2	Industria y energía	Hombres	565
Mayo 2019	201905	15	Ribera Alta del Ebro	2	Industria y energía	Mujeres	237
Mayo 2019	201905	15	Ribera Alta del Ebro	3	Construcción	Hombres	50
Mayo 2019	201905	15	Ribera Alta del Ebro	3	Construcción	Mujeres	5
Mayo 2019	201905	15	Ribera Alta del Ebro	4	Servicios	Hombres	664
Mayo 2019	201905	15	Ribera Alta del Ebro	4	Servicios	Mujeres	412
Mayo 2019	201905	16	Valdejalón	1	Agricultura, ganadería y pesca	Hombres	2478
Mayo 2019	201905	16	Valdejalón	1	Agricultura, ganadería y pesca	Mujeres	1239
Mayo 2019	201905	16	Valdejalón	2	Industria y energía	Hombres	388
Mayo 2019	201905	16	Valdejalón	2	Industria y energía	Mujeres	334
Mayo 2019	201905	16	Valdejalón	3	Construcción	Hombres	72
Mayo 2019	201905	16	Valdejalón	3	Construcción	Mujeres	4
Mayo 2019	201905	16	Valdejalón	4	Servicios	Hombres	421
Mayo 2019	201905	16	Valdejalón	4	Servicios	Mujeres	402
Mayo 2019	201905	17	Central	1	Agricultura, ganadería y pesca	Hombres	648
Mayo 2019	201905	17	Central	1	Agricultura, ganadería y pesca	Mujeres	192
Mayo 2019	201905	17	Central	2	Industria y energía	Hombres	3314
Mayo 2019	201905	17	Central	2	Industria y energía	Mujeres	1991
Mayo 2019	201905	17	Central	3	Construcción	Hombres	1235
Mayo 2019	201905	17	Central	3	Construcción	Mujeres	76
Mayo 2019	201905	17	Central	4	Servicios	Hombres	10814
Mayo 2019	201905	17	Central	4	Servicios	Mujeres	13169
Mayo 2019	201905	18	Ribera Baja del Ebro	1	Agricultura, ganadería y pesca	Hombres	166
Mayo 2019	201905	18	Ribera Baja del Ebro	1	Agricultura, ganadería y pesca	Mujeres	78
Mayo 2019	201905	18	Ribera Baja del Ebro	2	Industria y energía	Hombres	70
Mayo 2019	201905	18	Ribera Baja del Ebro	2	Industria y energía	Mujeres	107
Mayo 2019	201905	18	Ribera Baja del Ebro	3	Construcción	Hombres	265
Mayo 2019	201905	18	Ribera Baja del Ebro	3	Construcción	Mujeres	15
Mayo 2019	201905	18	Ribera Baja del Ebro	4	Servicios	Hombres	36
Mayo 2019	201905	18	Ribera Baja del Ebro	4	Servicios	Mujeres	129
Mayo 2019	201905	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	Agricultura, ganadería y pesca	Hombres	2026
Mayo 2019	201905	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	Agricultura, ganadería y pesca	Mujeres	513
Mayo 2019	201905	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2	Industria y energía	Hombres	25
Mayo 2019	201905	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2	Industria y energía	Mujeres	84
Mayo 2019	201905	19	Bajo Aragón-Caspe / Baix Aragó-Casp	3	Construcción	Hombres	60
Mayo 2019	201905	19	Bajo Aragón-Caspe / Baix Aragó-Casp	3	Construcción	Mujeres	8
Mayo 2019	201905	19	Bajo Aragón-Caspe / Baix Aragó-Casp	4	Servicios	Hombres	119
Mayo 2019	201905	19	Bajo Aragón-Caspe / Baix Aragó-Casp	4	Servicios	Mujeres	164
Mayo 2019	201905	20	Comunidad de Calatayud	1	Agricultura, ganadería y pesca	Hombres	417
Mayo 2019	201905	20	Comunidad de Calatayud	1	Agricultura, ganadería y pesca	Mujeres	142
Mayo 2019	201905	20	Comunidad de Calatayud	2	Industria y energía	Hombres	100
Mayo 2019	201905	20	Comunidad de Calatayud	2	Industria y energía	Mujeres	64
Mayo 2019	201905	20	Comunidad de Calatayud	3	Construcción	Hombres	58
Mayo 2019	201905	20	Comunidad de Calatayud	3	Construcción	Mujeres	5
Mayo 2019	201905	20	Comunidad de Calatayud	4	Servicios	Hombres	241
Mayo 2019	201905	20	Comunidad de Calatayud	4	Servicios	Mujeres	362
Mayo 2019	201905	21	Campo de Cariñena	1	Agricultura, ganadería y pesca	Hombres	287
Mayo 2019	201905	21	Campo de Cariñena	1	Agricultura, ganadería y pesca	Mujeres	182
Mayo 2019	201905	21	Campo de Cariñena	2	Industria y energía	Hombres	133
Mayo 2019	201905	21	Campo de Cariñena	2	Industria y energía	Mujeres	33
Mayo 2019	201905	21	Campo de Cariñena	3	Construcción	Hombres	2
Mayo 2019	201905	21	Campo de Cariñena	3	Construcción	Mujeres	2
Mayo 2019	201905	21	Campo de Cariñena	4	Servicios	Hombres	87
Mayo 2019	201905	21	Campo de Cariñena	4	Servicios	Mujeres	102
Mayo 2019	201905	22	Campo de Belchite	1	Agricultura, ganadería y pesca	Hombres	6
Mayo 2019	201905	22	Campo de Belchite	2	Industria y energía	Hombres	8
Mayo 2019	201905	22	Campo de Belchite	3	Construcción	Hombres	7
Mayo 2019	201905	22	Campo de Belchite	4	Servicios	Hombres	15
Mayo 2019	201905	22	Campo de Belchite	4	Servicios	Mujeres	30
Mayo 2019	201905	23	Bajo Martín	1	Agricultura, ganadería y pesca	Hombres	54
Mayo 2019	201905	23	Bajo Martín	1	Agricultura, ganadería y pesca	Mujeres	10
Mayo 2019	201905	23	Bajo Martín	2	Industria y energía	Hombres	12
Mayo 2019	201905	23	Bajo Martín	2	Industria y energía	Mujeres	1
Mayo 2019	201905	23	Bajo Martín	3	Construcción	Hombres	70
Mayo 2019	201905	23	Bajo Martín	3	Construcción	Mujeres	3
Mayo 2019	201905	23	Bajo Martín	4	Servicios	Hombres	59
Mayo 2019	201905	23	Bajo Martín	4	Servicios	Mujeres	39
Mayo 2019	201905	24	Campo de Daroca	1	Agricultura, ganadería y pesca	Hombres	11
Mayo 2019	201905	24	Campo de Daroca	1	Agricultura, ganadería y pesca	Mujeres	9
Mayo 2019	201905	24	Campo de Daroca	2	Industria y energía	Hombres	4
Mayo 2019	201905	24	Campo de Daroca	2	Industria y energía	Mujeres	3
Mayo 2019	201905	24	Campo de Daroca	3	Construcción	Hombres	14
Mayo 2019	201905	24	Campo de Daroca	3	Construcción	Mujeres	1
Mayo 2019	201905	24	Campo de Daroca	4	Servicios	Hombres	19
Mayo 2019	201905	24	Campo de Daroca	4	Servicios	Mujeres	49
Mayo 2019	201905	25	Jiloca	1	Agricultura, ganadería y pesca	Hombres	10
Mayo 2019	201905	25	Jiloca	1	Agricultura, ganadería y pesca	Mujeres	1
Mayo 2019	201905	25	Jiloca	2	Industria y energía	Hombres	12
Mayo 2019	201905	25	Jiloca	2	Industria y energía	Mujeres	8
Mayo 2019	201905	25	Jiloca	3	Construcción	Hombres	12
Mayo 2019	201905	25	Jiloca	4	Servicios	Hombres	55
Mayo 2019	201905	25	Jiloca	4	Servicios	Mujeres	85
Mayo 2019	201905	26	Cuencas Mineras	1	Agricultura, ganadería y pesca	Hombres	10
Mayo 2019	201905	26	Cuencas Mineras	1	Agricultura, ganadería y pesca	Mujeres	2
Mayo 2019	201905	26	Cuencas Mineras	2	Industria y energía	Hombres	47
Mayo 2019	201905	26	Cuencas Mineras	2	Industria y energía	Mujeres	44
Mayo 2019	201905	26	Cuencas Mineras	3	Construcción	Hombres	11
Mayo 2019	201905	26	Cuencas Mineras	4	Servicios	Hombres	64
Mayo 2019	201905	26	Cuencas Mineras	4	Servicios	Mujeres	76
Mayo 2019	201905	27	Andorra-Sierra de Arcos	1	Agricultura, ganadería y pesca	Hombres	4
Mayo 2019	201905	27	Andorra-Sierra de Arcos	1	Agricultura, ganadería y pesca	Mujeres	2
Mayo 2019	201905	27	Andorra-Sierra de Arcos	2	Industria y energía	Hombres	24
Mayo 2019	201905	27	Andorra-Sierra de Arcos	2	Industria y energía	Mujeres	6
Mayo 2019	201905	27	Andorra-Sierra de Arcos	3	Construcción	Hombres	14
Mayo 2019	201905	27	Andorra-Sierra de Arcos	4	Servicios	Hombres	57
Mayo 2019	201905	27	Andorra-Sierra de Arcos	4	Servicios	Mujeres	110
Mayo 2019	201905	28	Bajo Aragón	1	Agricultura, ganadería y pesca	Hombres	181
Mayo 2019	201905	28	Bajo Aragón	1	Agricultura, ganadería y pesca	Mujeres	131
Mayo 2019	201905	28	Bajo Aragón	2	Industria y energía	Hombres	24
Mayo 2019	201905	28	Bajo Aragón	2	Industria y energía	Mujeres	20
Mayo 2019	201905	28	Bajo Aragón	3	Construcción	Hombres	59
Mayo 2019	201905	28	Bajo Aragón	3	Construcción	Mujeres	2
Mayo 2019	201905	28	Bajo Aragón	4	Servicios	Hombres	321
Mayo 2019	201905	28	Bajo Aragón	4	Servicios	Mujeres	357
Mayo 2019	201905	29	Comunidad de Teruel	1	Agricultura, ganadería y pesca	Hombres	58
Mayo 2019	201905	29	Comunidad de Teruel	1	Agricultura, ganadería y pesca	Mujeres	6
Mayo 2019	201905	29	Comunidad de Teruel	2	Industria y energía	Hombres	930
Mayo 2019	201905	29	Comunidad de Teruel	2	Industria y energía	Mujeres	225
Mayo 2019	201905	29	Comunidad de Teruel	3	Construcción	Hombres	122
Mayo 2019	201905	29	Comunidad de Teruel	3	Construcción	Mujeres	7
Mayo 2019	201905	29	Comunidad de Teruel	4	Servicios	Hombres	492
Mayo 2019	201905	29	Comunidad de Teruel	4	Servicios	Mujeres	531
Mayo 2019	201905	30	Maestrazgo	1	Agricultura, ganadería y pesca	Hombres	3
Mayo 2019	201905	30	Maestrazgo	2	Industria y energía	Hombres	6
Mayo 2019	201905	30	Maestrazgo	2	Industria y energía	Mujeres	1
Mayo 2019	201905	30	Maestrazgo	3	Construcción	Hombres	7
Mayo 2019	201905	30	Maestrazgo	4	Servicios	Hombres	28
Mayo 2019	201905	30	Maestrazgo	4	Servicios	Mujeres	16
Mayo 2019	201905	31	Sierra de Albarracín	1	Agricultura, ganadería y pesca	Hombres	29
Mayo 2019	201905	31	Sierra de Albarracín	1	Agricultura, ganadería y pesca	Mujeres	2
Mayo 2019	201905	31	Sierra de Albarracín	2	Industria y energía	Hombres	6
Mayo 2019	201905	31	Sierra de Albarracín	2	Industria y energía	Mujeres	1
Mayo 2019	201905	31	Sierra de Albarracín	3	Construcción	Hombres	8
Mayo 2019	201905	31	Sierra de Albarracín	4	Servicios	Hombres	36
Mayo 2019	201905	31	Sierra de Albarracín	4	Servicios	Mujeres	45
Mayo 2019	201905	32	Gúdar-Javalambre	1	Agricultura, ganadería y pesca	Hombres	25
Mayo 2019	201905	32	Gúdar-Javalambre	1	Agricultura, ganadería y pesca	Mujeres	1
Mayo 2019	201905	32	Gúdar-Javalambre	2	Industria y energía	Hombres	18
Mayo 2019	201905	32	Gúdar-Javalambre	2	Industria y energía	Mujeres	3
Mayo 2019	201905	32	Gúdar-Javalambre	3	Construcción	Hombres	15
Mayo 2019	201905	32	Gúdar-Javalambre	4	Servicios	Hombres	95
Mayo 2019	201905	32	Gúdar-Javalambre	4	Servicios	Mujeres	128
Mayo 2019	201905	33	Matarraña / Matarranya	1	Agricultura, ganadería y pesca	Hombres	40
Mayo 2019	201905	33	Matarraña / Matarranya	1	Agricultura, ganadería y pesca	Mujeres	12
Mayo 2019	201905	33	Matarraña / Matarranya	2	Industria y energía	Hombres	28
Mayo 2019	201905	33	Matarraña / Matarranya	2	Industria y energía	Mujeres	5
Mayo 2019	201905	33	Matarraña / Matarranya	3	Construcción	Hombres	12
Mayo 2019	201905	33	Matarraña / Matarranya	3	Construcción	Mujeres	1
Mayo 2019	201905	33	Matarraña / Matarranya	4	Servicios	Hombres	55
Mayo 2019	201905	33	Matarraña / Matarranya	4	Servicios	Mujeres	86
Abril 2019	201904	01	La Jacetania	1	Agricultura, ganadería y pesca	Hombres	5
Abril 2019	201904	01	La Jacetania	1	Agricultura, ganadería y pesca	Mujeres	1
Abril 2019	201904	01	La Jacetania	2	Industria y energía	Hombres	7
Abril 2019	201904	01	La Jacetania	2	Industria y energía	Mujeres	3
Abril 2019	201904	01	La Jacetania	3	Construcción	Hombres	35
Abril 2019	201904	01	La Jacetania	3	Construcción	Mujeres	1
Abril 2019	201904	01	La Jacetania	4	Servicios	Hombres	300
Abril 2019	201904	01	La Jacetania	4	Servicios	Mujeres	366
Abril 2019	201904	02	Alto Gállego	1	Agricultura, ganadería y pesca	Hombres	5
Abril 2019	201904	02	Alto Gállego	2	Industria y energía	Hombres	9
Abril 2019	201904	02	Alto Gállego	2	Industria y energía	Mujeres	7
Abril 2019	201904	02	Alto Gállego	3	Construcción	Hombres	25
Abril 2019	201904	02	Alto Gállego	3	Construcción	Mujeres	2
Abril 2019	201904	02	Alto Gállego	4	Servicios	Hombres	251
Abril 2019	201904	02	Alto Gállego	4	Servicios	Mujeres	238
Abril 2019	201904	03	Sobrarbe	1	Agricultura, ganadería y pesca	Hombres	7
Abril 2019	201904	03	Sobrarbe	1	Agricultura, ganadería y pesca	Mujeres	2
Abril 2019	201904	03	Sobrarbe	2	Industria y energía	Hombres	3
Abril 2019	201904	03	Sobrarbe	2	Industria y energía	Mujeres	2
Abril 2019	201904	03	Sobrarbe	3	Construcción	Hombres	8
Abril 2019	201904	03	Sobrarbe	3	Construcción	Mujeres	1
Abril 2019	201904	03	Sobrarbe	4	Servicios	Hombres	218
Abril 2019	201904	03	Sobrarbe	4	Servicios	Mujeres	305
Abril 2019	201904	04	La Ribagorza	1	Agricultura, ganadería y pesca	Hombres	10
Abril 2019	201904	04	La Ribagorza	2	Industria y energía	Hombres	6
Abril 2019	201904	04	La Ribagorza	2	Industria y energía	Mujeres	3
Abril 2019	201904	04	La Ribagorza	3	Construcción	Hombres	15
Abril 2019	201904	04	La Ribagorza	4	Servicios	Hombres	113
Abril 2019	201904	04	La Ribagorza	4	Servicios	Mujeres	126
Abril 2019	201904	05	Cinco Villas	1	Agricultura, ganadería y pesca	Hombres	88
Abril 2019	201904	05	Cinco Villas	1	Agricultura, ganadería y pesca	Mujeres	12
Abril 2019	201904	05	Cinco Villas	2	Industria y energía	Hombres	148
Abril 2019	201904	05	Cinco Villas	2	Industria y energía	Mujeres	53
Abril 2019	201904	05	Cinco Villas	3	Construcción	Hombres	38
Abril 2019	201904	05	Cinco Villas	3	Construcción	Mujeres	4
Abril 2019	201904	05	Cinco Villas	4	Servicios	Hombres	117
Abril 2019	201904	05	Cinco Villas	4	Servicios	Mujeres	195
Abril 2019	201904	06	Hoya de Huesca / Plana de Uesca	1	Agricultura, ganadería y pesca	Hombres	42
Abril 2019	201904	06	Hoya de Huesca / Plana de Uesca	1	Agricultura, ganadería y pesca	Mujeres	12
Abril 2019	201904	06	Hoya de Huesca / Plana de Uesca	2	Industria y energía	Hombres	64
Abril 2019	201904	06	Hoya de Huesca / Plana de Uesca	2	Industria y energía	Mujeres	20
Abril 2019	201904	06	Hoya de Huesca / Plana de Uesca	3	Construcción	Hombres	168
Abril 2019	201904	06	Hoya de Huesca / Plana de Uesca	3	Construcción	Mujeres	7
Abril 2019	201904	06	Hoya de Huesca / Plana de Uesca	4	Servicios	Hombres	822
Abril 2019	201904	06	Hoya de Huesca / Plana de Uesca	4	Servicios	Mujeres	968
Abril 2019	201904	07	Somontano de Barbastro	1	Agricultura, ganadería y pesca	Hombres	71
Abril 2019	201904	07	Somontano de Barbastro	1	Agricultura, ganadería y pesca	Mujeres	13
Abril 2019	201904	07	Somontano de Barbastro	2	Industria y energía	Hombres	69
Abril 2019	201904	07	Somontano de Barbastro	2	Industria y energía	Mujeres	25
Abril 2019	201904	07	Somontano de Barbastro	3	Construcción	Hombres	19
Abril 2019	201904	07	Somontano de Barbastro	4	Servicios	Hombres	217
Abril 2019	201904	07	Somontano de Barbastro	4	Servicios	Mujeres	291
Abril 2019	201904	08	Cinca Medio	1	Agricultura, ganadería y pesca	Hombres	116
Abril 2019	201904	08	Cinca Medio	1	Agricultura, ganadería y pesca	Mujeres	22
Abril 2019	201904	08	Cinca Medio	2	Industria y energía	Hombres	73
Abril 2019	201904	08	Cinca Medio	2	Industria y energía	Mujeres	40
Abril 2019	201904	08	Cinca Medio	3	Construcción	Hombres	63
Abril 2019	201904	08	Cinca Medio	3	Construcción	Mujeres	7
Abril 2019	201904	08	Cinca Medio	4	Servicios	Hombres	195
Abril 2019	201904	08	Cinca Medio	4	Servicios	Mujeres	254
Abril 2019	201904	09	La Litera / La Llitera	1	Agricultura, ganadería y pesca	Hombres	54
Abril 2019	201904	09	La Litera / La Llitera	1	Agricultura, ganadería y pesca	Mujeres	30
Abril 2019	201904	09	La Litera / La Llitera	2	Industria y energía	Hombres	70
Abril 2019	201904	09	La Litera / La Llitera	2	Industria y energía	Mujeres	11
Abril 2019	201904	09	La Litera / La Llitera	3	Construcción	Hombres	44
Abril 2019	201904	09	La Litera / La Llitera	4	Servicios	Hombres	107
Abril 2019	201904	09	La Litera / La Llitera	4	Servicios	Mujeres	118
Abril 2019	201904	10	Los Monegros	1	Agricultura, ganadería y pesca	Hombres	133
Abril 2019	201904	10	Los Monegros	1	Agricultura, ganadería y pesca	Mujeres	4
Abril 2019	201904	10	Los Monegros	2	Industria y energía	Hombres	59
Abril 2019	201904	10	Los Monegros	2	Industria y energía	Mujeres	5
Abril 2019	201904	10	Los Monegros	3	Construcción	Hombres	20
Abril 2019	201904	10	Los Monegros	4	Servicios	Hombres	60
Abril 2019	201904	10	Los Monegros	4	Servicios	Mujeres	108
Abril 2019	201904	11	Bajo Cinca / Baix Cinca	1	Agricultura, ganadería y pesca	Hombres	1203
Abril 2019	201904	11	Bajo Cinca / Baix Cinca	1	Agricultura, ganadería y pesca	Mujeres	365
Abril 2019	201904	11	Bajo Cinca / Baix Cinca	2	Industria y energía	Hombres	89
Abril 2019	201904	11	Bajo Cinca / Baix Cinca	2	Industria y energía	Mujeres	118
Abril 2019	201904	11	Bajo Cinca / Baix Cinca	3	Construcción	Hombres	13
Abril 2019	201904	11	Bajo Cinca / Baix Cinca	4	Servicios	Hombres	157
Abril 2019	201904	11	Bajo Cinca / Baix Cinca	4	Servicios	Mujeres	193
Abril 2019	201904	12	Tarazona y el Moncayo	1	Agricultura, ganadería y pesca	Hombres	23
Abril 2019	201904	12	Tarazona y el Moncayo	1	Agricultura, ganadería y pesca	Mujeres	3
Abril 2019	201904	12	Tarazona y el Moncayo	2	Industria y energía	Hombres	255
Abril 2019	201904	12	Tarazona y el Moncayo	2	Industria y energía	Mujeres	219
Abril 2019	201904	12	Tarazona y el Moncayo	3	Construcción	Hombres	6
Abril 2019	201904	12	Tarazona y el Moncayo	3	Construcción	Mujeres	1
Abril 2019	201904	12	Tarazona y el Moncayo	4	Servicios	Hombres	99
Abril 2019	201904	12	Tarazona y el Moncayo	4	Servicios	Mujeres	134
Abril 2019	201904	13	Campo de Borja	1	Agricultura, ganadería y pesca	Hombres	18
Abril 2019	201904	13	Campo de Borja	1	Agricultura, ganadería y pesca	Mujeres	6
