Municipio código	Municipio nombre	Corine Land Cover 2000 nivel 3 descripción	Superficie (has)
22003	Adahuesca	Terrenos principalmente agrícolas, pero con importantes espacios de vegetación natural	284,066234
22003	Adahuesca	Terrenos regados permanentemente	0,176649
22003	Adahuesca	Tierras de labor en secano	1200,065609
22003	Adahuesca	Turberas y prados turbosos	0
22003	Adahuesca	Vegetación esclerófila	2133,423638
22003	Adahuesca	Viñedos	29,09295
22003	Adahuesca	Zonas de extracción minera	0
22003	Adahuesca	Zonas en construcción	0
22003	Adahuesca	Zonas industriales, comerciales y de transporte	0
22003	Adahuesca	Zonas quemadas	0
22003	Adahuesca	Zonas verdes urbanas	0
22004	Agüero	Aeropuertos	0
22004	Agüero	Arrozales	0
22004	Agüero	Bosque mixto	3537,496044
22004	Agüero	Bosques de coníferas	5367,239727
22004	Agüero	Bosques de frondosas	925,650434
22004	Agüero	Cursos de agua	0
22004	Agüero	Escombreras y vertederos	0
22004	Agüero	Espacios con vegetación escasa	0
22004	Agüero	Frutales	0
22004	Agüero	Glaciares y nieves permanentes	0
22004	Agüero	Humedales y zonas pantanosas	0
22004	Agüero	Instalaciones deportivas y recreativas	0
22004	Agüero	Landas y matorrales mesófilos	0
22004	Agüero	Láminas de agua	0
22004	Agüero	Matorral boscoso de transición	5217,811291
22004	Agüero	Mosaico de cultivos	457,251385
22004	Agüero	Olivares	0
22004	Agüero	Pastizales naturales	63,7394
22004	Agüero	Playas, dunas y arenales	0
22004	Agüero	Prados y praderas	0
22004	Agüero	Redes viarias, ferroviarias y terrenos asociados	0
22004	Agüero	Roquedo	147,494887
22004	Agüero	Tejido urbano continuo	6,956795
22004	Agüero	Tejido urbano discontinuo	0,599611
22004	Agüero	Terrenos principalmente agrícolas, pero con importantes espacios de vegetación natural	286,667766
22004	Agüero	Terrenos regados permanentemente	0
22004	Agüero	Tierras de labor en secano	647,793162
22004	Agüero	Turberas y prados turbosos	0
22004	Agüero	Vegetación esclerófila	2171,744351
22004	Agüero	Viñedos	0
22004	Agüero	Zonas de extracción minera	0
22004	Agüero	Zonas en construcción	0
22004	Agüero	Zonas industriales, comerciales y de transporte	0
22004	Agüero	Zonas quemadas	0
22004	Agüero	Zonas verdes urbanas	0
22006	Aísa	Aeropuertos	0
22006	Aísa	Arrozales	0
22006	Aísa	Bosque mixto	938,839845
22006	Aísa	Bosques de coníferas	4972,4831
22006	Aísa	Bosques de frondosas	462,194259
22006	Aísa	Cursos de agua	0
22006	Aísa	Escombreras y vertederos	0
22006	Aísa	Espacios con vegetación escasa	1548,106085
22006	Aísa	Frutales	0
22006	Aísa	Glaciares y nieves permanentes	0
22006	Aísa	Humedales y zonas pantanosas	0
22006	Aísa	Instalaciones deportivas y recreativas	0
22006	Aísa	Landas y matorrales mesófilos	559,571645
22006	Aísa	Láminas de agua	0
22006	Aísa	Matorral boscoso de transición	1903,700328
22006	Aísa	Mosaico de cultivos	131,202198
22006	Aísa	Olivares	0
22006	Aísa	Pastizales naturales	2189,349064
22006	Aísa	Playas, dunas y arenales	257,367704
22006	Aísa	Prados y praderas	435,25971
22006	Aísa	Redes viarias, ferroviarias y terrenos asociados	0
22006	Aísa	Roquedo	2068,068978
22006	Aísa	Tejido urbano continuo	73,514904
22006	Aísa	Tejido urbano discontinuo	0
22006	Aísa	Terrenos principalmente agrícolas, pero con importantes espacios de vegetación natural	134,195541
22006	Aísa	Terrenos regados permanentemente	93,238259
22006	Aísa	Tierras de labor en secano	0
22006	Aísa	Turberas y prados turbosos	0
22006	Aísa	Vegetación esclerófila	431,6828
22006	Aísa	Viñedos	0
22006	Aísa	Zonas de extracción minera	0
22006	Aísa	Zonas en construcción	0
22006	Aísa	Zonas industriales, comerciales y de transporte	0
22006	Aísa	Zonas quemadas	0
22006	Aísa	Zonas verdes urbanas	0
22007	Albalate de Cinca	Aeropuertos	0
22007	Albalate de Cinca	Arrozales	0
22007	Albalate de Cinca	Bosque mixto	0
22007	Albalate de Cinca	Bosques de coníferas	1,347903
22007	Albalate de Cinca	Bosques de frondosas	520,144793
22007	Albalate de Cinca	Cursos de agua	0
22007	Albalate de Cinca	Escombreras y vertederos	0
22007	Albalate de Cinca	Espacios con vegetación escasa	0
22007	Albalate de Cinca	Frutales	221,188992
22007	Albalate de Cinca	Glaciares y nieves permanentes	0
22007	Albalate de Cinca	Humedales y zonas pantanosas	0
22007	Albalate de Cinca	Instalaciones deportivas y recreativas	0
22007	Albalate de Cinca	Landas y matorrales mesófilos	0
22007	Albalate de Cinca	Láminas de agua	14,028573
22007	Albalate de Cinca	Matorral boscoso de transición	0
22007	Albalate de Cinca	Mosaico de cultivos	1941,503448
22007	Albalate de Cinca	Olivares	0
22007	Albalate de Cinca	Pastizales naturales	0
22007	Albalate de Cinca	Playas, dunas y arenales	0
22007	Albalate de Cinca	Prados y praderas	0
22007	Albalate de Cinca	Redes viarias, ferroviarias y terrenos asociados	0
22007	Albalate de Cinca	Roquedo	0
22007	Albalate de Cinca	Tejido urbano continuo	58,139956
22007	Albalate de Cinca	Tejido urbano discontinuo	60,402749
22007	Albalate de Cinca	Terrenos principalmente agrícolas, pero con importantes espacios de vegetación natural	72,472694
22007	Albalate de Cinca	Terrenos regados permanentemente	4738,987998
22007	Albalate de Cinca	Tierras de labor en secano	518,715989
22007	Albalate de Cinca	Turberas y prados turbosos	0
22007	Albalate de Cinca	Vegetación esclerófila	705,098624
22007	Albalate de Cinca	Viñedos	1,870739
22007	Albalate de Cinca	Zonas de extracción minera	0
22007	Albalate de Cinca	Zonas en construcción	0
22007	Albalate de Cinca	Zonas industriales, comerciales y de transporte	0
22007	Albalate de Cinca	Zonas quemadas	0
22007	Albalate de Cinca	Zonas verdes urbanas	0
22008	Albalatillo	Aeropuertos	0
22008	Albalatillo	Arrozales	0
22008	Albalatillo	Bosque mixto	0
22008	Albalatillo	Bosques de coníferas	0
22008	Albalatillo	Bosques de frondosas	94,576809
22008	Albalatillo	Cursos de agua	0
22008	Albalatillo	Escombreras y vertederos	0
22008	Albalatillo	Espacios con vegetación escasa	0
22008	Albalatillo	Frutales	0
22008	Albalatillo	Glaciares y nieves permanentes	0
22008	Albalatillo	Humedales y zonas pantanosas	0
22008	Albalatillo	Instalaciones deportivas y recreativas	0
22008	Albalatillo	Landas y matorrales mesófilos	0
22008	Albalatillo	Láminas de agua	0
22008	Albalatillo	Matorral boscoso de transición	0,923631
22008	Albalatillo	Mosaico de cultivos	0
22008	Albalatillo	Olivares	0
22008	Albalatillo	Pastizales naturales	217,462468
22008	Albalatillo	Playas, dunas y arenales	0
22008	Albalatillo	Prados y praderas	0
22008	Albalatillo	Redes viarias, ferroviarias y terrenos asociados	0
22008	Albalatillo	Roquedo	0
22008	Albalatillo	Tejido urbano continuo	14,112785
22008	Albalatillo	Tejido urbano discontinuo	0
22008	Albalatillo	Terrenos principalmente agrícolas, pero con importantes espacios de vegetación natural	0
22008	Albalatillo	Terrenos regados permanentemente	891,851626
22008	Albalatillo	Tierras de labor en secano	292,559452
22008	Albalatillo	Turberas y prados turbosos	0
22008	Albalatillo	Vegetación esclerófila	306,706102
22008	Albalatillo	Viñedos	0
22008	Albalatillo	Zonas de extracción minera	0
22008	Albalatillo	Zonas en construcción	0
22008	Albalatillo	Zonas industriales, comerciales y de transporte	6,585855
22008	Albalatillo	Zonas quemadas	0
22008	Albalatillo	Zonas verdes urbanas	0
22009	Albelda	Aeropuertos	0
22009	Albelda	Arrozales	0
22009	Albelda	Bosque mixto	0
22009	Albelda	Bosques de coníferas	0
22009	Albelda	Bosques de frondosas	126,234076
22009	Albelda	Cursos de agua	0
22009	Albelda	Escombreras y vertederos	0
22009	Albelda	Espacios con vegetación escasa	0
22009	Albelda	Frutales	941,821521
22009	Albelda	Glaciares y nieves permanentes	0
22009	Albelda	Humedales y zonas pantanosas	0
22009	Albelda	Instalaciones deportivas y recreativas	0
22009	Albelda	Landas y matorrales mesófilos	0
22009	Albelda	Láminas de agua	5,540974
22009	Albelda	Matorral boscoso de transición	0,751823
22009	Albelda	Mosaico de cultivos	2494,839835
22009	Albelda	Olivares	183,532445
22009	Albelda	Pastizales naturales	68,161352
22009	Albelda	Playas, dunas y arenales	0
22009	Albelda	Prados y praderas	0
22009	Albelda	Redes viarias, ferroviarias y terrenos asociados	0
22009	Albelda	Roquedo	0
22009	Albelda	Tejido urbano continuo	18,426675
22009	Albelda	Tejido urbano discontinuo	0
22009	Albelda	Terrenos principalmente agrícolas, pero con importantes espacios de vegetación natural	326,625649
22009	Albelda	Terrenos regados permanentemente	2382,073093
22009	Albelda	Tierras de labor en secano	2083,723181
22009	Albelda	Turberas y prados turbosos	0
22009	Albelda	Vegetación esclerófila	1756,642958
22009	Albelda	Viñedos	0
22009	Albelda	Zonas de extracción minera	0
22009	Albelda	Zonas en construcción	0
22009	Albelda	Zonas industriales, comerciales y de transporte	1,684913
22009	Albelda	Zonas quemadas	0
22009	Albelda	Zonas verdes urbanas	0
22011	Albero Alto	Aeropuertos	0
22011	Albero Alto	Arrozales	0
22011	Albero Alto	Bosque mixto	0
22011	Albero Alto	Bosques de coníferas	0
22011	Albero Alto	Bosques de frondosas	106,130563
22011	Albero Alto	Cursos de agua	0
22011	Albero Alto	Escombreras y vertederos	0
22011	Albero Alto	Espacios con vegetación escasa	0
22011	Albero Alto	Frutales	0
22011	Albero Alto	Glaciares y nieves permanentes	0
22011	Albero Alto	Humedales y zonas pantanosas	0
22011	Albero Alto	Instalaciones deportivas y recreativas	0
22011	Albero Alto	Landas y matorrales mesófilos	0
22011	Albero Alto	Láminas de agua	0
22011	Albero Alto	Matorral boscoso de transición	22,977485
22011	Albero Alto	Mosaico de cultivos	0
22011	Albero Alto	Olivares	0
22011	Albero Alto	Pastizales naturales	0
22011	Albero Alto	Playas, dunas y arenales	0
22011	Albero Alto	Prados y praderas	0
22011	Albero Alto	Redes viarias, ferroviarias y terrenos asociados	0
22011	Albero Alto	Roquedo	0
22011	Albero Alto	Tejido urbano continuo	8,388462
22011	Albero Alto	Tejido urbano discontinuo	0
22011	Albero Alto	Terrenos principalmente agrícolas, pero con importantes espacios de vegetación natural	102,06746
22011	Albero Alto	Terrenos regados permanentemente	221,78223
22011	Albero Alto	Tierras de labor en secano	3125,592232
22011	Albero Alto	Turberas y prados turbosos	0
22011	Albero Alto	Vegetación esclerófila	269,771269
22011	Albero Alto	Viñedos	0
22011	Albero Alto	Zonas de extracción minera	0
22011	Albero Alto	Zonas en construcción	0
22011	Albero Alto	Zonas industriales, comerciales y de transporte	0
22011	Albero Alto	Zonas quemadas	0
22011	Albero Alto	Zonas verdes urbanas	0
22012	Albero Bajo	Aeropuertos	0
22012	Albero Bajo	Arrozales	11,812726
22012	Albero Bajo	Bosque mixto	0
22012	Albero Bajo	Bosques de coníferas	0
22012	Albero Bajo	Bosques de frondosas	43,539927
22012	Albero Bajo	Cursos de agua	0
22012	Albero Bajo	Escombreras y vertederos	0
22012	Albero Bajo	Espacios con vegetación escasa	0
22012	Albero Bajo	Frutales	0
22012	Albero Bajo	Glaciares y nieves permanentes	0
22012	Albero Bajo	Humedales y zonas pantanosas	0
22012	Albero Bajo	Instalaciones deportivas y recreativas	0
22012	Albero Bajo	Landas y matorrales mesófilos	0
22012	Albero Bajo	Láminas de agua	0
22012	Albero Bajo	Matorral boscoso de transición	0
22012	Albero Bajo	Mosaico de cultivos	0
22012	Albero Bajo	Olivares	0
22012	Albero Bajo	Pastizales naturales	30,247348
22012	Albero Bajo	Playas, dunas y arenales	0
22012	Albero Bajo	Prados y praderas	0
22012	Albero Bajo	Redes viarias, ferroviarias y terrenos asociados	0
22012	Albero Bajo	Roquedo	0
22012	Albero Bajo	Tejido urbano continuo	8,957491
22012	Albero Bajo	Tejido urbano discontinuo	0
22012	Albero Bajo	Terrenos principalmente agrícolas, pero con importantes espacios de vegetación natural	181,336476
22012	Albero Bajo	Terrenos regados permanentemente	2963,508581
22012	Albero Bajo	Tierras de labor en secano	1205,468305
22012	Albero Bajo	Turberas y prados turbosos	0
22012	Albero Bajo	Vegetación esclerófila	1,367249
22012	Albero Bajo	Viñedos	0
22012	Albero Bajo	Zonas de extracción minera	0
22012	Albero Bajo	Zonas en construcción	0
22012	Albero Bajo	Zonas industriales, comerciales y de transporte	0
22012	Albero Bajo	Zonas quemadas	0
22012	Albero Bajo	Zonas verdes urbanas	0
22013	Alberuela de Tubo	Aeropuertos	0
22013	Alberuela de Tubo	Arrozales	710,673813
22013	Alberuela de Tubo	Bosque mixto	0
22013	Alberuela de Tubo	Bosques de coníferas	99,986169
22013	Alberuela de Tubo	Bosques de frondosas	0
22013	Alberuela de Tubo	Cursos de agua	0
22013	Alberuela de Tubo	Escombreras y vertederos	0
22013	Alberuela de Tubo	Espacios con vegetación escasa	0
22013	Alberuela de Tubo	Frutales	0
22013	Alberuela de Tubo	Glaciares y nieves permanentes	0
22013	Alberuela de Tubo	Humedales y zonas pantanosas	0
22013	Alberuela de Tubo	Instalaciones deportivas y recreativas	0
22013	Alberuela de Tubo	Landas y matorrales mesófilos	0
22013	Alberuela de Tubo	Láminas de agua	0
22013	Alberuela de Tubo	Matorral boscoso de transición	84,547081
22013	Alberuela de Tubo	Mosaico de cultivos	0
22013	Alberuela de Tubo	Olivares	0
22013	Alberuela de Tubo	Pastizales naturales	0
22013	Alberuela de Tubo	Playas, dunas y arenales	0
22013	Alberuela de Tubo	Prados y praderas	0
22013	Alberuela de Tubo	Redes viarias, ferroviarias y terrenos asociados	0
22013	Alberuela de Tubo	Roquedo	0
22013	Alberuela de Tubo	Tejido urbano continuo	16,425004
22013	Alberuela de Tubo	Tejido urbano discontinuo	0
22013	Alberuela de Tubo	Terrenos principalmente agrícolas, pero con importantes espacios de vegetación natural	0
22013	Alberuela de Tubo	Terrenos regados permanentemente	2492,416199
22013	Alberuela de Tubo	Tierras de labor en secano	269,201871
22013	Alberuela de Tubo	Turberas y prados turbosos	0
22013	Alberuela de Tubo	Vegetación esclerófila	490,349134
22013	Alberuela de Tubo	Viñedos	0
22013	Alberuela de Tubo	Zonas de extracción minera	0
22013	Alberuela de Tubo	Zonas en construcción	0
22013	Alberuela de Tubo	Zonas industriales, comerciales y de transporte	0
22013	Alberuela de Tubo	Zonas quemadas	0
22013	Alberuela de Tubo	Zonas verdes urbanas	0
22014	Alcalá de Gurrea	Aeropuertos	0
22014	Alcalá de Gurrea	Arrozales	0
22014	Alcalá de Gurrea	Bosque mixto	0
22014	Alcalá de Gurrea	Bosques de coníferas	224,515647
22014	Alcalá de Gurrea	Bosques de frondosas	0
22014	Alcalá de Gurrea	Cursos de agua	73,855678
22014	Alcalá de Gurrea	Escombreras y vertederos	0
22014	Alcalá de Gurrea	Espacios con vegetación escasa	0
22014	Alcalá de Gurrea	Frutales	0
22014	Alcalá de Gurrea	Glaciares y nieves permanentes	0
22014	Alcalá de Gurrea	Humedales y zonas pantanosas	26,717834
22014	Alcalá de Gurrea	Instalaciones deportivas y recreativas	0
22014	Alcalá de Gurrea	Landas y matorrales mesófilos	0
22014	Alcalá de Gurrea	Láminas de agua	1971,89143
22014	Alcalá de Gurrea	Matorral boscoso de transición	425,284426
22014	Alcalá de Gurrea	Mosaico de cultivos	0
22014	Alcalá de Gurrea	Olivares	0
22014	Alcalá de Gurrea	Pastizales naturales	88,613996
22014	Alcalá de Gurrea	Playas, dunas y arenales	0
22014	Alcalá de Gurrea	Prados y praderas	0
22014	Alcalá de Gurrea	Redes viarias, ferroviarias y terrenos asociados	0
22014	Alcalá de Gurrea	Roquedo	58,337862
22014	Alcalá de Gurrea	Tejido urbano continuo	11,859319
22014	Alcalá de Gurrea	Tejido urbano discontinuo	7,586387
22014	Alcalá de Gurrea	Terrenos principalmente agrícolas, pero con importantes espacios de vegetación natural	1339,192449
22014	Alcalá de Gurrea	Terrenos regados permanentemente	1380,433185
22014	Alcalá de Gurrea	Tierras de labor en secano	7685,16599
22014	Alcalá de Gurrea	Turberas y prados turbosos	0
22014	Alcalá de Gurrea	Vegetación esclerófila	981,766203
22014	Alcalá de Gurrea	Viñedos	0
22014	Alcalá de Gurrea	Zonas de extracción minera	0
22014	Alcalá de Gurrea	Zonas en construcción	0
22014	Alcalá de Gurrea	Zonas industriales, comerciales y de transporte	4,496683
22014	Alcalá de Gurrea	Zonas quemadas	0
22014	Alcalá de Gurrea	Zonas verdes urbanas	0
22015	Alcalá del Obispo	Aeropuertos	119,086773
22015	Alcalá del Obispo	Arrozales	0
22015	Alcalá del Obispo	Bosque mixto	0
22015	Alcalá del Obispo	Bosques de coníferas	0
22015	Alcalá del Obispo	Bosques de frondosas	476,077835
22015	Alcalá del Obispo	Cursos de agua	0
22015	Alcalá del Obispo	Escombreras y vertederos	0
22015	Alcalá del Obispo	Espacios con vegetación escasa	0
22015	Alcalá del Obispo	Frutales	0
22015	Alcalá del Obispo	Glaciares y nieves permanentes	0
22015	Alcalá del Obispo	Humedales y zonas pantanosas	0
22015	Alcalá del Obispo	Instalaciones deportivas y recreativas	0
22015	Alcalá del Obispo	Landas y matorrales mesófilos	0
22015	Alcalá del Obispo	Láminas de agua	0
22015	Alcalá del Obispo	Matorral boscoso de transición	146,284351
22015	Alcalá del Obispo	Mosaico de cultivos	69,907675
22015	Alcalá del Obispo	Olivares	0
22015	Alcalá del Obispo	Pastizales naturales	0
22015	Alcalá del Obispo	Playas, dunas y arenales	0
22015	Alcalá del Obispo	Prados y praderas	0
22015	Alcalá del Obispo	Redes viarias, ferroviarias y terrenos asociados	0
22015	Alcalá del Obispo	Roquedo	0
22015	Alcalá del Obispo	Tejido urbano continuo	23,363411
22015	Alcalá del Obispo	Tejido urbano discontinuo	2,399874
22015	Alcalá del Obispo	Terrenos principalmente agrícolas, pero con importantes espacios de vegetación natural	514,540273
22015	Alcalá del Obispo	Terrenos regados permanentemente	1541,05516
22015	Alcalá del Obispo	Tierras de labor en secano	6682,501489
22015	Alcalá del Obispo	Turberas y prados turbosos	0
22015	Alcalá del Obispo	Vegetación esclerófila	0,072763
22015	Alcalá del Obispo	Viñedos	0
22015	Alcalá del Obispo	Zonas de extracción minera	0
22015	Alcalá del Obispo	Zonas en construcción	0
22015	Alcalá del Obispo	Zonas industriales, comerciales y de transporte	3,880086
22015	Alcalá del Obispo	Zonas quemadas	0
22015	Alcalá del Obispo	Zonas verdes urbanas	0
22016	Alcampell	Aeropuertos	0
22016	Alcampell	Arrozales	0
22016	Alcampell	Bosque mixto	94,379044
22016	Alcampell	Bosques de coníferas	1552,9635
22016	Alcampell	Bosques de frondosas	19,519353
22016	Alcampell	Cursos de agua	0
22016	Alcampell	Escombreras y vertederos	0
22016	Alcampell	Espacios con vegetación escasa	0
22016	Alcampell	Frutales	0
22016	Alcampell	Glaciares y nieves permanentes	0
22016	Alcampell	Humedales y zonas pantanosas	0
22016	Alcampell	Instalaciones deportivas y recreativas	0
22016	Alcampell	Landas y matorrales mesófilos	0
22016	Alcampell	Láminas de agua	0
22016	Alcampell	Matorral boscoso de transición	223,191786
22016	Alcampell	Mosaico de cultivos	3001,577694
22016	Alcampell	Olivares	70,935521
22016	Alcampell	Pastizales naturales	0
22016	Alcampell	Playas, dunas y arenales	0
22016	Alcampell	Prados y praderas	0
22016	Alcampell	Redes viarias, ferroviarias y terrenos asociados	0
22016	Alcampell	Roquedo	0
22016	Alcampell	Tejido urbano continuo	23,94315
22016	Alcampell	Tejido urbano discontinuo	0
22016	Alcampell	Terrenos principalmente agrícolas, pero con importantes espacios de vegetación natural	471,793191
22016	Alcampell	Terrenos regados permanentemente	1939,038013
22016	Alcampell	Tierras de labor en secano	3342,416847
22016	Alcampell	Turberas y prados turbosos	0
22016	Alcampell	Vegetación esclerófila	884,235518
22016	Alcampell	Viñedos	0
22016	Alcampell	Zonas de extracción minera	0
22016	Alcampell	Zonas en construcción	0
22016	Alcampell	Zonas industriales, comerciales y de transporte	0
22016	Alcampell	Zonas quemadas	0
22016	Alcampell	Zonas verdes urbanas	0
22017	Alcolea de Cinca	Aeropuertos	0
22017	Alcolea de Cinca	Arrozales	2763,863279
22017	Alcolea de Cinca	Bosque mixto	0
22017	Alcolea de Cinca	Bosques de coníferas	0
22017	Alcolea de Cinca	Bosques de frondosas	757,006699
22017	Alcolea de Cinca	Cursos de agua	0
22017	Alcolea de Cinca	Escombreras y vertederos	0
22017	Alcolea de Cinca	Espacios con vegetación escasa	159,88448
22017	Alcolea de Cinca	Frutales	25,168351
22017	Alcolea de Cinca	Glaciares y nieves permanentes	0
22017	Alcolea de Cinca	Humedales y zonas pantanosas	0
22017	Alcolea de Cinca	Instalaciones deportivas y recreativas	0
22017	Alcolea de Cinca	Landas y matorrales mesófilos	0
22017	Alcolea de Cinca	Láminas de agua	0
22017	Alcolea de Cinca	Matorral boscoso de transición	0
22017	Alcolea de Cinca	Mosaico de cultivos	33,655993
22017	Alcolea de Cinca	Olivares	0
22017	Alcolea de Cinca	Pastizales naturales	0
22017	Alcolea de Cinca	Playas, dunas y arenales	0
22017	Alcolea de Cinca	Prados y praderas	0
22017	Alcolea de Cinca	Redes viarias, ferroviarias y terrenos asociados	0
22017	Alcolea de Cinca	Roquedo	0
22017	Alcolea de Cinca	Tejido urbano continuo	77,5738
22017	Alcolea de Cinca	Tejido urbano discontinuo	0
22017	Alcolea de Cinca	Terrenos principalmente agrícolas, pero con importantes espacios de vegetación natural	430,47366
22017	Alcolea de Cinca	Terrenos regados permanentemente	6503,15226
22017	Alcolea de Cinca	Tierras de labor en secano	3358,053973
22017	Alcolea de Cinca	Turberas y prados turbosos	0
22017	Alcolea de Cinca	Vegetación esclerófila	2488,519221
22017	Alcolea de Cinca	Viñedos	0
22017	Alcolea de Cinca	Zonas de extracción minera	0
22017	Alcolea de Cinca	Zonas en construcción	0
22017	Alcolea de Cinca	Zonas industriales, comerciales y de transporte	66,032569
22017	Alcolea de Cinca	Zonas quemadas	0
22017	Alcolea de Cinca	Zonas verdes urbanas	0
22018	Alcubierre	Aeropuertos	0
22018	Alcubierre	Arrozales	75,328806
22018	Alcubierre	Bosque mixto	741,797079
22018	Alcubierre	Bosques de coníferas	3803,739429
22018	Alcubierre	Bosques de frondosas	1,476153
22018	Alcubierre	Cursos de agua	0
22018	Alcubierre	Escombreras y vertederos	0
22018	Alcubierre	Espacios con vegetación escasa	86,892186
22018	Alcubierre	Frutales	0
22018	Alcubierre	Glaciares y nieves permanentes	0
22018	Alcubierre	Humedales y zonas pantanosas	0
22018	Alcubierre	Instalaciones deportivas y recreativas	0
22018	Alcubierre	Landas y matorrales mesófilos	0
22018	Alcubierre	Láminas de agua	0
22018	Alcubierre	Matorral boscoso de transición	611,795717
22018	Alcubierre	Mosaico de cultivos	1042,86708
22018	Alcubierre	Olivares	0
22018	Alcubierre	Pastizales naturales	0
22018	Alcubierre	Playas, dunas y arenales	0
22018	Alcubierre	Prados y praderas	0
22018	Alcubierre	Redes viarias, ferroviarias y terrenos asociados	0
22018	Alcubierre	Roquedo	0
22018	Alcubierre	Tejido urbano continuo	23,837858
22018	Alcubierre	Tejido urbano discontinuo	0
22018	Alcubierre	Terrenos principalmente agrícolas, pero con importantes espacios de vegetación natural	759,567118
22018	Alcubierre	Terrenos regados permanentemente	1057,040713
22018	Alcubierre	Tierras de labor en secano	11855,566374
22018	Alcubierre	Turberas y prados turbosos	0
