Comarca código	Comarca nombre	Situación preferente	Lugar trabajo o estudio	Tiempo desplazamiento	Personas residentes viviendas familiares
03	Sobrarbe	Estudiantes que no trabajan	En otro municipio	30-45 minutos	10
03	Sobrarbe	Estudiantes que no trabajan	En otro municipio	45-60 minutos	7
03	Sobrarbe	Estudiantes que no trabajan	En otro municipio	60-90 minutos	3
03	Sobrarbe	Trabajadores	En el mismo municipio de residencia	 No aplicable	44
03	Sobrarbe	Trabajadores	En el mismo municipio de residencia	0-10 minutos	846
03	Sobrarbe	Trabajadores	En el mismo municipio de residencia	10-20 minutos	218
03	Sobrarbe	Trabajadores	En el mismo municipio de residencia	20-30 minutos	107
03	Sobrarbe	Trabajadores	En el mismo municipio de residencia	30-45 minutos	35
03	Sobrarbe	Trabajadores	En el mismo municipio de residencia	45-60 minutos	15
03	Sobrarbe	Trabajadores	En el mismo municipio de residencia	60-90 minutos	12
03	Sobrarbe	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	5
03	Sobrarbe	Trabajadores	En otro municipio	 No aplicable	529
03	Sobrarbe	Trabajadores	En otro municipio	0-10 minutos	69
03	Sobrarbe	Trabajadores	En otro municipio	10-20 minutos	113
03	Sobrarbe	Trabajadores	En otro municipio	20-30 minutos	68
03	Sobrarbe	Trabajadores	En otro municipio	30-45 minutos	39
03	Sobrarbe	Trabajadores	En otro municipio	45-60 minutos	33
03	Sobrarbe	Trabajadores	En otro municipio	60-90 minutos	15
03	Sobrarbe	Trabajadores	En otro municipio	90 ó más minutos	2
04	La Ribagorza	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	19
04	La Ribagorza	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	55
04	La Ribagorza	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	27
04	La Ribagorza	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	5
04	La Ribagorza	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	5
04	La Ribagorza	Estudiantes que no trabajan	En el mismo municipio de residencia	45-60 minutos	1
04	La Ribagorza	Estudiantes que no trabajan	En otro municipio	 No aplicable	416
04	La Ribagorza	Estudiantes que no trabajan	En otro municipio	0-10 minutos	10
04	La Ribagorza	Estudiantes que no trabajan	En otro municipio	10-20 minutos	13
04	La Ribagorza	Estudiantes que no trabajan	En otro municipio	20-30 minutos	31
04	La Ribagorza	Estudiantes que no trabajan	En otro municipio	30-45 minutos	15
04	La Ribagorza	Estudiantes que no trabajan	En otro municipio	45-60 minutos	3
04	La Ribagorza	Estudiantes que no trabajan	En otro municipio	60-90 minutos	2
04	La Ribagorza	Trabajadores	En el mismo municipio de residencia	 No aplicable	71
04	La Ribagorza	Trabajadores	En el mismo municipio de residencia	0-10 minutos	1711
04	La Ribagorza	Trabajadores	En el mismo municipio de residencia	10-20 minutos	448
04	La Ribagorza	Trabajadores	En el mismo municipio de residencia	20-30 minutos	132
04	La Ribagorza	Trabajadores	En el mismo municipio de residencia	30-45 minutos	29
04	La Ribagorza	Trabajadores	En el mismo municipio de residencia	45-60 minutos	18
04	La Ribagorza	Trabajadores	En el mismo municipio de residencia	60-90 minutos	3
04	La Ribagorza	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	6
04	La Ribagorza	Trabajadores	En otro municipio	 No aplicable	696
04	La Ribagorza	Trabajadores	En otro municipio	0-10 minutos	90
04	La Ribagorza	Trabajadores	En otro municipio	10-20 minutos	191
04	La Ribagorza	Trabajadores	En otro municipio	20-30 minutos	163
04	La Ribagorza	Trabajadores	En otro municipio	30-45 minutos	81
04	La Ribagorza	Trabajadores	En otro municipio	45-60 minutos	49
04	La Ribagorza	Trabajadores	En otro municipio	60-90 minutos	28
04	La Ribagorza	Trabajadores	En otro municipio	90 ó más minutos	8
05	Cinco Villas	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	16
05	Cinco Villas	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	409
05	Cinco Villas	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	254
05	Cinco Villas	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	50
05	Cinco Villas	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	9
05	Cinco Villas	Estudiantes que no trabajan	En el mismo municipio de residencia	45-60 minutos	1
05	Cinco Villas	Estudiantes que no trabajan	En el mismo municipio de residencia	60-90 minutos	2
05	Cinco Villas	Estudiantes que no trabajan	En otro municipio	 No aplicable	757
05	Cinco Villas	Estudiantes que no trabajan	En otro municipio	0-10 minutos	25
05	Cinco Villas	Estudiantes que no trabajan	En otro municipio	10-20 minutos	100
05	Cinco Villas	Estudiantes que no trabajan	En otro municipio	20-30 minutos	73
05	Cinco Villas	Estudiantes que no trabajan	En otro municipio	30-45 minutos	45
05	Cinco Villas	Estudiantes que no trabajan	En otro municipio	45-60 minutos	34
05	Cinco Villas	Estudiantes que no trabajan	En otro municipio	60-90 minutos	15
05	Cinco Villas	Trabajadores	En el mismo municipio de residencia	 No aplicable	88
05	Cinco Villas	Trabajadores	En el mismo municipio de residencia	0-10 minutos	5325
05	Cinco Villas	Trabajadores	En el mismo municipio de residencia	10-20 minutos	2757
05	Cinco Villas	Trabajadores	En el mismo municipio de residencia	20-30 minutos	679
05	Cinco Villas	Trabajadores	En el mismo municipio de residencia	30-45 minutos	179
05	Cinco Villas	Trabajadores	En el mismo municipio de residencia	45-60 minutos	105
05	Cinco Villas	Trabajadores	En el mismo municipio de residencia	60-90 minutos	41
05	Cinco Villas	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	22
05	Cinco Villas	Trabajadores	En otro municipio	 No aplicable	1205
05	Cinco Villas	Trabajadores	En otro municipio	0-10 minutos	70
05	Cinco Villas	Trabajadores	En otro municipio	10-20 minutos	358
05	Cinco Villas	Trabajadores	En otro municipio	20-30 minutos	461
05	Cinco Villas	Trabajadores	En otro municipio	30-45 minutos	318
05	Cinco Villas	Trabajadores	En otro municipio	45-60 minutos	305
05	Cinco Villas	Trabajadores	En otro municipio	60-90 minutos	173
05	Cinco Villas	Trabajadores	En otro municipio	90 ó más minutos	32
06	Hoya de Huesca / Plana de Uesca	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	32
06	Hoya de Huesca / Plana de Uesca	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	939
06	Hoya de Huesca / Plana de Uesca	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	1153
06	Hoya de Huesca / Plana de Uesca	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	222
06	Hoya de Huesca / Plana de Uesca	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	25
06	Hoya de Huesca / Plana de Uesca	Estudiantes que no trabajan	En el mismo municipio de residencia	45-60 minutos	4
06	Hoya de Huesca / Plana de Uesca	Estudiantes que no trabajan	En el mismo municipio de residencia	60-90 minutos	4
06	Hoya de Huesca / Plana de Uesca	Estudiantes que no trabajan	En el mismo municipio de residencia	90 ó más minutos	1
06	Hoya de Huesca / Plana de Uesca	Estudiantes que no trabajan	En otro municipio	 No aplicable	1234
06	Hoya de Huesca / Plana de Uesca	Estudiantes que no trabajan	En otro municipio	0-10 minutos	35
06	Hoya de Huesca / Plana de Uesca	Estudiantes que no trabajan	En otro municipio	10-20 minutos	173
06	Hoya de Huesca / Plana de Uesca	Estudiantes que no trabajan	En otro municipio	20-30 minutos	106
06	Hoya de Huesca / Plana de Uesca	Estudiantes que no trabajan	En otro municipio	30-45 minutos	80
06	Hoya de Huesca / Plana de Uesca	Estudiantes que no trabajan	En otro municipio	45-60 minutos	208
06	Hoya de Huesca / Plana de Uesca	Estudiantes que no trabajan	En otro municipio	60-90 minutos	144
06	Hoya de Huesca / Plana de Uesca	Estudiantes que no trabajan	En otro municipio	90 ó más minutos	11
06	Hoya de Huesca / Plana de Uesca	Trabajadores	En el mismo municipio de residencia	 No aplicable	85
06	Hoya de Huesca / Plana de Uesca	Trabajadores	En el mismo municipio de residencia	0-10 minutos	9344
06	Hoya de Huesca / Plana de Uesca	Trabajadores	En el mismo municipio de residencia	10-20 minutos	7295
06	Hoya de Huesca / Plana de Uesca	Trabajadores	En el mismo municipio de residencia	20-30 minutos	1018
06	Hoya de Huesca / Plana de Uesca	Trabajadores	En el mismo municipio de residencia	30-45 minutos	159
06	Hoya de Huesca / Plana de Uesca	Trabajadores	En el mismo municipio de residencia	45-60 minutos	67
06	Hoya de Huesca / Plana de Uesca	Trabajadores	En el mismo municipio de residencia	60-90 minutos	28
06	Hoya de Huesca / Plana de Uesca	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	20
06	Hoya de Huesca / Plana de Uesca	Trabajadores	En otro municipio	 No aplicable	1768
06	Hoya de Huesca / Plana de Uesca	Trabajadores	En otro municipio	0-10 minutos	325
06	Hoya de Huesca / Plana de Uesca	Trabajadores	En otro municipio	10-20 minutos	1141
06	Hoya de Huesca / Plana de Uesca	Trabajadores	En otro municipio	20-30 minutos	720
06	Hoya de Huesca / Plana de Uesca	Trabajadores	En otro municipio	30-45 minutos	560
06	Hoya de Huesca / Plana de Uesca	Trabajadores	En otro municipio	45-60 minutos	676
06	Hoya de Huesca / Plana de Uesca	Trabajadores	En otro municipio	60-90 minutos	256
06	Hoya de Huesca / Plana de Uesca	Trabajadores	En otro municipio	90 ó más minutos	39
07	Somontano de Barbastro	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	20
07	Somontano de Barbastro	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	201
07	Somontano de Barbastro	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	198
07	Somontano de Barbastro	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	19
07	Somontano de Barbastro	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	1
07	Somontano de Barbastro	Estudiantes que no trabajan	En el mismo municipio de residencia	45-60 minutos	1
07	Somontano de Barbastro	Estudiantes que no trabajan	En el mismo municipio de residencia	60-90 minutos	2
07	Somontano de Barbastro	Estudiantes que no trabajan	En otro municipio	 No aplicable	628
07	Somontano de Barbastro	Estudiantes que no trabajan	En otro municipio	0-10 minutos	9
07	Somontano de Barbastro	Estudiantes que no trabajan	En otro municipio	10-20 minutos	63
07	Somontano de Barbastro	Estudiantes que no trabajan	En otro municipio	20-30 minutos	60
07	Somontano de Barbastro	Estudiantes que no trabajan	En otro municipio	30-45 minutos	45
07	Somontano de Barbastro	Estudiantes que no trabajan	En otro municipio	45-60 minutos	22
07	Somontano de Barbastro	Estudiantes que no trabajan	En otro municipio	60-90 minutos	10
07	Somontano de Barbastro	Estudiantes que no trabajan	En otro municipio	90 ó más minutos	5
07	Somontano de Barbastro	Trabajadores	En el mismo municipio de residencia	 No aplicable	43
07	Somontano de Barbastro	Trabajadores	En el mismo municipio de residencia	0-10 minutos	3121
07	Somontano de Barbastro	Trabajadores	En el mismo municipio de residencia	10-20 minutos	2255
07	Somontano de Barbastro	Trabajadores	En el mismo municipio de residencia	20-30 minutos	237
07	Somontano de Barbastro	Trabajadores	En el mismo municipio de residencia	30-45 minutos	51
07	Somontano de Barbastro	Trabajadores	En el mismo municipio de residencia	45-60 minutos	21
07	Somontano de Barbastro	Trabajadores	En el mismo municipio de residencia	60-90 minutos	9
07	Somontano de Barbastro	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	91
07	Somontano de Barbastro	Trabajadores	En otro municipio	 No aplicable	680
07	Somontano de Barbastro	Trabajadores	En otro municipio	0-10 minutos	96
07	Somontano de Barbastro	Trabajadores	En otro municipio	10-20 minutos	725
07	Somontano de Barbastro	Trabajadores	En otro municipio	20-30 minutos	389
07	Somontano de Barbastro	Trabajadores	En otro municipio	30-45 minutos	188
07	Somontano de Barbastro	Trabajadores	En otro municipio	45-60 minutos	90
07	Somontano de Barbastro	Trabajadores	En otro municipio	60-90 minutos	47
07	Somontano de Barbastro	Trabajadores	En otro municipio	90 ó más minutos	24
08	Cinca Medio	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	7
08	Cinca Medio	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	154
08	Cinca Medio	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	210
08	Cinca Medio	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	45
08	Cinca Medio	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	6
08	Cinca Medio	Estudiantes que no trabajan	En el mismo municipio de residencia	45-60 minutos	1
08	Cinca Medio	Estudiantes que no trabajan	En otro municipio	 No aplicable	587
08	Cinca Medio	Estudiantes que no trabajan	En otro municipio	0-10 minutos	9
08	Cinca Medio	Estudiantes que no trabajan	En otro municipio	10-20 minutos	83
08	Cinca Medio	Estudiantes que no trabajan	En otro municipio	20-30 minutos	56
08	Cinca Medio	Estudiantes que no trabajan	En otro municipio	30-45 minutos	19
08	Cinca Medio	Estudiantes que no trabajan	En otro municipio	45-60 minutos	19
08	Cinca Medio	Estudiantes que no trabajan	En otro municipio	60-90 minutos	26
08	Cinca Medio	Estudiantes que no trabajan	En otro municipio	90 ó más minutos	7
08	Cinca Medio	Trabajadores	En el mismo municipio de residencia	 No aplicable	24
08	Cinca Medio	Trabajadores	En el mismo municipio de residencia	0-10 minutos	3445
08	Cinca Medio	Trabajadores	En el mismo municipio de residencia	10-20 minutos	1981
08	Cinca Medio	Trabajadores	En el mismo municipio de residencia	20-30 minutos	199
08	Cinca Medio	Trabajadores	En el mismo municipio de residencia	30-45 minutos	26
08	Cinca Medio	Trabajadores	En el mismo municipio de residencia	45-60 minutos	12
08	Cinca Medio	Trabajadores	En el mismo municipio de residencia	60-90 minutos	9
08	Cinca Medio	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	10
08	Cinca Medio	Trabajadores	En otro municipio	 No aplicable	475
08	Cinca Medio	Trabajadores	En otro municipio	0-10 minutos	150
08	Cinca Medio	Trabajadores	En otro municipio	10-20 minutos	998
08	Cinca Medio	Trabajadores	En otro municipio	20-30 minutos	461
08	Cinca Medio	Trabajadores	En otro municipio	30-45 minutos	117
08	Cinca Medio	Trabajadores	En otro municipio	45-60 minutos	70
08	Cinca Medio	Trabajadores	En otro municipio	60-90 minutos	18
08	Cinca Medio	Trabajadores	En otro municipio	90 ó más minutos	13
09	La Litera / La Llitera	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	8
09	La Litera / La Llitera	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	132
09	La Litera / La Llitera	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	56
09	La Litera / La Llitera	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	12
09	La Litera / La Llitera	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	1
09	La Litera / La Llitera	Estudiantes que no trabajan	En el mismo municipio de residencia	60-90 minutos	1
09	La Litera / La Llitera	Estudiantes que no trabajan	En otro municipio	 No aplicable	484
09	La Litera / La Llitera	Estudiantes que no trabajan	En otro municipio	0-10 minutos	29
09	La Litera / La Llitera	Estudiantes que no trabajan	En otro municipio	10-20 minutos	78
09	La Litera / La Llitera	Estudiantes que no trabajan	En otro municipio	20-30 minutos	53
09	La Litera / La Llitera	Estudiantes que no trabajan	En otro municipio	30-45 minutos	87
09	La Litera / La Llitera	Estudiantes que no trabajan	En otro municipio	45-60 minutos	18
09	La Litera / La Llitera	Estudiantes que no trabajan	En otro municipio	60-90 minutos	8
09	La Litera / La Llitera	Estudiantes que no trabajan	En otro municipio	90 ó más minutos	1
09	La Litera / La Llitera	Trabajadores	En el mismo municipio de residencia	 No aplicable	22
09	La Litera / La Llitera	Trabajadores	En el mismo municipio de residencia	0-10 minutos	3492
09	La Litera / La Llitera	Trabajadores	En el mismo municipio de residencia	10-20 minutos	713
09	La Litera / La Llitera	Trabajadores	En el mismo municipio de residencia	20-30 minutos	62
09	La Litera / La Llitera	Trabajadores	En el mismo municipio de residencia	30-45 minutos	19
09	La Litera / La Llitera	Trabajadores	En el mismo municipio de residencia	45-60 minutos	6
09	La Litera / La Llitera	Trabajadores	En el mismo municipio de residencia	60-90 minutos	2
09	La Litera / La Llitera	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	2
09	La Litera / La Llitera	Trabajadores	En otro municipio	 No aplicable	529
09	La Litera / La Llitera	Trabajadores	En otro municipio	0-10 minutos	330
09	La Litera / La Llitera	Trabajadores	En otro municipio	10-20 minutos	820
09	La Litera / La Llitera	Trabajadores	En otro municipio	20-30 minutos	279
09	La Litera / La Llitera	Trabajadores	En otro municipio	30-45 minutos	230
09	La Litera / La Llitera	Trabajadores	En otro municipio	45-60 minutos	44
09	La Litera / La Llitera	Trabajadores	En otro municipio	60-90 minutos	19
09	La Litera / La Llitera	Trabajadores	En otro municipio	90 ó más minutos	5
10	Los Monegros	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	7
10	Los Monegros	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	151
10	Los Monegros	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	30
10	Los Monegros	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	6
10	Los Monegros	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	4
10	Los Monegros	Estudiantes que no trabajan	En el mismo municipio de residencia	45-60 minutos	1
10	Los Monegros	Estudiantes que no trabajan	En otro municipio	 No aplicable	645
10	Los Monegros	Estudiantes que no trabajan	En otro municipio	0-10 minutos	6
10	Los Monegros	Estudiantes que no trabajan	En otro municipio	10-20 minutos	79
10	Los Monegros	Estudiantes que no trabajan	En otro municipio	20-30 minutos	114
10	Los Monegros	Estudiantes que no trabajan	En otro municipio	30-45 minutos	112
10	Los Monegros	Estudiantes que no trabajan	En otro municipio	45-60 minutos	57
10	Los Monegros	Estudiantes que no trabajan	En otro municipio	60-90 minutos	13
10	Los Monegros	Estudiantes que no trabajan	En otro municipio	90 ó más minutos	7
10	Los Monegros	Trabajadores	En el mismo municipio de residencia	 No aplicable	47
10	Los Monegros	Trabajadores	En el mismo municipio de residencia	0-10 minutos	2670
10	Los Monegros	Trabajadores	En el mismo municipio de residencia	10-20 minutos	906
10	Los Monegros	Trabajadores	En el mismo municipio de residencia	20-30 minutos	259
10	Los Monegros	Trabajadores	En el mismo municipio de residencia	30-45 minutos	98
10	Los Monegros	Trabajadores	En el mismo municipio de residencia	45-60 minutos	40
10	Los Monegros	Trabajadores	En el mismo municipio de residencia	60-90 minutos	13
10	Los Monegros	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	3
10	Los Monegros	Trabajadores	En otro municipio	 No aplicable	1333
10	Los Monegros	Trabajadores	En otro municipio	0-10 minutos	138
10	Los Monegros	Trabajadores	En otro municipio	10-20 minutos	414
10	Los Monegros	Trabajadores	En otro municipio	20-30 minutos	457
10	Los Monegros	Trabajadores	En otro municipio	30-45 minutos	425
10	Los Monegros	Trabajadores	En otro municipio	45-60 minutos	240
10	Los Monegros	Trabajadores	En otro municipio	60-90 minutos	71
10	Los Monegros	Trabajadores	En otro municipio	90 ó más minutos	16
11	Bajo Cinca / Baix Cinca	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	14
11	Bajo Cinca / Baix Cinca	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	182
11	Bajo Cinca / Baix Cinca	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	80
11	Bajo Cinca / Baix Cinca	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	4
11	Bajo Cinca / Baix Cinca	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	2
11	Bajo Cinca / Baix Cinca	Estudiantes que no trabajan	En el mismo municipio de residencia	45-60 minutos	1
11	Bajo Cinca / Baix Cinca	Estudiantes que no trabajan	En otro municipio	 No aplicable	482
11	Bajo Cinca / Baix Cinca	Estudiantes que no trabajan	En otro municipio	0-10 minutos	5
11	Bajo Cinca / Baix Cinca	Estudiantes que no trabajan	En otro municipio	10-20 minutos	53
11	Bajo Cinca / Baix Cinca	Estudiantes que no trabajan	En otro municipio	20-30 minutos	143
11	Bajo Cinca / Baix Cinca	Estudiantes que no trabajan	En otro municipio	30-45 minutos	124
11	Bajo Cinca / Baix Cinca	Estudiantes que no trabajan	En otro municipio	45-60 minutos	21
11	Bajo Cinca / Baix Cinca	Estudiantes que no trabajan	En otro municipio	60-90 minutos	10
11	Bajo Cinca / Baix Cinca	Trabajadores	En el mismo municipio de residencia	 No aplicable	25
11	Bajo Cinca / Baix Cinca	Trabajadores	En el mismo municipio de residencia	0-10 minutos	3937
11	Bajo Cinca / Baix Cinca	Trabajadores	En el mismo municipio de residencia	10-20 minutos	2143
11	Bajo Cinca / Baix Cinca	Trabajadores	En el mismo municipio de residencia	20-30 minutos	314
11	Bajo Cinca / Baix Cinca	Trabajadores	En el mismo municipio de residencia	30-45 minutos	57
11	Bajo Cinca / Baix Cinca	Trabajadores	En el mismo municipio de residencia	45-60 minutos	19
11	Bajo Cinca / Baix Cinca	Trabajadores	En el mismo municipio de residencia	60-90 minutos	9
11	Bajo Cinca / Baix Cinca	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	18
11	Bajo Cinca / Baix Cinca	Trabajadores	En otro municipio	 No aplicable	317
11	Bajo Cinca / Baix Cinca	Trabajadores	En otro municipio	0-10 minutos	152
11	Bajo Cinca / Baix Cinca	Trabajadores	En otro municipio	10-20 minutos	479
11	Bajo Cinca / Baix Cinca	Trabajadores	En otro municipio	20-30 minutos	419
11	Bajo Cinca / Baix Cinca	Trabajadores	En otro municipio	30-45 minutos	232
11	Bajo Cinca / Baix Cinca	Trabajadores	En otro municipio	45-60 minutos	58
11	Bajo Cinca / Baix Cinca	Trabajadores	En otro municipio	60-90 minutos	23
11	Bajo Cinca / Baix Cinca	Trabajadores	En otro municipio	90 ó más minutos	8
