Municipio código	Municipio nombre	Vehículos en el hogar	Número hogares
22028	Ansó	0	67
22028	Ansó	1	103
22028	Ansó	2	25
22028	Ansó	3 o más	9
22029	Antillón	0	7
22029	Antillón	1	21
22029	Antillón	2	15
22029	Antillón	3 o más	5
22032	Aragüés del Puerto	0	19
22032	Aragüés del Puerto	1	30
22032	Aragüés del Puerto	2	13
22035	Arén	0	51
22035	Arén	1	57
22035	Arén	2	33
22035	Arén	3 o más	2
22036	Argavieso	0	7
22036	Argavieso	1	17
22036	Argavieso	2	10
22036	Argavieso	3 o más	6
22037	Arguis	0	7
22037	Arguis	1	13
22037	Arguis	2	9
22039	Ayerbe	0	167
22039	Ayerbe	1	199
22039	Ayerbe	2	66
22039	Ayerbe	3 o más	15
22040	Azanuy-Alins	0	25
22040	Azanuy-Alins	1	37
22040	Azanuy-Alins	2	9
22040	Azanuy-Alins	3 o más	5
22041	Azara	0	20
22041	Azara	1	25
22041	Azara	2	18
22041	Azara	3 o más	8
22042	Azlor	0	16
22042	Azlor	1	25
22042	Azlor	2	15
22042	Azlor	3 o más	3
22043	Baells	0	19
22043	Baells	1	26
22043	Baells	2	11
22043	Baells	3 o más	5
22044	Bailo	0	25
22044	Bailo	1	49
22044	Bailo	2	26
22044	Bailo	3 o más	12
22045	Baldellou	0	20
22045	Baldellou	1	20
22045	Baldellou	2	10
22045	Baldellou	3 o más	5
22046	Ballobar	0	100
22046	Ballobar	1	115
22046	Ballobar	2	89
22046	Ballobar	3 o más	25
22047	Banastás	0	10
22047	Banastás	1	14
22047	Banastás	2	24
22047	Banastás	3 o más	12
22048	Barbastro	0	1436
22048	Barbastro	1	2588
22048	Barbastro	2	1098
22048	Barbastro	3 o más	189
22049	Barbués	0	6
22049	Barbués	1	17
22049	Barbués	2	12
22049	Barbués	3 o más	3
22050	Barbuñales	0	22
22050	Barbuñales	1	20
22050	Barbuñales	2	5
22050	Barbuñales	3 o más	4
22051	Bárcabo	0	7
22051	Bárcabo	1	25
22051	Bárcabo	2	11
22051	Bárcabo	3 o más	4
22052	Belver de Cinca	0	117
22052	Belver de Cinca	1	157
22052	Belver de Cinca	2	142
22052	Belver de Cinca	3 o más	31
22053	Benabarre	0	109
22053	Benabarre	1	199
22053	Benabarre	2	79
22053	Benabarre	3 o más	28
22054	Benasque	0	120
22054	Benasque	1	331
22054	Benasque	2	141
22054	Benasque	3 o más	38
22055	Berbegal	0	41
22055	Berbegal	1	73
22055	Berbegal	2	46
22055	Berbegal	3 o más	15
22057	Bielsa	0	36
22057	Bielsa	1	78
22057	Bielsa	2	49
22057	Bielsa	3 o más	9
22058	Bierge	0	32
22058	Bierge	1	37
22058	Bierge	2	17
22058	Bierge	3 o más	10
22059	Biescas	0	117
22059	Biescas	1	225
22059	Biescas	2	115
22059	Biescas	3 o más	30
22060	Binaced	0	113
22060	Binaced	1	172
22060	Binaced	2	163
22060	Binaced	3 o más	64
22061	Binéfar	0	713
22061	Binéfar	1	1377
22061	Binéfar	2	702
22061	Binéfar	3 o más	156
22062	Bisaurri	0	28
22062	Bisaurri	1	37
22062	Bisaurri	2	23
22062	Bisaurri	3 o más	3
22063	Biscarrués	0	22
22063	Biscarrués	1	34
22063	Biscarrués	2	18
22063	Biscarrués	3 o más	9
22064	Blecua y Torres	0	12
22064	Blecua y Torres	1	29
22064	Blecua y Torres	2	22
22064	Blecua y Torres	3 o más	7
22066	Boltaña	0	76
22066	Boltaña	1	132
22066	Boltaña	2	92
22066	Boltaña	3 o más	20
22067	Bonansa	0	7
22067	Bonansa	1	11
22067	Bonansa	2	8
22067	Bonansa	3 o más	4
22068	Borau	0	7
22068	Borau	1	15
22068	Borau	2	7
22068	Borau	3 o más	4
22069	Broto	0	36
22069	Broto	1	74
22069	Broto	2	60
22069	Broto	3 o más	18
22072	Caldearenas	0	21
22072	Caldearenas	1	55
22072	Caldearenas	2	19
22072	Caldearenas	3 o más	7
22074	Campo	0	35
22074	Campo	1	57
22074	Campo	2	29
22074	Campo	3 o más	8
22075	Camporrells	0	41
22075	Camporrells	1	34
22075	Camporrells	2	28
22075	Camporrells	3 o más	8
22076	Canal de Berdún	0	48
22076	Canal de Berdún	1	71
22076	Canal de Berdún	2	49
22076	Canal de Berdún	3 o más	8
22077	Candasnos	0	36
22077	Candasnos	1	94
22077	Candasnos	2	51
22077	Candasnos	3 o más	15
22078	Canfranc	0	60
22078	Canfranc	1	115
22078	Canfranc	2	50
22078	Canfranc	3 o más	10
22079	Capdesaso	0	23
22079	Capdesaso	1	21
22079	Capdesaso	2	16
22079	Capdesaso	3 o más	5
22080	Capella	0	36
22080	Capella	1	50
22080	Capella	2	36
22080	Capella	3 o más	17
22081	Casbas de Huesca	0	31
22081	Casbas de Huesca	1	48
22081	Casbas de Huesca	2	19
22081	Casbas de Huesca	3 o más	17
22082	Castejón del Puente	0	32
22082	Castejón del Puente	1	51
22082	Castejón del Puente	2	42
22082	Castejón del Puente	3 o más	15
22083	Castejón de Monegros	0	72
22083	Castejón de Monegros	1	91
22083	Castejón de Monegros	2	64
22083	Castejón de Monegros	3 o más	19
22084	Castejón de Sos	0	50
22084	Castejón de Sos	1	98
22084	Castejón de Sos	2	58
22084	Castejón de Sos	3 o más	17
22085	Castelflorite	0	6
22085	Castelflorite	1	13
22085	Castelflorite	2	23
22085	Castelflorite	3 o más	6
22086	Castiello de Jaca	0	15
22086	Castiello de Jaca	1	34
22086	Castiello de Jaca	2	23
22086	Castiello de Jaca	3 o más	8
22087	Castigaleu	0	1
22087	Castigaleu	1	12
22087	Castigaleu	2	7
22087	Castigaleu	3 o más	6
22088	Castillazuelo	0	39
22088	Castillazuelo	1	33
22088	Castillazuelo	2	18
22088	Castillazuelo	3 o más	6
22089	Castillonroy	0	34
22089	Castillonroy	1	61
22089	Castillonroy	2	33
22089	Castillonroy	3 o más	18
22090	Colungo	0	33
22090	Colungo	1	19
22090	Colungo	2	8
22090	Colungo	3 o más	2
22094	Chalamera	0	20
22094	Chalamera	1	28
22094	Chalamera	2	14
22094	Chalamera	3 o más	2
22095	Chía	0	14
22095	Chía	1	18
22095	Chía	2	8
22095	Chía	3 o más	3
22096	Chimillas	0	10
22096	Chimillas	1	21
22096	Chimillas	2	36
22096	Chimillas	3 o más	10
22099	Esplús	0	74
22099	Esplús	1	119
22099	Esplús	2	46
22099	Esplús	3 o más	8
22102	Estada	0	19
22102	Estada	1	36
22102	Estada	2	20
22102	Estada	3 o más	3
22103	Estadilla	0	78
22103	Estadilla	1	112
22103	Estadilla	2	98
22103	Estadilla	3 o más	39
22105	Estopiñán del Castillo	0	32
22105	Estopiñán del Castillo	1	43
22105	Estopiñán del Castillo	2	16
22105	Estopiñán del Castillo	3 o más	4
22106	Fago	0	9
22106	Fago	1	12
22107	Fanlo	0	12
22107	Fanlo	1	43
22107	Fanlo	2	10
22107	Fanlo	3 o más	7
22109	Fiscal	0	21
22109	Fiscal	1	44
22109	Fiscal	2	26
22109	Fiscal	3 o más	10
22110	Fonz	0	147
22110	Fonz	1	159
22110	Fonz	2	102
22110	Fonz	3 o más	30
22111	Foradada del Toscar	0	23
22111	Foradada del Toscar	1	50
22111	Foradada del Toscar	2	1
22111	Foradada del Toscar	3 o más	2
22112	Fraga	0	867
22112	Fraga	1	1730
22112	Fraga	2	1055
22112	Fraga	3 o más	270
22113	Fueva (La)	0	25
22113	Fueva (La)	1	69
22113	Fueva (La)	2	58
22113	Fueva (La)	3 o más	24
22114	Gistaín	0	24
22114	Gistaín	1	24
22114	Gistaín	2	11
22114	Gistaín	3 o más	8
22115	Grado (El)	0	65
22115	Grado (El)	1	94
22115	Grado (El)	2	48
22115	Grado (El)	3 o más	18
22116	Grañén	0	164
22116	Grañén	1	359
22116	Grañén	2	132
22116	Grañén	3 o más	32
22117	Graus	0	339
22117	Graus	1	500
22117	Graus	2	260
22117	Graus	3 o más	67
22119	Gurrea de Gállego	0	199
22119	Gurrea de Gállego	1	305
22119	Gurrea de Gállego	2	119
22119	Gurrea de Gállego	3 o más	31
22122	Hoz de Jaca	0	4
22122	Hoz de Jaca	1	14
22122	Hoz de Jaca	2	5
22122	Hoz de Jaca	3 o más	3
22124	Huerto	0	23
22124	Huerto	1	34
22124	Huerto	2	29
22124	Huerto	3 o más	15
22125	Huesca	0	4193
22125	Huesca	1	8464
22125	Huesca	2	3299
22125	Huesca	3 o más	514
22126	Ibieca	0	12
22126	Ibieca	1	18
22126	Ibieca	2	7
22126	Ibieca	3 o más	4
22127	Igriés	0	12
22127	Igriés	1	21
22127	Igriés	2	42
22127	Igriés	3 o más	8
22128	Ilche	0	15
22128	Ilche	1	28
22128	Ilche	2	29
22128	Ilche	3 o más	13
22129	Isábena	0	31
22129	Isábena	1	34
22129	Isábena	2	23
22129	Isábena	3 o más	6
22130	Jaca	0	1201
22130	Jaca	1	2046
22130	Jaca	2	741
22130	Jaca	3 o más	139
22131	Jasa	0	13
22131	Jasa	1	24
22131	Jasa	2	10
22131	Jasa	3 o más	1
22133	Labuerda	0	17
22133	Labuerda	1	26
22133	Labuerda	2	18
22133	Labuerda	3 o más	5
22135	Laluenga	0	34
22135	Laluenga	1	29
22135	Laluenga	2	23
22135	Laluenga	3 o más	14
22136	Lalueza	0	111
22136	Lalueza	1	165
22136	Lalueza	2	115
22136	Lalueza	3 o más	38
22137	Lanaja	0	173
22137	Lanaja	1	247
22137	Lanaja	2	131
22137	Lanaja	3 o más	36
22139	Laperdiguera	0	7
22139	Laperdiguera	1	11
22139	Laperdiguera	2	14
22139	Laperdiguera	3 o más	3
22141	Lascellas-Ponzano	0	26
22141	Lascellas-Ponzano	1	21
22141	Lascellas-Ponzano	2	11
22141	Lascellas-Ponzano	3 o más	12
22142	Lascuarre	0	18
22142	Lascuarre	1	16
22142	Lascuarre	2	18
22142	Lascuarre	3 o más	5
22143	Laspaúles	0	19
22143	Laspaúles	1	48
22143	Laspaúles	2	19
22143	Laspaúles	3 o más	16
22144	Laspuña	0	11
22144	Laspuña	1	32
22144	Laspuña	2	25
22144	Laspuña	3 o más	14
22149	Loarre	0	39
22149	Loarre	1	70
22149	Loarre	2	44
22149	Loarre	3 o más	4
22150	Loporzano	0	29
22150	Loporzano	1	70
22150	Loporzano	2	51
22150	Loporzano	3 o más	21
22151	Loscorrales	0	8
22151	Loscorrales	1	24
22151	Loscorrales	2	10
22151	Loscorrales	3 o más	3
22155	Monesma y Cajigar	0	2
22155	Monesma y Cajigar	1	11
22155	Monesma y Cajigar	2	8
22155	Monesma y Cajigar	3 o más	7
22156	Monflorite-Lascasas	0	4
22156	Monflorite-Lascasas	1	28
22156	Monflorite-Lascasas	2	27
22156	Monflorite-Lascasas	3 o más	15
22157	Montanuy	0	18
22157	Montanuy	1	53
22157	Montanuy	2	30
22157	Montanuy	3 o más	6
22158	Monzón	0	1375
22158	Monzón	1	2713
22158	Monzón	2	1062
22158	Monzón	3 o más	168
22160	Naval	0	38
22160	Naval	1	47
22160	Naval	2	24
22160	Naval	3 o más	12
22162	Novales	0	12
22162	Novales	1	29
22162	Novales	2	19
22162	Novales	3 o más	4
22163	Nueno	0	20
22163	Nueno	1	44
22163	Nueno	2	55
22163	Nueno	3 o más	12
22164	Olvena	0	7
22164	Olvena	1	13
22164	Olvena	2	3
22164	Olvena	3 o más	1
22165	Ontiñena	0	72
22165	Ontiñena	1	76
22165	Ontiñena	2	61
22165	Ontiñena	3 o más	22
22167	Osso de Cinca	0	54
22167	Osso de Cinca	1	104
22167	Osso de Cinca	2	54
22167	Osso de Cinca	3 o más	20
22168	Palo	0	6
22168	Palo	1	9
22168	Palo	3 o más	1
22170	Panticosa	0	58
22170	Panticosa	1	139
22170	Panticosa	2	65
22170	Panticosa	3 o más	11
22172	Peñalba	0	38
22172	Peñalba	1	126
22172	Peñalba	2	67
22172	Peñalba	3 o más	5
22173	Peñas de Riglos (Las)	0	43
22173	Peñas de Riglos (Las)	1	43
22173	Peñas de Riglos (Las)	2	38
22173	Peñas de Riglos (Las)	3 o más	5
22174	Peralta de Alcofea	0	57
22174	Peralta de Alcofea	1	89
22174	Peralta de Alcofea	2	69
22174	Peralta de Alcofea	3 o más	27
22175	Peralta de Calasanz	0	48
22175	Peralta de Calasanz	1	59
22175	Peralta de Calasanz	2	14
22175	Peralta de Calasanz	3 o más	5
22176	Peraltilla	0	15
22176	Peraltilla	1	20
22176	Peraltilla	2	13
22176	Peraltilla	3 o más	10
22177	Perarrúa	0	17
22177	Perarrúa	1	22
22177	Perarrúa	2	9
22177	Perarrúa	3 o más	6
22178	Pertusa	0	10
22178	Pertusa	1	27
22178	Pertusa	2	12
22178	Pertusa	3 o más	3
22181	Piracés	0	3
22181	Piracés	1	15
22181	Piracés	2	9
22181	Piracés	3 o más	8
22182	Plan	0	36
22182	Plan	1	42
22182	Plan	2	26
22182	Plan	3 o más	9
22184	Poleñino	0	19
22184	Poleñino	1	29
22184	Poleñino	2	21
22184	Poleñino	3 o más	13
22186	Pozán de Vero	0	36
22186	Pozán de Vero	1	34
22186	Pozán de Vero	2	15
22186	Pozán de Vero	3 o más	6
22187	Puebla de Castro (La)	0	33
22187	Puebla de Castro (La)	1	63
22187	Puebla de Castro (La)	2	35
22187	Puebla de Castro (La)	3 o más	5
22188	Puente de Montañana	0	16
22188	Puente de Montañana	1	22
22188	Puente de Montañana	2	11
22188	Puente de Montañana	3 o más	2
22189	Puértolas	0	16
22189	Puértolas	1	31
22189	Puértolas	2	15
22189	Puértolas	3 o más	12
22190	Pueyo de Araguás (El)	0	7
22190	Pueyo de Araguás (El)	1	21
22190	Pueyo de Araguás (El)	2	11
22190	Pueyo de Araguás (El)	3 o más	9
22193	Pueyo de Santa Cruz	0	21
22193	Pueyo de Santa Cruz	1	46
22193	Pueyo de Santa Cruz	2	29
22193	Pueyo de Santa Cruz	3 o más	12
22195	Quicena	0	5
22195	Quicena	1	16
22195	Quicena	2	13
22195	Quicena	3 o más	7
22197	Robres	0	44
22197	Robres	1	97
22197	Robres	2	77
22197	Robres	3 o más	11
22199	Sabiñánigo	0	705
22199	Sabiñánigo	1	1549
22199	Sabiñánigo	2	669
22199	Sabiñánigo	3 o más	115
22200	Sahún	0	20
22200	Sahún	1	43
22200	Sahún	2	20
22200	Sahún	3 o más	11
22201	Salas Altas	0	36
22201	Salas Altas	1	54
22201	Salas Altas	2	31
22201	Salas Altas	3 o más	14
22202	Salas Bajas	0	19
22202	Salas Bajas	1	22
22202	Salas Bajas	2	12
22202	Salas Bajas	3 o más	8
22203	Salillas	0	18
22203	Salillas	1	19
22203	Salillas	2	10
22203	Salillas	3 o más	2
22204	Sallent de Gállego	0	61
22204	Sallent de Gállego	1	195
22204	Sallent de Gállego	2	102
22204	Sallent de Gállego	3 o más	29
22205	San Esteban de Litera	0	69
22205	San Esteban de Litera	1	86
22205	San Esteban de Litera	2	54
22205	San Esteban de Litera	3 o más	21
22206	Sangarrén	0	29
22206	Sangarrén	1	30
22206	Sangarrén	2	30
22206	Sangarrén	3 o más	6
22207	San Juan de Plan	0	13
22207	San Juan de Plan	1	21
22207	San Juan de Plan	2	13
22207	San Juan de Plan	3 o más	4
22208	Santa Cilia	0	10
22208	Santa Cilia	1	42
22208	Santa Cilia	2	19
22208	Santa Cilia	3 o más	3
22209	Santa Cruz de la Serós	0	6
22209	Santa Cruz de la Serós	1	23
22209	Santa Cruz de la Serós	2	17
22209	Santa Cruz de la Serós	3 o más	7
22212	Santaliestra y San Quílez	0	15
22212	Santaliestra y San Quílez	1	32
22212	Santaliestra y San Quílez	2	5
22212	Santaliestra y San Quílez	3 o más	3
22213	Sariñena	0	349
22213	Sariñena	1	636
22213	Sariñena	2	317
22213	Sariñena	3 o más	69
22214	Secastilla	0	15
22214	Secastilla	1	15
22214	Secastilla	2	8
22214	Secastilla	3 o más	6
22215	Seira	0	14
22215	Seira	1	33
22215	Seira	2	23
22215	Seira	3 o más	3
22217	Sena	0	64
22217	Sena	1	77
22217	Sena	2	53
22217	Sena	3 o más	15
22218	Senés de Alcubierre	0	2
22218	Senés de Alcubierre	1	7
22218	Senés de Alcubierre	2	5
22218	Senés de Alcubierre	3 o más	2
22220	Sesa	0	25
22220	Sesa	1	35
22220	Sesa	2	25
22220	Sesa	3 o más	8
22221	Sesué	0	5
22221	Sesué	1	24
22221	Sesué	2	18
22221	Sesué	3 o más	5
22222	Siétamo	0	33
22222	Siétamo	1	70
22222	Siétamo	2	61
22222	Siétamo	3 o más	8
22223	Sopeira	0	15
22223	Sopeira	1	18
22223	Sopeira	2	9
22223	Sopeira	3 o más	4
22225	Tamarite de Litera	0	298
22225	Tamarite de Litera	1	552
22225	Tamarite de Litera	2	356
22225	Tamarite de Litera	3 o más	82
22226	Tardienta	0	146
22226	Tardienta	1	164
22226	Tardienta	2	81
22226	Tardienta	3 o más	18
22227	Tella-Sin	0	26
22227	Tella-Sin	1	66
22227	Tella-Sin	2	16
22227	Tella-Sin	3 o más	6
22228	Tierz	0	12
22228	Tierz	1	23
22228	Tierz	2	21
22228	Tierz	3 o más	6
22229	Tolva	0	20
22229	Tolva	1	29
22229	Tolva	2	19
22229	Tolva	3 o más	8
22230	Torla	0	17
22230	Torla	1	69
22230	Torla	2	31
22230	Torla	3 o más	7
22232	Torralba de Aragón	0	14
22232	Torralba de Aragón	1	19
22232	Torralba de Aragón	2	12
22232	Torralba de Aragón	3 o más	4
22233	Torre la Ribera	0	12
22233	Torre la Ribera	1	21
22233	Torre la Ribera	2	4
22233	Torre la Ribera	3 o más	2
22234	Torrente de Cinca	0	74
22234	Torrente de Cinca	1	142
22234	Torrente de Cinca	2	134
22234	Torrente de Cinca	3 o más	25
22235	Torres de Alcanadre	0	11
22235	Torres de Alcanadre	1	19
22235	Torres de Alcanadre	2	18
22235	Torres de Alcanadre	3 o más	1
22236	Torres de Barbués	0	37
22236	Torres de Barbués	1	57
22236	Torres de Barbués	2	22
22236	Torres de Barbués	3 o más	6
22239	Tramaced	0	4
22239	Tramaced	1	15
22239	Tramaced	2	5
22239	Tramaced	3 o más	9
22242	Valfarta	0	9
22242	Valfarta	1	19
22242	Valfarta	2	6
22243	Valle de Bardají	0	1
22243	Valle de Bardají	1	5
22243	Valle de Bardají	2	5
22243	Valle de Bardají	3 o más	2
22244	Valle de Lierp	0	1
22244	Valle de Lierp	1	10
22244	Valle de Lierp	2	5
22244	Valle de Lierp	3 o más	2
22245	Velilla de Cinca	0	51
22245	Velilla de Cinca	1	71
22245	Velilla de Cinca	2	35
22245	Velilla de Cinca	3 o más	5
22246	Veracruz	0	15
22246	Veracruz	1	27
22246	Veracruz	2	5
22246	Veracruz	3 o más	2
22247	Viacamp y Litera	0	3
22247	Viacamp y Litera	1	6
22247	Viacamp y Litera	2	1
22247	Viacamp y Litera	3 o más	3
22248	Vicién	0	6
22248	Vicién	1	17
22248	Vicién	2	16
22248	Vicién	3 o más	4
22249	Villanova	0	11
22249	Villanova	1	25
22249	Villanova	2	11
22249	Villanova	3 o más	4
22250	Villanúa	0	26
22250	Villanúa	1	71
22250	Villanúa	2	36
22250	Villanúa	3 o más	12
22251	Villanueva de Sigena	0	29
22251	Villanueva de Sigena	1	56
22251	Villanueva de Sigena	2	54
22251	Villanueva de Sigena	3 o más	15
22252	Yebra de Basa	0	4
22252	Yebra de Basa	1	25
22252	Yebra de Basa	2	17
22252	Yebra de Basa	3 o más	8
22253	Yésero	0	5
22253	Yésero	1	21
22253	Yésero	2	4
22253	Yésero	3 o más	3
22254	Zaidín	0	136
22254	Zaidín	1	232
22254	Zaidín	2	154
22254	Zaidín	3 o más	43
22901	Valle de Hecho	0	100
22901	Valle de Hecho	1	162
22901	Valle de Hecho	2	61
22901	Valle de Hecho	3 o más	27
22902	Puente la Reina de Jaca	0	16
22902	Puente la Reina de Jaca	1	39
22902	Puente la Reina de Jaca	2	24
22902	Puente la Reina de Jaca	3 o más	15
22903	San Miguel del Cinca	0	72
22903	San Miguel del Cinca	1	96
22903	San Miguel del Cinca	2	102
22903	San Miguel del Cinca	3 o más	26
22904	Sotonera (La)	0	121
22904	Sotonera (La)	1	183
22904	Sotonera (La)	2	96
22904	Sotonera (La)	3 o más	29
22905	Lupiñén-Ortilla	0	30
22905	Lupiñén-Ortilla	1	49
22905	Lupiñén-Ortilla	2	33
22905	Lupiñén-Ortilla	3 o más	11
22906	Santa María de Dulcis	0	30
22906	Santa María de Dulcis	1	36
22906	Santa María de Dulcis	2	17
22906	Santa María de Dulcis	3 o más	3
22907	Aínsa-Sobrarbe	0	118
22907	Aínsa-Sobrarbe	1	246
22907	Aínsa-Sobrarbe	2	168
22907	Aínsa-Sobrarbe	3 o más	46
22908	Hoz y Costeán	0	24
22908	Hoz y Costeán	1	34
22908	Hoz y Costeán	2	12
22908	Hoz y Costeán	3 o más	15
22909	Vencillón	0	24
22909	Vencillón	1	62
22909	Vencillón	2	51
22909	Vencillón	3 o más	21
44001	Ababuj	0	6
44001	Ababuj	1	17
44001	Ababuj	2	4
44001	Ababuj	3 o más	7
44002	Abejuela	0	13
44002	Abejuela	1	12
44002	Abejuela	2	7
44003	Aguatón	0	4
44003	Aguatón	1	1
44003	Aguatón	2	4
44003	Aguatón	3 o más	1
44004	Aguaviva	0	98
44004	Aguaviva	1	90
44004	Aguaviva	2	52
44004	Aguaviva	3 o más	20
44005	Aguilar del Alfambra	0	15
44005	Aguilar del Alfambra	1	7
44005	Aguilar del Alfambra	2	6
44005	Aguilar del Alfambra	3 o más	4
44006	Alacón	0	97
44006	Alacón	1	47
44006	Alacón	2	19
44006	Alacón	3 o más	3
44007	Alba	0	51
44007	Alba	1	26
44007	Alba	2	24
44007	Alba	3 o más	8
44008	Albalate del Arzobispo	0	318
44008	Albalate del Arzobispo	1	343
44008	Albalate del Arzobispo	2	160
44008	Albalate del Arzobispo	3 o más	18
44009	Albarracín	0	113
44009	Albarracín	1	136
44009	Albarracín	2	96
44009	Albarracín	3 o más	21
44010	Albentosa	0	37
44010	Albentosa	1	41
44010	Albentosa	2	12
44010	Albentosa	3 o más	7
44011	Alcaine	0	11
44011	Alcaine	1	24
44011	Alcaine	2	5
44011	Alcaine	3 o más	4
44012	Alcalá de la Selva	0	62
44012	Alcalá de la Selva	1	104
44012	Alcalá de la Selva	2	32
44012	Alcalá de la Selva	3 o más	8
44013	Alcañiz	0	1167
44013	Alcañiz	1	2282
44013	Alcañiz	2	1063
44013	Alcañiz	3 o más	200
44014	Alcorisa	0	317
44014	Alcorisa	1	596
44014	Alcorisa	2	226
44014	Alcorisa	3 o más	31
44016	Alfambra	0	91
44016	Alfambra	1	108
44016	Alfambra	2	43
44016	Alfambra	3 o más	10
44017	Aliaga	0	77
44017	Aliaga	1	54
44017	Aliaga	2	34
44017	Aliaga	3 o más	6
44018	Almohaja	0	6
44018	Almohaja	1	3
44018	Almohaja	2	2
44019	Alobras	0	25
44019	Alobras	1	14
44019	Alobras	2	2
44019	Alobras	3 o más	1
44020	Alpeñés	0	2
44020	Alpeñés	1	6
44020	Alpeñés	2	4
44021	Allepuz	0	21
44021	Allepuz	1	28
44021	Allepuz	2	7
44022	Alloza	0	138
44022	Alloza	1	103
44022	Alloza	2	63
44022	Alloza	3 o más	11
44023	Allueva	0	4
44023	Allueva	1	5
44024	Anadón	0	2
44024	Anadón	1	1
44024	Anadón	2	1
44024	Anadón	3 o más	2
44025	Andorra	0	576
44025	Andorra	1	1288
44025	Andorra	2	651
44025	Andorra	3 o más	106
44026	Arcos de las Salinas	0	33
44026	Arcos de las Salinas	1	16
44026	Arcos de las Salinas	2	13
44026	Arcos de las Salinas	3 o más	3
44027	Arens de Lledó	0	16
44027	Arens de Lledó	1	34
44027	Arens de Lledó	2	17
44027	Arens de Lledó	3 o más	2
44028	Argente	0	50
44028	Argente	1	28
44028	Argente	2	20
44028	Argente	3 o más	6
44029	Ariño	0	107
44029	Ariño	1	150
44029	Ariño	2	60
44029	Ariño	3 o más	8
44031	Azaila	0	31
44031	Azaila	1	35
44031	Azaila	2	11
44031	Azaila	3 o más	2
44032	Bádenas	0	4
44032	Bádenas	1	5
44032	Bádenas	2	1
44032	Bádenas	3 o más	3
44033	Báguena	0	98
44033	Báguena	1	70
44033	Báguena	2	25
44033	Báguena	3 o más	4
44034	Bañón	0	25
44034	Bañón	1	27
44034	Bañón	2	16
44034	Bañón	3 o más	1
44035	Barrachina	0	32
44035	Barrachina	1	24
44035	Barrachina	2	12
44035	Barrachina	3 o más	1
44036	Bea	0	6
44036	Bea	1	10
44036	Bea	2	1
44036	Bea	3 o más	1
44037	Beceite	0	75
44037	Beceite	1	95
44037	Beceite	2	47
44037	Beceite	3 o más	20
44038	Belmonte de San José	0	19
44038	Belmonte de San José	1	29
44038	Belmonte de San José	2	13
44038	Belmonte de San José	3 o más	1
44039	Bello	0	82
44039	Bello	1	47
44039	Bello	2	19
44039	Bello	3 o más	11
44040	Berge	0	45
