Comarca código	Comarca nombre	Tipo local	Actividad del local	Número de locales
12	Tarazona y el Moncayo	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	43
12	Tarazona y el Moncayo	Local comercial	Activo	286
12	Tarazona y el Moncayo	Oficinas(incluye también el resto de servicios)	Activo	203
12	Tarazona y el Moncayo	Local industrial	Activo	156
12	Tarazona y el Moncayo	Local agrario	Activo	5
13	Campo de Borja	No aplicable	Inactivo	137
13	Campo de Borja	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	12
13	Campo de Borja	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	34
13	Campo de Borja	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	20
13	Campo de Borja	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	22
13	Campo de Borja	Local comercial	Activo	247
13	Campo de Borja	Oficinas(incluye también el resto de servicios)	Activo	132
13	Campo de Borja	Local industrial	Activo	63
13	Campo de Borja	Local agrario	Activo	10
14	Aranda	No aplicable	Inactivo	252
14	Aranda	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	78
14	Aranda	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	7
14	Aranda	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	8
14	Aranda	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	10
14	Aranda	Local comercial	Activo	132
14	Aranda	Oficinas(incluye también el resto de servicios)	Activo	85
14	Aranda	Local industrial	Activo	153
14	Aranda	Local agrario	Activo	1
15	Ribera Alta del Ebro	No aplicable	Inactivo	262
15	Ribera Alta del Ebro	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	42
15	Ribera Alta del Ebro	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	33
15	Ribera Alta del Ebro	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	36
15	Ribera Alta del Ebro	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	51
15	Ribera Alta del Ebro	Local comercial	Activo	331
15	Ribera Alta del Ebro	Oficinas(incluye también el resto de servicios)	Activo	241
15	Ribera Alta del Ebro	Local industrial	Activo	252
15	Ribera Alta del Ebro	Local agrario	Activo	7
16	Valdejalón	No aplicable	Inactivo	222
16	Valdejalón	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	22
16	Valdejalón	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	27
16	Valdejalón	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	24
16	Valdejalón	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	27
16	Valdejalón	Local comercial	Activo	366
16	Valdejalón	Oficinas(incluye también el resto de servicios)	Activo	246
16	Valdejalón	Local industrial	Activo	190
16	Valdejalón	Local agrario	Activo	27
17	D.C. Zaragoza	No aplicable	Inactivo	6981
17	D.C. Zaragoza	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	693
17	D.C. Zaragoza	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	589
17	D.C. Zaragoza	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	454
17	D.C. Zaragoza	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	382
17	D.C. Zaragoza	Local comercial	Activo	16346
17	D.C. Zaragoza	Oficinas(incluye también el resto de servicios)	Activo	8962
17	D.C. Zaragoza	Local industrial	Activo	4271
17	D.C. Zaragoza	Local agrario	Activo	81
18	Ribera Baja del Ebro	No aplicable	Inactivo	304
18	Ribera Baja del Ebro	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	12
18	Ribera Baja del Ebro	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	15
18	Ribera Baja del Ebro	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	6
18	Ribera Baja del Ebro	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	25
18	Ribera Baja del Ebro	Local comercial	Activo	148
18	Ribera Baja del Ebro	Oficinas(incluye también el resto de servicios)	Activo	150
18	Ribera Baja del Ebro	Local industrial	Activo	47
18	Ribera Baja del Ebro	Local agrario	Activo	64
19	Bajo Aragón-Caspe / Baix Aragó-Casp	No aplicable	Inactivo	201
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	21
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	9
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	11
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	23
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Local comercial	Activo	305
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Oficinas(incluye también el resto de servicios)	Activo	117
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Local industrial	Activo	83
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Local agrario	Activo	58
20	Comunidad de Calatayud	No aplicable	Inactivo	990
20	Comunidad de Calatayud	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	49
20	Comunidad de Calatayud	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	45
20	Comunidad de Calatayud	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	46
20	Comunidad de Calatayud	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	57
20	Comunidad de Calatayud	Local comercial	Activo	855
20	Comunidad de Calatayud	Oficinas(incluye también el resto de servicios)	Activo	379
20	Comunidad de Calatayud	Local industrial	Activo	73
20	Comunidad de Calatayud	Local agrario	Activo	17
21	Campo de Cariñena	No aplicable	Inactivo	191
21	Campo de Cariñena	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	10
21	Campo de Cariñena	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	47
21	Campo de Cariñena	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	15
21	Campo de Cariñena	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	36
21	Campo de Cariñena	Local comercial	Activo	165
21	Campo de Cariñena	Oficinas(incluye también el resto de servicios)	Activo	100
21	Campo de Cariñena	Local industrial	Activo	59
21	Campo de Cariñena	Local agrario	Activo	67
22	Campo de Belchite	No aplicable	Inactivo	158
22	Campo de Belchite	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	12
22	Campo de Belchite	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	5
22	Campo de Belchite	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	15
22	Campo de Belchite	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	44
22	Campo de Belchite	Local comercial	Activo	84
22	Campo de Belchite	Oficinas(incluye también el resto de servicios)	Activo	66
22	Campo de Belchite	Local industrial	Activo	47
22	Campo de Belchite	Local agrario	Activo	10
23	Bajo Martín	No aplicable	Inactivo	55
23	Bajo Martín	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	14
23	Bajo Martín	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	8
23	Bajo Martín	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	12
23	Bajo Martín	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	35
23	Bajo Martín	Local comercial	Activo	136
23	Bajo Martín	Oficinas(incluye también el resto de servicios)	Activo	85
23	Bajo Martín	Local industrial	Activo	56
23	Bajo Martín	Local agrario	Activo	4
24	Campo de Daroca	No aplicable	Inactivo	430
24	Campo de Daroca	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	14
24	Campo de Daroca	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	9
24	Campo de Daroca	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	13
24	Campo de Daroca	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	25
24	Campo de Daroca	Local comercial	Activo	145
24	Campo de Daroca	Oficinas(incluye también el resto de servicios)	Activo	162
24	Campo de Daroca	Local industrial	Activo	28
24	Campo de Daroca	Local agrario	Activo	5
25	Jiloca	No aplicable	Inactivo	110
25	Jiloca	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	39
25	Jiloca	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	19
25	Jiloca	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	28
25	Jiloca	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	25
25	Jiloca	Local comercial	Activo	298
25	Jiloca	Oficinas(incluye también el resto de servicios)	Activo	296
25	Jiloca	Local industrial	Activo	36
25	Jiloca	Local agrario	Activo	14
26	Cuencas Mineras	No aplicable	Inactivo	128
26	Cuencas Mineras	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	25
26	Cuencas Mineras	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	44
26	Cuencas Mineras	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	38
26	Cuencas Mineras	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	69
26	Cuencas Mineras	Local comercial	Activo	178
26	Cuencas Mineras	Oficinas(incluye también el resto de servicios)	Activo	180
26	Cuencas Mineras	Local industrial	Activo	44
26	Cuencas Mineras	Local agrario	Activo	7
27	Andorra-Sierra de Arcos	No aplicable	Inactivo	134
27	Andorra-Sierra de Arcos	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	18
27	Andorra-Sierra de Arcos	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	27
27	Andorra-Sierra de Arcos	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	27
27	Andorra-Sierra de Arcos	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	29
27	Andorra-Sierra de Arcos	Local comercial	Activo	250
27	Andorra-Sierra de Arcos	Oficinas(incluye también el resto de servicios)	Activo	115
27	Andorra-Sierra de Arcos	Local industrial	Activo	38
27	Andorra-Sierra de Arcos	Local agrario	Activo	5
28	Bajo Aragón	No aplicable	Inactivo	280
28	Bajo Aragón	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	49
28	Bajo Aragón	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	40
28	Bajo Aragón	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	29
28	Bajo Aragón	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	64
28	Bajo Aragón	Local comercial	Activo	619
28	Bajo Aragón	Oficinas(incluye también el resto de servicios)	Activo	309
28	Bajo Aragón	Local industrial	Activo	102
28	Bajo Aragón	Local agrario	Activo	28
29	Comunidad de Teruel	No aplicable	Inactivo	303
29	Comunidad de Teruel	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	71
29	Comunidad de Teruel	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	64
29	Comunidad de Teruel	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	47
29	Comunidad de Teruel	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	77
29	Comunidad de Teruel	Local comercial	Activo	942
29	Comunidad de Teruel	Oficinas(incluye también el resto de servicios)	Activo	891
29	Comunidad de Teruel	Local industrial	Activo	124
29	Comunidad de Teruel	Local agrario	Activo	5
30	Maestrazgo	No aplicable	Inactivo	53
30	Maestrazgo	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	13
30	Maestrazgo	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	44
30	Maestrazgo	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	4
30	Maestrazgo	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	9
30	Maestrazgo	Local comercial	Activo	85
30	Maestrazgo	Oficinas(incluye también el resto de servicios)	Activo	75
30	Maestrazgo	Local industrial	Activo	17
30	Maestrazgo	Local agrario	Activo	9
31	Sierra de Albarracín	No aplicable	Inactivo	58
31	Sierra de Albarracín	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	27
31	Sierra de Albarracín	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	10
31	Sierra de Albarracín	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	6
31	Sierra de Albarracín	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	25
31	Sierra de Albarracín	Local comercial	Activo	101
31	Sierra de Albarracín	Oficinas(incluye también el resto de servicios)	Activo	90
31	Sierra de Albarracín	Local industrial	Activo	23
31	Sierra de Albarracín	Local agrario	Activo	4
32	Gúdar-Javalambre	No aplicable	Inactivo	115
32	Gúdar-Javalambre	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	25
32	Gúdar-Javalambre	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	34
32	Gúdar-Javalambre	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	7
32	Gúdar-Javalambre	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	21
32	Gúdar-Javalambre	Local comercial	Activo	186
32	Gúdar-Javalambre	Oficinas(incluye también el resto de servicios)	Activo	284
32	Gúdar-Javalambre	Local industrial	Activo	29
32	Gúdar-Javalambre	Local agrario	Activo	6
33	Matarraña / Matarranya	No aplicable	Inactivo	47
33	Matarraña / Matarranya	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	30
33	Matarraña / Matarranya	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	22
33	Matarraña / Matarranya	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	17
33	Matarraña / Matarranya	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	19
33	Matarraña / Matarranya	Local comercial	Activo	193
33	Matarraña / Matarranya	Oficinas(incluye también el resto de servicios)	Activo	144
33	Matarraña / Matarranya	Local industrial	Activo	32
33	Matarraña / Matarranya	Local agrario	Activo	9
