Mes y año	'Aragón'	Nivel formativo grupo IAEST código	Nivel formativo grupo IAEST descripción	Sexo	Nº parados
Diciembre 2019	Aragón	31	Bachillerato	Hombres	1958
Diciembre 2019	Aragón	31	Bachillerato	Mujeres	2871
Diciembre 2019	Aragón	32	Enseñanza media de formación profesional	Hombres	1699
Diciembre 2019	Aragón	32	Enseñanza media de formación profesional	Mujeres	3075
Diciembre 2019	Aragón	41	Enseñanza superior de formación profesional	Hombres	1427
Diciembre 2019	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2339
Diciembre 2019	Aragón	42	Enseñanza superior universitaria	Hombres	1924
Diciembre 2019	Aragón	42	Enseñanza superior universitaria	Mujeres	4285
Noviembre 2019	Aragón	10	Educación Primaria o inferior	Hombres	5768
Noviembre 2019	Aragón	10	Educación Primaria o inferior	Mujeres	8177
Noviembre 2019	Aragón	20	Primera etapa de educación secundaria	Hombres	13521
Noviembre 2019	Aragón	20	Primera etapa de educación secundaria	Mujeres	17963
Noviembre 2019	Aragón	31	Bachillerato	Hombres	1951
Noviembre 2019	Aragón	31	Bachillerato	Mujeres	2957
Noviembre 2019	Aragón	32	Enseñanza media de formación profesional	Hombres	1678
Noviembre 2019	Aragón	32	Enseñanza media de formación profesional	Mujeres	3227
Noviembre 2019	Aragón	41	Enseñanza superior de formación profesional	Hombres	1372
Noviembre 2019	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2386
Noviembre 2019	Aragón	42	Enseñanza superior universitaria	Hombres	1902
Noviembre 2019	Aragón	42	Enseñanza superior universitaria	Mujeres	4321
Octubre 2019	Aragón	10	Educación Primaria o inferior	Hombres	5718
Octubre 2019	Aragón	10	Educación Primaria o inferior	Mujeres	7884
Octubre 2019	Aragón	20	Primera etapa de educación secundaria	Hombres	13484
Octubre 2019	Aragón	20	Primera etapa de educación secundaria	Mujeres	17827
Octubre 2019	Aragón	31	Bachillerato	Hombres	2003
Octubre 2019	Aragón	31	Bachillerato	Mujeres	2995
Octubre 2019	Aragón	32	Enseñanza media de formación profesional	Hombres	1693
Octubre 2019	Aragón	32	Enseñanza media de formación profesional	Mujeres	3357
Octubre 2019	Aragón	41	Enseñanza superior de formación profesional	Hombres	1403
Octubre 2019	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2442
Octubre 2019	Aragón	42	Enseñanza superior universitaria	Hombres	1973
Octubre 2019	Aragón	42	Enseñanza superior universitaria	Mujeres	4456
Septiembre 2019	Aragón	10	Educación Primaria o inferior	Hombres	5032
Septiembre 2019	Aragón	10	Educación Primaria o inferior	Mujeres	7314
Septiembre 2019	Aragón	20	Primera etapa de educación secundaria	Hombres	13057
Septiembre 2019	Aragón	20	Primera etapa de educación secundaria	Mujeres	17311
Septiembre 2019	Aragón	31	Bachillerato	Hombres	2008
Septiembre 2019	Aragón	31	Bachillerato	Mujeres	3023
Septiembre 2019	Aragón	32	Enseñanza media de formación profesional	Hombres	1626
Septiembre 2019	Aragón	32	Enseñanza media de formación profesional	Mujeres	3082
Septiembre 2019	Aragón	41	Enseñanza superior de formación profesional	Hombres	1362
Septiembre 2019	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2453
Septiembre 2019	Aragón	42	Enseñanza superior universitaria	Hombres	1996
Septiembre 2019	Aragón	42	Enseñanza superior universitaria	Mujeres	4599
Agosto 2019	Aragón	10	Educación Primaria o inferior	Hombres	4736
Agosto 2019	Aragón	10	Educación Primaria o inferior	Mujeres	6832
Agosto 2019	Aragón	20	Primera etapa de educación secundaria	Hombres	12829
Agosto 2019	Aragón	20	Primera etapa de educación secundaria	Mujeres	16994
Agosto 2019	Aragón	31	Bachillerato	Hombres	1977
Agosto 2019	Aragón	31	Bachillerato	Mujeres	2837
Agosto 2019	Aragón	32	Enseñanza media de formación profesional	Hombres	1562
Agosto 2019	Aragón	32	Enseñanza media de formación profesional	Mujeres	2958
Agosto 2019	Aragón	41	Enseñanza superior de formación profesional	Hombres	1328
Agosto 2019	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2377
Agosto 2019	Aragón	42	Enseñanza superior universitaria	Hombres	2069
Agosto 2019	Aragón	42	Enseñanza superior universitaria	Mujeres	4984
Julio 2019	Aragón	10	Educación Primaria o inferior	Hombres	4845
Julio 2019	Aragón	10	Educación Primaria o inferior	Mujeres	7010
Julio 2019	Aragón	20	Primera etapa de educación secundaria	Hombres	12536
Julio 2019	Aragón	20	Primera etapa de educación secundaria	Mujeres	17083
Julio 2019	Aragón	31	Bachillerato	Hombres	1886
Julio 2019	Aragón	31	Bachillerato	Mujeres	2774
Julio 2019	Aragón	32	Enseñanza media de formación profesional	Hombres	1467
Julio 2019	Aragón	32	Enseñanza media de formación profesional	Mujeres	2892
Julio 2019	Aragón	41	Enseñanza superior de formación profesional	Hombres	1243
Julio 2019	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2221
Julio 2019	Aragón	42	Enseñanza superior universitaria	Hombres	1892
Julio 2019	Aragón	42	Enseñanza superior universitaria	Mujeres	4605
Junio 2019	Aragón	10	Educación Primaria o inferior	Hombres	4614
Junio 2019	Aragón	10	Educación Primaria o inferior	Mujeres	7113
Junio 2019	Aragón	20	Primera etapa de educación secundaria	Hombres	12398
Junio 2019	Aragón	20	Primera etapa de educación secundaria	Mujeres	17229
Junio 2019	Aragón	31	Bachillerato	Hombres	1919
Junio 2019	Aragón	31	Bachillerato	Mujeres	2766
Junio 2019	Aragón	32	Enseñanza media de formación profesional	Hombres	1446
Junio 2019	Aragón	32	Enseñanza media de formación profesional	Mujeres	2900
Junio 2019	Aragón	41	Enseñanza superior de formación profesional	Hombres	1225
Junio 2019	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2092
Junio 2019	Aragón	42	Enseñanza superior universitaria	Hombres	1758
Junio 2019	Aragón	42	Enseñanza superior universitaria	Mujeres	4048
Mayo 2019	Aragón	10	Educación Primaria o inferior	Hombres	4680
Mayo 2019	Aragón	10	Educación Primaria o inferior	Mujeres	7445
Mayo 2019	Aragón	20	Primera etapa de educación secundaria	Hombres	12690
Mayo 2019	Aragón	20	Primera etapa de educación secundaria	Mujeres	17603
Mayo 2019	Aragón	31	Bachillerato	Hombres	1966
Mayo 2019	Aragón	31	Bachillerato	Mujeres	2782
Mayo 2019	Aragón	32	Enseñanza media de formación profesional	Hombres	1476
Mayo 2019	Aragón	32	Enseñanza media de formación profesional	Mujeres	3098
Mayo 2019	Aragón	41	Enseñanza superior de formación profesional	Hombres	1234
Mayo 2019	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2119
Mayo 2019	Aragón	42	Enseñanza superior universitaria	Hombres	1740
Mayo 2019	Aragón	42	Enseñanza superior universitaria	Mujeres	3898
Abril 2019	Aragón	10	Educación Primaria o inferior	Hombres	5597
Abril 2019	Aragón	10	Educación Primaria o inferior	Mujeres	8090
Abril 2019	Aragón	20	Primera etapa de educación secundaria	Hombres	13351
Abril 2019	Aragón	20	Primera etapa de educación secundaria	Mujeres	18035
Abril 2019	Aragón	31	Bachillerato	Hombres	1968
Abril 2019	Aragón	31	Bachillerato	Mujeres	2829
Abril 2019	Aragón	32	Enseñanza media de formación profesional	Hombres	1562
Abril 2019	Aragón	32	Enseñanza media de formación profesional	Mujeres	3148
Abril 2019	Aragón	41	Enseñanza superior de formación profesional	Hombres	1253
Abril 2019	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2191
Abril 2019	Aragón	42	Enseñanza superior universitaria	Hombres	1771
Abril 2019	Aragón	42	Enseñanza superior universitaria	Mujeres	3955
Marzo 2019	Aragón	10	Educación Primaria o inferior	Hombres	5862
Marzo 2019	Aragón	10	Educación Primaria o inferior	Mujeres	8373
Marzo 2019	Aragón	20	Primera etapa de educación secundaria	Hombres	13599
Marzo 2019	Aragón	20	Primera etapa de educación secundaria	Mujeres	18426
Marzo 2019	Aragón	31	Bachillerato	Hombres	1975
Marzo 2019	Aragón	31	Bachillerato	Mujeres	2912
Marzo 2019	Aragón	32	Enseñanza media de formación profesional	Hombres	1599
Marzo 2019	Aragón	32	Enseñanza media de formación profesional	Mujeres	3277
Marzo 2019	Aragón	41	Enseñanza superior de formación profesional	Hombres	1250
Marzo 2019	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2279
Marzo 2019	Aragón	42	Enseñanza superior universitaria	Hombres	1814
Marzo 2019	Aragón	42	Enseñanza superior universitaria	Mujeres	4046
Febrero 2019	Aragón	10	Educación Primaria o inferior	Hombres	5840
Febrero 2019	Aragón	10	Educación Primaria o inferior	Mujeres	8286
Febrero 2019	Aragón	20	Primera etapa de educación secundaria	Hombres	13963
Febrero 2019	Aragón	20	Primera etapa de educación secundaria	Mujeres	18608
Febrero 2019	Aragón	31	Bachillerato	Hombres	2071
Febrero 2019	Aragón	31	Bachillerato	Mujeres	3007
Febrero 2019	Aragón	32	Enseñanza media de formación profesional	Hombres	1757
Febrero 2019	Aragón	32	Enseñanza media de formación profesional	Mujeres	3391
Febrero 2019	Aragón	41	Enseñanza superior de formación profesional	Hombres	1342
Febrero 2019	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2424
Febrero 2019	Aragón	42	Enseñanza superior universitaria	Hombres	1915
Febrero 2019	Aragón	42	Enseñanza superior universitaria	Mujeres	4358
Enero 2019	Aragón	10	Educación Primaria o inferior	Hombres	5903
Enero 2019	Aragón	10	Educación Primaria o inferior	Mujeres	8423
Enero 2019	Aragón	20	Primera etapa de educación secundaria	Hombres	14424
Enero 2019	Aragón	20	Primera etapa de educación secundaria	Mujeres	18794
Enero 2019	Aragón	31	Bachillerato	Hombres	2131
Enero 2019	Aragón	31	Bachillerato	Mujeres	3157
Enero 2019	Aragón	32	Enseñanza media de formación profesional	Hombres	1863
Enero 2019	Aragón	32	Enseñanza media de formación profesional	Mujeres	3529
Enero 2019	Aragón	41	Enseñanza superior de formación profesional	Hombres	1474
Enero 2019	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2639
Enero 2019	Aragón	42	Enseñanza superior universitaria	Hombres	2050
Enero 2019	Aragón	42	Enseñanza superior universitaria	Mujeres	4672
Diciembre 2018	Aragón	10	Educación Primaria o inferior	Hombres	5797
Diciembre 2018	Aragón	10	Educación Primaria o inferior	Mujeres	8196
Diciembre 2018	Aragón	20	Primera etapa de educación secundaria	Hombres	14108
Diciembre 2018	Aragón	20	Primera etapa de educación secundaria	Mujeres	17999
Diciembre 2018	Aragón	31	Bachillerato	Hombres	2073
Diciembre 2018	Aragón	31	Bachillerato	Mujeres	2992
Diciembre 2018	Aragón	32	Enseñanza media de formación profesional	Hombres	1766
Diciembre 2018	Aragón	32	Enseñanza media de formación profesional	Mujeres	3093
Diciembre 2018	Aragón	41	Enseñanza superior de formación profesional	Hombres	1431
Diciembre 2018	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2419
Diciembre 2018	Aragón	42	Enseñanza superior universitaria	Hombres	1913
Diciembre 2018	Aragón	42	Enseñanza superior universitaria	Mujeres	4392
Noviembre 2018	Aragón	10	Educación Primaria o inferior	Hombres	5748
Noviembre 2018	Aragón	10	Educación Primaria o inferior	Mujeres	8317
Noviembre 2018	Aragón	20	Primera etapa de educación secundaria	Hombres	13653
Noviembre 2018	Aragón	20	Primera etapa de educación secundaria	Mujeres	18326
Noviembre 2018	Aragón	31	Bachillerato	Hombres	2114
Noviembre 2018	Aragón	31	Bachillerato	Mujeres	3095
Noviembre 2018	Aragón	32	Enseñanza media de formación profesional	Hombres	1695
Noviembre 2018	Aragón	32	Enseñanza media de formación profesional	Mujeres	3328
Noviembre 2018	Aragón	41	Enseñanza superior de formación profesional	Hombres	1356
Noviembre 2018	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2496
Noviembre 2018	Aragón	42	Enseñanza superior universitaria	Hombres	1843
Noviembre 2018	Aragón	42	Enseñanza superior universitaria	Mujeres	4513
Octubre 2018	Aragón	10	Educación Primaria o inferior	Hombres	5723
Octubre 2018	Aragón	10	Educación Primaria o inferior	Mujeres	7881
Octubre 2018	Aragón	20	Primera etapa de educación secundaria	Hombres	13380
Octubre 2018	Aragón	20	Primera etapa de educación secundaria	Mujeres	18152
Octubre 2018	Aragón	31	Bachillerato	Hombres	2081
Octubre 2018	Aragón	31	Bachillerato	Mujeres	3107
Octubre 2018	Aragón	32	Enseñanza media de formación profesional	Hombres	1734
Octubre 2018	Aragón	32	Enseñanza media de formación profesional	Mujeres	3332
Octubre 2018	Aragón	41	Enseñanza superior de formación profesional	Hombres	1407
Octubre 2018	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2571
Octubre 2018	Aragón	42	Enseñanza superior universitaria	Hombres	1887
Octubre 2018	Aragón	42	Enseñanza superior universitaria	Mujeres	4589
Septiembre 2018	Aragón	10	Educación Primaria o inferior	Hombres	5179
Septiembre 2018	Aragón	10	Educación Primaria o inferior	Mujeres	7254
Septiembre 2018	Aragón	20	Primera etapa de educación secundaria	Hombres	13070
Septiembre 2018	Aragón	20	Primera etapa de educación secundaria	Mujeres	17718
Septiembre 2018	Aragón	31	Bachillerato	Hombres	2095
Septiembre 2018	Aragón	31	Bachillerato	Mujeres	3104
Septiembre 2018	Aragón	32	Enseñanza media de formación profesional	Hombres	1640
Septiembre 2018	Aragón	32	Enseñanza media de formación profesional	Mujeres	3096
Septiembre 2018	Aragón	41	Enseñanza superior de formación profesional	Hombres	1358
Septiembre 2018	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2566
Septiembre 2018	Aragón	42	Enseñanza superior universitaria	Hombres	1942
Septiembre 2018	Aragón	42	Enseñanza superior universitaria	Mujeres	4649
Agosto 2018	Aragón	10	Educación Primaria o inferior	Hombres	4856
Agosto 2018	Aragón	10	Educación Primaria o inferior	Mujeres	6834
Agosto 2018	Aragón	20	Primera etapa de educación secundaria	Hombres	12901
Agosto 2018	Aragón	20	Primera etapa de educación secundaria	Mujeres	17356
Agosto 2018	Aragón	31	Bachillerato	Hombres	2015
Agosto 2018	Aragón	31	Bachillerato	Mujeres	3029
Agosto 2018	Aragón	32	Enseñanza media de formación profesional	Hombres	1589
Agosto 2018	Aragón	32	Enseñanza media de formación profesional	Mujeres	2959
Agosto 2018	Aragón	41	Enseñanza superior de formación profesional	Hombres	1298
Agosto 2018	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2530
Agosto 2018	Aragón	42	Enseñanza superior universitaria	Hombres	2052
Agosto 2018	Aragón	42	Enseñanza superior universitaria	Mujeres	5051
Julio 2018	Aragón	10	Educación Primaria o inferior	Hombres	4796
Julio 2018	Aragón	10	Educación Primaria o inferior	Mujeres	6949
Julio 2018	Aragón	20	Primera etapa de educación secundaria	Hombres	12289
Julio 2018	Aragón	20	Primera etapa de educación secundaria	Mujeres	17317
Julio 2018	Aragón	31	Bachillerato	Hombres	1979
Julio 2018	Aragón	31	Bachillerato	Mujeres	2923
Julio 2018	Aragón	32	Enseñanza media de formación profesional	Hombres	1493
Julio 2018	Aragón	32	Enseñanza media de formación profesional	Mujeres	2894
Julio 2018	Aragón	41	Enseñanza superior de formación profesional	Hombres	1189
Julio 2018	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2370
Julio 2018	Aragón	42	Enseñanza superior universitaria	Hombres	1930
Julio 2018	Aragón	42	Enseñanza superior universitaria	Mujeres	4677
Junio 2018	Aragón	10	Educación Primaria o inferior	Hombres	4659
Junio 2018	Aragón	10	Educación Primaria o inferior	Mujeres	7198
Junio 2018	Aragón	20	Primera etapa de educación secundaria	Hombres	12546
Junio 2018	Aragón	20	Primera etapa de educación secundaria	Mujeres	17702
Junio 2018	Aragón	31	Bachillerato	Hombres	1953
Junio 2018	Aragón	31	Bachillerato	Mujeres	2909
Junio 2018	Aragón	32	Enseñanza media de formación profesional	Hombres	1520
Junio 2018	Aragón	32	Enseñanza media de formación profesional	Mujeres	3050
Junio 2018	Aragón	41	Enseñanza superior de formación profesional	Hombres	1169
Junio 2018	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2309
Junio 2018	Aragón	42	Enseñanza superior universitaria	Hombres	1751
Junio 2018	Aragón	42	Enseñanza superior universitaria	Mujeres	4278
Mayo 2018	Aragón	10	Educación Primaria o inferior	Hombres	5163
Mayo 2018	Aragón	10	Educación Primaria o inferior	Mujeres	7623
Mayo 2018	Aragón	20	Primera etapa de educación secundaria	Hombres	13362
Mayo 2018	Aragón	20	Primera etapa de educación secundaria	Mujeres	18228
Mayo 2018	Aragón	31	Bachillerato	Hombres	2091
Mayo 2018	Aragón	31	Bachillerato	Mujeres	3014
Mayo 2018	Aragón	32	Enseñanza media de formación profesional	Hombres	1590
Mayo 2018	Aragón	32	Enseñanza media de formación profesional	Mujeres	3339
Mayo 2018	Aragón	41	Enseñanza superior de formación profesional	Hombres	1249
Mayo 2018	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2400
Mayo 2018	Aragón	42	Enseñanza superior universitaria	Hombres	1811
Mayo 2018	Aragón	42	Enseñanza superior universitaria	Mujeres	4336
Abril 2018	Aragón	10	Educación Primaria o inferior	Hombres	6102
Abril 2018	Aragón	10	Educación Primaria o inferior	Mujeres	8251
Abril 2018	Aragón	20	Primera etapa de educación secundaria	Hombres	14315
Abril 2018	Aragón	20	Primera etapa de educación secundaria	Mujeres	18934
Abril 2018	Aragón	31	Bachillerato	Hombres	2156
Abril 2018	Aragón	31	Bachillerato	Mujeres	3096
Abril 2018	Aragón	32	Enseñanza media de formación profesional	Hombres	1691
Abril 2018	Aragón	32	Enseñanza media de formación profesional	Mujeres	3465
Abril 2018	Aragón	41	Enseñanza superior de formación profesional	Hombres	1331
Abril 2018	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2473
Abril 2018	Aragón	42	Enseñanza superior universitaria	Hombres	1861
Abril 2018	Aragón	42	Enseñanza superior universitaria	Mujeres	4439
Marzo 2018	Aragón	10	Educación Primaria o inferior	Hombres	6407
Marzo 2018	Aragón	10	Educación Primaria o inferior	Mujeres	8432
Marzo 2018	Aragón	20	Primera etapa de educación secundaria	Hombres	14793
Marzo 2018	Aragón	20	Primera etapa de educación secundaria	Mujeres	19174
Marzo 2018	Aragón	31	Bachillerato	Hombres	2192
Marzo 2018	Aragón	31	Bachillerato	Mujeres	3112
Marzo 2018	Aragón	32	Enseñanza media de formación profesional	Hombres	1716
Marzo 2018	Aragón	32	Enseñanza media de formación profesional	Mujeres	3442
Marzo 2018	Aragón	41	Enseñanza superior de formación profesional	Hombres	1360
Marzo 2018	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2516
Marzo 2018	Aragón	42	Enseñanza superior universitaria	Hombres	1916
Marzo 2018	Aragón	42	Enseñanza superior universitaria	Mujeres	4647
Febrero 2018	Aragón	10	Educación Primaria o inferior	Hombres	6247
Febrero 2018	Aragón	10	Educación Primaria o inferior	Mujeres	8447
Febrero 2018	Aragón	20	Primera etapa de educación secundaria	Hombres	14924
Febrero 2018	Aragón	20	Primera etapa de educación secundaria	Mujeres	19344
Febrero 2018	Aragón	31	Bachillerato	Hombres	2228
Febrero 2018	Aragón	31	Bachillerato	Mujeres	3234
Febrero 2018	Aragón	32	Enseñanza media de formación profesional	Hombres	1775
Febrero 2018	Aragón	32	Enseñanza media de formación profesional	Mujeres	3609
Febrero 2018	Aragón	41	Enseñanza superior de formación profesional	Hombres	1372
Febrero 2018	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2539
Febrero 2018	Aragón	42	Enseñanza superior universitaria	Hombres	1920
Febrero 2018	Aragón	42	Enseñanza superior universitaria	Mujeres	4717
Enero 2018	Aragón	10	Educación Primaria o inferior	Hombres	6229
Enero 2018	Aragón	10	Educación Primaria o inferior	Mujeres	8417
Enero 2018	Aragón	20	Primera etapa de educación secundaria	Hombres	15325
Enero 2018	Aragón	20	Primera etapa de educación secundaria	Mujeres	19595
Enero 2018	Aragón	31	Bachillerato	Hombres	2340
Enero 2018	Aragón	31	Bachillerato	Mujeres	3334
Enero 2018	Aragón	32	Enseñanza media de formación profesional	Hombres	1957
Enero 2018	Aragón	32	Enseñanza media de formación profesional	Mujeres	3628
Enero 2018	Aragón	41	Enseñanza superior de formación profesional	Hombres	1506
Enero 2018	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2670
Enero 2018	Aragón	42	Enseñanza superior universitaria	Hombres	2091
Enero 2018	Aragón	42	Enseñanza superior universitaria	Mujeres	4989
Diciembre 2017	Aragón	10	Educación Primaria o inferior	Hombres	6365
Diciembre 2017	Aragón	10	Educación Primaria o inferior	Mujeres	8301
Diciembre 2017	Aragón	20	Primera etapa de educación secundaria	Hombres	15266
Diciembre 2017	Aragón	20	Primera etapa de educación secundaria	Mujeres	19078
Diciembre 2017	Aragón	31	Bachillerato	Hombres	2342
Diciembre 2017	Aragón	31	Bachillerato	Mujeres	3314
Diciembre 2017	Aragón	32	Enseñanza media de formación profesional	Hombres	1927
Diciembre 2017	Aragón	32	Enseñanza media de formación profesional	Mujeres	3324
Diciembre 2017	Aragón	41	Enseñanza superior de formación profesional	Hombres	1471
Diciembre 2017	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2493
Diciembre 2017	Aragón	42	Enseñanza superior universitaria	Hombres	2046
Diciembre 2017	Aragón	42	Enseñanza superior universitaria	Mujeres	4783
Noviembre 2017	Aragón	10	Educación Primaria o inferior	Hombres	6227
Noviembre 2017	Aragón	10	Educación Primaria o inferior	Mujeres	8514
Noviembre 2017	Aragón	20	Primera etapa de educación secundaria	Hombres	14900
Noviembre 2017	Aragón	20	Primera etapa de educación secundaria	Mujeres	19391
Noviembre 2017	Aragón	31	Bachillerato	Hombres	2348
Noviembre 2017	Aragón	31	Bachillerato	Mujeres	3355
Noviembre 2017	Aragón	32	Enseñanza media de formación profesional	Hombres	1788
Noviembre 2017	Aragón	32	Enseñanza media de formación profesional	Mujeres	3548
Noviembre 2017	Aragón	41	Enseñanza superior de formación profesional	Hombres	1446
Noviembre 2017	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2569
Noviembre 2017	Aragón	42	Enseñanza superior universitaria	Hombres	2010
Noviembre 2017	Aragón	42	Enseñanza superior universitaria	Mujeres	4895
Octubre 2017	Aragón	10	Educación Primaria o inferior	Hombres	6543
Octubre 2017	Aragón	10	Educación Primaria o inferior	Mujeres	8190
Octubre 2017	Aragón	20	Primera etapa de educación secundaria	Hombres	15119
Octubre 2017	Aragón	20	Primera etapa de educación secundaria	Mujeres	19279
Octubre 2017	Aragón	31	Bachillerato	Hombres	2395
Octubre 2017	Aragón	31	Bachillerato	Mujeres	3398
Octubre 2017	Aragón	32	Enseñanza media de formación profesional	Hombres	1851
Octubre 2017	Aragón	32	Enseñanza media de formación profesional	Mujeres	3593
Octubre 2017	Aragón	41	Enseñanza superior de formación profesional	Hombres	1465
Octubre 2017	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2687
Octubre 2017	Aragón	42	Enseñanza superior universitaria	Hombres	2039
Octubre 2017	Aragón	42	Enseñanza superior universitaria	Mujeres	5040
Septiembre 2017	Aragón	10	Educación Primaria o inferior	Hombres	5943
Septiembre 2017	Aragón	10	Educación Primaria o inferior	Mujeres	7652
Septiembre 2017	Aragón	20	Primera etapa de educación secundaria	Hombres	14476
Septiembre 2017	Aragón	20	Primera etapa de educación secundaria	Mujeres	19036
Septiembre 2017	Aragón	31	Bachillerato	Hombres	2383
Septiembre 2017	Aragón	31	Bachillerato	Mujeres	3379
Septiembre 2017	Aragón	32	Enseñanza media de formación profesional	Hombres	1777
Septiembre 2017	Aragón	32	Enseñanza media de formación profesional	Mujeres	3365
Septiembre 2017	Aragón	41	Enseñanza superior de formación profesional	Hombres	1389
Septiembre 2017	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2647
Septiembre 2017	Aragón	42	Enseñanza superior universitaria	Hombres	2101
Septiembre 2017	Aragón	42	Enseñanza superior universitaria	Mujeres	5090
Agosto 2017	Aragón	10	Educación Primaria o inferior	Hombres	5614
Agosto 2017	Aragón	10	Educación Primaria o inferior	Mujeres	7178
Agosto 2017	Aragón	20	Primera etapa de educación secundaria	Hombres	14306
Agosto 2017	Aragón	20	Primera etapa de educación secundaria	Mujeres	18668
Agosto 2017	Aragón	31	Bachillerato	Hombres	2309
Agosto 2017	Aragón	31	Bachillerato	Mujeres	3327
Agosto 2017	Aragón	32	Enseñanza media de formación profesional	Hombres	1767
Agosto 2017	Aragón	32	Enseñanza media de formación profesional	Mujeres	3191
Agosto 2017	Aragón	41	Enseñanza superior de formación profesional	Hombres	1325
Agosto 2017	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2584
Agosto 2017	Aragón	42	Enseñanza superior universitaria	Hombres	2225
Agosto 2017	Aragón	42	Enseñanza superior universitaria	Mujeres	5517
Julio 2017	Aragón	10	Educación Primaria o inferior	Hombres	5646
