Mes (código)	Mes y año	Sexo	Nacionalidad	Afiliaciones en alta
201912	Diciembre 2019	Hombres	Extranjeros no comunitarios	23050
201912	Diciembre 2019	Mujeres	Extranjeros no comunitarios	14983
201912	Diciembre 2019	Hombres	Extranjeros comunitarios (UE-28)	3460
201912	Diciembre 2019	Mujeres	Extranjeros comunitarios (UE-28)	2595
201909	Septiembre 2019	Hombres	Españoles	266042
201909	Septiembre 2019	Mujeres	Españoles	229582
201909	Septiembre 2019	Hombres	No consta	41
201909	Septiembre 2019	Mujeres	No consta	33
201909	Septiembre 2019	Hombres	Extranjeros comunitarios (UE-28)	17708
201909	Septiembre 2019	Mujeres	Extranjeros comunitarios (UE-28)	17212
201909	Septiembre 2019	Hombres	Extranjeros comunitarios (UE-28)	6
201909	Septiembre 2019	Mujeres	Extranjeros comunitarios (UE-28)	7
201909	Septiembre 2019	Hombres	Extranjeros no comunitarios	25134
201909	Septiembre 2019	Mujeres	Extranjeros no comunitarios	15367
201909	Septiembre 2019	Hombres	Extranjeros comunitarios (UE-28)	3421
201909	Septiembre 2019	Mujeres	Extranjeros comunitarios (UE-28)	2572
201906	Junio 2019	Hombres	Españoles	272225
201906	Junio 2019	Mujeres	Españoles	229481
201906	Junio 2019	Hombres	No consta	61
201906	Junio 2019	Mujeres	No consta	40
201906	Junio 2019	Hombres	Extranjeros comunitarios (UE-28)	21172
201906	Junio 2019	Mujeres	Extranjeros comunitarios (UE-28)	20116
201906	Junio 2019	Hombres	Extranjeros comunitarios (UE-28)	5
201906	Junio 2019	Mujeres	Extranjeros comunitarios (UE-28)	8
201906	Junio 2019	Hombres	Extranjeros no comunitarios	29550
201906	Junio 2019	Mujeres	Extranjeros no comunitarios	15444
201906	Junio 2019	Hombres	Extranjeros comunitarios (UE-28)	3555
201906	Junio 2019	Mujeres	Extranjeros comunitarios (UE-28)	2727
201903	Marzo 2019	Hombres	Españoles	269036
201903	Marzo 2019	Mujeres	Españoles	230989
201903	Marzo 2019	Hombres	No consta	34
201903	Marzo 2019	Mujeres	No consta	21
201903	Marzo 2019	Hombres	Extranjeros comunitarios (UE-28)	17094
201903	Marzo 2019	Mujeres	Extranjeros comunitarios (UE-28)	15616
201903	Marzo 2019	Hombres	Extranjeros comunitarios (UE-28)	4
201903	Marzo 2019	Mujeres	Extranjeros comunitarios (UE-28)	7
201903	Marzo 2019	Hombres	Extranjeros no comunitarios	22217
201903	Marzo 2019	Mujeres	Extranjeros no comunitarios	13914
201903	Marzo 2019	Hombres	Extranjeros comunitarios (UE-28)	3451
201903	Marzo 2019	Mujeres	Extranjeros comunitarios (UE-28)	2574
201812	Diciembre 2018	Hombres	Españoles	265710
201812	Diciembre 2018	Mujeres	Españoles	230936
201812	Diciembre 2018	Hombres	No consta	30
201812	Diciembre 2018	Mujeres	No consta	28
201812	Diciembre 2018	Hombres	Extranjeros comunitarios (UE-28)	16147
201812	Diciembre 2018	Mujeres	Extranjeros comunitarios (UE-28)	15243
201812	Diciembre 2018	Hombres	Extranjeros comunitarios (UE-28)	3
201812	Diciembre 2018	Mujeres	Extranjeros comunitarios (UE-28)	7
201812	Diciembre 2018	Hombres	Extranjeros no comunitarios	20609
201812	Diciembre 2018	Mujeres	Extranjeros no comunitarios	13599
201812	Diciembre 2018	Hombres	Extranjeros comunitarios (UE-28)	3242
201812	Diciembre 2018	Mujeres	Extranjeros comunitarios (UE-28)	2433
201809	Septiembre 2018	Hombres	Españoles	267710
201809	Septiembre 2018	Mujeres	Españoles	228616
201809	Septiembre 2018	Hombres	No consta	34
201809	Septiembre 2018	Mujeres	No consta	30
201809	Septiembre 2018	Hombres	Extranjeros comunitarios (UE-28)	17466
201809	Septiembre 2018	Mujeres	Extranjeros comunitarios (UE-28)	17093
201809	Septiembre 2018	Hombres	Extranjeros comunitarios (UE-28)	5
201809	Septiembre 2018	Mujeres	Extranjeros comunitarios (UE-28)	7
201809	Septiembre 2018	Hombres	Extranjeros no comunitarios	23046
201809	Septiembre 2018	Mujeres	Extranjeros no comunitarios	14193
201809	Septiembre 2018	Hombres	Extranjeros comunitarios (UE-28)	3254
201809	Septiembre 2018	Mujeres	Extranjeros comunitarios (UE-28)	2448
201806	Junio 2018	Hombres	Españoles	270086
201806	Junio 2018	Mujeres	Españoles	225649
201806	Junio 2018	Hombres	No consta	41
201806	Junio 2018	Mujeres	No consta	31
201806	Junio 2018	Hombres	Extranjeros comunitarios (UE-28)	20575
201806	Junio 2018	Mujeres	Extranjeros comunitarios (UE-28)	20025
201806	Junio 2018	Hombres	Extranjeros comunitarios (UE-28)	6
201806	Junio 2018	Mujeres	Extranjeros comunitarios (UE-28)	7
201806	Junio 2018	Hombres	Extranjeros no comunitarios	26456
201806	Junio 2018	Mujeres	Extranjeros no comunitarios	14232
201806	Junio 2018	Hombres	Extranjeros comunitarios (UE-28)	3406
201806	Junio 2018	Mujeres	Extranjeros comunitarios (UE-28)	2551
201803	Marzo 2018	Hombres	Españoles	264569
201803	Marzo 2018	Mujeres	Españoles	225982
201803	Marzo 2018	Hombres	No consta	33
201803	Marzo 2018	Mujeres	No consta	26
201803	Marzo 2018	Hombres	Extranjeros comunitarios (UE-28)	15782
201803	Marzo 2018	Mujeres	Extranjeros comunitarios (UE-28)	14968
201803	Marzo 2018	Hombres	Extranjeros comunitarios (UE-28)	7
201803	Marzo 2018	Mujeres	Extranjeros comunitarios (UE-28)	5
201803	Marzo 2018	Hombres	Extranjeros no comunitarios	18914
201803	Marzo 2018	Mujeres	Extranjeros no comunitarios	12751
201803	Marzo 2018	Hombres	Extranjeros comunitarios (UE-28)	3240
201803	Marzo 2018	Mujeres	Extranjeros comunitarios (UE-28)	2356
201712	Diciembre 2017	Hombres	Españoles	262029
201712	Diciembre 2017	Mujeres	Españoles	226001
201712	Diciembre 2017	Hombres	No consta	33
201712	Diciembre 2017	Mujeres	No consta	24
201712	Diciembre 2017	Hombres	Extranjeros comunitarios (UE-28)	15133
201712	Diciembre 2017	Mujeres	Extranjeros comunitarios (UE-28)	14804
201712	Diciembre 2017	Hombres	Extranjeros comunitarios (UE-28)	7
201712	Diciembre 2017	Mujeres	Extranjeros comunitarios (UE-28)	6
201712	Diciembre 2017	Hombres	Extranjeros no comunitarios	18246
201712	Diciembre 2017	Mujeres	Extranjeros no comunitarios	12433
201712	Diciembre 2017	Hombres	Extranjeros comunitarios (UE-28)	3118
201712	Diciembre 2017	Mujeres	Extranjeros comunitarios (UE-28)	2261
201709	Septiembre 2017	Hombres	Españoles	264233
201709	Septiembre 2017	Mujeres	Españoles	224064
201709	Septiembre 2017	Hombres	No consta	40
201709	Septiembre 2017	Mujeres	No consta	26
201709	Septiembre 2017	Hombres	Extranjeros comunitarios (UE-28)	16144
201709	Septiembre 2017	Mujeres	Extranjeros comunitarios (UE-28)	16446
201709	Septiembre 2017	Hombres	Extranjeros comunitarios (UE-28)	5
201709	Septiembre 2017	Mujeres	Extranjeros comunitarios (UE-28)	5
201709	Septiembre 2017	Hombres	Extranjeros no comunitarios	20271
201709	Septiembre 2017	Mujeres	Extranjeros no comunitarios	13016
201709	Septiembre 2017	Hombres	Extranjeros comunitarios (UE-28)	3141
201709	Septiembre 2017	Mujeres	Extranjeros comunitarios (UE-28)	2267
201706	Junio 2017	Hombres	Españoles	263206
201706	Junio 2017	Mujeres	Españoles	218481
201706	Junio 2017	Hombres	No consta	37
201706	Junio 2017	Mujeres	No consta	27
201706	Junio 2017	Hombres	Extranjeros comunitarios (UE-28)	18838
201706	Junio 2017	Mujeres	Extranjeros comunitarios (UE-28)	18412
201706	Junio 2017	Hombres	Extranjeros comunitarios (UE-28)	4
201706	Junio 2017	Mujeres	Extranjeros comunitarios (UE-28)	6
201706	Junio 2017	Hombres	Extranjeros no comunitarios	23791
201706	Junio 2017	Mujeres	Extranjeros no comunitarios	12766
201706	Junio 2017	Hombres	Extranjeros comunitarios (UE-28)	3262
201706	Junio 2017	Mujeres	Extranjeros comunitarios (UE-28)	2354
201703	Marzo 2017	Hombres	Españoles	257920
201703	Marzo 2017	Mujeres	Españoles	218824
201703	Marzo 2017	Hombres	No consta	26
201703	Marzo 2017	Mujeres	No consta	17
201703	Marzo 2017	Hombres	Extranjeros comunitarios (UE-28)	14447
201703	Marzo 2017	Mujeres	Extranjeros comunitarios (UE-28)	14368
201703	Marzo 2017	Hombres	Extranjeros comunitarios (UE-28)	5
201703	Marzo 2017	Mujeres	Extranjeros comunitarios (UE-28)	7
201703	Marzo 2017	Hombres	Extranjeros no comunitarios	16639
201703	Marzo 2017	Mujeres	Extranjeros no comunitarios	11685
201703	Marzo 2017	Hombres	Extranjeros comunitarios (UE-28)	3053
201703	Marzo 2017	Mujeres	Extranjeros comunitarios (UE-28)	2161
201612	Diciembre 2016	Hombres	Españoles	254943
201612	Diciembre 2016	Mujeres	Españoles	219141
201612	Diciembre 2016	Hombres	No consta	28
201612	Diciembre 2016	Mujeres	No consta	21
201612	Diciembre 2016	Hombres	Extranjeros comunitarios (UE-28)	13839
201612	Diciembre 2016	Mujeres	Extranjeros comunitarios (UE-28)	14282
201612	Diciembre 2016	Hombres	Extranjeros comunitarios (UE-28)	7
201612	Diciembre 2016	Mujeres	Extranjeros comunitarios (UE-28)	5
201612	Diciembre 2016	Hombres	Extranjeros no comunitarios	16274
201612	Diciembre 2016	Mujeres	Extranjeros no comunitarios	11726
201612	Diciembre 2016	Hombres	Extranjeros comunitarios (UE-28)	2996
201612	Diciembre 2016	Mujeres	Extranjeros comunitarios (UE-28)	2163
201609	Septiembre 2016	Hombres	Españoles	254669
201609	Septiembre 2016	Mujeres	Españoles	214163
201609	Septiembre 2016	Hombres	No consta	23
201609	Septiembre 2016	Mujeres	No consta	27
201609	Septiembre 2016	Hombres	Extranjeros comunitarios (UE-28)	14936
201609	Septiembre 2016	Mujeres	Extranjeros comunitarios (UE-28)	15431
201609	Septiembre 2016	Hombres	Extranjeros comunitarios (UE-28)	5
201609	Septiembre 2016	Mujeres	Extranjeros comunitarios (UE-28)	7
201609	Septiembre 2016	Hombres	Extranjeros no comunitarios	18310
201609	Septiembre 2016	Mujeres	Extranjeros no comunitarios	12210
201609	Septiembre 2016	Hombres	Extranjeros comunitarios (UE-28)	2968
201609	Septiembre 2016	Mujeres	Extranjeros comunitarios (UE-28)	2110
201606	Junio 2016	Hombres	Españoles	256890
201606	Junio 2016	Mujeres	Españoles	211543
201606	Junio 2016	Hombres	No consta	25
201606	Junio 2016	Mujeres	No consta	26
201606	Junio 2016	Hombres	Extranjeros comunitarios (UE-28)	17566
201606	Junio 2016	Mujeres	Extranjeros comunitarios (UE-28)	17814
201606	Junio 2016	Hombres	Extranjeros comunitarios (UE-28)	2
201606	Junio 2016	Mujeres	Extranjeros comunitarios (UE-28)	7
201606	Junio 2016	Hombres	Extranjeros no comunitarios	22140
201606	Junio 2016	Mujeres	Extranjeros no comunitarios	12698
201606	Junio 2016	Hombres	Extranjeros comunitarios (UE-28)	3145
201606	Junio 2016	Mujeres	Extranjeros comunitarios (UE-28)	2315
201603	Marzo 2016	Hombres	Españoles	251823
201603	Marzo 2016	Mujeres	Españoles	213075
201603	Marzo 2016	Hombres	No consta	19
201603	Marzo 2016	Mujeres	No consta	27
201603	Marzo 2016	Hombres	Extranjeros comunitarios (UE-28)	13104
201603	Marzo 2016	Mujeres	Extranjeros comunitarios (UE-28)	13681
201603	Marzo 2016	Hombres	Extranjeros comunitarios (UE-28)	5
201603	Marzo 2016	Mujeres	Extranjeros comunitarios (UE-28)	6
201603	Marzo 2016	Hombres	Extranjeros no comunitarios	15309
201603	Marzo 2016	Mujeres	Extranjeros no comunitarios	11831
201603	Marzo 2016	Hombres	Extranjeros comunitarios (UE-28)	2919
201603	Marzo 2016	Mujeres	Extranjeros comunitarios (UE-28)	2104
201512	Diciembre 2015	Hombres	Españoles	249553
201512	Diciembre 2015	Mujeres	Españoles	213348
201512	Diciembre 2015	Hombres	No consta	22
201512	Diciembre 2015	Mujeres	No consta	24
201512	Diciembre 2015	Hombres	Extranjeros comunitarios (UE-28)	12778
201512	Diciembre 2015	Mujeres	Extranjeros comunitarios (UE-28)	13607
201512	Diciembre 2015	Hombres	Extranjeros comunitarios (UE-28)	6
201512	Diciembre 2015	Mujeres	Extranjeros comunitarios (UE-28)	6
201512	Diciembre 2015	Hombres	Extranjeros no comunitarios	15497
201512	Diciembre 2015	Mujeres	Extranjeros no comunitarios	11896
201512	Diciembre 2015	Hombres	Extranjeros comunitarios (UE-28)	2783
201512	Diciembre 2015	Mujeres	Extranjeros comunitarios (UE-28)	2056
201509	Septiembre 2015	Hombres	Españoles	250573
201509	Septiembre 2015	Mujeres	Españoles	208313
201509	Septiembre 2015	Hombres	No consta	25
201509	Septiembre 2015	Mujeres	No consta	29
201509	Septiembre 2015	Hombres	Extranjeros comunitarios (UE-28)	13749
201509	Septiembre 2015	Mujeres	Extranjeros comunitarios (UE-28)	14790
201509	Septiembre 2015	Hombres	Extranjeros comunitarios (UE-28)	8
201509	Septiembre 2015	Mujeres	Extranjeros comunitarios (UE-28)	5
201509	Septiembre 2015	Hombres	Extranjeros no comunitarios	17171
201509	Septiembre 2015	Mujeres	Extranjeros no comunitarios	12035
201509	Septiembre 2015	Hombres	Extranjeros comunitarios (UE-28)	2824
201509	Septiembre 2015	Mujeres	Extranjeros comunitarios (UE-28)	2044
201506	Junio 2015	Hombres	Españoles	251882
201506	Junio 2015	Mujeres	Españoles	206604
201506	Junio 2015	Hombres	No consta	30
201506	Junio 2015	Mujeres	No consta	33
201506	Junio 2015	Hombres	Extranjeros comunitarios (UE-28)	15966
201506	Junio 2015	Mujeres	Extranjeros comunitarios (UE-28)	17319
201506	Junio 2015	Hombres	Extranjeros comunitarios (UE-28)	5
201506	Junio 2015	Mujeres	Extranjeros comunitarios (UE-28)	6
201506	Junio 2015	Hombres	Extranjeros no comunitarios	20489
201506	Junio 2015	Mujeres	Extranjeros no comunitarios	12212
201506	Junio 2015	Hombres	Extranjeros comunitarios (UE-28)	2917
201506	Junio 2015	Mujeres	Extranjeros comunitarios (UE-28)	2317
201503	Marzo 2015	Hombres	Españoles	247621
201503	Marzo 2015	Mujeres	Españoles	207534
201503	Marzo 2015	Hombres	No consta	22
201503	Marzo 2015	Mujeres	No consta	23
201503	Marzo 2015	Hombres	Extranjeros comunitarios (UE-28)	11534
201503	Marzo 2015	Mujeres	Extranjeros comunitarios (UE-28)	13285
201503	Marzo 2015	Hombres	Extranjeros comunitarios (UE-28)	5
201503	Marzo 2015	Mujeres	Extranjeros comunitarios (UE-28)	4
201503	Marzo 2015	Hombres	Extranjeros no comunitarios	14570
201503	Marzo 2015	Mujeres	Extranjeros no comunitarios	11577
201503	Marzo 2015	Hombres	Extranjeros comunitarios (UE-28)	2715
201503	Marzo 2015	Mujeres	Extranjeros comunitarios (UE-28)	1961
201412	Diciembre 2014	Hombres	Españoles	244188
201412	Diciembre 2014	Mujeres	Españoles	208423
201412	Diciembre 2014	Hombres	No consta	22
201412	Diciembre 2014	Mujeres	No consta	25
201412	Diciembre 2014	Hombres	Extranjeros comunitarios (UE-28)	11289
201412	Diciembre 2014	Mujeres	Extranjeros comunitarios (UE-28)	13428
201412	Diciembre 2014	Hombres	Extranjeros comunitarios (UE-28)	5
201412	Diciembre 2014	Mujeres	Extranjeros comunitarios (UE-28)	4
201412	Diciembre 2014	Hombres	Extranjeros no comunitarios	14320
201412	Diciembre 2014	Mujeres	Extranjeros no comunitarios	11697
201412	Diciembre 2014	Hombres	Extranjeros comunitarios (UE-28)	2667
201412	Diciembre 2014	Mujeres	Extranjeros comunitarios (UE-28)	1981
201409	Septiembre 2014	Hombres	Españoles	244850
201409	Septiembre 2014	Mujeres	Españoles	203777
201409	Septiembre 2014	Hombres	No consta	21
201409	Septiembre 2014	Mujeres	No consta	35
201409	Septiembre 2014	Hombres	Extranjeros comunitarios (UE-28)	12537
201409	Septiembre 2014	Mujeres	Extranjeros comunitarios (UE-28)	14527
201409	Septiembre 2014	Hombres	Extranjeros comunitarios (UE-28)	4
201409	Septiembre 2014	Mujeres	Extranjeros comunitarios (UE-28)	3
201409	Septiembre 2014	Hombres	Extranjeros no comunitarios	15966
201409	Septiembre 2014	Mujeres	Extranjeros no comunitarios	11912
201409	Septiembre 2014	Hombres	Extranjeros comunitarios (UE-28)	2745
201409	Septiembre 2014	Mujeres	Extranjeros comunitarios (UE-28)	1998
201406	Junio 2014	Hombres	Españoles	247025
201406	Junio 2014	Mujeres	Españoles	202748
201406	Junio 2014	Hombres	No consta	20
201406	Junio 2014	Mujeres	No consta	39
201406	Junio 2014	Hombres	Extranjeros comunitarios (UE-28)	15405
201406	Junio 2014	Mujeres	Extranjeros comunitarios (UE-28)	17033
201406	Junio 2014	Hombres	Extranjeros comunitarios (UE-28)	4
201406	Junio 2014	Mujeres	Extranjeros comunitarios (UE-28)	2
201406	Junio 2014	Hombres	Extranjeros no comunitarios	19865
201406	Junio 2014	Mujeres	Extranjeros no comunitarios	12431
201406	Junio 2014	Hombres	Extranjeros comunitarios (UE-28)	2899
201406	Junio 2014	Mujeres	Extranjeros comunitarios (UE-28)	2276
201403	Marzo 2014	Hombres	Españoles	242496
201403	Marzo 2014	Mujeres	Españoles	202715
201403	Marzo 2014	Hombres	No consta	19
201403	Marzo 2014	Mujeres	No consta	30
201403	Marzo 2014	Hombres	Extranjeros comunitarios (UE-28)	10924
201403	Marzo 2014	Mujeres	Extranjeros comunitarios (UE-28)	12923
201403	Marzo 2014	Hombres	Extranjeros comunitarios (UE-28)	4
201403	Marzo 2014	Mujeres	Extranjeros comunitarios (UE-28)	4
201403	Marzo 2014	Hombres	Extranjeros no comunitarios	14127
201403	Marzo 2014	Mujeres	Extranjeros no comunitarios	11983
201403	Marzo 2014	Hombres	Extranjeros comunitarios (UE-28)	2745
201403	Marzo 2014	Mujeres	Extranjeros comunitarios (UE-28)	1947
201312	Diciembre 2013	Hombres	Españoles	241010
201312	Diciembre 2013	Mujeres	Españoles	203258
201312	Diciembre 2013	Hombres	No consta	17
201312	Diciembre 2013	Mujeres	No consta	32
201312	Diciembre 2013	Hombres	Extranjeros comunitarios (UE-28)	10661
201312	Diciembre 2013	Mujeres	Extranjeros comunitarios (UE-28)	12848
201312	Diciembre 2013	Hombres	Extranjeros comunitarios (UE-28)	4
201312	Diciembre 2013	Mujeres	Extranjeros comunitarios (UE-28)	4
201312	Diciembre 2013	Hombres	Extranjeros no comunitarios	14417
201312	Diciembre 2013	Mujeres	Extranjeros no comunitarios	12598
201312	Diciembre 2013	Hombres	Extranjeros comunitarios (UE-28)	2650
201312	Diciembre 2013	Mujeres	Extranjeros comunitarios (UE-28)	1927
201309	Septiembre 2013	Hombres	Españoles	242596
201309	Septiembre 2013	Mujeres	Españoles	199678
201309	Septiembre 2013	Hombres	No consta	15
201309	Septiembre 2013	Mujeres	No consta	51
201309	Septiembre 2013	Hombres	Extranjeros comunitarios (UE-28)	12082
201309	Septiembre 2013	Mujeres	Extranjeros comunitarios (UE-28)	14230
201309	Septiembre 2013	Hombres	Extranjeros comunitarios (UE-28)	4
201309	Septiembre 2013	Mujeres	Extranjeros comunitarios (UE-28)	4
201309	Septiembre 2013	Hombres	Extranjeros no comunitarios	17405
201309	Septiembre 2013	Mujeres	Extranjeros no comunitarios	13173
201309	Septiembre 2013	Hombres	Extranjeros comunitarios (UE-28)	2710
201309	Septiembre 2013	Mujeres	Extranjeros comunitarios (UE-28)	2011
201306	Junio 2013	Hombres	Españoles	245048
201306	Junio 2013	Mujeres	Españoles	199184
201306	Junio 2013	Hombres	No consta	19
201306	Junio 2013	Mujeres	No consta	46
201306	Junio 2013	Hombres	Extranjeros comunitarios (UE-27)	13994
201306	Junio 2013	Mujeres	Extranjeros comunitarios (UE-27)	16286
201306	Junio 2013	Hombres	Extranjeros no comunitarios	3
201306	Junio 2013	Mujeres	Extranjeros no comunitarios	4
201306	Junio 2013	Hombres	Extranjeros no comunitarios	20177
201306	Junio 2013	Mujeres	Extranjeros no comunitarios	13570
201306	Junio 2013	Hombres	Extranjeros comunitarios (UE-27)	2983
201306	Junio 2013	Mujeres	Extranjeros comunitarios (UE-27)	2256
201303	Marzo 2013	Hombres	Españoles	241873
201303	Marzo 2013	Mujeres	Españoles	199945
201303	Marzo 2013	Hombres	No consta	23
201303	Marzo 2013	Mujeres	No consta	41
201303	Marzo 2013	Hombres	Extranjeros comunitarios (UE-27)	10962
201303	Marzo 2013	Mujeres	Extranjeros comunitarios (UE-27)	13056
201303	Marzo 2013	Hombres	Extranjeros no comunitarios	4
201303	Marzo 2013	Mujeres	Extranjeros no comunitarios	4
201303	Marzo 2013	Hombres	Extranjeros no comunitarios	15366
201303	Marzo 2013	Mujeres	Extranjeros no comunitarios	13297
201303	Marzo 2013	Hombres	Extranjeros comunitarios (UE-27)	2822
201303	Marzo 2013	Mujeres	Extranjeros comunitarios (UE-27)	1912
201212	Diciembre 2012	Hombres	Españoles	244819
201212	Diciembre 2012	Mujeres	Españoles	203217
201212	Diciembre 2012	Hombres	No consta	23
201212	Diciembre 2012	Mujeres	No consta	42
201212	Diciembre 2012	Hombres	Extranjeros comunitarios (UE-27)	11361
201212	Diciembre 2012	Mujeres	Extranjeros comunitarios (UE-27)	13359
201212	Diciembre 2012	Hombres	Extranjeros no comunitarios	4
201212	Diciembre 2012	Mujeres	Extranjeros no comunitarios	4
201212	Diciembre 2012	Hombres	Extranjeros no comunitarios	16103
201212	Diciembre 2012	Mujeres	Extranjeros no comunitarios	13680
201212	Diciembre 2012	Hombres	Extranjeros comunitarios (UE-27)	2846
201212	Diciembre 2012	Mujeres	Extranjeros comunitarios (UE-27)	1985
201209	Septiembre 2012	Hombres	Españoles	250447
201209	Septiembre 2012	Mujeres	Españoles	203439
201209	Septiembre 2012	Hombres	No consta	27
201209	Septiembre 2012	Mujeres	No consta	49
201209	Septiembre 2012	Hombres	Extranjeros comunitarios (UE-27)	14024
201209	Septiembre 2012	Mujeres	Extranjeros comunitarios (UE-27)	14770
201209	Septiembre 2012	Hombres	Extranjeros no comunitarios	3
201209	Septiembre 2012	Mujeres	Extranjeros no comunitarios	4
201209	Septiembre 2012	Hombres	Extranjeros no comunitarios	19501
201209	Septiembre 2012	Mujeres	Extranjeros no comunitarios	13987
201209	Septiembre 2012	Hombres	Extranjeros comunitarios (UE-27)	3120
201209	Septiembre 2012	Mujeres	Extranjeros comunitarios (UE-27)	2227
201206	Junio 2012	Hombres	Españoles	253253
201206	Junio 2012	Mujeres	Españoles	201073
201206	Junio 2012	Hombres	No consta	35
201206	Junio 2012	Mujeres	No consta	41
201206	Junio 2012	Hombres	Extranjeros comunitarios (UE-27)	15854
201206	Junio 2012	Mujeres	Extranjeros comunitarios (UE-27)	14710
201206	Junio 2012	Hombres	Extranjeros no comunitarios	5
201206	Junio 2012	Mujeres	Extranjeros no comunitarios	4
201206	Junio 2012	Hombres	Extranjeros no comunitarios	22131
201206	Junio 2012	Mujeres	Extranjeros no comunitarios	13295
201206	Junio 2012	Hombres	Extranjeros comunitarios (UE-27)	3369
201206	Junio 2012	Mujeres	Extranjeros comunitarios (UE-27)	2481
201203	Marzo 2012	Hombres	Españoles	251671
201203	Marzo 2012	Mujeres	Españoles	201973
201203	Marzo 2012	Hombres	No consta	27
201203	Marzo 2012	Mujeres	No consta	30
201203	Marzo 2012	Hombres	Extranjeros comunitarios (UE-27)	12905
201203	Marzo 2012	Mujeres	Extranjeros comunitarios (UE-27)	9909
201203	Marzo 2012	Hombres	Extranjeros no comunitarios	4
201203	Marzo 2012	Mujeres	Extranjeros no comunitarios	3
201203	Marzo 2012	Hombres	Extranjeros no comunitarios	17596
201203	Marzo 2012	Mujeres	Extranjeros no comunitarios	12177
201203	Marzo 2012	Hombres	Extranjeros comunitarios (UE-27)	3252
201203	Marzo 2012	Mujeres	Extranjeros comunitarios (UE-27)	1981
201112	Diciembre 2011	Hombres	Españoles	253037
201112	Diciembre 2011	Mujeres	Españoles	204518
201112	Diciembre 2011	Hombres	No consta	27
201112	Diciembre 2011	Mujeres	No consta	31
201112	Diciembre 2011	Hombres	Extranjeros comunitarios (UE-27)	12256
201112	Diciembre 2011	Mujeres	Extranjeros comunitarios (UE-27)	9694
201112	Diciembre 2011	Hombres	Extranjeros no comunitarios	4
201112	Diciembre 2011	Mujeres	Extranjeros no comunitarios	4
201112	Diciembre 2011	Hombres	Extranjeros no comunitarios	17610
201112	Diciembre 2011	Mujeres	Extranjeros no comunitarios	12092
201112	Diciembre 2011	Hombres	Extranjeros comunitarios (UE-27)	3429
201112	Diciembre 2011	Mujeres	Extranjeros comunitarios (UE-27)	2007
201109	Septiembre 2011	Hombres	Españoles	258326
201109	Septiembre 2011	Mujeres	Españoles	205001
201109	Septiembre 2011	Hombres	No consta	32
201109	Septiembre 2011	Mujeres	No consta	36
201109	Septiembre 2011	Hombres	Extranjeros comunitarios (UE-27)	14008
