Mes y año	Mes (código)	Mes nombre	Año	Sexo	Número de contratos	Grupo de tipo de jornada	CCAA nombre
Marzo 2019	201903	Marzo	2019	Mujeres	155	3 - Fijos Discontinuos	Aragón
Febrero 2019	201902	Febrero	2019	Hombres	17177	1 - Jornada Completa	Aragón
Febrero 2019	201902	Febrero	2019	Mujeres	10288	1 - Jornada Completa	Aragón
Febrero 2019	201902	Febrero	2019	Hombres	4973	2 - Jornada Parcial	Aragón
Febrero 2019	201902	Febrero	2019	Mujeres	8834	2 - Jornada Parcial	Aragón
Febrero 2019	201902	Febrero	2019	Hombres	194	3 - Fijos Discontinuos	Aragón
Febrero 2019	201902	Febrero	2019	Mujeres	114	3 - Fijos Discontinuos	Aragón
Enero 2019	201901	Enero	2019	Hombres	20047	1 - Jornada Completa	Aragón
Enero 2019	201901	Enero	2019	Mujeres	12082	1 - Jornada Completa	Aragón
Enero 2019	201901	Enero	2019	Hombres	5587	2 - Jornada Parcial	Aragón
Enero 2019	201901	Enero	2019	Mujeres	9834	2 - Jornada Parcial	Aragón
Enero 2019	201901	Enero	2019	Hombres	179	3 - Fijos Discontinuos	Aragón
Enero 2019	201901	Enero	2019	Mujeres	122	3 - Fijos Discontinuos	Aragón
Diciembre 2018	201812	Diciembre	2018	Hombres	15486	1 - Jornada Completa	Aragón
Diciembre 2018	201812	Diciembre	2018	Mujeres	10417	1 - Jornada Completa	Aragón
Diciembre 2018	201812	Diciembre	2018	Hombres	5373	2 - Jornada Parcial	Aragón
Diciembre 2018	201812	Diciembre	2018	Mujeres	9865	2 - Jornada Parcial	Aragón
Diciembre 2018	201812	Diciembre	2018	Hombres	226	3 - Fijos Discontinuos	Aragón
Diciembre 2018	201812	Diciembre	2018	Mujeres	157	3 - Fijos Discontinuos	Aragón
Noviembre 2018	201811	Noviembre	2018	Hombres	19423	1 - Jornada Completa	Aragón
Noviembre 2018	201811	Noviembre	2018	Mujeres	12144	1 - Jornada Completa	Aragón
Noviembre 2018	201811	Noviembre	2018	Hombres	5732	2 - Jornada Parcial	Aragón
Noviembre 2018	201811	Noviembre	2018	Mujeres	10424	2 - Jornada Parcial	Aragón
Noviembre 2018	201811	Noviembre	2018	Hombres	250	3 - Fijos Discontinuos	Aragón
Noviembre 2018	201811	Noviembre	2018	Mujeres	226	3 - Fijos Discontinuos	Aragón
Octubre 2018	201810	Octubre	2018	Hombres	24706	1 - Jornada Completa	Aragón
Octubre 2018	201810	Octubre	2018	Mujeres	15573	1 - Jornada Completa	Aragón
Octubre 2018	201810	Octubre	2018	Hombres	8412	2 - Jornada Parcial	Aragón
Octubre 2018	201810	Octubre	2018	Mujeres	13943	2 - Jornada Parcial	Aragón
Octubre 2018	201810	Octubre	2018	Hombres	403	3 - Fijos Discontinuos	Aragón
Octubre 2018	201810	Octubre	2018	Mujeres	457	3 - Fijos Discontinuos	Aragón
Septiembre 2018	201809	Septiembre	2018	Hombres	24539	1 - Jornada Completa	Aragón
Septiembre 2018	201809	Septiembre	2018	Mujeres	14302	1 - Jornada Completa	Aragón
Septiembre 2018	201809	Septiembre	2018	Hombres	7048	2 - Jornada Parcial	Aragón
Septiembre 2018	201809	Septiembre	2018	Mujeres	12478	2 - Jornada Parcial	Aragón
Septiembre 2018	201809	Septiembre	2018	Hombres	306	3 - Fijos Discontinuos	Aragón
Septiembre 2018	201809	Septiembre	2018	Mujeres	422	3 - Fijos Discontinuos	Aragón
Agosto 2018	201808	Agosto	2018	Hombres	23844	1 - Jornada Completa	Aragón
Agosto 2018	201808	Agosto	2018	Mujeres	13910	1 - Jornada Completa	Aragón
Agosto 2018	201808	Agosto	2018	Hombres	5196	2 - Jornada Parcial	Aragón
Agosto 2018	201808	Agosto	2018	Mujeres	8499	2 - Jornada Parcial	Aragón
Agosto 2018	201808	Agosto	2018	Hombres	152	3 - Fijos Discontinuos	Aragón
Agosto 2018	201808	Agosto	2018	Mujeres	126	3 - Fijos Discontinuos	Aragón
Julio 2018	201807	Julio	2018	Hombres	28718	1 - Jornada Completa	Aragón
Julio 2018	201807	Julio	2018	Mujeres	16346	1 - Jornada Completa	Aragón
Julio 2018	201807	Julio	2018	Hombres	7276	2 - Jornada Parcial	Aragón
Julio 2018	201807	Julio	2018	Mujeres	11483	2 - Jornada Parcial	Aragón
Julio 2018	201807	Julio	2018	Hombres	337	3 - Fijos Discontinuos	Aragón
Julio 2018	201807	Julio	2018	Mujeres	243	3 - Fijos Discontinuos	Aragón
Junio 2018	201806	Junio	2018	Hombres	29707	1 - Jornada Completa	Aragón
Junio 2018	201806	Junio	2018	Mujeres	16963	1 - Jornada Completa	Aragón
Junio 2018	201806	Junio	2018	Hombres	7249	2 - Jornada Parcial	Aragón
Junio 2018	201806	Junio	2018	Mujeres	11284	2 - Jornada Parcial	Aragón
Junio 2018	201806	Junio	2018	Hombres	406	3 - Fijos Discontinuos	Aragón
Junio 2018	201806	Junio	2018	Mujeres	416	3 - Fijos Discontinuos	Aragón
Mayo 2018	201805	Mayo	2018	Hombres	29569	1 - Jornada Completa	Aragón
Mayo 2018	201805	Mayo	2018	Mujeres	16349	1 - Jornada Completa	Aragón
Mayo 2018	201805	Mayo	2018	Hombres	6994	2 - Jornada Parcial	Aragón
Mayo 2018	201805	Mayo	2018	Mujeres	11132	2 - Jornada Parcial	Aragón
Mayo 2018	201805	Mayo	2018	Hombres	716	3 - Fijos Discontinuos	Aragón
Mayo 2018	201805	Mayo	2018	Mujeres	383	3 - Fijos Discontinuos	Aragón
Abril 2018	201804	Abril	2018	Hombres	19291	1 - Jornada Completa	Aragón
Abril 2018	201804	Abril	2018	Mujeres	11949	1 - Jornada Completa	Aragón
Abril 2018	201804	Abril	2018	Hombres	5520	2 - Jornada Parcial	Aragón
Abril 2018	201804	Abril	2018	Mujeres	9785	2 - Jornada Parcial	Aragón
Abril 2018	201804	Abril	2018	Hombres	422	3 - Fijos Discontinuos	Aragón
Abril 2018	201804	Abril	2018	Mujeres	213	3 - Fijos Discontinuos	Aragón
Marzo 2018	201803	Marzo	2018	Hombres	17966	1 - Jornada Completa	Aragón
Marzo 2018	201803	Marzo	2018	Mujeres	10970	1 - Jornada Completa	Aragón
Marzo 2018	201803	Marzo	2018	Hombres	5588	2 - Jornada Parcial	Aragón
Marzo 2018	201803	Marzo	2018	Mujeres	9523	2 - Jornada Parcial	Aragón
Marzo 2018	201803	Marzo	2018	Hombres	218	3 - Fijos Discontinuos	Aragón
Marzo 2018	201803	Marzo	2018	Mujeres	165	3 - Fijos Discontinuos	Aragón
Febrero 2018	201802	Febrero	2018	Hombres	17577	1 - Jornada Completa	Aragón
Febrero 2018	201802	Febrero	2018	Mujeres	11122	1 - Jornada Completa	Aragón
Febrero 2018	201802	Febrero	2018	Hombres	5141	2 - Jornada Parcial	Aragón
Febrero 2018	201802	Febrero	2018	Mujeres	8698	2 - Jornada Parcial	Aragón
Febrero 2018	201802	Febrero	2018	Hombres	123	3 - Fijos Discontinuos	Aragón
Febrero 2018	201802	Febrero	2018	Mujeres	80	3 - Fijos Discontinuos	Aragón
Enero 2018	201801	Enero	2018	Hombres	19930	1 - Jornada Completa	Aragón
Enero 2018	201801	Enero	2018	Mujeres	11529	1 - Jornada Completa	Aragón
Enero 2018	201801	Enero	2018	Hombres	5423	2 - Jornada Parcial	Aragón
Enero 2018	201801	Enero	2018	Mujeres	9193	2 - Jornada Parcial	Aragón
Enero 2018	201801	Enero	2018	Hombres	176	3 - Fijos Discontinuos	Aragón
Enero 2018	201801	Enero	2018	Mujeres	120	3 - Fijos Discontinuos	Aragón
Diciembre 2017	201712	Diciembre	2017	Hombres	16566	1 - Jornada Completa	Aragón
Diciembre 2017	201712	Diciembre	2017	Mujeres	10920	1 - Jornada Completa	Aragón
Diciembre 2017	201712	Diciembre	2017	Hombres	5269	2 - Jornada Parcial	Aragón
Diciembre 2017	201712	Diciembre	2017	Mujeres	9095	2 - Jornada Parcial	Aragón
Diciembre 2017	201712	Diciembre	2017	Hombres	257	3 - Fijos Discontinuos	Aragón
Diciembre 2017	201712	Diciembre	2017	Mujeres	136	3 - Fijos Discontinuos	Aragón
Noviembre 2017	201711	Noviembre	2017	Hombres	19784	1 - Jornada Completa	Aragón
Noviembre 2017	201711	Noviembre	2017	Mujeres	12020	1 - Jornada Completa	Aragón
Noviembre 2017	201711	Noviembre	2017	Hombres	5805	2 - Jornada Parcial	Aragón
Noviembre 2017	201711	Noviembre	2017	Mujeres	10404	2 - Jornada Parcial	Aragón
Noviembre 2017	201711	Noviembre	2017	Hombres	334	3 - Fijos Discontinuos	Aragón
Noviembre 2017	201711	Noviembre	2017	Mujeres	169	3 - Fijos Discontinuos	Aragón
Octubre 2017	201710	Octubre	2017	Hombres	23170	1 - Jornada Completa	Aragón
Octubre 2017	201710	Octubre	2017	Mujeres	14246	1 - Jornada Completa	Aragón
Octubre 2017	201710	Octubre	2017	Hombres	7914	2 - Jornada Parcial	Aragón
Octubre 2017	201710	Octubre	2017	Mujeres	12953	2 - Jornada Parcial	Aragón
Octubre 2017	201710	Octubre	2017	Hombres	300	3 - Fijos Discontinuos	Aragón
Octubre 2017	201710	Octubre	2017	Mujeres	324	3 - Fijos Discontinuos	Aragón
Septiembre 2017	201709	Septiembre	2017	Hombres	25275	1 - Jornada Completa	Aragón
Septiembre 2017	201709	Septiembre	2017	Mujeres	15017	1 - Jornada Completa	Aragón
Septiembre 2017	201709	Septiembre	2017	Hombres	7543	2 - Jornada Parcial	Aragón
Septiembre 2017	201709	Septiembre	2017	Mujeres	12422	2 - Jornada Parcial	Aragón
Septiembre 2017	201709	Septiembre	2017	Hombres	247	3 - Fijos Discontinuos	Aragón
Septiembre 2017	201709	Septiembre	2017	Mujeres	325	3 - Fijos Discontinuos	Aragón
Agosto 2017	201708	Agosto	2017	Hombres	24957	1 - Jornada Completa	Aragón
Agosto 2017	201708	Agosto	2017	Mujeres	13468	1 - Jornada Completa	Aragón
Agosto 2017	201708	Agosto	2017	Hombres	5281	2 - Jornada Parcial	Aragón
Agosto 2017	201708	Agosto	2017	Mujeres	7971	2 - Jornada Parcial	Aragón
Agosto 2017	201708	Agosto	2017	Hombres	148	3 - Fijos Discontinuos	Aragón
Agosto 2017	201708	Agosto	2017	Mujeres	85	3 - Fijos Discontinuos	Aragón
Julio 2017	201707	Julio	2017	Hombres	26676	1 - Jornada Completa	Aragón
Julio 2017	201707	Julio	2017	Mujeres	14947	1 - Jornada Completa	Aragón
Julio 2017	201707	Julio	2017	Hombres	6597	2 - Jornada Parcial	Aragón
Julio 2017	201707	Julio	2017	Mujeres	9904	2 - Jornada Parcial	Aragón
Julio 2017	201707	Julio	2017	Hombres	290	3 - Fijos Discontinuos	Aragón
Julio 2017	201707	Julio	2017	Mujeres	157	3 - Fijos Discontinuos	Aragón
Junio 2017	201706	Junio	2017	Hombres	30226	1 - Jornada Completa	Aragón
Junio 2017	201706	Junio	2017	Mujeres	16830	1 - Jornada Completa	Aragón
Junio 2017	201706	Junio	2017	Hombres	7258	2 - Jornada Parcial	Aragón
Junio 2017	201706	Junio	2017	Mujeres	11196	2 - Jornada Parcial	Aragón
Junio 2017	201706	Junio	2017	Hombres	431	3 - Fijos Discontinuos	Aragón
Junio 2017	201706	Junio	2017	Mujeres	263	3 - Fijos Discontinuos	Aragón
Mayo 2017	201705	Mayo	2017	Hombres	31874	1 - Jornada Completa	Aragón
Mayo 2017	201705	Mayo	2017	Mujeres	16984	1 - Jornada Completa	Aragón
Mayo 2017	201705	Mayo	2017	Hombres	7042	2 - Jornada Parcial	Aragón
Mayo 2017	201705	Mayo	2017	Mujeres	11189	2 - Jornada Parcial	Aragón
Mayo 2017	201705	Mayo	2017	Hombres	625	3 - Fijos Discontinuos	Aragón
Mayo 2017	201705	Mayo	2017	Mujeres	409	3 - Fijos Discontinuos	Aragón
Abril 2017	201704	Abril	2017	Hombres	20316	1 - Jornada Completa	Aragón
Abril 2017	201704	Abril	2017	Mujeres	11744	1 - Jornada Completa	Aragón
Abril 2017	201704	Abril	2017	Hombres	5296	2 - Jornada Parcial	Aragón
Abril 2017	201704	Abril	2017	Mujeres	8784	2 - Jornada Parcial	Aragón
Abril 2017	201704	Abril	2017	Hombres	306	3 - Fijos Discontinuos	Aragón
Abril 2017	201704	Abril	2017	Mujeres	147	3 - Fijos Discontinuos	Aragón
Marzo 2017	201703	Marzo	2017	Hombres	18960	1 - Jornada Completa	Aragón
Marzo 2017	201703	Marzo	2017	Mujeres	10812	1 - Jornada Completa	Aragón
Marzo 2017	201703	Marzo	2017	Hombres	5768	2 - Jornada Parcial	Aragón
Marzo 2017	201703	Marzo	2017	Mujeres	9856	2 - Jornada Parcial	Aragón
Marzo 2017	201703	Marzo	2017	Hombres	218	3 - Fijos Discontinuos	Aragón
Marzo 2017	201703	Marzo	2017	Mujeres	173	3 - Fijos Discontinuos	Aragón
Febrero 2017	201702	Febrero	2017	Hombres	16137	1 - Jornada Completa	Aragón
Febrero 2017	201702	Febrero	2017	Mujeres	9093	1 - Jornada Completa	Aragón
Febrero 2017	201702	Febrero	2017	Hombres	4838	2 - Jornada Parcial	Aragón
Febrero 2017	201702	Febrero	2017	Mujeres	8534	2 - Jornada Parcial	Aragón
Febrero 2017	201702	Febrero	2017	Hombres	116	3 - Fijos Discontinuos	Aragón
Febrero 2017	201702	Febrero	2017	Mujeres	98	3 - Fijos Discontinuos	Aragón
Enero 2017	201701	Enero	2017	Hombres	18006	1 - Jornada Completa	Aragón
Enero 2017	201701	Enero	2017	Mujeres	10514	1 - Jornada Completa	Aragón
Enero 2017	201701	Enero	2017	Hombres	4798	2 - Jornada Parcial	Aragón
Enero 2017	201701	Enero	2017	Mujeres	8499	2 - Jornada Parcial	Aragón
Enero 2017	201701	Enero	2017	Hombres	150	3 - Fijos Discontinuos	Aragón
Enero 2017	201701	Enero	2017	Mujeres	98	3 - Fijos Discontinuos	Aragón
Diciembre 2016	201612	Diciembre	2016	Hombres	15593	1 - Jornada Completa	Aragón
Diciembre 2016	201612	Diciembre	2016	Mujeres	10240	1 - Jornada Completa	Aragón
Diciembre 2016	201612	Diciembre	2016	Hombres	5228	2 - Jornada Parcial	Aragón
Diciembre 2016	201612	Diciembre	2016	Mujeres	9359	2 - Jornada Parcial	Aragón
Diciembre 2016	201612	Diciembre	2016	Hombres	186	3 - Fijos Discontinuos	Aragón
Diciembre 2016	201612	Diciembre	2016	Mujeres	129	3 - Fijos Discontinuos	Aragón
Noviembre 2016	201611	Noviembre	2016	Hombres	18184	1 - Jornada Completa	Aragón
Noviembre 2016	201611	Noviembre	2016	Mujeres	10972	1 - Jornada Completa	Aragón
Noviembre 2016	201611	Noviembre	2016	Hombres	6046	2 - Jornada Parcial	Aragón
Noviembre 2016	201611	Noviembre	2016	Mujeres	10879	2 - Jornada Parcial	Aragón
Noviembre 2016	201611	Noviembre	2016	Hombres	188	3 - Fijos Discontinuos	Aragón
Noviembre 2016	201611	Noviembre	2016	Mujeres	129	3 - Fijos Discontinuos	Aragón
Octubre 2016	201610	Octubre	2016	Hombres	19841	1 - Jornada Completa	Aragón
Octubre 2016	201610	Octubre	2016	Mujeres	11913	1 - Jornada Completa	Aragón
Octubre 2016	201610	Octubre	2016	Hombres	7464	2 - Jornada Parcial	Aragón
Octubre 2016	201610	Octubre	2016	Mujeres	11822	2 - Jornada Parcial	Aragón
Octubre 2016	201610	Octubre	2016	Hombres	254	3 - Fijos Discontinuos	Aragón
Octubre 2016	201610	Octubre	2016	Mujeres	194	3 - Fijos Discontinuos	Aragón
Septiembre 2016	201609	Septiembre	2016	Hombres	23659	1 - Jornada Completa	Aragón
Septiembre 2016	201609	Septiembre	2016	Mujeres	12224	1 - Jornada Completa	Aragón
Septiembre 2016	201609	Septiembre	2016	Hombres	7078	2 - Jornada Parcial	Aragón
Septiembre 2016	201609	Septiembre	2016	Mujeres	11892	2 - Jornada Parcial	Aragón
Septiembre 2016	201609	Septiembre	2016	Hombres	231	3 - Fijos Discontinuos	Aragón
Septiembre 2016	201609	Septiembre	2016	Mujeres	293	3 - Fijos Discontinuos	Aragón
Agosto 2016	201608	Agosto	2016	Hombres	22055	1 - Jornada Completa	Aragón
Agosto 2016	201608	Agosto	2016	Mujeres	11789	1 - Jornada Completa	Aragón
Agosto 2016	201608	Agosto	2016	Hombres	5121	2 - Jornada Parcial	Aragón
Agosto 2016	201608	Agosto	2016	Mujeres	7692	2 - Jornada Parcial	Aragón
Agosto 2016	201608	Agosto	2016	Hombres	182	3 - Fijos Discontinuos	Aragón
Agosto 2016	201608	Agosto	2016	Mujeres	68	3 - Fijos Discontinuos	Aragón
Julio 2016	201607	Julio	2016	Hombres	24299	1 - Jornada Completa	Aragón
Julio 2016	201607	Julio	2016	Mujeres	13488	1 - Jornada Completa	Aragón
Julio 2016	201607	Julio	2016	Hombres	6469	2 - Jornada Parcial	Aragón
Julio 2016	201607	Julio	2016	Mujeres	9966	2 - Jornada Parcial	Aragón
Julio 2016	201607	Julio	2016	Hombres	281	3 - Fijos Discontinuos	Aragón
Julio 2016	201607	Julio	2016	Mujeres	102	3 - Fijos Discontinuos	Aragón
Junio 2016	201606	Junio	2016	Hombres	27282	1 - Jornada Completa	Aragón
Junio 2016	201606	Junio	2016	Mujeres	14435	1 - Jornada Completa	Aragón
Junio 2016	201606	Junio	2016	Hombres	7211	2 - Jornada Parcial	Aragón
Junio 2016	201606	Junio	2016	Mujeres	10638	2 - Jornada Parcial	Aragón
Junio 2016	201606	Junio	2016	Hombres	366	3 - Fijos Discontinuos	Aragón
Junio 2016	201606	Junio	2016	Mujeres	283	3 - Fijos Discontinuos	Aragón
Mayo 2016	201605	Mayo	2016	Hombres	25823	1 - Jornada Completa	Aragón
Mayo 2016	201605	Mayo	2016	Mujeres	13649	1 - Jornada Completa	Aragón
Mayo 2016	201605	Mayo	2016	Hombres	6623	2 - Jornada Parcial	Aragón
Mayo 2016	201605	Mayo	2016	Mujeres	10108	2 - Jornada Parcial	Aragón
Mayo 2016	201605	Mayo	2016	Hombres	372	3 - Fijos Discontinuos	Aragón
Mayo 2016	201605	Mayo	2016	Mujeres	268	3 - Fijos Discontinuos	Aragón
Abril 2016	201604	Abril	2016	Hombres	17294	1 - Jornada Completa	Aragón
Abril 2016	201604	Abril	2016	Mujeres	9317	1 - Jornada Completa	Aragón
Abril 2016	201604	Abril	2016	Hombres	5298	2 - Jornada Parcial	Aragón
Abril 2016	201604	Abril	2016	Mujeres	8520	2 - Jornada Parcial	Aragón
Abril 2016	201604	Abril	2016	Hombres	254	3 - Fijos Discontinuos	Aragón
Abril 2016	201604	Abril	2016	Mujeres	142	3 - Fijos Discontinuos	Aragón
Marzo 2016	201603	Marzo	2016	Hombres	15655	1 - Jornada Completa	Aragón
Marzo 2016	201603	Marzo	2016	Mujeres	9954	1 - Jornada Completa	Aragón
Marzo 2016	201603	Marzo	2016	Hombres	5252	2 - Jornada Parcial	Aragón
Marzo 2016	201603	Marzo	2016	Mujeres	8679	2 - Jornada Parcial	Aragón
Marzo 2016	201603	Marzo	2016	Hombres	134	3 - Fijos Discontinuos	Aragón
Marzo 2016	201603	Marzo	2016	Mujeres	93	3 - Fijos Discontinuos	Aragón
Febrero 2016	201602	Febrero	2016	Hombres	14957	1 - Jornada Completa	Aragón
Febrero 2016	201602	Febrero	2016	Mujeres	8466	1 - Jornada Completa	Aragón
Febrero 2016	201602	Febrero	2016	Hombres	4981	2 - Jornada Parcial	Aragón
Febrero 2016	201602	Febrero	2016	Mujeres	8215	2 - Jornada Parcial	Aragón
Febrero 2016	201602	Febrero	2016	Hombres	106	3 - Fijos Discontinuos	Aragón
Febrero 2016	201602	Febrero	2016	Mujeres	87	3 - Fijos Discontinuos	Aragón
Enero 2016	201601	Enero	2016	Hombres	15248	1 - Jornada Completa	Aragón
Enero 2016	201601	Enero	2016	Mujeres	8661	1 - Jornada Completa	Aragón
Enero 2016	201601	Enero	2016	Hombres	4145	2 - Jornada Parcial	Aragón
Enero 2016	201601	Enero	2016	Mujeres	7491	2 - Jornada Parcial	Aragón
Enero 2016	201601	Enero	2016	Hombres	99	3 - Fijos Discontinuos	Aragón
Enero 2016	201601	Enero	2016	Mujeres	55	3 - Fijos Discontinuos	Aragón
Diciembre 2015	201512	Diciembre	2015	Hombres	14047	1 - Jornada Completa	Aragón
Diciembre 2015	201512	Diciembre	2015	Mujeres	9105	1 - Jornada Completa	Aragón
Diciembre 2015	201512	Diciembre	2015	Hombres	4913	2 - Jornada Parcial	Aragón
Diciembre 2015	201512	Diciembre	2015	Mujeres	9101	2 - Jornada Parcial	Aragón
Diciembre 2015	201512	Diciembre	2015	Hombres	125	3 - Fijos Discontinuos	Aragón
Diciembre 2015	201512	Diciembre	2015	Mujeres	72	3 - Fijos Discontinuos	Aragón
Noviembre 2015	201511	Noviembre	2015	Hombres	15371	1 - Jornada Completa	Aragón
Noviembre 2015	201511	Noviembre	2015	Mujeres	8274	1 - Jornada Completa	Aragón
Noviembre 2015	201511	Noviembre	2015	Hombres	5355	2 - Jornada Parcial	Aragón
Noviembre 2015	201511	Noviembre	2015	Mujeres	9084	2 - Jornada Parcial	Aragón
Noviembre 2015	201511	Noviembre	2015	Hombres	158	3 - Fijos Discontinuos	Aragón
Noviembre 2015	201511	Noviembre	2015	Mujeres	78	3 - Fijos Discontinuos	Aragón
Octubre 2015	201510	Octubre	2015	Hombres	18514	1 - Jornada Completa	Aragón
Octubre 2015	201510	Octubre	2015	Mujeres	10530	1 - Jornada Completa	Aragón
Octubre 2015	201510	Octubre	2015	Hombres	6344	2 - Jornada Parcial	Aragón
Octubre 2015	201510	Octubre	2015	Mujeres	10815	2 - Jornada Parcial	Aragón
Octubre 2015	201510	Octubre	2015	Hombres	260	3 - Fijos Discontinuos	Aragón
Octubre 2015	201510	Octubre	2015	Mujeres	295	3 - Fijos Discontinuos	Aragón
Septiembre 2015	201509	Septiembre	2015	Hombres	21261	1 - Jornada Completa	Aragón
Septiembre 2015	201509	Septiembre	2015	Mujeres	10908	1 - Jornada Completa	Aragón
Septiembre 2015	201509	Septiembre	2015	Hombres	6334	2 - Jornada Parcial	Aragón
Septiembre 2015	201509	Septiembre	2015	Mujeres	10712	2 - Jornada Parcial	Aragón
Septiembre 2015	201509	Septiembre	2015	Hombres	127	3 - Fijos Discontinuos	Aragón
Septiembre 2015	201509	Septiembre	2015	Mujeres	325	3 - Fijos Discontinuos	Aragón
Agosto 2015	201508	Agosto	2015	Hombres	19599	1 - Jornada Completa	Aragón
Agosto 2015	201508	Agosto	2015	Mujeres	9463	1 - Jornada Completa	Aragón
Agosto 2015	201508	Agosto	2015	Hombres	4076	2 - Jornada Parcial	Aragón
Agosto 2015	201508	Agosto	2015	Mujeres	6733	2 - Jornada Parcial	Aragón
Agosto 2015	201508	Agosto	2015	Hombres	60	3 - Fijos Discontinuos	Aragón
Agosto 2015	201508	Agosto	2015	Mujeres	29	3 - Fijos Discontinuos	Aragón
Julio 2015	201507	Julio	2015	Hombres	24019	1 - Jornada Completa	Aragón
Julio 2015	201507	Julio	2015	Mujeres	12776	1 - Jornada Completa	Aragón
Julio 2015	201507	Julio	2015	Hombres	6221	2 - Jornada Parcial	Aragón
Julio 2015	201507	Julio	2015	Mujeres	10127	2 - Jornada Parcial	Aragón
Julio 2015	201507	Julio	2015	Hombres	151	3 - Fijos Discontinuos	Aragón
Julio 2015	201507	Julio	2015	Mujeres	108	3 - Fijos Discontinuos	Aragón
Junio 2015	201506	Junio	2015	Hombres	23800	1 - Jornada Completa	Aragón
Junio 2015	201506	Junio	2015	Mujeres	12961	1 - Jornada Completa	Aragón
Junio 2015	201506	Junio	2015	Hombres	6257	2 - Jornada Parcial	Aragón
Junio 2015	201506	Junio	2015	Mujeres	9288	2 - Jornada Parcial	Aragón
Junio 2015	201506	Junio	2015	Hombres	163	3 - Fijos Discontinuos	Aragón
Junio 2015	201506	Junio	2015	Mujeres	152	3 - Fijos Discontinuos	Aragón
Mayo 2015	201505	Mayo	2015	Hombres	23508	1 - Jornada Completa	Aragón
Mayo 2015	201505	Mayo	2015	Mujeres	11976	1 - Jornada Completa	Aragón
Mayo 2015	201505	Mayo	2015	Hombres	5334	2 - Jornada Parcial	Aragón
Mayo 2015	201505	Mayo	2015	Mujeres	8480	2 - Jornada Parcial	Aragón
Mayo 2015	201505	Mayo	2015	Hombres	271	3 - Fijos Discontinuos	Aragón
Mayo 2015	201505	Mayo	2015	Mujeres	184	3 - Fijos Discontinuos	Aragón
Abril 2015	201504	Abril	2015	Hombres	15733	1 - Jornada Completa	Aragón
