Comarca código	Comarca nombre	Sexo	Horas trabajadas	Personas residentes viviendas familiares
11	Bajo Cinca / Baix Cinca	Hombres	01-10	40
11	Bajo Cinca / Baix Cinca	Hombres	11-20	55
11	Bajo Cinca / Baix Cinca	Hombres	21-30	89
11	Bajo Cinca / Baix Cinca	Hombres	31-40	4522
11	Bajo Cinca / Baix Cinca	Hombres	41-50	892
11	Bajo Cinca / Baix Cinca	Hombres	Más de 50	450
11	Bajo Cinca / Baix Cinca	Mujeres	01-10	92
11	Bajo Cinca / Baix Cinca	Mujeres	11-20	268
11	Bajo Cinca / Baix Cinca	Mujeres	21-30	284
11	Bajo Cinca / Baix Cinca	Mujeres	31-40	2047
11	Bajo Cinca / Baix Cinca	Mujeres	41-50	155
11	Bajo Cinca / Baix Cinca	Mujeres	Más de 50	82
12	Tarazona y el Moncayo	Hombres	01-10	25
12	Tarazona y el Moncayo	Hombres	11-20	19
12	Tarazona y el Moncayo	Hombres	21-30	48
12	Tarazona y el Moncayo	Hombres	31-40	2817
12	Tarazona y el Moncayo	Hombres	41-50	289
12	Tarazona y el Moncayo	Hombres	Más de 50	146
12	Tarazona y el Moncayo	Mujeres	01-10	62
12	Tarazona y el Moncayo	Mujeres	11-20	149
12	Tarazona y el Moncayo	Mujeres	21-30	135
12	Tarazona y el Moncayo	Mujeres	31-40	1553
12	Tarazona y el Moncayo	Mujeres	41-50	91
12	Tarazona y el Moncayo	Mujeres	Más de 50	30
13	Campo de Borja	Hombres	01-10	54
13	Campo de Borja	Hombres	11-20	33
13	Campo de Borja	Hombres	21-30	72
13	Campo de Borja	Hombres	31-40	2973
13	Campo de Borja	Hombres	41-50	474
13	Campo de Borja	Hombres	Más de 50	263
13	Campo de Borja	Mujeres	01-10	52
13	Campo de Borja	Mujeres	11-20	152
13	Campo de Borja	Mujeres	21-30	116
13	Campo de Borja	Mujeres	31-40	1233
13	Campo de Borja	Mujeres	41-50	94
13	Campo de Borja	Mujeres	Más de 50	43
14	Aranda	Hombres	01-10	68
14	Aranda	Hombres	11-20	18
14	Aranda	Hombres	21-30	30
14	Aranda	Hombres	31-40	1857
14	Aranda	Hombres	41-50	155
14	Aranda	Hombres	Más de 50	61
14	Aranda	Mujeres	01-10	61
14	Aranda	Mujeres	11-20	103
14	Aranda	Mujeres	21-30	64
14	Aranda	Mujeres	31-40	730
14	Aranda	Mujeres	41-50	32
14	Aranda	Mujeres	Más de 50	20
15	Ribera Alta del Ebro	Hombres	01-10	63
15	Ribera Alta del Ebro	Hombres	11-20	59
15	Ribera Alta del Ebro	Hombres	21-30	69
15	Ribera Alta del Ebro	Hombres	31-40	4959
15	Ribera Alta del Ebro	Hombres	41-50	488
15	Ribera Alta del Ebro	Hombres	Más de 50	324
15	Ribera Alta del Ebro	Mujeres	01-10	104
15	Ribera Alta del Ebro	Mujeres	11-20	327
15	Ribera Alta del Ebro	Mujeres	21-30	216
15	Ribera Alta del Ebro	Mujeres	31-40	2212
15	Ribera Alta del Ebro	Mujeres	41-50	182
15	Ribera Alta del Ebro	Mujeres	Más de 50	77
16	Valdejalón	Hombres	01-10	99
16	Valdejalón	Hombres	11-20	86
16	Valdejalón	Hombres	21-30	99
16	Valdejalón	Hombres	31-40	4772
16	Valdejalón	Hombres	41-50	866
16	Valdejalón	Hombres	Más de 50	357
16	Valdejalón	Mujeres	01-10	98
16	Valdejalón	Mujeres	11-20	304
16	Valdejalón	Mujeres	21-30	227
16	Valdejalón	Mujeres	31-40	1938
16	Valdejalón	Mujeres	41-50	191
16	Valdejalón	Mujeres	Más de 50	74
17	D.C. Zaragoza	Hombres	01-10	3514
17	D.C. Zaragoza	Hombres	11-20	2829
17	D.C. Zaragoza	Hombres	21-30	3732
17	D.C. Zaragoza	Hombres	31-40	129885
17	D.C. Zaragoza	Hombres	41-50	21343
17	D.C. Zaragoza	Hombres	Más de 50	8751
17	D.C. Zaragoza	Mujeres	01-10	3756
17	D.C. Zaragoza	Mujeres	11-20	9713
17	D.C. Zaragoza	Mujeres	21-30	11719
17	D.C. Zaragoza	Mujeres	31-40	74426
17	D.C. Zaragoza	Mujeres	41-50	8631
17	D.C. Zaragoza	Mujeres	Más de 50	2659
18	Ribera Baja del Ebro	Hombres	01-10	16
18	Ribera Baja del Ebro	Hombres	11-20	21
18	Ribera Baja del Ebro	Hombres	21-30	22
18	Ribera Baja del Ebro	Hombres	31-40	1949
18	Ribera Baja del Ebro	Hombres	41-50	263
18	Ribera Baja del Ebro	Hombres	Más de 50	154
18	Ribera Baja del Ebro	Mujeres	01-10	46
18	Ribera Baja del Ebro	Mujeres	11-20	96
18	Ribera Baja del Ebro	Mujeres	21-30	100
18	Ribera Baja del Ebro	Mujeres	31-40	926
18	Ribera Baja del Ebro	Mujeres	41-50	67
18	Ribera Baja del Ebro	Mujeres	Más de 50	27
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	01-10	54
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	11-20	29
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	21-30	42
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	31-40	2330
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	41-50	581
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Más de 50	275
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	01-10	60
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	11-20	171
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	21-30	132
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	31-40	1141
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	41-50	137
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Más de 50	55
20	Comunidad de Calatayud	Hombres	01-10	133
20	Comunidad de Calatayud	Hombres	11-20	95
20	Comunidad de Calatayud	Hombres	21-30	122
20	Comunidad de Calatayud	Hombres	31-40	7261
20	Comunidad de Calatayud	Hombres	41-50	1168
20	Comunidad de Calatayud	Hombres	Más de 50	580
20	Comunidad de Calatayud	Mujeres	01-10	144
20	Comunidad de Calatayud	Mujeres	11-20	406
20	Comunidad de Calatayud	Mujeres	21-30	377
20	Comunidad de Calatayud	Mujeres	31-40	3727
20	Comunidad de Calatayud	Mujeres	41-50	375
20	Comunidad de Calatayud	Mujeres	Más de 50	122
21	Campo de Cariñena	Hombres	01-10	20
21	Campo de Cariñena	Hombres	11-20	23
21	Campo de Cariñena	Hombres	21-30	62
21	Campo de Cariñena	Hombres	31-40	2256
21	Campo de Cariñena	Hombres	41-50	350
21	Campo de Cariñena	Hombres	Más de 50	125
21	Campo de Cariñena	Mujeres	01-10	37
21	Campo de Cariñena	Mujeres	11-20	102
21	Campo de Cariñena	Mujeres	21-30	93
21	Campo de Cariñena	Mujeres	31-40	784
21	Campo de Cariñena	Mujeres	41-50	69
21	Campo de Cariñena	Mujeres	Más de 50	40
22	Campo de Belchite	Hombres	01-10	18
22	Campo de Belchite	Hombres	11-20	13
22	Campo de Belchite	Hombres	21-30	23
22	Campo de Belchite	Hombres	31-40	939
22	Campo de Belchite	Hombres	41-50	187
22	Campo de Belchite	Hombres	Más de 50	171
22	Campo de Belchite	Mujeres	01-10	13
22	Campo de Belchite	Mujeres	11-20	43
22	Campo de Belchite	Mujeres	21-30	38
22	Campo de Belchite	Mujeres	31-40	434
22	Campo de Belchite	Mujeres	41-50	50
22	Campo de Belchite	Mujeres	Más de 50	27
23	Bajo Martín	Hombres	01-10	6
23	Bajo Martín	Hombres	11-20	16
23	Bajo Martín	Hombres	21-30	12
23	Bajo Martín	Hombres	31-40	1242
23	Bajo Martín	Hombres	41-50	190
23	Bajo Martín	Hombres	Más de 50	143
23	Bajo Martín	Mujeres	01-10	16
23	Bajo Martín	Mujeres	11-20	72
23	Bajo Martín	Mujeres	21-30	51
23	Bajo Martín	Mujeres	31-40	581
23	Bajo Martín	Mujeres	41-50	52
23	Bajo Martín	Mujeres	Más de 50	37
24	Campo de Daroca	Hombres	01-10	10
24	Campo de Daroca	Hombres	11-20	17
24	Campo de Daroca	Hombres	21-30	28
24	Campo de Daroca	Hombres	31-40	1143
24	Campo de Daroca	Hombres	41-50	262
24	Campo de Daroca	Hombres	Más de 50	146
24	Campo de Daroca	Mujeres	01-10	18
24	Campo de Daroca	Mujeres	11-20	57
24	Campo de Daroca	Mujeres	21-30	52
24	Campo de Daroca	Mujeres	31-40	485
24	Campo de Daroca	Mujeres	41-50	46
24	Campo de Daroca	Mujeres	Más de 50	13
25	Jiloca	Hombres	01-10	21
25	Jiloca	Hombres	11-20	43
25	Jiloca	Hombres	21-30	62
25	Jiloca	Hombres	31-40	2300
25	Jiloca	Hombres	41-50	453
25	Jiloca	Hombres	Más de 50	399
25	Jiloca	Mujeres	01-10	44
25	Jiloca	Mujeres	11-20	138
25	Jiloca	Mujeres	21-30	147
25	Jiloca	Mujeres	31-40	991
25	Jiloca	Mujeres	41-50	106
25	Jiloca	Mujeres	Más de 50	76
26	Cuencas Mineras	Hombres	01-10	28
26	Cuencas Mineras	Hombres	11-20	17
26	Cuencas Mineras	Hombres	21-30	30
26	Cuencas Mineras	Hombres	31-40	1745
26	Cuencas Mineras	Hombres	41-50	167
26	Cuencas Mineras	Hombres	Más de 50	158
26	Cuencas Mineras	Mujeres	01-10	32
26	Cuencas Mineras	Mujeres	11-20	75
26	Cuencas Mineras	Mujeres	21-30	61
26	Cuencas Mineras	Mujeres	31-40	627
26	Cuencas Mineras	Mujeres	41-50	47
26	Cuencas Mineras	Mujeres	Más de 50	49
27	Andorra-Sierra de Arcos	Hombres	01-10	18
27	Andorra-Sierra de Arcos	Hombres	11-20	23
27	Andorra-Sierra de Arcos	Hombres	21-30	28
27	Andorra-Sierra de Arcos	Hombres	31-40	1785
27	Andorra-Sierra de Arcos	Hombres	41-50	284
27	Andorra-Sierra de Arcos	Hombres	Más de 50	147
27	Andorra-Sierra de Arcos	Mujeres	01-10	19
27	Andorra-Sierra de Arcos	Mujeres	11-20	99
27	Andorra-Sierra de Arcos	Mujeres	21-30	98
27	Andorra-Sierra de Arcos	Mujeres	31-40	674
27	Andorra-Sierra de Arcos	Mujeres	41-50	84
27	Andorra-Sierra de Arcos	Mujeres	Más de 50	38
28	Bajo Aragón	Hombres	01-10	51
28	Bajo Aragón	Hombres	11-20	54
28	Bajo Aragón	Hombres	21-30	104
28	Bajo Aragón	Hombres	31-40	4503
28	Bajo Aragón	Hombres	41-50	1462
28	Bajo Aragón	Hombres	Más de 50	510
28	Bajo Aragón	Mujeres	01-10	101
28	Bajo Aragón	Mujeres	11-20	329
28	Bajo Aragón	Mujeres	21-30	350
28	Bajo Aragón	Mujeres	31-40	2427
28	Bajo Aragón	Mujeres	41-50	348
28	Bajo Aragón	Mujeres	Más de 50	85
29	Comunidad de Teruel	Hombres	01-10	83
29	Comunidad de Teruel	Hombres	11-20	95
29	Comunidad de Teruel	Hombres	21-30	277
29	Comunidad de Teruel	Hombres	31-40	7802
29	Comunidad de Teruel	Hombres	41-50	1550
29	Comunidad de Teruel	Hombres	Más de 50	737
29	Comunidad de Teruel	Mujeres	01-10	172
29	Comunidad de Teruel	Mujeres	11-20	496
29	Comunidad de Teruel	Mujeres	21-30	653
29	Comunidad de Teruel	Mujeres	31-40	4945
29	Comunidad de Teruel	Mujeres	41-50	519
29	Comunidad de Teruel	Mujeres	Más de 50	168
30	Maestrazgo	Hombres	01-10	4
30	Maestrazgo	Hombres	11-20	9
30	Maestrazgo	Hombres	21-30	11
30	Maestrazgo	Hombres	31-40	621
30	Maestrazgo	Hombres	41-50	212
30	Maestrazgo	Hombres	Más de 50	104
30	Maestrazgo	Mujeres	01-10	5
30	Maestrazgo	Mujeres	11-20	42
30	Maestrazgo	Mujeres	21-30	29
30	Maestrazgo	Mujeres	31-40	269
30	Maestrazgo	Mujeres	41-50	36
30	Maestrazgo	Mujeres	Más de 50	26
31	Sierra de Albarracín	Hombres	01-10	12
31	Sierra de Albarracín	Hombres	11-20	9
31	Sierra de Albarracín	Hombres	21-30	19
31	Sierra de Albarracín	Hombres	31-40	873
31	Sierra de Albarracín	Hombres	41-50	174
31	Sierra de Albarracín	Hombres	Más de 50	111
31	Sierra de Albarracín	Mujeres	01-10	10
31	Sierra de Albarracín	Mujeres	11-20	44
31	Sierra de Albarracín	Mujeres	21-30	34
31	Sierra de Albarracín	Mujeres	31-40	402
31	Sierra de Albarracín	Mujeres	41-50	61
31	Sierra de Albarracín	Mujeres	Más de 50	18
32	Gúdar-Javalambre	Hombres	01-10	10
32	Gúdar-Javalambre	Hombres	11-20	23
32	Gúdar-Javalambre	Hombres	21-30	25
32	Gúdar-Javalambre	Hombres	31-40	1478
32	Gúdar-Javalambre	Hombres	41-50	232
32	Gúdar-Javalambre	Hombres	Más de 50	265
32	Gúdar-Javalambre	Mujeres	01-10	30
32	Gúdar-Javalambre	Mujeres	11-20	75
32	Gúdar-Javalambre	Mujeres	21-30	64
32	Gúdar-Javalambre	Mujeres	31-40	594
32	Gúdar-Javalambre	Mujeres	41-50	87
32	Gúdar-Javalambre	Mujeres	Más de 50	87
33	Matarraña / Matarranya	Hombres	01-10	19
33	Matarraña / Matarranya	Hombres	11-20	21
33	Matarraña / Matarranya	Hombres	21-30	31
33	Matarraña / Matarranya	Hombres	31-40	1470
33	Matarraña / Matarranya	Hombres	41-50	418
33	Matarraña / Matarranya	Hombres	Más de 50	215
33	Matarraña / Matarranya	Mujeres	01-10	38
33	Matarraña / Matarranya	Mujeres	11-20	87
33	Matarraña / Matarranya	Mujeres	21-30	81
33	Matarraña / Matarranya	Mujeres	31-40	619
33	Matarraña / Matarranya	Mujeres	41-50	117
33	Matarraña / Matarranya	Mujeres	Más de 50	51
