Municipio código	Municipio nombre	Situación profesional código	Situación profesional	Sexo	Personas residentes viviendas familiares
22009	Albelda	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	36
22009	Albelda	5	Otra situación (Ayuda familiar)	Mujeres	3
22011	Albero Alto	1	Empresario o profesional que emplea personal	Hombres	4
22011	Albero Alto	1	Empresario o profesional que emplea personal	Mujeres	1
22011	Albero Alto	2	Empresario o profesional que no emplea personal	Hombres	16
22011	Albero Alto	2	Empresario o profesional que no emplea personal	Mujeres	3
22011	Albero Alto	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	8
22011	Albero Alto	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	7
22011	Albero Alto	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	1
22011	Albero Alto	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	3
22012	Albero Bajo	1	Empresario o profesional que emplea personal	Hombres	5
22012	Albero Bajo	2	Empresario o profesional que no emplea personal	Hombres	15
22012	Albero Bajo	2	Empresario o profesional que no emplea personal	Mujeres	1
22012	Albero Bajo	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	12
22012	Albero Bajo	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	3
22012	Albero Bajo	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	4
22012	Albero Bajo	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	3
22013	Alberuela de Tubo	1	Empresario o profesional que emplea personal	Hombres	4
22013	Alberuela de Tubo	2	Empresario o profesional que no emplea personal	Hombres	53
22013	Alberuela de Tubo	2	Empresario o profesional que no emplea personal	Mujeres	4
22013	Alberuela de Tubo	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	43
22013	Alberuela de Tubo	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	30
22013	Alberuela de Tubo	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	4
22013	Alberuela de Tubo	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	5
22014	Alcalá de Gurrea	1	Empresario o profesional que emplea personal	Hombres	4
22014	Alcalá de Gurrea	1	Empresario o profesional que emplea personal	Mujeres	2
22014	Alcalá de Gurrea	2	Empresario o profesional que no emplea personal	Hombres	27
22014	Alcalá de Gurrea	2	Empresario o profesional que no emplea personal	Mujeres	3
22014	Alcalá de Gurrea	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	41
22014	Alcalá de Gurrea	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	19
22014	Alcalá de Gurrea	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	3
22014	Alcalá de Gurrea	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	5
22014	Alcalá de Gurrea	5	Otra situación (Ayuda familiar)	Mujeres	1
22015	Alcalá del Obispo	1	Empresario o profesional que emplea personal	Hombres	4
22015	Alcalá del Obispo	2	Empresario o profesional que no emplea personal	Hombres	46
22015	Alcalá del Obispo	2	Empresario o profesional que no emplea personal	Mujeres	9
22015	Alcalá del Obispo	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	40
22015	Alcalá del Obispo	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	19
22015	Alcalá del Obispo	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	7
22015	Alcalá del Obispo	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	7
22016	Alcampell	1	Empresario o profesional que emplea personal	Hombres	16
22016	Alcampell	1	Empresario o profesional que emplea personal	Mujeres	1
22016	Alcampell	2	Empresario o profesional que no emplea personal	Hombres	105
22016	Alcampell	2	Empresario o profesional que no emplea personal	Mujeres	19
22016	Alcampell	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	61
22016	Alcampell	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	39
22016	Alcampell	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	20
22016	Alcampell	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	22
22016	Alcampell	5	Otra situación (Ayuda familiar)	Hombres	1
22016	Alcampell	5	Otra situación (Ayuda familiar)	Mujeres	4
22017	Alcolea de Cinca	1	Empresario o profesional que emplea personal	Hombres	20
22017	Alcolea de Cinca	1	Empresario o profesional que emplea personal	Mujeres	5
22017	Alcolea de Cinca	2	Empresario o profesional que no emplea personal	Hombres	92
22017	Alcolea de Cinca	2	Empresario o profesional que no emplea personal	Mujeres	35
22017	Alcolea de Cinca	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	162
22017	Alcolea de Cinca	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	67
22017	Alcolea de Cinca	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	62
22017	Alcolea de Cinca	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	44
22017	Alcolea de Cinca	5	Otra situación (Ayuda familiar)	Mujeres	1
22017	Alcolea de Cinca	6	Otra situación (Miembro de cooperativas)	Mujeres	1
22018	Alcubierre	1	Empresario o profesional que emplea personal	Hombres	9
22018	Alcubierre	1	Empresario o profesional que emplea personal	Mujeres	1
22018	Alcubierre	2	Empresario o profesional que no emplea personal	Hombres	59
22018	Alcubierre	2	Empresario o profesional que no emplea personal	Mujeres	8
22018	Alcubierre	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	42
22018	Alcubierre	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	25
22018	Alcubierre	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	8
22018	Alcubierre	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	14
22019	Alerre	1	Empresario o profesional que emplea personal	Hombres	10
22019	Alerre	1	Empresario o profesional que emplea personal	Mujeres	4
22019	Alerre	2	Empresario o profesional que no emplea personal	Hombres	10
22019	Alerre	2	Empresario o profesional que no emplea personal	Mujeres	2
22019	Alerre	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	33
22019	Alerre	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	19
22019	Alerre	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	3
22019	Alerre	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	7
22020	Alfántega	1	Empresario o profesional que emplea personal	Hombres	2
22020	Alfántega	1	Empresario o profesional que emplea personal	Mujeres	1
22020	Alfántega	2	Empresario o profesional que no emplea personal	Hombres	9
22020	Alfántega	2	Empresario o profesional que no emplea personal	Mujeres	2
22020	Alfántega	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	19
22020	Alfántega	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	2
22020	Alfántega	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	2
22020	Alfántega	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	1
22021	Almudévar	1	Empresario o profesional que emplea personal	Hombres	46
22021	Almudévar	1	Empresario o profesional que emplea personal	Mujeres	12
22021	Almudévar	2	Empresario o profesional que no emplea personal	Hombres	157
22021	Almudévar	2	Empresario o profesional que no emplea personal	Mujeres	33
22021	Almudévar	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	315
22021	Almudévar	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	166
22021	Almudévar	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	96
22021	Almudévar	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	67
22021	Almudévar	5	Otra situación (Ayuda familiar)	Hombres	2
22021	Almudévar	5	Otra situación (Ayuda familiar)	Mujeres	1
22022	Almunia de San Juan	1	Empresario o profesional que emplea personal	Hombres	8
22022	Almunia de San Juan	1	Empresario o profesional que emplea personal	Mujeres	2
22022	Almunia de San Juan	2	Empresario o profesional que no emplea personal	Hombres	33
22022	Almunia de San Juan	2	Empresario o profesional que no emplea personal	Mujeres	10
22022	Almunia de San Juan	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	97
22022	Almunia de San Juan	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	29
22022	Almunia de San Juan	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	37
22022	Almunia de San Juan	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	19
22022	Almunia de San Juan	6	Otra situación (Miembro de cooperativas)	Mujeres	2
22023	Almuniente	1	Empresario o profesional que emplea personal	Hombres	28
22023	Almuniente	1	Empresario o profesional que emplea personal	Mujeres	7
22023	Almuniente	2	Empresario o profesional que no emplea personal	Hombres	61
22023	Almuniente	2	Empresario o profesional que no emplea personal	Mujeres	5
22023	Almuniente	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	65
22023	Almuniente	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	29
22023	Almuniente	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	26
22023	Almuniente	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	30
22024	Alquézar	1	Empresario o profesional que emplea personal	Hombres	7
22024	Alquézar	1	Empresario o profesional que emplea personal	Mujeres	2
22024	Alquézar	2	Empresario o profesional que no emplea personal	Hombres	35
22024	Alquézar	2	Empresario o profesional que no emplea personal	Mujeres	10
22024	Alquézar	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	24
22024	Alquézar	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	12
22024	Alquézar	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	1
22024	Alquézar	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	4
22024	Alquézar	5	Otra situación (Ayuda familiar)	Hombres	5
22024	Alquézar	5	Otra situación (Ayuda familiar)	Mujeres	6
22025	Altorricón	1	Empresario o profesional que emplea personal	Hombres	53
22025	Altorricón	1	Empresario o profesional que emplea personal	Mujeres	14
22025	Altorricón	2	Empresario o profesional que no emplea personal	Hombres	141
22025	Altorricón	2	Empresario o profesional que no emplea personal	Mujeres	41
22025	Altorricón	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	128
22025	Altorricón	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	96
22025	Altorricón	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	80
22025	Altorricón	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	54
22025	Altorricón	6	Otra situación (Miembro de cooperativas)	Mujeres	2
22027	Angüés	1	Empresario o profesional que emplea personal	Hombres	10
22027	Angüés	1	Empresario o profesional que emplea personal	Mujeres	5
22027	Angüés	2	Empresario o profesional que no emplea personal	Hombres	30
22027	Angüés	2	Empresario o profesional que no emplea personal	Mujeres	4
22027	Angüés	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	48
22027	Angüés	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	29
22027	Angüés	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	18
22027	Angüés	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	14
22028	Ansó	1	Empresario o profesional que emplea personal	Hombres	18
22028	Ansó	1	Empresario o profesional que emplea personal	Mujeres	3
22028	Ansó	2	Empresario o profesional que no emplea personal	Hombres	42
22028	Ansó	2	Empresario o profesional que no emplea personal	Mujeres	13
22028	Ansó	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	62
22028	Ansó	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	33
22028	Ansó	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	17
22028	Ansó	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	21
22028	Ansó	6	Otra situación (Miembro de cooperativas)	Hombres	2
22029	Antillón	1	Empresario o profesional que emplea personal	Hombres	13
22029	Antillón	1	Empresario o profesional que emplea personal	Mujeres	4
22029	Antillón	2	Empresario o profesional que no emplea personal	Hombres	19
22029	Antillón	2	Empresario o profesional que no emplea personal	Mujeres	1
22029	Antillón	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	8
22029	Antillón	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	10
22029	Antillón	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	4
22029	Antillón	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	7
22032	Aragüés del Puerto	2	Empresario o profesional que no emplea personal	Hombres	6
22032	Aragüés del Puerto	2	Empresario o profesional que no emplea personal	Mujeres	3
22032	Aragüés del Puerto	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	15
22032	Aragüés del Puerto	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	7
22032	Aragüés del Puerto	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	12
22032	Aragüés del Puerto	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	2
22032	Aragüés del Puerto	6	Otra situación (Miembro de cooperativas)	Hombres	1
22035	Arén	1	Empresario o profesional que emplea personal	Hombres	11
22035	Arén	2	Empresario o profesional que no emplea personal	Hombres	36
22035	Arén	2	Empresario o profesional que no emplea personal	Mujeres	8
22035	Arén	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	28
22035	Arén	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	21
22035	Arén	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	13
22035	Arén	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	10
22036	Argavieso	1	Empresario o profesional que emplea personal	Hombres	1
22036	Argavieso	2	Empresario o profesional que no emplea personal	Hombres	9
22036	Argavieso	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	15
22036	Argavieso	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	6
22036	Argavieso	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	6
22036	Argavieso	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	4
22037	Arguis	1	Empresario o profesional que emplea personal	Hombres	1
22037	Arguis	2	Empresario o profesional que no emplea personal	Hombres	6
22037	Arguis	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	11
22037	Arguis	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	5
22037	Arguis	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	2
22037	Arguis	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	2
22037	Arguis	5	Otra situación (Ayuda familiar)	Mujeres	1
22039	Ayerbe	1	Empresario o profesional que emplea personal	Hombres	41
22039	Ayerbe	1	Empresario o profesional que emplea personal	Mujeres	13
22039	Ayerbe	2	Empresario o profesional que no emplea personal	Hombres	55
22039	Ayerbe	2	Empresario o profesional que no emplea personal	Mujeres	23
22039	Ayerbe	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	129
22039	Ayerbe	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	73
22039	Ayerbe	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	27
22039	Ayerbe	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	25
22039	Ayerbe	5	Otra situación (Ayuda familiar)	Hombres	1
22039	Ayerbe	6	Otra situación (Miembro de cooperativas)	Hombres	2
22040	Azanuy-Alins	2	Empresario o profesional que no emplea personal	Hombres	25
22040	Azanuy-Alins	2	Empresario o profesional que no emplea personal	Mujeres	5
22040	Azanuy-Alins	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	12
22040	Azanuy-Alins	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	11
22041	Azara	1	Empresario o profesional que emplea personal	Hombres	3
22041	Azara	2	Empresario o profesional que no emplea personal	Hombres	10
22041	Azara	2	Empresario o profesional que no emplea personal	Mujeres	4
22041	Azara	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	33
22041	Azara	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	13
22041	Azara	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	8
22041	Azara	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	13
22042	Azlor	2	Empresario o profesional que no emplea personal	Hombres	8
22042	Azlor	2	Empresario o profesional que no emplea personal	Mujeres	8
22042	Azlor	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	15
22042	Azlor	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	7
22042	Azlor	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	7
22042	Azlor	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	5
22043	Baells	1	Empresario o profesional que emplea personal	Hombres	1
22043	Baells	1	Empresario o profesional que emplea personal	Mujeres	1
22043	Baells	2	Empresario o profesional que no emplea personal	Hombres	23
22043	Baells	2	Empresario o profesional que no emplea personal	Mujeres	3
22043	Baells	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	5
22043	Baells	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	6
22043	Baells	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	4
22043	Baells	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	5
22044	Bailo	1	Empresario o profesional que emplea personal	Hombres	6
22044	Bailo	1	Empresario o profesional que emplea personal	Mujeres	2
22044	Bailo	2	Empresario o profesional que no emplea personal	Hombres	29
22044	Bailo	2	Empresario o profesional que no emplea personal	Mujeres	8
22044	Bailo	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	35
22044	Bailo	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	20
22044	Bailo	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	14
22044	Bailo	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	3
22044	Bailo	6	Otra situación (Miembro de cooperativas)	Hombres	2
22045	Baldellou	1	Empresario o profesional que emplea personal	Hombres	1
22045	Baldellou	2	Empresario o profesional que no emplea personal	Hombres	20
22045	Baldellou	2	Empresario o profesional que no emplea personal	Mujeres	3
22045	Baldellou	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	9
22045	Baldellou	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	4
22045	Baldellou	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	7
22045	Baldellou	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	4
22046	Ballobar	1	Empresario o profesional que emplea personal	Hombres	26
22046	Ballobar	1	Empresario o profesional que emplea personal	Mujeres	4
22046	Ballobar	2	Empresario o profesional que no emplea personal	Hombres	85
22046	Ballobar	2	Empresario o profesional que no emplea personal	Mujeres	29
22046	Ballobar	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	130
22046	Ballobar	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	41
22046	Ballobar	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	22
22046	Ballobar	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	17
22047	Banastás	1	Empresario o profesional que emplea personal	Hombres	7
22047	Banastás	1	Empresario o profesional que emplea personal	Mujeres	2
22047	Banastás	2	Empresario o profesional que no emplea personal	Hombres	8
22047	Banastás	2	Empresario o profesional que no emplea personal	Mujeres	2
22047	Banastás	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	34
22047	Banastás	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	29
22047	Banastás	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	5
22047	Banastás	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	6
22048	Barbastro	1	Empresario o profesional que emplea personal	Hombres	412
22048	Barbastro	1	Empresario o profesional que emplea personal	Mujeres	142
22048	Barbastro	2	Empresario o profesional que no emplea personal	Hombres	416
22048	Barbastro	2	Empresario o profesional que no emplea personal	Mujeres	212
22048	Barbastro	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	2286
22048	Barbastro	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	1321
22048	Barbastro	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	667
22048	Barbastro	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	682
22048	Barbastro	5	Otra situación (Ayuda familiar)	Hombres	3
22048	Barbastro	5	Otra situación (Ayuda familiar)	Mujeres	4
22048	Barbastro	6	Otra situación (Miembro de cooperativas)	Hombres	3
22048	Barbastro	6	Otra situación (Miembro de cooperativas)	Mujeres	18
22049	Barbués	1	Empresario o profesional que emplea personal	Hombres	3
22049	Barbués	2	Empresario o profesional que no emplea personal	Hombres	12
22049	Barbués	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	7
22049	Barbués	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	2
22049	Barbués	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	1
22049	Barbués	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	4
22050	Barbuñales	1	Empresario o profesional que emplea personal	Hombres	6
22050	Barbuñales	1	Empresario o profesional que emplea personal	Mujeres	1
22050	Barbuñales	2	Empresario o profesional que no emplea personal	Hombres	8
22050	Barbuñales	2	Empresario o profesional que no emplea personal	Mujeres	2
22050	Barbuñales	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	9
22050	Barbuñales	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	4
22050	Barbuñales	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	4
22050	Barbuñales	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	4
22051	Bárcabo	1	Empresario o profesional que emplea personal	Hombres	3
22051	Bárcabo	2	Empresario o profesional que no emplea personal	Hombres	14
22051	Bárcabo	2	Empresario o profesional que no emplea personal	Mujeres	3
22051	Bárcabo	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	8
22051	Bárcabo	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	6
