Año	Municipio código	Municipio nombre	Estado de la información	Licencias, total	Licencias, nueva planta, total	Licencias, nueva planta, con demolición	Licencias, nueva planta, sin demolición	Licencias, rehabilitación, total	Licencias, rehabilitación, con demolición	Licencias, rehabilitación, sin demolición	Licencias, rehabilitación locales	Licencias, demolición
2000	22205	San Esteban de Litera	SIN INFORMACIÓN									
2000	22206	Sangarrén	SIN INFORMACIÓN									
2000	22207	San Juan de Plan	SIN INFORMACIÓN									
2000	22208	Santa Cilia	SIN INFORMACIÓN									
2000	22209	Santa Cruz de la Serós	SIN INFORMACIÓN									
2000	22212	Santaliestra y San Quílez	SIN INFORMACIÓN									
2000	22213	Sariñena	COMPLETA	24	21	1	20	1	1	0	2	0
2000	22214	Secastilla	INCOMPLETA	1				1	1			
2000	22215	Seira	SIN INFORMACIÓN									
2000	22217	Sena	COMPLETA	2	2	0	2	0	0	0	0	0
2000	22218	Senés de Alcubierre	COMPLETA	1	1	1	0	0	0	0	0	0
2000	22220	Sesa	SIN INFORMACIÓN									
2000	22221	Sesué	COMPLETA	2	0	0	0	2	1	1	0	0
2000	22222	Siétamo	SIN INFORMACIÓN									
2000	22223	Sopeira	SIN INFORMACIÓN									
2000	22225	Tamarite de Litera	COMPLETA	5	4	0	4	1	1	0	0	0
2000	22226	Tardienta	COMPLETA	3	3	1	2	0	0	0	0	0
2000	22227	Tella-Sin	SIN INFORMACIÓN									
2000	22228	Tierz	SIN INFORMACIÓN									
2000	22229	Tolva	SIN INFORMACIÓN									
2000	22230	Torla-Ordesa	COMPLETA	1	0	0	0	1	1	0	0	0
2000	22232	Torralba de Aragón	SIN INFORMACIÓN									
2000	22233	Torre la Ribera	COMPLETA	1	1	0	1	0	0	0	0	0
2000	22234	Torrente de Cinca	INCOMPLETA	18	12		12	4	3	1	2	
2000	22235	Torres de Alcanadre	SIN INFORMACIÓN									
2000	22236	Torres de Barbués	COMPLETA	1	1	0	1	0	0	0	0	0
2000	22239	Tramaced	SIN INFORMACIÓN									
2000	22242	Valfarta	SIN INFORMACIÓN									
2000	22243	Valle de Bardají	SIN INFORMACIÓN									
2000	22244	Valle de Lierp	SIN INFORMACIÓN									
2000	22245	Velilla de Cinca	SIN INFORMACIÓN									
2000	22246	Beranuy	COMPLETA	1	0	0	0	1	0	1	0	0
2000	22247	Viacamp y Litera	COMPLETA	1	1	0	1	0	0	0	0	0
2000	22248	Vicién	SIN INFORMACIÓN									
2000	22249	Villanova	COMPLETA	5	4	0	4	1	1	0	0	0
2000	22250	Villanúa	COMPLETA	3	3	0	3	0	0	0	0	0
2000	22251	Villanueva de Sigena	COMPLETA	2	2	0	2	0	0	0	0	0
2000	22252	Yebra de Basa	SIN INFORMACIÓN									
2000	22253	Yésero	SIN INFORMACIÓN									
2000	22254	Zaidín	COMPLETA	25	18	0	18	7	7	0	0	0
2000	22901	Valle de Hecho	COMPLETA	9	4	2	2	5	5	0	0	0
2000	22902	Puente la Reina de Jaca	SIN INFORMACIÓN									
2000	22903	San Miguel del Cinca	COMPLETA	7	5	0	5	1	0	1	0	1
2000	22904	Sotonera (La)	COMPLETA	4	3	0	3	1	0	1	0	0
2000	22905	Lupiñén-Ortilla	COMPLETA	2	2	0	2	0	0	0	0	0
2000	22906	Santa María de Dulcis	SIN INFORMACIÓN									
2000	22907	Aínsa-Sobrarbe	COMPLETA	20	9	0	9	11	5	6	0	0
2000	22908	Hoz y Costeán	SIN INFORMACIÓN									
2000	22909	Vencillón	SIN INFORMACIÓN									
2000	44001	Ababuj	INCOMPLETA	2				2	1	1		
2000	44002	Abejuela	SIN INFORMACIÓN									
2000	44003	Aguatón	SIN INFORMACIÓN									
2000	44004	Aguaviva	SIN INFORMACIÓN									
2000	44005	Aguilar del Alfambra	SIN INFORMACIÓN									
2000	44006	Alacón	SIN INFORMACIÓN									
2000	44007	Alba	SIN INFORMACIÓN									
2000	44008	Albalate del Arzobispo	COMPLETA	4	1	0	1	2	2	0	0	1
2000	44009	Albarracín	INCOMPLETA	2	2		2					
2000	44010	Albentosa	COMPLETA	1	1	0	1	0	0	0	0	0
2000	44011	Alcaine	SIN INFORMACIÓN									
2000	44012	Alcalá de la Selva	COMPLETA	30	13	2	11	15	9	6	0	2
2000	44013	Alcañiz	INCOMPLETA	23	17	1	16	3	2	1	2	1
2000	44014	Alcorisa	COMPLETA	31	24	0	24	5	4	1	1	1
2000	44016	Alfambra	SIN INFORMACIÓN									
2000	44017	Aliaga	SIN INFORMACIÓN									
2000	44018	Almohaja	SIN INFORMACIÓN									
2000	44019	Alobras	SIN INFORMACIÓN									
2000	44020	Alpeñés	SIN INFORMACIÓN									
2000	44021	Allepuz	SIN INFORMACIÓN									
2000	44022	Alloza	COMPLETA	5	4	1	3	1	1	0	0	0
2000	44023	Allueva	SIN INFORMACIÓN									
2000	44024	Anadón	SIN INFORMACIÓN									
2000	44025	Andorra	COMPLETA	38	23	2	21	13	12	1	0	2
2000	44026	Arcos de las Salinas	SIN INFORMACIÓN									
2000	44027	Arens de Lledó	SIN INFORMACIÓN									
2000	44028	Argente	SIN INFORMACIÓN									
2000	44029	Ariño	INCOMPLETA	3	1		1	1		1		1
2000	44031	Azaila	SIN INFORMACIÓN									
2000	44032	Bádenas	SIN INFORMACIÓN									
2000	44033	Báguena	COMPLETA	3	1	0	1	2	1	1	0	0
2000	44034	Bañón	SIN INFORMACIÓN									
2000	44035	Barrachina	SIN INFORMACIÓN									
2000	44036	Bea	SIN INFORMACIÓN									
2000	44037	Beceite	COMPLETA	1	0	0	0	1	1	0	0	0
2000	44038	Belmonte de San José	SIN INFORMACIÓN									
2000	44039	Bello	COMPLETA	2	1	1	0	0	0	0	1	0
2000	44040	Berge	COMPLETA	1	1	0	1	0	0	0	0	0
2000	44041	Bezas	COMPLETA	1	0	0	0	1	0	1	0	0
2000	44042	Blancas	SIN INFORMACIÓN									
2000	44043	Blesa	SIN INFORMACIÓN									
2000	44044	Bordón	SIN INFORMACIÓN									
2000	44045	Bronchales	COMPLETA	6	2	0	2	4	1	3	0	0
2000	44046	Bueña	SIN INFORMACIÓN									
2000	44047	Burbáguena	SIN INFORMACIÓN									
2000	44048	Cabra de Mora	COMPLETA	4	2	0	2	2	1	1	0	0
2000	44049	Calaceite	COMPLETA	7	3	0	3	4	2	2	0	0
2000	44050	Calamocha	COMPLETA	21	15	1	14	6	1	5	0	0
2000	44051	Calanda	COMPLETA	16	11	0	11	5	5	0	0	0
2000	44052	Calomarde	SIN INFORMACIÓN									
2000	44053	Camañas	SIN INFORMACIÓN									
2000	44054	Camarena de la Sierra	SIN INFORMACIÓN									
2000	44055	Camarillas	INCOMPLETA	4	2		2	2	1	1		
2000	44056	Caminreal	COMPLETA	3	2	1	1	0	0	0	0	1
2000	44059	Cantavieja	INCOMPLETA	1				1	1			
2000	44060	Cañada de Benatanduz	SIN INFORMACIÓN									
2000	44061	Cañada de Verich (La)	SIN INFORMACIÓN									
2000	44062	Cañada Vellida	SIN INFORMACIÓN									
2000	44063	Cañizar del Olivar	SIN INFORMACIÓN									
2000	44064	Cascante del Río	SIN INFORMACIÓN									
2000	44065	Castejón de Tornos	SIN INFORMACIÓN									
2000	44066	Castel de Cabra	SIN INFORMACIÓN									
2000	44067	Castelnou	INCOMPLETA	1	1		1					
2000	44068	Castelserás	COMPLETA	4	2	0	2	2	2	0	0	0
2000	44070	Castellar (El)	SIN INFORMACIÓN									
2000	44071	Castellote	COMPLETA	4	2	0	2	2	2	0	0	0
2000	44074	Cedrillas	SIN INFORMACIÓN									
2000	44075	Celadas	SIN INFORMACIÓN									
2000	44076	Cella	COMPLETA	11	11	0	11	0	0	0	0	0
2000	44077	Cerollera (La)	SIN INFORMACIÓN									
2000	44080	Codoñera (La)	COMPLETA	3	3	2	1	0	0	0	0	0
2000	44082	Corbalán	SIN INFORMACIÓN									
2000	44084	Cortes de Aragón	SIN INFORMACIÓN									
2000	44085	Cosa	SIN INFORMACIÓN									
2000	44086	Cretas	SIN INFORMACIÓN									
2000	44087	Crivillén	SIN INFORMACIÓN									
2000	44088	Cuba (La)	COMPLETA	1	1	0	1	0	0	0	0	0
2000	44089	Cubla	SIN INFORMACIÓN									
2000	44090	Cucalón	SIN INFORMACIÓN									
2000	44092	Cuervo (El)	SIN INFORMACIÓN									
2000	44093	Cuevas de Almudén	SIN INFORMACIÓN									
2000	44094	Cuevas Labradas	SIN INFORMACIÓN									
2000	44096	Ejulve	INCOMPLETA	4	1		1	3	2	1		
2000	44097	Escorihuela	SIN INFORMACIÓN									
2000	44099	Escucha	SIN INFORMACIÓN									
2000	44100	Estercuel	COMPLETA	5	2	0	2	3	3	0	0	0
2000	44101	Ferreruela de Huerva	SIN INFORMACIÓN									
2000	44102	Fonfría	SIN INFORMACIÓN									
2000	44103	Formiche Alto	COMPLETA	2	0	0	0	2	2	0	0	0
2000	44105	Fórnoles	SIN INFORMACIÓN									
2000	44106	Fortanete	COMPLETA	1	1	0	1	0	0	0	0	0
2000	44107	Foz-Calanda	COMPLETA	2	2	0	2	0	0	0	0	0
2000	44108	Fresneda (La)	COMPLETA	4	3	0	3	1	1	0	0	0
2000	44109	Frías de Albarracín	INCOMPLETA	3	3		3					
2000	44110	Fuenferrada	SIN INFORMACIÓN									
2000	44111	Fuentes Calientes	SIN INFORMACIÓN									
2000	44112	Fuentes Claras	COMPLETA	3	3	0	3	0	0	0	0	0
2000	44113	Fuentes de Rubielos	COMPLETA	6	4	0	4	2	0	2	0	0
2000	44114	Fuentespalda	SIN INFORMACIÓN									
2000	44115	Galve	SIN INFORMACIÓN									
2000	44116	Gargallo	SIN INFORMACIÓN									
2000	44117	Gea de Albarracín	SIN INFORMACIÓN									
2000	44118	Ginebrosa (La)	SIN INFORMACIÓN									
2000	44119	Griegos	SIN INFORMACIÓN									
2000	44120	Guadalaviar	COMPLETA	3	3	0	3	0	0	0	0	0
2000	44121	Gúdar	SIN INFORMACIÓN									
2000	44122	Híjar	COMPLETA	9	3	0	3	5	4	1	0	1
2000	44123	Hinojosa de Jarque	SIN INFORMACIÓN									
2000	44124	Hoz de la Vieja (La)	SIN INFORMACIÓN									
2000	44125	Huesa del Común	SIN INFORMACIÓN									
2000	44126	Iglesuela del Cid (La)	INCOMPLETA	4	3		3	1	1			
2000	44127	Jabaloyas	SIN INFORMACIÓN									
2000	44128	Jarque de la Val	SIN INFORMACIÓN									
2000	44129	Jatiel	SIN INFORMACIÓN									
2000	44130	Jorcas	SIN INFORMACIÓN									
2000	44131	Josa	SIN INFORMACIÓN									
2000	44132	Lagueruela	SIN INFORMACIÓN									
2000	44133	Lanzuela	SIN INFORMACIÓN									
2000	44135	Libros	SIN INFORMACIÓN									
2000	44136	Lidón	SIN INFORMACIÓN									
2000	44137	Linares de Mora	INCOMPLETA	6	2		2	4	4			
2000	44138	Loscos	SIN INFORMACIÓN									
2000	44141	Lledó	SIN INFORMACIÓN									
2000	44142	Maicas	SIN INFORMACIÓN									
2000	44143	Manzanera	COMPLETA	12	8	0	8	3	2	1	0	1
2000	44144	Martín del Río	SIN INFORMACIÓN									
2000	44145	Mas de las Matas	COMPLETA	6	5	0	5	1	1	0	0	0
2000	44146	Mata de los Olmos (La)	COMPLETA	1	1	0	1	0	0	0	0	0
2000	44147	Mazaleón	COMPLETA	2	2	0	2	0	0	0	0	0
2000	44148	Mezquita de Jarque	COMPLETA	3	1	0	1	2	2	0	0	0
2000	44149	Mirambel	SIN INFORMACIÓN									
2000	44150	Miravete de la Sierra	SIN INFORMACIÓN									
2000	44151	Molinos	COMPLETA	2	1	0	1	1	1	0	0	0
2000	44152	Monforte de Moyuela	SIN INFORMACIÓN									
2000	44153	Monreal del Campo	INCOMPLETA	22	15	2	13	7	5	2		
2000	44154	Monroyo	SIN INFORMACIÓN									
2000	44155	Montalbán	COMPLETA	14	9	0	9	5	3	2	0	0
2000	44156	Monteagudo del Castillo	SIN INFORMACIÓN									
2000	44157	Monterde de Albarracín	SIN INFORMACIÓN									
2000	44158	Mora de Rubielos	COMPLETA	23	13	0	13	8	5	3	2	0
2000	44159	Moscardón	COMPLETA	1	1	0	1	0	0	0	0	0
2000	44160	Mosqueruela	INCOMPLETA	12	9		9	3	1	2		
2000	44161	Muniesa	COMPLETA	1	1	1	0	0	0	0	0	0
2000	44163	Noguera de Albarracín	SIN INFORMACIÓN									
2000	44164	Nogueras	SIN INFORMACIÓN									
2000	44165	Nogueruelas	COMPLETA	2	2	0	2	0	0	0	0	0
2000	44167	Obón	SIN INFORMACIÓN									
2000	44168	Odón	COMPLETA	1	0	0	0	1	1	0	0	0
2000	44169	Ojos Negros	COMPLETA	14	6	1	5	8	6	2	0	0
2000	44171	Olba	SIN INFORMACIÓN									
2000	44172	Oliete	INCOMPLETA	2	1		1				1	
2000	44173	Olmos (Los)	SIN INFORMACIÓN									
2000	44174	Orihuela del Tremedal	COMPLETA	7	1	0	1	4	4	0	0	2
2000	44175	Orrios	COMPLETA	1	0	0	0	1	1	0	0	0
2000	44176	Palomar de Arroyos	SIN INFORMACIÓN									
2000	44177	Pancrudo	SIN INFORMACIÓN									
2000	44178	Parras de Castellote (Las)	SIN INFORMACIÓN									
2000	44179	Peñarroya de Tastavins	INCOMPLETA	4	3		3	1	1			
2000	44180	Peracense	INCOMPLETA	1				1	1			
2000	44181	Peralejos	SIN INFORMACIÓN									
2000	44182	Perales del Alfambra	SIN INFORMACIÓN									
2000	44183	Pitarque	SIN INFORMACIÓN									
2000	44184	Plou	SIN INFORMACIÓN									
2000	44185	Pobo (El)	SIN INFORMACIÓN									
2000	44187	Portellada (La)	SIN INFORMACIÓN									
2000	44189	Pozondón	COMPLETA	2	0	0	0	2	2	0	0	0
2000	44190	Pozuel del Campo	INCOMPLETA	3	1		1	2	2			
2000	44191	Puebla de Híjar (La)	COMPLETA	11	5	0	5	6	5	1	0	0
2000	44192	Puebla de Valverde (La)	COMPLETA	11	5	1	4	6	3	3	0	0
2000	44193	Puertomingalvo	COMPLETA	2	1	0	1	1	0	1	0	0
2000	44194	Ráfales	SIN INFORMACIÓN									
2000	44195	Rillo	SIN INFORMACIÓN									
2000	44196	Riodeva	SIN INFORMACIÓN									
2000	44197	Ródenas	SIN INFORMACIÓN									
2000	44198	Royuela	SIN INFORMACIÓN									
2000	44199	Rubiales	SIN INFORMACIÓN									
2000	44200	Rubielos de la Cérida	SIN INFORMACIÓN									
2000	44201	Rubielos de Mora	COMPLETA	16	10	0	10	5	1	4	0	1
2000	44203	Salcedillo	SIN INFORMACIÓN									
2000	44204	Saldón	SIN INFORMACIÓN									
2000	44205	Samper de Calanda	COMPLETA	4	2	0	2	2	2	0	0	0
2000	44206	San Agustín	SIN INFORMACIÓN									
2000	44207	San Martín del Río	SIN INFORMACIÓN									
2000	44208	Santa Cruz de Nogueras	COMPLETA	1	0	0	0	1	0	1	0	0
2000	44209	Santa Eulalia	COMPLETA	7	7	0	7	0	0	0	0	0
2000	44210	Sarrión	COMPLETA	7	5	0	5	2	1	1	0	0
2000	44211	Segura de los Baños	SIN INFORMACIÓN									
2000	44212	Seno	SIN INFORMACIÓN									
2000	44213	Singra	SIN INFORMACIÓN									
2000	44215	Terriente	SIN INFORMACIÓN									
2000	44216	Teruel	COMPLETA	28	10	0	10	16	9	7	2	0
2000	44217	Toril y Masegoso	SIN INFORMACIÓN									
2000	44218	Tormón	SIN INFORMACIÓN									
2000	44219	Tornos	SIN INFORMACIÓN									
2000	44220	Torralba de los Sisones	SIN INFORMACIÓN									
2000	44221	Torrecilla de Alcañiz	COMPLETA	1	0	0	0	1	1	0	0	0
2000	44222	Torrecilla del Rebollar	SIN INFORMACIÓN									
2000	44223	Torre de Arcas	SIN INFORMACIÓN									
2000	44224	Torre de las Arcas	SIN INFORMACIÓN									
2000	44225	Torre del Compte	COMPLETA	2	1	0	1	1	0	1	0	0
2000	44226	Torrelacárcel	SIN INFORMACIÓN									
2000	44227	Torre los Negros	SIN INFORMACIÓN									
2000	44228	Torremocha de Jiloca	SIN INFORMACIÓN									
2000	44229	Torres de Albarracín	SIN INFORMACIÓN									
2000	44230	Torrevelilla	SIN INFORMACIÓN									
2000	44231	Torrijas	SIN INFORMACIÓN									
2000	44232	Torrijo del Campo	SIN INFORMACIÓN									
2000	44234	Tramacastiel	SIN INFORMACIÓN									
2000	44235	Tramacastilla	SIN INFORMACIÓN									
2000	44236	Tronchón	COMPLETA	2	0	0	0	2	2	0	0	0
2000	44237	Urrea de Gaén	COMPLETA	8	6	0	6	2	1	1	0	0
2000	44238	Utrillas	COMPLETA	9	5	0	5	4	1	3	0	0
2000	44239	Valacloche	SIN INFORMACIÓN									
2000	44240	Valbona	COMPLETA	4	3	1	2	1	0	1	0	0
2000	44241	Valdealgorfa	COMPLETA	5	2	0	2	3	3	0	0	0
2000	44243	Valdecuenca	SIN INFORMACIÓN									
2000	44244	Valdelinares	COMPLETA	3	0	0	0	3	3	0	0	0
2000	44245	Valdeltormo	COMPLETA	6	3	0	3	3	1	2	0	0
2000	44246	Valderrobres	COMPLETA	16	14	0	14	1	0	1	1	0
2000	44247	Valjunquera	SIN INFORMACIÓN									
2000	44249	Vallecillo (El)	SIN INFORMACIÓN									
2000	44250	Veguillas de la Sierra	SIN INFORMACIÓN									
2000	44251	Villafranca del Campo	INCOMPLETA	1	1		1					
2000	44252	Villahermosa del Campo	SIN INFORMACIÓN									
2000	44256	Villanueva del Rebollar de la Sierra	SIN INFORMACIÓN									
2000	44257	Villar del Cobo	INCOMPLETA	2				2	2			
2000	44258	Villar del Salz	SIN INFORMACIÓN									
2000	44260	Villarluengo	SIN INFORMACIÓN									
