Mes (código)	Mes y año	Comarca código	Comarca nombre	Sexo	Nº parados	Grupos 1 duración demanda código	Grupos 1 duración demanda descripción
201709	Septiembre 2017	09	La Litera / La Llitera	Hombres	22	2	De 3 a 6 meses
201709	Septiembre 2017	09	La Litera / La Llitera	Hombres	29	3	De 6 a 12 meses
201709	Septiembre 2017	09	La Litera / La Llitera	Hombres	25	4	De 1 a 2 años
201709	Septiembre 2017	09	La Litera / La Llitera	Hombres	9	5	De 2 a 3 años
201709	Septiembre 2017	09	La Litera / La Llitera	Hombres	44	6	Más de 3 años
201709	Septiembre 2017	09	La Litera / La Llitera	Mujeres	135	1	Hasta 3 meses
201709	Septiembre 2017	09	La Litera / La Llitera	Mujeres	33	2	De 3 a 6 meses
201709	Septiembre 2017	09	La Litera / La Llitera	Mujeres	58	3	De 6 a 12 meses
201709	Septiembre 2017	09	La Litera / La Llitera	Mujeres	45	4	De 1 a 2 años
201709	Septiembre 2017	09	La Litera / La Llitera	Mujeres	25	5	De 2 a 3 años
201709	Septiembre 2017	09	La Litera / La Llitera	Mujeres	54	6	Más de 3 años
201709	Septiembre 2017	10	Los Monegros	Hombres	93	1	Hasta 3 meses
201709	Septiembre 2017	10	Los Monegros	Hombres	28	2	De 3 a 6 meses
201709	Septiembre 2017	10	Los Monegros	Hombres	26	3	De 6 a 12 meses
201709	Septiembre 2017	10	Los Monegros	Hombres	34	4	De 1 a 2 años
201709	Septiembre 2017	10	Los Monegros	Hombres	23	5	De 2 a 3 años
201709	Septiembre 2017	10	Los Monegros	Hombres	30	6	Más de 3 años
201709	Septiembre 2017	10	Los Monegros	Mujeres	101	1	Hasta 3 meses
201709	Septiembre 2017	10	Los Monegros	Mujeres	40	2	De 3 a 6 meses
201709	Septiembre 2017	10	Los Monegros	Mujeres	49	3	De 6 a 12 meses
201709	Septiembre 2017	10	Los Monegros	Mujeres	41	4	De 1 a 2 años
201709	Septiembre 2017	10	Los Monegros	Mujeres	26	5	De 2 a 3 años
201709	Septiembre 2017	10	Los Monegros	Mujeres	49	6	Más de 3 años
201709	Septiembre 2017	11	Bajo Cinca / Baix Cinca	Hombres	318	1	Hasta 3 meses
201709	Septiembre 2017	11	Bajo Cinca / Baix Cinca	Hombres	24	2	De 3 a 6 meses
201709	Septiembre 2017	11	Bajo Cinca / Baix Cinca	Hombres	38	3	De 6 a 12 meses
201709	Septiembre 2017	11	Bajo Cinca / Baix Cinca	Hombres	38	4	De 1 a 2 años
201709	Septiembre 2017	11	Bajo Cinca / Baix Cinca	Hombres	13	5	De 2 a 3 años
201709	Septiembre 2017	11	Bajo Cinca / Baix Cinca	Hombres	43	6	Más de 3 años
201709	Septiembre 2017	11	Bajo Cinca / Baix Cinca	Mujeres	303	1	Hasta 3 meses
201709	Septiembre 2017	11	Bajo Cinca / Baix Cinca	Mujeres	47	2	De 3 a 6 meses
201709	Septiembre 2017	11	Bajo Cinca / Baix Cinca	Mujeres	65	3	De 6 a 12 meses
201709	Septiembre 2017	11	Bajo Cinca / Baix Cinca	Mujeres	59	4	De 1 a 2 años
201709	Septiembre 2017	11	Bajo Cinca / Baix Cinca	Mujeres	29	5	De 2 a 3 años
201709	Septiembre 2017	11	Bajo Cinca / Baix Cinca	Mujeres	80	6	Más de 3 años
201709	Septiembre 2017	12	Tarazona y el Moncayo	Hombres	117	1	Hasta 3 meses
201709	Septiembre 2017	12	Tarazona y el Moncayo	Hombres	34	2	De 3 a 6 meses
201709	Septiembre 2017	12	Tarazona y el Moncayo	Hombres	32	3	De 6 a 12 meses
201709	Septiembre 2017	12	Tarazona y el Moncayo	Hombres	35	4	De 1 a 2 años
201709	Septiembre 2017	12	Tarazona y el Moncayo	Hombres	12	5	De 2 a 3 años
201709	Septiembre 2017	12	Tarazona y el Moncayo	Hombres	44	6	Más de 3 años
201709	Septiembre 2017	12	Tarazona y el Moncayo	Mujeres	149	1	Hasta 3 meses
201709	Septiembre 2017	12	Tarazona y el Moncayo	Mujeres	41	2	De 3 a 6 meses
201709	Septiembre 2017	12	Tarazona y el Moncayo	Mujeres	49	3	De 6 a 12 meses
201709	Septiembre 2017	12	Tarazona y el Moncayo	Mujeres	82	4	De 1 a 2 años
201709	Septiembre 2017	12	Tarazona y el Moncayo	Mujeres	39	5	De 2 a 3 años
201709	Septiembre 2017	12	Tarazona y el Moncayo	Mujeres	146	6	Más de 3 años
201709	Septiembre 2017	13	Campo de Borja	Hombres	77	1	Hasta 3 meses
201709	Septiembre 2017	13	Campo de Borja	Hombres	35	2	De 3 a 6 meses
201709	Septiembre 2017	13	Campo de Borja	Hombres	41	3	De 6 a 12 meses
201709	Septiembre 2017	13	Campo de Borja	Hombres	17	4	De 1 a 2 años
201709	Septiembre 2017	13	Campo de Borja	Hombres	17	5	De 2 a 3 años
201709	Septiembre 2017	13	Campo de Borja	Hombres	50	6	Más de 3 años
201709	Septiembre 2017	13	Campo de Borja	Mujeres	101	1	Hasta 3 meses
201709	Septiembre 2017	13	Campo de Borja	Mujeres	34	2	De 3 a 6 meses
201709	Septiembre 2017	13	Campo de Borja	Mujeres	45	3	De 6 a 12 meses
201709	Septiembre 2017	13	Campo de Borja	Mujeres	56	4	De 1 a 2 años
201709	Septiembre 2017	13	Campo de Borja	Mujeres	27	5	De 2 a 3 años
201709	Septiembre 2017	13	Campo de Borja	Mujeres	63	6	Más de 3 años
201709	Septiembre 2017	14	Aranda	Hombres	72	1	Hasta 3 meses
201709	Septiembre 2017	14	Aranda	Hombres	12	2	De 3 a 6 meses
201709	Septiembre 2017	14	Aranda	Hombres	17	3	De 6 a 12 meses
201709	Septiembre 2017	14	Aranda	Hombres	13	4	De 1 a 2 años
201709	Septiembre 2017	14	Aranda	Hombres	13	5	De 2 a 3 años
201709	Septiembre 2017	14	Aranda	Hombres	20	6	Más de 3 años
201709	Septiembre 2017	14	Aranda	Mujeres	69	1	Hasta 3 meses
201709	Septiembre 2017	14	Aranda	Mujeres	11	2	De 3 a 6 meses
201709	Septiembre 2017	14	Aranda	Mujeres	36	3	De 6 a 12 meses
201709	Septiembre 2017	14	Aranda	Mujeres	50	4	De 1 a 2 años
201709	Septiembre 2017	14	Aranda	Mujeres	21	5	De 2 a 3 años
201709	Septiembre 2017	14	Aranda	Mujeres	58	6	Más de 3 años
201709	Septiembre 2017	15	Ribera Alta del Ebro	Hombres	207	1	Hasta 3 meses
201709	Septiembre 2017	15	Ribera Alta del Ebro	Hombres	51	2	De 3 a 6 meses
201709	Septiembre 2017	15	Ribera Alta del Ebro	Hombres	53	3	De 6 a 12 meses
201709	Septiembre 2017	15	Ribera Alta del Ebro	Hombres	52	4	De 1 a 2 años
201709	Septiembre 2017	15	Ribera Alta del Ebro	Hombres	29	5	De 2 a 3 años
201709	Septiembre 2017	15	Ribera Alta del Ebro	Hombres	78	6	Más de 3 años
201709	Septiembre 2017	15	Ribera Alta del Ebro	Mujeres	240	1	Hasta 3 meses
201709	Septiembre 2017	15	Ribera Alta del Ebro	Mujeres	108	2	De 3 a 6 meses
201709	Septiembre 2017	15	Ribera Alta del Ebro	Mujeres	104	3	De 6 a 12 meses
201709	Septiembre 2017	15	Ribera Alta del Ebro	Mujeres	112	4	De 1 a 2 años
201709	Septiembre 2017	15	Ribera Alta del Ebro	Mujeres	61	5	De 2 a 3 años
201709	Septiembre 2017	15	Ribera Alta del Ebro	Mujeres	189	6	Más de 3 años
201709	Septiembre 2017	16	Valdejalón	Hombres	366	1	Hasta 3 meses
201709	Septiembre 2017	16	Valdejalón	Hombres	77	2	De 3 a 6 meses
201709	Septiembre 2017	16	Valdejalón	Hombres	66	3	De 6 a 12 meses
201709	Septiembre 2017	16	Valdejalón	Hombres	78	4	De 1 a 2 años
201709	Septiembre 2017	16	Valdejalón	Hombres	33	5	De 2 a 3 años
201709	Septiembre 2017	16	Valdejalón	Hombres	96	6	Más de 3 años
201709	Septiembre 2017	16	Valdejalón	Mujeres	398	1	Hasta 3 meses
201709	Septiembre 2017	16	Valdejalón	Mujeres	86	2	De 3 a 6 meses
201709	Septiembre 2017	16	Valdejalón	Mujeres	145	3	De 6 a 12 meses
201709	Septiembre 2017	16	Valdejalón	Mujeres	131	4	De 1 a 2 años
201709	Septiembre 2017	16	Valdejalón	Mujeres	66	5	De 2 a 3 años
201709	Septiembre 2017	16	Valdejalón	Mujeres	193	6	Más de 3 años
201709	Septiembre 2017	17	D.C. Zaragoza	Hombres	7119	1	Hasta 3 meses
201709	Septiembre 2017	17	D.C. Zaragoza	Hombres	1879	2	De 3 a 6 meses
201709	Septiembre 2017	17	D.C. Zaragoza	Hombres	2153	3	De 6 a 12 meses
201709	Septiembre 2017	17	D.C. Zaragoza	Hombres	2049	4	De 1 a 2 años
201709	Septiembre 2017	17	D.C. Zaragoza	Hombres	945	5	De 2 a 3 años
201709	Septiembre 2017	17	D.C. Zaragoza	Hombres	3165	6	Más de 3 años
201709	Septiembre 2017	17	D.C. Zaragoza	Mujeres	8337	1	Hasta 3 meses
201709	Septiembre 2017	17	D.C. Zaragoza	Mujeres	2762	2	De 3 a 6 meses
201709	Septiembre 2017	17	D.C. Zaragoza	Mujeres	3615	3	De 6 a 12 meses
201709	Septiembre 2017	17	D.C. Zaragoza	Mujeres	3537	4	De 1 a 2 años
201709	Septiembre 2017	17	D.C. Zaragoza	Mujeres	2028	5	De 2 a 3 años
201709	Septiembre 2017	17	D.C. Zaragoza	Mujeres	5925	6	Más de 3 años
201709	Septiembre 2017	18	Ribera Baja del Ebro	Hombres	63	1	Hasta 3 meses
201709	Septiembre 2017	18	Ribera Baja del Ebro	Hombres	11	2	De 3 a 6 meses
201709	Septiembre 2017	18	Ribera Baja del Ebro	Hombres	40	3	De 6 a 12 meses
201709	Septiembre 2017	18	Ribera Baja del Ebro	Hombres	21	4	De 1 a 2 años
201709	Septiembre 2017	18	Ribera Baja del Ebro	Hombres	7	5	De 2 a 3 años
201709	Septiembre 2017	18	Ribera Baja del Ebro	Hombres	28	6	Más de 3 años
201709	Septiembre 2017	18	Ribera Baja del Ebro	Mujeres	71	1	Hasta 3 meses
201709	Septiembre 2017	18	Ribera Baja del Ebro	Mujeres	28	2	De 3 a 6 meses
201709	Septiembre 2017	18	Ribera Baja del Ebro	Mujeres	49	3	De 6 a 12 meses
201709	Septiembre 2017	18	Ribera Baja del Ebro	Mujeres	44	4	De 1 a 2 años
201709	Septiembre 2017	18	Ribera Baja del Ebro	Mujeres	14	5	De 2 a 3 años
201709	Septiembre 2017	18	Ribera Baja del Ebro	Mujeres	65	6	Más de 3 años
201709	Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	236	1	Hasta 3 meses
201709	Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	29	2	De 3 a 6 meses
201709	Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	33	3	De 6 a 12 meses
201709	Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	23	4	De 1 a 2 años
201709	Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	13	5	De 2 a 3 años
201709	Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	31	6	Más de 3 años
201709	Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	228	1	Hasta 3 meses
201709	Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	61	2	De 3 a 6 meses
201709	Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	58	3	De 6 a 12 meses
201709	Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	56	4	De 1 a 2 años
201709	Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	21	5	De 2 a 3 años
201709	Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	84	6	Más de 3 años
201709	Septiembre 2017	20	Comunidad de Calatayud	Hombres	392	1	Hasta 3 meses
201709	Septiembre 2017	20	Comunidad de Calatayud	Hombres	93	2	De 3 a 6 meses
201709	Septiembre 2017	20	Comunidad de Calatayud	Hombres	100	3	De 6 a 12 meses
201709	Septiembre 2017	20	Comunidad de Calatayud	Hombres	86	4	De 1 a 2 años
201709	Septiembre 2017	20	Comunidad de Calatayud	Hombres	58	5	De 2 a 3 años
201709	Septiembre 2017	20	Comunidad de Calatayud	Hombres	129	6	Más de 3 años
201709	Septiembre 2017	20	Comunidad de Calatayud	Mujeres	471	1	Hasta 3 meses
201709	Septiembre 2017	20	Comunidad de Calatayud	Mujeres	118	2	De 3 a 6 meses
201709	Septiembre 2017	20	Comunidad de Calatayud	Mujeres	166	3	De 6 a 12 meses
201709	Septiembre 2017	20	Comunidad de Calatayud	Mujeres	132	4	De 1 a 2 años
201709	Septiembre 2017	20	Comunidad de Calatayud	Mujeres	82	5	De 2 a 3 años
201709	Septiembre 2017	20	Comunidad de Calatayud	Mujeres	201	6	Más de 3 años
201709	Septiembre 2017	21	Campo de Cariñena	Hombres	80	1	Hasta 3 meses
201709	Septiembre 2017	21	Campo de Cariñena	Hombres	12	2	De 3 a 6 meses
201709	Septiembre 2017	21	Campo de Cariñena	Hombres	16	3	De 6 a 12 meses
201709	Septiembre 2017	21	Campo de Cariñena	Hombres	17	4	De 1 a 2 años
201709	Septiembre 2017	21	Campo de Cariñena	Hombres	9	5	De 2 a 3 años
201709	Septiembre 2017	21	Campo de Cariñena	Hombres	23	6	Más de 3 años
201709	Septiembre 2017	21	Campo de Cariñena	Mujeres	82	1	Hasta 3 meses
201709	Septiembre 2017	21	Campo de Cariñena	Mujeres	24	2	De 3 a 6 meses
201709	Septiembre 2017	21	Campo de Cariñena	Mujeres	33	3	De 6 a 12 meses
201709	Septiembre 2017	21	Campo de Cariñena	Mujeres	23	4	De 1 a 2 años
201709	Septiembre 2017	21	Campo de Cariñena	Mujeres	10	5	De 2 a 3 años
201709	Septiembre 2017	21	Campo de Cariñena	Mujeres	31	6	Más de 3 años
201709	Septiembre 2017	22	Campo de Belchite	Hombres	22	1	Hasta 3 meses
201709	Septiembre 2017	22	Campo de Belchite	Hombres	13	2	De 3 a 6 meses
201709	Septiembre 2017	22	Campo de Belchite	Hombres	16	3	De 6 a 12 meses
201709	Septiembre 2017	22	Campo de Belchite	Hombres	10	4	De 1 a 2 años
201709	Septiembre 2017	22	Campo de Belchite	Hombres	4	5	De 2 a 3 años
201709	Septiembre 2017	22	Campo de Belchite	Hombres	10	6	Más de 3 años
201709	Septiembre 2017	22	Campo de Belchite	Mujeres	21	1	Hasta 3 meses
201709	Septiembre 2017	22	Campo de Belchite	Mujeres	17	2	De 3 a 6 meses
201709	Septiembre 2017	22	Campo de Belchite	Mujeres	16	3	De 6 a 12 meses
201709	Septiembre 2017	22	Campo de Belchite	Mujeres	14	4	De 1 a 2 años
201709	Septiembre 2017	22	Campo de Belchite	Mujeres	7	5	De 2 a 3 años
201709	Septiembre 2017	22	Campo de Belchite	Mujeres	17	6	Más de 3 años
201709	Septiembre 2017	23	Bajo Martín	Hombres	55	1	Hasta 3 meses
201709	Septiembre 2017	23	Bajo Martín	Hombres	16	2	De 3 a 6 meses
201709	Septiembre 2017	23	Bajo Martín	Hombres	16	3	De 6 a 12 meses
201709	Septiembre 2017	23	Bajo Martín	Hombres	8	4	De 1 a 2 años
201709	Septiembre 2017	23	Bajo Martín	Hombres	6	5	De 2 a 3 años
201709	Septiembre 2017	23	Bajo Martín	Hombres	25	6	Más de 3 años
201709	Septiembre 2017	23	Bajo Martín	Mujeres	47	1	Hasta 3 meses
201709	Septiembre 2017	23	Bajo Martín	Mujeres	16	2	De 3 a 6 meses
201709	Septiembre 2017	23	Bajo Martín	Mujeres	15	3	De 6 a 12 meses
201709	Septiembre 2017	23	Bajo Martín	Mujeres	20	4	De 1 a 2 años
201709	Septiembre 2017	23	Bajo Martín	Mujeres	13	5	De 2 a 3 años
201709	Septiembre 2017	23	Bajo Martín	Mujeres	32	6	Más de 3 años
201709	Septiembre 2017	24	Campo de Daroca	Hombres	28	1	Hasta 3 meses
201709	Septiembre 2017	24	Campo de Daroca	Hombres	1	2	De 3 a 6 meses
201709	Septiembre 2017	24	Campo de Daroca	Hombres	14	3	De 6 a 12 meses
201709	Septiembre 2017	24	Campo de Daroca	Hombres	5	4	De 1 a 2 años
201709	Septiembre 2017	24	Campo de Daroca	Hombres	2	5	De 2 a 3 años
201709	Septiembre 2017	24	Campo de Daroca	Hombres	10	6	Más de 3 años
201709	Septiembre 2017	24	Campo de Daroca	Mujeres	27	1	Hasta 3 meses
201709	Septiembre 2017	24	Campo de Daroca	Mujeres	8	2	De 3 a 6 meses
201709	Septiembre 2017	24	Campo de Daroca	Mujeres	16	3	De 6 a 12 meses
201709	Septiembre 2017	24	Campo de Daroca	Mujeres	16	4	De 1 a 2 años
201709	Septiembre 2017	24	Campo de Daroca	Mujeres	7	5	De 2 a 3 años
201709	Septiembre 2017	24	Campo de Daroca	Mujeres	11	6	Más de 3 años
201709	Septiembre 2017	25	Jiloca	Hombres	71	1	Hasta 3 meses
201709	Septiembre 2017	25	Jiloca	Hombres	16	2	De 3 a 6 meses
201709	Septiembre 2017	25	Jiloca	Hombres	18	3	De 6 a 12 meses
201709	Septiembre 2017	25	Jiloca	Hombres	13	4	De 1 a 2 años
201709	Septiembre 2017	25	Jiloca	Hombres	14	5	De 2 a 3 años
201709	Septiembre 2017	25	Jiloca	Hombres	35	6	Más de 3 años
201709	Septiembre 2017	25	Jiloca	Mujeres	81	1	Hasta 3 meses
201709	Septiembre 2017	25	Jiloca	Mujeres	38	2	De 3 a 6 meses
201709	Septiembre 2017	25	Jiloca	Mujeres	35	3	De 6 a 12 meses
201709	Septiembre 2017	25	Jiloca	Mujeres	24	4	De 1 a 2 años
201709	Septiembre 2017	25	Jiloca	Mujeres	19	5	De 2 a 3 años
201709	Septiembre 2017	25	Jiloca	Mujeres	32	6	Más de 3 años
201709	Septiembre 2017	26	Cuencas Mineras	Hombres	67	1	Hasta 3 meses
201709	Septiembre 2017	26	Cuencas Mineras	Hombres	25	2	De 3 a 6 meses
201709	Septiembre 2017	26	Cuencas Mineras	Hombres	21	3	De 6 a 12 meses
201709	Septiembre 2017	26	Cuencas Mineras	Hombres	24	4	De 1 a 2 años
201709	Septiembre 2017	26	Cuencas Mineras	Hombres	7	5	De 2 a 3 años
201709	Septiembre 2017	26	Cuencas Mineras	Hombres	20	6	Más de 3 años
201709	Septiembre 2017	26	Cuencas Mineras	Mujeres	107	1	Hasta 3 meses
201709	Septiembre 2017	26	Cuencas Mineras	Mujeres	29	2	De 3 a 6 meses
201709	Septiembre 2017	26	Cuencas Mineras	Mujeres	25	3	De 6 a 12 meses
201709	Septiembre 2017	26	Cuencas Mineras	Mujeres	24	4	De 1 a 2 años
201709	Septiembre 2017	26	Cuencas Mineras	Mujeres	20	5	De 2 a 3 años
201709	Septiembre 2017	26	Cuencas Mineras	Mujeres	49	6	Más de 3 años
201709	Septiembre 2017	27	Andorra-Sierra de Arcos	Hombres	109	1	Hasta 3 meses
201709	Septiembre 2017	27	Andorra-Sierra de Arcos	Hombres	39	2	De 3 a 6 meses
