Mes (código)	Mes y año	Comarca código	Comarca nombre	Temporalidad	Sexo	Afiliaciones en alta
201003	Marzo 2010	24	Campo de Daroca	Indefinido	Hombres	456
201003	Marzo 2010	24	Campo de Daroca	Indefinido	Mujeres	213
201003	Marzo 2010	25	Jiloca	Indefinido	Hombres	868
201003	Marzo 2010	25	Jiloca	Indefinido	Mujeres	531
201003	Marzo 2010	26	Cuencas Mineras	Indefinido	Hombres	701
201003	Marzo 2010	26	Cuencas Mineras	Indefinido	Mujeres	349
201003	Marzo 2010	27	Andorra-Sierra de Arcos	Indefinido	Hombres	1215
201003	Marzo 2010	27	Andorra-Sierra de Arcos	Indefinido	Mujeres	507
201003	Marzo 2010	28	Bajo Aragón	Indefinido	Hombres	2377
201003	Marzo 2010	28	Bajo Aragón	Indefinido	Mujeres	1692
201003	Marzo 2010	29	Comunidad de Teruel	Indefinido	Hombres	6094
201003	Marzo 2010	29	Comunidad de Teruel	Indefinido	Mujeres	4436
201003	Marzo 2010	30	Maestrazgo	Indefinido	Hombres	148
201003	Marzo 2010	30	Maestrazgo	Indefinido	Mujeres	92
201003	Marzo 2010	31	Sierra de Albarracín	Indefinido	Hombres	191
201003	Marzo 2010	31	Sierra de Albarracín	Indefinido	Mujeres	129
201003	Marzo 2010	32	Gúdar-Javalambre	Indefinido	Hombres	678
201003	Marzo 2010	32	Gúdar-Javalambre	Indefinido	Mujeres	435
201003	Marzo 2010	33	Matarraña / Matarranya	Indefinido	Hombres	556
201003	Marzo 2010	33	Matarraña / Matarranya	Indefinido	Mujeres	369
201006	Junio 2010	01	La Jacetania	Indefinido	Hombres	1134
201006	Junio 2010	01	La Jacetania	Indefinido	Mujeres	1217
201006	Junio 2010	02	Alto Gállego	Indefinido	Hombres	1671
201006	Junio 2010	02	Alto Gállego	Indefinido	Mujeres	1162
201006	Junio 2010	03	Sobrarbe	Indefinido	Hombres	503
201006	Junio 2010	03	Sobrarbe	Indefinido	Mujeres	459
201006	Junio 2010	04	La Ribagorza	Indefinido	Hombres	732
201006	Junio 2010	04	La Ribagorza	Indefinido	Mujeres	742
201006	Junio 2010	05	Cinco Villas	Indefinido	Hombres	2573
201006	Junio 2010	05	Cinco Villas	Indefinido	Mujeres	1669
201006	Junio 2010	06	Hoya de Huesca / Plana de Uesca	Indefinido	Hombres	8092
201006	Junio 2010	06	Hoya de Huesca / Plana de Uesca	Indefinido	Mujeres	6998
201006	Junio 2010	07	Somontano de Barbastro	Indefinido	Hombres	2041
201006	Junio 2010	07	Somontano de Barbastro	Indefinido	Mujeres	1304
201006	Junio 2010	08	Cinca Medio	Indefinido	Hombres	2562
201006	Junio 2010	08	Cinca Medio	Indefinido	Mujeres	1487
201006	Junio 2010	09	La Litera / La Llitera	Indefinido	Hombres	2130
201006	Junio 2010	09	La Litera / La Llitera	Indefinido	Mujeres	1132
201006	Junio 2010	10	Los Monegros	Indefinido	Hombres	1267
201006	Junio 2010	10	Los Monegros	Indefinido	Mujeres	710
201006	Junio 2010	11	Bajo Cinca / Baix Cinca	Indefinido	Hombres	2173
201006	Junio 2010	11	Bajo Cinca / Baix Cinca	Indefinido	Mujeres	1860
201006	Junio 2010	12	Tarazona y el Moncayo	Indefinido	Hombres	962
201006	Junio 2010	12	Tarazona y el Moncayo	Indefinido	Mujeres	709
201006	Junio 2010	13	Campo de Borja	Indefinido	Hombres	1067
201006	Junio 2010	13	Campo de Borja	Indefinido	Mujeres	1128
201006	Junio 2010	14	Aranda	Indefinido	Hombres	562
201006	Junio 2010	14	Aranda	Indefinido	Mujeres	312
201006	Junio 2010	15	Ribera Alta del Ebro	Indefinido	Hombres	9891
201006	Junio 2010	15	Ribera Alta del Ebro	Indefinido	Mujeres	2601
201006	Junio 2010	16	Valdejalón	Indefinido	Hombres	4243
201006	Junio 2010	16	Valdejalón	Indefinido	Mujeres	2545
201006	Junio 2010	17	Central	Indefinido	Hombres	87906
201006	Junio 2010	17	Central	Indefinido	Mujeres	72821
201006	Junio 2010	18	Ribera Baja del Ebro	Indefinido	Hombres	1195
201006	Junio 2010	18	Ribera Baja del Ebro	Indefinido	Mujeres	577
201006	Junio 2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Indefinido	Hombres	673
201006	Junio 2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Indefinido	Mujeres	941
201006	Junio 2010	20	Comunidad de Calatayud	Indefinido	Hombres	2304
201006	Junio 2010	20	Comunidad de Calatayud	Indefinido	Mujeres	1872
201006	Junio 2010	21	Campo de Cariñena	Indefinido	Hombres	1342
201006	Junio 2010	21	Campo de Cariñena	Indefinido	Mujeres	536
201006	Junio 2010	22	Campo de Belchite	Indefinido	Hombres	236
201006	Junio 2010	22	Campo de Belchite	Indefinido	Mujeres	189
201006	Junio 2010	23	Bajo Martín	Indefinido	Hombres	766
201006	Junio 2010	23	Bajo Martín	Indefinido	Mujeres	326
201006	Junio 2010	24	Campo de Daroca	Indefinido	Hombres	437
201006	Junio 2010	24	Campo de Daroca	Indefinido	Mujeres	214
201006	Junio 2010	25	Jiloca	Indefinido	Hombres	872
201006	Junio 2010	25	Jiloca	Indefinido	Mujeres	543
201006	Junio 2010	26	Cuencas Mineras	Indefinido	Hombres	709
201006	Junio 2010	26	Cuencas Mineras	Indefinido	Mujeres	344
201006	Junio 2010	27	Andorra-Sierra de Arcos	Indefinido	Hombres	1213
201006	Junio 2010	27	Andorra-Sierra de Arcos	Indefinido	Mujeres	465
201006	Junio 2010	28	Bajo Aragón	Indefinido	Hombres	2387
201006	Junio 2010	28	Bajo Aragón	Indefinido	Mujeres	1696
201006	Junio 2010	29	Comunidad de Teruel	Indefinido	Hombres	6160
201006	Junio 2010	29	Comunidad de Teruel	Indefinido	Mujeres	4468
201006	Junio 2010	30	Maestrazgo	Indefinido	Hombres	157
201006	Junio 2010	30	Maestrazgo	Indefinido	Mujeres	94
201006	Junio 2010	31	Sierra de Albarracín	Indefinido	Hombres	202
201006	Junio 2010	31	Sierra de Albarracín	Indefinido	Mujeres	132
201006	Junio 2010	32	Gúdar-Javalambre	Indefinido	Hombres	703
201006	Junio 2010	32	Gúdar-Javalambre	Indefinido	Mujeres	441
201006	Junio 2010	33	Matarraña / Matarranya	Indefinido	Hombres	566
201006	Junio 2010	33	Matarraña / Matarranya	Indefinido	Mujeres	371
201009	Septiembre 2010	01	La Jacetania	Indefinido	Hombres	1085
201009	Septiembre 2010	01	La Jacetania	Indefinido	Mujeres	1191
201009	Septiembre 2010	02	Alto Gállego	Indefinido	Hombres	1627
201009	Septiembre 2010	02	Alto Gállego	Indefinido	Mujeres	1138
201009	Septiembre 2010	03	Sobrarbe	Indefinido	Hombres	501
201009	Septiembre 2010	03	Sobrarbe	Indefinido	Mujeres	468
201009	Septiembre 2010	04	La Ribagorza	Indefinido	Hombres	717
201009	Septiembre 2010	04	La Ribagorza	Indefinido	Mujeres	720
201009	Septiembre 2010	05	Cinco Villas	Indefinido	Hombres	2504
201009	Septiembre 2010	05	Cinco Villas	Indefinido	Mujeres	1699
201009	Septiembre 2010	06	Hoya de Huesca / Plana de Uesca	Indefinido	Hombres	8093
201009	Septiembre 2010	06	Hoya de Huesca / Plana de Uesca	Indefinido	Mujeres	7210
201009	Septiembre 2010	07	Somontano de Barbastro	Indefinido	Hombres	2017
201009	Septiembre 2010	07	Somontano de Barbastro	Indefinido	Mujeres	1293
201009	Septiembre 2010	08	Cinca Medio	Indefinido	Hombres	2560
201009	Septiembre 2010	08	Cinca Medio	Indefinido	Mujeres	1492
201009	Septiembre 2010	09	La Litera / La Llitera	Indefinido	Hombres	2131
201009	Septiembre 2010	09	La Litera / La Llitera	Indefinido	Mujeres	1148
201009	Septiembre 2010	10	Los Monegros	Indefinido	Hombres	1384
201009	Septiembre 2010	10	Los Monegros	Indefinido	Mujeres	1061
201009	Septiembre 2010	11	Bajo Cinca / Baix Cinca	Indefinido	Hombres	2149
201009	Septiembre 2010	11	Bajo Cinca / Baix Cinca	Indefinido	Mujeres	1854
201009	Septiembre 2010	12	Tarazona y el Moncayo	Indefinido	Hombres	946
201009	Septiembre 2010	12	Tarazona y el Moncayo	Indefinido	Mujeres	712
201009	Septiembre 2010	13	Campo de Borja	Indefinido	Hombres	907
201009	Septiembre 2010	13	Campo de Borja	Indefinido	Mujeres	785
201009	Septiembre 2010	14	Aranda	Indefinido	Hombres	517
201009	Septiembre 2010	14	Aranda	Indefinido	Mujeres	293
201009	Septiembre 2010	15	Ribera Alta del Ebro	Indefinido	Hombres	9828
201009	Septiembre 2010	15	Ribera Alta del Ebro	Indefinido	Mujeres	2614
201009	Septiembre 2010	16	Valdejalón	Indefinido	Hombres	4291
201009	Septiembre 2010	16	Valdejalón	Indefinido	Mujeres	2528
201009	Septiembre 2010	17	Central	Indefinido	Hombres	86473
201009	Septiembre 2010	17	Central	Indefinido	Mujeres	74311
201009	Septiembre 2010	18	Ribera Baja del Ebro	Indefinido	Hombres	1194
201009	Septiembre 2010	18	Ribera Baja del Ebro	Indefinido	Mujeres	719
201009	Septiembre 2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Indefinido	Hombres	665
201009	Septiembre 2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Indefinido	Mujeres	944
201009	Septiembre 2010	20	Comunidad de Calatayud	Indefinido	Hombres	2292
201009	Septiembre 2010	20	Comunidad de Calatayud	Indefinido	Mujeres	1846
201009	Septiembre 2010	21	Campo de Cariñena	Indefinido	Hombres	1335
201009	Septiembre 2010	21	Campo de Cariñena	Indefinido	Mujeres	523
201009	Septiembre 2010	22	Campo de Belchite	Indefinido	Hombres	232
201009	Septiembre 2010	22	Campo de Belchite	Indefinido	Mujeres	184
201009	Septiembre 2010	23	Bajo Martín	Indefinido	Hombres	763
201009	Septiembre 2010	23	Bajo Martín	Indefinido	Mujeres	295
201009	Septiembre 2010	24	Campo de Daroca	Indefinido	Hombres	428
201009	Septiembre 2010	24	Campo de Daroca	Indefinido	Mujeres	208
201009	Septiembre 2010	25	Jiloca	Indefinido	Hombres	876
201009	Septiembre 2010	25	Jiloca	Indefinido	Mujeres	548
201009	Septiembre 2010	26	Cuencas Mineras	Indefinido	Hombres	715
201009	Septiembre 2010	26	Cuencas Mineras	Indefinido	Mujeres	402
201009	Septiembre 2010	27	Andorra-Sierra de Arcos	Indefinido	Hombres	1195
201009	Septiembre 2010	27	Andorra-Sierra de Arcos	Indefinido	Mujeres	519
201009	Septiembre 2010	28	Bajo Aragón	Indefinido	Hombres	2350
201009	Septiembre 2010	28	Bajo Aragón	Indefinido	Mujeres	1638
201009	Septiembre 2010	29	Comunidad de Teruel	Indefinido	Hombres	6088
201009	Septiembre 2010	29	Comunidad de Teruel	Indefinido	Mujeres	4494
201009	Septiembre 2010	30	Maestrazgo	Indefinido	Hombres	156
201009	Septiembre 2010	30	Maestrazgo	Indefinido	Mujeres	103
201009	Septiembre 2010	31	Sierra de Albarracín	Indefinido	Hombres	199
201009	Septiembre 2010	31	Sierra de Albarracín	Indefinido	Mujeres	137
201009	Septiembre 2010	32	Gúdar-Javalambre	Indefinido	Hombres	689
201009	Septiembre 2010	32	Gúdar-Javalambre	Indefinido	Mujeres	439
201009	Septiembre 2010	33	Matarraña / Matarranya	Indefinido	Hombres	569
201009	Septiembre 2010	33	Matarraña / Matarranya	Indefinido	Mujeres	356
201012	Diciembre 2010	01	La Jacetania	Indefinido	Hombres	1250
201012	Diciembre 2010	01	La Jacetania	Indefinido	Mujeres	1288
201012	Diciembre 2010	02	Alto Gállego	Indefinido	Hombres	1863
201012	Diciembre 2010	02	Alto Gállego	Indefinido	Mujeres	1383
201012	Diciembre 2010	03	Sobrarbe	Indefinido	Hombres	476
201012	Diciembre 2010	03	Sobrarbe	Indefinido	Mujeres	407
201012	Diciembre 2010	04	La Ribagorza	Indefinido	Hombres	841
201012	Diciembre 2010	04	La Ribagorza	Indefinido	Mujeres	848
201012	Diciembre 2010	05	Cinco Villas	Indefinido	Hombres	2720
201012	Diciembre 2010	05	Cinco Villas	Indefinido	Mujeres	2305
201012	Diciembre 2010	06	Hoya de Huesca / Plana de Uesca	Indefinido	Hombres	7741
201012	Diciembre 2010	06	Hoya de Huesca / Plana de Uesca	Indefinido	Mujeres	7093
201012	Diciembre 2010	07	Somontano de Barbastro	Indefinido	Hombres	2018
201012	Diciembre 2010	07	Somontano de Barbastro	Indefinido	Mujeres	1397
201012	Diciembre 2010	08	Cinca Medio	Indefinido	Hombres	2571
201012	Diciembre 2010	08	Cinca Medio	Indefinido	Mujeres	1501
201012	Diciembre 2010	09	La Litera / La Llitera	Indefinido	Hombres	2133
201012	Diciembre 2010	09	La Litera / La Llitera	Indefinido	Mujeres	1150
201012	Diciembre 2010	10	Los Monegros	Indefinido	Hombres	1376
201012	Diciembre 2010	10	Los Monegros	Indefinido	Mujeres	1056
201012	Diciembre 2010	11	Bajo Cinca / Baix Cinca	Indefinido	Hombres	2136
201012	Diciembre 2010	11	Bajo Cinca / Baix Cinca	Indefinido	Mujeres	1786
201012	Diciembre 2010	12	Tarazona y el Moncayo	Indefinido	Hombres	942
201012	Diciembre 2010	12	Tarazona y el Moncayo	Indefinido	Mujeres	721
201012	Diciembre 2010	13	Campo de Borja	Indefinido	Hombres	893
201012	Diciembre 2010	13	Campo de Borja	Indefinido	Mujeres	795
201012	Diciembre 2010	14	Aranda	Indefinido	Hombres	514
201012	Diciembre 2010	14	Aranda	Indefinido	Mujeres	291
201012	Diciembre 2010	15	Ribera Alta del Ebro	Indefinido	Hombres	9746
201012	Diciembre 2010	15	Ribera Alta del Ebro	Indefinido	Mujeres	2675
201012	Diciembre 2010	16	Valdejalón	Indefinido	Hombres	4242
201012	Diciembre 2010	16	Valdejalón	Indefinido	Mujeres	2511
201012	Diciembre 2010	17	Central	Indefinido	Hombres	85753
201012	Diciembre 2010	17	Central	Indefinido	Mujeres	74118
201012	Diciembre 2010	18	Ribera Baja del Ebro	Indefinido	Hombres	1200
201012	Diciembre 2010	18	Ribera Baja del Ebro	Indefinido	Mujeres	816
201012	Diciembre 2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Indefinido	Hombres	638
201012	Diciembre 2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Indefinido	Mujeres	930
201012	Diciembre 2010	20	Comunidad de Calatayud	Indefinido	Hombres	2220
201012	Diciembre 2010	20	Comunidad de Calatayud	Indefinido	Mujeres	1708
201012	Diciembre 2010	21	Campo de Cariñena	Indefinido	Hombres	1333
201012	Diciembre 2010	21	Campo de Cariñena	Indefinido	Mujeres	526
201012	Diciembre 2010	22	Campo de Belchite	Indefinido	Hombres	227
201012	Diciembre 2010	22	Campo de Belchite	Indefinido	Mujeres	189
201012	Diciembre 2010	23	Bajo Martín	Indefinido	Hombres	741
201012	Diciembre 2010	23	Bajo Martín	Indefinido	Mujeres	295
201012	Diciembre 2010	24	Campo de Daroca	Indefinido	Hombres	449
201012	Diciembre 2010	24	Campo de Daroca	Indefinido	Mujeres	215
201012	Diciembre 2010	25	Jiloca	Indefinido	Hombres	863
201012	Diciembre 2010	25	Jiloca	Indefinido	Mujeres	554
201012	Diciembre 2010	26	Cuencas Mineras	Indefinido	Hombres	726
201012	Diciembre 2010	26	Cuencas Mineras	Indefinido	Mujeres	395
201012	Diciembre 2010	27	Andorra-Sierra de Arcos	Indefinido	Hombres	1182
201012	Diciembre 2010	27	Andorra-Sierra de Arcos	Indefinido	Mujeres	538
201012	Diciembre 2010	28	Bajo Aragón	Indefinido	Hombres	2299
201012	Diciembre 2010	28	Bajo Aragón	Indefinido	Mujeres	1638
201012	Diciembre 2010	29	Comunidad de Teruel	Indefinido	Hombres	5971
201012	Diciembre 2010	29	Comunidad de Teruel	Indefinido	Mujeres	4487
201012	Diciembre 2010	30	Maestrazgo	Indefinido	Hombres	148
201012	Diciembre 2010	30	Maestrazgo	Indefinido	Mujeres	100
201012	Diciembre 2010	31	Sierra de Albarracín	Indefinido	Hombres	190
201012	Diciembre 2010	31	Sierra de Albarracín	Indefinido	Mujeres	133
201012	Diciembre 2010	32	Gúdar-Javalambre	Indefinido	Hombres	678
201012	Diciembre 2010	32	Gúdar-Javalambre	Indefinido	Mujeres	420
201012	Diciembre 2010	33	Matarraña / Matarranya	Indefinido	Hombres	573
201012	Diciembre 2010	33	Matarraña / Matarranya	Indefinido	Mujeres	356
201103	Marzo 2011	01	La Jacetania	Indefinido	Hombres	1155
201103	Marzo 2011	01	La Jacetania	Indefinido	Mujeres	1265
201103	Marzo 2011	02	Alto Gállego	Indefinido	Hombres	1804
201103	Marzo 2011	02	Alto Gállego	Indefinido	Mujeres	1325
201103	Marzo 2011	03	Sobrarbe	Indefinido	Hombres	485
201103	Marzo 2011	03	Sobrarbe	Indefinido	Mujeres	407
201103	Marzo 2011	04	La Ribagorza	Indefinido	Hombres	832
201103	Marzo 2011	04	La Ribagorza	Indefinido	Mujeres	863
201103	Marzo 2011	05	Cinco Villas	Indefinido	Hombres	2667
201103	Marzo 2011	05	Cinco Villas	Indefinido	Mujeres	2291
201103	Marzo 2011	06	Hoya de Huesca / Plana de Uesca	Indefinido	Hombres	7753
201103	Marzo 2011	06	Hoya de Huesca / Plana de Uesca	Indefinido	Mujeres	7089
201103	Marzo 2011	07	Somontano de Barbastro	Indefinido	Hombres	2027
201103	Marzo 2011	07	Somontano de Barbastro	Indefinido	Mujeres	1387
201103	Marzo 2011	08	Cinca Medio	Indefinido	Hombres	2511
201103	Marzo 2011	08	Cinca Medio	Indefinido	Mujeres	1494
201103	Marzo 2011	09	La Litera / La Llitera	Indefinido	Hombres	2108
201103	Marzo 2011	09	La Litera / La Llitera	Indefinido	Mujeres	1149
201103	Marzo 2011	10	Los Monegros	Indefinido	Hombres	1384
201103	Marzo 2011	10	Los Monegros	Indefinido	Mujeres	1030
201103	Marzo 2011	11	Bajo Cinca / Baix Cinca	Indefinido	Hombres	2112
201103	Marzo 2011	11	Bajo Cinca / Baix Cinca	Indefinido	Mujeres	1764
201103	Marzo 2011	12	Tarazona y el Moncayo	Indefinido	Hombres	943
201103	Marzo 2011	12	Tarazona y el Moncayo	Indefinido	Mujeres	718
201103	Marzo 2011	13	Campo de Borja	Indefinido	Hombres	883
201103	Marzo 2011	13	Campo de Borja	Indefinido	Mujeres	772
201103	Marzo 2011	14	Aranda	Indefinido	Hombres	515
201103	Marzo 2011	14	Aranda	Indefinido	Mujeres	294
201103	Marzo 2011	15	Ribera Alta del Ebro	Indefinido	Hombres	9870
201103	Marzo 2011	15	Ribera Alta del Ebro	Indefinido	Mujeres	2441
201103	Marzo 2011	16	Valdejalón	Indefinido	Hombres	4186
201103	Marzo 2011	16	Valdejalón	Indefinido	Mujeres	2526
201103	Marzo 2011	17	Central	Indefinido	Hombres	85316
201103	Marzo 2011	17	Central	Indefinido	Mujeres	73963
201103	Marzo 2011	18	Ribera Baja del Ebro	Indefinido	Hombres	1197
201103	Marzo 2011	18	Ribera Baja del Ebro	Indefinido	Mujeres	832
201103	Marzo 2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Indefinido	Hombres	633
201103	Marzo 2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Indefinido	Mujeres	949
201103	Marzo 2011	20	Comunidad de Calatayud	Indefinido	Hombres	2257
201103	Marzo 2011	20	Comunidad de Calatayud	Indefinido	Mujeres	1787
201103	Marzo 2011	21	Campo de Cariñena	Indefinido	Hombres	1313
201103	Marzo 2011	21	Campo de Cariñena	Indefinido	Mujeres	517
201103	Marzo 2011	22	Campo de Belchite	Indefinido	Hombres	224
201103	Marzo 2011	22	Campo de Belchite	Indefinido	Mujeres	193
201103	Marzo 2011	23	Bajo Martín	Indefinido	Hombres	715
201103	Marzo 2011	23	Bajo Martín	Indefinido	Mujeres	306
201103	Marzo 2011	24	Campo de Daroca	Indefinido	Hombres	454
201103	Marzo 2011	24	Campo de Daroca	Indefinido	Mujeres	218
201103	Marzo 2011	25	Jiloca	Indefinido	Hombres	789
201103	Marzo 2011	25	Jiloca	Indefinido	Mujeres	608
201103	Marzo 2011	26	Cuencas Mineras	Indefinido	Hombres	755
201103	Marzo 2011	26	Cuencas Mineras	Indefinido	Mujeres	401
201103	Marzo 2011	27	Andorra-Sierra de Arcos	Indefinido	Hombres	1155
201103	Marzo 2011	27	Andorra-Sierra de Arcos	Indefinido	Mujeres	531
201103	Marzo 2011	28	Bajo Aragón	Indefinido	Hombres	2271
201103	Marzo 2011	28	Bajo Aragón	Indefinido	Mujeres	1618
201103	Marzo 2011	29	Comunidad de Teruel	Indefinido	Hombres	5957
201103	Marzo 2011	29	Comunidad de Teruel	Indefinido	Mujeres	4400
201103	Marzo 2011	30	Maestrazgo	Indefinido	Hombres	145
201103	Marzo 2011	30	Maestrazgo	Indefinido	Mujeres	98
201103	Marzo 2011	31	Sierra de Albarracín	Indefinido	Hombres	193
201103	Marzo 2011	31	Sierra de Albarracín	Indefinido	Mujeres	133
201103	Marzo 2011	32	Gúdar-Javalambre	Indefinido	Hombres	686
201103	Marzo 2011	32	Gúdar-Javalambre	Indefinido	Mujeres	445
201103	Marzo 2011	33	Matarraña / Matarranya	Indefinido	Hombres	573
201103	Marzo 2011	33	Matarraña / Matarranya	Indefinido	Mujeres	367
201106	Junio 2011	01	La Jacetania	Indefinido	Hombres	1061
201106	Junio 2011	01	La Jacetania	Indefinido	Mujeres	1199
201106	Junio 2011	02	Alto Gállego	Indefinido	Hombres	1570
201106	Junio 2011	02	Alto Gállego	Indefinido	Mujeres	1122
201106	Junio 2011	03	Sobrarbe	Indefinido	Hombres	493
201106	Junio 2011	03	Sobrarbe	Indefinido	Mujeres	470
201106	Junio 2011	04	La Ribagorza	Indefinido	Hombres	717
201106	Junio 2011	04	La Ribagorza	Indefinido	Mujeres	762
201106	Junio 2011	05	Cinco Villas	Indefinido	Hombres	2641
201106	Junio 2011	05	Cinco Villas	Indefinido	Mujeres	2263
201106	Junio 2011	06	Hoya de Huesca / Plana de Uesca	Indefinido	Hombres	7710
201106	Junio 2011	06	Hoya de Huesca / Plana de Uesca	Indefinido	Mujeres	6842
201106	Junio 2011	07	Somontano de Barbastro	Indefinido	Hombres	1994
201106	Junio 2011	07	Somontano de Barbastro	Indefinido	Mujeres	1423
201106	Junio 2011	08	Cinca Medio	Indefinido	Hombres	2506
201106	Junio 2011	08	Cinca Medio	Indefinido	Mujeres	1481
201106	Junio 2011	09	La Litera / La Llitera	Indefinido	Hombres	2061
201106	Junio 2011	09	La Litera / La Llitera	Indefinido	Mujeres	1110
201106	Junio 2011	10	Los Monegros	Indefinido	Hombres	1363
201106	Junio 2011	10	Los Monegros	Indefinido	Mujeres	1009
201106	Junio 2011	11	Bajo Cinca / Baix Cinca	Indefinido	Hombres	2156
201106	Junio 2011	11	Bajo Cinca / Baix Cinca	Indefinido	Mujeres	1848
201106	Junio 2011	12	Tarazona y el Moncayo	Indefinido	Hombres	938
201106	Junio 2011	12	Tarazona y el Moncayo	Indefinido	Mujeres	730
201106	Junio 2011	13	Campo de Borja	Indefinido	Hombres	888
201106	Junio 2011	13	Campo de Borja	Indefinido	Mujeres	764
201106	Junio 2011	14	Aranda	Indefinido	Hombres	538
201106	Junio 2011	14	Aranda	Indefinido	Mujeres	306
201106	Junio 2011	15	Ribera Alta del Ebro	Indefinido	Hombres	9866
201106	Junio 2011	15	Ribera Alta del Ebro	Indefinido	Mujeres	2524
201106	Junio 2011	16	Valdejalón	Indefinido	Hombres	4249
201106	Junio 2011	16	Valdejalón	Indefinido	Mujeres	2570
201106	Junio 2011	17	Central	Indefinido	Hombres	84797
201106	Junio 2011	17	Central	Indefinido	Mujeres	72051
201106	Junio 2011	18	Ribera Baja del Ebro	Indefinido	Hombres	1204
201106	Junio 2011	18	Ribera Baja del Ebro	Indefinido	Mujeres	627
201106	Junio 2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Indefinido	Hombres	630
201106	Junio 2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Indefinido	Mujeres	944
201106	Junio 2011	20	Comunidad de Calatayud	Indefinido	Hombres	2214
201106	Junio 2011	20	Comunidad de Calatayud	Indefinido	Mujeres	1722
