Mes y año	'Aragón'	Edad (grupos quinquenales)	Sexo	Nº parados
Febrero 2020	Aragón	25-29	Hombres	202
Febrero 2020	Aragón	25-29	Mujeres	533
Febrero 2020	Aragón	30-34	Hombres	316
Febrero 2020	Aragón	30-34	Mujeres	881
Febrero 2020	Aragón	35-39	Hombres	374
Febrero 2020	Aragón	35-39	Mujeres	1234
Febrero 2020	Aragón	40-44	Hombres	552
Febrero 2020	Aragón	40-44	Mujeres	1446
Febrero 2020	Aragón	45-49	Hombres	798
Febrero 2020	Aragón	45-49	Mujeres	1616
Febrero 2020	Aragón	50-54	Hombres	1097
Febrero 2020	Aragón	50-54	Mujeres	1873
Febrero 2020	Aragón	55-59	Hombres	1686
Febrero 2020	Aragón	55-59	Mujeres	2803
Febrero 2020	Aragón	60-64	Hombres	1821
Febrero 2020	Aragón	60-64	Mujeres	3538
Enero 2020	Aragón	16-19	Hombres	62
Enero 2020	Aragón	16-19	Mujeres	62
Enero 2020	Aragón	20-24	Hombres	145
Enero 2020	Aragón	20-24	Mujeres	231
Enero 2020	Aragón	25-29	Hombres	205
Enero 2020	Aragón	25-29	Mujeres	532
Enero 2020	Aragón	30-34	Hombres	303
Enero 2020	Aragón	30-34	Mujeres	907
Enero 2020	Aragón	35-39	Hombres	372
Enero 2020	Aragón	35-39	Mujeres	1265
Enero 2020	Aragón	40-44	Hombres	552
Enero 2020	Aragón	40-44	Mujeres	1457
Enero 2020	Aragón	45-49	Hombres	801
Enero 2020	Aragón	45-49	Mujeres	1626
Enero 2020	Aragón	50-54	Hombres	1117
Enero 2020	Aragón	50-54	Mujeres	1879
Enero 2020	Aragón	55-59	Hombres	1685
Enero 2020	Aragón	55-59	Mujeres	2796
Enero 2020	Aragón	60-64	Hombres	1838
Enero 2020	Aragón	60-64	Mujeres	3530
Diciembre 2019	Aragón	16-19	Hombres	64
Diciembre 2019	Aragón	16-19	Mujeres	63
Diciembre 2019	Aragón	20-24	Hombres	146
Diciembre 2019	Aragón	20-24	Mujeres	223
Diciembre 2019	Aragón	25-29	Hombres	215
Diciembre 2019	Aragón	25-29	Mujeres	516
Diciembre 2019	Aragón	30-34	Hombres	305
Diciembre 2019	Aragón	30-34	Mujeres	887
Diciembre 2019	Aragón	35-39	Hombres	367
Diciembre 2019	Aragón	35-39	Mujeres	1234
Diciembre 2019	Aragón	40-44	Hombres	540
Diciembre 2019	Aragón	40-44	Mujeres	1449
Diciembre 2019	Aragón	45-49	Hombres	788
Diciembre 2019	Aragón	45-49	Mujeres	1605
Diciembre 2019	Aragón	50-54	Hombres	1098
Diciembre 2019	Aragón	50-54	Mujeres	1824
Diciembre 2019	Aragón	55-59	Hombres	1658
Diciembre 2019	Aragón	55-59	Mujeres	2755
Diciembre 2019	Aragón	60-64	Hombres	1800
Diciembre 2019	Aragón	60-64	Mujeres	3473
Noviembre 2019	Aragón	16-19	Hombres	59
Noviembre 2019	Aragón	16-19	Mujeres	65
Noviembre 2019	Aragón	20-24	Hombres	149
Noviembre 2019	Aragón	20-24	Mujeres	230
Noviembre 2019	Aragón	25-29	Hombres	223
Noviembre 2019	Aragón	25-29	Mujeres	536
Noviembre 2019	Aragón	30-34	Hombres	298
Noviembre 2019	Aragón	30-34	Mujeres	906
Noviembre 2019	Aragón	35-39	Hombres	369
Noviembre 2019	Aragón	35-39	Mujeres	1220
Noviembre 2019	Aragón	40-44	Hombres	523
Noviembre 2019	Aragón	40-44	Mujeres	1482
Noviembre 2019	Aragón	45-49	Hombres	794
Noviembre 2019	Aragón	45-49	Mujeres	1617
Noviembre 2019	Aragón	50-54	Hombres	1074
Noviembre 2019	Aragón	50-54	Mujeres	1828
Noviembre 2019	Aragón	55-59	Hombres	1672
Noviembre 2019	Aragón	55-59	Mujeres	2755
Noviembre 2019	Aragón	60-64	Hombres	1822
Noviembre 2019	Aragón	60-64	Mujeres	3472
Octubre 2019	Aragón	16-19	Hombres	62
Octubre 2019	Aragón	16-19	Mujeres	71
Octubre 2019	Aragón	20-24	Hombres	154
Octubre 2019	Aragón	20-24	Mujeres	239
Octubre 2019	Aragón	25-29	Hombres	221
Octubre 2019	Aragón	25-29	Mujeres	531
Octubre 2019	Aragón	30-34	Hombres	307
Octubre 2019	Aragón	30-34	Mujeres	918
Octubre 2019	Aragón	35-39	Hombres	360
Octubre 2019	Aragón	35-39	Mujeres	1225
Octubre 2019	Aragón	40-44	Hombres	526
Octubre 2019	Aragón	40-44	Mujeres	1513
Octubre 2019	Aragón	45-49	Hombres	802
Octubre 2019	Aragón	45-49	Mujeres	1629
Octubre 2019	Aragón	50-54	Hombres	1081
Octubre 2019	Aragón	50-54	Mujeres	1853
Octubre 2019	Aragón	55-59	Hombres	1699
Octubre 2019	Aragón	55-59	Mujeres	2745
Octubre 2019	Aragón	60-64	Hombres	1825
Octubre 2019	Aragón	60-64	Mujeres	3463
Septiembre 2019	Aragón	16-19	Hombres	61
Septiembre 2019	Aragón	16-19	Mujeres	73
Septiembre 2019	Aragón	20-24	Hombres	149
Septiembre 2019	Aragón	20-24	Mujeres	248
Septiembre 2019	Aragón	25-29	Hombres	220
Septiembre 2019	Aragón	25-29	Mujeres	513
Septiembre 2019	Aragón	30-34	Hombres	313
Septiembre 2019	Aragón	30-34	Mujeres	918
Septiembre 2019	Aragón	35-39	Hombres	364
Septiembre 2019	Aragón	35-39	Mujeres	1253
Septiembre 2019	Aragón	40-44	Hombres	526
Septiembre 2019	Aragón	40-44	Mujeres	1542
Septiembre 2019	Aragón	45-49	Hombres	816
Septiembre 2019	Aragón	45-49	Mujeres	1666
Septiembre 2019	Aragón	50-54	Hombres	1097
Septiembre 2019	Aragón	50-54	Mujeres	1889
Septiembre 2019	Aragón	55-59	Hombres	1709
Septiembre 2019	Aragón	55-59	Mujeres	2748
Septiembre 2019	Aragón	60-64	Hombres	1816
Septiembre 2019	Aragón	60-64	Mujeres	3437
Agosto 2019	Aragón	16-19	Hombres	58
Agosto 2019	Aragón	16-19	Mujeres	65
Agosto 2019	Aragón	20-24	Hombres	147
Agosto 2019	Aragón	20-24	Mujeres	235
Agosto 2019	Aragón	25-29	Hombres	217
Agosto 2019	Aragón	25-29	Mujeres	495
Agosto 2019	Aragón	30-34	Hombres	315
Agosto 2019	Aragón	30-34	Mujeres	906
Agosto 2019	Aragón	35-39	Hombres	359
Agosto 2019	Aragón	35-39	Mujeres	1233
Agosto 2019	Aragón	40-44	Hombres	528
Agosto 2019	Aragón	40-44	Mujeres	1543
Agosto 2019	Aragón	45-49	Hombres	826
Agosto 2019	Aragón	45-49	Mujeres	1650
Agosto 2019	Aragón	50-54	Hombres	1090
Agosto 2019	Aragón	50-54	Mujeres	1845
Agosto 2019	Aragón	55-59	Hombres	1702
Agosto 2019	Aragón	55-59	Mujeres	2723
Agosto 2019	Aragón	60-64	Hombres	1790
Agosto 2019	Aragón	60-64	Mujeres	3439
Julio 2019	Aragón	16-19	Hombres	59
Julio 2019	Aragón	16-19	Mujeres	65
Julio 2019	Aragón	20-24	Hombres	150
Julio 2019	Aragón	20-24	Mujeres	243
Julio 2019	Aragón	25-29	Hombres	210
Julio 2019	Aragón	25-29	Mujeres	486
Julio 2019	Aragón	30-34	Hombres	309
Julio 2019	Aragón	30-34	Mujeres	899
Julio 2019	Aragón	35-39	Hombres	365
Julio 2019	Aragón	35-39	Mujeres	1264
Julio 2019	Aragón	40-44	Hombres	528
Julio 2019	Aragón	40-44	Mujeres	1541
Julio 2019	Aragón	45-49	Hombres	823
Julio 2019	Aragón	45-49	Mujeres	1645
Julio 2019	Aragón	50-54	Hombres	1110
Julio 2019	Aragón	50-54	Mujeres	1884
Julio 2019	Aragón	55-59	Hombres	1694
Julio 2019	Aragón	55-59	Mujeres	2729
Julio 2019	Aragón	60-64	Hombres	1775
Julio 2019	Aragón	60-64	Mujeres	3421
Junio 2019	Aragón	16-19	Hombres	58
Junio 2019	Aragón	16-19	Mujeres	68
Junio 2019	Aragón	20-24	Hombres	145
Junio 2019	Aragón	20-24	Mujeres	240
Junio 2019	Aragón	25-29	Hombres	206
Junio 2019	Aragón	25-29	Mujeres	502
Junio 2019	Aragón	30-34	Hombres	317
Junio 2019	Aragón	30-34	Mujeres	927
Junio 2019	Aragón	35-39	Hombres	387
Junio 2019	Aragón	35-39	Mujeres	1258
Junio 2019	Aragón	40-44	Hombres	521
Junio 2019	Aragón	40-44	Mujeres	1555
Junio 2019	Aragón	45-49	Hombres	836
Junio 2019	Aragón	45-49	Mujeres	1658
Junio 2019	Aragón	50-54	Hombres	1080
Junio 2019	Aragón	50-54	Mujeres	1919
Junio 2019	Aragón	55-59	Hombres	1685
Junio 2019	Aragón	55-59	Mujeres	2748
Junio 2019	Aragón	60-64	Hombres	1761
Junio 2019	Aragón	60-64	Mujeres	3363
Mayo 2019	Aragón	16-19	Hombres	59
Mayo 2019	Aragón	16-19	Mujeres	75
Mayo 2019	Aragón	20-24	Hombres	151
Mayo 2019	Aragón	20-24	Mujeres	256
Mayo 2019	Aragón	25-29	Hombres	201
Mayo 2019	Aragón	25-29	Mujeres	500
Mayo 2019	Aragón	30-34	Hombres	311
Mayo 2019	Aragón	30-34	Mujeres	927
Mayo 2019	Aragón	35-39	Hombres	378
Mayo 2019	Aragón	35-39	Mujeres	1223
Mayo 2019	Aragón	40-44	Hombres	526
Mayo 2019	Aragón	40-44	Mujeres	1565
Mayo 2019	Aragón	45-49	Hombres	827
Mayo 2019	Aragón	45-49	Mujeres	1674
Mayo 2019	Aragón	50-54	Hombres	1090
Mayo 2019	Aragón	50-54	Mujeres	1930
Mayo 2019	Aragón	55-59	Hombres	1654
Mayo 2019	Aragón	55-59	Mujeres	2768
Mayo 2019	Aragón	60-64	Hombres	1748
Mayo 2019	Aragón	60-64	Mujeres	3352
Abril 2019	Aragón	16-19	Hombres	67
Abril 2019	Aragón	16-19	Mujeres	75
Abril 2019	Aragón	20-24	Hombres	164
Abril 2019	Aragón	20-24	Mujeres	254
Abril 2019	Aragón	25-29	Hombres	208
Abril 2019	Aragón	25-29	Mujeres	530
Abril 2019	Aragón	30-34	Hombres	342
Abril 2019	Aragón	30-34	Mujeres	962
Abril 2019	Aragón	35-39	Hombres	398
Abril 2019	Aragón	35-39	Mujeres	1258
Abril 2019	Aragón	40-44	Hombres	521
Abril 2019	Aragón	40-44	Mujeres	1560
Abril 2019	Aragón	45-49	Hombres	843
Abril 2019	Aragón	45-49	Mujeres	1702
Abril 2019	Aragón	50-54	Hombres	1115
Abril 2019	Aragón	50-54	Mujeres	1939
Abril 2019	Aragón	55-59	Hombres	1684
Abril 2019	Aragón	55-59	Mujeres	2775
Abril 2019	Aragón	60-64	Hombres	1743
Abril 2019	Aragón	60-64	Mujeres	3360
Marzo 2019	Aragón	16-19	Hombres	63
Marzo 2019	Aragón	16-19	Mujeres	75
Marzo 2019	Aragón	20-24	Hombres	174
Marzo 2019	Aragón	20-24	Mujeres	255
Marzo 2019	Aragón	25-29	Hombres	221
Marzo 2019	Aragón	25-29	Mujeres	539
Marzo 2019	Aragón	30-34	Hombres	339
Marzo 2019	Aragón	30-34	Mujeres	973
Marzo 2019	Aragón	35-39	Hombres	399
Marzo 2019	Aragón	35-39	Mujeres	1296
Marzo 2019	Aragón	40-44	Hombres	526
Marzo 2019	Aragón	40-44	Mujeres	1581
Marzo 2019	Aragón	45-49	Hombres	863
Marzo 2019	Aragón	45-49	Mujeres	1700
Marzo 2019	Aragón	50-54	Hombres	1121
Marzo 2019	Aragón	50-54	Mujeres	1976
Marzo 2019	Aragón	55-59	Hombres	1684
Marzo 2019	Aragón	55-59	Mujeres	2802
Marzo 2019	Aragón	60-64	Hombres	1735
Marzo 2019	Aragón	60-64	Mujeres	3351
Febrero 2019	Aragón	16-19	Hombres	65
Febrero 2019	Aragón	16-19	Mujeres	80
Febrero 2019	Aragón	20-24	Hombres	178
Febrero 2019	Aragón	20-24	Mujeres	258
Febrero 2019	Aragón	25-29	Hombres	236
Febrero 2019	Aragón	25-29	Mujeres	551
Febrero 2019	Aragón	30-34	Hombres	337
Febrero 2019	Aragón	30-34	Mujeres	984
Febrero 2019	Aragón	35-39	Hombres	416
Febrero 2019	Aragón	35-39	Mujeres	1337
Febrero 2019	Aragón	40-44	Hombres	552
Febrero 2019	Aragón	40-44	Mujeres	1635
Febrero 2019	Aragón	45-49	Hombres	856
Febrero 2019	Aragón	45-49	Mujeres	1730
Febrero 2019	Aragón	50-54	Hombres	1160
Febrero 2019	Aragón	50-54	Mujeres	2014
Febrero 2019	Aragón	55-59	Hombres	1742
Febrero 2019	Aragón	55-59	Mujeres	2846
Febrero 2019	Aragón	60-64	Hombres	1745
Febrero 2019	Aragón	60-64	Mujeres	3348
Enero 2019	Aragón	16-19	Hombres	61
Enero 2019	Aragón	16-19	Mujeres	80
Enero 2019	Aragón	20-24	Hombres	189
Enero 2019	Aragón	20-24	Mujeres	272
Enero 2019	Aragón	25-29	Hombres	241
Enero 2019	Aragón	25-29	Mujeres	564
Enero 2019	Aragón	30-34	Hombres	347
Enero 2019	Aragón	30-34	Mujeres	1013
Enero 2019	Aragón	35-39	Hombres	418
Enero 2019	Aragón	35-39	Mujeres	1371
Enero 2019	Aragón	40-44	Hombres	579
Enero 2019	Aragón	40-44	Mujeres	1687
Enero 2019	Aragón	45-49	Hombres	916
Enero 2019	Aragón	45-49	Mujeres	1824
Enero 2019	Aragón	50-54	Hombres	1170
Enero 2019	Aragón	50-54	Mujeres	2085
Enero 2019	Aragón	55-59	Hombres	1803
Enero 2019	Aragón	55-59	Mujeres	2925
Enero 2019	Aragón	60-64	Hombres	1758
Enero 2019	Aragón	60-64	Mujeres	3346
Diciembre 2018	Aragón	16-19	Hombres	60
Diciembre 2018	Aragón	16-19	Mujeres	70
Diciembre 2018	Aragón	20-24	Hombres	176
Diciembre 2018	Aragón	20-24	Mujeres	277
Diciembre 2018	Aragón	25-29	Hombres	246
Diciembre 2018	Aragón	25-29	Mujeres	560
Diciembre 2018	Aragón	30-34	Hombres	337
Diciembre 2018	Aragón	30-34	Mujeres	977
Diciembre 2018	Aragón	35-39	Hombres	415
Diciembre 2018	Aragón	35-39	Mujeres	1353
Diciembre 2018	Aragón	40-44	Hombres	586
Diciembre 2018	Aragón	40-44	Mujeres	1672
Diciembre 2018	Aragón	45-49	Hombres	913
Diciembre 2018	Aragón	45-49	Mujeres	1852
Diciembre 2018	Aragón	50-54	Hombres	1171
Diciembre 2018	Aragón	50-54	Mujeres	2058
Diciembre 2018	Aragón	55-59	Hombres	1796
Diciembre 2018	Aragón	55-59	Mujeres	2916
Diciembre 2018	Aragón	60-64	Hombres	1744
Diciembre 2018	Aragón	60-64	Mujeres	3300
Noviembre 2018	Aragón	16-19	Hombres	52
Noviembre 2018	Aragón	16-19	Mujeres	67
Noviembre 2018	Aragón	20-24	Hombres	171
Noviembre 2018	Aragón	20-24	Mujeres	283
Noviembre 2018	Aragón	25-29	Hombres	249
Noviembre 2018	Aragón	25-29	Mujeres	569
Noviembre 2018	Aragón	30-34	Hombres	337
Noviembre 2018	Aragón	30-34	Mujeres	976
Noviembre 2018	Aragón	35-39	Hombres	421
Noviembre 2018	Aragón	35-39	Mujeres	1342
Noviembre 2018	Aragón	40-44	Hombres	589
Noviembre 2018	Aragón	40-44	Mujeres	1675
Noviembre 2018	Aragón	45-49	Hombres	917
Noviembre 2018	Aragón	45-49	Mujeres	1875
Noviembre 2018	Aragón	50-54	Hombres	1165
Noviembre 2018	Aragón	50-54	Mujeres	2062
Noviembre 2018	Aragón	55-59	Hombres	1779
Noviembre 2018	Aragón	55-59	Mujeres	2932
Noviembre 2018	Aragón	60-64	Hombres	1736
Noviembre 2018	Aragón	60-64	Mujeres	3294
Octubre 2018	Aragón	16-19	Hombres	50
Octubre 2018	Aragón	16-19	Mujeres	69
Octubre 2018	Aragón	20-24	Hombres	175
Octubre 2018	Aragón	20-24	Mujeres	273
Octubre 2018	Aragón	25-29	Hombres	255
Octubre 2018	Aragón	25-29	Mujeres	563
Octubre 2018	Aragón	30-34	Hombres	345
Octubre 2018	Aragón	30-34	Mujeres	976
Octubre 2018	Aragón	35-39	Hombres	428
Octubre 2018	Aragón	35-39	Mujeres	1345
Octubre 2018	Aragón	40-44	Hombres	586
Octubre 2018	Aragón	40-44	Mujeres	1674
Octubre 2018	Aragón	45-49	Hombres	936
Octubre 2018	Aragón	45-49	Mujeres	1859
Octubre 2018	Aragón	50-54	Hombres	1178
Octubre 2018	Aragón	50-54	Mujeres	2082
Octubre 2018	Aragón	55-59	Hombres	1800
Octubre 2018	Aragón	55-59	Mujeres	2949
Octubre 2018	Aragón	60-64	Hombres	1725
Octubre 2018	Aragón	60-64	Mujeres	3277
Septiembre 2018	Aragón	16-19	Hombres	54
Septiembre 2018	Aragón	16-19	Mujeres	69
Septiembre 2018	Aragón	20-24	Hombres	188
Septiembre 2018	Aragón	20-24	Mujeres	278
Septiembre 2018	Aragón	25-29	Hombres	265
Septiembre 2018	Aragón	25-29	Mujeres	563
Septiembre 2018	Aragón	30-34	Hombres	348
Septiembre 2018	Aragón	30-34	Mujeres	970
Septiembre 2018	Aragón	35-39	Hombres	452
Septiembre 2018	Aragón	35-39	Mujeres	1379
Septiembre 2018	Aragón	40-44	Hombres	609
Septiembre 2018	Aragón	40-44	Mujeres	1695
Septiembre 2018	Aragón	45-49	Hombres	950
Septiembre 2018	Aragón	45-49	Mujeres	1894
Septiembre 2018	Aragón	50-54	Hombres	1211
Septiembre 2018	Aragón	50-54	Mujeres	2095
Septiembre 2018	Aragón	55-59	Hombres	1858
Septiembre 2018	Aragón	55-59	Mujeres	2979
Septiembre 2018	Aragón	60-64	Hombres	1730
Septiembre 2018	Aragón	60-64	Mujeres	3298
Agosto 2018	Aragón	16-19	Hombres	60
Agosto 2018	Aragón	16-19	Mujeres	70
Agosto 2018	Aragón	20-24	Hombres	177
Agosto 2018	Aragón	20-24	Mujeres	279
Agosto 2018	Aragón	25-29	Hombres	251
Agosto 2018	Aragón	25-29	Mujeres	567
Agosto 2018	Aragón	30-34	Hombres	337
Agosto 2018	Aragón	30-34	Mujeres	982
Agosto 2018	Aragón	35-39	Hombres	459
Agosto 2018	Aragón	35-39	Mujeres	1387
Agosto 2018	Aragón	40-44	Hombres	615
Agosto 2018	Aragón	40-44	Mujeres	1677
Agosto 2018	Aragón	45-49	Hombres	921
Agosto 2018	Aragón	45-49	Mujeres	1881
Agosto 2018	Aragón	50-54	Hombres	1216
Agosto 2018	Aragón	50-54	Mujeres	2114
Agosto 2018	Aragón	55-59	Hombres	1878
Agosto 2018	Aragón	55-59	Mujeres	3027
Agosto 2018	Aragón	60-64	Hombres	1723
Agosto 2018	Aragón	60-64	Mujeres	3248
Julio 2018	Aragón	16-19	Hombres	68
Julio 2018	Aragón	16-19	Mujeres	70
Julio 2018	Aragón	20-24	Hombres	185
Julio 2018	Aragón	20-24	Mujeres	277
Julio 2018	Aragón	25-29	Hombres	250
Julio 2018	Aragón	25-29	Mujeres	573
Julio 2018	Aragón	30-34	Hombres	330
Julio 2018	Aragón	30-34	Mujeres	997
Julio 2018	Aragón	35-39	Hombres	471
Julio 2018	Aragón	35-39	Mujeres	1381
Julio 2018	Aragón	40-44	Hombres	627
Julio 2018	Aragón	40-44	Mujeres	1669
Julio 2018	Aragón	45-49	Hombres	919
Julio 2018	Aragón	45-49	Mujeres	1870
Julio 2018	Aragón	50-54	Hombres	1236
Julio 2018	Aragón	50-54	Mujeres	2101
Julio 2018	Aragón	55-59	Hombres	1898
Julio 2018	Aragón	55-59	Mujeres	3074
Julio 2018	Aragón	60-64	Hombres	1737
Julio 2018	Aragón	60-64	Mujeres	3226
Junio 2018	Aragón	16-19	Hombres	72
Junio 2018	Aragón	16-19	Mujeres	74
Junio 2018	Aragón	20-24	Hombres	193
Junio 2018	Aragón	20-24	Mujeres	291
Junio 2018	Aragón	25-29	Hombres	259
Junio 2018	Aragón	25-29	Mujeres	580
Junio 2018	Aragón	30-34	Hombres	351
Junio 2018	Aragón	30-34	Mujeres	1018
Junio 2018	Aragón	35-39	Hombres	469
Junio 2018	Aragón	35-39	Mujeres	1369
Junio 2018	Aragón	40-44	Hombres	626
Junio 2018	Aragón	40-44	Mujeres	1650
Junio 2018	Aragón	45-49	Hombres	931
Junio 2018	Aragón	45-49	Mujeres	1890
Junio 2018	Aragón	50-54	Hombres	1244
Junio 2018	Aragón	50-54	Mujeres	2140
Junio 2018	Aragón	55-59	Hombres	1907
Junio 2018	Aragón	55-59	Mujeres	3079
Junio 2018	Aragón	60-64	Hombres	1772
Junio 2018	Aragón	60-64	Mujeres	3239
