Mes y año	Comarca código	Comarca nombre	Sexo	Afiliaciones en alta
Mayo 2021	32	Gúdar-Javalambre	Hombres	22
Mayo 2021	33	Matarraña / Matarranya	Hombres	17
Mayo 2021	01	La Jacetania	Mujeres	4
Mayo 2021	02	Alto Gállego	Mujeres	7
Mayo 2021	03	Sobrarbe	Mujeres	2
Mayo 2021	04	La Ribagorza	Mujeres	8
Mayo 2021	05	Cinco Villas	Mujeres	15
Mayo 2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	17
Mayo 2021	07	Somontano de Barbastro	Mujeres	9
Mayo 2021	08	Cinca Medio	Mujeres	14
Mayo 2021	09	La Litera / La Llitera	Mujeres	8
Mayo 2021	10	Los Monegros	Mujeres	4
Mayo 2021	11	Bajo Cinca / Baix Cinca	Mujeres	9
Mayo 2021	12	Tarazona y el Moncayo	Mujeres	7
Mayo 2021	13	Campo de Borja	Mujeres	4
Mayo 2021	14	Aranda	Mujeres	2
Mayo 2021	15	Ribera Alta del Ebro	Mujeres	11
Mayo 2021	16	Valdejalón	Mujeres	13
Mayo 2021	17	Central	Mujeres	279
Mayo 2021	18	Ribera Baja del Ebro	Mujeres	5
Mayo 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	6
Mayo 2021	20	Comunidad de Calatayud	Mujeres	12
Mayo 2021	21	Campo de Cariñena	Mujeres	4
Mayo 2021	22	Campo de Belchite	Mujeres	4
Mayo 2021	23	Bajo Martín	Mujeres	2
Mayo 2021	24	Campo de Daroca	Mujeres	2
Mayo 2021	25	Jiloca	Mujeres	2
Mayo 2021	27	Andorra-Sierra de Arcos	Mujeres	2
Mayo 2021	28	Bajo Aragón	Mujeres	7
Mayo 2021	29	Comunidad de Teruel	Mujeres	20
Mayo 2021	30	Maestrazgo	Mujeres	2
Mayo 2021	31	Sierra de Albarracín	Mujeres	1
Mayo 2021	32	Gúdar-Javalambre	Mujeres	3
Mayo 2021	33	Matarraña / Matarranya	Mujeres	4
Mayo 2021	01	La Jacetania	Hombres	49
Mayo 2021	02	Alto Gállego	Hombres	26
Mayo 2021	03	Sobrarbe	Hombres	32
Mayo 2021	04	La Ribagorza	Hombres	45
Mayo 2021	05	Cinco Villas	Hombres	92
Mayo 2021	06	Hoya de Huesca / Plana de Uesca	Hombres	167
Mayo 2021	07	Somontano de Barbastro	Hombres	71
Mayo 2021	08	Cinca Medio	Hombres	46
Mayo 2021	09	La Litera / La Llitera	Hombres	38
Mayo 2021	10	Los Monegros	Hombres	82
Mayo 2021	11	Bajo Cinca / Baix Cinca	Hombres	64
Mayo 2021	12	Tarazona y el Moncayo	Hombres	18
Mayo 2021	13	Campo de Borja	Hombres	43
Mayo 2021	14	Aranda	Hombres	14
Mayo 2021	15	Ribera Alta del Ebro	Hombres	46
Mayo 2021	16	Valdejalón	Hombres	58
Mayo 2021	17	Central	Hombres	1245
Mayo 2021	18	Ribera Baja del Ebro	Hombres	17
Mayo 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	41
Mayo 2021	20	Comunidad de Calatayud	Hombres	75
Mayo 2021	21	Campo de Cariñena	Hombres	18
Mayo 2021	22	Campo de Belchite	Hombres	17
Mayo 2021	23	Bajo Martín	Hombres	16
Mayo 2021	24	Campo de Daroca	Hombres	23
Mayo 2021	25	Jiloca	Hombres	41
Mayo 2021	26	Cuencas Mineras	Hombres	16
Mayo 2021	27	Andorra-Sierra de Arcos	Hombres	20
Mayo 2021	28	Bajo Aragón	Hombres	78
Mayo 2021	29	Comunidad de Teruel	Hombres	115
Mayo 2021	30	Maestrazgo	Hombres	18
Mayo 2021	31	Sierra de Albarracín	Hombres	26
Mayo 2021	32	Gúdar-Javalambre	Hombres	26
Mayo 2021	33	Matarraña / Matarranya	Hombres	28
Mayo 2021	01	La Jacetania	Mujeres	14
Mayo 2021	02	Alto Gállego	Mujeres	16
Mayo 2021	03	Sobrarbe	Mujeres	14
Mayo 2021	04	La Ribagorza	Mujeres	20
Mayo 2021	05	Cinco Villas	Mujeres	45
Mayo 2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	63
Mayo 2021	07	Somontano de Barbastro	Mujeres	26
Mayo 2021	08	Cinca Medio	Mujeres	38
Mayo 2021	09	La Litera / La Llitera	Mujeres	20
Mayo 2021	10	Los Monegros	Mujeres	17
Mayo 2021	11	Bajo Cinca / Baix Cinca	Mujeres	22
Mayo 2021	12	Tarazona y el Moncayo	Mujeres	18
Mayo 2021	13	Campo de Borja	Mujeres	14
Mayo 2021	14	Aranda	Mujeres	6
Mayo 2021	15	Ribera Alta del Ebro	Mujeres	23
Mayo 2021	16	Valdejalón	Mujeres	30
Mayo 2021	17	Central	Mujeres	806
Mayo 2021	18	Ribera Baja del Ebro	Mujeres	11
Mayo 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	18
Mayo 2021	20	Comunidad de Calatayud	Mujeres	31
Mayo 2021	21	Campo de Cariñena	Mujeres	8
Mayo 2021	22	Campo de Belchite	Mujeres	6
Mayo 2021	23	Bajo Martín	Mujeres	6
Mayo 2021	24	Campo de Daroca	Mujeres	9
Mayo 2021	25	Jiloca	Mujeres	14
Mayo 2021	26	Cuencas Mineras	Mujeres	10
Mayo 2021	27	Andorra-Sierra de Arcos	Mujeres	6
Mayo 2021	28	Bajo Aragón	Mujeres	25
Mayo 2021	29	Comunidad de Teruel	Mujeres	74
Mayo 2021	30	Maestrazgo	Mujeres	7
Mayo 2021	31	Sierra de Albarracín	Mujeres	10
Mayo 2021	32	Gúdar-Javalambre	Mujeres	19
Mayo 2021	33	Matarraña / Matarranya	Mujeres	12
Mayo 2021	01	La Jacetania	Hombres	56
Mayo 2021	02	Alto Gállego	Hombres	31
Mayo 2021	03	Sobrarbe	Hombres	54
Mayo 2021	04	La Ribagorza	Hombres	63
Mayo 2021	05	Cinco Villas	Hombres	129
Mayo 2021	06	Hoya de Huesca / Plana de Uesca	Hombres	226
Mayo 2021	07	Somontano de Barbastro	Hombres	97
Mayo 2021	08	Cinca Medio	Hombres	79
Mayo 2021	09	La Litera / La Llitera	Hombres	65
Mayo 2021	10	Los Monegros	Hombres	115
Mayo 2021	11	Bajo Cinca / Baix Cinca	Hombres	113
Mayo 2021	12	Tarazona y el Moncayo	Hombres	36
Mayo 2021	13	Campo de Borja	Hombres	66
Mayo 2021	14	Aranda	Hombres	13
Mayo 2021	15	Ribera Alta del Ebro	Hombres	59
Mayo 2021	16	Valdejalón	Hombres	108
Mayo 2021	17	Central	Hombres	1938
Mayo 2021	18	Ribera Baja del Ebro	Hombres	33
Mayo 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	55
Mayo 2021	20	Comunidad de Calatayud	Hombres	113
Mayo 2021	21	Campo de Cariñena	Hombres	38
Mayo 2021	22	Campo de Belchite	Hombres	28
Mayo 2021	23	Bajo Martín	Hombres	30
Mayo 2021	24	Campo de Daroca	Hombres	32
Mayo 2021	25	Jiloca	Hombres	75
Mayo 2021	26	Cuencas Mineras	Hombres	26
Mayo 2021	27	Andorra-Sierra de Arcos	Hombres	27
Mayo 2021	28	Bajo Aragón	Hombres	118
Mayo 2021	29	Comunidad de Teruel	Hombres	159
Mayo 2021	30	Maestrazgo	Hombres	22
Mayo 2021	31	Sierra de Albarracín	Hombres	29
Mayo 2021	32	Gúdar-Javalambre	Hombres	53
Mayo 2021	33	Matarraña / Matarranya	Hombres	61
Mayo 2021	01	La Jacetania	Mujeres	31
Mayo 2021	02	Alto Gállego	Mujeres	40
Mayo 2021	03	Sobrarbe	Mujeres	34
Mayo 2021	04	La Ribagorza	Mujeres	33
Mayo 2021	05	Cinco Villas	Mujeres	58
Mayo 2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	123
Mayo 2021	07	Somontano de Barbastro	Mujeres	45
Mayo 2021	08	Cinca Medio	Mujeres	64
Mayo 2021	09	La Litera / La Llitera	Mujeres	36
Mayo 2021	10	Los Monegros	Mujeres	37
Mayo 2021	11	Bajo Cinca / Baix Cinca	Mujeres	43
Mayo 2021	12	Tarazona y el Moncayo	Mujeres	26
Mayo 2021	13	Campo de Borja	Mujeres	35
Mayo 2021	14	Aranda	Mujeres	8
Mayo 2021	15	Ribera Alta del Ebro	Mujeres	47
Mayo 2021	16	Valdejalón	Mujeres	41
Mayo 2021	17	Central	Mujeres	1337
Mayo 2021	18	Ribera Baja del Ebro	Mujeres	14
Mayo 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	31
Mayo 2021	20	Comunidad de Calatayud	Mujeres	59
Mayo 2021	21	Campo de Cariñena	Mujeres	8
Mayo 2021	22	Campo de Belchite	Mujeres	9
Mayo 2021	23	Bajo Martín	Mujeres	4
Mayo 2021	24	Campo de Daroca	Mujeres	11
Mayo 2021	25	Jiloca	Mujeres	33
Mayo 2021	26	Cuencas Mineras	Mujeres	14
Mayo 2021	27	Andorra-Sierra de Arcos	Mujeres	9
Mayo 2021	28	Bajo Aragón	Mujeres	68
Mayo 2021	29	Comunidad de Teruel	Mujeres	96
Mayo 2021	30	Maestrazgo	Mujeres	21
Mayo 2021	31	Sierra de Albarracín	Mujeres	14
Mayo 2021	32	Gúdar-Javalambre	Mujeres	25
Mayo 2021	33	Matarraña / Matarranya	Mujeres	33
Mayo 2021	01	La Jacetania	Hombres	76
Mayo 2021	02	Alto Gállego	Hombres	72
Mayo 2021	03	Sobrarbe	Hombres	66
Mayo 2021	04	La Ribagorza	Hombres	79
Mayo 2021	05	Cinco Villas	Hombres	167
Mayo 2021	06	Hoya de Huesca / Plana de Uesca	Hombres	345
Mayo 2021	07	Somontano de Barbastro	Hombres	157
Mayo 2021	08	Cinca Medio	Hombres	151
Mayo 2021	09	La Litera / La Llitera	Hombres	117
Mayo 2021	10	Los Monegros	Hombres	162
Mayo 2021	11	Bajo Cinca / Baix Cinca	Hombres	129
Mayo 2021	12	Tarazona y el Moncayo	Hombres	43
Mayo 2021	13	Campo de Borja	Hombres	96
Mayo 2021	14	Aranda	Hombres	34
Mayo 2021	15	Ribera Alta del Ebro	Hombres	94
Mayo 2021	16	Valdejalón	Hombres	150
Mayo 2021	17	Central	Hombres	2941
Mayo 2021	18	Ribera Baja del Ebro	Hombres	33
Mayo 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	110
Mayo 2021	20	Comunidad de Calatayud	Hombres	175
Mayo 2021	21	Campo de Cariñena	Hombres	52
Mayo 2021	22	Campo de Belchite	Hombres	23
Mayo 2021	23	Bajo Martín	Hombres	25
Mayo 2021	24	Campo de Daroca	Hombres	30
Mayo 2021	25	Jiloca	Hombres	81
Mayo 2021	26	Cuencas Mineras	Hombres	22
Mayo 2021	27	Andorra-Sierra de Arcos	Hombres	39
Mayo 2021	28	Bajo Aragón	Hombres	186
Mayo 2021	29	Comunidad de Teruel	Hombres	256
Mayo 2021	30	Maestrazgo	Hombres	32
Mayo 2021	31	Sierra de Albarracín	Hombres	29
Mayo 2021	32	Gúdar-Javalambre	Hombres	62
Mayo 2021	33	Matarraña / Matarranya	Hombres	87
Mayo 2021	01	La Jacetania	Mujeres	56
Mayo 2021	02	Alto Gállego	Mujeres	52
Mayo 2021	03	Sobrarbe	Mujeres	31
Mayo 2021	04	La Ribagorza	Mujeres	56
Mayo 2021	05	Cinco Villas	Mujeres	92
Mayo 2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	192
Mayo 2021	07	Somontano de Barbastro	Mujeres	65
Mayo 2021	08	Cinca Medio	Mujeres	71
Mayo 2021	09	La Litera / La Llitera	Mujeres	48
Mayo 2021	10	Los Monegros	Mujeres	60
Mayo 2021	11	Bajo Cinca / Baix Cinca	Mujeres	64
Mayo 2021	12	Tarazona y el Moncayo	Mujeres	30
Mayo 2021	13	Campo de Borja	Mujeres	40
Mayo 2021	14	Aranda	Mujeres	17
Mayo 2021	15	Ribera Alta del Ebro	Mujeres	55
Mayo 2021	16	Valdejalón	Mujeres	62
Mayo 2021	17	Central	Mujeres	1892
Mayo 2021	18	Ribera Baja del Ebro	Mujeres	28
Mayo 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	56
Mayo 2021	20	Comunidad de Calatayud	Mujeres	82
Mayo 2021	21	Campo de Cariñena	Mujeres	32
Mayo 2021	22	Campo de Belchite	Mujeres	7
Mayo 2021	23	Bajo Martín	Mujeres	12
Mayo 2021	24	Campo de Daroca	Mujeres	15
Mayo 2021	25	Jiloca	Mujeres	45
Mayo 2021	26	Cuencas Mineras	Mujeres	23
Mayo 2021	27	Andorra-Sierra de Arcos	Mujeres	22
Mayo 2021	28	Bajo Aragón	Mujeres	84
Mayo 2021	29	Comunidad de Teruel	Mujeres	155
Mayo 2021	30	Maestrazgo	Mujeres	9
Mayo 2021	31	Sierra de Albarracín	Mujeres	14
Mayo 2021	32	Gúdar-Javalambre	Mujeres	37
Mayo 2021	33	Matarraña / Matarranya	Mujeres	42
Mayo 2021	01	La Jacetania	Hombres	143
Mayo 2021	02	Alto Gállego	Hombres	105
Mayo 2021	03	Sobrarbe	Hombres	108
Mayo 2021	04	La Ribagorza	Hombres	119
Mayo 2021	05	Cinco Villas	Hombres	272
Mayo 2021	06	Hoya de Huesca / Plana de Uesca	Hombres	500
Mayo 2021	07	Somontano de Barbastro	Hombres	205
Mayo 2021	08	Cinca Medio	Hombres	178
Mayo 2021	09	La Litera / La Llitera	Hombres	189
Mayo 2021	10	Los Monegros	Hombres	256
Mayo 2021	11	Bajo Cinca / Baix Cinca	Hombres	227
Mayo 2021	12	Tarazona y el Moncayo	Hombres	74
Mayo 2021	13	Campo de Borja	Hombres	95
Mayo 2021	14	Aranda	Hombres	46
Mayo 2021	15	Ribera Alta del Ebro	Hombres	152
Mayo 2021	16	Valdejalón	Hombres	243
Mayo 2021	17	Central	Hombres	4358
Mayo 2021	18	Ribera Baja del Ebro	Hombres	62
Mayo 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	146
Mayo 2021	20	Comunidad de Calatayud	Hombres	219
Mayo 2021	21	Campo de Cariñena	Hombres	78
Mayo 2021	22	Campo de Belchite	Hombres	32
Mayo 2021	23	Bajo Martín	Hombres	40
Mayo 2021	24	Campo de Daroca	Hombres	53
Mayo 2021	25	Jiloca	Hombres	128
Mayo 2021	26	Cuencas Mineras	Hombres	38
Mayo 2021	27	Andorra-Sierra de Arcos	Hombres	59
Mayo 2021	28	Bajo Aragón	Hombres	239
Mayo 2021	29	Comunidad de Teruel	Hombres	305
Mayo 2021	30	Maestrazgo	Hombres	42
Mayo 2021	31	Sierra de Albarracín	Hombres	30
Mayo 2021	32	Gúdar-Javalambre	Hombres	70
Mayo 2021	33	Matarraña / Matarranya	Hombres	96
Mayo 2021	01	La Jacetania	Mujeres	93
Mayo 2021	02	Alto Gállego	Mujeres	60
Mayo 2021	03	Sobrarbe	Mujeres	55
Mayo 2021	04	La Ribagorza	Mujeres	65
Mayo 2021	05	Cinco Villas	Mujeres	190
Mayo 2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	259
Mayo 2021	07	Somontano de Barbastro	Mujeres	89
Mayo 2021	08	Cinca Medio	Mujeres	112
Mayo 2021	09	La Litera / La Llitera	Mujeres	65
Mayo 2021	10	Los Monegros	Mujeres	91
Mayo 2021	11	Bajo Cinca / Baix Cinca	Mujeres	102
Mayo 2021	12	Tarazona y el Moncayo	Mujeres	47
Mayo 2021	13	Campo de Borja	Mujeres	54
Mayo 2021	14	Aranda	Mujeres	16
Mayo 2021	15	Ribera Alta del Ebro	Mujeres	86
Mayo 2021	16	Valdejalón	Mujeres	110
Mayo 2021	17	Central	Mujeres	2397
Mayo 2021	18	Ribera Baja del Ebro	Mujeres	31
Mayo 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	67
Mayo 2021	20	Comunidad de Calatayud	Mujeres	108
Mayo 2021	21	Campo de Cariñena	Mujeres	37
Mayo 2021	22	Campo de Belchite	Mujeres	19
Mayo 2021	23	Bajo Martín	Mujeres	25
Mayo 2021	24	Campo de Daroca	Mujeres	22
Mayo 2021	25	Jiloca	Mujeres	47
Mayo 2021	26	Cuencas Mineras	Mujeres	19
Mayo 2021	27	Andorra-Sierra de Arcos	Mujeres	25
Mayo 2021	28	Bajo Aragón	Mujeres	132
Mayo 2021	29	Comunidad de Teruel	Mujeres	160
Mayo 2021	30	Maestrazgo	Mujeres	16
Mayo 2021	31	Sierra de Albarracín	Mujeres	14
Mayo 2021	32	Gúdar-Javalambre	Mujeres	35
Mayo 2021	33	Matarraña / Matarranya	Mujeres	45
Mayo 2021	01	La Jacetania	Hombres	174
Mayo 2021	02	Alto Gállego	Hombres	109
Mayo 2021	03	Sobrarbe	Hombres	117
Mayo 2021	04	La Ribagorza	Hombres	149
Mayo 2021	05	Cinco Villas	Hombres	327
Mayo 2021	06	Hoya de Huesca / Plana de Uesca	Hombres	595
Mayo 2021	07	Somontano de Barbastro	Hombres	214
Mayo 2021	08	Cinca Medio	Hombres	193
Mayo 2021	09	La Litera / La Llitera	Hombres	206
Mayo 2021	10	Los Monegros	Hombres	236
Mayo 2021	11	Bajo Cinca / Baix Cinca	Hombres	258
Mayo 2021	12	Tarazona y el Moncayo	Hombres	102
Mayo 2021	13	Campo de Borja	Hombres	151
Mayo 2021	14	Aranda	Hombres	64
Mayo 2021	15	Ribera Alta del Ebro	Hombres	204
Mayo 2021	16	Valdejalón	Hombres	267
Mayo 2021	17	Central	Hombres	5127
Mayo 2021	18	Ribera Baja del Ebro	Hombres	70
Mayo 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	164
Mayo 2021	20	Comunidad de Calatayud	Hombres	301
Mayo 2021	21	Campo de Cariñena	Hombres	96
Mayo 2021	22	Campo de Belchite	Hombres	47
Mayo 2021	23	Bajo Martín	Hombres	55
Mayo 2021	24	Campo de Daroca	Hombres	62
Mayo 2021	25	Jiloca	Hombres	138
Mayo 2021	26	Cuencas Mineras	Hombres	45
Mayo 2021	27	Andorra-Sierra de Arcos	Hombres	75
Mayo 2021	28	Bajo Aragón	Hombres	312
Mayo 2021	29	Comunidad de Teruel	Hombres	350
Mayo 2021	30	Maestrazgo	Hombres	45
Mayo 2021	31	Sierra de Albarracín	Hombres	50
Mayo 2021	32	Gúdar-Javalambre	Hombres	96
Mayo 2021	33	Matarraña / Matarranya	Hombres	126
Mayo 2021	01	La Jacetania	Mujeres	111
Mayo 2021	02	Alto Gállego	Mujeres	69
Mayo 2021	03	Sobrarbe	Mujeres	57
Mayo 2021	04	La Ribagorza	Mujeres	59
Mayo 2021	05	Cinco Villas	Mujeres	166
Mayo 2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	250
Mayo 2021	07	Somontano de Barbastro	Mujeres	115
Mayo 2021	08	Cinca Medio	Mujeres	139
Mayo 2021	09	La Litera / La Llitera	Mujeres	100
Mayo 2021	10	Los Monegros	Mujeres	99
Mayo 2021	11	Bajo Cinca / Baix Cinca	Mujeres	135
Mayo 2021	12	Tarazona y el Moncayo	Mujeres	70
Mayo 2021	13	Campo de Borja	Mujeres	67
Mayo 2021	14	Aranda	Mujeres	30
Mayo 2021	15	Ribera Alta del Ebro	Mujeres	103
Mayo 2021	16	Valdejalón	Mujeres	94
Mayo 2021	17	Central	Mujeres	2846
Mayo 2021	18	Ribera Baja del Ebro	Mujeres	37
Mayo 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	79
Mayo 2021	20	Comunidad de Calatayud	Mujeres	140
Mayo 2021	21	Campo de Cariñena	Mujeres	42
Mayo 2021	22	Campo de Belchite	Mujeres	25
Mayo 2021	23	Bajo Martín	Mujeres	28
Mayo 2021	24	Campo de Daroca	Mujeres	29
Mayo 2021	25	Jiloca	Mujeres	59
Mayo 2021	26	Cuencas Mineras	Mujeres	16
Mayo 2021	27	Andorra-Sierra de Arcos	Mujeres	41
Mayo 2021	28	Bajo Aragón	Mujeres	157
Mayo 2021	29	Comunidad de Teruel	Mujeres	167
Mayo 2021	30	Maestrazgo	Mujeres	19
Mayo 2021	31	Sierra de Albarracín	Mujeres	28
Mayo 2021	32	Gúdar-Javalambre	Mujeres	43
Mayo 2021	33	Matarraña / Matarranya	Mujeres	66
Mayo 2021	01	La Jacetania	Hombres	177
Mayo 2021	02	Alto Gállego	Hombres	127
Mayo 2021	03	Sobrarbe	Hombres	89
Mayo 2021	04	La Ribagorza	Hombres	166
Mayo 2021	05	Cinco Villas	Hombres	391
Mayo 2021	06	Hoya de Huesca / Plana de Uesca	Hombres	538
Mayo 2021	07	Somontano de Barbastro	Hombres	240
Mayo 2021	08	Cinca Medio	Hombres	187
Mayo 2021	09	La Litera / La Llitera	Hombres	243
Mayo 2021	10	Los Monegros	Hombres	276
Mayo 2021	11	Bajo Cinca / Baix Cinca	Hombres	268
Mayo 2021	12	Tarazona y el Moncayo	Hombres	111
Mayo 2021	13	Campo de Borja	Hombres	138
Mayo 2021	14	Aranda	Hombres	68
Mayo 2021	15	Ribera Alta del Ebro	Hombres	150
Mayo 2021	16	Valdejalón	Hombres	278
Mayo 2021	17	Central	Hombres	4733
Mayo 2021	18	Ribera Baja del Ebro	Hombres	75
Mayo 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	170
Mayo 2021	20	Comunidad de Calatayud	Hombres	396
Mayo 2021	21	Campo de Cariñena	Hombres	112
Mayo 2021	22	Campo de Belchite	Hombres	58
Mayo 2021	23	Bajo Martín	Hombres	58
Mayo 2021	24	Campo de Daroca	Hombres	80
Mayo 2021	25	Jiloca	Hombres	149
Mayo 2021	26	Cuencas Mineras	Hombres	65
Mayo 2021	27	Andorra-Sierra de Arcos	Hombres	76
Mayo 2021	28	Bajo Aragón	Hombres	274
Mayo 2021	29	Comunidad de Teruel	Hombres	369
Mayo 2021	30	Maestrazgo	Hombres	54
Mayo 2021	31	Sierra de Albarracín	Hombres	42
Mayo 2021	32	Gúdar-Javalambre	Hombres	103
Mayo 2021	33	Matarraña / Matarranya	Hombres	127
Mayo 2021	01	La Jacetania	Mujeres	109
Mayo 2021	02	Alto Gállego	Mujeres	72
Mayo 2021	03	Sobrarbe	Mujeres	53
Mayo 2021	04	La Ribagorza	Mujeres	84
Mayo 2021	05	Cinco Villas	Mujeres	182
Mayo 2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	264
Mayo 2021	07	Somontano de Barbastro	Mujeres	131
Mayo 2021	08	Cinca Medio	Mujeres	142
Mayo 2021	09	La Litera / La Llitera	Mujeres	122
Mayo 2021	10	Los Monegros	Mujeres	123
Mayo 2021	11	Bajo Cinca / Baix Cinca	Mujeres	122
Mayo 2021	12	Tarazona y el Moncayo	Mujeres	63
Mayo 2021	13	Campo de Borja	Mujeres	80
Mayo 2021	14	Aranda	Mujeres	22
Mayo 2021	15	Ribera Alta del Ebro	Mujeres	102
Mayo 2021	16	Valdejalón	Mujeres	123
Mayo 2021	17	Central	Mujeres	2790
Mayo 2021	18	Ribera Baja del Ebro	Mujeres	53
Mayo 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	75
Mayo 2021	20	Comunidad de Calatayud	Mujeres	163
Mayo 2021	21	Campo de Cariñena	Mujeres	40
Mayo 2021	22	Campo de Belchite	Mujeres	32
Mayo 2021	23	Bajo Martín	Mujeres	40
Mayo 2021	24	Campo de Daroca	Mujeres	28
Mayo 2021	25	Jiloca	Mujeres	80
