Comarca código	Comarca nombre	Tipo estudios	Edad	Sexo	Personas residentes viviendas familiares
01	La Jacetania	Otros Servicios	45 a 64	Mujeres	15
01	La Jacetania	Otros Servicios	65 y más	Mujeres	2
01	La Jacetania	Otros Servicios	25 a 44	Hombres	120
01	La Jacetania	Otros Servicios	45 a 64	Hombres	47
01	La Jacetania	Otros Servicios	65 y más	Hombres	16
02	Alto Gállego	Derecho	25 a 44	Mujeres	47
02	Alto Gállego	Derecho	45 a 64	Mujeres	3
02	Alto Gállego	Derecho	65 y más	Mujeres	2
02	Alto Gállego	Derecho	25 a 44	Hombres	36
02	Alto Gállego	Derecho	45 a 64	Hombres	11
02	Alto Gállego	Derecho	65 y más	Hombres	2
02	Alto Gállego	Magisterio, Educación infantil...	25 a 44	Mujeres	111
02	Alto Gállego	Magisterio, Educación infantil...	45 a 64	Mujeres	66
02	Alto Gállego	Magisterio, Educación infantil...	65 y más	Mujeres	18
02	Alto Gállego	Magisterio, Educación infantil...	25 a 44	Hombres	27
02	Alto Gállego	Magisterio, Educación infantil...	45 a 64	Hombres	17
02	Alto Gállego	Magisterio, Educación infantil...	65 y más	Hombres	7
02	Alto Gállego	Ciencias Sociales	25 a 44	Mujeres	284
02	Alto Gállego	Ciencias Sociales	45 a 64	Mujeres	29
02	Alto Gállego	Ciencias Sociales	65 y más	Mujeres	2
02	Alto Gállego	Ciencias Sociales	25 a 44	Hombres	112
02	Alto Gállego	Ciencias Sociales	45 a 64	Hombres	26
02	Alto Gállego	Ciencias Sociales	65 y más	Hombres	9
02	Alto Gállego	Artes y Humanidades	25 a 44	Mujeres	75
02	Alto Gállego	Artes y Humanidades	45 a 64	Mujeres	20
02	Alto Gállego	Artes y Humanidades	65 y más	Mujeres	2
02	Alto Gállego	Artes y Humanidades	25 a 44	Hombres	33
02	Alto Gállego	Artes y Humanidades	45 a 64	Hombres	13
02	Alto Gállego	Artes y Humanidades	65 y más	Hombres	2
02	Alto Gállego	Informática	25 a 44	Mujeres	13
02	Alto Gállego	Informática	45 a 64	Mujeres	2
02	Alto Gállego	Informática	25 a 44	Hombres	18
02	Alto Gállego	Informática	45 a 64	Hombres	3
02	Alto Gállego	Ingenierías	25 a 44	Mujeres	20
02	Alto Gállego	Ingenierías	45 a 64	Mujeres	3
02	Alto Gállego	Ingenierías	25 a 44	Hombres	98
02	Alto Gállego	Ingenierías	45 a 64	Hombres	35
02	Alto Gállego	Ingenierías	65 y más	Hombres	4
02	Alto Gállego	Formación Técnica e Industrial	25 a 44	Mujeres	96
02	Alto Gállego	Formación Técnica e Industrial	45 a 64	Mujeres	13
02	Alto Gállego	Formación Técnica e Industrial	65 y más	Mujeres	1
02	Alto Gállego	Formación Técnica e Industrial	25 a 44	Hombres	319
02	Alto Gállego	Formación Técnica e Industrial	45 a 64	Hombres	122
02	Alto Gállego	Formación Técnica e Industrial	65 y más	Hombres	7
02	Alto Gállego	Ciencias	25 a 44	Mujeres	53
02	Alto Gállego	Ciencias	45 a 64	Mujeres	2
02	Alto Gállego	Ciencias	25 a 44	Hombres	56
02	Alto Gállego	Ciencias	45 a 64	Hombres	22
02	Alto Gállego	Ciencias	65 y más	Hombres	2
02	Alto Gállego	Arquitectura o Construcción	25 a 44	Mujeres	12
02	Alto Gállego	Arquitectura o Construcción	45 a 64	Mujeres	2
02	Alto Gállego	Arquitectura o Construcción	25 a 44	Hombres	6
02	Alto Gállego	Arquitectura o Construcción	45 a 64	Hombres	11
02	Alto Gállego	Arquitectura o Construcción	65 y más	Hombres	2
02	Alto Gállego	Agricultura, Veterinaria,...	25 a 44	Mujeres	14
02	Alto Gállego	Agricultura, Veterinaria,...	45 a 64	Mujeres	2
02	Alto Gállego	Agricultura, Veterinaria,...	25 a 44	Hombres	37
02	Alto Gállego	Agricultura, Veterinaria,...	45 a 64	Hombres	11
02	Alto Gállego	Agricultura, Veterinaria,...	65 y más	Hombres	1
02	Alto Gállego	Salud, Servicios Sociales	25 a 44	Mujeres	127
02	Alto Gállego	Salud, Servicios Sociales	45 a 64	Mujeres	31
02	Alto Gállego	Salud, Servicios Sociales	65 y más	Mujeres	1
02	Alto Gállego	Salud, Servicios Sociales	25 a 44	Hombres	27
02	Alto Gállego	Salud, Servicios Sociales	45 a 64	Hombres	13
02	Alto Gállego	Salud, Servicios Sociales	65 y más	Hombres	4
02	Alto Gállego	Otros Servicios	25 a 44	Mujeres	122
02	Alto Gállego	Otros Servicios	45 a 64	Mujeres	9
02	Alto Gállego	Otros Servicios	25 a 44	Hombres	52
02	Alto Gállego	Otros Servicios	45 a 64	Hombres	16
02	Alto Gállego	Otros Servicios	65 y más	Hombres	2
03	Sobrarbe	Derecho	25 a 44	Mujeres	20
03	Sobrarbe	Derecho	45 a 64	Mujeres	3
03	Sobrarbe	Derecho	25 a 44	Hombres	13
03	Sobrarbe	Derecho	45 a 64	Hombres	1
03	Sobrarbe	Derecho	65 y más	Hombres	2
03	Sobrarbe	Magisterio, Educación infantil...	25 a 44	Mujeres	60
03	Sobrarbe	Magisterio, Educación infantil...	45 a 64	Mujeres	27
03	Sobrarbe	Magisterio, Educación infantil...	65 y más	Mujeres	9
03	Sobrarbe	Magisterio, Educación infantil...	25 a 44	Hombres	18
03	Sobrarbe	Magisterio, Educación infantil...	45 a 64	Hombres	24
03	Sobrarbe	Magisterio, Educación infantil...	65 y más	Hombres	2
03	Sobrarbe	Ciencias Sociales	25 a 44	Mujeres	110
03	Sobrarbe	Ciencias Sociales	45 a 64	Mujeres	8
03	Sobrarbe	Ciencias Sociales	65 y más	Mujeres	1
03	Sobrarbe	Ciencias Sociales	25 a 44	Hombres	44
03	Sobrarbe	Ciencias Sociales	45 a 64	Hombres	21
03	Sobrarbe	Artes y Humanidades	25 a 44	Mujeres	30
03	Sobrarbe	Artes y Humanidades	45 a 64	Mujeres	11
03	Sobrarbe	Artes y Humanidades	25 a 44	Hombres	20
03	Sobrarbe	Artes y Humanidades	45 a 64	Hombres	10
03	Sobrarbe	Artes y Humanidades	65 y más	Hombres	2
03	Sobrarbe	Informática	25 a 44	Mujeres	4
03	Sobrarbe	Informática	25 a 44	Hombres	8
03	Sobrarbe	Ingenierías	25 a 44	Mujeres	8
03	Sobrarbe	Ingenierías	45 a 64	Mujeres	1
03	Sobrarbe	Ingenierías	25 a 44	Hombres	40
03	Sobrarbe	Ingenierías	45 a 64	Hombres	9
03	Sobrarbe	Ingenierías	65 y más	Hombres	7
03	Sobrarbe	Formación Técnica e Industrial	25 a 44	Mujeres	16
03	Sobrarbe	Formación Técnica e Industrial	45 a 64	Mujeres	4
03	Sobrarbe	Formación Técnica e Industrial	65 y más	Mujeres	1
03	Sobrarbe	Formación Técnica e Industrial	25 a 44	Hombres	131
03	Sobrarbe	Formación Técnica e Industrial	45 a 64	Hombres	28
03	Sobrarbe	Formación Técnica e Industrial	65 y más	Hombres	1
03	Sobrarbe	Ciencias	25 a 44	Mujeres	15
03	Sobrarbe	Ciencias	45 a 64	Mujeres	1
03	Sobrarbe	Ciencias	25 a 44	Hombres	25
03	Sobrarbe	Ciencias	45 a 64	Hombres	6
03	Sobrarbe	Arquitectura o Construcción	25 a 44	Mujeres	3
03	Sobrarbe	Arquitectura o Construcción	45 a 64	Mujeres	2
03	Sobrarbe	Arquitectura o Construcción	25 a 44	Hombres	6
03	Sobrarbe	Arquitectura o Construcción	45 a 64	Hombres	2
03	Sobrarbe	Arquitectura o Construcción	65 y más	Hombres	1
03	Sobrarbe	Agricultura, Veterinaria,...	25 a 44	Mujeres	5
03	Sobrarbe	Agricultura, Veterinaria,...	45 a 64	Mujeres	1
03	Sobrarbe	Agricultura, Veterinaria,...	25 a 44	Hombres	59
03	Sobrarbe	Agricultura, Veterinaria,...	45 a 64	Hombres	12
03	Sobrarbe	Salud, Servicios Sociales	25 a 44	Mujeres	52
03	Sobrarbe	Salud, Servicios Sociales	45 a 64	Mujeres	18
03	Sobrarbe	Salud, Servicios Sociales	65 y más	Mujeres	2
03	Sobrarbe	Salud, Servicios Sociales	25 a 44	Hombres	17
03	Sobrarbe	Salud, Servicios Sociales	45 a 64	Hombres	13
03	Sobrarbe	Salud, Servicios Sociales	65 y más	Hombres	3
03	Sobrarbe	Otros Servicios	25 a 44	Mujeres	47
03	Sobrarbe	Otros Servicios	45 a 64	Mujeres	3
03	Sobrarbe	Otros Servicios	25 a 44	Hombres	34
03	Sobrarbe	Otros Servicios	45 a 64	Hombres	5
03	Sobrarbe	Otros Servicios	65 y más	Hombres	1
04	La Ribagorza	Derecho	25 a 44	Mujeres	49
04	La Ribagorza	Derecho	65 y más	Mujeres	1
04	La Ribagorza	Derecho	25 a 44	Hombres	24
04	La Ribagorza	Derecho	45 a 64	Hombres	7
04	La Ribagorza	Derecho	65 y más	Hombres	3
04	La Ribagorza	Magisterio, Educación infantil...	25 a 44	Mujeres	129
04	La Ribagorza	Magisterio, Educación infantil...	45 a 64	Mujeres	51
04	La Ribagorza	Magisterio, Educación infantil...	65 y más	Mujeres	24
04	La Ribagorza	Magisterio, Educación infantil...	25 a 44	Hombres	21
04	La Ribagorza	Magisterio, Educación infantil...	45 a 64	Hombres	22
04	La Ribagorza	Magisterio, Educación infantil...	65 y más	Hombres	10
04	La Ribagorza	Ciencias Sociales	25 a 44	Mujeres	194
04	La Ribagorza	Ciencias Sociales	45 a 64	Mujeres	28
04	La Ribagorza	Ciencias Sociales	65 y más	Mujeres	2
04	La Ribagorza	Ciencias Sociales	25 a 44	Hombres	114
04	La Ribagorza	Ciencias Sociales	45 a 64	Hombres	19
04	La Ribagorza	Ciencias Sociales	65 y más	Hombres	8
04	La Ribagorza	Artes y Humanidades	25 a 44	Mujeres	63
04	La Ribagorza	Artes y Humanidades	45 a 64	Mujeres	19
04	La Ribagorza	Artes y Humanidades	25 a 44	Hombres	32
04	La Ribagorza	Artes y Humanidades	45 a 64	Hombres	9
04	La Ribagorza	Artes y Humanidades	65 y más	Hombres	6
04	La Ribagorza	Informática	25 a 44	Mujeres	17
04	La Ribagorza	Informática	25 a 44	Hombres	23
04	La Ribagorza	Informática	45 a 64	Hombres	4
04	La Ribagorza	Ingenierías	25 a 44	Mujeres	29
04	La Ribagorza	Ingenierías	25 a 44	Hombres	70
04	La Ribagorza	Ingenierías	45 a 64	Hombres	19
04	La Ribagorza	Ingenierías	65 y más	Hombres	7
04	La Ribagorza	Formación Técnica e Industrial	25 a 44	Mujeres	49
04	La Ribagorza	Formación Técnica e Industrial	45 a 64	Mujeres	11
04	La Ribagorza	Formación Técnica e Industrial	65 y más	Mujeres	2
04	La Ribagorza	Formación Técnica e Industrial	25 a 44	Hombres	268
04	La Ribagorza	Formación Técnica e Industrial	45 a 64	Hombres	52
04	La Ribagorza	Formación Técnica e Industrial	65 y más	Hombres	8
04	La Ribagorza	Ciencias	25 a 44	Mujeres	18
04	La Ribagorza	Ciencias	45 a 64	Mujeres	4
04	La Ribagorza	Ciencias	65 y más	Mujeres	1
04	La Ribagorza	Ciencias	25 a 44	Hombres	16
04	La Ribagorza	Ciencias	45 a 64	Hombres	10
04	La Ribagorza	Arquitectura o Construcción	25 a 44	Mujeres	7
04	La Ribagorza	Arquitectura o Construcción	45 a 64	Mujeres	1
04	La Ribagorza	Arquitectura o Construcción	25 a 44	Hombres	28
04	La Ribagorza	Arquitectura o Construcción	45 a 64	Hombres	6
04	La Ribagorza	Arquitectura o Construcción	65 y más	Hombres	2
04	La Ribagorza	Agricultura, Veterinaria,...	25 a 44	Mujeres	16
04	La Ribagorza	Agricultura, Veterinaria,...	45 a 64	Mujeres	1
04	La Ribagorza	Agricultura, Veterinaria,...	25 a 44	Hombres	100
04	La Ribagorza	Agricultura, Veterinaria,...	45 a 64	Hombres	16
04	La Ribagorza	Agricultura, Veterinaria,...	65 y más	Hombres	3
04	La Ribagorza	Salud, Servicios Sociales	25 a 44	Mujeres	116
04	La Ribagorza	Salud, Servicios Sociales	45 a 64	Mujeres	18
04	La Ribagorza	Salud, Servicios Sociales	65 y más	Mujeres	10
04	La Ribagorza	Salud, Servicios Sociales	25 a 44	Hombres	40
04	La Ribagorza	Salud, Servicios Sociales	45 a 64	Hombres	18
04	La Ribagorza	Salud, Servicios Sociales	65 y más	Hombres	4
04	La Ribagorza	Otros Servicios	25 a 44	Mujeres	96
04	La Ribagorza	Otros Servicios	45 a 64	Mujeres	10
04	La Ribagorza	Otros Servicios	65 y más	Mujeres	1
04	La Ribagorza	Otros Servicios	25 a 44	Hombres	44
04	La Ribagorza	Otros Servicios	45 a 64	Hombres	9
04	La Ribagorza	Otros Servicios	65 y más	Hombres	3
05	Cinco Villas	Derecho	25 a 44	Mujeres	79
05	Cinco Villas	Derecho	45 a 64	Mujeres	9
05	Cinco Villas	Derecho	25 a 44	Hombres	64
05	Cinco Villas	Derecho	45 a 64	Hombres	12
05	Cinco Villas	Derecho	65 y más	Hombres	5
05	Cinco Villas	Magisterio, Educación infantil...	25 a 44	Mujeres	227
05	Cinco Villas	Magisterio, Educación infantil...	45 a 64	Mujeres	83
05	Cinco Villas	Magisterio, Educación infantil...	65 y más	Mujeres	33
05	Cinco Villas	Magisterio, Educación infantil...	25 a 44	Hombres	68
05	Cinco Villas	Magisterio, Educación infantil...	45 a 64	Hombres	51
05	Cinco Villas	Magisterio, Educación infantil...	65 y más	Hombres	10
05	Cinco Villas	Ciencias Sociales	25 a 44	Mujeres	433
05	Cinco Villas	Ciencias Sociales	45 a 64	Mujeres	37
05	Cinco Villas	Ciencias Sociales	65 y más	Mujeres	6
05	Cinco Villas	Ciencias Sociales	25 a 44	Hombres	201
05	Cinco Villas	Ciencias Sociales	45 a 64	Hombres	33
05	Cinco Villas	Ciencias Sociales	65 y más	Hombres	12
05	Cinco Villas	Artes y Humanidades	25 a 44	Mujeres	117
05	Cinco Villas	Artes y Humanidades	45 a 64	Mujeres	16
05	Cinco Villas	Artes y Humanidades	65 y más	Mujeres	3
05	Cinco Villas	Artes y Humanidades	25 a 44	Hombres	65
05	Cinco Villas	Artes y Humanidades	45 a 64	Hombres	21
05	Cinco Villas	Artes y Humanidades	65 y más	Hombres	7
05	Cinco Villas	Informática	25 a 44	Mujeres	46
05	Cinco Villas	Informática	25 a 44	Hombres	39
05	Cinco Villas	Ingenierías	25 a 44	Mujeres	33
05	Cinco Villas	Ingenierías	25 a 44	Hombres	113
05	Cinco Villas	Ingenierías	45 a 64	Hombres	28
05	Cinco Villas	Ingenierías	65 y más	Hombres	5
05	Cinco Villas	Formación Técnica e Industrial	25 a 44	Mujeres	160
05	Cinco Villas	Formación Técnica e Industrial	45 a 64	Mujeres	14
05	Cinco Villas	Formación Técnica e Industrial	65 y más	Mujeres	2
05	Cinco Villas	Formación Técnica e Industrial	25 a 44	Hombres	553
05	Cinco Villas	Formación Técnica e Industrial	45 a 64	Hombres	83
05	Cinco Villas	Formación Técnica e Industrial	65 y más	Hombres	12
05	Cinco Villas	Ciencias	25 a 44	Mujeres	52
05	Cinco Villas	Ciencias	45 a 64	Mujeres	4
05	Cinco Villas	Ciencias	65 y más	Mujeres	1
05	Cinco Villas	Ciencias	25 a 44	Hombres	41
05	Cinco Villas	Ciencias	45 a 64	Hombres	15
05	Cinco Villas	Ciencias	65 y más	Hombres	8
05	Cinco Villas	Arquitectura o Construcción	25 a 44	Mujeres	6
05	Cinco Villas	Arquitectura o Construcción	45 a 64	Mujeres	3
05	Cinco Villas	Arquitectura o Construcción	65 y más	Mujeres	2
05	Cinco Villas	Arquitectura o Construcción	25 a 44	Hombres	26
05	Cinco Villas	Arquitectura o Construcción	45 a 64	Hombres	13
05	Cinco Villas	Agricultura, Veterinaria,...	25 a 44	Mujeres	40
05	Cinco Villas	Agricultura, Veterinaria,...	45 a 64	Mujeres	5
05	Cinco Villas	Agricultura, Veterinaria,...	65 y más	Mujeres	1
05	Cinco Villas	Agricultura, Veterinaria,...	25 a 44	Hombres	217
05	Cinco Villas	Agricultura, Veterinaria,...	45 a 64	Hombres	28
05	Cinco Villas	Agricultura, Veterinaria,...	65 y más	Hombres	12
05	Cinco Villas	Salud, Servicios Sociales	25 a 44	Mujeres	282
05	Cinco Villas	Salud, Servicios Sociales	45 a 64	Mujeres	49
05	Cinco Villas	Salud, Servicios Sociales	65 y más	Mujeres	9
05	Cinco Villas	Salud, Servicios Sociales	25 a 44	Hombres	62
05	Cinco Villas	Salud, Servicios Sociales	45 a 64	Hombres	31
05	Cinco Villas	Salud, Servicios Sociales	65 y más	Hombres	16
05	Cinco Villas	Otros Servicios	25 a 44	Mujeres	121
05	Cinco Villas	Otros Servicios	45 a 64	Mujeres	16
05	Cinco Villas	Otros Servicios	65 y más	Mujeres	1
05	Cinco Villas	Otros Servicios	25 a 44	Hombres	56
05	Cinco Villas	Otros Servicios	45 a 64	Hombres	17
05	Cinco Villas	Otros Servicios	65 y más	Hombres	2
06	Hoya de Huesca / Plana de Uesca	Derecho	25 a 44	Mujeres	259
06	Hoya de Huesca / Plana de Uesca	Derecho	45 a 64	Mujeres	26
06	Hoya de Huesca / Plana de Uesca	Derecho	65 y más	Mujeres	8
06	Hoya de Huesca / Plana de Uesca	Derecho	25 a 44	Hombres	218
06	Hoya de Huesca / Plana de Uesca	Derecho	45 a 64	Hombres	111
06	Hoya de Huesca / Plana de Uesca	Derecho	65 y más	Hombres	65
06	Hoya de Huesca / Plana de Uesca	Magisterio, Educación infantil...	25 a 44	Mujeres	682
06	Hoya de Huesca / Plana de Uesca	Magisterio, Educación infantil...	45 a 64	Mujeres	549
06	Hoya de Huesca / Plana de Uesca	Magisterio, Educación infantil...	65 y más	Mujeres	270
06	Hoya de Huesca / Plana de Uesca	Magisterio, Educación infantil...	25 a 44	Hombres	270
06	Hoya de Huesca / Plana de Uesca	Magisterio, Educación infantil...	45 a 64	Hombres	227
06	Hoya de Huesca / Plana de Uesca	Magisterio, Educación infantil...	65 y más	Hombres	72
06	Hoya de Huesca / Plana de Uesca	Ciencias Sociales	25 a 44	Mujeres	1007
06	Hoya de Huesca / Plana de Uesca	Ciencias Sociales	45 a 64	Mujeres	119
06	Hoya de Huesca / Plana de Uesca	Ciencias Sociales	65 y más	Mujeres	26
06	Hoya de Huesca / Plana de Uesca	Ciencias Sociales	25 a 44	Hombres	547
06	Hoya de Huesca / Plana de Uesca	Ciencias Sociales	45 a 64	Hombres	185
06	Hoya de Huesca / Plana de Uesca	Ciencias Sociales	65 y más	Hombres	64
06	Hoya de Huesca / Plana de Uesca	Artes y Humanidades	25 a 44	Mujeres	428
06	Hoya de Huesca / Plana de Uesca	Artes y Humanidades	45 a 64	Mujeres	149
06	Hoya de Huesca / Plana de Uesca	Artes y Humanidades	65 y más	Mujeres	21
06	Hoya de Huesca / Plana de Uesca	Artes y Humanidades	25 a 44	Hombres	210
06	Hoya de Huesca / Plana de Uesca	Artes y Humanidades	45 a 64	Hombres	121
06	Hoya de Huesca / Plana de Uesca	Artes y Humanidades	65 y más	Hombres	32
06	Hoya de Huesca / Plana de Uesca	Informática	25 a 44	Mujeres	75
06	Hoya de Huesca / Plana de Uesca	Informática	45 a 64	Mujeres	1
06	Hoya de Huesca / Plana de Uesca	Informática	25 a 44	Hombres	108
06	Hoya de Huesca / Plana de Uesca	Informática	45 a 64	Hombres	10
06	Hoya de Huesca / Plana de Uesca	Informática	65 y más	Hombres	1
06	Hoya de Huesca / Plana de Uesca	Ingenierías	25 a 44	Mujeres	125
06	Hoya de Huesca / Plana de Uesca	Ingenierías	45 a 64	Mujeres	12
06	Hoya de Huesca / Plana de Uesca	Ingenierías	65 y más	Mujeres	1
06	Hoya de Huesca / Plana de Uesca	Ingenierías	25 a 44	Hombres	429
06	Hoya de Huesca / Plana de Uesca	Ingenierías	45 a 64	Hombres	165
06	Hoya de Huesca / Plana de Uesca	Ingenierías	65 y más	Hombres	36
06	Hoya de Huesca / Plana de Uesca	Formación Técnica e Industrial	25 a 44	Mujeres	248
06	Hoya de Huesca / Plana de Uesca	Formación Técnica e Industrial	45 a 64	Mujeres	39
06	Hoya de Huesca / Plana de Uesca	Formación Técnica e Industrial	65 y más	Mujeres	8
06	Hoya de Huesca / Plana de Uesca	Formación Técnica e Industrial	25 a 44	Hombres	860
06	Hoya de Huesca / Plana de Uesca	Formación Técnica e Industrial	45 a 64	Hombres	320
06	Hoya de Huesca / Plana de Uesca	Formación Técnica e Industrial	65 y más	Hombres	48
06	Hoya de Huesca / Plana de Uesca	Ciencias	25 a 44	Mujeres	150
06	Hoya de Huesca / Plana de Uesca	Ciencias	45 a 64	Mujeres	42
06	Hoya de Huesca / Plana de Uesca	Ciencias	65 y más	Mujeres	5
06	Hoya de Huesca / Plana de Uesca	Ciencias	25 a 44	Hombres	163
06	Hoya de Huesca / Plana de Uesca	Ciencias	45 a 64	Hombres	69
06	Hoya de Huesca / Plana de Uesca	Ciencias	65 y más	Hombres	14
06	Hoya de Huesca / Plana de Uesca	Arquitectura o Construcción	25 a 44	Mujeres	27
06	Hoya de Huesca / Plana de Uesca	Arquitectura o Construcción	45 a 64	Mujeres	3
06	Hoya de Huesca / Plana de Uesca	Arquitectura o Construcción	65 y más	Mujeres	2
06	Hoya de Huesca / Plana de Uesca	Arquitectura o Construcción	25 a 44	Hombres	85
06	Hoya de Huesca / Plana de Uesca	Arquitectura o Construcción	45 a 64	Hombres	60
06	Hoya de Huesca / Plana de Uesca	Arquitectura o Construcción	65 y más	Hombres	10
06	Hoya de Huesca / Plana de Uesca	Agricultura, Veterinaria,...	25 a 44	Mujeres	60
06	Hoya de Huesca / Plana de Uesca	Agricultura, Veterinaria,...	45 a 64	Mujeres	12
06	Hoya de Huesca / Plana de Uesca	Agricultura, Veterinaria,...	25 a 44	Hombres	220
06	Hoya de Huesca / Plana de Uesca	Agricultura, Veterinaria,...	45 a 64	Hombres	62
06	Hoya de Huesca / Plana de Uesca	Agricultura, Veterinaria,...	65 y más	Hombres	23
06	Hoya de Huesca / Plana de Uesca	Salud, Servicios Sociales	25 a 44	Mujeres	935
06	Hoya de Huesca / Plana de Uesca	Salud, Servicios Sociales	45 a 64	Mujeres	384
06	Hoya de Huesca / Plana de Uesca	Salud, Servicios Sociales	65 y más	Mujeres	69
06	Hoya de Huesca / Plana de Uesca	Salud, Servicios Sociales	25 a 44	Hombres	291
06	Hoya de Huesca / Plana de Uesca	Salud, Servicios Sociales	45 a 64	Hombres	195
06	Hoya de Huesca / Plana de Uesca	Salud, Servicios Sociales	65 y más	Hombres	64
06	Hoya de Huesca / Plana de Uesca	Otros Servicios	25 a 44	Mujeres	325
06	Hoya de Huesca / Plana de Uesca	Otros Servicios	45 a 64	Mujeres	52
06	Hoya de Huesca / Plana de Uesca	Otros Servicios	65 y más	Mujeres	8
06	Hoya de Huesca / Plana de Uesca	Otros Servicios	25 a 44	Hombres	246
06	Hoya de Huesca / Plana de Uesca	Otros Servicios	45 a 64	Hombres	70
06	Hoya de Huesca / Plana de Uesca	Otros Servicios	65 y más	Hombres	38
07	Somontano de Barbastro	Derecho	25 a 44	Mujeres	58
07	Somontano de Barbastro	Derecho	45 a 64	Mujeres	5
07	Somontano de Barbastro	Derecho	25 a 44	Hombres	37
07	Somontano de Barbastro	Derecho	45 a 64	Hombres	13
07	Somontano de Barbastro	Derecho	65 y más	Hombres	5
07	Somontano de Barbastro	Magisterio, Educación infantil...	25 a 44	Mujeres	217
07	Somontano de Barbastro	Magisterio, Educación infantil...	45 a 64	Mujeres	93
07	Somontano de Barbastro	Magisterio, Educación infantil...	65 y más	Mujeres	23
07	Somontano de Barbastro	Magisterio, Educación infantil...	25 a 44	Hombres	64
07	Somontano de Barbastro	Magisterio, Educación infantil...	45 a 64	Hombres	45
