Año	Comarca código	Comarca nombre	Total	VC Residencial	VC Almacén, estacionamiento	VC Comercial	VC Ocio, hostelería	VC Industrial	VC Cultural	VC Deportivo	VC Oficinas	VC Edificios singulares	VC Religioso	VC Espectáculos	VC Sin definir	VC Suelo vacante	VC Sanidad, benefic
2006	07	Somontano de Barbastro	539877,74	328378,49	32308,09	21715,95	17845,82	43591,39	10939,87	17891,4	4085,88	9287,33	7270,39	1117,77	211499,25	28623,94	16821,59
2006	08	Cinca Medio	336923,6	223810,14	15538,8	11607,97	2123,47	53653,33	6169,5	1674,1	3458,62	0	589,67	0	113113,46	17524,07	774
2006	09	La Litera / La Llitera	308337,06	212636,69	11520,62	8851,97	33,61	49850,51	3729,14	2206,75	2434,34	0	1906,54	0	95700,37	14711,83	455,15
2006	10	Los Monegros	367473,8	241484,4	2771,95	3641,81	1576,06	70694,79	2754,14	5639,84	424,84	7590,88	2408,34	0	125989,4	27531,54	955,36
2006	11	Bajo Cinca / Baix Cinca	342310,23	214787,85	12854,83	9932,12	3792,3	65529,23	3188,87	5126,7	3078,56	0	616,79	0	127522,38	20768,72	2634,32
2006	12	Tarazona y el Moncayo	208167,97	142757,42	3548,74	3240,39	1956,76	36637,5	5786,01	1700,96	971,01	0	1601,2	0	65410,55	8395,47	1572,6
2006	13	Campo de Borja	181006,01	131428,05	1143,19	1992,4	477,42	26870,88	1193,86	903,52	508,27	0	1371,24	0	49577,96	13602,49	1514,73
2006	14	Aranda	95848,49	61863,19	1487,07	2059,18	0	20852,9	780,34	757,96	547,52	0	424,38	0	33985,3	7075,98	0
2006	15	Ribera Alta del Ebro	766588,06	351673,55	5458,64	5953,65	1207,67	246285,07	3645,58	4969,08	1001,75	1926,7	1298,7	0	414914,51	140149,89	3017,87
2006	16	Valdejalón	528623,13	246503,77	2181,54	4634,36	3715,24	128435,07	3951,91	4547,77	2753,22	201,58		0	282119,36	131117,99	580,76
2006	17	Central	21896468,46	13085763,03	1084744,22	1734270,94	195071,47	2150309,69	772870,46	311415,6	673803,81	348160,95	116024,44	26549,46	8810705,43	1117541,71	279943,18
2006	18	Ribera Baja del Ebro	152042,17	97258,7	257,46	625,54	3244,65	37460,09	850,88	1426,82	364,96	0	1602,37	0	54783,47	8950,74	0
2006	19	Bajo Aragón-Caspe / Baix Aragó-Casp	212764,88	146673,8	2156,64	3370,26	1584,69	33831,59	4126,1	2207,59	626,17	1003,88	1324,92	516,38	66091,08	13188,22	2154,66
2006	20	Comunidad de Calatayud	795064,59	520377,43	24177,47	30557,54	13484,73	96242,21	12397,78	9242,62	5308,99	13201,94	6791,14	1163,41	274687,16	39544,19	22575,48
2006	21	Campo de Cariñena	166258,36	108855,22	839,91	898,64	207,47	35709,69	156,06	990,04	242,78	722,93	1508,35	0	57403,14	16127,36	0
2006	22	Campo de Belchite	62802,92	52493,23	0	204,76	0	7498,25	0	0	24,13	314,74	112,71	0	10309,69	2155,17	0
2006	23	Bajo Martín	105151,62	84465,06	1761,6	1061,19	238,21	9134,81	482,49	0	68,61	0	1299,47	0	20686,56	6640,23	0
2006	24	Campo de Daroca	143471,08	95298,45	770,83	915,35	1627,28	17784,45	3097,44	1481,31	354,4	14379,87	1367,02	0	48172,63	5130,07	1264,83
2006	25	Jiloca	220369,34	166533,21	5665,54	3660,67	3089,42	25761,06	1857,45	87,72	868,74	253,73	727,44	0	53836,13	11864,55	0
2006	26	Cuencas Mineras	102118,85	76709,27	2069,27	1269,75	141,92	12738,47	729,21	1095,51	251,01	0	438,68	0	25409,58	6104,93	570,97
2006	27	Andorra-Sierra de Arcos	187610,34	111208,26	5908,63	3382,1	2248,28	51424,6	3624,53	1529,13	1495,79	0	586,85	0	76402,08	5087,36	1114,86
2006	28	Bajo Aragón	414223,5	286871,96	33213,44	16710,38	3410,17	38032,37	1621,07	3667,59	2549,16	0	1631,81	0	127351,54	23181,95	3333,68
2006	29	Comunidad de Teruel	998654,4	640817,3	50882,52	31205,23	9561,15	96871,8	50753,79	14787,18	13425,59	0	8325,39	0	357837,1	38259,83	43764,81
2006	30	Maestrazgo	45127,74	34759,75	533,97	233,1	961,52	6374,5	0	0	0	230,5	1193,48	0	10367,99	840,97	0
2006	31	Sierra de Albarracín	110346,03	84269,08	1434,53	516,82	2584,18	8315,79	764,53	0	0	0	1268,69	0	26076,95	10492,55	699,93
2006	32	Gúdar-Javalambre	209686,64	152512,4	4101,46	1411,66	5647,58	21423,66	729,09	4174,37	77,45	0	1373,03	0	57174,24	18236,04	0
2006	33	Matarraña / Matarranya	156650,47	124441,86	2499,48	848,04	1173,05	17214,41	592,97	771,39	201,89	0	315,44	0	32208,61	8592,01	0
2007	01	La Jacetania	958045,53	697557,82	50095,13	42836,34	31541,45	45212,84	5571,12	7290,54	2618,56	2216,86	6088,81	0	260487,71	61432,79	5583,27
2007	02	Alto Gállego	529166,01	346581,99	32406,5	13471,25	25832,97	38606,9	4508,16	12313,48	1741,97	557,14	2239,44	0	182584,02	46738,55	4167,66
2007	03	Sobrarbe	148572,18	101110,75	4036,36	2934,53	15849,19	13009,43	398,78	1643	295,61	298,6	1650,99	0	47461,43	7344,94	0
2007	04	La Ribagorza	428778,2	284394,4	19009,77	10585,69	27058,4	28502,67	5246,89	562,12	270,13	1389,23	5757,09	0	144383,8	46001,81	0
2007	05	Cinco Villas	872125,1	527261,29	34083,77	31374,74	4142,92	136604,35	20163,13	15120,66	4935,32	3942,17	13722,4	3712,2	344863,81	75533,96	1528,19
2007	06	Hoya de Huesca / Plana de Uesca	1756491,22	1127608,97	98147,41	115577,87	13376,38	145085,35	42177,66	37688,59	45190,25	1261,04	24892,54	0	628882,25	75837,78	29647,38
2007	07	Somontano de Barbastro	558680,83	340966,6	32919,69	22117,3	22225,49	44608,35	10939,87	17979,8	4097,67	7884,31	7441,85	573,16	217714,23	30104,47	16822,27
2007	08	Cinca Medio	368357,97	243710,94	16776,56	12544,52	2409,73	55738,66	8655,19	2475,87	3825,58	0	591,03	0	124647,03	19661,46	1968,43
2007	09	La Litera / La Llitera	352580,84	243514,89	13181,31	10282,12	234,26	51034,27	4220,12	3604,25	3143,21	0	1183,83	0	109065,95	21727,43	455,15
2007	10	Los Monegros	394648,87	258224,84	2925,6	3756,18	1877,15	74917,79	3242,91	6048,66	433,34	7742,7	2456,48	0	136424,03	29944,61	3078,61
2007	11	Bajo Cinca / Baix Cinca	374937,32	233818	14461,9	11205,76	4194,91	72056,73	3541,9	5626,92	3453,33	0	683,87	0	141119,32	23067,97	2826,03
2007	12	Tarazona y el Moncayo	217090,66	147120,4	3625,86	3301,29	1995,89	38154,54	6168,25	1734,98	990,43	0	2606,96	0	69970,26	8838,45	2553,61
2007	13	Campo de Borja	186665,74	135747,58	1277,05	2032,23	486,97	27751,4	1217,73	921,58	518,44	0	1398,67	0	50918,16	13769,06	1545,03
2007	14	Aranda	99391,61	64325,66	1516,15	2107,64	0	21627,48	795,95	773,12	558,47	0	432,87	0	35065,95	7254,27	0
2007	15	Ribera Alta del Ebro	886301,08	381906,3	5546,19	6033,22	1207,67	265394,13	3645,58	4969,08	3893,2	1965,23	1303,47	0	504394,78	207419,14	3017,87
2007	16	Valdejalón	549768,15	254126,43	2353,35	5034,48	4704,22	139497,93	4030,95	4680,52	2808,28	205,61		0	295641,72	131734	592,38
2007	17	Central	23751580,75	13851022,42	1141217,9	1846048,66	204028,21	2487799,33	794617,45	321192,57	731324,42	346074,34	118419,91	27076,29	9900558,33	1596991,2	285768,05
2007	18	Ribera Baja del Ebro	183293,37	112628,05	1121,25	631,14	3287,82	40594,56	867,9	1455,35	2446,53	0	1608,17	0	70665,32	18652,6	0
2007	19	Bajo Aragón-Caspe / Baix Aragó-Casp	222071,45	152922,32	2318,42	3566,25	1616,38	35725,81	4203,95	2251,75	638,7	1023,96	1351,42	544,47	69149,13	13710,26	2197,76
2007	20	Comunidad de Calatayud	846441,75	558624,36	25096,34	30965,59	13754,42	101416,24	12645,74	10221,25	5387,03	13465,99	6781,62	1186,67	287817,39	43832,94	23063,56
2007	21	Campo de Cariñena	174158,63	116437,24	1122,84	916,61	211,62	34991,89	159,18	1009,83	247,63	737,39	1538,51	0	57721,39	16785,89	0
2007	22	Campo de Belchite	64393,37	54147,17	0	208,85	0	7624,22	0	0	24,61	321,04	114,97	0	10246,2	1952,51	0
2007	23	Bajo Martín	106855,62	85745,34	1856,61	1073,1	242,97	9262,51	492,14	0	69,98	0	1352,68	0	21110,28	6747,07	13,22
2007	24	Campo de Daroca	149841,36	100111,03	786,24	933,66	1659,83	17911,5	3159,39	1510,94	361,49	14667,46	1394,36	0	49730,33	6055,34	1290,12
2007	25	Jiloca	229599,59	173412,46	5817,85	3733,88	3151,21	27287,82	1894,6	89,47	886,11	258,81	742	0	56187,13	12325,38	0
2007	26	Cuencas Mineras	136306,58	97501,3	2522,2	1454,38	545,27	14900,79	1778,33	3959,93	256,03	0	447,45	0	38805,28	12358,51	582,39
2007	27	Andorra-Sierra de Arcos	206278,54	126090,63	6171,9	3577,81	2293,24	53427,94	3697,02	1559,71	1525,7	0	598,58	0	80187,91	6198,85	1137,16
2007	28	Bajo Aragón	451725,21	318770,96	33099,78	17179,51	3466,94	41547,62	1653,49	3687,6	2598,87	0	1851,6	0	132954,25	24468,49	3400,35
2007	29	Comunidad de Teruel	1034413,82	662560,63	52984,64	33740,57	12708,58	99955,53	51768,86	15598,2	13695,06	0	8491,9	0	371853,19	38269,74	44640,11
2007	30	Maestrazgo	46039,3	35457,79	544,65	237,76	980,75	6507,6	0	0	0	235,12	1217,36	0	10581,51	858,27	0
2007	31	Sierra de Albarracín	111581,32	85324,45	1455,61	516,82	2589,24	8346,7	764,53	0	0	0	1277,35	0	26256,87	10592,7	713,92
2007	32	Gúdar-Javalambre	214691,17	156040,2	4219,17	1427,27	5760,54	22002,1	743,67	4255,35	79	98,25	1400,49	0	58650,97	18665,13	0
2007	33	Matarraña / Matarranya	158899,25	126322,17	2528,59	855,88	1182,31	17517,31	604,83	786,82	201,89	0	321,75	0	32577,08	8577,7	0
2008	01	La Jacetania	1027821,38	752362,84	53597,33	43436,42	45308,27	48092,99	5682,55	7745,44	2740,7	2261,19	5819,12	0	275458,54	55079,59	5694,94
2008	02	Alto Gállego	570960,39	379378,32	36477,18	13728,54	34436,63	39111,99	4598,33	12308,55	1776,81	937,1	2270,1	0	191582,07	41685,83	4251,01
2008	03	Sobrarbe	171526,92	110900,83	4932,92	3733,8	20914,43	16904,44	406,75	1675,85	301,53	304,57	1627,89	0	60626,09	9823,91	0
2008	04	La Ribagorza	451056,64	302822,15	21052,53	11524,6	27245,07	29068,32	5351,83	573,36	352,74	1403,22	5870	0	148234,49	45792,82	0
2008	05	Cinco Villas	953484,33	583504,09	35144,29	32979,98	4225,78	146600,07	20565,86	15423,07	5206,93	4021,02	14318,36	3786,44	369980,24	86149,69	1558,75
2008	06	Hoya de Huesca / Plana de Uesca	1835663,17	1168064,68	108282,65	119575,78	13168,34	152230,14	42197,33	46930,29	45521,95	1286,26	24941,76	0	667598,49	87342,58	26121,41
2008	07	Somontano de Barbastro	577191,26	357879,47	33970,74	22244,52	22090,09	44503,8	10939,87	18265,93	4055,73	7884,31	7484,84	573,16	219311,79	30475,83	16822,97
2008	08	Cinca Medio	379193,53	251746,49	17493,21	13304,2	2457,93	57106,22	8828,3	2525,4	3902,09	0	602,84	0	127447,04	19219,05	2007,8
2008	09	La Litera / La Llitera	361574,43	250309,56	13564,71	10325,11	238,94	51647,73	4266,99	3643,68	3172,71	0	1193,27	0	111264,87	22756,58	455,15
2008	10	Los Monegros	413153,46	272227,7	3127,4	3810,94	1914,69	77790,42	3307,77	6139,69	442	7897,56	2417,89	0	140925,76	30937,22	3140,18
2008	11	Bajo Cinca / Baix Cinca	357431,79	223660,3	13484,63	10373,39	3882,12	68972,41	3787,96	4994,85	3142,96	0	616,79	0	133771,49	21824,91	2691,47
2008	12	Tarazona y el Moncayo	229983,03	154532,01	4112,08	3415,19	2035,81	36012,06	6291,62	1769,68	1010,24	0	2387,05	0	75451,02	15812,6	2604,69
2008	13	Campo de Borja	195708,36	140883,26	1384,3	2203,61	1773,41	28882,36	1242,09	1048,56	528,81	0	1426,65	0	54825,1	14759,38	1575,93
2008	14	Aranda	199693,85	106134,15	6761,13	6282,54	0	36147,78	4215,44	0	819,83	0	441,52	0	93559,7	36315,81	2575,65
2008	15	Ribera Alta del Ebro	939448,61	420680,6	6366,86	6297,1	1445,72	270794,85	3645,58	5028,91	7155,54	2004,54	1308,35	0	518768,01	211702,69	3017,87
2008	16	Valdejalón	727531,85	366224,51	3671,94	6475,34	3600,52	176403,6	4111,56	8746,6	4739,8	209,73		0	361307,34	152744,02	604,23
2008	17	Central	24942298,26	14536638,27	1199086,29	1927526,17	221007,49	2616657,55	835587,93	335583,64	786964,51	354673,94	126442,42	68667,39	10405659,99	1636672,14	296790,52
2008	18	Ribera Baja del Ebro	272019,62	163134,07	1361,74	1366,87	1904,86	58801	0	1805,61	2098,34	0	2039,19	0	108885,55	39507,94	0
2008	19	Bajo Aragón-Caspe / Baix Aragó-Casp	313482,91	211195,43	6840,34	4383,11	2280,93	35222,16	5354,46	2737,68	2830,53	0	1378,44	0	102287,48	39018,12	2241,71
2008	20	Comunidad de Calatayud	898933,77	600667,8	27702,06	32486,59	14029,51	104183,68	12898,65	10425,68	5649,57	13735,3	6622,68	1210,41	298265,97	45797,02	23524,82
2008	21	Campo de Cariñena	191841,88	128099,31	1348,5	1073,28	215,86	37721,05	162,36	1534,76	252,37	752,14	1569,29	0	63742,57	19112,96	0
2008	22	Campo de Belchite	69619,15	57715,15	0	213,03	0	8556,18	0	0	47,67	327,46	300,83	0	11904	2458,83	0
2008	23	Bajo Martín	118274,13	87756,85	1817,13	1096,71	247,83	16483,36	501,98	0	180,39	0	1370,01	0	30517,28	8806,39	13,48
2008	24	Campo de Daroca	156395,58	104242,88	920,42	1236,8	2582,74	18284,36	3297,17	1541,16	368,72	14960,81	1422,25	0	52152,7	6222,34	1315,93
2008	25	Jiloca	248070,25	187568,99	6405,62	4567	3214,24	29037,52	1932,49	91,26	1189,07	263,98	756,83	0	60501,26	13043,25	0
2008	26	Cuencas Mineras	141609,04	101257,52	2949,13	1532,92	562,49	14857,86	1813,89	4039,14	261,15	0	456,39	0	40351,52	13284,51	594,04
2008	27	Andorra-Sierra de Arcos	175285,77	133378,58	6628,79	3610,27	2226,8	12323,16	4430,58	1590,91	1556,23	0	610,56	0	41907,19	7769,99	1159,9
2008	28	Bajo Aragón	531906,72	370187,32	35644,39	19841,7	3531,21	52669,24	1686,56	3610,97	2849,3	0	1765,12	0	161719,4	34936,21	5184,7
2008	29	Comunidad de Teruel	1115193,69	702290,97	60571,82	37685,57	13939,91	103199,57	52804,24	15909,55	14379,44	21040,98	8661,74	0	412902,72	39176,99	45532,91
2008	30	Maestrazgo	48550,71	37580,07	671,16	309,16	1000,37	6615,25	0	0	0	239,82	1241,6	0	10970,64	893,28	0
2008	31	Sierra de Albarracín	118079,93	90761,9	1624,96	516,82	2687,99	8690,01	764,53	0	0	0	1394,46	0	27318,03	10911,06	728,2
2008	32	Gúdar-Javalambre	238101,81	173151,08	5012,09	1472,15	5875,74	23239,91	758,54	4337,94	80,58	100,21	1428,5	0	64950,73	22645,07	0
2008	33	Matarraña / Matarranya	186235,97	144542,43	2675,97	795,1	2684,17	19052,05	994,15	802,55	201,89	0	1528,13	0	41693,54	12959,53	0
2009	01	La Jacetania	2221813,71	1613652,83	109056,57	95097,91	98445,76	78879,04	12723,08	13695,51	8244,15	30632,43	11494,63	0	608160,88	138199,01	11692,79
2009	02	Alto Gállego	617591,34	420664,97	40977,61	13950,65	34850,84	39157,8	4690,29	12407,44	1862,74	937,1	2301,36	0	196926,37	41499,35	4291,19
2009	03	Sobrarbe	185380,76	121522,87	6135,28	4166,28	22636,56	15845,26	414,89	1709,37	307,55	310,66	1660,44	0	63857,89	10671,6	0
2009	04	La Ribagorza	502450,97	349814,88	24293,69	12401,77	28975,5	23983,71	5322,92	581,75	359,8	1417,49	3475,66	0	152636,09	51823,8	0
2009	05	Cinco Villas	1029262,49	633645,13	39352,93	37806,62	4092,46	152838,18	23024,98	19269,15	5783,27	3890,49	14500,54	3862,17	395617,36	86725,95	4470,62
2009	06	Hoya de Huesca / Plana de Uesca	1938473,29	1229376,77	111993,31	122255,85	13750,43	158287,04	42984,6	47097,88	56597,14	1311,99	24741,35	0	709096,52	103930,32	26146,61
2009	07	Somontano de Barbastro	604547,62	378595,17	37263,07	23305,93	22711,35	45552,83	10931,38	18361,98	4070,46	7884,31	8743,63	573,16	225952,45	29730,67	16823,68
2009	08	Cinca Medio	401431,99	267516,01	18908,48	14945,09	2507,08	57760,66	8996,33	2575,9	3987,64	0	475,4	0	133915,98	21711,45	2047,95
2009	09	La Litera / La Llitera	386866,34	269760,72	14457,85	10942,47	208,06	51881,05	4314,79	3683,9	2978,56	0	1202,88	0	117105,62	26980,91	455,15
2009	10	Los Monegros	427411,28	282850,1	3213,05	4580,69	2125,52	79229,64	3610,3	6232,42	202,89	8055,51	2466,25	0	144561,18	31641,92	3202,99
2009	11	Bajo Cinca / Baix Cinca	394983,48	239127,42	17155,84	13073,87	4447,71	74990,49	3863,72	5545,65	3234,36	0	911,1	0	155856,06	29888,02	2745,3
2009	12	Tarazona y el Moncayo	245386,8	167532,52	4949,71	3910,69	2076,53	37002,96	6417,45	1805,07	1016,93	0	2434,79	0	77854,28	15583,37	2656,78
2009	13	Campo de Borja	208896,28	154729,12	1857,44	2696,07	547,68	30784,03	1266,93	1078,86	539,39	0	1455,18	0	54167,16	12334,14	1607,44
2009	14	Aranda	203650,93	108640,2	6964,26	6413,15	0	36206,19	4299,74	0	1128,48	0	403,34	0	95010,73	36968,41	2627,16
2009	15	Ribera Alta del Ebro	982108,8	449489,08	8341,1	7447,27	1445,72	278641,12	3645,58	5028,91	7168,55	2104,69	1313,31	0	532619,72	214465,6	3017,87
2009	16	Valdejalón	1074843,08	552175,57	15662,94	12138,18	4524,1	220807,1	17038,92	12750,75	5860,7	213,92		0	522667,51	233114,46	556,44
2009	17	Central	26527948,91	15293312,4	1276914,61	2065213,31	343118,17	2709844,95	912836,86	346171,29	860914,56	428798,17	130390,71	70444,63	11234636,51	1716039,33	373949,92
2009	18	Ribera Baja del Ebro	279282,14	168971,76	1557,94	1404,11	1945,47	59576,87	0	1841,72	2128,42	0	2086,08	0	110310,38	39769,77	0
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	326613,31	220014,13	7280	4868,43	2415,13	38078,91	5461,55	2792,45	2887,14	0	1406,01	0	106599,18	39123,02	2286,54
2009	20	Comunidad de Calatayud	953141,74	639147,72	30625,35	37790,94	15878,48	105973,45	13156,62	10704,88	5646,4	14010,01	7108,06	1234,62	313994,02	47869,88	23995,33
2009	21	Campo de Cariñena	205341,24	136722,05	1905	1321,73	220,16	37968,04	1019,68	1565,46	257,42	767,18	1600,67	0	68619,19	21993,85	0
2009	22	Campo de Belchite	73143,71	61197,59	169,23	217,29	0	8278,75	0	0	48,62	334,01	306,84	0	11946,12	2591,38	0
2009	23	Bajo Martín	122777,96	90391,08	1855,59	1109,33	252,78	18747,69	512,02	0	184	0	1387,69	0	32386,88	8324,03	13,75
2009	24	Campo de Daroca	183935,13	136874,45	445,95	2681,21	2503,27	17902,4	5793,21	1765	1381,49	0	2392,29	0	47060,68	10773,9	1421,96
2009	25	Jiloca	279204,94	206416,13	7462,29	4698,19	3668,62	32325,03	1971,14	93,09	1212,85	269,26	771,98	0	72788,81	19619,34	697,02
2009	26	Cuencas Mineras	147409,01	105346,57	3060,55	1574,58	573,75	15205,63	1850,17	4119,92	266,36	0	465,51	0	42062,44	14340,05	605,92
2009	27	Andorra-Sierra de Arcos	227531,59	136703,68	8215,92	3682,47	2289,61	36372,53	5405,05	1622,72	1711,22	0	630,78	0	90827,91	29560,51	1337,1
2009	28	Bajo Aragón	561293,98	393957,49	37352,55	21081,95	3601,84	58161,8	1720,29	3583,04	3189,81	0	1800,43	0	167336,49	33307,05	3537,73
2009	29	Comunidad de Teruel	1239102,4	774366,7	66888,53	43568,58	15981,84	114349,03	54166,15	16227,74	16432,3	21461,8	8867,79	0	464735,7	60348,37	46443,57
2009	30	Maestrazgo	64721,27	47356,82	782,87	426,53	1020,37	8794	0	0	0	315,16	1466,57	0	17364,45	4558,95	0
2009	31	Sierra de Albarracín	133483,41	104532,59	1738,01	539,73	3376,03	8855,92	923,78	0	0	0	1403,46	0	28950,82	11371,12	742,77
2009	32	Gúdar-Javalambre	273461,48	200428,34	5668,25	1707,72	5957,33	26824,83	773,72	4424,7	82,19	0	1569,31	0	73033,14	26025,09	0
2009	33	Matarraña / Matarranya	208514,6	164008,37	3174,13	914,5	2588,28	19911,58	1014,04	818,6	201,89	0	1561,36	0	44506,23	14321,85	0
2010	01	La Jacetania	2372439,2	1738488,97	122202,25	96212,32	100219,06	87842,28	14940,55	13832,45	7034,11	30938,75	11856,81	0	633950,23	137061,93	11809,72
2010	02	Alto Gállego	1138528,67	715085,67	76589,46	23210,33	88200,14	72015,62	8116	18043,69	3089,31	937,1	3313,52	0	423443	123633,23	6294,6
2010	03	Sobrarbe	198896,59	130428,55	7218,78	4244,56	23862,49	18102,99	419,04	1726,47	368,27	313,77	1677,06	0	68468,04	10534,61	0
