Año	Votos	Siglas	Candidatura	Provincia código	Provincia nombre
2016	55432	PODEMOS-IU-EQUO	UNIDOS PODEMOS EN ALTO ARAGÓN	22	Huesca
2016	38846	C's	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	22	Huesca
2016	30103	PODEMOS-IU-EQUO	UNIDOS PODEMOS EN ARAGÓN	44	Teruel
2016	22186	C's	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	44	Teruel
2016	21657	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	50	Zaragoza
2016	18617	EB	ESCAÑOS EN BLANCO	50	Zaragoza
2016	5750	UPyD	UNIÓN PROGRESO Y DEMOCRACIA	50	Zaragoza
2016	5037	RECORTES CERO-GRUPO VERDE	RECORTES CERO-GRUPO VERDE	50	Zaragoza
2016	4438	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	22	Huesca
2016	3355	VOX	VOX	50	Zaragoza
2016	3190	EB	ESCAÑOS EN BLANCO	22	Huesca
2016	2396	INDEPENDIENTES-FIA	INDEPENDIENTES POR ARAGÓN	50	Zaragoza
2016	2049	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	44	Teruel
2016	1498	EB	ESCAÑOS EN BLANCO	44	Teruel
2016	1453	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA	50	Zaragoza
2016	1337	MAS	MOVIMIENTO ARAGONÉS SOCIAL	50	Zaragoza
2016	1168	VOX	VOX	22	Huesca
2016	765	ENTABAN	ENTABAN	22	Huesca
2016	623	RECORTES CERO-GRUPO VERDE	RECORTES CERO-GRUPO VERDE	22	Huesca
2016	582	UPyD	UNIÓN PROGRESO Y DEMOCRACIA	22	Huesca
2016	500	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA	22	Huesca
2016	365	MAS	MOVIMIENTO ARAGONÉS SOCIAL	22	Huesca
2016	301	FE de las JONS	FALANGE ESPAÑOLA DE LAS JONS	44	Teruel
2016	247	RECORTES CERO-GRUPO VERDE	RECORTES CERO-GRUPO VERDE	44	Teruel
2016	181	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA	44	Teruel
2016	166	MAS	MOVIMIENTO ARAGONÉS SOCIAL	44	Teruel
2016	110	INDEPENDIENTES-FIA	INDEPENDIENTES POR ARAGÓN	44	Teruel
2016	73	UDT	UNIÓN DE TODOS	44	Teruel
2015	458863	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON PARTIDO ARAGONÉS	50	Zaragoza
2015	328255	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	50	Zaragoza
2015	255526	PODEMOS	PODEMOS	50	Zaragoza
2015	202106	C's	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	50	Zaragoza
2015	111636	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON PARTIDO ARAGONÉS	22	Huesca
2015	97903	IU-CHA-UPeC	UNIDAD POPULAR: IZQUIERDA UNIDA, CHUNTA ARAGONESISTA, UNIDAD POPULAR EN COMÚN	50	Zaragoza
2015	85766	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	22	Huesca
2015	80039	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON PARTIDO ARAGONÉS	44	Teruel
2015	56113	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	44	Teruel
2015	50355	PODEMOS-Ahora Alto Aragón en Común	PODEMOS-Ahora Alto Aragón en Común	22	Huesca
2015	42247	C's	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	22	Huesca
2015	28442	PODEMOS	PODEMOS	44	Teruel
2015	26169	EB	ESCAÑOS EN BLANCO	50	Zaragoza
2015	25323	C's	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	44	Teruel
2015	18704	IU-CHA-UPeC	UNIDAD POPULAR: IZQUIERDA UNIDA, CHUNTA ARAGONESISTA, UNIDAD POPULAR EN COMÚN	22	Huesca
2015	18078	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	50	Zaragoza
2015	14359	UPyD	UNIÓN PROGRESO Y DEMOCRACIA	50	Zaragoza
2015	11569	IU-CHA-UPeC	UNIDAD POPULAR: IZQUIERDA UNIDA, CHUNTA ARAGONESISTA, UNIDAD POPULAR EN COMÚN	44	Teruel
2015	4887	EB	ESCAÑOS EN BLANCO	22	Huesca
2015	4645	RECORTES CERO-GRUPO VERDE	RECORTES CERO-GRUPO VERDE	50	Zaragoza
2015	4270	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	22	Huesca
2015	3877	VOX	VOX	50	Zaragoza
2015	2921	EB	ESCAÑOS EN BLANCO	44	Teruel
2015	2790	UPyD	UNIÓN PROGRESO Y DEMOCRACIA	22	Huesca
2015	2428	INDEPENDIENTES-FIA	INDEPENDIENTES POR ARAGÓN	50	Zaragoza
2015	1981	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	44	Teruel
2015	1464	UPyD	UNIÓN PROGRESO Y DEMOCRACIA	44	Teruel
2015	1373	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA	50	Zaragoza
2015	1179	BAR	BAR	50	Zaragoza
2015	753	RECORTES CERO-GRUPO VERDE	RECORTES CERO-GRUPO VERDE	22	Huesca
2015	533	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA	22	Huesca
2015	341	RECORTES CERO-GRUPO VERDE	RECORTES CERO-GRUPO VERDE	44	Teruel
2015	314	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA	44	Teruel
2015	269	INDEPENDIENTES-FIA	INDEPENDIENTES POR ARAGÓN	22	Huesca
2011	662356	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS	50	Zaragoza
2011	425329	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	50	Zaragoza
2011	159995	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS	22	Huesca
2011	144300	CHA-IU	CHUNTA ARAGONESISTA-IZQUIERDA UNIDA, LA IZQUIERDA DE ARAGÓN: LA IZQUIERDA PLURAL	50	Zaragoza
2011	111084	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	22	Huesca
2011	110666	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS	44	Teruel
2011	69938	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	44	Teruel
2011	32172	UPyD	UNIÓN PROGRESO Y DEMOCRACIA	50	Zaragoza
2011	23992	CHA-IU	CHUNTA ARAGONESISTA-IZQUIERDA UNIDA, LA IZQUIERDA DE ARAGÓN: LA IZQUIERDA PLURAL	22	Huesca
2011	14357	CHA-IU	CHUNTA ARAGONESISTA-IZQUIERDA UNIDA, LA IZQUIERDA DE ARAGÓN: LA IZQUIERDA PLURAL	44	Teruel
2011	12854	EB	ESCAÑOS EN BLANCO	50	Zaragoza
2011	11831	EQUO	EQUO	50	Zaragoza
2011	10152	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	50	Zaragoza
2011	5799	UPyD	UNIÓN PROGRESO Y DEMOCRACIA	22	Huesca
2011	4682	EQUO	EQUO	22	Huesca
2011	2807	PUM+J	POR UN MUNDO MÁS JUSTO	50	Zaragoza
2011	2761	UPyD	UNIÓN PROGRESO Y DEMOCRACIA	44	Teruel
2011	1887	DeC	DEMOS EL CAMBIO	50	Zaragoza
2011	1828	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA	50	Zaragoza
2011	1357	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	22	Huesca
2011	1225	EB	ESCAÑOS EN BLANCO	44	Teruel
2011	1209	PH	PARTIDO HUMANISTA	50	Zaragoza
2011	1081	PUM+J	POR UN MUNDO MÁS JUSTO	22	Huesca
2011	1041	P-LIB	PARTIDO DE LA LIBERTAD INDIVIDUAL	50	Zaragoza
2011	780	UCE	UNIFICACIÓN COMUNISTA DE ESPAÑA	50	Zaragoza
2011	716	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA	22	Huesca
2011	672	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	44	Teruel
2011	502	PUM+J	POR UN MUNDO MÁS JUSTO	44	Teruel
2011	446	SXT	SOCIALISTAS POR TERUEL	44	Teruel
2011	352	UCE	UNIFICACIÓN COMUNISTA DE ESPAÑA	22	Huesca
2011	228	UCE	UNIFICACIÓN COMUNISTA DE ESPAÑA	44	Teruel
2008	711921	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	50	Zaragoza
2008	558106	PP	PARTIDO POPULAR	50	Zaragoza
2008	174511	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	22	Huesca
2008	137070	PP	PARTIDO POPULAR	22	Huesca
2008	107201	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	44	Teruel
2008	95450	PP	PARTIDO POPULAR	44	Teruel
2008	86876	PAR	PARTIDO ARAGONES	50	Zaragoza
2008	85500	CHA	CHUNTA ARAGONESISTA	50	Zaragoza
2008	43893	IU	IZQUIERDA UNIDA-ALTERNATIVA	50	Zaragoza
2008	23949	PAR	PARTIDO ARAGONES	22	Huesca
2008	21913	PAR	PARTIDO ARAGONES	44	Teruel
2008	18300	UPyD	UNION PROGRESO Y DEMOCRACIA	50	Zaragoza
2008	13996	CHA	CHUNTA ARAGONESISTA	22	Huesca
2008	10108	IU	IZQUIERDA UNIDA-ALTERNATIVA	22	Huesca
2008	7786	CHA	CHUNTA ARAGONESISTA	44	Teruel
2008	7436	LV	LOS VERDES-GRUPO VERDE	50	Zaragoza
2008	6372	IU	IZQUIERDA UNIDA-ALTERNATIVA	44	Teruel
2008	4638	UPyD	UNION PROGRESO Y DEMOCRACIA	22	Huesca
2008	2822	LV	LOS VERDES-GRUPO VERDE	22	Huesca
2008	2727	C's	CIUDADANOS-PARTIDO DE LA CIUDADANIA	50	Zaragoza
2008	2364	UPyD	UNION PROGRESO Y DEMOCRACIA	44	Teruel
2008	2095	PACMA	PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL	50	Zaragoza
2008	1292	pCUA	PARTIDO CIUDADANOS UNIDOS DE ARAGON	50	Zaragoza
2008	1223	PUM+J	POR UN MUNDO MAS JUSTO	50	Zaragoza
2008	881	PSD-FIA	PARTIDO SOCIAL DEMOCRATA-FEDERACION DE LOS INDEPENDIENTES DE ARAGON	50	Zaragoza
2008	802	TA	TIERRA ARAGONESA	50	Zaragoza
2008	648	LV	LOS VERDES-GRUPO VERDE	44	Teruel
2008	538	FRENTE	FRENTE ESPAÑOL	50	Zaragoza
2008	513	FE de las JONS	FALANGE ESPAÑOLA DE LAS JONS	50	Zaragoza
2008	478	PACMA	PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL	22	Huesca
2008	472	PFyV	PARTIDO FAMILIA Y VIDA	50	Zaragoza
2008	441	DN	DEMOCRACIA NACIONAL	50	Zaragoza
2008	359	AuN	ALIANZA NACIONAL	44	Teruel
2008	348	FA	FALANGE AUTENTICA	50	Zaragoza
2008	327	PACMA	PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL	44	Teruel
2008	305	PUM+J	POR UN MUNDO MAS JUSTO	22	Huesca
2008	305	AES	ALTERNATIVA ESPAÑOLA	50	Zaragoza
2008	291	PFyV	PARTIDO FAMILIA Y VIDA	22	Huesca
2008	291	POSI	PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA	50	Zaragoza
2008	283	POSI	PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA	22	Huesca
2008	275	C's	CIUDADANOS-PARTIDO DE LA CIUDADANIA	22	Huesca
2008	269	PUM+J	POR UN MUNDO MAS JUSTO	44	Teruel
2008	263	PODEMOS-EQUO	PODEMOS-EQUO	50	Zaragoza
2008	256	PH	PARTIDO HUMANISTA	50	Zaragoza
2008	244	FE de las JONS	FALANGE ESPAÑOLA DE LAS JONS	22	Huesca
2008	243	PSD-FIA	PARTIDO SOCIAL DEMOCRATA-FEDERACION DE LOS INDEPENDIENTES DE ARAGON	22	Huesca
2008	222	pCUA	PARTIDO CIUDADANOS UNIDOS DE ARAGON	22	Huesca
2008	217	AuN	ALIANZA NACIONAL	50	Zaragoza
2008	191	DN	DEMOCRACIA NACIONAL	22	Huesca
2008	158	C's	CIUDADANOS-PARTIDO DE LA CIUDADANIA	44	Teruel
2008	151	FE de las JONS	FALANGE ESPAÑOLA DE LAS JONS	44	Teruel
2008	136	VOX	VOX	50	Zaragoza
2008	126	TA	TIERRA ARAGONESA	22	Huesca
2008	114	PAÑ	PLATAFORMA Ñ	44	Teruel
2008	101	pCUA	PARTIDO CIUDADANOS UNIDOS DE ARAGON	44	Teruel
2008	89	PSD-FIA	PARTIDO SOCIAL DEMOCRATA-FEDERACION DE LOS INDEPENDIENTES DE ARAGON	44	Teruel
2008	82	PH	PARTIDO HUMANISTA	22	Huesca
2008	79	AES	ALTERNATIVA ESPAÑOLA	44	Teruel
2008	77	AES	ALTERNATIVA ESPAÑOLA	22	Huesca
2008	70	POSI	PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA	44	Teruel
2008	64	DN	DEMOCRACIA NACIONAL	44	Teruel
2008	44	PODEMOS-EQUO	PODEMOS-EQUO	44	Teruel
2008	39	VOX	VOX	22	Huesca
2008	39	PFyV	PARTIDO FAMILIA Y VIDA	44	Teruel
2008	29	VOX	VOX	44	Teruel
