Mes y año	Provincia código	Provincia nombre	Edad (Grupos Quinquenales 2010)	Sexo	Afiliaciones en alta
Diciembre 2020	44	Teruel	60-64	Hombres	1084
Diciembre 2020	44	Teruel	60-64	Mujeres	649
Diciembre 2020	44	Teruel	65-69	Hombres	173
Diciembre 2020	44	Teruel	65-69	Mujeres	114
Diciembre 2020	44	Teruel	Más de 69	Hombres	53
Diciembre 2020	44	Teruel	Más de 69	Mujeres	22
Diciembre 2020	44	Teruel	Sin clasificar	Hombres	1
Diciembre 2020	50	Zaragoza	16-19	Hombres	139
Diciembre 2020	50	Zaragoza	16-19	Mujeres	54
Diciembre 2020	50	Zaragoza	20-24	Hombres	866
Diciembre 2020	50	Zaragoza	20-24	Mujeres	325
Diciembre 2020	50	Zaragoza	25-29	Hombres	1690
Diciembre 2020	50	Zaragoza	25-29	Mujeres	959
Diciembre 2020	50	Zaragoza	30-34	Hombres	2649
Diciembre 2020	50	Zaragoza	30-34	Mujeres	1704
Diciembre 2020	50	Zaragoza	35-39	Hombres	4095
Diciembre 2020	50	Zaragoza	35-39	Mujeres	2445
Diciembre 2020	50	Zaragoza	40-44	Hombres	5967
Diciembre 2020	50	Zaragoza	40-44	Mujeres	3226
Diciembre 2020	50	Zaragoza	45-49	Hombres	6996
Diciembre 2020	50	Zaragoza	45-49	Mujeres	3773
Diciembre 2020	50	Zaragoza	50-54	Hombres	6880
Diciembre 2020	50	Zaragoza	50-54	Mujeres	3779
Diciembre 2020	50	Zaragoza	55-59	Hombres	6495
Diciembre 2020	50	Zaragoza	55-59	Mujeres	3352
Diciembre 2020	50	Zaragoza	60-64	Hombres	4684
Diciembre 2020	50	Zaragoza	60-64	Mujeres	2569
Diciembre 2020	50	Zaragoza	65-69	Hombres	1192
Diciembre 2020	50	Zaragoza	65-69	Mujeres	681
Diciembre 2020	50	Zaragoza	Más de 69	Hombres	571
Diciembre 2020	50	Zaragoza	Más de 69	Mujeres	311
Diciembre 2020	50	Zaragoza	Sin clasificar	Mujeres	8
Noviembre 2020	22	Huesca	16-19	Hombres	35
Noviembre 2020	22	Huesca	16-19	Mujeres	10
Noviembre 2020	22	Huesca	20-24	Hombres	283
Noviembre 2020	22	Huesca	20-24	Mujeres	81
Noviembre 2020	22	Huesca	25-29	Hombres	593
Noviembre 2020	22	Huesca	25-29	Mujeres	251
Noviembre 2020	22	Huesca	30-34	Hombres	856
Noviembre 2020	22	Huesca	30-34	Mujeres	495
Noviembre 2020	22	Huesca	35-39	Hombres	1373
Noviembre 2020	22	Huesca	35-39	Mujeres	702
Noviembre 2020	22	Huesca	40-44	Hombres	2007
Noviembre 2020	22	Huesca	40-44	Mujeres	973
Noviembre 2020	22	Huesca	45-49	Hombres	2153
Noviembre 2020	22	Huesca	45-49	Mujeres	1100
Noviembre 2020	22	Huesca	50-54	Hombres	2213
Noviembre 2020	22	Huesca	50-54	Mujeres	1157
Noviembre 2020	22	Huesca	55-59	Hombres	2210
Noviembre 2020	22	Huesca	55-59	Mujeres	1152
Noviembre 2020	22	Huesca	60-64	Hombres	1804
Noviembre 2020	22	Huesca	60-64	Mujeres	920
Noviembre 2020	22	Huesca	65-69	Hombres	578
Noviembre 2020	22	Huesca	65-69	Mujeres	297
Noviembre 2020	22	Huesca	Más de 69	Hombres	318
Noviembre 2020	22	Huesca	Más de 69	Mujeres	111
Noviembre 2020	22	Huesca	Sin clasificar	Hombres	1
Noviembre 2020	44	Teruel	16-19	Hombres	20
Noviembre 2020	44	Teruel	16-19	Mujeres	6
Noviembre 2020	44	Teruel	20-24	Hombres	182
Noviembre 2020	44	Teruel	20-24	Mujeres	44
Noviembre 2020	44	Teruel	25-29	Hombres	381
Noviembre 2020	44	Teruel	25-29	Mujeres	190
Noviembre 2020	44	Teruel	30-34	Hombres	624
Noviembre 2020	44	Teruel	30-34	Mujeres	323
Noviembre 2020	44	Teruel	35-39	Hombres	837
Noviembre 2020	44	Teruel	35-39	Mujeres	452
Noviembre 2020	44	Teruel	40-44	Hombres	1067
Noviembre 2020	44	Teruel	40-44	Mujeres	511
Noviembre 2020	44	Teruel	45-49	Hombres	1279
Noviembre 2020	44	Teruel	45-49	Mujeres	633
Noviembre 2020	44	Teruel	50-54	Hombres	1387
Noviembre 2020	44	Teruel	50-54	Mujeres	725
Noviembre 2020	44	Teruel	55-59	Hombres	1453
Noviembre 2020	44	Teruel	55-59	Mujeres	805
Noviembre 2020	44	Teruel	60-64	Hombres	1083
Noviembre 2020	44	Teruel	60-64	Mujeres	649
Noviembre 2020	44	Teruel	65-69	Hombres	177
Noviembre 2020	44	Teruel	65-69	Mujeres	110
Noviembre 2020	44	Teruel	Más de 69	Hombres	51
Noviembre 2020	44	Teruel	Más de 69	Mujeres	23
Noviembre 2020	44	Teruel	Sin clasificar	Hombres	1
Noviembre 2020	50	Zaragoza	16-19	Hombres	123
Noviembre 2020	50	Zaragoza	16-19	Mujeres	46
Noviembre 2020	50	Zaragoza	20-24	Hombres	868
Noviembre 2020	50	Zaragoza	20-24	Mujeres	327
Noviembre 2020	50	Zaragoza	25-29	Hombres	1674
Noviembre 2020	50	Zaragoza	25-29	Mujeres	945
Noviembre 2020	50	Zaragoza	30-34	Hombres	2642
Noviembre 2020	50	Zaragoza	30-34	Mujeres	1699
Noviembre 2020	50	Zaragoza	35-39	Hombres	4106
Noviembre 2020	50	Zaragoza	35-39	Mujeres	2428
Noviembre 2020	50	Zaragoza	40-44	Hombres	5982
Noviembre 2020	50	Zaragoza	40-44	Mujeres	3224
Noviembre 2020	50	Zaragoza	45-49	Hombres	7000
Noviembre 2020	50	Zaragoza	45-49	Mujeres	3768
Noviembre 2020	50	Zaragoza	50-54	Hombres	6876
Noviembre 2020	50	Zaragoza	50-54	Mujeres	3765
Noviembre 2020	50	Zaragoza	55-59	Hombres	6472
Noviembre 2020	50	Zaragoza	55-59	Mujeres	3324
Noviembre 2020	50	Zaragoza	60-64	Hombres	4686
Noviembre 2020	50	Zaragoza	60-64	Mujeres	2578
Noviembre 2020	50	Zaragoza	65-69	Hombres	1200
Noviembre 2020	50	Zaragoza	65-69	Mujeres	685
Noviembre 2020	50	Zaragoza	Más de 69	Hombres	565
Noviembre 2020	50	Zaragoza	Más de 69	Mujeres	314
Noviembre 2020	50	Zaragoza	Sin clasificar	Mujeres	8
Octubre 2020	22	Huesca	16-19	Hombres	36
Octubre 2020	22	Huesca	16-19	Mujeres	11
Octubre 2020	22	Huesca	20-24	Hombres	284
Octubre 2020	22	Huesca	20-24	Mujeres	86
Octubre 2020	22	Huesca	25-29	Hombres	588
Octubre 2020	22	Huesca	25-29	Mujeres	242
Octubre 2020	22	Huesca	30-34	Hombres	854
Octubre 2020	22	Huesca	30-34	Mujeres	492
Octubre 2020	22	Huesca	35-39	Hombres	1365
Octubre 2020	22	Huesca	35-39	Mujeres	712
Octubre 2020	22	Huesca	40-44	Hombres	2020
Octubre 2020	22	Huesca	40-44	Mujeres	990
Octubre 2020	22	Huesca	45-49	Hombres	2143
Octubre 2020	22	Huesca	45-49	Mujeres	1110
Octubre 2020	22	Huesca	50-54	Hombres	2226
Octubre 2020	22	Huesca	50-54	Mujeres	1156
Octubre 2020	22	Huesca	55-59	Hombres	2208
Octubre 2020	22	Huesca	55-59	Mujeres	1156
Octubre 2020	22	Huesca	60-64	Hombres	1817
Octubre 2020	22	Huesca	60-64	Mujeres	920
Octubre 2020	22	Huesca	65-69	Hombres	581
Octubre 2020	22	Huesca	65-69	Mujeres	302
Octubre 2020	22	Huesca	Más de 69	Hombres	318
Octubre 2020	22	Huesca	Más de 69	Mujeres	110
Octubre 2020	22	Huesca	Sin clasificar	Hombres	1
Octubre 2020	44	Teruel	16-19	Hombres	18
Octubre 2020	44	Teruel	16-19	Mujeres	7
Octubre 2020	44	Teruel	20-24	Hombres	177
Octubre 2020	44	Teruel	20-24	Mujeres	44
Octubre 2020	44	Teruel	25-29	Hombres	388
Octubre 2020	44	Teruel	25-29	Mujeres	193
Octubre 2020	44	Teruel	30-34	Hombres	624
Octubre 2020	44	Teruel	30-34	Mujeres	328
Octubre 2020	44	Teruel	35-39	Hombres	838
Octubre 2020	44	Teruel	35-39	Mujeres	448
Octubre 2020	44	Teruel	40-44	Hombres	1076
Octubre 2020	44	Teruel	40-44	Mujeres	514
Octubre 2020	44	Teruel	45-49	Hombres	1285
Octubre 2020	44	Teruel	45-49	Mujeres	633
Octubre 2020	44	Teruel	50-54	Hombres	1390
Octubre 2020	44	Teruel	50-54	Mujeres	737
Octubre 2020	44	Teruel	55-59	Hombres	1449
Octubre 2020	44	Teruel	55-59	Mujeres	801
Octubre 2020	44	Teruel	60-64	Hombres	1083
Octubre 2020	44	Teruel	60-64	Mujeres	647
Octubre 2020	44	Teruel	65-69	Hombres	182
Octubre 2020	44	Teruel	65-69	Mujeres	114
Octubre 2020	44	Teruel	Más de 69	Hombres	54
Octubre 2020	44	Teruel	Más de 69	Mujeres	24
Octubre 2020	44	Teruel	Sin clasificar	Hombres	1
Octubre 2020	50	Zaragoza	16-19	Hombres	115
Octubre 2020	50	Zaragoza	16-19	Mujeres	47
Octubre 2020	50	Zaragoza	20-24	Hombres	879
Octubre 2020	50	Zaragoza	20-24	Mujeres	320
Octubre 2020	50	Zaragoza	25-29	Hombres	1678
Octubre 2020	50	Zaragoza	25-29	Mujeres	931
Octubre 2020	50	Zaragoza	30-34	Hombres	2650
Octubre 2020	50	Zaragoza	30-34	Mujeres	1706
Octubre 2020	50	Zaragoza	35-39	Hombres	4123
Octubre 2020	50	Zaragoza	35-39	Mujeres	2417
Octubre 2020	50	Zaragoza	40-44	Hombres	6031
Octubre 2020	50	Zaragoza	40-44	Mujeres	3244
Octubre 2020	50	Zaragoza	45-49	Hombres	7035
Octubre 2020	50	Zaragoza	45-49	Mujeres	3777
Octubre 2020	50	Zaragoza	50-54	Hombres	6872
Octubre 2020	50	Zaragoza	50-54	Mujeres	3778
Octubre 2020	50	Zaragoza	55-59	Hombres	6482
Octubre 2020	50	Zaragoza	55-59	Mujeres	3314
Octubre 2020	50	Zaragoza	60-64	Hombres	4671
Octubre 2020	50	Zaragoza	60-64	Mujeres	2591
Octubre 2020	50	Zaragoza	65-69	Hombres	1202
Octubre 2020	50	Zaragoza	65-69	Mujeres	685
Octubre 2020	50	Zaragoza	Más de 69	Hombres	554
Octubre 2020	50	Zaragoza	Más de 69	Mujeres	311
Octubre 2020	50	Zaragoza	Sin clasificar	Mujeres	8
Septiembre 2020	22	Huesca	16-19	Hombres	36
Septiembre 2020	22	Huesca	16-19	Mujeres	12
Septiembre 2020	22	Huesca	20-24	Hombres	296
Septiembre 2020	22	Huesca	20-24	Mujeres	89
Septiembre 2020	22	Huesca	25-29	Hombres	583
Septiembre 2020	22	Huesca	25-29	Mujeres	243
Septiembre 2020	22	Huesca	30-34	Hombres	861
Septiembre 2020	22	Huesca	30-34	Mujeres	492
Septiembre 2020	22	Huesca	35-39	Hombres	1363
Septiembre 2020	22	Huesca	35-39	Mujeres	722
Septiembre 2020	22	Huesca	40-44	Hombres	2023
Septiembre 2020	22	Huesca	40-44	Mujeres	971
Septiembre 2020	22	Huesca	45-49	Hombres	2165
Septiembre 2020	22	Huesca	45-49	Mujeres	1115
Septiembre 2020	22	Huesca	50-54	Hombres	2230
Septiembre 2020	22	Huesca	50-54	Mujeres	1152
Septiembre 2020	22	Huesca	55-59	Hombres	2216
Septiembre 2020	22	Huesca	55-59	Mujeres	1142
Septiembre 2020	22	Huesca	60-64	Hombres	1813
Septiembre 2020	22	Huesca	60-64	Mujeres	923
Septiembre 2020	22	Huesca	65-69	Hombres	578
Septiembre 2020	22	Huesca	65-69	Mujeres	306
Septiembre 2020	22	Huesca	Más de 69	Hombres	314
Septiembre 2020	22	Huesca	Más de 69	Mujeres	109
Septiembre 2020	22	Huesca	Sin clasificar	Hombres	1
Septiembre 2020	44	Teruel	16-19	Hombres	18
Septiembre 2020	44	Teruel	16-19	Mujeres	7
Septiembre 2020	44	Teruel	20-24	Hombres	186
Septiembre 2020	44	Teruel	20-24	Mujeres	45
Septiembre 2020	44	Teruel	25-29	Hombres	384
Septiembre 2020	44	Teruel	25-29	Mujeres	191
Septiembre 2020	44	Teruel	30-34	Hombres	625
Septiembre 2020	44	Teruel	30-34	Mujeres	319
Septiembre 2020	44	Teruel	35-39	Hombres	818
Septiembre 2020	44	Teruel	35-39	Mujeres	448
Septiembre 2020	44	Teruel	40-44	Hombres	1069
Septiembre 2020	44	Teruel	40-44	Mujeres	500
Septiembre 2020	44	Teruel	45-49	Hombres	1297
Septiembre 2020	44	Teruel	45-49	Mujeres	638
Septiembre 2020	44	Teruel	50-54	Hombres	1378
Septiembre 2020	44	Teruel	50-54	Mujeres	747
Septiembre 2020	44	Teruel	55-59	Hombres	1454
Septiembre 2020	44	Teruel	55-59	Mujeres	800
Septiembre 2020	44	Teruel	60-64	Hombres	1095
Septiembre 2020	44	Teruel	60-64	Mujeres	639
Septiembre 2020	44	Teruel	65-69	Hombres	175
Septiembre 2020	44	Teruel	65-69	Mujeres	119
Septiembre 2020	44	Teruel	Más de 69	Hombres	54
Septiembre 2020	44	Teruel	Más de 69	Mujeres	25
Septiembre 2020	44	Teruel	Sin clasificar	Hombres	1
Septiembre 2020	50	Zaragoza	16-19	Hombres	122
Septiembre 2020	50	Zaragoza	16-19	Mujeres	55
Septiembre 2020	50	Zaragoza	20-24	Hombres	889
Septiembre 2020	50	Zaragoza	20-24	Mujeres	322
Septiembre 2020	50	Zaragoza	25-29	Hombres	1678
Septiembre 2020	50	Zaragoza	25-29	Mujeres	908
Septiembre 2020	50	Zaragoza	30-34	Hombres	2641
Septiembre 2020	50	Zaragoza	30-34	Mujeres	1686
Septiembre 2020	50	Zaragoza	35-39	Hombres	4100
Septiembre 2020	50	Zaragoza	35-39	Mujeres	2430
Septiembre 2020	50	Zaragoza	40-44	Hombres	6069
Septiembre 2020	50	Zaragoza	40-44	Mujeres	3247
Septiembre 2020	50	Zaragoza	45-49	Hombres	7022
Septiembre 2020	50	Zaragoza	45-49	Mujeres	3771
Septiembre 2020	50	Zaragoza	50-54	Hombres	6894
Septiembre 2020	50	Zaragoza	50-54	Mujeres	3755
Septiembre 2020	50	Zaragoza	55-59	Hombres	6478
Septiembre 2020	50	Zaragoza	55-59	Mujeres	3309
Septiembre 2020	50	Zaragoza	60-64	Hombres	4660
Septiembre 2020	50	Zaragoza	60-64	Mujeres	2585
Septiembre 2020	50	Zaragoza	65-69	Hombres	1184
Septiembre 2020	50	Zaragoza	65-69	Mujeres	660
Septiembre 2020	50	Zaragoza	Más de 69	Hombres	549
Septiembre 2020	50	Zaragoza	Más de 69	Mujeres	312
Septiembre 2020	50	Zaragoza	Sin clasificar	Mujeres	8
Agosto 2020	22	Huesca	16-19	Hombres	59
Agosto 2020	22	Huesca	16-19	Mujeres	21
Agosto 2020	22	Huesca	20-24	Hombres	329
Agosto 2020	22	Huesca	20-24	Mujeres	103
Agosto 2020	22	Huesca	25-29	Hombres	594
Agosto 2020	22	Huesca	25-29	Mujeres	252
Agosto 2020	22	Huesca	30-34	Hombres	872
Agosto 2020	22	Huesca	30-34	Mujeres	492
Agosto 2020	22	Huesca	35-39	Hombres	1369
Agosto 2020	22	Huesca	35-39	Mujeres	731
Agosto 2020	22	Huesca	40-44	Hombres	2036
Agosto 2020	22	Huesca	40-44	Mujeres	991
Agosto 2020	22	Huesca	45-49	Hombres	2153
Agosto 2020	22	Huesca	45-49	Mujeres	1107
Agosto 2020	22	Huesca	50-54	Hombres	2240
Agosto 2020	22	Huesca	50-54	Mujeres	1159
Agosto 2020	22	Huesca	55-59	Hombres	2214
Agosto 2020	22	Huesca	55-59	Mujeres	1158
Agosto 2020	22	Huesca	60-64	Hombres	1804
Agosto 2020	22	Huesca	60-64	Mujeres	924
Agosto 2020	22	Huesca	65-69	Hombres	593
Agosto 2020	22	Huesca	65-69	Mujeres	306
Agosto 2020	22	Huesca	Más de 69	Hombres	311
Agosto 2020	22	Huesca	Más de 69	Mujeres	115
Agosto 2020	22	Huesca	Sin clasificar	Hombres	1
Agosto 2020	44	Teruel	16-19	Hombres	25
Agosto 2020	44	Teruel	16-19	Mujeres	8
Agosto 2020	44	Teruel	20-24	Hombres	200
Agosto 2020	44	Teruel	20-24	Mujeres	54
Agosto 2020	44	Teruel	25-29	Hombres	386
Agosto 2020	44	Teruel	25-29	Mujeres	193
Agosto 2020	44	Teruel	30-34	Hombres	630
Agosto 2020	44	Teruel	30-34	Mujeres	324
Agosto 2020	44	Teruel	35-39	Hombres	830
Agosto 2020	44	Teruel	35-39	Mujeres	443
Agosto 2020	44	Teruel	40-44	Hombres	1079
Agosto 2020	44	Teruel	40-44	Mujeres	511
Agosto 2020	44	Teruel	45-49	Hombres	1294
Agosto 2020	44	Teruel	45-49	Mujeres	637
Agosto 2020	44	Teruel	50-54	Hombres	1387
Agosto 2020	44	Teruel	50-54	Mujeres	755
Agosto 2020	44	Teruel	55-59	Hombres	1453
Agosto 2020	44	Teruel	55-59	Mujeres	796
Agosto 2020	44	Teruel	60-64	Hombres	1093
Agosto 2020	44	Teruel	60-64	Mujeres	641
Agosto 2020	44	Teruel	65-69	Hombres	171
Agosto 2020	44	Teruel	65-69	Mujeres	124
Agosto 2020	44	Teruel	Más de 69	Hombres	55
Agosto 2020	44	Teruel	Más de 69	Mujeres	25
Agosto 2020	44	Teruel	Sin clasificar	Hombres	1
Agosto 2020	50	Zaragoza	16-19	Hombres	135
Agosto 2020	50	Zaragoza	16-19	Mujeres	59
Agosto 2020	50	Zaragoza	20-24	Hombres	902
Agosto 2020	50	Zaragoza	20-24	Mujeres	344
Agosto 2020	50	Zaragoza	25-29	Hombres	1666
Agosto 2020	50	Zaragoza	25-29	Mujeres	914
Agosto 2020	50	Zaragoza	30-34	Hombres	2665
Agosto 2020	50	Zaragoza	30-34	Mujeres	1708
Agosto 2020	50	Zaragoza	35-39	Hombres	4107
Agosto 2020	50	Zaragoza	35-39	Mujeres	2441
Agosto 2020	50	Zaragoza	40-44	Hombres	6106
Agosto 2020	50	Zaragoza	40-44	Mujeres	3257
Agosto 2020	50	Zaragoza	45-49	Hombres	7038
Agosto 2020	50	Zaragoza	45-49	Mujeres	3773
Agosto 2020	50	Zaragoza	50-54	Hombres	6900
Agosto 2020	50	Zaragoza	50-54	Mujeres	3759
Agosto 2020	50	Zaragoza	55-59	Hombres	6464
Agosto 2020	50	Zaragoza	55-59	Mujeres	3308
Agosto 2020	50	Zaragoza	60-64	Hombres	4651
Agosto 2020	50	Zaragoza	60-64	Mujeres	2574
Agosto 2020	50	Zaragoza	65-69	Hombres	1184
Agosto 2020	50	Zaragoza	65-69	Mujeres	648
Agosto 2020	50	Zaragoza	Más de 69	Hombres	543
Agosto 2020	50	Zaragoza	Más de 69	Mujeres	314
Agosto 2020	50	Zaragoza	Sin clasificar	Mujeres	8
Julio 2020	22	Huesca	16-19	Hombres	62
Julio 2020	22	Huesca	16-19	Mujeres	24
Julio 2020	22	Huesca	20-24	Hombres	346
Julio 2020	22	Huesca	20-24	Mujeres	105
Julio 2020	22	Huesca	25-29	Hombres	592
Julio 2020	22	Huesca	25-29	Mujeres	250
Julio 2020	22	Huesca	30-34	Hombres	878
Julio 2020	22	Huesca	30-34	Mujeres	502
Julio 2020	22	Huesca	35-39	Hombres	1381
Julio 2020	22	Huesca	35-39	Mujeres	736
Julio 2020	22	Huesca	40-44	Hombres	2053
Julio 2020	22	Huesca	40-44	Mujeres	994
Julio 2020	22	Huesca	45-49	Hombres	2166
Julio 2020	22	Huesca	45-49	Mujeres	1111
Julio 2020	22	Huesca	50-54	Hombres	2238
Julio 2020	22	Huesca	50-54	Mujeres	1168
Julio 2020	22	Huesca	55-59	Hombres	2218
Julio 2020	22	Huesca	55-59	Mujeres	1155
Julio 2020	22	Huesca	60-64	Hombres	1798
Julio 2020	22	Huesca	60-64	Mujeres	922
Julio 2020	22	Huesca	65-69	Hombres	591
Julio 2020	22	Huesca	65-69	Mujeres	296
Julio 2020	22	Huesca	Más de 69	Hombres	302
Julio 2020	22	Huesca	Más de 69	Mujeres	114
Julio 2020	22	Huesca	Sin clasificar	Hombres	1
Julio 2020	44	Teruel	16-19	Hombres	29
Julio 2020	44	Teruel	16-19	Mujeres	10
Julio 2020	44	Teruel	20-24	Hombres	208
Julio 2020	44	Teruel	20-24	Mujeres	58
Julio 2020	44	Teruel	25-29	Hombres	385
Julio 2020	44	Teruel	25-29	Mujeres	199
Julio 2020	44	Teruel	30-34	Hombres	631
Julio 2020	44	Teruel	30-34	Mujeres	329
Julio 2020	44	Teruel	35-39	Hombres	832
Julio 2020	44	Teruel	35-39	Mujeres	446
Julio 2020	44	Teruel	40-44	Hombres	1089
Julio 2020	44	Teruel	40-44	Mujeres	520
Julio 2020	44	Teruel	45-49	Hombres	1293
Julio 2020	44	Teruel	45-49	Mujeres	633
Julio 2020	44	Teruel	50-54	Hombres	1396
Julio 2020	44	Teruel	50-54	Mujeres	756
Julio 2020	44	Teruel	55-59	Hombres	1458
Julio 2020	44	Teruel	55-59	Mujeres	788
Julio 2020	44	Teruel	60-64	Hombres	1089
Julio 2020	44	Teruel	60-64	Mujeres	638
Julio 2020	44	Teruel	65-69	Hombres	169
Julio 2020	44	Teruel	65-69	Mujeres	125
Julio 2020	44	Teruel	Más de 69	Hombres	55
Julio 2020	44	Teruel	Más de 69	Mujeres	26
Julio 2020	44	Teruel	Sin clasificar	Hombres	1
Julio 2020	50	Zaragoza	16-19	Hombres	149
Julio 2020	50	Zaragoza	16-19	Mujeres	61
Julio 2020	50	Zaragoza	20-24	Hombres	914
Julio 2020	50	Zaragoza	20-24	Mujeres	358
Julio 2020	50	Zaragoza	25-29	Hombres	1666
Julio 2020	50	Zaragoza	25-29	Mujeres	938
Julio 2020	50	Zaragoza	30-34	Hombres	2687
Julio 2020	50	Zaragoza	30-34	Mujeres	1727
Julio 2020	50	Zaragoza	35-39	Hombres	4122
Julio 2020	50	Zaragoza	35-39	Mujeres	2446
Julio 2020	50	Zaragoza	40-44	Hombres	6135
Julio 2020	50	Zaragoza	40-44	Mujeres	3269
Julio 2020	50	Zaragoza	45-49	Hombres	7029
Julio 2020	50	Zaragoza	45-49	Mujeres	3777
Julio 2020	50	Zaragoza	50-54	Hombres	6902
Julio 2020	50	Zaragoza	50-54	Mujeres	3776
Julio 2020	50	Zaragoza	55-59	Hombres	6437
Julio 2020	50	Zaragoza	55-59	Mujeres	3297
Julio 2020	50	Zaragoza	60-64	Hombres	4634
Julio 2020	50	Zaragoza	60-64	Mujeres	2564
Julio 2020	50	Zaragoza	65-69	Hombres	1163
Julio 2020	50	Zaragoza	65-69	Mujeres	638
Julio 2020	50	Zaragoza	Más de 69	Hombres	538
Julio 2020	50	Zaragoza	Más de 69	Mujeres	307
Julio 2020	50	Zaragoza	Sin clasificar	Mujeres	8
Junio 2020	22	Huesca	16-19	Hombres	43
Junio 2020	22	Huesca	16-19	Mujeres	13
Junio 2020	22	Huesca	20-24	Hombres	309
Junio 2020	22	Huesca	20-24	Mujeres	89
Junio 2020	22	Huesca	25-29	Hombres	588
Junio 2020	22	Huesca	25-29	Mujeres	241
Junio 2020	22	Huesca	30-34	Hombres	881
Junio 2020	22	Huesca	30-34	Mujeres	503
Junio 2020	22	Huesca	35-39	Hombres	1385
Junio 2020	22	Huesca	35-39	Mujeres	730
Junio 2020	22	Huesca	40-44	Hombres	2054
Junio 2020	22	Huesca	40-44	Mujeres	985
Junio 2020	22	Huesca	45-49	Hombres	2146
Junio 2020	22	Huesca	45-49	Mujeres	1094
Junio 2020	22	Huesca	50-54	Hombres	2237
Junio 2020	22	Huesca	50-54	Mujeres	1148
Junio 2020	22	Huesca	55-59	Hombres	2194
Junio 2020	22	Huesca	55-59	Mujeres	1156
Junio 2020	22	Huesca	60-64	Hombres	1819
Junio 2020	22	Huesca	60-64	Mujeres	910
Junio 2020	22	Huesca	65-69	Hombres	582
Junio 2020	22	Huesca	65-69	Mujeres	288
Junio 2020	22	Huesca	Más de 69	Hombres	295
Junio 2020	22	Huesca	Más de 69	Mujeres	108
Junio 2020	22	Huesca	Sin clasificar	Hombres	1
Junio 2020	44	Teruel	16-19	Hombres	29
Junio 2020	44	Teruel	16-19	Mujeres	8
Junio 2020	44	Teruel	20-24	Hombres	195
Junio 2020	44	Teruel	20-24	Mujeres	53
Junio 2020	44	Teruel	25-29	Hombres	394
Junio 2020	44	Teruel	25-29	Mujeres	183
Junio 2020	44	Teruel	30-34	Hombres	622
Junio 2020	44	Teruel	30-34	Mujeres	333
Junio 2020	44	Teruel	35-39	Hombres	830
Junio 2020	44	Teruel	35-39	Mujeres	446
Junio 2020	44	Teruel	40-44	Hombres	1101
Junio 2020	44	Teruel	40-44	Mujeres	528
Junio 2020	44	Teruel	45-49	Hombres	1296
Junio 2020	44	Teruel	45-49	Mujeres	648
Junio 2020	44	Teruel	50-54	Hombres	1383
Junio 2020	44	Teruel	50-54	Mujeres	753
Junio 2020	44	Teruel	55-59	Hombres	1457
Junio 2020	44	Teruel	55-59	Mujeres	782
Junio 2020	44	Teruel	60-64	Hombres	1091
Junio 2020	44	Teruel	60-64	Mujeres	637
Junio 2020	44	Teruel	65-69	Hombres	170
