Año	Empleo	Código	Comarca
2014	5360	02	Alto Gállego
2014	2424	03	Sobrarbe
2014	5032	04	La Ribagorza
2014	11584	05	Cinco Villas
2014	33826	06	Hoya de Huesca / Plana de Uesca
2014	9647	07	Somontano de Barbastro
2014	8470	08	Cinca Medio
2014	7746	09	La Litera / La Llitera
2014	6336	10	Los Monegros
2014	10762	11	Bajo Cinca / Baix Cinca
2014	3891	12	Tarazona y el Moncayo
2014	4821	13	Campo de Borja
2014	2022	14	Aranda
2014	18642	15	Ribera Alta del Ebro
2014	12913	16	Valdejalón
2014	318759	17	Central
2014	3686	18	Ribera Baja del Ebro
2014	5082	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2014	10677	20	Comunidad de Calatayud
2014	4414	21	Campo de Cariñena
2014	1265	22	Campo de Belchite
2014	2336	23	Bajo Martín
2014	1963	24	Campo de Daroca
2014	3782	25	Jiloca
2014	2389	26	Cuencas Mineras
2014	3171	27	Andorra-Sierra de Arcos
2014	10441	28	Bajo Aragón
2014	24616	29	Comunidad de Teruel
2014	1046	30	Maestrazgo
2014	1240	31	Sierra de Albarracín
2014	2969	32	Gúdar-Javalambre
2014	3112	33	Matarraña / Matarranya
2013	6455	01	La Jacetania
2013	5768	02	Alto Gállego
2013	2404	03	Sobrarbe
2013	5061	04	La Ribagorza
2013	11356	05	Cinco Villas
2013	33597	06	Hoya de Huesca / Plana de Uesca
2013	9661	07	Somontano de Barbastro
2013	8744	08	Cinca Medio
2013	7670	09	La Litera / La Llitera
2013	6401	10	Los Monegros
2013	10974	11	Bajo Cinca / Baix Cinca
2013	3848	12	Tarazona y el Moncayo
2013	4880	13	Campo de Borja
2013	2077	14	Aranda
2013	18905	15	Ribera Alta del Ebro
2013	12740	16	Valdejalón
2013	318898	17	Central
2013	3766	18	Ribera Baja del Ebro
2013	5181	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2013	10627	20	Comunidad de Calatayud
2013	4444	21	Campo de Cariñena
2013	1313	22	Campo de Belchite
2013	2264	23	Bajo Martín
2013	2028	24	Campo de Daroca
2013	3705	25	Jiloca
2013	2385	26	Cuencas Mineras
2013	3119	27	Andorra-Sierra de Arcos
2013	10242	28	Bajo Aragón
2013	24542	29	Comunidad de Teruel
2013	1039	30	Maestrazgo
2013	1220	31	Sierra de Albarracín
2013	2912	32	Gúdar-Javalambre
2013	2970	33	Matarraña / Matarranya
2012	6467	01	La Jacetania
2012	5849	02	Alto Gállego
2012	2505	03	Sobrarbe
2012	4932	04	La Ribagorza
2012	11741	05	Cinco Villas
2012	34603	06	Hoya de Huesca / Plana de Uesca
2012	9811	07	Somontano de Barbastro
2012	8824	08	Cinca Medio
2012	7716	09	La Litera / La Llitera
2012	6374	10	Los Monegros
2012	10685	11	Bajo Cinca / Baix Cinca
2012	3924	12	Tarazona y el Moncayo
2012	4983	13	Campo de Borja
2012	2083	14	Aranda
2012	19805	15	Ribera Alta del Ebro
2012	13388	16	Valdejalón
2012	332026	17	Central
2012	3856	18	Ribera Baja del Ebro
2012	5306	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2012	11232	20	Comunidad de Calatayud
2012	4380	21	Campo de Cariñena
2012	1283	22	Campo de Belchite
2012	2200	23	Bajo Martín
2012	2026	24	Campo de Daroca
2012	3722	25	Jiloca
2012	2528	26	Cuencas Mineras
2012	3416	27	Andorra-Sierra de Arcos
2012	10679	28	Bajo Aragón
2012	25559	29	Comunidad de Teruel
2012	1012	30	Maestrazgo
2012	1232	31	Sierra de Albarracín
2012	2854	32	Gúdar-Javalambre
2012	3096	33	Matarraña / Matarranya
2011	6609	01	La Jacetania
2011	6356	02	Alto Gállego
2011	2678	03	Sobrarbe
2011	5312	04	La Ribagorza
2011	12522	05	Cinco Villas
2011	35813	06	Hoya de Huesca / Plana de Uesca
2011	10133	07	Somontano de Barbastro
2011	9110	08	Cinca Medio
2011	7890	09	La Litera / La Llitera
2011	7271	10	Los Monegros
2011	10569	11	Bajo Cinca / Baix Cinca
2011	4057	12	Tarazona y el Moncayo
2011	4715	13	Campo de Borja
2011	2264	14	Aranda
2011	21008	15	Ribera Alta del Ebro
2011	14675	16	Valdejalón
2011	341506	17	Central
2011	4036	18	Ribera Baja del Ebro
2011	5696	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2011	12077	20	Comunidad de Calatayud
2011	4477	21	Campo de Cariñena
2011	1337	22	Campo de Belchite
2011	2210	23	Bajo Martín
2011	2094	24	Campo de Daroca
2011	3949	25	Jiloca
2011	2567	26	Cuencas Mineras
2011	3510	27	Andorra-Sierra de Arcos
2011	11109	28	Bajo Aragón
2011	26010	29	Comunidad de Teruel
2011	1114	30	Maestrazgo
2011	1303	31	Sierra de Albarracín
2011	3035	32	Gúdar-Javalambre
2011	3292	33	Matarraña / Matarranya
2010	7050	01	La Jacetania
2010	6923	02	Alto Gállego
2010	2862	03	Sobrarbe
2010	5786	04	La Ribagorza
2010	13390	05	Cinco Villas
2010	36895	06	Hoya de Huesca / Plana de Uesca
2010	10432	07	Somontano de Barbastro
2010	9538	08	Cinca Medio
2010	8268	09	La Litera / La Llitera
2010	7618	10	Los Monegros
2010	10779	11	Bajo Cinca / Baix Cinca
2010	4367	12	Tarazona y el Moncayo
2010	5025	13	Campo de Borja
2010	2356	14	Aranda
2010	22317	15	Ribera Alta del Ebro
2010	15354	16	Valdejalón
2010	348291	17	Central
2010	4235	18	Ribera Baja del Ebro
2010	6012	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2010	12850	20	Comunidad de Calatayud
2010	4799	21	Campo de Cariñena
2010	1386	22	Campo de Belchite
2010	2420	23	Bajo Martín
2010	2169	24	Campo de Daroca
2010	4003	25	Jiloca
2010	2615	26	Cuencas Mineras
2010	3582	27	Andorra-Sierra de Arcos
2010	11589	28	Bajo Aragón
2010	26722	29	Comunidad de Teruel
2010	1171	30	Maestrazgo
2010	1361	31	Sierra de Albarracín
2010	3148	32	Gúdar-Javalambre
2010	3490	33	Matarraña / Matarranya
2009	6834,2	01	La Jacetania
2009	6702	02	Alto Gállego
2009	2794,2	03	Sobrarbe
2009	5480,2	04	La Ribagorza
2009	12107,5	05	Cinco Villas
2009	36784,6	06	Hoya de Huesca / Plana de Uesca
2009	9876,1	07	Somontano de Barbastro
2009	9076,4	08	Cinca Medio
2009	8061,9	09	La Litera / La Llitera
2009	6742,3	10	Los Monegros
2009	10550,3	11	Bajo Cinca / Baix Cinca
2009	4247,7	12	Tarazona y el Moncayo
2009	5465,3	13	Campo de Borja
2009	2261,7	14	Aranda
2009	21222,1	15	Ribera Alta del Ebro
2009	14873,2	16	Valdejalón
2009	341425,4	17	Central
2009	3685,9	18	Ribera Baja del Ebro
2009	5713	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2009	12841,7	20	Comunidad de Calatayud
2009	4805,7	21	Campo de Cariñena
2009	1353,7	22	Campo de Belchite
2009	2622,6	23	Bajo Martín
2009	1995,7	24	Campo de Daroca
2009	4075,5	25	Jiloca
2009	2572,2	26	Cuencas Mineras
2009	3827,5	27	Andorra-Sierra de Arcos
2009	12219,9	28	Bajo Aragón
2009	28201,4	29	Comunidad de Teruel
2009	1186	30	Maestrazgo
2009	1447,3	31	Sierra de Albarracín
2009	3125,8	32	Gúdar-Javalambre
2009	3521,7	33	Matarraña / Matarranya
2008	7038,6	01	La Jacetania
2008	7017,3	02	Alto Gállego
2008	2895,4	03	Sobrarbe
2008	5811,7	04	La Ribagorza
2008	13133,9	05	Cinco Villas
2008	38189,9	06	Hoya de Huesca / Plana de Uesca
2008	10507,1	07	Somontano de Barbastro
2008	9941,1	08	Cinca Medio
2008	8558,4	09	La Litera / La Llitera
2008	7417,8	10	Los Monegros
2008	10835,6	11	Bajo Cinca / Baix Cinca
2008	4745,4	12	Tarazona y el Moncayo
2008	5640,8	13	Campo de Borja
2008	2442,4	14	Aranda
2008	22511	15	Ribera Alta del Ebro
2008	14530,9	16	Valdejalón
2008	367655,6	17	Central
2008	4065,3	18	Ribera Baja del Ebro
2008	5788,4	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2008	13031	20	Comunidad de Calatayud
2008	4549,6	21	Campo de Cariñena
2008	1358,2	22	Campo de Belchite
2008	2752,8	23	Bajo Martín
2008	2034,4	24	Campo de Daroca
2008	4744,7	25	Jiloca
2008	2816,3	26	Cuencas Mineras
2008	4330,4	27	Andorra-Sierra de Arcos
2008	13449,4	28	Bajo Aragón
2008	30032,6	29	Comunidad de Teruel
2008	1309,7	30	Maestrazgo
2008	1502	31	Sierra de Albarracín
2008	3566,7	32	Gúdar-Javalambre
2008	3795,1	33	Matarraña / Matarranya
2007	7275	01	La Jacetania
2007	7246	02	Alto Gállego
2007	3034	03	Sobrarbe
2007	5638	04	La Ribagorza
2007	14293	05	Cinco Villas
2007	38018	06	Hoya de Huesca / Plana de Uesca
2007	11363	07	Somontano de Barbastro
2007	11072	08	Cinca Medio
2007	9551	09	La Litera / La Llitera
2007	7972	10	Los Monegros
2007	12560	11	Bajo Cinca / Baix Cinca
2007	5568	12	Tarazona y el Moncayo
2007	5723	13	Campo de Borja
2007	2824	14	Aranda
2007	24439	15	Ribera Alta del Ebro
2007	15374	16	Valdejalón
2007	399015	17	Central
2007	4532	18	Ribera Baja del Ebro
2007	5731	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2007	14243	20	Comunidad de Calatayud
2007	4699	21	Campo de Cariñena
2007	1608	22	Campo de Belchite
2007	3000	23	Bajo Martín
2007	2194	24	Campo de Daroca
2007	5379	25	Jiloca
2007	3022	26	Cuencas Mineras
2007	4071	27	Andorra-Sierra de Arcos
2007	13107	28	Bajo Aragón
2007	26976	29	Comunidad de Teruel
2007	1392	30	Maestrazgo
2007	1656	31	Sierra de Albarracín
2007	3598	32	Gúdar-Javalambre
2007	4033	33	Matarraña / Matarranya
2006	7120	01	La Jacetania
2006	6682	02	Alto Gállego
2006	2792	03	Sobrarbe
2006	5427	04	La Ribagorza
2006	13862	05	Cinco Villas
2006	37396	06	Hoya de Huesca / Plana de Uesca
2006	10975	07	Somontano de Barbastro
2006	10747	08	Cinca Medio
2006	9073	09	La Litera / La Llitera
2006	7404	10	Los Monegros
2006	12144	11	Bajo Cinca / Baix Cinca
2006	6088	12	Tarazona y el Moncayo
2006	6010	13	Campo de Borja
2006	2803	14	Aranda
2006	22767	15	Ribera Alta del Ebro
2006	14529	16	Valdejalón
2006	381495	17	Central
2006	4329	18	Ribera Baja del Ebro
2006	5573	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2006	13757	20	Comunidad de Calatayud
2006	4586	21	Campo de Cariñena
2006	1596	22	Campo de Belchite
2006	2836	23	Bajo Martín
2006	2114	24	Campo de Daroca
2006	5027	25	Jiloca
2006	2986	26	Cuencas Mineras
2006	3869	27	Andorra-Sierra de Arcos
2006	12565	28	Bajo Aragón
2006	26219	29	Comunidad de Teruel
2006	1348	30	Maestrazgo
2006	1594	31	Sierra de Albarracín
2006	3477	32	Gúdar-Javalambre
2006	3813	33	Matarraña / Matarranya
2005	7010	01	La Jacetania
2005	6587	02	Alto Gállego
2005	2640	03	Sobrarbe
2005	5213	04	La Ribagorza
2005	13566	05	Cinco Villas
2005	35073	06	Hoya de Huesca / Plana de Uesca
2005	10591	07	Somontano de Barbastro
2005	10362	08	Cinca Medio
2005	8843	09	La Litera / La Llitera
2005	7274	10	Los Monegros
2005	11823	11	Bajo Cinca / Baix Cinca
2005	5791	12	Tarazona y el Moncayo
2005	5938	13	Campo de Borja
2005	2881	14	Aranda
2005	22051	15	Ribera Alta del Ebro
2005	13733	16	Valdejalón
2005	368803	17	Central
2005	4192	18	Ribera Baja del Ebro
2005	5454	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2005	13360	20	Comunidad de Calatayud
2005	4447	21	Campo de Cariñena
2005	1501	22	Campo de Belchite
2005	2783	23	Bajo Martín
2005	2219	24	Campo de Daroca
2005	4984	25	Jiloca
2005	2716	26	Cuencas Mineras
2005	3730	27	Andorra-Sierra de Arcos
2005	12178	28	Bajo Aragón
2005	24925	29	Comunidad de Teruel
2005	1297	30	Maestrazgo
2005	1507	31	Sierra de Albarracín
2005	3233	32	Gúdar-Javalambre
2005	3787	33	Matarraña / Matarranya
2004	6599	01	La Jacetania
2004	6189	02	Alto Gállego
2004	2474	03	Sobrarbe
2004	5013	04	La Ribagorza
2004	13235	05	Cinco Villas
2004	34579	06	Hoya de Huesca / Plana de Uesca
2004	10233	07	Somontano de Barbastro
2004	10109	08	Cinca Medio
2004	8681	09	La Litera / La Llitera
2004	7209	10	Los Monegros
2004	11482	11	Bajo Cinca / Baix Cinca
2004	5819	12	Tarazona y el Moncayo
2004	5832	13	Campo de Borja
2004	2993	14	Aranda
2004	21895	15	Ribera Alta del Ebro
2004	12665	16	Valdejalón
2004	357264	17	Central
2004	4161	18	Ribera Baja del Ebro
2004	5364	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2004	12679	20	Comunidad de Calatayud
2004	4045	21	Campo de Cariñena
2004	1418	22	Campo de Belchite
2004	2599	23	Bajo Martín
2004	2215	24	Campo de Daroca
2004	4924	25	Jiloca
2004	2667	26	Cuencas Mineras
2004	3676	27	Andorra-Sierra de Arcos
2004	11456	28	Bajo Aragón
2004	24744	29	Comunidad de Teruel
2004	1296	30	Maestrazgo
2004	1532	31	Sierra de Albarracín
2004	3084	32	Gúdar-Javalambre
2004	3674	33	Matarraña / Matarranya
2003	6335	01	La Jacetania
2003	5683	02	Alto Gállego
2003	2373	03	Sobrarbe
2003	4712	04	La Ribagorza
2003	13152	05	Cinco Villas
2003	33383	06	Hoya de Huesca / Plana de Uesca
2003	10360	07	Somontano de Barbastro
2003	9835	08	Cinca Medio
2003	8488	09	La Litera / La Llitera
2003	7016	10	Los Monegros
2003	11095	11	Bajo Cinca / Baix Cinca
2003	5681	12	Tarazona y el Moncayo
2003	5483	13	Campo de Borja
2003	3100	14	Aranda
2003	21283	15	Ribera Alta del Ebro
2003	11361	16	Valdejalón
2003	346939	17	Central
2003	4022	18	Ribera Baja del Ebro
2003	5167	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2003	12490	20	Comunidad de Calatayud
2003	3905	21	Campo de Cariñena
2003	1413	22	Campo de Belchite
2003	2459	23	Bajo Martín
2003	2184	24	Campo de Daroca
2003	4817	25	Jiloca
2003	2584	26	Cuencas Mineras
2003	3599	27	Andorra-Sierra de Arcos
2003	10775	28	Bajo Aragón
2003	24300	29	Comunidad de Teruel
2003	1267	30	Maestrazgo
2003	1455	31	Sierra de Albarracín
2003	2971	32	Gúdar-Javalambre
2003	3511	33	Matarraña / Matarranya
2002	6196	01	La Jacetania
2002	5454	02	Alto Gállego
2002	2385	03	Sobrarbe
2002	4645	04	La Ribagorza
2002	12900	05	Cinco Villas
2002	32883	06	Hoya de Huesca / Plana de Uesca
2002	10423	07	Somontano de Barbastro
2002	9556	08	Cinca Medio
2002	8294	09	La Litera / La Llitera
2002	6978	10	Los Monegros
2002	11122	11	Bajo Cinca / Baix Cinca
2002	5643	12	Tarazona y el Moncayo
2002	5230	13	Campo de Borja
2002	3314	14	Aranda
2002	20137	15	Ribera Alta del Ebro
2002	10504	16	Valdejalón
2002	340248	17	Central
2002	3968	18	Ribera Baja del Ebro
2002	5019	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2002	12504	20	Comunidad de Calatayud
2002	3859	21	Campo de Cariñena
2002	1527	22	Campo de Belchite
2002	2407	23	Bajo Martín
2002	2319	24	Campo de Daroca
2002	4667	25	Jiloca
2002	2481	26	Cuencas Mineras
2002	3624	27	Andorra-Sierra de Arcos
2002	10634	28	Bajo Aragón
2002	23749	29	Comunidad de Teruel
2002	1299	30	Maestrazgo
2002	1443	31	Sierra de Albarracín
2002	2913	32	Gúdar-Javalambre
2002	3580	33	Matarraña / Matarranya
2001	6020	01	La Jacetania
2001	5161	02	Alto Gállego
2001	2233	03	Sobrarbe
2001	4445	04	La Ribagorza
2001	12461	05	Cinco Villas
2001	32126	06	Hoya de Huesca / Plana de Uesca
2001	9993	07	Somontano de Barbastro
2001	9275	08	Cinca Medio
2001	8066	09	La Litera / La Llitera
2001	6775	10	Los Monegros
2001	10545	11	Bajo Cinca / Baix Cinca
2001	5035	12	Tarazona y el Moncayo
2001	5202	13	Campo de Borja
2001	3534	14	Aranda
2001	19491	15	Ribera Alta del Ebro
2001	9679	16	Valdejalón
2001	330949	17	Central
2001	3993	18	Ribera Baja del Ebro
2001	4898	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2001	12308	20	Comunidad de Calatayud
2001	3680	21	Campo de Cariñena
2001	2177	22	Campo de Belchite
2001	2323	23	Bajo Martín
2001	2189	24	Campo de Daroca
2001	4574	25	Jiloca
2001	2572	26	Cuencas Mineras
2001	3384	27	Andorra-Sierra de Arcos
2001	10234	28	Bajo Aragón
2001	23649	29	Comunidad de Teruel
2001	1324	30	Maestrazgo
2001	1394	31	Sierra de Albarracín
2001	2799	32	Gúdar-Javalambre
2001	3512	33	Matarraña / Matarranya
2000	5933	01	La Jacetania
2000	4987	02	Alto Gállego
2000	2138	03	Sobrarbe
2000	4283	04	La Ribagorza
2000	12304	05	Cinco Villas
2000	31586	06	Hoya de Huesca / Plana de Uesca
2000	9647	07	Somontano de Barbastro
2000	8875	08	Cinca Medio
2000	7621	09	La Litera / La Llitera
2000	6360	10	Los Monegros
2000	10252	11	Bajo Cinca / Baix Cinca
2000	5275	12	Tarazona y el Moncayo
2000	5157	13	Campo de Borja
2000	3485	14	Aranda
2000	19344	15	Ribera Alta del Ebro
2000	9185	16	Valdejalón
2000	322220	17	Central
2000	3913	18	Ribera Baja del Ebro
2000	4959	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2000	12812	20	Comunidad de Calatayud
2000	3561	21	Campo de Cariñena
2000	2640	22	Campo de Belchite
2000	2277	23	Bajo Martín
2000	2074	24	Campo de Daroca
2000	4727	25	Jiloca
2000	2696	26	Cuencas Mineras
2000	3479	27	Andorra-Sierra de Arcos
2000	9767	28	Bajo Aragón
2000	23232	29	Comunidad de Teruel
2000	1370	30	Maestrazgo
2000	1336	31	Sierra de Albarracín
2000	2726	32	Gúdar-Javalambre
2000	3484	33	Matarraña / Matarranya
