Año	Renta disponible bruta	Código	Comarca
2014	216918252	10	Los Monegros
2014	312624507	11	Bajo Cinca / Baix Cinca
2014	174229085	12	Tarazona y el Moncayo
2014	168711738	13	Campo de Borja
2014	77616486	14	Aranda
2014	340204196	15	Ribera Alta del Ebro
2014	325836663	16	Valdejalón
2014	12596382274	17	Central
2014	109256454	18	Ribera Baja del Ebro
2014	167206054	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2014	474234415	20	Comunidad de Calatayud
2014	111134294	21	Campo de Cariñena
2014	42917422	22	Campo de Belchite
2014	72381651	23	Bajo Martín
2014	68131075	24	Campo de Daroca
2014	146476000	25	Jiloca
2014	109815294	26	Cuencas Mineras
2014	163942513	27	Andorra-Sierra de Arcos
2014	395411079	28	Bajo Aragón
2014	715942791	29	Comunidad de Teruel
2014	36538409	30	Maestrazgo
2014	48580348	31	Sierra de Albarracín
2014	91156941	32	Gúdar-Javalambre
2014	87562642	33	Matarraña / Matarranya
2013	333935069	01	La Jacetania
2013	231801111	02	Alto Gállego
2013	113164732	03	Sobrarbe
2013	182961865	04	La Ribagorza
2013	393149648	05	Cinco Villas
2013	1179124589	06	Hoya de Huesca / Plana de Uesca
2013	354125175	07	Somontano de Barbastro
2013	337419818	08	Cinca Medio
2013	244743390	09	La Litera / La Llitera
2013	223629040	10	Los Monegros
2013	314275357	11	Bajo Cinca / Baix Cinca
2013	172727454	12	Tarazona y el Moncayo
2013	167870418	13	Campo de Borja
2013	78236236	14	Aranda
2013	335514836	15	Ribera Alta del Ebro
2013	327407416	16	Valdejalón
2013	12603638236	17	Central
2013	109542085	18	Ribera Baja del Ebro
2013	165962947	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2013	484974245	20	Comunidad de Calatayud
2013	109088734	21	Campo de Cariñena
2013	42280803	22	Campo de Belchite
2013	72096863	23	Bajo Martín
2013	68327765	24	Campo de Daroca
2013	146925749	25	Jiloca
2013	111206070	26	Cuencas Mineras
2013	166326901	27	Andorra-Sierra de Arcos
2013	393461809	28	Bajo Aragón
2013	717593497	29	Comunidad de Teruel
2013	36567666	30	Maestrazgo
2013	48985064	31	Sierra de Albarracín
2013	91346606	32	Gúdar-Javalambre
2013	84459806	33	Matarraña / Matarranya
2012	351978750	01	La Jacetania
2012	247310807	02	Alto Gállego
2012	117576185	03	Sobrarbe
2012	190612810	04	La Ribagorza
2012	412920447	05	Cinco Villas
2012	1229670008	06	Hoya de Huesca / Plana de Uesca
2012	375734427	07	Somontano de Barbastro
2012	349996026	08	Cinca Medio
2012	256782227	09	La Litera / La Llitera
2012	222861341	10	Los Monegros
2012	335300365	11	Bajo Cinca / Baix Cinca
2012	182383315	12	Tarazona y el Moncayo
2012	176440508	13	Campo de Borja
2012	83143071	14	Aranda
2012	355072259	15	Ribera Alta del Ebro
2012	343953520	16	Valdejalón
2012	12513835131	17	Central
2012	112274147	18	Ribera Baja del Ebro
2012	171034202	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2012	509743946	20	Comunidad de Calatayud
2012	114777455	21	Campo de Cariñena
2012	41624765	22	Campo de Belchite
2012	76154072	23	Bajo Martín
2012	69574629	24	Campo de Daroca
2012	153758978	25	Jiloca
2012	116744478	26	Cuencas Mineras
2012	179512926	27	Andorra-Sierra de Arcos
2012	416095888	28	Bajo Aragón
2012	749018062	29	Comunidad de Teruel
2012	38889206	30	Maestrazgo
2012	50962695	31	Sierra de Albarracín
2012	95740833	32	Gúdar-Javalambre
2012	87153528	33	Matarraña / Matarranya
2011	368573491	01	La Jacetania
2011	254986395	02	Alto Gállego
2011	120628237	03	Sobrarbe
2011	196167450	04	La Ribagorza
2011	426933991	05	Cinco Villas
2011	1279222532	06	Hoya de Huesca / Plana de Uesca
2011	393152517	07	Somontano de Barbastro
2011	360138242	08	Cinca Medio
2011	262635828	09	La Litera / La Llitera
2011	235660170	10	Los Monegros
2011	334676131	11	Bajo Cinca / Baix Cinca
2011	188891755	12	Tarazona y el Moncayo
2011	181950377	13	Campo de Borja
2011	84668315	14	Aranda
2011	367126620	15	Ribera Alta del Ebro
2011	353214291	16	Valdejalón
2011	12896249858	17	Central
2011	116413448	18	Ribera Baja del Ebro
2011	173316696	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2011	521670433	20	Comunidad de Calatayud
2011	116452253	21	Campo de Cariñena
2011	43717414	22	Campo de Belchite
2011	78753767	23	Bajo Martín
2011	73602871	24	Campo de Daroca
2011	160742767	25	Jiloca
2011	122120257	26	Cuencas Mineras
2011	187415946	27	Andorra-Sierra de Arcos
2011	431476333	28	Bajo Aragón
2011	779350248	29	Comunidad de Teruel
2011	39343426	30	Maestrazgo
2011	53668533	31	Sierra de Albarracín
2011	97315704	32	Gúdar-Javalambre
2011	89620710	33	Matarraña / Matarranya
2010	364714292	01	La Jacetania
2010	257329418	02	Alto Gállego
2010	119557975	03	Sobrarbe
2010	194269361	04	La Ribagorza
2010	420989149	05	Cinco Villas
2010	1255066294	06	Hoya de Huesca / Plana de Uesca
2010	385035781	07	Somontano de Barbastro
2010	350917582	08	Cinca Medio
2010	257082518	09	La Litera / La Llitera
2010	230156559	10	Los Monegros
2010	333691756	11	Bajo Cinca / Baix Cinca
2010	184749821	12	Tarazona y el Moncayo
2010	180685302	13	Campo de Borja
2010	82833884	14	Aranda
2010	363226136	15	Ribera Alta del Ebro
2010	349227201	16	Valdejalón
2010	12673968901	17	Central
2010	112261316	18	Ribera Baja del Ebro
2010	170406815	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2010	518641088	20	Comunidad de Calatayud
2010	114496875	21	Campo de Cariñena
2010	44501866	22	Campo de Belchite
2010	78525550	23	Bajo Martín
2010	71012191	24	Campo de Daroca
2010	156801916	25	Jiloca
2010	119603444	26	Cuencas Mineras
2010	175362497	27	Andorra-Sierra de Arcos
2010	427676836	28	Bajo Aragón
2010	768401574	29	Comunidad de Teruel
2010	38922152	30	Maestrazgo
2010	52301707	31	Sierra de Albarracín
2010	98083031	32	Gúdar-Javalambre
2010	89365217	33	Matarraña / Matarranya
