Año	Residencia comarca código	Residencia comarca nombre	Relación lugar de residencia y nacimiento	Sexo	Extranjeros
1998	13	Campo de Borja	1 - Misma CA, misma provincia y mismo municipio	Hombres	1
1998	13	Campo de Borja	1 - Misma CA, misma provincia y mismo municipio	Mujeres	1
1998	13	Campo de Borja	5 - Nacidos en el extranjero	Hombres	30
1998	13	Campo de Borja	5 - Nacidos en el extranjero	Mujeres	26
1998	14	Aranda	1 - Misma CA, misma provincia y mismo municipio	Hombres	5
1998	14	Aranda	1 - Misma CA, misma provincia y mismo municipio	Mujeres	1
1998	14	Aranda	2 - Misma CA, misma provincia y distinto municipio	Hombres	4
1998	14	Aranda	2 - Misma CA, misma provincia y distinto municipio	Mujeres	1
1998	14	Aranda	4 - Distinta CA	Hombres	1
1998	14	Aranda	4 - Distinta CA	Mujeres	2
1998	14	Aranda	5 - Nacidos en el extranjero	Hombres	35
1998	14	Aranda	5 - Nacidos en el extranjero	Mujeres	10
1998	15	Ribera Alta del Ebro	2 - Misma CA, misma provincia y distinto municipio	Mujeres	1
1998	15	Ribera Alta del Ebro	4 - Distinta CA	Hombres	1
1998	15	Ribera Alta del Ebro	4 - Distinta CA	Mujeres	1
1998	15	Ribera Alta del Ebro	5 - Nacidos en el extranjero	Hombres	60
1998	15	Ribera Alta del Ebro	5 - Nacidos en el extranjero	Mujeres	55
1998	16	Valdejalón	1 - Misma CA, misma provincia y mismo municipio	Hombres	1
1998	16	Valdejalón	1 - Misma CA, misma provincia y mismo municipio	Mujeres	2
1998	16	Valdejalón	2 - Misma CA, misma provincia y distinto municipio	Hombres	4
1998	16	Valdejalón	2 - Misma CA, misma provincia y distinto municipio	Mujeres	4
1998	16	Valdejalón	3 - Misma CA y distinta provincia	Hombres	2
1998	16	Valdejalón	4 - Distinta CA	Hombres	3
1998	16	Valdejalón	4 - Distinta CA	Mujeres	1
1998	16	Valdejalón	5 - Nacidos en el extranjero	Hombres	137
1998	16	Valdejalón	5 - Nacidos en el extranjero	Mujeres	52
1998	17	Central	1 - Misma CA, misma provincia y mismo municipio	Hombres	85
1998	17	Central	1 - Misma CA, misma provincia y mismo municipio	Mujeres	96
1998	17	Central	2 - Misma CA, misma provincia y distinto municipio	Hombres	41
1998	17	Central	2 - Misma CA, misma provincia y distinto municipio	Mujeres	42
1998	17	Central	3 - Misma CA y distinta provincia	Hombres	5
1998	17	Central	3 - Misma CA y distinta provincia	Mujeres	10
1998	17	Central	4 - Distinta CA	Hombres	49
1998	17	Central	4 - Distinta CA	Mujeres	54
1998	17	Central	5 - Nacidos en el extranjero	Hombres	2285
1998	17	Central	5 - Nacidos en el extranjero	Mujeres	2220
1998	18	Ribera Baja del Ebro	1 - Misma CA, misma provincia y mismo municipio	Hombres	14
1998	18	Ribera Baja del Ebro	1 - Misma CA, misma provincia y mismo municipio	Mujeres	4
1998	18	Ribera Baja del Ebro	2 - Misma CA, misma provincia y distinto municipio	Mujeres	1
1998	18	Ribera Baja del Ebro	5 - Nacidos en el extranjero	Hombres	13
1998	18	Ribera Baja del Ebro	5 - Nacidos en el extranjero	Mujeres	14
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	4 - Distinta CA	Mujeres	2
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	5 - Nacidos en el extranjero	Hombres	21
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	5 - Nacidos en el extranjero	Mujeres	24
1998	20	Comunidad de Calatayud	1 - Misma CA, misma provincia y mismo municipio	Hombres	1
1998	20	Comunidad de Calatayud	1 - Misma CA, misma provincia y mismo municipio	Mujeres	1
1998	20	Comunidad de Calatayud	2 - Misma CA, misma provincia y distinto municipio	Mujeres	1
1998	20	Comunidad de Calatayud	4 - Distinta CA	Hombres	1
1998	20	Comunidad de Calatayud	4 - Distinta CA	Mujeres	1
1998	20	Comunidad de Calatayud	5 - Nacidos en el extranjero	Hombres	84
1998	20	Comunidad de Calatayud	5 - Nacidos en el extranjero	Mujeres	32
1998	21	Campo de Cariñena	1 - Misma CA, misma provincia y mismo municipio	Hombres	5
1998	21	Campo de Cariñena	1 - Misma CA, misma provincia y mismo municipio	Mujeres	1
1998	21	Campo de Cariñena	2 - Misma CA, misma provincia y distinto municipio	Hombres	3
1998	21	Campo de Cariñena	5 - Nacidos en el extranjero	Hombres	103
1998	21	Campo de Cariñena	5 - Nacidos en el extranjero	Mujeres	28
1998	22	Campo de Belchite	5 - Nacidos en el extranjero	Hombres	9
1998	22	Campo de Belchite	5 - Nacidos en el extranjero	Mujeres	4
1998	23	Bajo Martín	4 - Distinta CA	Mujeres	1
1998	23	Bajo Martín	5 - Nacidos en el extranjero	Hombres	7
1998	23	Bajo Martín	5 - Nacidos en el extranjero	Mujeres	4
1998	24	Campo de Daroca	2 - Misma CA, misma provincia y distinto municipio	Hombres	1
1998	24	Campo de Daroca	5 - Nacidos en el extranjero	Hombres	7
1998	24	Campo de Daroca	5 - Nacidos en el extranjero	Mujeres	6
1998	25	Jiloca	1 - Misma CA, misma provincia y mismo municipio	Hombres	20
1998	25	Jiloca	1 - Misma CA, misma provincia y mismo municipio	Mujeres	11
1998	25	Jiloca	2 - Misma CA, misma provincia y distinto municipio	Mujeres	3
1998	25	Jiloca	4 - Distinta CA	Hombres	1
1998	25	Jiloca	5 - Nacidos en el extranjero	Hombres	9
1998	25	Jiloca	5 - Nacidos en el extranjero	Mujeres	13
1998	26	Cuencas Mineras	1 - Misma CA, misma provincia y mismo municipio	Hombres	1
1998	26	Cuencas Mineras	2 - Misma CA, misma provincia y distinto municipio	Hombres	1
1998	26	Cuencas Mineras	2 - Misma CA, misma provincia y distinto municipio	Mujeres	1
1998	26	Cuencas Mineras	3 - Misma CA y distinta provincia	Hombres	11
1998	26	Cuencas Mineras	3 - Misma CA y distinta provincia	Mujeres	1
1998	26	Cuencas Mineras	4 - Distinta CA	Hombres	1
1998	26	Cuencas Mineras	5 - Nacidos en el extranjero	Hombres	38
1998	26	Cuencas Mineras	5 - Nacidos en el extranjero	Mujeres	14
1998	27	Andorra-Sierra de Arcos	1 - Misma CA, misma provincia y mismo municipio	Mujeres	1
1998	27	Andorra-Sierra de Arcos	2 - Misma CA, misma provincia y distinto municipio	Hombres	1
1998	27	Andorra-Sierra de Arcos	3 - Misma CA y distinta provincia	Hombres	15
1998	27	Andorra-Sierra de Arcos	3 - Misma CA y distinta provincia	Mujeres	3
1998	27	Andorra-Sierra de Arcos	5 - Nacidos en el extranjero	Hombres	6
1998	27	Andorra-Sierra de Arcos	5 - Nacidos en el extranjero	Mujeres	3
1998	28	Bajo Aragón	1 - Misma CA, misma provincia y mismo municipio	Hombres	5
1998	28	Bajo Aragón	1 - Misma CA, misma provincia y mismo municipio	Mujeres	4
1998	28	Bajo Aragón	2 - Misma CA, misma provincia y distinto municipio	Hombres	1
1998	28	Bajo Aragón	3 - Misma CA y distinta provincia	Hombres	1
1998	28	Bajo Aragón	3 - Misma CA y distinta provincia	Mujeres	4
1998	28	Bajo Aragón	4 - Distinta CA	Hombres	1
1998	28	Bajo Aragón	4 - Distinta CA	Mujeres	2
1998	28	Bajo Aragón	5 - Nacidos en el extranjero	Hombres	87
1998	28	Bajo Aragón	5 - Nacidos en el extranjero	Mujeres	79
1998	29	Comunidad de Teruel	1 - Misma CA, misma provincia y mismo municipio	Hombres	2
1998	29	Comunidad de Teruel	4 - Distinta CA	Hombres	3
1998	29	Comunidad de Teruel	4 - Distinta CA	Mujeres	4
1998	29	Comunidad de Teruel	5 - Nacidos en el extranjero	Hombres	54
1998	29	Comunidad de Teruel	5 - Nacidos en el extranjero	Mujeres	63
1998	30	Maestrazgo	1 - Misma CA, misma provincia y mismo municipio	Hombres	1
1998	30	Maestrazgo	1 - Misma CA, misma provincia y mismo municipio	Mujeres	1
1998	30	Maestrazgo	5 - Nacidos en el extranjero	Hombres	2
1998	30	Maestrazgo	5 - Nacidos en el extranjero	Mujeres	4
1998	31	Sierra de Albarracín	4 - Distinta CA	Mujeres	1
1998	31	Sierra de Albarracín	5 - Nacidos en el extranjero	Hombres	19
1998	31	Sierra de Albarracín	5 - Nacidos en el extranjero	Mujeres	6
1998	32	Gúdar-Javalambre	4 - Distinta CA	Hombres	1
1998	32	Gúdar-Javalambre	4 - Distinta CA	Mujeres	2
1998	32	Gúdar-Javalambre	5 - Nacidos en el extranjero	Hombres	23
1998	32	Gúdar-Javalambre	5 - Nacidos en el extranjero	Mujeres	28
1998	33	Matarraña / Matarranya	4 - Distinta CA	Hombres	1
1998	33	Matarraña / Matarranya	4 - Distinta CA	Mujeres	1
1998	33	Matarraña / Matarranya	5 - Nacidos en el extranjero	Hombres	28
1998	33	Matarraña / Matarranya	5 - Nacidos en el extranjero	Mujeres	17
1999	01	La Jacetania	1 - Misma CA, misma provincia y mismo municipio	Hombres	3
1999	01	La Jacetania	1 - Misma CA, misma provincia y mismo municipio	Mujeres	2
1999	01	La Jacetania	2 - Misma CA, misma provincia y distinto municipio	Hombres	4
1999	01	La Jacetania	2 - Misma CA, misma provincia y distinto municipio	Mujeres	3
1999	01	La Jacetania	3 - Misma CA y distinta provincia	Hombres	2
1999	01	La Jacetania	4 - Distinta CA	Hombres	2
1999	01	La Jacetania	4 - Distinta CA	Mujeres	2
1999	01	La Jacetania	5 - Nacidos en el extranjero	Hombres	50
1999	01	La Jacetania	5 - Nacidos en el extranjero	Mujeres	74
1999	02	Alto Gállego	1 - Misma CA, misma provincia y mismo municipio	Mujeres	1
1999	02	Alto Gállego	2 - Misma CA, misma provincia y distinto municipio	Hombres	1
1999	02	Alto Gállego	5 - Nacidos en el extranjero	Hombres	25
1999	02	Alto Gállego	5 - Nacidos en el extranjero	Mujeres	33
1999	03	Sobrarbe	5 - Nacidos en el extranjero	Hombres	42
1999	03	Sobrarbe	5 - Nacidos en el extranjero	Mujeres	26
1999	04	La Ribagorza	1 - Misma CA, misma provincia y mismo municipio	Hombres	1
1999	04	La Ribagorza	2 - Misma CA, misma provincia y distinto municipio	Hombres	2
1999	04	La Ribagorza	4 - Distinta CA	Hombres	1
1999	04	La Ribagorza	5 - Nacidos en el extranjero	Hombres	52
1999	04	La Ribagorza	5 - Nacidos en el extranjero	Mujeres	42
1999	05	Cinco Villas	1 - Misma CA, misma provincia y mismo municipio	Hombres	8
1999	05	Cinco Villas	1 - Misma CA, misma provincia y mismo municipio	Mujeres	5
1999	05	Cinco Villas	2 - Misma CA, misma provincia y distinto municipio	Hombres	1
1999	05	Cinco Villas	2 - Misma CA, misma provincia y distinto municipio	Mujeres	1
1999	05	Cinco Villas	4 - Distinta CA	Hombres	1
1999	05	Cinco Villas	4 - Distinta CA	Mujeres	4
1999	05	Cinco Villas	5 - Nacidos en el extranjero	Hombres	69
1999	05	Cinco Villas	5 - Nacidos en el extranjero	Mujeres	31
1999	06	Hoya de Huesca / Plana de Uesca	1 - Misma CA, misma provincia y mismo municipio	Hombres	12
1999	06	Hoya de Huesca / Plana de Uesca	1 - Misma CA, misma provincia y mismo municipio	Mujeres	5
1999	06	Hoya de Huesca / Plana de Uesca	2 - Misma CA, misma provincia y distinto municipio	Mujeres	1
1999	06	Hoya de Huesca / Plana de Uesca	4 - Distinta CA	Hombres	2
1999	06	Hoya de Huesca / Plana de Uesca	4 - Distinta CA	Mujeres	1
1999	06	Hoya de Huesca / Plana de Uesca	5 - Nacidos en el extranjero	Hombres	154
1999	06	Hoya de Huesca / Plana de Uesca	5 - Nacidos en el extranjero	Mujeres	146
1999	07	Somontano de Barbastro	1 - Misma CA, misma provincia y mismo municipio	Hombres	6
1999	07	Somontano de Barbastro	1 - Misma CA, misma provincia y mismo municipio	Mujeres	8
1999	07	Somontano de Barbastro	2 - Misma CA, misma provincia y distinto municipio	Hombres	1
1999	07	Somontano de Barbastro	2 - Misma CA, misma provincia y distinto municipio	Mujeres	1
1999	07	Somontano de Barbastro	4 - Distinta CA	Hombres	4
1999	07	Somontano de Barbastro	4 - Distinta CA	Mujeres	2
1999	07	Somontano de Barbastro	5 - Nacidos en el extranjero	Hombres	93
1999	07	Somontano de Barbastro	5 - Nacidos en el extranjero	Mujeres	90
1999	08	Cinca Medio	1 - Misma CA, misma provincia y mismo municipio	Hombres	1
1999	08	Cinca Medio	2 - Misma CA, misma provincia y distinto municipio	Hombres	1
1999	08	Cinca Medio	2 - Misma CA, misma provincia y distinto municipio	Mujeres	3
1999	08	Cinca Medio	4 - Distinta CA	Hombres	2
1999	08	Cinca Medio	4 - Distinta CA	Mujeres	4
1999	08	Cinca Medio	5 - Nacidos en el extranjero	Hombres	115
1999	08	Cinca Medio	5 - Nacidos en el extranjero	Mujeres	53
1999	09	La Litera / La Llitera	1 - Misma CA, misma provincia y mismo municipio	Hombres	4
1999	09	La Litera / La Llitera	1 - Misma CA, misma provincia y mismo municipio	Mujeres	3
1999	09	La Litera / La Llitera	2 - Misma CA, misma provincia y distinto municipio	Hombres	2
1999	09	La Litera / La Llitera	2 - Misma CA, misma provincia y distinto municipio	Mujeres	1
1999	09	La Litera / La Llitera	4 - Distinta CA	Hombres	7
1999	09	La Litera / La Llitera	4 - Distinta CA	Mujeres	3
1999	09	La Litera / La Llitera	5 - Nacidos en el extranjero	Hombres	83
1999	09	La Litera / La Llitera	5 - Nacidos en el extranjero	Mujeres	57
1999	10	Los Monegros	1 - Misma CA, misma provincia y mismo municipio	Hombres	3
1999	10	Los Monegros	1 - Misma CA, misma provincia y mismo municipio	Mujeres	1
1999	10	Los Monegros	2 - Misma CA, misma provincia y distinto municipio	Hombres	2
1999	10	Los Monegros	2 - Misma CA, misma provincia y distinto municipio	Mujeres	2
1999	10	Los Monegros	4 - Distinta CA	Mujeres	1
1999	10	Los Monegros	5 - Nacidos en el extranjero	Hombres	51
1999	10	Los Monegros	5 - Nacidos en el extranjero	Mujeres	55
1999	11	Bajo Cinca / Baix Cinca	1 - Misma CA, misma provincia y mismo municipio	Hombres	1
1999	11	Bajo Cinca / Baix Cinca	1 - Misma CA, misma provincia y mismo municipio	Mujeres	1
1999	11	Bajo Cinca / Baix Cinca	4 - Distinta CA	Hombres	1
1999	11	Bajo Cinca / Baix Cinca	5 - Nacidos en el extranjero	Hombres	95
1999	11	Bajo Cinca / Baix Cinca	5 - Nacidos en el extranjero	Mujeres	32
1999	12	Tarazona y el Moncayo	1 - Misma CA, misma provincia y mismo municipio	Hombres	1
1999	12	Tarazona y el Moncayo	5 - Nacidos en el extranjero	Hombres	23
1999	12	Tarazona y el Moncayo	5 - Nacidos en el extranjero	Mujeres	14
1999	13	Campo de Borja	1 - Misma CA, misma provincia y mismo municipio	Hombres	1
1999	13	Campo de Borja	1 - Misma CA, misma provincia y mismo municipio	Mujeres	1
1999	13	Campo de Borja	2 - Misma CA, misma provincia y distinto municipio	Hombres	1
1999	13	Campo de Borja	4 - Distinta CA	Hombres	1
1999	13	Campo de Borja	4 - Distinta CA	Mujeres	1
1999	13	Campo de Borja	5 - Nacidos en el extranjero	Hombres	34
1999	13	Campo de Borja	5 - Nacidos en el extranjero	Mujeres	26
1999	14	Aranda	1 - Misma CA, misma provincia y mismo municipio	Hombres	2
1999	14	Aranda	1 - Misma CA, misma provincia y mismo municipio	Mujeres	1
1999	14	Aranda	2 - Misma CA, misma provincia y distinto municipio	Hombres	3
1999	14	Aranda	2 - Misma CA, misma provincia y distinto municipio	Mujeres	1
1999	14	Aranda	4 - Distinta CA	Hombres	1
1999	14	Aranda	4 - Distinta CA	Mujeres	1
1999	14	Aranda	5 - Nacidos en el extranjero	Hombres	46
1999	14	Aranda	5 - Nacidos en el extranjero	Mujeres	11
1999	15	Ribera Alta del Ebro	2 - Misma CA, misma provincia y distinto municipio	Mujeres	1
1999	15	Ribera Alta del Ebro	4 - Distinta CA	Hombres	1
1999	15	Ribera Alta del Ebro	4 - Distinta CA	Mujeres	1
1999	15	Ribera Alta del Ebro	5 - Nacidos en el extranjero	Hombres	63
1999	15	Ribera Alta del Ebro	5 - Nacidos en el extranjero	Mujeres	56
1999	16	Valdejalón	1 - Misma CA, misma provincia y mismo municipio	Hombres	3
1999	16	Valdejalón	1 - Misma CA, misma provincia y mismo municipio	Mujeres	2
1999	16	Valdejalón	2 - Misma CA, misma provincia y distinto municipio	Hombres	6
1999	16	Valdejalón	2 - Misma CA, misma provincia y distinto municipio	Mujeres	2
1999	16	Valdejalón	4 - Distinta CA	Hombres	1
1999	16	Valdejalón	5 - Nacidos en el extranjero	Hombres	134
1999	16	Valdejalón	5 - Nacidos en el extranjero	Mujeres	53
1999	17	Central	1 - Misma CA, misma provincia y mismo municipio	Hombres	119
1999	17	Central	1 - Misma CA, misma provincia y mismo municipio	Mujeres	126
1999	17	Central	2 - Misma CA, misma provincia y distinto municipio	Hombres	33
1999	17	Central	2 - Misma CA, misma provincia y distinto municipio	Mujeres	34
1999	17	Central	3 - Misma CA y distinta provincia	Hombres	9
1999	17	Central	3 - Misma CA y distinta provincia	Mujeres	7
1999	17	Central	4 - Distinta CA	Hombres	51
1999	17	Central	4 - Distinta CA	Mujeres	60
1999	17	Central	5 - Nacidos en el extranjero	Hombres	2605
1999	17	Central	5 - Nacidos en el extranjero	Mujeres	2503
1999	18	Ribera Baja del Ebro	1 - Misma CA, misma provincia y mismo municipio	Hombres	10
1999	18	Ribera Baja del Ebro	1 - Misma CA, misma provincia y mismo municipio	Mujeres	1
1999	18	Ribera Baja del Ebro	2 - Misma CA, misma provincia y distinto municipio	Hombres	1
1999	18	Ribera Baja del Ebro	2 - Misma CA, misma provincia y distinto municipio	Mujeres	2
1999	18	Ribera Baja del Ebro	5 - Nacidos en el extranjero	Hombres	17
1999	18	Ribera Baja del Ebro	5 - Nacidos en el extranjero	Mujeres	16
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2 - Misma CA, misma provincia y distinto municipio	Mujeres	1
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	5 - Nacidos en el extranjero	Hombres	35
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	5 - Nacidos en el extranjero	Mujeres	38
1999	20	Comunidad de Calatayud	1 - Misma CA, misma provincia y mismo municipio	Hombres	6
1999	20	Comunidad de Calatayud	1 - Misma CA, misma provincia y mismo municipio	Mujeres	1
1999	20	Comunidad de Calatayud	2 - Misma CA, misma provincia y distinto municipio	Mujeres	2
1999	20	Comunidad de Calatayud	5 - Nacidos en el extranjero	Hombres	127
1999	20	Comunidad de Calatayud	5 - Nacidos en el extranjero	Mujeres	87
1999	21	Campo de Cariñena	1 - Misma CA, misma provincia y mismo municipio	Hombres	4
1999	21	Campo de Cariñena	1 - Misma CA, misma provincia y mismo municipio	Mujeres	1
1999	21	Campo de Cariñena	2 - Misma CA, misma provincia y distinto municipio	Hombres	5
1999	21	Campo de Cariñena	2 - Misma CA, misma provincia y distinto municipio	Mujeres	3
1999	21	Campo de Cariñena	5 - Nacidos en el extranjero	Hombres	106
1999	21	Campo de Cariñena	5 - Nacidos en el extranjero	Mujeres	30
1999	22	Campo de Belchite	1 - Misma CA, misma provincia y mismo municipio	Mujeres	1
1999	22	Campo de Belchite	5 - Nacidos en el extranjero	Hombres	7
1999	22	Campo de Belchite	5 - Nacidos en el extranjero	Mujeres	4
1999	23	Bajo Martín	4 - Distinta CA	Mujeres	1
1999	23	Bajo Martín	5 - Nacidos en el extranjero	Hombres	8
1999	23	Bajo Martín	5 - Nacidos en el extranjero	Mujeres	8
1999	24	Campo de Daroca	1 - Misma CA, misma provincia y mismo municipio	Hombres	4
1999	24	Campo de Daroca	1 - Misma CA, misma provincia y mismo municipio	Mujeres	3
1999	24	Campo de Daroca	2 - Misma CA, misma provincia y distinto municipio	Mujeres	1
1999	24	Campo de Daroca	4 - Distinta CA	Hombres	1
1999	24	Campo de Daroca	5 - Nacidos en el extranjero	Hombres	8
1999	24	Campo de Daroca	5 - Nacidos en el extranjero	Mujeres	6
1999	25	Jiloca	1 - Misma CA, misma provincia y mismo municipio	Hombres	19
1999	25	Jiloca	1 - Misma CA, misma provincia y mismo municipio	Mujeres	9
1999	25	Jiloca	2 - Misma CA, misma provincia y distinto municipio	Mujeres	2
1999	25	Jiloca	4 - Distinta CA	Hombres	1
1999	25	Jiloca	4 - Distinta CA	Mujeres	1
1999	25	Jiloca	5 - Nacidos en el extranjero	Hombres	13
1999	25	Jiloca	5 - Nacidos en el extranjero	Mujeres	23
1999	26	Cuencas Mineras	1 - Misma CA, misma provincia y mismo municipio	Hombres	7
1999	26	Cuencas Mineras	1 - Misma CA, misma provincia y mismo municipio	Mujeres	2
1999	26	Cuencas Mineras	2 - Misma CA, misma provincia y distinto municipio	Hombres	5
1999	26	Cuencas Mineras	2 - Misma CA, misma provincia y distinto municipio	Mujeres	3
1999	26	Cuencas Mineras	3 - Misma CA y distinta provincia	Hombres	11
1999	26	Cuencas Mineras	3 - Misma CA y distinta provincia	Mujeres	1
1999	26	Cuencas Mineras	4 - Distinta CA	Hombres	1
1999	26	Cuencas Mineras	5 - Nacidos en el extranjero	Hombres	37
1999	26	Cuencas Mineras	5 - Nacidos en el extranjero	Mujeres	15
1999	27	Andorra-Sierra de Arcos	1 - Misma CA, misma provincia y mismo municipio	Mujeres	1
1999	27	Andorra-Sierra de Arcos	2 - Misma CA, misma provincia y distinto municipio	Hombres	1
1999	27	Andorra-Sierra de Arcos	3 - Misma CA y distinta provincia	Hombres	14
1999	27	Andorra-Sierra de Arcos	3 - Misma CA y distinta provincia	Mujeres	3
1999	27	Andorra-Sierra de Arcos	5 - Nacidos en el extranjero	Hombres	7
1999	27	Andorra-Sierra de Arcos	5 - Nacidos en el extranjero	Mujeres	3
1999	28	Bajo Aragón	1 - Misma CA, misma provincia y mismo municipio	Hombres	7
1999	28	Bajo Aragón	1 - Misma CA, misma provincia y mismo municipio	Mujeres	3
1999	28	Bajo Aragón	2 - Misma CA, misma provincia y distinto municipio	Hombres	1
1999	28	Bajo Aragón	3 - Misma CA y distinta provincia	Hombres	1
1999	28	Bajo Aragón	3 - Misma CA y distinta provincia	Mujeres	1
1999	28	Bajo Aragón	4 - Distinta CA	Mujeres	2
1999	28	Bajo Aragón	5 - Nacidos en el extranjero	Hombres	82
1999	28	Bajo Aragón	5 - Nacidos en el extranjero	Mujeres	73
