Comarca código	Comarca nombre	Edad (grupos quinquenales)	Sexo	Personas
05	Cinco Villas	35 a 39	Mujeres	1188
05	Cinco Villas	40 a 44	Mujeres	1104
05	Cinco Villas	45 a 49	Mujeres	870
05	Cinco Villas	50 a 54	Mujeres	825
05	Cinco Villas	55 a 59	Mujeres	810
05	Cinco Villas	60 a 64	Mujeres	744
05	Cinco Villas	65 a 69	Mujeres	1101
05	Cinco Villas	70 a 74	Mujeres	1020
05	Cinco Villas	75 a 79	Mujeres	869
05	Cinco Villas	80 a 84	Mujeres	686
05	Cinco Villas	85 a 90	Mujeres	351
05	Cinco Villas	90 ó más	Mujeres	177
05	Cinco Villas	00 a 04	Hombres	651
05	Cinco Villas	05 a 09	Hombres	586
05	Cinco Villas	10 a 14	Hombres	709
05	Cinco Villas	15 a 19	Hombres	825
05	Cinco Villas	20 a 24	Hombres	1115
05	Cinco Villas	25 a 29	Hombres	1383
05	Cinco Villas	30 a 34	Hombres	1376
05	Cinco Villas	35 a 39	Hombres	1461
05	Cinco Villas	40 a 44	Hombres	1324
05	Cinco Villas	45 a 49	Hombres	1106
05	Cinco Villas	50 a 54	Hombres	949
05	Cinco Villas	55 a 59	Hombres	873
05	Cinco Villas	60 a 64	Hombres	747
05	Cinco Villas	65 a 69	Hombres	1021
05	Cinco Villas	70 a 74	Hombres	960
05	Cinco Villas	75 a 79	Hombres	766
05	Cinco Villas	80 a 84	Hombres	467
05	Cinco Villas	85 a 90	Hombres	178
05	Cinco Villas	90 ó más	Hombres	73
06	Hoya de Huesca / Plana de Uesca	00 a 04	Mujeres	1291
06	Hoya de Huesca / Plana de Uesca	05 a 09	Mujeres	1234
06	Hoya de Huesca / Plana de Uesca	10 a 14	Mujeres	1251
06	Hoya de Huesca / Plana de Uesca	15 a 19	Mujeres	1518
06	Hoya de Huesca / Plana de Uesca	20 a 24	Mujeres	2016
06	Hoya de Huesca / Plana de Uesca	25 a 29	Mujeres	2168
06	Hoya de Huesca / Plana de Uesca	30 a 34	Mujeres	2146
06	Hoya de Huesca / Plana de Uesca	35 a 39	Mujeres	2272
06	Hoya de Huesca / Plana de Uesca	40 a 44	Mujeres	2297
06	Hoya de Huesca / Plana de Uesca	45 a 49	Mujeres	2152
06	Hoya de Huesca / Plana de Uesca	50 a 54	Mujeres	1819
06	Hoya de Huesca / Plana de Uesca	55 a 59	Mujeres	1734
06	Hoya de Huesca / Plana de Uesca	60 a 64	Mujeres	1270
06	Hoya de Huesca / Plana de Uesca	65 a 69	Mujeres	1736
06	Hoya de Huesca / Plana de Uesca	70 a 74	Mujeres	1781
06	Hoya de Huesca / Plana de Uesca	75 a 79	Mujeres	1662
06	Hoya de Huesca / Plana de Uesca	80 a 84	Mujeres	1152
06	Hoya de Huesca / Plana de Uesca	85 a 90	Mujeres	744
06	Hoya de Huesca / Plana de Uesca	90 ó más	Mujeres	352
06	Hoya de Huesca / Plana de Uesca	00 a 04	Hombres	1273
06	Hoya de Huesca / Plana de Uesca	05 a 09	Hombres	1340
06	Hoya de Huesca / Plana de Uesca	10 a 14	Hombres	1377
06	Hoya de Huesca / Plana de Uesca	15 a 19	Hombres	1675
06	Hoya de Huesca / Plana de Uesca	20 a 24	Hombres	2137
06	Hoya de Huesca / Plana de Uesca	25 a 29	Hombres	2285
06	Hoya de Huesca / Plana de Uesca	30 a 34	Hombres	2228
06	Hoya de Huesca / Plana de Uesca	35 a 39	Hombres	2378
06	Hoya de Huesca / Plana de Uesca	40 a 44	Hombres	2281
06	Hoya de Huesca / Plana de Uesca	45 a 49	Hombres	2052
06	Hoya de Huesca / Plana de Uesca	50 a 54	Hombres	1937
06	Hoya de Huesca / Plana de Uesca	55 a 59	Hombres	1708
06	Hoya de Huesca / Plana de Uesca	60 a 64	Hombres	1273
06	Hoya de Huesca / Plana de Uesca	65 a 69	Hombres	1554
06	Hoya de Huesca / Plana de Uesca	70 a 74	Hombres	1550
06	Hoya de Huesca / Plana de Uesca	75 a 79	Hombres	1321
06	Hoya de Huesca / Plana de Uesca	80 a 84	Hombres	739
06	Hoya de Huesca / Plana de Uesca	85 a 90	Hombres	384
06	Hoya de Huesca / Plana de Uesca	90 ó más	Hombres	167
07	Somontano de Barbastro	00 a 04	Mujeres	465
07	Somontano de Barbastro	05 a 09	Mujeres	471
07	Somontano de Barbastro	10 a 14	Mujeres	523
07	Somontano de Barbastro	15 a 19	Mujeres	587
07	Somontano de Barbastro	20 a 24	Mujeres	699
07	Somontano de Barbastro	25 a 29	Mujeres	739
07	Somontano de Barbastro	30 a 34	Mujeres	748
07	Somontano de Barbastro	35 a 39	Mujeres	846
07	Somontano de Barbastro	40 a 44	Mujeres	829
07	Somontano de Barbastro	45 a 49	Mujeres	678
07	Somontano de Barbastro	50 a 54	Mujeres	593
07	Somontano de Barbastro	55 a 59	Mujeres	585
07	Somontano de Barbastro	60 a 64	Mujeres	555
07	Somontano de Barbastro	65 a 69	Mujeres	732
07	Somontano de Barbastro	70 a 74	Mujeres	775
07	Somontano de Barbastro	75 a 79	Mujeres	713
07	Somontano de Barbastro	80 a 84	Mujeres	482
07	Somontano de Barbastro	85 a 90	Mujeres	321
07	Somontano de Barbastro	90 ó más	Mujeres	134
07	Somontano de Barbastro	00 a 04	Hombres	451
07	Somontano de Barbastro	05 a 09	Hombres	485
07	Somontano de Barbastro	10 a 14	Hombres	530
07	Somontano de Barbastro	15 a 19	Hombres	624
07	Somontano de Barbastro	20 a 24	Hombres	756
07	Somontano de Barbastro	25 a 29	Hombres	793
07	Somontano de Barbastro	30 a 34	Hombres	796
07	Somontano de Barbastro	35 a 39	Hombres	848
07	Somontano de Barbastro	40 a 44	Hombres	805
07	Somontano de Barbastro	45 a 49	Hombres	794
07	Somontano de Barbastro	50 a 54	Hombres	681
07	Somontano de Barbastro	55 a 59	Hombres	597
07	Somontano de Barbastro	60 a 64	Hombres	492
07	Somontano de Barbastro	65 a 69	Hombres	740
07	Somontano de Barbastro	70 a 74	Hombres	692
07	Somontano de Barbastro	75 a 79	Hombres	619
07	Somontano de Barbastro	80 a 84	Hombres	327
07	Somontano de Barbastro	85 a 90	Hombres	180
07	Somontano de Barbastro	90 ó más	Hombres	87
08	Cinca Medio	00 a 04	Mujeres	453
08	Cinca Medio	05 a 09	Mujeres	453
08	Cinca Medio	10 a 14	Mujeres	480
08	Cinca Medio	15 a 19	Mujeres	536
08	Cinca Medio	20 a 24	Mujeres	665
08	Cinca Medio	25 a 29	Mujeres	779
08	Cinca Medio	30 a 34	Mujeres	782
08	Cinca Medio	35 a 39	Mujeres	845
08	Cinca Medio	40 a 44	Mujeres	725
08	Cinca Medio	45 a 49	Mujeres	634
08	Cinca Medio	50 a 54	Mujeres	588
08	Cinca Medio	55 a 59	Mujeres	577
08	Cinca Medio	60 a 64	Mujeres	570
08	Cinca Medio	65 a 69	Mujeres	664
08	Cinca Medio	70 a 74	Mujeres	689
08	Cinca Medio	75 a 79	Mujeres	597
08	Cinca Medio	80 a 84	Mujeres	431
08	Cinca Medio	85 a 90	Mujeres	243
08	Cinca Medio	90 ó más	Mujeres	107
08	Cinca Medio	00 a 04	Hombres	486
08	Cinca Medio	05 a 09	Hombres	484
08	Cinca Medio	10 a 14	Hombres	537
08	Cinca Medio	15 a 19	Hombres	598
08	Cinca Medio	20 a 24	Hombres	826
08	Cinca Medio	25 a 29	Hombres	853
08	Cinca Medio	30 a 34	Hombres	964
08	Cinca Medio	35 a 39	Hombres	969
08	Cinca Medio	40 a 44	Hombres	824
08	Cinca Medio	45 a 49	Hombres	712
08	Cinca Medio	50 a 54	Hombres	621
08	Cinca Medio	55 a 59	Hombres	597
08	Cinca Medio	60 a 64	Hombres	492
08	Cinca Medio	65 a 69	Hombres	704
08	Cinca Medio	70 a 74	Hombres	624
08	Cinca Medio	75 a 79	Hombres	553
08	Cinca Medio	80 a 84	Hombres	276
08	Cinca Medio	85 a 90	Hombres	133
08	Cinca Medio	90 ó más	Hombres	61
09	La Litera / La Llitera	00 a 04	Mujeres	351
09	La Litera / La Llitera	05 a 09	Mujeres	324
09	La Litera / La Llitera	10 a 14	Mujeres	335
09	La Litera / La Llitera	15 a 19	Mujeres	379
09	La Litera / La Llitera	20 a 24	Mujeres	596
09	La Litera / La Llitera	25 a 29	Mujeres	590
09	La Litera / La Llitera	30 a 34	Mujeres	586
09	La Litera / La Llitera	35 a 39	Mujeres	642
09	La Litera / La Llitera	40 a 44	Mujeres	574
09	La Litera / La Llitera	45 a 49	Mujeres	517
09	La Litera / La Llitera	50 a 54	Mujeres	507
09	La Litera / La Llitera	55 a 59	Mujeres	544
09	La Litera / La Llitera	60 a 64	Mujeres	468
09	La Litera / La Llitera	65 a 69	Mujeres	668
09	La Litera / La Llitera	70 a 74	Mujeres	627
09	La Litera / La Llitera	75 a 79	Mujeres	609
09	La Litera / La Llitera	80 a 84	Mujeres	420
09	La Litera / La Llitera	85 a 90	Mujeres	265
09	La Litera / La Llitera	90 ó más	Mujeres	130
09	La Litera / La Llitera	00 a 04	Hombres	357
09	La Litera / La Llitera	05 a 09	Hombres	364
09	La Litera / La Llitera	10 a 14	Hombres	356
09	La Litera / La Llitera	15 a 19	Hombres	444
09	La Litera / La Llitera	20 a 24	Hombres	639
09	La Litera / La Llitera	25 a 29	Hombres	787
09	La Litera / La Llitera	30 a 34	Hombres	680
09	La Litera / La Llitera	35 a 39	Hombres	726
09	La Litera / La Llitera	40 a 44	Hombres	647
09	La Litera / La Llitera	45 a 49	Hombres	570
09	La Litera / La Llitera	50 a 54	Hombres	524
09	La Litera / La Llitera	55 a 59	Hombres	525
09	La Litera / La Llitera	60 a 64	Hombres	480
09	La Litera / La Llitera	65 a 69	Hombres	591
09	La Litera / La Llitera	70 a 74	Hombres	603
09	La Litera / La Llitera	75 a 79	Hombres	530
09	La Litera / La Llitera	80 a 84	Hombres	292
09	La Litera / La Llitera	85 a 90	Hombres	162
09	La Litera / La Llitera	90 ó más	Hombres	78
10	Los Monegros	00 a 04	Mujeres	302
10	Los Monegros	05 a 09	Mujeres	316
10	Los Monegros	10 a 14	Mujeres	423
10	Los Monegros	15 a 19	Mujeres	461
10	Los Monegros	20 a 24	Mujeres	631
10	Los Monegros	25 a 29	Mujeres	655
10	Los Monegros	30 a 34	Mujeres	635
10	Los Monegros	35 a 39	Mujeres	715
10	Los Monegros	40 a 44	Mujeres	625
10	Los Monegros	45 a 49	Mujeres	567
10	Los Monegros	50 a 54	Mujeres	573
10	Los Monegros	55 a 59	Mujeres	596
10	Los Monegros	60 a 64	Mujeres	542
10	Los Monegros	65 a 69	Mujeres	759
10	Los Monegros	70 a 74	Mujeres	809
10	Los Monegros	75 a 79	Mujeres	725
10	Los Monegros	80 a 84	Mujeres	480
10	Los Monegros	85 a 90	Mujeres	283
10	Los Monegros	90 ó más	Mujeres	120
10	Los Monegros	00 a 04	Hombres	329
10	Los Monegros	05 a 09	Hombres	379
10	Los Monegros	10 a 14	Hombres	394
10	Los Monegros	15 a 19	Hombres	554
10	Los Monegros	20 a 24	Hombres	687
10	Los Monegros	25 a 29	Hombres	724
10	Los Monegros	30 a 34	Hombres	718
10	Los Monegros	35 a 39	Hombres	845
10	Los Monegros	40 a 44	Hombres	821
10	Los Monegros	45 a 49	Hombres	693
10	Los Monegros	50 a 54	Hombres	631
10	Los Monegros	55 a 59	Hombres	624
10	Los Monegros	60 a 64	Hombres	594
10	Los Monegros	65 a 69	Hombres	772
10	Los Monegros	70 a 74	Hombres	789
10	Los Monegros	75 a 79	Hombres	612
10	Los Monegros	80 a 84	Hombres	352
10	Los Monegros	85 a 90	Hombres	184
10	Los Monegros	90 ó más	Hombres	70
11	Bajo Cinca / Baix Cinca	00 a 04	Mujeres	449
11	Bajo Cinca / Baix Cinca	05 a 09	Mujeres	500
11	Bajo Cinca / Baix Cinca	10 a 14	Mujeres	505
11	Bajo Cinca / Baix Cinca	15 a 19	Mujeres	601
11	Bajo Cinca / Baix Cinca	20 a 24	Mujeres	713
11	Bajo Cinca / Baix Cinca	25 a 29	Mujeres	789
11	Bajo Cinca / Baix Cinca	30 a 34	Mujeres	759
11	Bajo Cinca / Baix Cinca	35 a 39	Mujeres	769
11	Bajo Cinca / Baix Cinca	40 a 44	Mujeres	742
11	Bajo Cinca / Baix Cinca	45 a 49	Mujeres	627
11	Bajo Cinca / Baix Cinca	50 a 54	Mujeres	601
11	Bajo Cinca / Baix Cinca	55 a 59	Mujeres	603
11	Bajo Cinca / Baix Cinca	60 a 64	Mujeres	555
11	Bajo Cinca / Baix Cinca	65 a 69	Mujeres	697
11	Bajo Cinca / Baix Cinca	70 a 74	Mujeres	651
11	Bajo Cinca / Baix Cinca	75 a 79	Mujeres	591
11	Bajo Cinca / Baix Cinca	80 a 84	Mujeres	418
11	Bajo Cinca / Baix Cinca	85 a 90	Mujeres	231
11	Bajo Cinca / Baix Cinca	90 ó más	Mujeres	119
11	Bajo Cinca / Baix Cinca	00 a 04	Hombres	489
11	Bajo Cinca / Baix Cinca	05 a 09	Hombres	490
11	Bajo Cinca / Baix Cinca	10 a 14	Hombres	546
11	Bajo Cinca / Baix Cinca	15 a 19	Hombres	605
11	Bajo Cinca / Baix Cinca	20 a 24	Hombres	866
11	Bajo Cinca / Baix Cinca	25 a 29	Hombres	901
11	Bajo Cinca / Baix Cinca	30 a 34	Hombres	892
11	Bajo Cinca / Baix Cinca	35 a 39	Hombres	908
11	Bajo Cinca / Baix Cinca	40 a 44	Hombres	781
11	Bajo Cinca / Baix Cinca	45 a 49	Hombres	731
11	Bajo Cinca / Baix Cinca	50 a 54	Hombres	627
11	Bajo Cinca / Baix Cinca	55 a 59	Hombres	604
11	Bajo Cinca / Baix Cinca	60 a 64	Hombres	558
11	Bajo Cinca / Baix Cinca	65 a 69	Hombres	661
11	Bajo Cinca / Baix Cinca	70 a 74	Hombres	616
11	Bajo Cinca / Baix Cinca	75 a 79	Hombres	510
11	Bajo Cinca / Baix Cinca	80 a 84	Hombres	345
11	Bajo Cinca / Baix Cinca	85 a 90	Hombres	146
11	Bajo Cinca / Baix Cinca	90 ó más	Hombres	58
12	Tarazona y el Moncayo	00 a 04	Mujeres	245
12	Tarazona y el Moncayo	05 a 09	Mujeres	287
12	Tarazona y el Moncayo	10 a 14	Mujeres	301
12	Tarazona y el Moncayo	15 a 19	Mujeres	358
12	Tarazona y el Moncayo	20 a 24	Mujeres	400
12	Tarazona y el Moncayo	25 a 29	Mujeres	521
12	Tarazona y el Moncayo	30 a 34	Mujeres	480
12	Tarazona y el Moncayo	35 a 39	Mujeres	463
12	Tarazona y el Moncayo	40 a 44	Mujeres	449
12	Tarazona y el Moncayo	45 a 49	Mujeres	382
12	Tarazona y el Moncayo	50 a 54	Mujeres	393
12	Tarazona y el Moncayo	55 a 59	Mujeres	409
12	Tarazona y el Moncayo	60 a 64	Mujeres	356
12	Tarazona y el Moncayo	65 a 69	Mujeres	496
12	Tarazona y el Moncayo	70 a 74	Mujeres	475
12	Tarazona y el Moncayo	75 a 79	Mujeres	475
12	Tarazona y el Moncayo	80 a 84	Mujeres	371
12	Tarazona y el Moncayo	85 a 90	Mujeres	228
12	Tarazona y el Moncayo	90 ó más	Mujeres	98
12	Tarazona y el Moncayo	00 a 04	Hombres	270
12	Tarazona y el Moncayo	05 a 09	Hombres	278
12	Tarazona y el Moncayo	10 a 14	Hombres	302
12	Tarazona y el Moncayo	15 a 19	Hombres	369
12	Tarazona y el Moncayo	20 a 24	Hombres	467
12	Tarazona y el Moncayo	25 a 29	Hombres	508
12	Tarazona y el Moncayo	30 a 34	Hombres	515
12	Tarazona y el Moncayo	35 a 39	Hombres	530
12	Tarazona y el Moncayo	40 a 44	Hombres	489
12	Tarazona y el Moncayo	45 a 49	Hombres	433
12	Tarazona y el Moncayo	50 a 54	Hombres	411
12	Tarazona y el Moncayo	55 a 59	Hombres	405
12	Tarazona y el Moncayo	60 a 64	Hombres	372
12	Tarazona y el Moncayo	65 a 69	Hombres	453
12	Tarazona y el Moncayo	70 a 74	Hombres	434
12	Tarazona y el Moncayo	75 a 79	Hombres	385
12	Tarazona y el Moncayo	80 a 84	Hombres	207
12	Tarazona y el Moncayo	85 a 90	Hombres	103
12	Tarazona y el Moncayo	90 ó más	Hombres	50
13	Campo de Borja	00 a 04	Mujeres	277
13	Campo de Borja	05 a 09	Mujeres	236
13	Campo de Borja	10 a 14	Mujeres	266
13	Campo de Borja	15 a 19	Mujeres	326
13	Campo de Borja	20 a 24	Mujeres	425
13	Campo de Borja	25 a 29	Mujeres	447
13	Campo de Borja	30 a 34	Mujeres	462
13	Campo de Borja	35 a 39	Mujeres	491
13	Campo de Borja	40 a 44	Mujeres	459
13	Campo de Borja	45 a 49	Mujeres	324
13	Campo de Borja	50 a 54	Mujeres	371
13	Campo de Borja	55 a 59	Mujeres	366
13	Campo de Borja	60 a 64	Mujeres	365
13	Campo de Borja	65 a 69	Mujeres	500
13	Campo de Borja	70 a 74	Mujeres	499
13	Campo de Borja	75 a 79	Mujeres	438
13	Campo de Borja	80 a 84	Mujeres	322
13	Campo de Borja	85 a 90	Mujeres	215
13	Campo de Borja	90 ó más	Mujeres	106
13	Campo de Borja	00 a 04	Hombres	269
13	Campo de Borja	05 a 09	Hombres	301
13	Campo de Borja	10 a 14	Hombres	310
13	Campo de Borja	15 a 19	Hombres	355
13	Campo de Borja	20 a 24	Hombres	449
13	Campo de Borja	25 a 29	Hombres	563
13	Campo de Borja	30 a 34	Hombres	595
13	Campo de Borja	35 a 39	Hombres	597
13	Campo de Borja	40 a 44	Hombres	513
13	Campo de Borja	45 a 49	Hombres	447
13	Campo de Borja	50 a 54	Hombres	403
13	Campo de Borja	55 a 59	Hombres	422
13	Campo de Borja	60 a 64	Hombres	374
13	Campo de Borja	65 a 69	Hombres	479
13	Campo de Borja	70 a 74	Hombres	470
13	Campo de Borja	75 a 79	Hombres	382
13	Campo de Borja	80 a 84	Hombres	215
13	Campo de Borja	85 a 90	Hombres	98
13	Campo de Borja	90 ó más	Hombres	44
14	Aranda	00 a 04	Mujeres	174
14	Aranda	05 a 09	Mujeres	182
14	Aranda	10 a 14	Mujeres	184
14	Aranda	15 a 19	Mujeres	203
14	Aranda	20 a 24	Mujeres	233
14	Aranda	25 a 29	Mujeres	279
14	Aranda	30 a 34	Mujeres	324
14	Aranda	35 a 39	Mujeres	314
14	Aranda	40 a 44	Mujeres	233
14	Aranda	45 a 49	Mujeres	225
14	Aranda	50 a 54	Mujeres	171
14	Aranda	55 a 59	Mujeres	215
14	Aranda	60 a 64	Mujeres	213
14	Aranda	65 a 69	Mujeres	250
14	Aranda	70 a 74	Mujeres	258
14	Aranda	75 a 79	Mujeres	195
14	Aranda	80 a 84	Mujeres	125
14	Aranda	85 a 90	Mujeres	84
14	Aranda	90 ó más	Mujeres	49
14	Aranda	00 a 04	Hombres	168
14	Aranda	05 a 09	Hombres	161
14	Aranda	10 a 14	Hombres	177
14	Aranda	15 a 19	Hombres	227
14	Aranda	20 a 24	Hombres	278
14	Aranda	25 a 29	Hombres	316
14	Aranda	30 a 34	Hombres	351
14	Aranda	35 a 39	Hombres	342
14	Aranda	40 a 44	Hombres	285
14	Aranda	45 a 49	Hombres	270
14	Aranda	50 a 54	Hombres	216
14	Aranda	55 a 59	Hombres	232
14	Aranda	60 a 64	Hombres	227
14	Aranda	65 a 69	Hombres	276
14	Aranda	70 a 74	Hombres	227
14	Aranda	75 a 79	Hombres	154
14	Aranda	80 a 84	Hombres	100
14	Aranda	85 a 90	Hombres	35
14	Aranda	90 ó más	Hombres	14
15	Ribera Alta del Ebro	00 a 04	Mujeres	381
15	Ribera Alta del Ebro	05 a 09	Mujeres	455
15	Ribera Alta del Ebro	10 a 14	Mujeres	516
15	Ribera Alta del Ebro	15 a 19	Mujeres	600
15	Ribera Alta del Ebro	20 a 24	Mujeres	744
15	Ribera Alta del Ebro	25 a 29	Mujeres	722
15	Ribera Alta del Ebro	30 a 34	Mujeres	712
15	Ribera Alta del Ebro	35 a 39	Mujeres	836
15	Ribera Alta del Ebro	40 a 44	Mujeres	840
15	Ribera Alta del Ebro	45 a 49	Mujeres	638
15	Ribera Alta del Ebro	50 a 54	Mujeres	605
15	Ribera Alta del Ebro	55 a 59	Mujeres	555
15	Ribera Alta del Ebro	60 a 64	Mujeres	500
