Tipo de hogar código	Tipo de hogar	Comarca	Comarca nombre	Nº hogares
1	Hogares unipersonales	31	Sierra de Albarracín	641,0211275322
1	Hogares unipersonales	32	Gúdar-Javalambre	1051,7039693019
1	Hogares unipersonales	33	Matarraña / Matarranya	909,7554451777
2	Hogares multipersonales no forman familia	01	La Jacetania	39,6519386003
2	Hogares multipersonales no forman familia	02	Alto Gállego	79,2858853664
2	Hogares multipersonales no forman familia	03	Sobrarbe	24,9775375988
2	Hogares multipersonales no forman familia	04	La Ribagorza	49,2873510753
2	Hogares multipersonales no forman familia	05	Cinco Villas	70,2762931139
2	Hogares multipersonales no forman familia	06	Hoya de Huesca / Plana de Uesca	441,8852056787
2	Hogares multipersonales no forman familia	07	Somontano de Barbastro	237,8786446191
2	Hogares multipersonales no forman familia	08	Cinca Medio	270,0469590277
2	Hogares multipersonales no forman familia	09	La Litera / La Llitera	78,534311199
2	Hogares multipersonales no forman familia	10	Los Monegros	80,8740107617
2	Hogares multipersonales no forman familia	11	Bajo Cinca / Baix Cinca	105,448760432
2	Hogares multipersonales no forman familia	12	Tarazona y el Moncayo	142,1129973784
2	Hogares multipersonales no forman familia	13	Campo de Borja	101,5223663168
2	Hogares multipersonales no forman familia	14	Aranda	14,0711893689
2	Hogares multipersonales no forman familia	15	Ribera Alta del Ebro	53,0459677878
2	Hogares multipersonales no forman familia	16	Valdejalón	86,1972660631
2	Hogares multipersonales no forman familia	17	D.C. Zaragoza	4336,0102287813
2	Hogares multipersonales no forman familia	18	Ribera Baja del Ebro	33,2767714581
2	Hogares multipersonales no forman familia	19	Bajo Aragón-Caspe / Baix Aragó-Casp	41,9374709739
2	Hogares multipersonales no forman familia	20	Comunidad de Calatayud	252,1309930168
2	Hogares multipersonales no forman familia	21	Campo de Cariñena	51,3082804541
2	Hogares multipersonales no forman familia	22	Campo de Belchite	44,3727067669
2	Hogares multipersonales no forman familia	23	Bajo Martín	27,3662834327
2	Hogares multipersonales no forman familia	24	Campo de Daroca	32,6599746872
2	Hogares multipersonales no forman familia	25	Jiloca	22,512844851
2	Hogares multipersonales no forman familia	26	Cuencas Mineras	23,3761538736
2	Hogares multipersonales no forman familia	27	Andorra-Sierra de Arcos	61,3283247465
2	Hogares multipersonales no forman familia	28	Bajo Aragón	43,2931511413
2	Hogares multipersonales no forman familia	29	Comunidad de Teruel	213,6459502771
2	Hogares multipersonales no forman familia	30	Maestrazgo	14,3438358932
2	Hogares multipersonales no forman familia	31	Sierra de Albarracín	16,9061080271
2	Hogares multipersonales no forman familia	32	Gúdar-Javalambre	23,4148340975
2	Hogares multipersonales no forman familia	33	Matarraña / Matarranya	24,6675286819
3	Hogares multipersonales forman una familia sin otras personas	01	La Jacetania	220,1607912293
3	Hogares multipersonales forman una familia sin otras personas	02	Alto Gállego	67,7715742928
3	Hogares multipersonales forman una familia sin otras personas	03	Sobrarbe	80,2191872438
3	Hogares multipersonales forman una familia sin otras personas	04	La Ribagorza	125,5932693793
3	Hogares multipersonales forman una familia sin otras personas	05	Cinco Villas	324,9614160451
3	Hogares multipersonales forman una familia sin otras personas	06	Hoya de Huesca / Plana de Uesca	590,8006303941
3	Hogares multipersonales forman una familia sin otras personas	07	Somontano de Barbastro	357,7074059733
3	Hogares multipersonales forman una familia sin otras personas	08	Cinca Medio	225,200835053
3	Hogares multipersonales forman una familia sin otras personas	09	La Litera / La Llitera	145,9973833836
3	Hogares multipersonales forman una familia sin otras personas	10	Los Monegros	268,8599621671
3	Hogares multipersonales forman una familia sin otras personas	11	Bajo Cinca / Baix Cinca	132,4527607275
3	Hogares multipersonales forman una familia sin otras personas	12	Tarazona y el Moncayo	91,704612798
3	Hogares multipersonales forman una familia sin otras personas	13	Campo de Borja	79,809463458
3	Hogares multipersonales forman una familia sin otras personas	14	Aranda	63,1053595893
3	Hogares multipersonales forman una familia sin otras personas	15	Ribera Alta del Ebro	109,4176411544
3	Hogares multipersonales forman una familia sin otras personas	16	Valdejalón	179,9872461028
3	Hogares multipersonales forman una familia sin otras personas	17	D.C. Zaragoza	5559,5664381409
3	Hogares multipersonales forman una familia sin otras personas	18	Ribera Baja del Ebro	61,5563740465
3	Hogares multipersonales forman una familia sin otras personas	19	Bajo Aragón-Caspe / Baix Aragó-Casp	113,9310011578
3	Hogares multipersonales forman una familia sin otras personas	20	Comunidad de Calatayud	410,3202632131
3	Hogares multipersonales forman una familia sin otras personas	21	Campo de Cariñena	78,7044631754
3	Hogares multipersonales forman una familia sin otras personas	22	Campo de Belchite	48,7065032184
3	Hogares multipersonales forman una familia sin otras personas	23	Bajo Martín	61,0961776982
3	Hogares multipersonales forman una familia sin otras personas	24	Campo de Daroca	74,3492117632
3	Hogares multipersonales forman una familia sin otras personas	25	Jiloca	158,5001954027
3	Hogares multipersonales forman una familia sin otras personas	26	Cuencas Mineras	87,7367061801
3	Hogares multipersonales forman una familia sin otras personas	27	Andorra-Sierra de Arcos	82,4939036689
3	Hogares multipersonales forman una familia sin otras personas	28	Bajo Aragón	207,3799945999
3	Hogares multipersonales forman una familia sin otras personas	29	Comunidad de Teruel	380,8023433544
3	Hogares multipersonales forman una familia sin otras personas	30	Maestrazgo	51,9809706202
3	Hogares multipersonales forman una familia sin otras personas	31	Sierra de Albarracín	73,7823552983
3	Hogares multipersonales forman una familia sin otras personas	32	Gúdar-Javalambre	91,780221025
3	Hogares multipersonales forman una familia sin otras personas	33	Matarraña / Matarranya	84,7458175362
4	Hogares multipersonales forman una familia sin otras personas	01	La Jacetania	4557,8453791286
4	Hogares multipersonales forman una familia sin otras personas	02	Alto Gállego	3582,0676878387
4	Hogares multipersonales forman una familia sin otras personas	03	Sobrarbe	1676,1009609549
4	Hogares multipersonales forman una familia sin otras personas	04	La Ribagorza	3050,1883647062
4	Hogares multipersonales forman una familia sin otras personas	05	Cinco Villas	8429,9642894897
4	Hogares multipersonales forman una familia sin otras personas	06	Hoya de Huesca / Plana de Uesca	17280,0719805323
4	Hogares multipersonales forman una familia sin otras personas	07	Somontano de Barbastro	5811,6780336672
4	Hogares multipersonales forman una familia sin otras personas	08	Cinca Medio	6085,7611445793
4	Hogares multipersonales forman una familia sin otras personas	09	La Litera / La Llitera	4824,0347370712
4	Hogares multipersonales forman una familia sin otras personas	10	Los Monegros	4765,8428199401
4	Hogares multipersonales forman una familia sin otras personas	11	Bajo Cinca / Baix Cinca	5830,749083561
4	Hogares multipersonales forman una familia sin otras personas	12	Tarazona y el Moncayo	3634,5384809854
4	Hogares multipersonales forman una familia sin otras personas	13	Campo de Borja	3764,5754487019
4	Hogares multipersonales forman una familia sin otras personas	14	Aranda	1975,9571793521
4	Hogares multipersonales forman una familia sin otras personas	15	Ribera Alta del Ebro	7467,3710233356
4	Hogares multipersonales forman una familia sin otras personas	16	Valdejalón	7443,2179928816
4	Hogares multipersonales forman una familia sin otras personas	17	D.C. Zaragoza	198906,229210301
4	Hogares multipersonales forman una familia sin otras personas	18	Ribera Baja del Ebro	2440,2488267845
4	Hogares multipersonales forman una familia sin otras personas	19	Bajo Aragón-Caspe / Baix Aragó-Casp	3581,8303792309
4	Hogares multipersonales forman una familia sin otras personas	20	Comunidad de Calatayud	9904,2552825338
4	Hogares multipersonales forman una familia sin otras personas	21	Campo de Cariñena	2672,6201238164
4	Hogares multipersonales forman una familia sin otras personas	22	Campo de Belchite	1335,8259539775
4	Hogares multipersonales forman una familia sin otras personas	23	Bajo Martín	1793,838566482
4	Hogares multipersonales forman una familia sin otras personas	24	Campo de Daroca	1570,2165150312
4	Hogares multipersonales forman una familia sin otras personas	25	Jiloca	3422,2168900054
4	Hogares multipersonales forman una familia sin otras personas	26	Cuencas Mineras	2333,9999088073
4	Hogares multipersonales forman una familia sin otras personas	27	Andorra-Sierra de Arcos	2899,6508727165
4	Hogares multipersonales forman una familia sin otras personas	28	Bajo Aragón	7717,9959829841
4	Hogares multipersonales forman una familia sin otras personas	29	Comunidad de Teruel	12020,4557670001
4	Hogares multipersonales forman una familia sin otras personas	30	Maestrazgo	832,1873490134
4	Hogares multipersonales forman una familia sin otras personas	31	Sierra de Albarracín	1168,5800883326
4	Hogares multipersonales forman una familia sin otras personas	32	Gúdar-Javalambre	1953,0532221624
4	Hogares multipersonales forman una familia sin otras personas	33	Matarraña / Matarranya	2034,3986371418
5	Hogares multipersonales forman una familia sin otras personas	01	La Jacetania	360,4786058459
5	Hogares multipersonales forman una familia sin otras personas	02	Alto Gállego	332,8516029723
5	Hogares multipersonales forman una familia sin otras personas	03	Sobrarbe	261,5027449984
5	Hogares multipersonales forman una familia sin otras personas	04	La Ribagorza	389,4794256626
5	Hogares multipersonales forman una familia sin otras personas	05	Cinco Villas	583,9411317691
5	Hogares multipersonales forman una familia sin otras personas	06	Hoya de Huesca / Plana de Uesca	1287,1705143591
5	Hogares multipersonales forman una familia sin otras personas	07	Somontano de Barbastro	613,3073012957
5	Hogares multipersonales forman una familia sin otras personas	08	Cinca Medio	478,6563131541
5	Hogares multipersonales forman una familia sin otras personas	09	La Litera / La Llitera	545,3048858617
5	Hogares multipersonales forman una familia sin otras personas	10	Los Monegros	654,6907205517
5	Hogares multipersonales forman una familia sin otras personas	11	Bajo Cinca / Baix Cinca	630,4957337341
5	Hogares multipersonales forman una familia sin otras personas	12	Tarazona y el Moncayo	347,573533843
5	Hogares multipersonales forman una familia sin otras personas	13	Campo de Borja	394,9978205839
5	Hogares multipersonales forman una familia sin otras personas	14	Aranda	171,3239644279
5	Hogares multipersonales forman una familia sin otras personas	15	Ribera Alta del Ebro	433,1263526229
5	Hogares multipersonales forman una familia sin otras personas	16	Valdejalón	891,5735070249
5	Hogares multipersonales forman una familia sin otras personas	17	D.C. Zaragoza	11570,56127701
5	Hogares multipersonales forman una familia sin otras personas	18	Ribera Baja del Ebro	230,8940036892
5	Hogares multipersonales forman una familia sin otras personas	19	Bajo Aragón-Caspe / Baix Aragó-Casp	415,4562386894
5	Hogares multipersonales forman una familia sin otras personas	20	Comunidad de Calatayud	952,8598654791
5	Hogares multipersonales forman una familia sin otras personas	21	Campo de Cariñena	404,9189656155
5	Hogares multipersonales forman una familia sin otras personas	22	Campo de Belchite	114,8041641063
5	Hogares multipersonales forman una familia sin otras personas	23	Bajo Martín	176,0036792131
5	Hogares multipersonales forman una familia sin otras personas	24	Campo de Daroca	96,3117373969
5	Hogares multipersonales forman una familia sin otras personas	25	Jiloca	236,7083307204
5	Hogares multipersonales forman una familia sin otras personas	26	Cuencas Mineras	122,498816578
5	Hogares multipersonales forman una familia sin otras personas	27	Andorra-Sierra de Arcos	294,6756313948
5	Hogares multipersonales forman una familia sin otras personas	28	Bajo Aragón	574,055438093
5	Hogares multipersonales forman una familia sin otras personas	29	Comunidad de Teruel	785,0494239296
5	Hogares multipersonales forman una familia sin otras personas	30	Maestrazgo	117,9071280668
5	Hogares multipersonales forman una familia sin otras personas	31	Sierra de Albarracín	110,9772099966
5	Hogares multipersonales forman una familia sin otras personas	32	Gúdar-Javalambre	179,2279970363
5	Hogares multipersonales forman una familia sin otras personas	33	Matarraña / Matarranya	276,0209241184
6	Hogares multipersonales forman una familia sin otras personas	01	La Jacetania	88,6927919777
6	Hogares multipersonales forman una familia sin otras personas	02	Alto Gállego	93,9956139883
6	Hogares multipersonales forman una familia sin otras personas	03	Sobrarbe	71,8176957661
6	Hogares multipersonales forman una familia sin otras personas	04	La Ribagorza	129,5055751111
6	Hogares multipersonales forman una familia sin otras personas	05	Cinco Villas	115,2633455736
6	Hogares multipersonales forman una familia sin otras personas	06	Hoya de Huesca / Plana de Uesca	348,0455796368
6	Hogares multipersonales forman una familia sin otras personas	07	Somontano de Barbastro	138,8668389496
6	Hogares multipersonales forman una familia sin otras personas	08	Cinca Medio	119,0561079661
6	Hogares multipersonales forman una familia sin otras personas	09	La Litera / La Llitera	134,9937315112
6	Hogares multipersonales forman una familia sin otras personas	10	Los Monegros	168,0046247823
6	Hogares multipersonales forman una familia sin otras personas	11	Bajo Cinca / Baix Cinca	315,087988906
6	Hogares multipersonales forman una familia sin otras personas	12	Tarazona y el Moncayo	97,0752163895
6	Hogares multipersonales forman una familia sin otras personas	13	Campo de Borja	85,2917788949
6	Hogares multipersonales forman una familia sin otras personas	14	Aranda	22,3432689456
6	Hogares multipersonales forman una familia sin otras personas	15	Ribera Alta del Ebro	183,9682590245
6	Hogares multipersonales forman una familia sin otras personas	16	Valdejalón	55,8803940578
6	Hogares multipersonales forman una familia sin otras personas	17	D.C. Zaragoza	2828,767247148
6	Hogares multipersonales forman una familia sin otras personas	18	Ribera Baja del Ebro	58,0564112104
6	Hogares multipersonales forman una familia sin otras personas	19	Bajo Aragón-Caspe / Baix Aragó-Casp	141,6098173949
6	Hogares multipersonales forman una familia sin otras personas	20	Comunidad de Calatayud	252,4311401659
6	Hogares multipersonales forman una familia sin otras personas	21	Campo de Cariñena	53,8078044274
6	Hogares multipersonales forman una familia sin otras personas	22	Campo de Belchite	23,2700927376
6	Hogares multipersonales forman una familia sin otras personas	23	Bajo Martín	34,7527832701
6	Hogares multipersonales forman una familia sin otras personas	24	Campo de Daroca	54,1971731152
6	Hogares multipersonales forman una familia sin otras personas	25	Jiloca	89,1584803282
6	Hogares multipersonales forman una familia sin otras personas	26	Cuencas Mineras	71,1081188498
6	Hogares multipersonales forman una familia sin otras personas	27	Andorra-Sierra de Arcos	30,7634059968
6	Hogares multipersonales forman una familia sin otras personas	28	Bajo Aragón	121,231089141
6	Hogares multipersonales forman una familia sin otras personas	29	Comunidad de Teruel	288,9116524478
6	Hogares multipersonales forman una familia sin otras personas	30	Maestrazgo	14,3055375449
6	Hogares multipersonales forman una familia sin otras personas	31	Sierra de Albarracín	23,6597539371
6	Hogares multipersonales forman una familia sin otras personas	32	Gúdar-Javalambre	37,174066396
6	Hogares multipersonales forman una familia sin otras personas	33	Matarraña / Matarranya	93,0669519297
7	Hogares multipersonales forman una familia con otras personas no emparentadas	01	La Jacetania	23,5441537135
7	Hogares multipersonales forman una familia con otras personas no emparentadas	02	Alto Gállego	83,9274928279
7	Hogares multipersonales forman una familia con otras personas no emparentadas	03	Sobrarbe	88,4513557002
7	Hogares multipersonales forman una familia con otras personas no emparentadas	04	La Ribagorza	65,3963066668
7	Hogares multipersonales forman una familia con otras personas no emparentadas	05	Cinco Villas	226,1534795067
7	Hogares multipersonales forman una familia con otras personas no emparentadas	06	Hoya de Huesca / Plana de Uesca	128,5205174901
7	Hogares multipersonales forman una familia con otras personas no emparentadas	07	Somontano de Barbastro	65,8956969416
7	Hogares multipersonales forman una familia con otras personas no emparentadas	08	Cinca Medio	140,2189809501
7	Hogares multipersonales forman una familia con otras personas no emparentadas	09	La Litera / La Llitera	70,3771612551
7	Hogares multipersonales forman una familia con otras personas no emparentadas	10	Los Monegros	43,3223134647
7	Hogares multipersonales forman una familia con otras personas no emparentadas	11	Bajo Cinca / Baix Cinca	92,9154188963
7	Hogares multipersonales forman una familia con otras personas no emparentadas	12	Tarazona y el Moncayo	31,583368481
7	Hogares multipersonales forman una familia con otras personas no emparentadas	13	Campo de Borja	29,7302014792
7	Hogares multipersonales forman una familia con otras personas no emparentadas	14	Aranda	45,5035665288
7	Hogares multipersonales forman una familia con otras personas no emparentadas	15	Ribera Alta del Ebro	88,5029940218
7	Hogares multipersonales forman una familia con otras personas no emparentadas	16	Valdejalón	228,9610383452
7	Hogares multipersonales forman una familia con otras personas no emparentadas	17	D.C. Zaragoza	3393,59286181
7	Hogares multipersonales forman una familia con otras personas no emparentadas	18	Ribera Baja del Ebro	9,287933019
7	Hogares multipersonales forman una familia con otras personas no emparentadas	19	Bajo Aragón-Caspe / Baix Aragó-Casp	38,7273541382
7	Hogares multipersonales forman una familia con otras personas no emparentadas	20	Comunidad de Calatayud	107,9467448738
7	Hogares multipersonales forman una familia con otras personas no emparentadas	21	Campo de Cariñena	61,680542913
7	Hogares multipersonales forman una familia con otras personas no emparentadas	22	Campo de Belchite	19,9796868186
7	Hogares multipersonales forman una familia con otras personas no emparentadas	23	Bajo Martín	48,6956709851
7	Hogares multipersonales forman una familia con otras personas no emparentadas	24	Campo de Daroca	13,8509200082
7	Hogares multipersonales forman una familia con otras personas no emparentadas	25	Jiloca	46,3159420741
7	Hogares multipersonales forman una familia con otras personas no emparentadas	26	Cuencas Mineras	14,227365157
7	Hogares multipersonales forman una familia con otras personas no emparentadas	27	Andorra-Sierra de Arcos	74,7461180858
7	Hogares multipersonales forman una familia con otras personas no emparentadas	28	Bajo Aragón	188,5166434607
7	Hogares multipersonales forman una familia con otras personas no emparentadas	29	Comunidad de Teruel	121,1058355666
7	Hogares multipersonales forman una familia con otras personas no emparentadas	30	Maestrazgo	6,2561443272
7	Hogares multipersonales forman una familia con otras personas no emparentadas	31	Sierra de Albarracín	11,1067967872
7	Hogares multipersonales forman una familia con otras personas no emparentadas	32	Gúdar-Javalambre	50,0922372246
7	Hogares multipersonales forman una familia con otras personas no emparentadas	33	Matarraña / Matarranya	33,1471652792
8	Hogares multipersonales con dos o más familias	01	La Jacetania	11,0407544696
8	Hogares multipersonales con dos o más familias	02	Alto Gállego	6,4805471198
8	Hogares multipersonales con dos o más familias	03	Sobrarbe	15,483495852
8	Hogares multipersonales con dos o más familias	04	La Ribagorza	5,639897052
8	Hogares multipersonales con dos o más familias	06	Hoya de Huesca / Plana de Uesca	53,3098285195
8	Hogares multipersonales con dos o más familias	07	Somontano de Barbastro	5,8203432641
8	Hogares multipersonales con dos o más familias	09	La Litera / La Llitera	5,6309748582
8	Hogares multipersonales con dos o más familias	10	Los Monegros	29,919474669
8	Hogares multipersonales con dos o más familias	11	Bajo Cinca / Baix Cinca	0,4030374075
8	Hogares multipersonales con dos o más familias	13	Campo de Borja	7,1336550701
8	Hogares multipersonales con dos o más familias	15	Ribera Alta del Ebro	14,823180809
8	Hogares multipersonales con dos o más familias	16	Valdejalón	6,4445305913
8	Hogares multipersonales con dos o más familias	17	D.C. Zaragoza	388,8947006165
8	Hogares multipersonales con dos o más familias	18	Ribera Baja del Ebro	1,4350429313
8	Hogares multipersonales con dos o más familias	19	Bajo Aragón-Caspe / Baix Aragó-Casp	18,706623557
8	Hogares multipersonales con dos o más familias	20	Comunidad de Calatayud	8,1628905737
8	Hogares multipersonales con dos o más familias	22	Campo de Belchite	10,3776556217
8	Hogares multipersonales con dos o más familias	26	Cuencas Mineras	5,8530655943
8	Hogares multipersonales con dos o más familias	28	Bajo Aragón	6,2430293479
8	Hogares multipersonales con dos o más familias	29	Comunidad de Teruel	33,325062499
8	Hogares multipersonales con dos o más familias	30	Maestrazgo	3,2213385012
8	Hogares multipersonales con dos o más familias	33	Matarraña / Matarranya	4,1158503382
