Comarca código	Comarca nombre	Sexo	Sector actividad	Rama actividad, código	Rama actividad, descripción	Personas residentes viviendas familiares
02	Alto Gállego	Hombres	Servicios	15	Educación	70
02	Alto Gállego	Hombres	Servicios	16	Sanidad	43
02	Alto Gállego	Hombres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	138
02	Alto Gállego	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	28
02	Alto Gállego	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	8
02	Alto Gállego	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	19
02	Alto Gállego	Mujeres	Industria y energía	04	Textil y calzado	5
02	Alto Gállego	Mujeres	Industria y energía	05	Madera y papel	13
02	Alto Gállego	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	171
02	Alto Gállego	Mujeres	Industria y energía	07	Metal	39
02	Alto Gállego	Mujeres	Industria y energía	08	Manufactureras diversas	5
02	Alto Gállego	Mujeres	Construcción	09	Construcción	49
02	Alto Gállego	Mujeres	Servicios	10	Comercio y reparación	355
02	Alto Gállego	Mujeres	Servicios	11	Hostelería	307
02	Alto Gállego	Mujeres	Servicios	12	Transporte y comunicaciones	59
02	Alto Gállego	Mujeres	Servicios	13	Finanzas y servicios a empresas	193
02	Alto Gállego	Mujeres	Servicios	14	Administración pública	130
02	Alto Gállego	Mujeres	Servicios	15	Educación	165
02	Alto Gállego	Mujeres	Servicios	16	Sanidad	144
02	Alto Gállego	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	136
03	Sobrarbe	Hombres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	429
03	Sobrarbe	Hombres	Industria y energía	02	Extractivas, energía, gas y agua	27
03	Sobrarbe	Hombres	Industria y energía	03	Alimentación, bebidas y tabaco	20
03	Sobrarbe	Hombres	Industria y energía	04	Textil y calzado	5
03	Sobrarbe	Hombres	Industria y energía	05	Madera y papel	25
03	Sobrarbe	Hombres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	32
03	Sobrarbe	Hombres	Industria y energía	07	Metal	44
03	Sobrarbe	Hombres	Industria y energía	08	Manufactureras diversas	9
03	Sobrarbe	Hombres	Construcción	09	Construcción	435
03	Sobrarbe	Hombres	Servicios	10	Comercio y reparación	131
03	Sobrarbe	Hombres	Servicios	11	Hostelería	206
03	Sobrarbe	Hombres	Servicios	12	Transporte y comunicaciones	89
03	Sobrarbe	Hombres	Servicios	13	Finanzas y servicios a empresas	90
03	Sobrarbe	Hombres	Servicios	14	Administración pública	205
03	Sobrarbe	Hombres	Servicios	15	Educación	63
03	Sobrarbe	Hombres	Servicios	16	Sanidad	30
03	Sobrarbe	Hombres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	41
03	Sobrarbe	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	48
03	Sobrarbe	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	1
03	Sobrarbe	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	16
03	Sobrarbe	Mujeres	Industria y energía	04	Textil y calzado	7
03	Sobrarbe	Mujeres	Industria y energía	05	Madera y papel	3
03	Sobrarbe	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	4
03	Sobrarbe	Mujeres	Industria y energía	07	Metal	4
03	Sobrarbe	Mujeres	Industria y energía	08	Manufactureras diversas	2
03	Sobrarbe	Mujeres	Construcción	09	Construcción	9
03	Sobrarbe	Mujeres	Servicios	10	Comercio y reparación	130
03	Sobrarbe	Mujeres	Servicios	11	Hostelería	255
03	Sobrarbe	Mujeres	Servicios	12	Transporte y comunicaciones	31
03	Sobrarbe	Mujeres	Servicios	13	Finanzas y servicios a empresas	65
03	Sobrarbe	Mujeres	Servicios	14	Administración pública	90
03	Sobrarbe	Mujeres	Servicios	15	Educación	104
03	Sobrarbe	Mujeres	Servicios	16	Sanidad	93
03	Sobrarbe	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	43
04	La Ribagorza	Hombres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	783
04	La Ribagorza	Hombres	Industria y energía	02	Extractivas, energía, gas y agua	72
04	La Ribagorza	Hombres	Industria y energía	03	Alimentación, bebidas y tabaco	112
04	La Ribagorza	Hombres	Industria y energía	04	Textil y calzado	8
04	La Ribagorza	Hombres	Industria y energía	05	Madera y papel	49
04	La Ribagorza	Hombres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	30
04	La Ribagorza	Hombres	Industria y energía	07	Metal	97
04	La Ribagorza	Hombres	Industria y energía	08	Manufactureras diversas	16
04	La Ribagorza	Hombres	Construcción	09	Construcción	602
04	La Ribagorza	Hombres	Servicios	10	Comercio y reparación	242
04	La Ribagorza	Hombres	Servicios	11	Hostelería	202
04	La Ribagorza	Hombres	Servicios	12	Transporte y comunicaciones	163
04	La Ribagorza	Hombres	Servicios	13	Finanzas y servicios a empresas	191
04	La Ribagorza	Hombres	Servicios	14	Administración pública	247
04	La Ribagorza	Hombres	Servicios	15	Educación	102
04	La Ribagorza	Hombres	Servicios	16	Sanidad	57
04	La Ribagorza	Hombres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	89
04	La Ribagorza	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	103
04	La Ribagorza	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	4
04	La Ribagorza	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	81
04	La Ribagorza	Mujeres	Industria y energía	04	Textil y calzado	48
04	La Ribagorza	Mujeres	Industria y energía	05	Madera y papel	5
04	La Ribagorza	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	14
04	La Ribagorza	Mujeres	Industria y energía	07	Metal	29
04	La Ribagorza	Mujeres	Industria y energía	08	Manufactureras diversas	4
04	La Ribagorza	Mujeres	Construcción	09	Construcción	45
04	La Ribagorza	Mujeres	Servicios	10	Comercio y reparación	238
04	La Ribagorza	Mujeres	Servicios	11	Hostelería	277
04	La Ribagorza	Mujeres	Servicios	12	Transporte y comunicaciones	62
04	La Ribagorza	Mujeres	Servicios	13	Finanzas y servicios a empresas	144
04	La Ribagorza	Mujeres	Servicios	14	Administración pública	143
04	La Ribagorza	Mujeres	Servicios	15	Educación	181
04	La Ribagorza	Mujeres	Servicios	16	Sanidad	172
04	La Ribagorza	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	125
05	Cinco Villas	Hombres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	2557
05	Cinco Villas	Hombres	Industria y energía	02	Extractivas, energía, gas y agua	78
05	Cinco Villas	Hombres	Industria y energía	03	Alimentación, bebidas y tabaco	305
05	Cinco Villas	Hombres	Industria y energía	04	Textil y calzado	17
05	Cinco Villas	Hombres	Industria y energía	05	Madera y papel	95
05	Cinco Villas	Hombres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	208
05	Cinco Villas	Hombres	Industria y energía	07	Metal	986
05	Cinco Villas	Hombres	Industria y energía	08	Manufactureras diversas	75
05	Cinco Villas	Hombres	Construcción	09	Construcción	1951
05	Cinco Villas	Hombres	Servicios	10	Comercio y reparación	690
05	Cinco Villas	Hombres	Servicios	11	Hostelería	244
05	Cinco Villas	Hombres	Servicios	12	Transporte y comunicaciones	427
05	Cinco Villas	Hombres	Servicios	13	Finanzas y servicios a empresas	353
05	Cinco Villas	Hombres	Servicios	14	Administración pública	502
05	Cinco Villas	Hombres	Servicios	15	Educación	202
05	Cinco Villas	Hombres	Servicios	16	Sanidad	126
05	Cinco Villas	Hombres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	156
05	Cinco Villas	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	212
05	Cinco Villas	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	10
05	Cinco Villas	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	260
05	Cinco Villas	Mujeres	Industria y energía	04	Textil y calzado	38
05	Cinco Villas	Mujeres	Industria y energía	05	Madera y papel	21
05	Cinco Villas	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	43
05	Cinco Villas	Mujeres	Industria y energía	07	Metal	900
05	Cinco Villas	Mujeres	Industria y energía	08	Manufactureras diversas	8
05	Cinco Villas	Mujeres	Construcción	09	Construcción	102
05	Cinco Villas	Mujeres	Servicios	10	Comercio y reparación	772
05	Cinco Villas	Mujeres	Servicios	11	Hostelería	261
05	Cinco Villas	Mujeres	Servicios	12	Transporte y comunicaciones	103
05	Cinco Villas	Mujeres	Servicios	13	Finanzas y servicios a empresas	303
05	Cinco Villas	Mujeres	Servicios	14	Administración pública	305
05	Cinco Villas	Mujeres	Servicios	15	Educación	373
05	Cinco Villas	Mujeres	Servicios	16	Sanidad	364
05	Cinco Villas	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	246
06	Hoya de Huesca / Plana de Uesca	Hombres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	1704
06	Hoya de Huesca / Plana de Uesca	Hombres	Industria y energía	02	Extractivas, energía, gas y agua	117
06	Hoya de Huesca / Plana de Uesca	Hombres	Industria y energía	03	Alimentación, bebidas y tabaco	391
06	Hoya de Huesca / Plana de Uesca	Hombres	Industria y energía	04	Textil y calzado	99
06	Hoya de Huesca / Plana de Uesca	Hombres	Industria y energía	05	Madera y papel	222
06	Hoya de Huesca / Plana de Uesca	Hombres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	256
06	Hoya de Huesca / Plana de Uesca	Hombres	Industria y energía	07	Metal	1236
06	Hoya de Huesca / Plana de Uesca	Hombres	Industria y energía	08	Manufactureras diversas	92
06	Hoya de Huesca / Plana de Uesca	Hombres	Construcción	09	Construcción	2569
06	Hoya de Huesca / Plana de Uesca	Hombres	Servicios	10	Comercio y reparación	1954
06	Hoya de Huesca / Plana de Uesca	Hombres	Servicios	11	Hostelería	574
06	Hoya de Huesca / Plana de Uesca	Hombres	Servicios	12	Transporte y comunicaciones	920
06	Hoya de Huesca / Plana de Uesca	Hombres	Servicios	13	Finanzas y servicios a empresas	1377
06	Hoya de Huesca / Plana de Uesca	Hombres	Servicios	14	Administración pública	2215
06	Hoya de Huesca / Plana de Uesca	Hombres	Servicios	15	Educación	728
06	Hoya de Huesca / Plana de Uesca	Hombres	Servicios	16	Sanidad	630
06	Hoya de Huesca / Plana de Uesca	Hombres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	358
06	Hoya de Huesca / Plana de Uesca	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	154
06	Hoya de Huesca / Plana de Uesca	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	30
06	Hoya de Huesca / Plana de Uesca	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	244
06	Hoya de Huesca / Plana de Uesca	Mujeres	Industria y energía	04	Textil y calzado	91
06	Hoya de Huesca / Plana de Uesca	Mujeres	Industria y energía	05	Madera y papel	71
06	Hoya de Huesca / Plana de Uesca	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	63
06	Hoya de Huesca / Plana de Uesca	Mujeres	Industria y energía	07	Metal	132
06	Hoya de Huesca / Plana de Uesca	Mujeres	Industria y energía	08	Manufactureras diversas	21
06	Hoya de Huesca / Plana de Uesca	Mujeres	Construcción	09	Construcción	160
06	Hoya de Huesca / Plana de Uesca	Mujeres	Servicios	10	Comercio y reparación	1666
06	Hoya de Huesca / Plana de Uesca	Mujeres	Servicios	11	Hostelería	593
06	Hoya de Huesca / Plana de Uesca	Mujeres	Servicios	12	Transporte y comunicaciones	267
06	Hoya de Huesca / Plana de Uesca	Mujeres	Servicios	13	Finanzas y servicios a empresas	1182
06	Hoya de Huesca / Plana de Uesca	Mujeres	Servicios	14	Administración pública	1580
06	Hoya de Huesca / Plana de Uesca	Mujeres	Servicios	15	Educación	1290
06	Hoya de Huesca / Plana de Uesca	Mujeres	Servicios	16	Sanidad	1767
06	Hoya de Huesca / Plana de Uesca	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	792
07	Somontano de Barbastro	Hombres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	890
07	Somontano de Barbastro	Hombres	Industria y energía	02	Extractivas, energía, gas y agua	57
07	Somontano de Barbastro	Hombres	Industria y energía	03	Alimentación, bebidas y tabaco	236
07	Somontano de Barbastro	Hombres	Industria y energía	04	Textil y calzado	106
07	Somontano de Barbastro	Hombres	Industria y energía	05	Madera y papel	119
07	Somontano de Barbastro	Hombres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	507
07	Somontano de Barbastro	Hombres	Industria y energía	07	Metal	411
07	Somontano de Barbastro	Hombres	Industria y energía	08	Manufactureras diversas	56
07	Somontano de Barbastro	Hombres	Construcción	09	Construcción	1051
07	Somontano de Barbastro	Hombres	Servicios	10	Comercio y reparación	714
07	Somontano de Barbastro	Hombres	Servicios	11	Hostelería	193
07	Somontano de Barbastro	Hombres	Servicios	12	Transporte y comunicaciones	299
07	Somontano de Barbastro	Hombres	Servicios	13	Finanzas y servicios a empresas	276
07	Somontano de Barbastro	Hombres	Servicios	14	Administración pública	322
07	Somontano de Barbastro	Hombres	Servicios	15	Educación	161
07	Somontano de Barbastro	Hombres	Servicios	16	Sanidad	170
07	Somontano de Barbastro	Hombres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	111
07	Somontano de Barbastro	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	136
07	Somontano de Barbastro	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	7
07	Somontano de Barbastro	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	110
07	Somontano de Barbastro	Mujeres	Industria y energía	04	Textil y calzado	81
07	Somontano de Barbastro	Mujeres	Industria y energía	05	Madera y papel	20
07	Somontano de Barbastro	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	74
07	Somontano de Barbastro	Mujeres	Industria y energía	07	Metal	117
07	Somontano de Barbastro	Mujeres	Industria y energía	08	Manufactureras diversas	3
07	Somontano de Barbastro	Mujeres	Construcción	09	Construcción	70
07	Somontano de Barbastro	Mujeres	Servicios	10	Comercio y reparación	669
07	Somontano de Barbastro	Mujeres	Servicios	11	Hostelería	287
07	Somontano de Barbastro	Mujeres	Servicios	12	Transporte y comunicaciones	70
07	Somontano de Barbastro	Mujeres	Servicios	13	Finanzas y servicios a empresas	272
07	Somontano de Barbastro	Mujeres	Servicios	14	Administración pública	215
07	Somontano de Barbastro	Mujeres	Servicios	15	Educación	360
07	Somontano de Barbastro	Mujeres	Servicios	16	Sanidad	524
07	Somontano de Barbastro	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	236
08	Cinca Medio	Hombres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	980
08	Cinca Medio	Hombres	Industria y energía	02	Extractivas, energía, gas y agua	84
08	Cinca Medio	Hombres	Industria y energía	03	Alimentación, bebidas y tabaco	191
08	Cinca Medio	Hombres	Industria y energía	04	Textil y calzado	26
08	Cinca Medio	Hombres	Industria y energía	05	Madera y papel	146
08	Cinca Medio	Hombres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	826
08	Cinca Medio	Hombres	Industria y energía	07	Metal	804
08	Cinca Medio	Hombres	Industria y energía	08	Manufactureras diversas	73
08	Cinca Medio	Hombres	Construcción	09	Construcción	1021
08	Cinca Medio	Hombres	Servicios	10	Comercio y reparación	515
08	Cinca Medio	Hombres	Servicios	11	Hostelería	143
08	Cinca Medio	Hombres	Servicios	12	Transporte y comunicaciones	345
08	Cinca Medio	Hombres	Servicios	13	Finanzas y servicios a empresas	280
08	Cinca Medio	Hombres	Servicios	14	Administración pública	236
08	Cinca Medio	Hombres	Servicios	15	Educación	118
08	Cinca Medio	Hombres	Servicios	16	Sanidad	61
08	Cinca Medio	Hombres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	71
08	Cinca Medio	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	142
08	Cinca Medio	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	8
08	Cinca Medio	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	124
08	Cinca Medio	Mujeres	Industria y energía	04	Textil y calzado	137
08	Cinca Medio	Mujeres	Industria y energía	05	Madera y papel	23
08	Cinca Medio	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	119
08	Cinca Medio	Mujeres	Industria y energía	07	Metal	156
08	Cinca Medio	Mujeres	Industria y energía	08	Manufactureras diversas	16
08	Cinca Medio	Mujeres	Construcción	09	Construcción	75
08	Cinca Medio	Mujeres	Servicios	10	Comercio y reparación	563
08	Cinca Medio	Mujeres	Servicios	11	Hostelería	193
08	Cinca Medio	Mujeres	Servicios	12	Transporte y comunicaciones	92
08	Cinca Medio	Mujeres	Servicios	13	Finanzas y servicios a empresas	291
08	Cinca Medio	Mujeres	Servicios	14	Administración pública	208
08	Cinca Medio	Mujeres	Servicios	15	Educación	295
08	Cinca Medio	Mujeres	Servicios	16	Sanidad	325
08	Cinca Medio	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	183
09	La Litera / La Llitera	Hombres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	1342
09	La Litera / La Llitera	Hombres	Industria y energía	02	Extractivas, energía, gas y agua	32
09	La Litera / La Llitera	Hombres	Industria y energía	03	Alimentación, bebidas y tabaco	401
09	La Litera / La Llitera	Hombres	Industria y energía	04	Textil y calzado	23
09	La Litera / La Llitera	Hombres	Industria y energía	05	Madera y papel	64
09	La Litera / La Llitera	Hombres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	136
09	La Litera / La Llitera	Hombres	Industria y energía	07	Metal	420
09	La Litera / La Llitera	Hombres	Industria y energía	08	Manufactureras diversas	27
09	La Litera / La Llitera	Hombres	Construcción	09	Construcción	905
09	La Litera / La Llitera	Hombres	Servicios	10	Comercio y reparación	615
09	La Litera / La Llitera	Hombres	Servicios	11	Hostelería	108
09	La Litera / La Llitera	Hombres	Servicios	12	Transporte y comunicaciones	318
09	La Litera / La Llitera	Hombres	Servicios	13	Finanzas y servicios a empresas	207
09	La Litera / La Llitera	Hombres	Servicios	14	Administración pública	194
09	La Litera / La Llitera	Hombres	Servicios	15	Educación	100
09	La Litera / La Llitera	Hombres	Servicios	16	Sanidad	50
09	La Litera / La Llitera	Hombres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	48
09	La Litera / La Llitera	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	192
09	La Litera / La Llitera	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	6
09	La Litera / La Llitera	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	133
09	La Litera / La Llitera	Mujeres	Industria y energía	04	Textil y calzado	186
09	La Litera / La Llitera	Mujeres	Industria y energía	05	Madera y papel	13
09	La Litera / La Llitera	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	17
09	La Litera / La Llitera	Mujeres	Industria y energía	07	Metal	107
09	La Litera / La Llitera	Mujeres	Industria y energía	08	Manufactureras diversas	7
09	La Litera / La Llitera	Mujeres	Construcción	09	Construcción	75
09	La Litera / La Llitera	Mujeres	Servicios	10	Comercio y reparación	488
09	La Litera / La Llitera	Mujeres	Servicios	11	Hostelería	156
09	La Litera / La Llitera	Mujeres	Servicios	12	Transporte y comunicaciones	72
09	La Litera / La Llitera	Mujeres	Servicios	13	Finanzas y servicios a empresas	213
09	La Litera / La Llitera	Mujeres	Servicios	14	Administración pública	161
09	La Litera / La Llitera	Mujeres	Servicios	15	Educación	289
09	La Litera / La Llitera	Mujeres	Servicios	16	Sanidad	192
09	La Litera / La Llitera	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	166
10	Los Monegros	Hombres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	1952
10	Los Monegros	Hombres	Industria y energía	02	Extractivas, energía, gas y agua	63
10	Los Monegros	Hombres	Industria y energía	03	Alimentación, bebidas y tabaco	161
10	Los Monegros	Hombres	Industria y energía	04	Textil y calzado	17
10	Los Monegros	Hombres	Industria y energía	05	Madera y papel	44
10	Los Monegros	Hombres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	90
10	Los Monegros	Hombres	Industria y energía	07	Metal	371
10	Los Monegros	Hombres	Industria y energía	08	Manufactureras diversas	24
10	Los Monegros	Hombres	Construcción	09	Construcción	1140
10	Los Monegros	Hombres	Servicios	10	Comercio y reparación	502
10	Los Monegros	Hombres	Servicios	11	Hostelería	158
10	Los Monegros	Hombres	Servicios	12	Transporte y comunicaciones	337
10	Los Monegros	Hombres	Servicios	13	Finanzas y servicios a empresas	220
10	Los Monegros	Hombres	Servicios	14	Administración pública	306
10	Los Monegros	Hombres	Servicios	15	Educación	69
10	Los Monegros	Hombres	Servicios	16	Sanidad	56
10	Los Monegros	Hombres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	65
10	Los Monegros	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	181
10	Los Monegros	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	13
10	Los Monegros	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	102
10	Los Monegros	Mujeres	Industria y energía	04	Textil y calzado	39
10	Los Monegros	Mujeres	Industria y energía	05	Madera y papel	14
10	Los Monegros	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	21
10	Los Monegros	Mujeres	Industria y energía	07	Metal	62
10	Los Monegros	Mujeres	Industria y energía	08	Manufactureras diversas	11
10	Los Monegros	Mujeres	Construcción	09	Construcción	59
10	Los Monegros	Mujeres	Servicios	10	Comercio y reparación	400
10	Los Monegros	Mujeres	Servicios	11	Hostelería	189
10	Los Monegros	Mujeres	Servicios	12	Transporte y comunicaciones	65
10	Los Monegros	Mujeres	Servicios	13	Finanzas y servicios a empresas	220
10	Los Monegros	Mujeres	Servicios	14	Administración pública	226
10	Los Monegros	Mujeres	Servicios	15	Educación	179
10	Los Monegros	Mujeres	Servicios	16	Sanidad	281
10	Los Monegros	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	205
11	Bajo Cinca / Baix Cinca	Hombres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	2027
11	Bajo Cinca / Baix Cinca	Hombres	Industria y energía	02	Extractivas, energía, gas y agua	115
11	Bajo Cinca / Baix Cinca	Hombres	Industria y energía	03	Alimentación, bebidas y tabaco	258
11	Bajo Cinca / Baix Cinca	Hombres	Industria y energía	04	Textil y calzado	12
11	Bajo Cinca / Baix Cinca	Hombres	Industria y energía	05	Madera y papel	183
11	Bajo Cinca / Baix Cinca	Hombres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	267
11	Bajo Cinca / Baix Cinca	Hombres	Industria y energía	07	Metal	274
11	Bajo Cinca / Baix Cinca	Hombres	Industria y energía	08	Manufactureras diversas	29
11	Bajo Cinca / Baix Cinca	Hombres	Construcción	09	Construcción	1025
11	Bajo Cinca / Baix Cinca	Hombres	Servicios	10	Comercio y reparación	649
11	Bajo Cinca / Baix Cinca	Hombres	Servicios	11	Hostelería	166
11	Bajo Cinca / Baix Cinca	Hombres	Servicios	12	Transporte y comunicaciones	342
11	Bajo Cinca / Baix Cinca	Hombres	Servicios	13	Finanzas y servicios a empresas	235
11	Bajo Cinca / Baix Cinca	Hombres	Servicios	14	Administración pública	257
11	Bajo Cinca / Baix Cinca	Hombres	Servicios	15	Educación	102
11	Bajo Cinca / Baix Cinca	Hombres	Servicios	16	Sanidad	35
11	Bajo Cinca / Baix Cinca	Hombres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	72
11	Bajo Cinca / Baix Cinca	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	215
11	Bajo Cinca / Baix Cinca	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	12
