Comarca código	Comarca nombre	Situación preferente	Personas residentes viviendas familiares
05	Cinco Villas	Parados que han trabajado antes	881
05	Cinco Villas	Pensionistas de invalidez	525
05	Cinco Villas	Pensionistas de viudedad u orfandad	1579
05	Cinco Villas	Pensionistas de jubilación	4354
05	Cinco Villas	Realizando tareas de voluntariado	8
05	Cinco Villas	Dependientes	76
05	Cinco Villas	Realizando o compartiendo las labores del hogar	4730
05	Cinco Villas	Otra situación	627
06	Hoya de Huesca / Plana de Uesca	Estudiantes	11581
06	Hoya de Huesca / Plana de Uesca	Ocupados	25551
06	Hoya de Huesca / Plana de Uesca	Parados buscando el primer empleo	487
06	Hoya de Huesca / Plana de Uesca	Parados que han trabajado antes	1788
06	Hoya de Huesca / Plana de Uesca	Pensionistas de invalidez	1122
06	Hoya de Huesca / Plana de Uesca	Pensionistas de viudedad u orfandad	2829
06	Hoya de Huesca / Plana de Uesca	Pensionistas de jubilación	7476
06	Hoya de Huesca / Plana de Uesca	Realizando tareas de voluntariado	57
06	Hoya de Huesca / Plana de Uesca	Dependientes	126
06	Hoya de Huesca / Plana de Uesca	Realizando o compartiendo las labores del hogar	6843
06	Hoya de Huesca / Plana de Uesca	Otra situación	1279
07	Somontano de Barbastro	Estudiantes	3973
07	Somontano de Barbastro	Ocupados	8932
07	Somontano de Barbastro	Parados buscando el primer empleo	148
07	Somontano de Barbastro	Parados que han trabajado antes	731
07	Somontano de Barbastro	Pensionistas de invalidez	421
07	Somontano de Barbastro	Pensionistas de viudedad u orfandad	1316
07	Somontano de Barbastro	Pensionistas de jubilación	3334
07	Somontano de Barbastro	Realizando tareas de voluntariado	6
07	Somontano de Barbastro	Dependientes	50
07	Somontano de Barbastro	Realizando o compartiendo las labores del hogar	3041
07	Somontano de Barbastro	Otra situación	545
08	Cinca Medio	Estudiantes	3912
08	Cinca Medio	Ocupados	8872
08	Cinca Medio	Parados buscando el primer empleo	142
08	Cinca Medio	Parados que han trabajado antes	703
08	Cinca Medio	Pensionistas de invalidez	408
08	Cinca Medio	Pensionistas de viudedad u orfandad	1082
08	Cinca Medio	Pensionistas de jubilación	2944
08	Cinca Medio	Realizando tareas de voluntariado	12
08	Cinca Medio	Dependientes	72
08	Cinca Medio	Realizando o compartiendo las labores del hogar	3274
08	Cinca Medio	Otra situación	522
09	La Litera / La Llitera	Estudiantes	2933
09	La Litera / La Llitera	Ocupados	7464
09	La Litera / La Llitera	Parados buscando el primer empleo	106
09	La Litera / La Llitera	Parados que han trabajado antes	357
09	La Litera / La Llitera	Pensionistas de invalidez	341
09	La Litera / La Llitera	Pensionistas de viudedad u orfandad	1145
09	La Litera / La Llitera	Pensionistas de jubilación	3001
09	La Litera / La Llitera	Realizando tareas de voluntariado	3
09	La Litera / La Llitera	Dependientes	32
09	La Litera / La Llitera	Realizando o compartiendo las labores del hogar	2655
09	La Litera / La Llitera	Otra situación	307
10	Los Monegros	Estudiantes	3267
10	Los Monegros	Ocupados	7848
10	Los Monegros	Parados buscando el primer empleo	162
10	Los Monegros	Parados que han trabajado antes	426
10	Los Monegros	Pensionistas de invalidez	395
10	Los Monegros	Pensionistas de viudedad u orfandad	1241
10	Los Monegros	Pensionistas de jubilación	3477
10	Los Monegros	Realizando tareas de voluntariado	12
10	Los Monegros	Dependientes	53
10	Los Monegros	Realizando o compartiendo las labores del hogar	3464
10	Los Monegros	Otra situación	467
11	Bajo Cinca / Baix Cinca	Estudiantes	3959
11	Bajo Cinca / Baix Cinca	Ocupados	8981
11	Bajo Cinca / Baix Cinca	Parados buscando el primer empleo	136
11	Bajo Cinca / Baix Cinca	Parados que han trabajado antes	476
11	Bajo Cinca / Baix Cinca	Pensionistas de invalidez	290
11	Bajo Cinca / Baix Cinca	Pensionistas de viudedad u orfandad	1047
11	Bajo Cinca / Baix Cinca	Pensionistas de jubilación	3247
11	Bajo Cinca / Baix Cinca	Realizando tareas de voluntariado	7
11	Bajo Cinca / Baix Cinca	Dependientes	53
11	Bajo Cinca / Baix Cinca	Realizando o compartiendo las labores del hogar	3562
11	Bajo Cinca / Baix Cinca	Otra situación	414
12	Tarazona y el Moncayo	Estudiantes	2334
12	Tarazona y el Moncayo	Ocupados	5365
12	Tarazona y el Moncayo	Parados buscando el primer empleo	87
12	Tarazona y el Moncayo	Parados que han trabajado antes	675
12	Tarazona y el Moncayo	Pensionistas de invalidez	267
12	Tarazona y el Moncayo	Pensionistas de viudedad u orfandad	660
12	Tarazona y el Moncayo	Pensionistas de jubilación	2660
12	Tarazona y el Moncayo	Realizando tareas de voluntariado	4
12	Tarazona y el Moncayo	Dependientes	12
12	Tarazona y el Moncayo	Realizando o compartiendo las labores del hogar	1510
12	Tarazona y el Moncayo	Otra situación	285
13	Campo de Borja	Estudiantes	2189
13	Campo de Borja	Ocupados	5559
13	Campo de Borja	Parados buscando el primer empleo	92
13	Campo de Borja	Parados que han trabajado antes	451
13	Campo de Borja	Pensionistas de invalidez	226
13	Campo de Borja	Pensionistas de viudedad u orfandad	652
13	Campo de Borja	Pensionistas de jubilación	2424
13	Campo de Borja	Realizando tareas de voluntariado	5
13	Campo de Borja	Dependientes	26
13	Campo de Borja	Realizando o compartiendo las labores del hogar	2013
13	Campo de Borja	Otra situación	281
14	Aranda	Estudiantes	1272
14	Aranda	Ocupados	3201
14	Aranda	Parados buscando el primer empleo	59
14	Aranda	Parados que han trabajado antes	313
14	Aranda	Pensionistas de invalidez	137
14	Aranda	Pensionistas de viudedad u orfandad	328
14	Aranda	Pensionistas de jubilación	1230
14	Aranda	Realizando tareas de voluntariado	2
14	Aranda	Dependientes	17
14	Aranda	Realizando o compartiendo las labores del hogar	1182
14	Aranda	Otra situación	207
15	Ribera Alta del Ebro	Estudiantes	3846
15	Ribera Alta del Ebro	Ocupados	9083
15	Ribera Alta del Ebro	Parados buscando el primer empleo	135
15	Ribera Alta del Ebro	Parados que han trabajado antes	653
15	Ribera Alta del Ebro	Pensionistas de invalidez	446
15	Ribera Alta del Ebro	Pensionistas de viudedad u orfandad	1113
15	Ribera Alta del Ebro	Pensionistas de jubilación	2984
15	Ribera Alta del Ebro	Realizando tareas de voluntariado	1
15	Ribera Alta del Ebro	Dependientes	48
15	Ribera Alta del Ebro	Realizando o compartiendo las labores del hogar	3231
15	Ribera Alta del Ebro	Otra situación	445
16	Valdejalón	Estudiantes	3697
16	Valdejalón	Ocupados	9116
16	Valdejalón	Parados buscando el primer empleo	223
16	Valdejalón	Parados que han trabajado antes	773
16	Valdejalón	Pensionistas de invalidez	380
16	Valdejalón	Pensionistas de viudedad u orfandad	1029
16	Valdejalón	Pensionistas de jubilación	3342
16	Valdejalón	Realizando tareas de voluntariado	5
16	Valdejalón	Dependientes	54
16	Valdejalón	Realizando o compartiendo las labores del hogar	3417
16	Valdejalón	Otra situación	521
17	D.C. Zaragoza	Estudiantes	123369
17	D.C. Zaragoza	Ocupados	281043
17	D.C. Zaragoza	Parados buscando el primer empleo	7011
17	D.C. Zaragoza	Parados que han trabajado antes	29603
17	D.C. Zaragoza	Pensionistas de invalidez	13317
17	D.C. Zaragoza	Pensionistas de viudedad u orfandad	27566
17	D.C. Zaragoza	Pensionistas de jubilación	69416
17	D.C. Zaragoza	Realizando tareas de voluntariado	535
17	D.C. Zaragoza	Dependientes	1753
17	D.C. Zaragoza	Realizando o compartiendo las labores del hogar	80657
17	D.C. Zaragoza	Otra situación	16955
18	Ribera Baja del Ebro	Estudiantes	1515
18	Ribera Baja del Ebro	Ocupados	3688
18	Ribera Baja del Ebro	Parados buscando el primer empleo	63
18	Ribera Baja del Ebro	Parados que han trabajado antes	217
18	Ribera Baja del Ebro	Pensionistas de invalidez	184
18	Ribera Baja del Ebro	Pensionistas de viudedad u orfandad	554
18	Ribera Baja del Ebro	Pensionistas de jubilación	1500
18	Ribera Baja del Ebro	Realizando tareas de voluntariado	4
18	Ribera Baja del Ebro	Dependientes	26
18	Ribera Baja del Ebro	Realizando o compartiendo las labores del hogar	1295
18	Ribera Baja del Ebro	Otra situación	145
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Estudiantes	1982
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Ocupados	5007
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Parados buscando el primer empleo	94
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Parados que han trabajado antes	528
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Pensionistas de invalidez	212
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Pensionistas de viudedad u orfandad	656
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Pensionistas de jubilación	2333
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Realizando tareas de voluntariado	6
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Dependientes	25
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Realizando o compartiendo las labores del hogar	1762
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Otra situación	288
20	Comunidad de Calatayud	Estudiantes	5808
20	Comunidad de Calatayud	Ocupados	14511
20	Comunidad de Calatayud	Parados buscando el primer empleo	340
20	Comunidad de Calatayud	Parados que han trabajado antes	1244
20	Comunidad de Calatayud	Pensionistas de invalidez	749
20	Comunidad de Calatayud	Pensionistas de viudedad u orfandad	2251
20	Comunidad de Calatayud	Pensionistas de jubilación	7157
20	Comunidad de Calatayud	Realizando tareas de voluntariado	16
20	Comunidad de Calatayud	Dependientes	123
20	Comunidad de Calatayud	Realizando o compartiendo las labores del hogar	5642
20	Comunidad de Calatayud	Otra situación	814
21	Campo de Cariñena	Estudiantes	1407
21	Campo de Cariñena	Ocupados	3964
21	Campo de Cariñena	Parados buscando el primer empleo	120
21	Campo de Cariñena	Parados que han trabajado antes	305
21	Campo de Cariñena	Pensionistas de invalidez	213
21	Campo de Cariñena	Pensionistas de viudedad u orfandad	554
21	Campo de Cariñena	Pensionistas de jubilación	1639
21	Campo de Cariñena	Realizando tareas de voluntariado	2
21	Campo de Cariñena	Dependientes	15
21	Campo de Cariñena	Realizando o compartiendo las labores del hogar	1778
21	Campo de Cariñena	Otra situación	177
22	Campo de Belchite	Estudiantes	608
22	Campo de Belchite	Ocupados	1956
22	Campo de Belchite	Parados buscando el primer empleo	34
22	Campo de Belchite	Parados que han trabajado antes	169
22	Campo de Belchite	Pensionistas de invalidez	89
22	Campo de Belchite	Pensionistas de viudedad u orfandad	421
22	Campo de Belchite	Pensionistas de jubilación	1213
22	Campo de Belchite	Realizando tareas de voluntariado	1
22	Campo de Belchite	Dependientes	15
22	Campo de Belchite	Realizando o compartiendo las labores del hogar	945
22	Campo de Belchite	Otra situación	70
23	Bajo Martín	Estudiantes	1115
23	Bajo Martín	Ocupados	2419
23	Bajo Martín	Parados buscando el primer empleo	34
23	Bajo Martín	Parados que han trabajado antes	120
23	Bajo Martín	Pensionistas de invalidez	140
23	Bajo Martín	Pensionistas de viudedad u orfandad	474
23	Bajo Martín	Pensionistas de jubilación	1443
23	Bajo Martín	Dependientes	19
23	Bajo Martín	Realizando o compartiendo las labores del hogar	1374
23	Bajo Martín	Otra situación	97
24	Campo de Daroca	Estudiantes	766
24	Campo de Daroca	Ocupados	2278
24	Campo de Daroca	Parados buscando el primer empleo	48
24	Campo de Daroca	Parados que han trabajado antes	128
24	Campo de Daroca	Pensionistas de invalidez	128
24	Campo de Daroca	Pensionistas de viudedad u orfandad	391
24	Campo de Daroca	Pensionistas de jubilación	1396
24	Campo de Daroca	Realizando tareas de voluntariado	6
24	Campo de Daroca	Dependientes	17
24	Campo de Daroca	Realizando o compartiendo las labores del hogar	1110
24	Campo de Daroca	Otra situación	127
25	Jiloca	Estudiantes	2002
25	Jiloca	Ocupados	4783
25	Jiloca	Parados buscando el primer empleo	57
25	Jiloca	Parados que han trabajado antes	230
25	Jiloca	Pensionistas de invalidez	256
25	Jiloca	Pensionistas de viudedad u orfandad	754
25	Jiloca	Pensionistas de jubilación	2998
25	Jiloca	Realizando tareas de voluntariado	5
25	Jiloca	Dependientes	20
25	Jiloca	Realizando o compartiendo las labores del hogar	2236
25	Jiloca	Otra situación	223
26	Cuencas Mineras	Estudiantes	1648
26	Cuencas Mineras	Ocupados	3038
26	Cuencas Mineras	Parados buscando el primer empleo	71
26	Cuencas Mineras	Parados que han trabajado antes	309
26	Cuencas Mineras	Pensionistas de invalidez	266
26	Cuencas Mineras	Pensionistas de viudedad u orfandad	445
26	Cuencas Mineras	Pensionistas de jubilación	1761
26	Cuencas Mineras	Dependientes	36
26	Cuencas Mineras	Realizando o compartiendo las labores del hogar	1658
26	Cuencas Mineras	Otra situación	187
27	Andorra-Sierra de Arcos	Estudiantes	2223
27	Andorra-Sierra de Arcos	Ocupados	3301
27	Andorra-Sierra de Arcos	Parados buscando el primer empleo	91
27	Andorra-Sierra de Arcos	Parados que han trabajado antes	330
27	Andorra-Sierra de Arcos	Pensionistas de invalidez	190
27	Andorra-Sierra de Arcos	Pensionistas de viudedad u orfandad	505
27	Andorra-Sierra de Arcos	Pensionistas de jubilación	1912
27	Andorra-Sierra de Arcos	Realizando tareas de voluntariado	4
27	Andorra-Sierra de Arcos	Dependientes	13
27	Andorra-Sierra de Arcos	Realizando o compartiendo las labores del hogar	2208
27	Andorra-Sierra de Arcos	Otra situación	234
28	Bajo Aragón	Estudiantes	5059
28	Bajo Aragón	Ocupados	10326
28	Bajo Aragón	Parados buscando el primer empleo	123
28	Bajo Aragón	Parados que han trabajado antes	625
28	Bajo Aragón	Pensionistas de invalidez	368
28	Bajo Aragón	Pensionistas de viudedad u orfandad	1053
28	Bajo Aragón	Pensionistas de jubilación	4532
28	Bajo Aragón	Realizando tareas de voluntariado	4
28	Bajo Aragón	Dependientes	34
28	Bajo Aragón	Realizando o compartiendo las labores del hogar	3500
28	Bajo Aragón	Otra situación	517
29	Comunidad de Teruel	Estudiantes	8359
29	Comunidad de Teruel	Ocupados	17503
29	Comunidad de Teruel	Parados buscando el primer empleo	263
29	Comunidad de Teruel	Parados que han trabajado antes	1112
29	Comunidad de Teruel	Pensionistas de invalidez	483
29	Comunidad de Teruel	Pensionistas de viudedad u orfandad	1658
29	Comunidad de Teruel	Pensionistas de jubilación	6548
29	Comunidad de Teruel	Realizando tareas de voluntariado	17
29	Comunidad de Teruel	Dependientes	83
29	Comunidad de Teruel	Realizando o compartiendo las labores del hogar	4573
29	Comunidad de Teruel	Otra situación	917
30	Maestrazgo	Estudiantes	515
30	Maestrazgo	Ocupados	1369
30	Maestrazgo	Parados buscando el primer empleo	27
30	Maestrazgo	Parados que han trabajado antes	45
30	Maestrazgo	Pensionistas de invalidez	71
30	Maestrazgo	Pensionistas de viudedad u orfandad	122
30	Maestrazgo	Pensionistas de jubilación	1080
30	Maestrazgo	Dependientes	1
30	Maestrazgo	Realizando o compartiendo las labores del hogar	425
30	Maestrazgo	Otra situación	58
31	Sierra de Albarracín	Estudiantes	651
31	Sierra de Albarracín	Ocupados	1767
31	Sierra de Albarracín	Parados buscando el primer empleo	21
31	Sierra de Albarracín	Parados que han trabajado antes	74
31	Sierra de Albarracín	Pensionistas de invalidez	88
31	Sierra de Albarracín	Pensionistas de viudedad u orfandad	240
31	Sierra de Albarracín	Pensionistas de jubilación	1263
31	Sierra de Albarracín	Realizando tareas de voluntariado	2
31	Sierra de Albarracín	Dependientes	4
31	Sierra de Albarracín	Realizando o compartiendo las labores del hogar	636
31	Sierra de Albarracín	Otra situación	83
32	Gúdar-Javalambre	Estudiantes	1143
32	Gúdar-Javalambre	Ocupados	2972
32	Gúdar-Javalambre	Parados buscando el primer empleo	31
32	Gúdar-Javalambre	Parados que han trabajado antes	208
32	Gúdar-Javalambre	Pensionistas de invalidez	145
32	Gúdar-Javalambre	Pensionistas de viudedad u orfandad	303
32	Gúdar-Javalambre	Pensionistas de jubilación	1862
32	Gúdar-Javalambre	Realizando tareas de voluntariado	4
32	Gúdar-Javalambre	Dependientes	11
32	Gúdar-Javalambre	Realizando o compartiendo las labores del hogar	838
32	Gúdar-Javalambre	Otra situación	185
33	Matarraña / Matarranya	Estudiantes	1399
33	Matarraña / Matarranya	Ocupados	3167
33	Matarraña / Matarranya	Parados buscando el primer empleo	34
33	Matarraña / Matarranya	Parados que han trabajado antes	133
33	Matarraña / Matarranya	Pensionistas de invalidez	133
33	Matarraña / Matarranya	Pensionistas de viudedad u orfandad	325
33	Matarraña / Matarranya	Pensionistas de jubilación	2405
33	Matarraña / Matarranya	Realizando tareas de voluntariado	1
33	Matarraña / Matarranya	Dependientes	8
33	Matarraña / Matarranya	Realizando o compartiendo las labores del hogar	1012
33	Matarraña / Matarranya	Otra situación	99
