Comarca código	Comarca nombre	Sexo	Edad	Número hogares
11	Bajo Cinca / Baix Cinca	Hombres	Mayores de 64 años	202
11	Bajo Cinca / Baix Cinca	Mujeres	16 a 34 años	56
11	Bajo Cinca / Baix Cinca	Mujeres	35 a 64 años	122
11	Bajo Cinca / Baix Cinca	Mujeres	Mayores de 64 años	495
12	Tarazona y el Moncayo	Hombres	16 a 34 años	92
12	Tarazona y el Moncayo	Hombres	35 a 64 años	227
12	Tarazona y el Moncayo	Hombres	Mayores de 64 años	211
12	Tarazona y el Moncayo	Mujeres	16 a 34 años	64
12	Tarazona y el Moncayo	Mujeres	35 a 64 años	126
12	Tarazona y el Moncayo	Mujeres	Mayores de 64 años	545
13	Campo de Borja	Hombres	16 a 34 años	127
13	Campo de Borja	Hombres	35 a 64 años	263
13	Campo de Borja	Hombres	Mayores de 64 años	286
13	Campo de Borja	Mujeres	16 a 34 años	64
13	Campo de Borja	Mujeres	35 a 64 años	112
13	Campo de Borja	Mujeres	Mayores de 64 años	560
14	Aranda	Hombres	16 a 34 años	47
14	Aranda	Hombres	35 a 64 años	122
14	Aranda	Hombres	Mayores de 64 años	116
14	Aranda	Mujeres	16 a 34 años	22
14	Aranda	Mujeres	35 a 64 años	49
14	Aranda	Mujeres	Mayores de 64 años	251
15	Ribera Alta del Ebro	Hombres	16 a 34 años	178
15	Ribera Alta del Ebro	Hombres	35 a 64 años	339
15	Ribera Alta del Ebro	Hombres	Mayores de 64 años	268
15	Ribera Alta del Ebro	Mujeres	16 a 34 años	74
15	Ribera Alta del Ebro	Mujeres	35 a 64 años	141
15	Ribera Alta del Ebro	Mujeres	Mayores de 64 años	713
16	Valdejalón	Hombres	16 a 34 años	202
16	Valdejalón	Hombres	35 a 64 años	392
16	Valdejalón	Hombres	Mayores de 64 años	355
16	Valdejalón	Mujeres	16 a 34 años	87
16	Valdejalón	Mujeres	35 a 64 años	153
16	Valdejalón	Mujeres	Mayores de 64 años	727
17	D.C. Zaragoza	Hombres	16 a 34 años	5301
17	D.C. Zaragoza	Hombres	35 a 64 años	8603
17	D.C. Zaragoza	Hombres	Mayores de 64 años	4816
17	D.C. Zaragoza	Mujeres	16 a 34 años	3837
17	D.C. Zaragoza	Mujeres	35 a 64 años	8291
17	D.C. Zaragoza	Mujeres	Mayores de 64 años	19547
18	Ribera Baja del Ebro	Hombres	16 a 34 años	95
18	Ribera Baja del Ebro	Hombres	35 a 64 años	190
18	Ribera Baja del Ebro	Hombres	Mayores de 64 años	193
18	Ribera Baja del Ebro	Mujeres	16 a 34 años	57
18	Ribera Baja del Ebro	Mujeres	35 a 64 años	86
18	Ribera Baja del Ebro	Mujeres	Mayores de 64 años	385
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	16 a 34 años	93
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	35 a 64 años	199
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Mayores de 64 años	222
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	16 a 34 años	54
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	35 a 64 años	90
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Mayores de 64 años	512
20	Comunidad de Calatayud	Hombres	16 a 34 años	271
20	Comunidad de Calatayud	Hombres	35 a 64 años	682
20	Comunidad de Calatayud	Hombres	Mayores de 64 años	839
20	Comunidad de Calatayud	Mujeres	16 a 34 años	163
20	Comunidad de Calatayud	Mujeres	35 a 64 años	334
20	Comunidad de Calatayud	Mujeres	Mayores de 64 años	1880
21	Campo de Cariñena	Hombres	16 a 34 años	89
21	Campo de Cariñena	Hombres	35 a 64 años	205
21	Campo de Cariñena	Hombres	Mayores de 64 años	164
21	Campo de Cariñena	Mujeres	16 a 34 años	38
21	Campo de Cariñena	Mujeres	35 a 64 años	63
21	Campo de Cariñena	Mujeres	Mayores de 64 años	368
22	Campo de Belchite	Hombres	16 a 34 años	32
22	Campo de Belchite	Hombres	35 a 64 años	127
22	Campo de Belchite	Hombres	Mayores de 64 años	161
22	Campo de Belchite	Mujeres	16 a 34 años	18
22	Campo de Belchite	Mujeres	35 a 64 años	43
22	Campo de Belchite	Mujeres	Mayores de 64 años	309
23	Bajo Martín	Hombres	16 a 34 años	42
23	Bajo Martín	Hombres	35 a 64 años	127
23	Bajo Martín	Hombres	Mayores de 64 años	167
23	Bajo Martín	Mujeres	16 a 34 años	14
23	Bajo Martín	Mujeres	35 a 64 años	62
23	Bajo Martín	Mujeres	Mayores de 64 años	378
24	Campo de Daroca	Hombres	16 a 34 años	59
24	Campo de Daroca	Hombres	35 a 64 años	185
24	Campo de Daroca	Hombres	Mayores de 64 años	147
24	Campo de Daroca	Mujeres	16 a 34 años	25
24	Campo de Daroca	Mujeres	35 a 64 años	62
24	Campo de Daroca	Mujeres	Mayores de 64 años	307
25	Jiloca	Hombres	16 a 34 años	85
25	Jiloca	Hombres	35 a 64 años	285
25	Jiloca	Hombres	Mayores de 64 años	400
25	Jiloca	Mujeres	16 a 34 años	53
25	Jiloca	Mujeres	35 a 64 años	132
25	Jiloca	Mujeres	Mayores de 64 años	704
26	Cuencas Mineras	Hombres	16 a 34 años	76
26	Cuencas Mineras	Hombres	35 a 64 años	190
26	Cuencas Mineras	Hombres	Mayores de 64 años	168
26	Cuencas Mineras	Mujeres	16 a 34 años	25
26	Cuencas Mineras	Mujeres	35 a 64 años	69
26	Cuencas Mineras	Mujeres	Mayores de 64 años	381
27	Andorra-Sierra de Arcos	Hombres	16 a 34 años	45
27	Andorra-Sierra de Arcos	Hombres	35 a 64 años	145
27	Andorra-Sierra de Arcos	Hombres	Mayores de 64 años	148
27	Andorra-Sierra de Arcos	Mujeres	16 a 34 años	22
27	Andorra-Sierra de Arcos	Mujeres	35 a 64 años	46
27	Andorra-Sierra de Arcos	Mujeres	Mayores de 64 años	334
28	Bajo Aragón	Hombres	16 a 34 años	184
28	Bajo Aragón	Hombres	35 a 64 años	314
28	Bajo Aragón	Hombres	Mayores de 64 años	333
28	Bajo Aragón	Mujeres	16 a 34 años	108
28	Bajo Aragón	Mujeres	35 a 64 años	157
28	Bajo Aragón	Mujeres	Mayores de 64 años	853
29	Comunidad de Teruel	Hombres	16 a 34 años	375
29	Comunidad de Teruel	Hombres	35 a 64 años	642
29	Comunidad de Teruel	Hombres	Mayores de 64 años	568
29	Comunidad de Teruel	Mujeres	16 a 34 años	270
29	Comunidad de Teruel	Mujeres	35 a 64 años	479
29	Comunidad de Teruel	Mujeres	Mayores de 64 años	1344
30	Maestrazgo	Hombres	16 a 34 años	37
30	Maestrazgo	Hombres	35 a 64 años	103
30	Maestrazgo	Hombres	Mayores de 64 años	98
30	Maestrazgo	Mujeres	16 a 34 años	16
30	Maestrazgo	Mujeres	35 a 64 años	42
30	Maestrazgo	Mujeres	Mayores de 64 años	182
31	Sierra de Albarracín	Hombres	16 a 34 años	44
31	Sierra de Albarracín	Hombres	35 a 64 años	159
31	Sierra de Albarracín	Hombres	Mayores de 64 años	138
31	Sierra de Albarracín	Mujeres	16 a 34 años	26
31	Sierra de Albarracín	Mujeres	35 a 64 años	55
31	Sierra de Albarracín	Mujeres	Mayores de 64 años	253
32	Gúdar-Javalambre	Hombres	16 a 34 años	109
32	Gúdar-Javalambre	Hombres	35 a 64 años	248
32	Gúdar-Javalambre	Hombres	Mayores de 64 años	229
32	Gúdar-Javalambre	Mujeres	16 a 34 años	64
32	Gúdar-Javalambre	Mujeres	35 a 64 años	94
32	Gúdar-Javalambre	Mujeres	Mayores de 64 años	354
33	Matarraña / Matarranya	Hombres	16 a 34 años	57
33	Matarraña / Matarranya	Hombres	35 a 64 años	175
33	Matarraña / Matarranya	Hombres	Mayores de 64 años	214
33	Matarraña / Matarranya	Mujeres	16 a 34 años	32
33	Matarraña / Matarranya	Mujeres	35 a 64 años	47
33	Matarraña / Matarranya	Mujeres	Mayores de 64 años	362
