Mes y año	Edad	Sexo	Afiliaciones en alta
Septiembre 2010	Sin clasificar	Mujeres	2
Diciembre 2010	16-19	Hombres	139
Diciembre 2010	16-19	Mujeres	71
Diciembre 2010	20-24	Hombres	1448
Diciembre 2010	20-24	Mujeres	692
Diciembre 2010	25-29	Hombres	3813
Diciembre 2010	25-29	Mujeres	1884
Diciembre 2010	30-34	Hombres	7294
Diciembre 2010	30-34	Mujeres	3438
Diciembre 2010	35-39	Hombres	9662
Diciembre 2010	35-39	Mujeres	4566
Diciembre 2010	40-44	Hombres	10731
Diciembre 2010	40-44	Mujeres	5153
Diciembre 2010	45-49	Hombres	11159
Diciembre 2010	45-49	Mujeres	5363
Diciembre 2010	50-54	Hombres	10179
Diciembre 2010	50-54	Mujeres	5056
Diciembre 2010	55-59	Hombres	8406
Diciembre 2010	55-59	Mujeres	4307
Diciembre 2010	60-64	Hombres	7137
Diciembre 2010	60-64	Mujeres	3593
Diciembre 2010	65-69	Hombres	962
Diciembre 2010	65-69	Mujeres	647
Diciembre 2010	Más de 69	Hombres	248
Diciembre 2010	Más de 69	Mujeres	233
Diciembre 2010	Sin clasificar	Hombres	1
Diciembre 2010	Sin clasificar	Mujeres	2
Marzo 2011	16-19	Hombres	162
Marzo 2011	16-19	Mujeres	68
Marzo 2011	20-24	Hombres	1426
Marzo 2011	20-24	Mujeres	690
Marzo 2011	25-29	Hombres	3707
Marzo 2011	25-29	Mujeres	1845
Marzo 2011	30-34	Hombres	7070
Marzo 2011	30-34	Mujeres	3387
Marzo 2011	35-39	Hombres	9587
Marzo 2011	35-39	Mujeres	4507
Marzo 2011	40-44	Hombres	10670
Marzo 2011	40-44	Mujeres	5142
Marzo 2011	45-49	Hombres	11100
Marzo 2011	45-49	Mujeres	5330
Marzo 2011	50-54	Hombres	10148
Marzo 2011	50-54	Mujeres	5056
Marzo 2011	55-59	Hombres	8412
Marzo 2011	55-59	Mujeres	4314
Marzo 2011	60-64	Hombres	7061
Marzo 2011	60-64	Mujeres	3571
Marzo 2011	65-69	Hombres	934
Marzo 2011	65-69	Mujeres	653
Marzo 2011	Más de 69	Hombres	242
Marzo 2011	Más de 69	Mujeres	227
Marzo 2011	Sin clasificar	Hombres	1
Marzo 2011	Sin clasificar	Mujeres	1
Junio 2011	16-19	Hombres	167
Junio 2011	16-19	Mujeres	78
Junio 2011	20-24	Hombres	1468
Junio 2011	20-24	Mujeres	733
Junio 2011	25-29	Hombres	3679
Junio 2011	25-29	Mujeres	1833
Junio 2011	30-34	Hombres	7008
Junio 2011	30-34	Mujeres	3356
Junio 2011	35-39	Hombres	9619
Junio 2011	35-39	Mujeres	4543
Junio 2011	40-44	Hombres	10629
Junio 2011	40-44	Mujeres	5159
Junio 2011	45-49	Hombres	11187
Junio 2011	45-49	Mujeres	5357
Junio 2011	50-54	Hombres	10214
Junio 2011	50-54	Mujeres	5073
Junio 2011	55-59	Hombres	8453
Junio 2011	55-59	Mujeres	4321
Junio 2011	60-64	Hombres	7019
Junio 2011	60-64	Mujeres	3568
Junio 2011	65-69	Hombres	910
Junio 2011	65-69	Mujeres	671
Junio 2011	Más de 69	Hombres	252
Junio 2011	Más de 69	Mujeres	226
Junio 2011	Sin clasificar	Hombres	1
Junio 2011	Sin clasificar	Mujeres	1
Septiembre 2011	16-19	Hombres	164
Septiembre 2011	16-19	Mujeres	73
Septiembre 2011	20-24	Hombres	1454
Septiembre 2011	20-24	Mujeres	716
Septiembre 2011	25-29	Hombres	3591
Septiembre 2011	25-29	Mujeres	1825
Septiembre 2011	30-34	Hombres	6807
Septiembre 2011	30-34	Mujeres	3298
Septiembre 2011	35-39	Hombres	9552
Septiembre 2011	35-39	Mujeres	4495
Septiembre 2011	40-44	Hombres	10544
Septiembre 2011	40-44	Mujeres	5148
Septiembre 2011	45-49	Hombres	11200
Septiembre 2011	45-49	Mujeres	5356
Septiembre 2011	50-54	Hombres	10240
Septiembre 2011	50-54	Mujeres	5045
Septiembre 2011	55-59	Hombres	8417
Septiembre 2011	55-59	Mujeres	4321
Septiembre 2011	60-64	Hombres	6969
Septiembre 2011	60-64	Mujeres	3548
Septiembre 2011	65-69	Hombres	895
Septiembre 2011	65-69	Mujeres	646
Septiembre 2011	Más de 69	Hombres	246
Septiembre 2011	Más de 69	Mujeres	223
Septiembre 2011	Sin clasificar	Hombres	1
Diciembre 2011	16-19	Hombres	153
Diciembre 2011	16-19	Mujeres	67
Diciembre 2011	20-24	Hombres	1431
Diciembre 2011	20-24	Mujeres	682
Diciembre 2011	25-29	Hombres	3469
Diciembre 2011	25-29	Mujeres	1843
Diciembre 2011	30-34	Hombres	6685
Diciembre 2011	30-34	Mujeres	3267
Diciembre 2011	35-39	Hombres	9504
Diciembre 2011	35-39	Mujeres	4479
Diciembre 2011	40-44	Hombres	10488
Diciembre 2011	40-44	Mujeres	5144
Diciembre 2011	45-49	Hombres	11164
Diciembre 2011	45-49	Mujeres	5356
Diciembre 2011	50-54	Hombres	10261
Diciembre 2011	50-54	Mujeres	5076
Diciembre 2011	55-59	Hombres	8456
Diciembre 2011	55-59	Mujeres	4325
Diciembre 2011	60-64	Hombres	6915
Diciembre 2011	60-64	Mujeres	3562
Diciembre 2011	65-69	Hombres	972
Diciembre 2011	65-69	Mujeres	677
Diciembre 2011	Más de 69	Hombres	257
Diciembre 2011	Más de 69	Mujeres	227
Diciembre 2011	Sin clasificar	Hombres	1
Marzo 2012	16-19	Hombres	171
Marzo 2012	16-19	Mujeres	72
Marzo 2012	20-24	Hombres	1435
Marzo 2012	20-24	Mujeres	655
Marzo 2012	25-29	Hombres	3361
Marzo 2012	25-29	Mujeres	1794
Marzo 2012	30-34	Hombres	6503
Marzo 2012	30-34	Mujeres	3217
Marzo 2012	35-39	Hombres	9392
Marzo 2012	35-39	Mujeres	4404
Marzo 2012	40-44	Hombres	10394
Marzo 2012	40-44	Mujeres	5152
Marzo 2012	45-49	Hombres	11136
Marzo 2012	45-49	Mujeres	5311
Marzo 2012	50-54	Hombres	10257
Marzo 2012	50-54	Mujeres	5042
Marzo 2012	55-59	Hombres	8411
Marzo 2012	55-59	Mujeres	4364
Marzo 2012	60-64	Hombres	6896
Marzo 2012	60-64	Mujeres	3527
Marzo 2012	65-69	Hombres	958
Marzo 2012	65-69	Mujeres	681
Marzo 2012	Más de 69	Hombres	266
Marzo 2012	Más de 69	Mujeres	239
Junio 2012	16-19	Hombres	185
Junio 2012	16-19	Mujeres	72
Junio 2012	20-24	Hombres	1493
Junio 2012	20-24	Mujeres	670
Junio 2012	25-29	Hombres	3387
Junio 2012	25-29	Mujeres	1853
Junio 2012	30-34	Hombres	6458
Junio 2012	30-34	Mujeres	3166
Junio 2012	35-39	Hombres	9425
Junio 2012	35-39	Mujeres	4402
Junio 2012	40-44	Hombres	10414
Junio 2012	40-44	Mujeres	5178
Junio 2012	45-49	Hombres	11131
Junio 2012	45-49	Mujeres	5355
Junio 2012	50-54	Hombres	10335
Junio 2012	50-54	Mujeres	5036
Junio 2012	55-59	Hombres	8458
Junio 2012	55-59	Mujeres	4342
Junio 2012	60-64	Hombres	6877
Junio 2012	60-64	Mujeres	3561
Junio 2012	65-69	Hombres	939
Junio 2012	65-69	Mujeres	705
Junio 2012	Más de 69	Hombres	258
Junio 2012	Más de 69	Mujeres	243
Septiembre 2012	16-19	Hombres	181
Septiembre 2012	16-19	Mujeres	83
Septiembre 2012	20-24	Hombres	1454
Septiembre 2012	20-24	Mujeres	674
Septiembre 2012	25-29	Hombres	3358
Septiembre 2012	25-29	Mujeres	1844
Septiembre 2012	30-34	Hombres	6282
Septiembre 2012	30-34	Mujeres	3120
Septiembre 2012	35-39	Hombres	9317
Septiembre 2012	35-39	Mujeres	4338
Septiembre 2012	40-44	Hombres	10388
Septiembre 2012	40-44	Mujeres	5179
Septiembre 2012	45-49	Hombres	11103
Septiembre 2012	45-49	Mujeres	5342
Septiembre 2012	50-54	Hombres	10381
Septiembre 2012	50-54	Mujeres	5022
Septiembre 2012	55-59	Hombres	8454
Septiembre 2012	55-59	Mujeres	4343
Septiembre 2012	60-64	Hombres	6869
Septiembre 2012	60-64	Mujeres	3562
Septiembre 2012	65-69	Hombres	970
Septiembre 2012	65-69	Mujeres	692
Septiembre 2012	Más de 69	Hombres	258
Septiembre 2012	Más de 69	Mujeres	247
Diciembre 2012	16-19	Hombres	163
Diciembre 2012	16-19	Mujeres	73
Diciembre 2012	20-24	Hombres	1416
Diciembre 2012	20-24	Mujeres	675
Diciembre 2012	25-29	Hombres	3269
Diciembre 2012	25-29	Mujeres	1850
Diciembre 2012	30-34	Hombres	6138
Diciembre 2012	30-34	Mujeres	3098
Diciembre 2012	35-39	Hombres	9247
Diciembre 2012	35-39	Mujeres	4342
Diciembre 2012	40-44	Hombres	10343
Diciembre 2012	40-44	Mujeres	5150
Diciembre 2012	45-49	Hombres	10970
Diciembre 2012	45-49	Mujeres	5363
Diciembre 2012	50-54	Hombres	10359
Diciembre 2012	50-54	Mujeres	5051
Diciembre 2012	55-59	Hombres	8467
Diciembre 2012	55-59	Mujeres	4353
Diciembre 2012	60-64	Hombres	6812
Diciembre 2012	60-64	Mujeres	3547
Diciembre 2012	65-69	Hombres	963
Diciembre 2012	65-69	Mujeres	703
Diciembre 2012	Más de 69	Hombres	260
Diciembre 2012	Más de 69	Mujeres	237
Marzo 2013	16-19	Hombres	165
Marzo 2013	16-19	Mujeres	78
Marzo 2013	20-24	Hombres	1419
Marzo 2013	20-24	Mujeres	663
Marzo 2013	25-29	Hombres	3254
Marzo 2013	25-29	Mujeres	1811
Marzo 2013	30-34	Hombres	6029
Marzo 2013	30-34	Mujeres	3073
Marzo 2013	35-39	Hombres	9139
Marzo 2013	35-39	Mujeres	4313
Marzo 2013	40-44	Hombres	10234
Marzo 2013	40-44	Mujeres	5135
Marzo 2013	45-49	Hombres	10912
Marzo 2013	45-49	Mujeres	5381
Marzo 2013	50-54	Hombres	10338
Marzo 2013	50-54	Mujeres	5025
Marzo 2013	55-59	Hombres	8496
Marzo 2013	55-59	Mujeres	4342
Marzo 2013	60-64	Hombres	6711
Marzo 2013	60-64	Mujeres	3519
Marzo 2013	65-69	Hombres	981
Marzo 2013	65-69	Mujeres	727
Marzo 2013	Más de 69	Hombres	268
Marzo 2013	Más de 69	Mujeres	228
Junio 2013	16-19	Hombres	187
Junio 2013	16-19	Mujeres	91
Junio 2013	20-24	Hombres	1533
Junio 2013	20-24	Mujeres	746
Junio 2013	25-29	Hombres	3407
Junio 2013	25-29	Mujeres	1914
Junio 2013	30-34	Hombres	6014
Junio 2013	30-34	Mujeres	3103
Junio 2013	35-39	Hombres	9196
Junio 2013	35-39	Mujeres	4367
Junio 2013	40-44	Hombres	10292
Junio 2013	40-44	Mujeres	5148
Junio 2013	45-49	Hombres	10972
Junio 2013	45-49	Mujeres	5419
Junio 2013	50-54	Hombres	10434
Junio 2013	50-54	Mujeres	5081
Junio 2013	55-59	Hombres	8556
Junio 2013	55-59	Mujeres	4352
Junio 2013	60-64	Hombres	6625
Junio 2013	60-64	Mujeres	3528
Junio 2013	65-69	Hombres	905
Junio 2013	65-69	Mujeres	729
Junio 2013	Más de 69	Hombres	261
Junio 2013	Más de 69	Mujeres	224
Septiembre 2013	16-19	Hombres	191
Septiembre 2013	16-19	Mujeres	94
Septiembre 2013	20-24	Hombres	1595
Septiembre 2013	20-24	Mujeres	753
Septiembre 2013	25-29	Hombres	3387
Septiembre 2013	25-29	Mujeres	1973
Septiembre 2013	30-34	Hombres	5958
Septiembre 2013	30-34	Mujeres	3054
Septiembre 2013	35-39	Hombres	9107
Septiembre 2013	35-39	Mujeres	4317
Septiembre 2013	40-44	Hombres	10355
Septiembre 2013	40-44	Mujeres	5164
Septiembre 2013	45-49	Hombres	10925
Septiembre 2013	45-49	Mujeres	5446
Septiembre 2013	50-54	Hombres	10519
Septiembre 2013	50-54	Mujeres	5095
Septiembre 2013	55-59	Hombres	8614
Septiembre 2013	55-59	Mujeres	4350
Septiembre 2013	60-64	Hombres	6544
Septiembre 2013	60-64	Mujeres	3539
Septiembre 2013	65-69	Hombres	1019
Septiembre 2013	65-69	Mujeres	738
Septiembre 2013	Más de 69	Hombres	293
Septiembre 2013	Más de 69	Mujeres	219
Diciembre 2013	16-19	Hombres	183
Diciembre 2013	16-19	Mujeres	96
Diciembre 2013	20-24	Hombres	1646
Diciembre 2013	20-24	Mujeres	741
Diciembre 2013	25-29	Hombres	3433
Diciembre 2013	25-29	Mujeres	2028
Diciembre 2013	30-34	Hombres	5940
Diciembre 2013	30-34	Mujeres	3126
Diciembre 2013	35-39	Hombres	9096
Diciembre 2013	35-39	Mujeres	4363
Diciembre 2013	40-44	Hombres	10347
Diciembre 2013	40-44	Mujeres	5194
Diciembre 2013	45-49	Hombres	10860
Diciembre 2013	45-49	Mujeres	5446
Diciembre 2013	50-54	Hombres	10563
Diciembre 2013	50-54	Mujeres	5150
Diciembre 2013	55-59	Hombres	8704
Diciembre 2013	55-59	Mujeres	4448
Diciembre 2013	60-64	Hombres	6473
Diciembre 2013	60-64	Mujeres	3513
Diciembre 2013	65-69	Hombres	1071
Diciembre 2013	65-69	Mujeres	763
Diciembre 2013	Más de 69	Hombres	303
Diciembre 2013	Más de 69	Mujeres	220
Diciembre 2013	Sin clasificar	Mujeres	1
Marzo 2014	16-19	Hombres	172
Marzo 2014	16-19	Mujeres	91
Marzo 2014	20-24	Hombres	1605
Marzo 2014	20-24	Mujeres	740
Marzo 2014	25-29	Hombres	3385
Marzo 2014	25-29	Mujeres	1994
Marzo 2014	30-34	Hombres	5883
Marzo 2014	30-34	Mujeres	3089
Marzo 2014	35-39	Hombres	9071
Marzo 2014	35-39	Mujeres	4313
Marzo 2014	40-44	Hombres	10336
Marzo 2014	40-44	Mujeres	5194
Marzo 2014	45-49	Hombres	10769
Marzo 2014	45-49	Mujeres	5438
Marzo 2014	50-54	Hombres	10668
Marzo 2014	50-54	Mujeres	5190
Marzo 2014	55-59	Hombres	8729
Marzo 2014	55-59	Mujeres	4469
Marzo 2014	60-64	Hombres	6449
Marzo 2014	60-64	Mujeres	3535
Marzo 2014	65-69	Hombres	1110
Marzo 2014	65-69	Mujeres	767
Marzo 2014	Más de 69	Hombres	318
Marzo 2014	Más de 69	Mujeres	224
Marzo 2014	Sin clasificar	Hombres	1
Marzo 2014	Sin clasificar	Mujeres	1
Junio 2014	16-19	Hombres	216
Junio 2014	16-19	Mujeres	110
Junio 2014	20-24	Hombres	1680
Junio 2014	20-24	Mujeres	800
Junio 2014	25-29	Hombres	3468
Junio 2014	25-29	Mujeres	2102
Junio 2014	30-34	Hombres	6009
Junio 2014	30-34	Mujeres	3176
Junio 2014	35-39	Hombres	9140
Junio 2014	35-39	Mujeres	4392
Junio 2014	40-44	Hombres	10468
Junio 2014	40-44	Mujeres	5281
Junio 2014	45-49	Hombres	10881
Junio 2014	45-49	Mujeres	5506
Junio 2014	50-54	Hombres	10774
Junio 2014	50-54	Mujeres	5294
Junio 2014	55-59	Hombres	8822
Junio 2014	55-59	Mujeres	4496
Junio 2014	60-64	Hombres	6456
Junio 2014	60-64	Mujeres	3603
Junio 2014	65-69	Hombres	1164
Junio 2014	65-69	Mujeres	761
Junio 2014	Más de 69	Hombres	329
Junio 2014	Más de 69	Mujeres	232
Junio 2014	Sin clasificar	Hombres	1
Junio 2014	Sin clasificar	Mujeres	1
Septiembre 2014	16-19	Hombres	214
Septiembre 2014	16-19	Mujeres	109
Septiembre 2014	20-24	Hombres	1690
Septiembre 2014	20-24	Mujeres	813
Septiembre 2014	25-29	Hombres	3441
Septiembre 2014	25-29	Mujeres	2125
Septiembre 2014	30-34	Hombres	5909
Septiembre 2014	30-34	Mujeres	3170
Septiembre 2014	35-39	Hombres	9068
Septiembre 2014	35-39	Mujeres	4335
Septiembre 2014	40-44	Hombres	10416
Septiembre 2014	40-44	Mujeres	5276
Septiembre 2014	45-49	Hombres	10917
Septiembre 2014	45-49	Mujeres	5534
Septiembre 2014	50-54	Hombres	10825
Septiembre 2014	50-54	Mujeres	5286
Septiembre 2014	55-59	Hombres	8915
Septiembre 2014	55-59	Mujeres	4577
Septiembre 2014	60-64	Hombres	6451
Septiembre 2014	60-64	Mujeres	3574
Septiembre 2014	65-69	Hombres	1202
Septiembre 2014	65-69	Mujeres	793
Septiembre 2014	Más de 69	Hombres	345
Septiembre 2014	Más de 69	Mujeres	234
Septiembre 2014	Sin clasificar	Hombres	1
Septiembre 2014	Sin clasificar	Mujeres	2
Diciembre 2014	16-19	Hombres	192
Diciembre 2014	16-19	Mujeres	99
Diciembre 2014	20-24	Hombres	1630
Diciembre 2014	20-24	Mujeres	807
Diciembre 2014	25-29	Hombres	3418
Diciembre 2014	25-29	Mujeres	2135
Diciembre 2014	30-34	Hombres	5827
Diciembre 2014	30-34	Mujeres	3218
Diciembre 2014	35-39	Hombres	9041
Diciembre 2014	35-39	Mujeres	4402
Diciembre 2014	40-44	Hombres	10492
Diciembre 2014	40-44	Mujeres	5341
Diciembre 2014	45-49	Hombres	10856
Diciembre 2014	45-49	Mujeres	5555
Diciembre 2014	50-54	Hombres	10921
Diciembre 2014	50-54	Mujeres	5375
Diciembre 2014	55-59	Hombres	9007
Diciembre 2014	55-59	Mujeres	4688
Diciembre 2014	60-64	Hombres	6448
Diciembre 2014	60-64	Mujeres	3544
Diciembre 2014	65-69	Hombres	1255
Diciembre 2014	65-69	Mujeres	825
Diciembre 2014	Más de 69	Hombres	364
Diciembre 2014	Más de 69	Mujeres	248
Diciembre 2014	Sin clasificar	Hombres	1
Diciembre 2014	Sin clasificar	Mujeres	2
Marzo 2015	16-19	Hombres	187
Marzo 2015	16-19	Mujeres	81
Marzo 2015	20-24	Hombres	1595
Marzo 2015	20-24	Mujeres	757
Marzo 2015	25-29	Hombres	3402
Marzo 2015	25-29	Mujeres	2039
Marzo 2015	30-34	Hombres	5726
Marzo 2015	30-34	Mujeres	3165
Marzo 2015	35-39	Hombres	8899
Marzo 2015	35-39	Mujeres	4304
Marzo 2015	40-44	Hombres	10454
Marzo 2015	40-44	Mujeres	5289
Marzo 2015	45-49	Hombres	10898
Marzo 2015	45-49	Mujeres	5541
Marzo 2015	50-54	Hombres	10955
Marzo 2015	50-54	Mujeres	5354
Marzo 2015	55-59	Hombres	9006
Marzo 2015	55-59	Mujeres	4688
Marzo 2015	60-64	Hombres	6479
Marzo 2015	60-64	Mujeres	3575
Marzo 2015	65-69	Hombres	1266
Marzo 2015	65-69	Mujeres	839
Marzo 2015	Más de 69	Hombres	374
Marzo 2015	Más de 69	Mujeres	248
Marzo 2015	Sin clasificar	Hombres	1
Marzo 2015	Sin clasificar	Mujeres	3
Junio 2015	16-19	Hombres	211
Junio 2015	16-19	Mujeres	95
Junio 2015	20-24	Hombres	1637
Junio 2015	20-24	Mujeres	776
Junio 2015	25-29	Hombres	3406
Junio 2015	25-29	Mujeres	2090
Junio 2015	30-34	Hombres	5743
Junio 2015	30-34	Mujeres	3208
Junio 2015	35-39	Hombres	8923
Junio 2015	35-39	Mujeres	4396
Junio 2015	40-44	Hombres	10535
Junio 2015	40-44	Mujeres	5369
Junio 2015	45-49	Hombres	11041
Junio 2015	45-49	Mujeres	5602
Junio 2015	50-54	Hombres	11051
Junio 2015	50-54	Mujeres	5450
Junio 2015	55-59	Hombres	9146
Junio 2015	55-59	Mujeres	4712
Junio 2015	60-64	Hombres	6549
Junio 2015	60-64	Mujeres	3626
Junio 2015	65-69	Hombres	1291
Junio 2015	65-69	Mujeres	827
Junio 2015	Más de 69	Hombres	383
Junio 2015	Más de 69	Mujeres	260
Junio 2015	Sin clasificar	Hombres	1
Junio 2015	Sin clasificar	Mujeres	3
Septiembre 2015	16-19	Hombres	207
Septiembre 2015	16-19	Mujeres	89
Septiembre 2015	20-24	Hombres	1609
Septiembre 2015	20-24	Mujeres	735
Septiembre 2015	25-29	Hombres	3314
Septiembre 2015	25-29	Mujeres	2014
Septiembre 2015	30-34	Hombres	5629
Septiembre 2015	30-34	Mujeres	3140
Septiembre 2015	35-39	Hombres	8703
Septiembre 2015	35-39	Mujeres	4322
Septiembre 2015	40-44	Hombres	10496
Septiembre 2015	40-44	Mujeres	5318
Septiembre 2015	45-49	Hombres	11012
Septiembre 2015	45-49	Mujeres	5547
Septiembre 2015	50-54	Hombres	11026
Septiembre 2015	50-54	Mujeres	5443
Septiembre 2015	55-59	Hombres	9224
Septiembre 2015	55-59	Mujeres	4767
Septiembre 2015	60-64	Hombres	6609
Septiembre 2015	60-64	Mujeres	3670
Septiembre 2015	65-69	Hombres	1337
Septiembre 2015	65-69	Mujeres	828
Septiembre 2015	Más de 69	Hombres	396
Septiembre 2015	Más de 69	Mujeres	269
Septiembre 2015	Sin clasificar	Hombres	1
Septiembre 2015	Sin clasificar	Mujeres	3
Diciembre 2015	16-19	Hombres	188
Diciembre 2015	16-19	Mujeres	79
Diciembre 2015	20-24	Hombres	1585
Diciembre 2015	20-24	Mujeres	721
Diciembre 2015	25-29	Hombres	3311
Diciembre 2015	25-29	Mujeres	2024
Diciembre 2015	30-34	Hombres	5629
Diciembre 2015	30-34	Mujeres	3154
Diciembre 2015	35-39	Hombres	8619
Diciembre 2015	35-39	Mujeres	4355
Diciembre 2015	40-44	Hombres	10453
Diciembre 2015	40-44	Mujeres	5327
Diciembre 2015	45-49	Hombres	11048
Diciembre 2015	45-49	Mujeres	5639
Diciembre 2015	50-54	Hombres	11064
Diciembre 2015	50-54	Mujeres	5478
Diciembre 2015	55-59	Hombres	9282
Diciembre 2015	55-59	Mujeres	4824
Diciembre 2015	60-64	Hombres	6584
Diciembre 2015	60-64	Mujeres	3687
Diciembre 2015	65-69	Hombres	1386
Diciembre 2015	65-69	Mujeres	865
Diciembre 2015	Más de 69	Hombres	429
Diciembre 2015	Más de 69	Mujeres	269
Diciembre 2015	Sin clasificar	Mujeres	3
Marzo 2016	16-19	Hombres	191
Marzo 2016	16-19	Mujeres	71
Marzo 2016	20-24	Hombres	1558
Marzo 2016	20-24	Mujeres	675
Marzo 2016	25-29	Hombres	3266
Marzo 2016	25-29	Mujeres	1948
Marzo 2016	30-34	Hombres	5455
Marzo 2016	30-34	Mujeres	3059
Marzo 2016	35-39	Hombres	8479
Marzo 2016	35-39	Mujeres	4336
Marzo 2016	40-44	Hombres	10399
Marzo 2016	40-44	Mujeres	5261
Marzo 2016	45-49	Hombres	11011
Marzo 2016	45-49	Mujeres	5657
Marzo 2016	50-54	Hombres	11108
Marzo 2016	50-54	Mujeres	5484
Marzo 2016	55-59	Hombres	9265
Marzo 2016	55-59	Mujeres	4861
Marzo 2016	60-64	Hombres	6605
Marzo 2016	60-64	Mujeres	3723
Marzo 2016	65-69	Hombres	1388
Marzo 2016	65-69	Mujeres	845
Marzo 2016	Más de 69	Hombres	453
Marzo 2016	Más de 69	Mujeres	276
Marzo 2016	Sin clasificar	Mujeres	5
Junio 2016	16-19	Hombres	220
Junio 2016	16-19	Mujeres	86
Junio 2016	20-24	Hombres	1606
Junio 2016	20-24	Mujeres	710
Junio 2016	25-29	Hombres	3237
Junio 2016	25-29	Mujeres	1959
Junio 2016	30-34	Hombres	5463
Junio 2016	30-34	Mujeres	3132
Junio 2016	35-39	Hombres	8450
Junio 2016	35-39	Mujeres	4318
Junio 2016	40-44	Hombres	10563
Junio 2016	40-44	Mujeres	5334
Junio 2016	45-49	Hombres	10981
Junio 2016	45-49	Mujeres	5705
Junio 2016	50-54	Hombres	11182
Junio 2016	50-54	Mujeres	5519
Junio 2016	55-59	Hombres	9394
Junio 2016	55-59	Mujeres	4917
Junio 2016	60-64	Hombres	6614
Junio 2016	60-64	Mujeres	3733
Junio 2016	65-69	Hombres	1426
Junio 2016	65-69	Mujeres	863
Junio 2016	Más de 69	Hombres	470
Junio 2016	Más de 69	Mujeres	283
Junio 2016	Sin clasificar	Mujeres	5
