Comarca código	Comarca nombre	Año	Orden	Siglas	Votos
09	La Litera / La Llitera	2007	1	PSOE	4984
09	La Litera / La Llitera	2007	2	PP	2575
09	La Litera / La Llitera	2007	3	PAR	1563
09	La Litera / La Llitera	2007	4	CHA	621
09	La Litera / La Llitera	2007	10	IU-A	265
09	La Litera / La Llitera	2011	1	PP	3349
09	La Litera / La Llitera	2011	2	PSOE	4291
09	La Litera / La Llitera	2011	3	PAR	1588
09	La Litera / La Llitera	2011	4	CHA	474
09	La Litera / La Llitera	2011	5	IU	227
09	La Litera / La Llitera	2015	1	PP	2532
09	La Litera / La Llitera	2015	2	PSOE	4135
09	La Litera / La Llitera	2015	4	PAR	915
09	La Litera / La Llitera	2015	5	C's	113
09	La Litera / La Llitera	2015	7	CHA	288
09	La Litera / La Llitera	2015	15	CAMBIAR	1090
10	Los Monegros	2007	1	PSOE	5809
10	Los Monegros	2007	2	PP	3231
10	Los Monegros	2007	3	PAR	3597
10	Los Monegros	2007	4	CHA	1063
10	Los Monegros	2007	5	IU	96
10	Los Monegros	2007	18	P.S.	236
10	Los Monegros	2007	27	I.E.I.	79
10	Los Monegros	2007	33	A AL	50
10	Los Monegros	2011	1	PP	3923
10	Los Monegros	2011	2	PSOE	5248
10	Los Monegros	2011	3	PAR	3235
10	Los Monegros	2011	4	CHA	799
10	Los Monegros	2011	5	IU	169
10	Los Monegros	2011	7	COMPROMISO CON ARAGON	40
10	Los Monegros	2011	8	FIA	48
10	Los Monegros	2011	24	A E I POLEÑINO	94
10	Los Monegros	2015	1	PP	3382
10	Los Monegros	2015	2	PSOE	5024
10	Los Monegros	2015	4	PAR	2392
10	Los Monegros	2015	7	CHA	486
10	Los Monegros	2015	13	ARAGONSIPUEDE	109
10	Los Monegros	2015	15	CAMBIAR	163
10	Los Monegros	2015	67	A.I.E.V.I.	129
11	Bajo Cinca / Baix Cinca	2007	1	PSOE	5846
11	Bajo Cinca / Baix Cinca	2007	2	PP	3702
11	Bajo Cinca / Baix Cinca	2007	3	PAR	2124
11	Bajo Cinca / Baix Cinca	2007	4	CHA	276
11	Bajo Cinca / Baix Cinca	2007	5	IU	416
11	Bajo Cinca / Baix Cinca	2007	19	ALCIVI	233
11	Bajo Cinca / Baix Cinca	2011	1	PP	4265
11	Bajo Cinca / Baix Cinca	2011	2	PSOE	5213
11	Bajo Cinca / Baix Cinca	2011	3	PAR	1994
11	Bajo Cinca / Baix Cinca	2011	4	CHA	137
11	Bajo Cinca / Baix Cinca	2011	5	IU	129
11	Bajo Cinca / Baix Cinca	2011	20	CDF	205
11	Bajo Cinca / Baix Cinca	2015	1	PP	3421
11	Bajo Cinca / Baix Cinca	2015	2	PSOE	4590
11	Bajo Cinca / Baix Cinca	2015	4	PAR	1517
11	Bajo Cinca / Baix Cinca	2015	5	C's	489
11	Bajo Cinca / Baix Cinca	2015	7	CHA	67
11	Bajo Cinca / Baix Cinca	2015	13	ARAGONSIPUEDE	419
11	Bajo Cinca / Baix Cinca	2015	15	CAMBIAR	284
11	Bajo Cinca / Baix Cinca	2015	42	CXF	446
12	Tarazona y el Moncayo	2007	1	PSOE	3088
12	Tarazona y el Moncayo	2007	2	PP	3786
12	Tarazona y el Moncayo	2007	3	PAR	903
12	Tarazona y el Moncayo	2007	4	CHA	534
12	Tarazona y el Moncayo	2007	5	IU	19
12	Tarazona y el Moncayo	2007	14	CC-IU	563
12	Tarazona y el Moncayo	2011	1	PP	4165
12	Tarazona y el Moncayo	2011	2	PSOE	2558
12	Tarazona y el Moncayo	2011	3	PAR	572
12	Tarazona y el Moncayo	2011	4	CHA	565
12	Tarazona y el Moncayo	2011	5	IU	738
12	Tarazona y el Moncayo	2011	7	COMPROMISO CON ARAGON	88
12	Tarazona y el Moncayo	2011	34	UCE	6
12	Tarazona y el Moncayo	2015	1	PP	4192
12	Tarazona y el Moncayo	2015	2	PSOE	2087
12	Tarazona y el Moncayo	2015	3	ZGZ	1106
12	Tarazona y el Moncayo	2015	4	PAR	271
12	Tarazona y el Moncayo	2015	5	C's	418
12	Tarazona y el Moncayo	2015	7	CHA	51
12	Tarazona y el Moncayo	2015	12	COMPROMISO CON ARAGON	8
12	Tarazona y el Moncayo	2015	72	IU	9
13	Campo de Borja	2007	1	PSOE	4766
13	Campo de Borja	2007	2	PP	1611
13	Campo de Borja	2007	3	PAR	2052
13	Campo de Borja	2007	4	CHA	847
13	Campo de Borja	2011	1	PP	2515
13	Campo de Borja	2011	2	PSOE	4502
13	Campo de Borja	2011	3	PAR	1339
13	Campo de Borja	2011	4	CHA	606
13	Campo de Borja	2011	5	IU	42
13	Campo de Borja	2011	34	UCE	10
13	Campo de Borja	2015	1	PP	2033
13	Campo de Borja	2015	2	PSOE	3364
13	Campo de Borja	2015	4	PAR	920
13	Campo de Borja	2015	7	CHA	608
13	Campo de Borja	2015	12	COMPROMISO CON ARAGON	18
13	Campo de Borja	2015	13	ARAGONSIPUEDE	148
13	Campo de Borja	2015	17	IU-ZGZ	307
13	Campo de Borja	2015	38	POR MALLEN	551
14	Aranda	2007	1	PSOE	1692
14	Aranda	2007	2	PP	1058
14	Aranda	2007	3	PAR	1427
14	Aranda	2007	4	CHA	462
14	Aranda	2007	5	IU	60
14	Aranda	2011	1	PP	1432
14	Aranda	2011	2	PSOE	1336
14	Aranda	2011	3	PAR	1353
14	Aranda	2011	4	CHA	335
14	Aranda	2011	5	IU	47
14	Aranda	2011	31	INDEPENDIENTE CALCENA	43
14	Aranda	2015	1	PP	1555
14	Aranda	2015	2	PSOE	1265
14	Aranda	2015	4	PAR	753
14	Aranda	2015	7	CHA	381
14	Aranda	2015	17	IU-ZGZ	37
14	Aranda	2015	28	FIA	109
15	Ribera Alta del Ebro	2007	1	PSOE	6682
15	Ribera Alta del Ebro	2007	2	PP	2952
15	Ribera Alta del Ebro	2007	3	PAR	2900
15	Ribera Alta del Ebro	2007	4	CHA	1600
15	Ribera Alta del Ebro	2007	5	IU	644
15	Ribera Alta del Ebro	2007	6	LV-FIA	49
15	Ribera Alta del Ebro	2011	1	PP	3938
15	Ribera Alta del Ebro	2011	2	PSOE	5900
15	Ribera Alta del Ebro	2011	3	PAR	2750
15	Ribera Alta del Ebro	2011	4	CHA	1238
15	Ribera Alta del Ebro	2011	5	IU	600
15	Ribera Alta del Ebro	2011	6	UPyD	130
15	Ribera Alta del Ebro	2011	8	FIA	15
15	Ribera Alta del Ebro	2015	1	PP	3943
15	Ribera Alta del Ebro	2015	2	PSOE	6008
15	Ribera Alta del Ebro	2015	4	PAR	1297
15	Ribera Alta del Ebro	2015	5	C's	164
15	Ribera Alta del Ebro	2015	7	CHA	1249
15	Ribera Alta del Ebro	2015	13	ARAGONSIPUEDE	536
15	Ribera Alta del Ebro	2015	17	IU-ZGZ	369
15	Ribera Alta del Ebro	2015	30	BAR	19
15	Ribera Alta del Ebro	2015	41	CCA-ZGZ	479
16	Valdejalón	2007	1	PSOE	5502
16	Valdejalón	2007	2	PP	3940
16	Valdejalón	2007	3	PAR	2978
16	Valdejalón	2007	4	CHA	2446
16	Valdejalón	2007	5	IU	64
16	Valdejalón	2007	6	LV-FIA	78
16	Valdejalón	2011	1	PP	5057
16	Valdejalón	2011	2	PSOE	5112
16	Valdejalón	2011	3	PAR	1506
16	Valdejalón	2011	4	CHA	1749
16	Valdejalón	2011	5	IU	228
16	Valdejalón	2011	6	UPyD	111
16	Valdejalón	2011	7	COMPROMISO CON ARAGON	8
16	Valdejalón	2011	8	FIA	456
16	Valdejalón	2011	12	CDL	258
16	Valdejalón	2015	1	PP	3832
16	Valdejalón	2015	2	PSOE	5098
16	Valdejalón	2015	3	ZGZ	213
16	Valdejalón	2015	4	PAR	1689
16	Valdejalón	2015	5	C's	215
16	Valdejalón	2015	7	CHA	1143
16	Valdejalón	2015	17	IU-ZGZ	211
16	Valdejalón	2015	28	FIA	17
16	Valdejalón	2015	40	SOMOS EPILA	482
16	Valdejalón	2015	55	GLM-ZGZ	214
17	D.C. Zaragoza	2007	1	PSOE	127079
17	D.C. Zaragoza	2007	2	PP	111253
17	D.C. Zaragoza	2007	3	PAR	30361
17	D.C. Zaragoza	2007	4	CHA	32498
17	D.C. Zaragoza	2007	5	IU	16978
17	D.C. Zaragoza	2007	6	LV-FIA	2078
17	D.C. Zaragoza	2007	8	PCUA	1192
17	D.C. Zaragoza	2007	9	CDL	1030
17	D.C. Zaragoza	2007	11	PACMA	916
17	D.C. Zaragoza	2007	12	CIPV	888
17	D.C. Zaragoza	2007	15	PUM+J	521
17	D.C. Zaragoza	2007	16	PFYV	455
17	D.C. Zaragoza	2007	17	PH	241
17	D.C. Zaragoza	2007	23	CAVA	108
17	D.C. Zaragoza	2007	24	PSD	104
17	D.C. Zaragoza	2007	40	PAVIP	26
17	D.C. Zaragoza	2011	1	PP	142726
17	D.C. Zaragoza	2011	2	PSOE	96728
17	D.C. Zaragoza	2011	3	PAR	20224
17	D.C. Zaragoza	2011	4	CHA	32965
17	D.C. Zaragoza	2011	5	IU	26162
17	D.C. Zaragoza	2011	6	UPyD	11810
17	D.C. Zaragoza	2011	7	COMPROMISO CON ARAGON	1257
17	D.C. Zaragoza	2011	8	FIA	1391
17	D.C. Zaragoza	2011	9	ECOLO	1577
17	D.C. Zaragoza	2011	10	LV-GV	1505
17	D.C. Zaragoza	2011	11	PACMA	1051
17	D.C. Zaragoza	2011	12	CDL	686
17	D.C. Zaragoza	2011	14	PUM+J	587
17	D.C. Zaragoza	2011	15	TA	499
17	D.C. Zaragoza	2011	16	PCUA	465
17	D.C. Zaragoza	2011	17	AES	235
17	D.C. Zaragoza	2011	18	PCPE	384
17	D.C. Zaragoza	2011	19	PFYV	301
17	D.C. Zaragoza	2011	21	PH	271
17	D.C. Zaragoza	2011	22	L'VIA	227
17	D.C. Zaragoza	2011	23	ACC	221
17	D.C. Zaragoza	2011	27	CAVA	65
17	D.C. Zaragoza	2015	1	PP	96846
17	D.C. Zaragoza	2015	2	PSOE	70735
17	D.C. Zaragoza	2015	3	ZGZ	80282
17	D.C. Zaragoza	2015	4	PAR	13893
17	D.C. Zaragoza	2015	5	C's	43104
17	D.C. Zaragoza	2015	7	CHA	25119
17	D.C. Zaragoza	2015	9	UPyD	4931
17	D.C. Zaragoza	2015	10	EB	4773
17	D.C. Zaragoza	2015	11	PACMA	3840
17	D.C. Zaragoza	2015	12	COMPROMISO CON ARAGON	2392
17	D.C. Zaragoza	2015	13	ARAGONSIPUEDE	582
17	D.C. Zaragoza	2015	14	LV-GV	1818
17	D.C. Zaragoza	2015	17	IU-ZGZ	1757
17	D.C. Zaragoza	2015	18	P.C.P.E.	899
17	D.C. Zaragoza	2015	22	M.S.R.	629
17	D.C. Zaragoza	2015	28	FIA	786
17	D.C. Zaragoza	2015	30	BAR	532
17	D.C. Zaragoza	2015	32	E.A.	454
17	D.C. Zaragoza	2015	37	SZ - ZGZ	595
17	D.C. Zaragoza	2015	43	FIA-PILL	442
17	D.C. Zaragoza	2015	46	UNIÓN UTEBO	350
17	D.C. Zaragoza	2015	61	GA-ZGZ	172
17	D.C. Zaragoza	2015	84	A.E.L.H.A.	42
18	Ribera Baja del Ebro	2007	1	PSOE	2543
18	Ribera Baja del Ebro	2007	2	PP	1536
18	Ribera Baja del Ebro	2007	3	PAR	976
18	Ribera Baja del Ebro	2007	4	CHA	605
18	Ribera Baja del Ebro	2007	5	IU	3
18	Ribera Baja del Ebro	2011	1	PP	1599
18	Ribera Baja del Ebro	2011	2	PSOE	2409
18	Ribera Baja del Ebro	2011	3	PAR	900
18	Ribera Baja del Ebro	2011	4	CHA	496
18	Ribera Baja del Ebro	2011	5	IU	3
18	Ribera Baja del Ebro	2015	1	PP	1513
18	Ribera Baja del Ebro	2015	2	PSOE	2183
18	Ribera Baja del Ebro	2015	4	PAR	711
18	Ribera Baja del Ebro	2015	7	CHA	578
18	Ribera Baja del Ebro	2015	10	EB	10
18	Ribera Baja del Ebro	2015	59	A.V.P.	184
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2007	1	PSOE	3140
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2007	2	PP	1937
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2007	3	PAR	1030
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2007	4	CHA	395
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2007	5	IU	177
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2007	7	CPC	1640
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	1	PP	2292
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	2	PSOE	2608
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	3	PAR	1008
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	4	CHA	645
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	13	CPC	862
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2015	1	PP	2562
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2015	2	PSOE	2702
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2015	4	PAR	250
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2015	5	C's	167
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2015	7	CHA	730
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2015	13	ARAGONSIPUEDE	420
20	Comunidad de Calatayud	2007	1	PSOE	9134
20	Comunidad de Calatayud	2007	2	PP	7743
20	Comunidad de Calatayud	2007	3	PAR	5368
20	Comunidad de Calatayud	2007	4	CHA	1715
20	Comunidad de Calatayud	2007	5	IU	245
20	Comunidad de Calatayud	2007	22	IA	128
20	Comunidad de Calatayud	2011	1	PP	8339
20	Comunidad de Calatayud	2011	2	PSOE	8323
20	Comunidad de Calatayud	2011	3	PAR	4888
20	Comunidad de Calatayud	2011	4	CHA	1173
20	Comunidad de Calatayud	2011	5	IU	323
20	Comunidad de Calatayud	2011	6	UPyD	140
20	Comunidad de Calatayud	2011	8	FIA	166
20	Comunidad de Calatayud	2011	35	A E I SABIÑAN	29
20	Comunidad de Calatayud	2015	1	PP	6397
20	Comunidad de Calatayud	2015	2	PSOE	6997
20	Comunidad de Calatayud	2015	4	PAR	4147
20	Comunidad de Calatayud	2015	5	C's	1405
20	Comunidad de Calatayud	2015	7	CHA	1049
20	Comunidad de Calatayud	2015	13	ARAGONSIPUEDE	500
20	Comunidad de Calatayud	2015	17	IU-ZGZ	14
20	Comunidad de Calatayud	2015	52	CALATAYUD PLURAL - ZGZ	276
20	Comunidad de Calatayud	2015	62	IP ATECA - ZGZ	156
20	Comunidad de Calatayud	2015	77	AGRUPACION DE ELECTORES TODOS CERVERA	68
20	Comunidad de Calatayud	2015	92	COMIENZOS NUEVOS	15
21	Campo de Cariñena	2007	1	PSOE	2558
21	Campo de Cariñena	2007	2	PP	1565
21	Campo de Cariñena	2007	3	PAR	1373
21	Campo de Cariñena	2007	4	CHA	1007
21	Campo de Cariñena	2007	5	IU	22
21	Campo de Cariñena	2007	21	GIC	154
21	Campo de Cariñena	2011	1	PP	1656
21	Campo de Cariñena	2011	2	PSOE	3017
21	Campo de Cariñena	2011	3	PAR	1159
21	Campo de Cariñena	2011	4	CHA	843
21	Campo de Cariñena	2011	5	IU	25
21	Campo de Cariñena	2011	30	PIRUM	47
21	Campo de Cariñena	2015	1	PP	1261
21	Campo de Cariñena	2015	2	PSOE	2616
21	Campo de Cariñena	2015	4	PAR	933
21	Campo de Cariñena	2015	5	C's	214
21	Campo de Cariñena	2015	7	CHA	770
21	Campo de Cariñena	2015	12	COMPROMISO CON ARAGON	112
21	Campo de Cariñena	2015	88	JUNTOS POR ALADRÉN	23
22	Campo de Belchite	2007	1	PSOE	1798
22	Campo de Belchite	2007	2	PP	766
22	Campo de Belchite	2007	3	PAR	1313
22	Campo de Belchite	2007	4	CHA	99
22	Campo de Belchite	2007	5	IU	45
22	Campo de Belchite	2007	31	UCL	55
22	Campo de Belchite	2011	1	PP	956
22	Campo de Belchite	2011	2	PSOE	1591
22	Campo de Belchite	2011	3	PAR	1202
22	Campo de Belchite	2011	4	CHA	26
22	Campo de Belchite	2011	5	IU	7
22	Campo de Belchite	2011	32	UCL	43
22	Campo de Belchite	2015	1	PP	1034
22	Campo de Belchite	2015	2	PSOE	1203
22	Campo de Belchite	2015	4	PAR	958
22	Campo de Belchite	2015	5	C's	31
22	Campo de Belchite	2015	7	CHA	60
22	Campo de Belchite	2015	12	COMPROMISO CON ARAGON	50
22	Campo de Belchite	2015	17	IU-ZGZ	8
22	Campo de Belchite	2015	30	BAR	1
23	Bajo Martín	2007	1	PSOE	2430
23	Bajo Martín	2007	2	PP	1497
23	Bajo Martín	2007	3	PAR	390
23	Bajo Martín	2007	4	CHA	418
23	Bajo Martín	2007	5	IU	150
23	Bajo Martín	2007	37	CDIG	31
23	Bajo Martín	2011	1	PP	1344
23	Bajo Martín	2011	2	PSOE	1938
23	Bajo Martín	2011	3	PAR	646
23	Bajo Martín	2011	4	CHA	163
23	Bajo Martín	2011	5	IU	319
23	Bajo Martín	2011	8	FIA	36
23	Bajo Martín	2015	1	PP	1335
23	Bajo Martín	2015	2	PSOE	1325
23	Bajo Martín	2015	4	PAR	374
23	Bajo Martín	2015	5	C's	38
23	Bajo Martín	2015	7	CHA	20
23	Bajo Martín	2015	16	G:IU-LV	726
23	Bajo Martín	2015	90	YA	19
24	Campo de Daroca	2007	1	PSOE	1551
24	Campo de Daroca	2007	2	PP	1230
24	Campo de Daroca	2007	3	PAR	1682
24	Campo de Daroca	2007	4	CHA	221
24	Campo de Daroca	2007	5	IU	49
24	Campo de Daroca	2007	39	IND	27
24	Campo de Daroca	2011	1	PP	1114
24	Campo de Daroca	2011	2	PSOE	1469
24	Campo de Daroca	2011	3	PAR	1666
24	Campo de Daroca	2011	4	CHA	208
24	Campo de Daroca	2011	5	IU	41
24	Campo de Daroca	2011	7	COMPROMISO CON ARAGON	14
24	Campo de Daroca	2015	1	PP	946
24	Campo de Daroca	2015	2	PSOE	1457
24	Campo de Daroca	2015	4	PAR	1118
24	Campo de Daroca	2015	7	CHA	256
24	Campo de Daroca	2015	66	I.P.H.	133
24	Campo de Daroca	2015	72	IU	88
25	Jiloca	2007	1	PSOE	2847
25	Jiloca	2007	2	PP	2290
25	Jiloca	2007	3	PAR	2659
25	Jiloca	2007	4	CHA	722
25	Jiloca	2007	5	IU	6
25	Jiloca	2011	1	PP	2253
25	Jiloca	2011	2	PSOE	2384
25	Jiloca	2011	3	PAR	2632
25	Jiloca	2011	4	CHA	402
25	Jiloca	2011	5	IU	16
25	Jiloca	2011	7	COMPROMISO CON ARAGON	306
25	Jiloca	2011	8	FIA	104
25	Jiloca	2015	1	PP	1534
25	Jiloca	2015	2	PSOE	1981
25	Jiloca	2015	4	PAR	2417
25	Jiloca	2015	5	C's	53
25	Jiloca	2015	7	CHA	341
