Mes y año	Provincia código	Provincia nombre	Sector código	Sector descripción	Sexo	Nº parados
Agosto 2019	50	Zaragoza		Sin empleo anterior	Hombres	1420
Agosto 2019	50	Zaragoza		Sin empleo anterior	Mujeres	2974
Julio 2019	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	381
Julio 2019	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	164
Julio 2019	22	Huesca	2	Industria y energía	Hombres	434
Julio 2019	22	Huesca	2	Industria y energía	Mujeres	245
Julio 2019	22	Huesca	3	Construcción	Hombres	460
Julio 2019	22	Huesca	3	Construcción	Mujeres	72
Julio 2019	22	Huesca	4	Servicios	Hombres	1552
Julio 2019	22	Huesca	4	Servicios	Mujeres	3478
Julio 2019	22	Huesca		Sin empleo anterior	Hombres	250
Julio 2019	22	Huesca		Sin empleo anterior	Mujeres	435
Julio 2019	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	179
Julio 2019	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	104
Julio 2019	44	Teruel	2	Industria y energía	Hombres	392
Julio 2019	44	Teruel	2	Industria y energía	Mujeres	291
Julio 2019	44	Teruel	3	Construcción	Hombres	329
Julio 2019	44	Teruel	3	Construcción	Mujeres	52
Julio 2019	44	Teruel	4	Servicios	Hombres	969
Julio 2019	44	Teruel	4	Servicios	Mujeres	2123
Julio 2019	44	Teruel		Sin empleo anterior	Hombres	140
Julio 2019	44	Teruel		Sin empleo anterior	Mujeres	290
Julio 2019	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	1473
Julio 2019	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	791
Julio 2019	50	Zaragoza	2	Industria y energía	Hombres	2773
Julio 2019	50	Zaragoza	2	Industria y energía	Mujeres	2687
Julio 2019	50	Zaragoza	3	Construcción	Hombres	2507
Julio 2019	50	Zaragoza	3	Construcción	Mujeres	462
Julio 2019	50	Zaragoza	4	Servicios	Hombres	10566
Julio 2019	50	Zaragoza	4	Servicios	Mujeres	22310
Julio 2019	50	Zaragoza		Sin empleo anterior	Hombres	1464
Julio 2019	50	Zaragoza		Sin empleo anterior	Mujeres	3081
Junio 2019	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	352
Junio 2019	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	166
Junio 2019	22	Huesca	2	Industria y energía	Hombres	417
Junio 2019	22	Huesca	2	Industria y energía	Mujeres	245
Junio 2019	22	Huesca	3	Construcción	Hombres	480
Junio 2019	22	Huesca	3	Construcción	Mujeres	68
Junio 2019	22	Huesca	4	Servicios	Hombres	1614
Junio 2019	22	Huesca	4	Servicios	Mujeres	3480
Junio 2019	22	Huesca		Sin empleo anterior	Hombres	248
Junio 2019	22	Huesca		Sin empleo anterior	Mujeres	466
Junio 2019	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	174
Junio 2019	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	93
Junio 2019	44	Teruel	2	Industria y energía	Hombres	393
Junio 2019	44	Teruel	2	Industria y energía	Mujeres	292
Junio 2019	44	Teruel	3	Construcción	Hombres	314
Junio 2019	44	Teruel	3	Construcción	Mujeres	52
Junio 2019	44	Teruel	4	Servicios	Hombres	1011
Junio 2019	44	Teruel	4	Servicios	Mujeres	2168
Junio 2019	44	Teruel		Sin empleo anterior	Hombres	161
Junio 2019	44	Teruel		Sin empleo anterior	Mujeres	312
Junio 2019	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	1146
Junio 2019	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	652
Junio 2019	50	Zaragoza	2	Industria y energía	Hombres	2727
Junio 2019	50	Zaragoza	2	Industria y energía	Mujeres	2704
Junio 2019	50	Zaragoza	3	Construcción	Hombres	2477
Junio 2019	50	Zaragoza	3	Construcción	Mujeres	453
Junio 2019	50	Zaragoza	4	Servicios	Hombres	10395
Junio 2019	50	Zaragoza	4	Servicios	Mujeres	21869
Junio 2019	50	Zaragoza		Sin empleo anterior	Hombres	1451
Junio 2019	50	Zaragoza		Sin empleo anterior	Mujeres	3128
Mayo 2019	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	349
Mayo 2019	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	154
Mayo 2019	22	Huesca	2	Industria y energía	Hombres	426
Mayo 2019	22	Huesca	2	Industria y energía	Mujeres	251
Mayo 2019	22	Huesca	3	Construcción	Hombres	498
Mayo 2019	22	Huesca	3	Construcción	Mujeres	74
Mayo 2019	22	Huesca	4	Servicios	Hombres	1700
Mayo 2019	22	Huesca	4	Servicios	Mujeres	3630
Mayo 2019	22	Huesca		Sin empleo anterior	Hombres	237
Mayo 2019	22	Huesca		Sin empleo anterior	Mujeres	489
Mayo 2019	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	155
Mayo 2019	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	101
Mayo 2019	44	Teruel	2	Industria y energía	Hombres	367
Mayo 2019	44	Teruel	2	Industria y energía	Mujeres	304
Mayo 2019	44	Teruel	3	Construcción	Hombres	306
Mayo 2019	44	Teruel	3	Construcción	Mujeres	49
Mayo 2019	44	Teruel	4	Servicios	Hombres	1023
Mayo 2019	44	Teruel	4	Servicios	Mujeres	2307
Mayo 2019	44	Teruel		Sin empleo anterior	Hombres	128
Mayo 2019	44	Teruel		Sin empleo anterior	Mujeres	310
Mayo 2019	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	1220
Mayo 2019	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	742
Mayo 2019	50	Zaragoza	2	Industria y energía	Hombres	2785
Mayo 2019	50	Zaragoza	2	Industria y energía	Mujeres	2693
Mayo 2019	50	Zaragoza	3	Construcción	Hombres	2491
Mayo 2019	50	Zaragoza	3	Construcción	Mujeres	442
Mayo 2019	50	Zaragoza	4	Servicios	Hombres	10687
Mayo 2019	50	Zaragoza	4	Servicios	Mujeres	22190
Mayo 2019	50	Zaragoza		Sin empleo anterior	Hombres	1414
Mayo 2019	50	Zaragoza		Sin empleo anterior	Mujeres	3209
Abril 2019	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	445
Abril 2019	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	200
Abril 2019	22	Huesca	2	Industria y energía	Hombres	453
Abril 2019	22	Huesca	2	Industria y energía	Mujeres	274
Abril 2019	22	Huesca	3	Construcción	Hombres	505
Abril 2019	22	Huesca	3	Construcción	Mujeres	75
Abril 2019	22	Huesca	4	Servicios	Hombres	1716
Abril 2019	22	Huesca	4	Servicios	Mujeres	3723
Abril 2019	22	Huesca		Sin empleo anterior	Hombres	232
Abril 2019	22	Huesca		Sin empleo anterior	Mujeres	499
Abril 2019	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	213
Abril 2019	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	131
Abril 2019	44	Teruel	2	Industria y energía	Hombres	372
Abril 2019	44	Teruel	2	Industria y energía	Mujeres	295
Abril 2019	44	Teruel	3	Construcción	Hombres	329
Abril 2019	44	Teruel	3	Construcción	Mujeres	53
Abril 2019	44	Teruel	4	Servicios	Hombres	1091
Abril 2019	44	Teruel	4	Servicios	Mujeres	2384
Abril 2019	44	Teruel		Sin empleo anterior	Hombres	110
Abril 2019	44	Teruel		Sin empleo anterior	Mujeres	302
Abril 2019	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	1692
Abril 2019	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	916
Abril 2019	50	Zaragoza	2	Industria y energía	Hombres	2902
Abril 2019	50	Zaragoza	2	Industria y energía	Mujeres	2851
Abril 2019	50	Zaragoza	3	Construcción	Hombres	2659
Abril 2019	50	Zaragoza	3	Construcción	Mujeres	437
Abril 2019	50	Zaragoza	4	Servicios	Hombres	11312
Abril 2019	50	Zaragoza	4	Servicios	Mujeres	22839
Abril 2019	50	Zaragoza		Sin empleo anterior	Hombres	1471
Abril 2019	50	Zaragoza		Sin empleo anterior	Mujeres	3269
Marzo 2019	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	507
Marzo 2019	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	245
Marzo 2019	22	Huesca	2	Industria y energía	Hombres	456
Marzo 2019	22	Huesca	2	Industria y energía	Mujeres	276
Marzo 2019	22	Huesca	3	Construcción	Hombres	512
Marzo 2019	22	Huesca	3	Construcción	Mujeres	70
Marzo 2019	22	Huesca	4	Servicios	Hombres	1744
Marzo 2019	22	Huesca	4	Servicios	Mujeres	3821
Marzo 2019	22	Huesca		Sin empleo anterior	Hombres	218
Marzo 2019	22	Huesca		Sin empleo anterior	Mujeres	474
Marzo 2019	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	226
Marzo 2019	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	141
Marzo 2019	44	Teruel	2	Industria y energía	Hombres	370
Marzo 2019	44	Teruel	2	Industria y energía	Mujeres	322
Marzo 2019	44	Teruel	3	Construcción	Hombres	356
Marzo 2019	44	Teruel	3	Construcción	Mujeres	55
Marzo 2019	44	Teruel	4	Servicios	Hombres	1122
Marzo 2019	44	Teruel	4	Servicios	Mujeres	2429
Marzo 2019	44	Teruel		Sin empleo anterior	Hombres	112
Marzo 2019	44	Teruel		Sin empleo anterior	Mujeres	316
Marzo 2019	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	1849
Marzo 2019	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	977
Marzo 2019	50	Zaragoza	2	Industria y energía	Hombres	2918
Marzo 2019	50	Zaragoza	2	Industria y energía	Mujeres	2889
Marzo 2019	50	Zaragoza	3	Construcción	Hombres	2589
Marzo 2019	50	Zaragoza	3	Construcción	Mujeres	436
Marzo 2019	50	Zaragoza	4	Servicios	Hombres	11628
Marzo 2019	50	Zaragoza	4	Servicios	Mujeres	23534
Marzo 2019	50	Zaragoza		Sin empleo anterior	Hombres	1492
Marzo 2019	50	Zaragoza		Sin empleo anterior	Mujeres	3328
Febrero 2019	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	494
Febrero 2019	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	256
Febrero 2019	22	Huesca	2	Industria y energía	Hombres	482
Febrero 2019	22	Huesca	2	Industria y energía	Mujeres	288
Febrero 2019	22	Huesca	3	Construcción	Hombres	538
Febrero 2019	22	Huesca	3	Construcción	Mujeres	68
Febrero 2019	22	Huesca	4	Servicios	Hombres	1853
Febrero 2019	22	Huesca	4	Servicios	Mujeres	3960
Febrero 2019	22	Huesca		Sin empleo anterior	Hombres	232
Febrero 2019	22	Huesca		Sin empleo anterior	Mujeres	479
Febrero 2019	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	251
Febrero 2019	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	116
Febrero 2019	44	Teruel	2	Industria y energía	Hombres	407
Febrero 2019	44	Teruel	2	Industria y energía	Mujeres	327
Febrero 2019	44	Teruel	3	Construcción	Hombres	352
Febrero 2019	44	Teruel	3	Construcción	Mujeres	53
Febrero 2019	44	Teruel	4	Servicios	Hombres	1186
Febrero 2019	44	Teruel	4	Servicios	Mujeres	2589
Febrero 2019	44	Teruel		Sin empleo anterior	Hombres	120
Febrero 2019	44	Teruel		Sin empleo anterior	Mujeres	318
Febrero 2019	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	1799
Febrero 2019	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	950
Febrero 2019	50	Zaragoza	2	Industria y energía	Hombres	3038
Febrero 2019	50	Zaragoza	2	Industria y energía	Mujeres	2991
Febrero 2019	50	Zaragoza	3	Construcción	Hombres	2707
Febrero 2019	50	Zaragoza	3	Construcción	Mujeres	436
Febrero 2019	50	Zaragoza	4	Servicios	Hombres	11965
Febrero 2019	50	Zaragoza	4	Servicios	Mujeres	23992
Febrero 2019	50	Zaragoza		Sin empleo anterior	Hombres	1464
Febrero 2019	50	Zaragoza		Sin empleo anterior	Mujeres	3251
Enero 2019	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	518
Enero 2019	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	278
Enero 2019	22	Huesca	2	Industria y energía	Hombres	500
Enero 2019	22	Huesca	2	Industria y energía	Mujeres	303
Enero 2019	22	Huesca	3	Construcción	Hombres	567
Enero 2019	22	Huesca	3	Construcción	Mujeres	68
Enero 2019	22	Huesca	4	Servicios	Hombres	1952
Enero 2019	22	Huesca	4	Servicios	Mujeres	4199
Enero 2019	22	Huesca		Sin empleo anterior	Hombres	224
Enero 2019	22	Huesca		Sin empleo anterior	Mujeres	491
Enero 2019	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	274
Enero 2019	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	133
Enero 2019	44	Teruel	2	Industria y energía	Hombres	443
Enero 2019	44	Teruel	2	Industria y energía	Mujeres	334
Enero 2019	44	Teruel	3	Construcción	Hombres	362
Enero 2019	44	Teruel	3	Construcción	Mujeres	51
Enero 2019	44	Teruel	4	Servicios	Hombres	1241
Enero 2019	44	Teruel	4	Servicios	Mujeres	2685
Enero 2019	44	Teruel		Sin empleo anterior	Hombres	94
Enero 2019	44	Teruel		Sin empleo anterior	Mujeres	336
Enero 2019	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	1778
Enero 2019	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	1003
Enero 2019	50	Zaragoza	2	Industria y energía	Hombres	3223
Enero 2019	50	Zaragoza	2	Industria y energía	Mujeres	3055
Enero 2019	50	Zaragoza	3	Construcción	Hombres	2794
Enero 2019	50	Zaragoza	3	Construcción	Mujeres	456
Enero 2019	50	Zaragoza	4	Servicios	Hombres	12370
Enero 2019	50	Zaragoza	4	Servicios	Mujeres	24559
Enero 2019	50	Zaragoza		Sin empleo anterior	Hombres	1505
Enero 2019	50	Zaragoza		Sin empleo anterior	Mujeres	3263
Diciembre 2018	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	513
Diciembre 2018	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	279
Diciembre 2018	22	Huesca	2	Industria y energía	Hombres	490
Diciembre 2018	22	Huesca	2	Industria y energía	Mujeres	281
Diciembre 2018	22	Huesca	3	Construcción	Hombres	563
Diciembre 2018	22	Huesca	3	Construcción	Mujeres	70
Diciembre 2018	22	Huesca	4	Servicios	Hombres	1809
Diciembre 2018	22	Huesca	4	Servicios	Mujeres	3858
Diciembre 2018	22	Huesca		Sin empleo anterior	Hombres	222
Diciembre 2018	22	Huesca		Sin empleo anterior	Mujeres	471
Diciembre 2018	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	272
Diciembre 2018	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	125
Diciembre 2018	44	Teruel	2	Industria y energía	Hombres	406
Diciembre 2018	44	Teruel	2	Industria y energía	Mujeres	319
Diciembre 2018	44	Teruel	3	Construcción	Hombres	358
Diciembre 2018	44	Teruel	3	Construcción	Mujeres	48
Diciembre 2018	44	Teruel	4	Servicios	Hombres	1195
Diciembre 2018	44	Teruel	4	Servicios	Mujeres	2486
Diciembre 2018	44	Teruel		Sin empleo anterior	Hombres	103
Diciembre 2018	44	Teruel		Sin empleo anterior	Mujeres	320
Diciembre 2018	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	1843
Diciembre 2018	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	1036
Diciembre 2018	50	Zaragoza	2	Industria y energía	Hombres	3254
Diciembre 2018	50	Zaragoza	2	Industria y energía	Mujeres	3089
Diciembre 2018	50	Zaragoza	3	Construcción	Hombres	2730
