Comarca codigo	Comarca nombre	Explotaciones	Gestión explotación
23	Bajo Martín	116	Otra persona o sociedad es jefe de la explotación
23	Bajo Martín	100	Un miembro de la familia es el jefe de la explotación
24	Campo de Daroca	922	El titular es el jefe de la explotación
24	Campo de Daroca	163	Otra persona o sociedad es jefe de la explotación
24	Campo de Daroca	142	Un miembro de la familia es el jefe de la explotación
25	Jiloca	1545	El titular es el jefe de la explotación
25	Jiloca	185	Otra persona o sociedad es jefe de la explotación
25	Jiloca	164	Un miembro de la familia es el jefe de la explotación
26	Cuencas Mineras	488	El titular es el jefe de la explotación
26	Cuencas Mineras	92	Otra persona o sociedad es jefe de la explotación
26	Cuencas Mineras	55	Un miembro de la familia es el jefe de la explotación
27	Andorra-Sierra de Arcos	608	El titular es el jefe de la explotación
27	Andorra-Sierra de Arcos	56	Otra persona o sociedad es jefe de la explotación
27	Andorra-Sierra de Arcos	93	Un miembro de la familia es el jefe de la explotación
28	Bajo Aragón	1706	El titular es el jefe de la explotación
28	Bajo Aragón	193	Otra persona o sociedad es jefe de la explotación
28	Bajo Aragón	246	Un miembro de la familia es el jefe de la explotación
29	Comunidad de Teruel	1715	El titular es el jefe de la explotación
29	Comunidad de Teruel	192	Otra persona o sociedad es jefe de la explotación
29	Comunidad de Teruel	240	Un miembro de la familia es el jefe de la explotación
30	Maestrazgo	500	El titular es el jefe de la explotación
30	Maestrazgo	59	Otra persona o sociedad es jefe de la explotación
30	Maestrazgo	37	Un miembro de la familia es el jefe de la explotación
31	Sierra de Albarracín	271	El titular es el jefe de la explotación
31	Sierra de Albarracín	52	Otra persona o sociedad es jefe de la explotación
31	Sierra de Albarracín	40	Un miembro de la familia es el jefe de la explotación
32	Gúdar-Javalambre	645	El titular es el jefe de la explotación
32	Gúdar-Javalambre	95	Otra persona o sociedad es jefe de la explotación
32	Gúdar-Javalambre	58	Un miembro de la familia es el jefe de la explotación
33	Matarraña / Matarranya	1370	El titular es el jefe de la explotación
33	Matarraña / Matarranya	105	Otra persona o sociedad es jefe de la explotación
33	Matarraña / Matarranya	155	Un miembro de la familia es el jefe de la explotación
