Comarca código	Comarca nombre	Edad (grandes grupos)	Sexo	Personas
08	Cinca Medio	65 ó más	Hombres	7
08	Cinca Medio	65 ó más	Mujeres	5
09	La Litera / La Llitera	0 a 15	Hombres	40
09	La Litera / La Llitera	0 a 15	Mujeres	44
09	La Litera / La Llitera	16 a 64	Hombres	379
09	La Litera / La Llitera	16 a 64	Mujeres	154
09	La Litera / La Llitera	65 ó más	Hombres	5
09	La Litera / La Llitera	65 ó más	Mujeres	4
10	Los Monegros	0 a 15	Hombres	47
10	Los Monegros	0 a 15	Mujeres	33
10	Los Monegros	16 a 64	Hombres	193
10	Los Monegros	16 a 64	Mujeres	139
10	Los Monegros	65 ó más	Hombres	6
10	Los Monegros	65 ó más	Mujeres	7
11	Bajo Cinca / Baix Cinca	0 a 15	Hombres	40
11	Bajo Cinca / Baix Cinca	0 a 15	Mujeres	44
11	Bajo Cinca / Baix Cinca	16 a 64	Hombres	582
11	Bajo Cinca / Baix Cinca	16 a 64	Mujeres	199
11	Bajo Cinca / Baix Cinca	65 ó más	Hombres	4
11	Bajo Cinca / Baix Cinca	65 ó más	Mujeres	3
12	Tarazona y el Moncayo	0 a 15	Hombres	21
12	Tarazona y el Moncayo	0 a 15	Mujeres	16
12	Tarazona y el Moncayo	16 a 64	Hombres	140
12	Tarazona y el Moncayo	16 a 64	Mujeres	113
12	Tarazona y el Moncayo	65 ó más	Hombres	3
12	Tarazona y el Moncayo	65 ó más	Mujeres	1
13	Campo de Borja	0 a 15	Hombres	30
13	Campo de Borja	0 a 15	Mujeres	21
13	Campo de Borja	16 a 64	Hombres	283
13	Campo de Borja	16 a 64	Mujeres	120
13	Campo de Borja	65 ó más	Hombres	5
13	Campo de Borja	65 ó más	Mujeres	4
14	Aranda	0 a 15	Hombres	24
14	Aranda	0 a 15	Mujeres	17
14	Aranda	16 a 64	Hombres	102
14	Aranda	16 a 64	Mujeres	66
15	Ribera Alta del Ebro	0 a 15	Hombres	50
15	Ribera Alta del Ebro	0 a 15	Mujeres	25
15	Ribera Alta del Ebro	16 a 64	Hombres	263
15	Ribera Alta del Ebro	16 a 64	Mujeres	181
15	Ribera Alta del Ebro	65 ó más	Hombres	4
15	Ribera Alta del Ebro	65 ó más	Mujeres	4
16	Valdejalón	0 a 15	Hombres	76
16	Valdejalón	0 a 15	Mujeres	55
16	Valdejalón	16 a 64	Hombres	743
16	Valdejalón	16 a 64	Mujeres	335
16	Valdejalón	65 ó más	Hombres	2
16	Valdejalón	65 ó más	Mujeres	3
17	D.C. Zaragoza	0 a 15	Hombres	1802
17	D.C. Zaragoza	0 a 15	Mujeres	1795
17	D.C. Zaragoza	16 a 64	Hombres	9582
17	D.C. Zaragoza	16 a 64	Mujeres	8601
17	D.C. Zaragoza	65 ó más	Hombres	160
17	D.C. Zaragoza	65 ó más	Mujeres	254
18	Ribera Baja del Ebro	0 a 15	Hombres	8
18	Ribera Baja del Ebro	0 a 15	Mujeres	11
18	Ribera Baja del Ebro	16 a 64	Hombres	77
18	Ribera Baja del Ebro	16 a 64	Mujeres	48
18	Ribera Baja del Ebro	65 ó más	Hombres	3
18	Ribera Baja del Ebro	65 ó más	Mujeres	4
19	Bajo Aragón-Caspe / Baix Aragó-Casp	0 a 15	Hombres	30
19	Bajo Aragón-Caspe / Baix Aragó-Casp	0 a 15	Mujeres	20
19	Bajo Aragón-Caspe / Baix Aragó-Casp	16 a 64	Hombres	203
19	Bajo Aragón-Caspe / Baix Aragó-Casp	16 a 64	Mujeres	68
19	Bajo Aragón-Caspe / Baix Aragó-Casp	65 ó más	Hombres	1
19	Bajo Aragón-Caspe / Baix Aragó-Casp	65 ó más	Mujeres	5
20	Comunidad de Calatayud	0 a 15	Hombres	91
20	Comunidad de Calatayud	0 a 15	Mujeres	84
20	Comunidad de Calatayud	16 a 64	Hombres	717
20	Comunidad de Calatayud	16 a 64	Mujeres	511
20	Comunidad de Calatayud	65 ó más	Hombres	5
20	Comunidad de Calatayud	65 ó más	Mujeres	18
21	Campo de Cariñena	0 a 15	Hombres	34
21	Campo de Cariñena	0 a 15	Mujeres	35
21	Campo de Cariñena	16 a 64	Hombres	594
21	Campo de Cariñena	16 a 64	Mujeres	189
21	Campo de Cariñena	65 ó más	Hombres	2
21	Campo de Cariñena	65 ó más	Mujeres	3
22	Campo de Belchite	0 a 15	Mujeres	4
22	Campo de Belchite	16 a 64	Hombres	36
22	Campo de Belchite	16 a 64	Mujeres	16
22	Campo de Belchite	65 ó más	Hombres	1
23	Bajo Martín	0 a 15	Hombres	11
23	Bajo Martín	0 a 15	Mujeres	3
23	Bajo Martín	16 a 64	Hombres	74
23	Bajo Martín	16 a 64	Mujeres	41
23	Bajo Martín	65 ó más	Hombres	2
23	Bajo Martín	65 ó más	Mujeres	1
24	Campo de Daroca	0 a 15	Hombres	8
24	Campo de Daroca	0 a 15	Mujeres	4
24	Campo de Daroca	16 a 64	Hombres	20
24	Campo de Daroca	16 a 64	Mujeres	18
25	Jiloca	0 a 15	Hombres	24
25	Jiloca	0 a 15	Mujeres	37
25	Jiloca	16 a 64	Hombres	138
25	Jiloca	16 a 64	Mujeres	115
25	Jiloca	65 ó más	Hombres	1
25	Jiloca	65 ó más	Mujeres	1
26	Cuencas Mineras	0 a 15	Hombres	18
26	Cuencas Mineras	0 a 15	Mujeres	7
26	Cuencas Mineras	16 a 64	Hombres	108
26	Cuencas Mineras	16 a 64	Mujeres	40
26	Cuencas Mineras	65 ó más	Mujeres	1
27	Andorra-Sierra de Arcos	0 a 15	Hombres	9
27	Andorra-Sierra de Arcos	0 a 15	Mujeres	15
27	Andorra-Sierra de Arcos	16 a 64	Hombres	83
27	Andorra-Sierra de Arcos	16 a 64	Mujeres	28
28	Bajo Aragón	0 a 15	Hombres	90
28	Bajo Aragón	0 a 15	Mujeres	89
28	Bajo Aragón	16 a 64	Hombres	372
28	Bajo Aragón	16 a 64	Mujeres	237
28	Bajo Aragón	65 ó más	Hombres	3
28	Bajo Aragón	65 ó más	Mujeres	8
29	Comunidad de Teruel	0 a 15	Hombres	59
29	Comunidad de Teruel	0 a 15	Mujeres	42
29	Comunidad de Teruel	16 a 64	Hombres	338
29	Comunidad de Teruel	16 a 64	Mujeres	344
29	Comunidad de Teruel	65 ó más	Hombres	3
29	Comunidad de Teruel	65 ó más	Mujeres	4
30	Maestrazgo	0 a 15	Hombres	12
30	Maestrazgo	0 a 15	Mujeres	6
30	Maestrazgo	16 a 64	Hombres	58
30	Maestrazgo	16 a 64	Mujeres	30
30	Maestrazgo	65 ó más	Hombres	1
30	Maestrazgo	65 ó más	Mujeres	1
31	Sierra de Albarracín	0 a 15	Hombres	15
31	Sierra de Albarracín	0 a 15	Mujeres	10
31	Sierra de Albarracín	16 a 64	Hombres	40
31	Sierra de Albarracín	16 a 64	Mujeres	39
32	Gúdar-Javalambre	0 a 15	Hombres	33
32	Gúdar-Javalambre	0 a 15	Mujeres	35
32	Gúdar-Javalambre	16 a 64	Hombres	148
32	Gúdar-Javalambre	16 a 64	Mujeres	101
32	Gúdar-Javalambre	65 ó más	Hombres	3
33	Matarraña / Matarranya	0 a 15	Hombres	32
33	Matarraña / Matarranya	0 a 15	Mujeres	20
33	Matarraña / Matarranya	16 a 64	Hombres	114
33	Matarraña / Matarranya	16 a 64	Mujeres	66
33	Matarraña / Matarranya	65 ó más	Hombres	3
33	Matarraña / Matarranya	65 ó más	Mujeres	3
