Año	Residencia comarca código	Residencia comarca nombre	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad país código	Nacionalidad país nombre	Sexo	Extranjeros
1998	03	Sobrarbe	01	UE-15	126	Alemania	Hombres	5
1998	03	Sobrarbe	01	UE-15	126	Alemania	Mujeres	6
1998	03	Sobrarbe	02	Resto de Europa	132	Suiza	Hombres	1
1998	03	Sobrarbe	02	Resto de Europa	132	Suiza	Mujeres	1
1998	03	Sobrarbe	02	Resto de Europa	199	Países sin relaciones diplomáticas	Hombres	1
1998	03	Sobrarbe	02	Resto de Europa	199	Países sin relaciones diplomáticas	Mujeres	1
1998	03	Sobrarbe	03	Magreb	224	Libia	Hombres	1
1998	03	Sobrarbe	03	Magreb	228	Marruecos	Mujeres	1
1998	03	Sobrarbe	04	Resto de África	233	Níger	Hombres	1
1998	03	Sobrarbe	04	Resto de África	236	Sudáfrica	Hombres	1
1998	03	Sobrarbe	05	América del Norte	301	Canadá	Hombres	1
1998	03	Sobrarbe	05	América del Norte	302	Estados Unidos de América	Mujeres	1
1998	03	Sobrarbe	06	Resto de América	315	Cuba	Hombres	1
1998	03	Sobrarbe	06	Resto de América	316	Dominica	Mujeres	1
1998	03	Sobrarbe	06	Resto de América	326	República Dominicana	Mujeres	2
1998	03	Sobrarbe	06	Resto de América	341	Bolivia	Hombres	1
1998	03	Sobrarbe	06	Resto de América	342	Brasil	Hombres	1
1998	03	Sobrarbe	06	Resto de América	348	Perú	Mujeres	1
1998	03	Sobrarbe	07	Asia	415	Japón	Hombres	1
1998	03	Sobrarbe	07	Asia	441	Yemen	Mujeres	1
1998	04	La Ribagorza	01	UE-15	102	Austria	Mujeres	1
1998	04	La Ribagorza	01	UE-15	103	Bélgica	Hombres	2
1998	04	La Ribagorza	01	UE-15	103	Bélgica	Mujeres	3
1998	04	La Ribagorza	01	UE-15	110	Francia	Hombres	9
1998	04	La Ribagorza	01	UE-15	110	Francia	Mujeres	8
1998	04	La Ribagorza	01	UE-15	113	Irlanda	Hombres	1
1998	04	La Ribagorza	01	UE-15	115	Italia	Hombres	2
1998	04	La Ribagorza	01	UE-15	121	Países Bajos	Hombres	3
1998	04	La Ribagorza	01	UE-15	121	Países Bajos	Mujeres	3
1998	04	La Ribagorza	01	UE-15	123	Portugal	Mujeres	1
1998	04	La Ribagorza	01	UE-15	125	Reino Unido	Mujeres	1
1998	04	La Ribagorza	01	UE-15	126	Alemania	Hombres	6
1998	04	La Ribagorza	01	UE-15	126	Alemania	Mujeres	3
1998	04	La Ribagorza	02	Resto de Europa	128	Rumanía	Mujeres	1
1998	04	La Ribagorza	02	Resto de Europa	132	Suiza	Hombres	4
1998	04	La Ribagorza	02	Resto de Europa	132	Suiza	Mujeres	3
1998	04	La Ribagorza	03	Magreb	228	Marruecos	Hombres	2
1998	04	La Ribagorza	04	Resto de África	207	Cabo Verde	Hombres	1
1998	04	La Ribagorza	04	Resto de África	220	Guinea Ecuatorial	Hombres	1
1998	04	La Ribagorza	05	América del Norte	302	Estados Unidos de América	Hombres	1
1998	04	La Ribagorza	06	Resto de América	315	Cuba	Hombres	3
1998	04	La Ribagorza	06	Resto de América	315	Cuba	Mujeres	4
1998	04	La Ribagorza	06	Resto de América	326	República Dominicana	Hombres	1
1998	04	La Ribagorza	06	Resto de América	326	República Dominicana	Mujeres	2
1998	04	La Ribagorza	06	Resto de América	340	Argentina	Hombres	2
1998	04	La Ribagorza	06	Resto de América	340	Argentina	Mujeres	1
1998	04	La Ribagorza	06	Resto de América	343	Colombia	Mujeres	1
1998	04	La Ribagorza	06	Resto de América	347	Paraguay	Hombres	1
1998	04	La Ribagorza	06	Resto de América	351	Venezuela	Mujeres	1
1998	04	La Ribagorza	07	Asia	420	Líbano	Hombres	1
1998	04	La Ribagorza	08	Oceanía	512	Tuvalu	Hombres	1
1998	05	Cinco Villas	01	UE-15	110	Francia	Hombres	6
1998	05	Cinco Villas	01	UE-15	110	Francia	Mujeres	8
1998	05	Cinco Villas	01	UE-15	123	Portugal	Hombres	2
1998	05	Cinco Villas	01	UE-15	123	Portugal	Mujeres	3
1998	05	Cinco Villas	01	UE-15	126	Alemania	Hombres	2
1998	05	Cinco Villas	01	UE-15	126	Alemania	Mujeres	1
1998	05	Cinco Villas	02	Resto de Europa	101	Albania	Mujeres	1
1998	05	Cinco Villas	02	Resto de Europa	122	Polonia	Hombres	1
1998	05	Cinco Villas	02	Resto de Europa	132	Suiza	Hombres	1
1998	05	Cinco Villas	02	Resto de Europa	132	Suiza	Mujeres	3
1998	05	Cinco Villas	03	Magreb	203	Argelia	Hombres	18
1998	05	Cinco Villas	03	Magreb	228	Marruecos	Hombres	4
1998	05	Cinco Villas	03	Magreb	228	Marruecos	Mujeres	2
1998	05	Cinco Villas	04	Resto de África	208	Camerún	Hombres	2
1998	05	Cinco Villas	04	Resto de África	220	Guinea Ecuatorial	Mujeres	1
1998	05	Cinco Villas	05	América del Norte	302	Estados Unidos de América	Hombres	1
1998	05	Cinco Villas	05	América del Norte	302	Estados Unidos de América	Mujeres	1
1998	05	Cinco Villas	06	Resto de América	315	Cuba	Hombres	2
1998	05	Cinco Villas	06	Resto de América	315	Cuba	Mujeres	3
1998	05	Cinco Villas	06	Resto de América	317	El Salvador	Hombres	1
1998	05	Cinco Villas	06	Resto de América	340	Argentina	Mujeres	1
1998	05	Cinco Villas	06	Resto de América	345	Ecuador	Mujeres	1
1998	05	Cinco Villas	06	Resto de América	348	Perú	Hombres	2
1998	05	Cinco Villas	06	Resto de América	348	Perú	Mujeres	4
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	102	Austria	Hombres	2
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	102	Austria	Mujeres	1
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	110	Francia	Hombres	19
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	110	Francia	Mujeres	30
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	113	Irlanda	Hombres	1
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	115	Italia	Hombres	4
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	115	Italia	Mujeres	6
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	121	Países Bajos	Hombres	4
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	121	Países Bajos	Mujeres	1
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	123	Portugal	Hombres	12
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	123	Portugal	Mujeres	13
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	125	Reino Unido	Hombres	5
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	125	Reino Unido	Mujeres	6
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	126	Alemania	Hombres	3
1998	06	Hoya de Huesca / Plana de Uesca	01	UE-15	126	Alemania	Mujeres	2
1998	06	Hoya de Huesca / Plana de Uesca	02	Resto de Europa	132	Suiza	Hombres	1
1998	06	Hoya de Huesca / Plana de Uesca	03	Magreb	203	Argelia	Hombres	11
1998	06	Hoya de Huesca / Plana de Uesca	03	Magreb	203	Argelia	Mujeres	2
1998	06	Hoya de Huesca / Plana de Uesca	03	Magreb	228	Marruecos	Hombres	16
1998	06	Hoya de Huesca / Plana de Uesca	03	Magreb	228	Marruecos	Mujeres	1
1998	06	Hoya de Huesca / Plana de Uesca	04	Resto de África	207	Cabo Verde	Mujeres	1
1998	06	Hoya de Huesca / Plana de Uesca	04	Resto de África	216	Gambia	Hombres	20
1998	06	Hoya de Huesca / Plana de Uesca	04	Resto de África	216	Gambia	Mujeres	12
1998	06	Hoya de Huesca / Plana de Uesca	04	Resto de África	217	Ghana	Hombres	5
1998	06	Hoya de Huesca / Plana de Uesca	04	Resto de África	217	Ghana	Mujeres	2
1998	06	Hoya de Huesca / Plana de Uesca	04	Resto de África	218	Guinea	Hombres	2
1998	06	Hoya de Huesca / Plana de Uesca	04	Resto de África	220	Guinea Ecuatorial	Mujeres	1
1998	06	Hoya de Huesca / Plana de Uesca	04	Resto de África	221	Kenia	Mujeres	4
1998	06	Hoya de Huesca / Plana de Uesca	04	Resto de África	223	Liberia	Hombres	1
1998	06	Hoya de Huesca / Plana de Uesca	04	Resto de África	239	Senegal	Hombres	7
1998	06	Hoya de Huesca / Plana de Uesca	05	América del Norte	301	Canadá	Hombres	1
1998	06	Hoya de Huesca / Plana de Uesca	05	América del Norte	302	Estados Unidos de América	Hombres	7
1998	06	Hoya de Huesca / Plana de Uesca	05	América del Norte	302	Estados Unidos de América	Mujeres	8
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	315	Cuba	Hombres	2
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	315	Cuba	Mujeres	8
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	316	Dominica	Mujeres	5
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	326	República Dominicana	Hombres	4
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	326	República Dominicana	Mujeres	18
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	340	Argentina	Hombres	10
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	340	Argentina	Mujeres	8
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	342	Brasil	Mujeres	2
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	343	Colombia	Hombres	3
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	344	Chile	Mujeres	2
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	347	Paraguay	Hombres	1
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	348	Perú	Hombres	4
1998	06	Hoya de Huesca / Plana de Uesca	06	Resto de América	348	Perú	Mujeres	2
1998	06	Hoya de Huesca / Plana de Uesca	07	Asia	407	China	Hombres	12
1998	06	Hoya de Huesca / Plana de Uesca	07	Asia	407	China	Mujeres	6
1998	06	Hoya de Huesca / Plana de Uesca	07	Asia	409	Filipinas	Mujeres	1
1998	06	Hoya de Huesca / Plana de Uesca	07	Asia	419	Laos	Hombres	1
1998	06	Hoya de Huesca / Plana de Uesca	07	Asia	419	Laos	Mujeres	2
1998	06	Hoya de Huesca / Plana de Uesca	07	Asia	420	Líbano	Hombres	1
1998	06	Hoya de Huesca / Plana de Uesca	07	Asia	423	Mongolia	Mujeres	1
1998	06	Hoya de Huesca / Plana de Uesca	07	Asia	430	República de Corea	Hombres	2
1998	06	Hoya de Huesca / Plana de Uesca	07	Asia	430	República de Corea	Mujeres	2
1998	07	Somontano de Barbastro	01	UE-15	102	Austria	Hombres	1
1998	07	Somontano de Barbastro	01	UE-15	103	Bélgica	Hombres	4
1998	07	Somontano de Barbastro	01	UE-15	103	Bélgica	Mujeres	5
1998	07	Somontano de Barbastro	01	UE-15	107	Dinamarca	Mujeres	1
1998	07	Somontano de Barbastro	01	UE-15	110	Francia	Hombres	15
1998	07	Somontano de Barbastro	01	UE-15	110	Francia	Mujeres	21
1998	07	Somontano de Barbastro	01	UE-15	115	Italia	Hombres	2
1998	07	Somontano de Barbastro	01	UE-15	121	Países Bajos	Hombres	2
1998	07	Somontano de Barbastro	01	UE-15	121	Países Bajos	Mujeres	4
1998	07	Somontano de Barbastro	01	UE-15	123	Portugal	Hombres	5
1998	07	Somontano de Barbastro	01	UE-15	123	Portugal	Mujeres	7
1998	07	Somontano de Barbastro	01	UE-15	125	Reino Unido	Hombres	1
1998	07	Somontano de Barbastro	01	UE-15	126	Alemania	Mujeres	3
1998	07	Somontano de Barbastro	02	Resto de Europa	104	Bulgaria	Hombres	4
1998	07	Somontano de Barbastro	02	Resto de Europa	104	Bulgaria	Mujeres	1
1998	07	Somontano de Barbastro	02	Resto de Europa	132	Suiza	Hombres	1
1998	07	Somontano de Barbastro	03	Magreb	203	Argelia	Hombres	4
1998	07	Somontano de Barbastro	03	Magreb	203	Argelia	Mujeres	2
1998	07	Somontano de Barbastro	03	Magreb	228	Marruecos	Hombres	30
1998	07	Somontano de Barbastro	03	Magreb	228	Marruecos	Mujeres	26
1998	07	Somontano de Barbastro	04	Resto de África	216	Gambia	Hombres	7
1998	07	Somontano de Barbastro	04	Resto de África	216	Gambia	Mujeres	4
1998	07	Somontano de Barbastro	04	Resto de África	236	Sudáfrica	Hombres	1
1998	07	Somontano de Barbastro	05	América del Norte	302	Estados Unidos de América	Hombres	2
1998	07	Somontano de Barbastro	06	Resto de América	303	México	Hombres	1
1998	07	Somontano de Barbastro	06	Resto de América	303	México	Mujeres	1
1998	07	Somontano de Barbastro	06	Resto de América	315	Cuba	Mujeres	1
1998	07	Somontano de Barbastro	06	Resto de América	317	El Salvador	Mujeres	2
1998	07	Somontano de Barbastro	06	Resto de América	326	República Dominicana	Hombres	1
1998	07	Somontano de Barbastro	06	Resto de América	326	República Dominicana	Mujeres	6
1998	07	Somontano de Barbastro	06	Resto de América	340	Argentina	Hombres	4
1998	07	Somontano de Barbastro	06	Resto de América	340	Argentina	Mujeres	1
1998	07	Somontano de Barbastro	06	Resto de América	342	Brasil	Mujeres	1
1998	07	Somontano de Barbastro	06	Resto de América	343	Colombia	Mujeres	2
1998	07	Somontano de Barbastro	07	Asia	401	Afganistán	Hombres	1
1998	07	Somontano de Barbastro	07	Asia	407	China	Hombres	2
1998	07	Somontano de Barbastro	07	Asia	407	China	Mujeres	2
1998	07	Somontano de Barbastro	07	Asia	416	Jordania	Hombres	1
1998	07	Somontano de Barbastro	08	Oceanía	501	Australia	Mujeres	1
1998	08	Cinca Medio	01	UE-15	102	Austria	Hombres	1
1998	08	Cinca Medio	01	UE-15	103	Bélgica	Hombres	1
1998	08	Cinca Medio	01	UE-15	110	Francia	Hombres	5
1998	08	Cinca Medio	01	UE-15	110	Francia	Mujeres	15
1998	08	Cinca Medio	01	UE-15	111	Grecia	Hombres	1
1998	08	Cinca Medio	01	UE-15	113	Irlanda	Mujeres	1
1998	08	Cinca Medio	01	UE-15	115	Italia	Hombres	3
1998	08	Cinca Medio	01	UE-15	115	Italia	Mujeres	3
1998	08	Cinca Medio	01	UE-15	123	Portugal	Hombres	1
1998	08	Cinca Medio	01	UE-15	125	Reino Unido	Mujeres	1
1998	08	Cinca Medio	01	UE-15	126	Alemania	Hombres	2
1998	08	Cinca Medio	01	UE-15	126	Alemania	Mujeres	1
1998	08	Cinca Medio	02	Resto de Europa	122	Polonia	Hombres	1
1998	08	Cinca Medio	02	Resto de Europa	122	Polonia	Mujeres	1
1998	08	Cinca Medio	02	Resto de Europa	132	Suiza	Mujeres	1
1998	08	Cinca Medio	02	Resto de Europa	154	Rusia	Mujeres	1
1998	08	Cinca Medio	03	Magreb	203	Argelia	Hombres	24
1998	08	Cinca Medio	03	Magreb	203	Argelia	Mujeres	3
1998	08	Cinca Medio	03	Magreb	228	Marruecos	Hombres	24
1998	08	Cinca Medio	03	Magreb	228	Marruecos	Mujeres	7
1998	08	Cinca Medio	03	Magreb	230	Mauritania	Hombres	1
1998	08	Cinca Medio	03	Magreb	248	Túnez	Hombres	3
1998	08	Cinca Medio	04	Resto de África	207	Cabo Verde	Hombres	1
1998	08	Cinca Medio	04	Resto de África	216	Gambia	Hombres	12
1998	08	Cinca Medio	04	Resto de África	216	Gambia	Mujeres	1
1998	08	Cinca Medio	04	Resto de África	218	Guinea	Hombres	7
1998	08	Cinca Medio	04	Resto de África	218	Guinea	Mujeres	1
1998	08	Cinca Medio	04	Resto de África	220	Guinea Ecuatorial	Hombres	1
1998	08	Cinca Medio	04	Resto de África	220	Guinea Ecuatorial	Mujeres	2
1998	08	Cinca Medio	04	Resto de África	227	Mali	Hombres	1
1998	08	Cinca Medio	04	Resto de África	239	Senegal	Hombres	2
1998	08	Cinca Medio	04	Resto de África	241	Sierra Leona	Hombres	1
1998	08	Cinca Medio	05	América del Norte	302	Estados Unidos de América	Hombres	1
1998	08	Cinca Medio	05	América del Norte	302	Estados Unidos de América	Mujeres	2
1998	08	Cinca Medio	06	Resto de América	303	México	Hombres	2
1998	08	Cinca Medio	06	Resto de América	303	México	Mujeres	2
1998	08	Cinca Medio	06	Resto de América	315	Cuba	Hombres	1
1998	08	Cinca Medio	06	Resto de América	315	Cuba	Mujeres	1
1998	08	Cinca Medio	06	Resto de América	326	República Dominicana	Mujeres	2
1998	08	Cinca Medio	06	Resto de América	340	Argentina	Hombres	2
1998	08	Cinca Medio	06	Resto de América	343	Colombia	Mujeres	1
1998	08	Cinca Medio	06	Resto de América	348	Perú	Hombres	1
1998	08	Cinca Medio	06	Resto de América	348	Perú	Mujeres	4
1998	08	Cinca Medio	07	Asia	407	China	Hombres	1
1998	08	Cinca Medio	07	Asia	407	China	Mujeres	1
1998	08	Cinca Medio	07	Asia	409	Filipinas	Hombres	1
1998	08	Cinca Medio	07	Asia	433	Siria	Mujeres	1
1998	09	La Litera / La Llitera	01	UE-15	110	Francia	Hombres	5
1998	09	La Litera / La Llitera	01	UE-15	110	Francia	Mujeres	9
1998	09	La Litera / La Llitera	01	UE-15	113	Irlanda	Hombres	1
1998	09	La Litera / La Llitera	01	UE-15	123	Portugal	Hombres	4
1998	09	La Litera / La Llitera	01	UE-15	123	Portugal	Mujeres	2
1998	09	La Litera / La Llitera	01	UE-15	125	Reino Unido	Hombres	1
1998	09	La Litera / La Llitera	01	UE-15	125	Reino Unido	Mujeres	1
1998	09	La Litera / La Llitera	01	UE-15	126	Alemania	Hombres	1
1998	09	La Litera / La Llitera	01	UE-15	126	Alemania	Mujeres	1
1998	09	La Litera / La Llitera	02	Resto de Europa	128	Rumanía	Hombres	1
1998	09	La Litera / La Llitera	02	Resto de Europa	132	Suiza	Mujeres	1
1998	09	La Litera / La Llitera	03	Magreb	203	Argelia	Hombres	14
1998	09	La Litera / La Llitera	03	Magreb	203	Argelia	Mujeres	1
1998	09	La Litera / La Llitera	03	Magreb	228	Marruecos	Hombres	12
1998	09	La Litera / La Llitera	03	Magreb	228	Marruecos	Mujeres	1
1998	09	La Litera / La Llitera	04	Resto de África	216	Gambia	Hombres	17
1998	09	La Litera / La Llitera	04	Resto de África	216	Gambia	Mujeres	8
1998	09	La Litera / La Llitera	04	Resto de África	227	Mali	Hombres	7
1998	09	La Litera / La Llitera	04	Resto de África	227	Mali	Mujeres	2
1998	09	La Litera / La Llitera	04	Resto de África	239	Senegal	Hombres	1
1998	09	La Litera / La Llitera	04	Resto de África	242	Somalia	Hombres	1
1998	09	La Litera / La Llitera	06	Resto de América	303	México	Hombres	1
1998	09	La Litera / La Llitera	06	Resto de América	314	Costa Rica	Hombres	1
1998	09	La Litera / La Llitera	06	Resto de América	314	Costa Rica	Mujeres	1
1998	09	La Litera / La Llitera	06	Resto de América	315	Cuba	Mujeres	5
1998	09	La Litera / La Llitera	06	Resto de América	316	Dominica	Mujeres	1
1998	09	La Litera / La Llitera	06	Resto de América	318	Granada	Hombres	1
1998	09	La Litera / La Llitera	06	Resto de América	321	Honduras	Hombres	2
1998	09	La Litera / La Llitera	06	Resto de América	321	Honduras	Mujeres	5
1998	09	La Litera / La Llitera	06	Resto de América	326	República Dominicana	Hombres	1
1998	09	La Litera / La Llitera	06	Resto de América	326	República Dominicana	Mujeres	3
1998	09	La Litera / La Llitera	06	Resto de América	340	Argentina	Hombres	1
1998	09	La Litera / La Llitera	06	Resto de América	340	Argentina	Mujeres	2
1998	09	La Litera / La Llitera	06	Resto de América	348	Perú	Hombres	3
1998	09	La Litera / La Llitera	06	Resto de América	348	Perú	Mujeres	5
1998	09	La Litera / La Llitera	06	Resto de América	351	Venezuela	Mujeres	4
1998	09	La Litera / La Llitera	07	Asia	409	Filipinas	Mujeres	2
1998	09	La Litera / La Llitera	07	Asia	426	Pakistán	Hombres	2
1998	09	La Litera / La Llitera	07	Asia	435	Tailandia	Mujeres	1
1998	09	La Litera / La Llitera	08	Oceanía	511	Micronesia	Hombres	1
1998	10	Los Monegros	01	UE-15	107	Dinamarca	Hombres	1
1998	10	Los Monegros	01	UE-15	110	Francia	Hombres	16
1998	10	Los Monegros	01	UE-15	110	Francia	Mujeres	15
1998	10	Los Monegros	01	UE-15	123	Portugal	Hombres	1
1998	10	Los Monegros	01	UE-15	123	Portugal	Mujeres	3
1998	10	Los Monegros	01	UE-15	125	Reino Unido	Mujeres	2
1998	10	Los Monegros	01	UE-15	126	Alemania	Hombres	6
1998	10	Los Monegros	02	Resto de Europa	112	Hungría	Hombres	2
1998	10	Los Monegros	02	Resto de Europa	122	Polonia	Hombres	1
1998	10	Los Monegros	02	Resto de Europa	122	Polonia	Mujeres	1
1998	10	Los Monegros	02	Resto de Europa	128	Rumanía	Hombres	1
1998	10	Los Monegros	02	Resto de Europa	132	Suiza	Mujeres	1
1998	10	Los Monegros	02	Resto de Europa	154	Rusia	Mujeres	1
1998	10	Los Monegros	03	Magreb	228	Marruecos	Hombres	9
1998	10	Los Monegros	03	Magreb	228	Marruecos	Mujeres	9
1998	10	Los Monegros	04	Resto de África	216	Gambia	Hombres	4
1998	10	Los Monegros	04	Resto de África	216	Gambia	Mujeres	2
1998	10	Los Monegros	04	Resto de África	220	Guinea Ecuatorial	Hombres	1
1998	10	Los Monegros	04	Resto de África	239	Senegal	Hombres	4
1998	10	Los Monegros	04	Resto de África	242	Somalia	Hombres	1
1998	10	Los Monegros	05	América del Norte	302	Estados Unidos de América	Hombres	2
1998	10	Los Monegros	05	América del Norte	302	Estados Unidos de América	Mujeres	5
1998	10	Los Monegros	06	Resto de América	303	México	Hombres	1
1998	10	Los Monegros	06	Resto de América	303	México	Mujeres	2
1998	10	Los Monegros	06	Resto de América	315	Cuba	Hombres	2
1998	10	Los Monegros	06	Resto de América	315	Cuba	Mujeres	6
1998	10	Los Monegros	06	Resto de América	319	Guatemala	Hombres	2
1998	10	Los Monegros	06	Resto de América	319	Guatemala	Mujeres	2
1998	10	Los Monegros	06	Resto de América	321	Honduras	Mujeres	1
1998	10	Los Monegros	06	Resto de América	326	República Dominicana	Hombres	1
1998	10	Los Monegros	06	Resto de América	326	República Dominicana	Mujeres	8
1998	10	Los Monegros	06	Resto de América	340	Argentina	Hombres	2
1998	10	Los Monegros	06	Resto de América	340	Argentina	Mujeres	5
1998	10	Los Monegros	06	Resto de América	342	Brasil	Hombres	1
1998	10	Los Monegros	06	Resto de América	342	Brasil	Mujeres	2
1998	10	Los Monegros	06	Resto de América	351	Venezuela	Hombres	1
1998	10	Los Monegros	06	Resto de América	351	Venezuela	Mujeres	1
1998	10	Los Monegros	07	Asia	409	Filipinas	Hombres	1
1998	11	Bajo Cinca / Baix Cinca	01	UE-15	102	Austria	Mujeres	1
1998	11	Bajo Cinca / Baix Cinca	01	UE-15	110	Francia	Hombres	1
1998	11	Bajo Cinca / Baix Cinca	01	UE-15	110	Francia	Mujeres	3
1998	11	Bajo Cinca / Baix Cinca	01	UE-15	115	Italia	Hombres	1
1998	11	Bajo Cinca / Baix Cinca	01	UE-15	121	Países Bajos	Hombres	1
1998	11	Bajo Cinca / Baix Cinca	01	UE-15	121	Países Bajos	Mujeres	1
1998	11	Bajo Cinca / Baix Cinca	01	UE-15	123	Portugal	Hombres	1
1998	11	Bajo Cinca / Baix Cinca	01	UE-15	126	Alemania	Mujeres	1
1998	11	Bajo Cinca / Baix Cinca	02	Resto de Europa	114	Islandia	Mujeres	1
1998	11	Bajo Cinca / Baix Cinca	03	Magreb	203	Argelia	Hombres	2
