Año	Residencia provincia código	Residencia provincia nombre	Relación lugar de residencia y nacimiento	Nacimiento CCAA código	Nacimiento CCAA nombre	Edad (grandes grupos)	Sexo	Personas
1998	44	Teruel	2- Nacidos en otra CA	07	Castilla y León	0 a 15	Mujeres	31
1998	44	Teruel	2- Nacidos en otra CA	07	Castilla y León	16 a 64	Hombres	423
1998	44	Teruel	2- Nacidos en otra CA	07	Castilla y León	16 a 64	Mujeres	391
1998	44	Teruel	2- Nacidos en otra CA	07	Castilla y León	65 y más	Hombres	119
1998	44	Teruel	2- Nacidos en otra CA	07	Castilla y León	65 y más	Mujeres	143
1998	44	Teruel	2- Nacidos en otra CA	08	Castilla-La Mancha	0 a 15	Hombres	35
1998	44	Teruel	2- Nacidos en otra CA	08	Castilla-La Mancha	0 a 15	Mujeres	28
1998	44	Teruel	2- Nacidos en otra CA	08	Castilla-La Mancha	16 a 64	Hombres	686
1998	44	Teruel	2- Nacidos en otra CA	08	Castilla-La Mancha	16 a 64	Mujeres	660
1998	44	Teruel	2- Nacidos en otra CA	08	Castilla-La Mancha	65 y más	Hombres	237
1998	44	Teruel	2- Nacidos en otra CA	08	Castilla-La Mancha	65 y más	Mujeres	308
1998	44	Teruel	2- Nacidos en otra CA	09	Cataluña	0 a 15	Hombres	237
1998	44	Teruel	2- Nacidos en otra CA	09	Cataluña	0 a 15	Mujeres	240
1998	44	Teruel	2- Nacidos en otra CA	09	Cataluña	16 a 64	Hombres	1348
1998	44	Teruel	2- Nacidos en otra CA	09	Cataluña	16 a 64	Mujeres	1414
1998	44	Teruel	2- Nacidos en otra CA	09	Cataluña	65 y más	Hombres	191
1998	44	Teruel	2- Nacidos en otra CA	09	Cataluña	65 y más	Mujeres	253
1998	44	Teruel	2- Nacidos en otra CA	10	Comunitat Valenciana	0 a 15	Hombres	204
1998	44	Teruel	2- Nacidos en otra CA	10	Comunitat Valenciana	0 a 15	Mujeres	184
1998	44	Teruel	2- Nacidos en otra CA	10	Comunitat Valenciana	16 a 64	Hombres	1233
1998	44	Teruel	2- Nacidos en otra CA	10	Comunitat Valenciana	16 a 64	Mujeres	1224
1998	44	Teruel	2- Nacidos en otra CA	10	Comunitat Valenciana	65 y más	Hombres	378
1998	44	Teruel	2- Nacidos en otra CA	10	Comunitat Valenciana	65 y más	Mujeres	423
1998	44	Teruel	2- Nacidos en otra CA	11	Extremadura	0 a 15	Hombres	10
1998	44	Teruel	2- Nacidos en otra CA	11	Extremadura	0 a 15	Mujeres	8
1998	44	Teruel	2- Nacidos en otra CA	11	Extremadura	16 a 64	Hombres	217
1998	44	Teruel	2- Nacidos en otra CA	11	Extremadura	16 a 64	Mujeres	150
1998	44	Teruel	2- Nacidos en otra CA	11	Extremadura	65 y más	Hombres	51
1998	44	Teruel	2- Nacidos en otra CA	11	Extremadura	65 y más	Mujeres	58
1998	44	Teruel	2- Nacidos en otra CA	12	Galicia	0 a 15	Hombres	15
1998	44	Teruel	2- Nacidos en otra CA	12	Galicia	0 a 15	Mujeres	12
1998	44	Teruel	2- Nacidos en otra CA	12	Galicia	16 a 64	Hombres	164
1998	44	Teruel	2- Nacidos en otra CA	12	Galicia	16 a 64	Mujeres	106
1998	44	Teruel	2- Nacidos en otra CA	12	Galicia	65 y más	Hombres	28
1998	44	Teruel	2- Nacidos en otra CA	12	Galicia	65 y más	Mujeres	44
1998	44	Teruel	2- Nacidos en otra CA	13	Madrid (Comunidad de)	0 a 15	Hombres	35
1998	44	Teruel	2- Nacidos en otra CA	13	Madrid (Comunidad de)	0 a 15	Mujeres	32
1998	44	Teruel	2- Nacidos en otra CA	13	Madrid (Comunidad de)	16 a 64	Hombres	275
1998	44	Teruel	2- Nacidos en otra CA	13	Madrid (Comunidad de)	16 a 64	Mujeres	268
1998	44	Teruel	2- Nacidos en otra CA	13	Madrid (Comunidad de)	65 y más	Hombres	50
1998	44	Teruel	2- Nacidos en otra CA	13	Madrid (Comunidad de)	65 y más	Mujeres	50
1998	44	Teruel	2- Nacidos en otra CA	14	Murcia (Región de)	0 a 15	Hombres	10
1998	44	Teruel	2- Nacidos en otra CA	14	Murcia (Región de)	0 a 15	Mujeres	8
1998	44	Teruel	2- Nacidos en otra CA	14	Murcia (Región de)	16 a 64	Hombres	102
1998	44	Teruel	2- Nacidos en otra CA	14	Murcia (Región de)	16 a 64	Mujeres	74
1998	44	Teruel	2- Nacidos en otra CA	14	Murcia (Región de)	65 y más	Hombres	23
1998	44	Teruel	2- Nacidos en otra CA	14	Murcia (Región de)	65 y más	Mujeres	18
1998	44	Teruel	2- Nacidos en otra CA	15	Navarra (Comunidad Foral de)	0 a 15	Hombres	9
1998	44	Teruel	2- Nacidos en otra CA	15	Navarra (Comunidad Foral de)	0 a 15	Mujeres	5
1998	44	Teruel	2- Nacidos en otra CA	15	Navarra (Comunidad Foral de)	16 a 64	Hombres	46
1998	44	Teruel	2- Nacidos en otra CA	15	Navarra (Comunidad Foral de)	16 a 64	Mujeres	74
1998	44	Teruel	2- Nacidos en otra CA	15	Navarra (Comunidad Foral de)	65 y más	Hombres	16
1998	44	Teruel	2- Nacidos en otra CA	15	Navarra (Comunidad Foral de)	65 y más	Mujeres	38
1998	44	Teruel	2- Nacidos en otra CA	16	País Vasco	0 a 15	Hombres	6
1998	44	Teruel	2- Nacidos en otra CA	16	País Vasco	0 a 15	Mujeres	17
1998	44	Teruel	2- Nacidos en otra CA	16	País Vasco	16 a 64	Hombres	79
1998	44	Teruel	2- Nacidos en otra CA	16	País Vasco	16 a 64	Mujeres	89
1998	44	Teruel	2- Nacidos en otra CA	16	País Vasco	65 y más	Hombres	7
1998	44	Teruel	2- Nacidos en otra CA	16	País Vasco	65 y más	Mujeres	23
1998	44	Teruel	2- Nacidos en otra CA	17	Rioja (La)	0 a 15	Hombres	4
1998	44	Teruel	2- Nacidos en otra CA	17	Rioja (La)	0 a 15	Mujeres	4
1998	44	Teruel	2- Nacidos en otra CA	17	Rioja (La)	16 a 64	Hombres	34
1998	44	Teruel	2- Nacidos en otra CA	17	Rioja (La)	16 a 64	Mujeres	45
1998	44	Teruel	2- Nacidos en otra CA	17	Rioja (La)	65 y más	Hombres	8
1998	44	Teruel	2- Nacidos en otra CA	17	Rioja (La)	65 y más	Mujeres	16
1998	44	Teruel	2- Nacidos en otra CA	18	Ciudad Autónoma de Ceuta	16 a 64	Hombres	6
1998	44	Teruel	2- Nacidos en otra CA	18	Ciudad Autónoma de Ceuta	16 a 64	Mujeres	7
1998	44	Teruel	2- Nacidos en otra CA	18	Ciudad Autónoma de Ceuta	65 y más	Hombres	1
1998	44	Teruel	2- Nacidos en otra CA	18	Ciudad Autónoma de Ceuta	65 y más	Mujeres	1
1998	44	Teruel	2- Nacidos en otra CA	19	Ciudad Autónoma de Melilla	0 a 15	Hombres	2
1998	44	Teruel	2- Nacidos en otra CA	19	Ciudad Autónoma de Melilla	0 a 15	Mujeres	2
1998	44	Teruel	2- Nacidos en otra CA	19	Ciudad Autónoma de Melilla	16 a 64	Hombres	17
1998	44	Teruel	2- Nacidos en otra CA	19	Ciudad Autónoma de Melilla	16 a 64	Mujeres	6
1998	44	Teruel	2- Nacidos en otra CA	19	Ciudad Autónoma de Melilla	65 y más	Hombres	1
1998	44	Teruel	2- Nacidos en otra CA	19	Ciudad Autónoma de Melilla	65 y más	Mujeres	1
1998	44	Teruel	3- Nacidos en el extranjero	00	No aplicable	0 a 15	Hombres	64
1998	44	Teruel	3- Nacidos en el extranjero	00	No aplicable	0 a 15	Mujeres	63
1998	44	Teruel	3- Nacidos en el extranjero	00	No aplicable	16 a 64	Hombres	480
1998	44	Teruel	3- Nacidos en el extranjero	00	No aplicable	16 a 64	Mujeres	451
1998	44	Teruel	3- Nacidos en el extranjero	00	No aplicable	65 y más	Hombres	52
1998	44	Teruel	3- Nacidos en el extranjero	00	No aplicable	65 y más	Mujeres	56
1998	50	Zaragoza	1- Nacidos en Aragón	02	Aragón	0 a 15	Hombres	55803
1998	50	Zaragoza	1- Nacidos en Aragón	02	Aragón	0 a 15	Mujeres	53310
1998	50	Zaragoza	1- Nacidos en Aragón	02	Aragón	16 a 64	Hombres	220997
1998	50	Zaragoza	1- Nacidos en Aragón	02	Aragón	16 a 64	Mujeres	216723
1998	50	Zaragoza	1- Nacidos en Aragón	02	Aragón	65 y más	Hombres	52544
1998	50	Zaragoza	1- Nacidos en Aragón	02	Aragón	65 y más	Mujeres	71174
1998	50	Zaragoza	2- Nacidos en otra CA	01	Andalucía	0 a 15	Hombres	301
1998	50	Zaragoza	2- Nacidos en otra CA	01	Andalucía	0 a 15	Mujeres	274
1998	50	Zaragoza	2- Nacidos en otra CA	01	Andalucía	16 a 64	Hombres	6914
1998	50	Zaragoza	2- Nacidos en otra CA	01	Andalucía	16 a 64	Mujeres	6848
1998	50	Zaragoza	2- Nacidos en otra CA	01	Andalucía	65 y más	Hombres	1672
1998	50	Zaragoza	2- Nacidos en otra CA	01	Andalucía	65 y más	Mujeres	2154
1998	50	Zaragoza	2- Nacidos en otra CA	03	Asturias (Principado de)	0 a 15	Hombres	46
1998	50	Zaragoza	2- Nacidos en otra CA	03	Asturias (Principado de)	0 a 15	Mujeres	48
1998	50	Zaragoza	2- Nacidos en otra CA	03	Asturias (Principado de)	16 a 64	Hombres	684
1998	50	Zaragoza	2- Nacidos en otra CA	03	Asturias (Principado de)	16 a 64	Mujeres	649
1998	50	Zaragoza	2- Nacidos en otra CA	03	Asturias (Principado de)	65 y más	Hombres	150
1998	50	Zaragoza	2- Nacidos en otra CA	03	Asturias (Principado de)	65 y más	Mujeres	232
1998	50	Zaragoza	2- Nacidos en otra CA	04	Balears (Illes)	0 a 15	Hombres	53
1998	50	Zaragoza	2- Nacidos en otra CA	04	Balears (Illes)	0 a 15	Mujeres	53
1998	50	Zaragoza	2- Nacidos en otra CA	04	Balears (Illes)	16 a 64	Hombres	227
1998	50	Zaragoza	2- Nacidos en otra CA	04	Balears (Illes)	16 a 64	Mujeres	228
1998	50	Zaragoza	2- Nacidos en otra CA	04	Balears (Illes)	65 y más	Hombres	29
1998	50	Zaragoza	2- Nacidos en otra CA	04	Balears (Illes)	65 y más	Mujeres	48
1998	50	Zaragoza	2- Nacidos en otra CA	05	Canarias	0 a 15	Hombres	67
1998	50	Zaragoza	2- Nacidos en otra CA	05	Canarias	0 a 15	Mujeres	65
1998	50	Zaragoza	2- Nacidos en otra CA	05	Canarias	16 a 64	Hombres	280
1998	50	Zaragoza	2- Nacidos en otra CA	05	Canarias	16 a 64	Mujeres	351
1998	50	Zaragoza	2- Nacidos en otra CA	05	Canarias	65 y más	Hombres	28
1998	50	Zaragoza	2- Nacidos en otra CA	05	Canarias	65 y más	Mujeres	53
1998	50	Zaragoza	2- Nacidos en otra CA	06	Cantabria	0 a 15	Hombres	45
1998	50	Zaragoza	2- Nacidos en otra CA	06	Cantabria	0 a 15	Mujeres	49
1998	50	Zaragoza	2- Nacidos en otra CA	06	Cantabria	16 a 64	Hombres	527
1998	50	Zaragoza	2- Nacidos en otra CA	06	Cantabria	16 a 64	Mujeres	606
1998	50	Zaragoza	2- Nacidos en otra CA	06	Cantabria	65 y más	Hombres	162
1998	50	Zaragoza	2- Nacidos en otra CA	06	Cantabria	65 y más	Mujeres	300
1998	50	Zaragoza	2- Nacidos en otra CA	07	Castilla y León	0 a 15	Hombres	322
1998	50	Zaragoza	2- Nacidos en otra CA	07	Castilla y León	0 a 15	Mujeres	302
1998	50	Zaragoza	2- Nacidos en otra CA	07	Castilla y León	16 a 64	Hombres	11553
1998	50	Zaragoza	2- Nacidos en otra CA	07	Castilla y León	16 a 64	Mujeres	12182
1998	50	Zaragoza	2- Nacidos en otra CA	07	Castilla y León	65 y más	Hombres	4295
1998	50	Zaragoza	2- Nacidos en otra CA	07	Castilla y León	65 y más	Mujeres	5900
1998	50	Zaragoza	2- Nacidos en otra CA	08	Castilla-La Mancha	0 a 15	Hombres	129
1998	50	Zaragoza	2- Nacidos en otra CA	08	Castilla-La Mancha	0 a 15	Mujeres	116
1998	50	Zaragoza	2- Nacidos en otra CA	08	Castilla-La Mancha	16 a 64	Hombres	4532
1998	50	Zaragoza	2- Nacidos en otra CA	08	Castilla-La Mancha	16 a 64	Mujeres	4656
1998	50	Zaragoza	2- Nacidos en otra CA	08	Castilla-La Mancha	65 y más	Hombres	1878
1998	50	Zaragoza	2- Nacidos en otra CA	08	Castilla-La Mancha	65 y más	Mujeres	2367
1998	50	Zaragoza	2- Nacidos en otra CA	09	Cataluña	0 a 15	Hombres	786
1998	50	Zaragoza	2- Nacidos en otra CA	09	Cataluña	0 a 15	Mujeres	749
1998	50	Zaragoza	2- Nacidos en otra CA	09	Cataluña	16 a 64	Hombres	5602
1998	50	Zaragoza	2- Nacidos en otra CA	09	Cataluña	16 a 64	Mujeres	5885
1998	50	Zaragoza	2- Nacidos en otra CA	09	Cataluña	65 y más	Hombres	853
1998	50	Zaragoza	2- Nacidos en otra CA	09	Cataluña	65 y más	Mujeres	1258
