Municipio código	Municipio nombre	Corine Land Cover 2000 nivel 2 descripción	Superficie (has)	Año
22004	Agüero	Tierras de labor	323,283357	2000
22004	Agüero	Tierras de labor	324,509805	2006
22004	Agüero	Zonas agrícolas heterogéneas	369,207545	2000
22004	Agüero	Zonas agrícolas heterogéneas	374,711606	2006
22004	Agüero	Zonas de extracción minera, vertederos y de construcción	0	2000
22004	Agüero	Zonas de extracción minera, vertederos y de construcción	0	2006
22004	Agüero	Zonas húmedas continentales	0	2000
22004	Agüero	Zonas húmedas continentales	0	2006
22004	Agüero	Zonas industriales, comerciales y de transportes	0	2000
22004	Agüero	Zonas industriales, comerciales y de transportes	0	2006
22004	Agüero	Zonas Urbanas	7,556406	2000
22004	Agüero	Zonas Urbanas	0	2006
22004	Agüero	Zonas verdes artificiales, no agrícolas	0	2000
22004	Agüero	Zonas verdes artificiales, no agrícolas	0	2006
22006	Aísa	Aguas continentales	0	2000
22006	Aísa	Aguas continentales	0	2006
22006	Aísa	Bosques	3188,088289	2000
22006	Aísa	Bosques	3185,428915	2006
22006	Aísa	Cultivos permanentes	0	2000
22006	Aísa	Cultivos permanentes	0	2006
22006	Aísa	Espacios abiertos con poca o sin vegetación	1937,676184	2000
22006	Aísa	Espacios abiertos con poca o sin vegetación	1935,866583	2006
22006	Aísa	Espacios de vegetación arbustiva y/o herbácea	2541,376721	2000
22006	Aísa	Espacios de vegetación arbustiva y/o herbácea	2542,927116	2006
22006	Aísa	Prados y praderas	215,455902	2000
22006	Aísa	Prados y praderas	219,803808	2006
22006	Aísa	Tierras de labor	45,314429	2000
22006	Aísa	Tierras de labor	47,92383	2006
22006	Aísa	Zonas agrícolas heterogéneas	131,827741	2000
22006	Aísa	Zonas agrícolas heterogéneas	133,569998	2006
22006	Aísa	Zonas de extracción minera, vertederos y de construcción	0	2000
22006	Aísa	Zonas de extracción minera, vertederos y de construcción	0	2006
22006	Aísa	Zonas húmedas continentales	0	2000
22006	Aísa	Zonas húmedas continentales	0	2006
22006	Aísa	Zonas industriales, comerciales y de transportes	0	2000
22006	Aísa	Zonas industriales, comerciales y de transportes	0	2006
22006	Aísa	Zonas Urbanas	41,102601	2000
22006	Aísa	Zonas Urbanas	32,412303	2006
22006	Aísa	Zonas verdes artificiales, no agrícolas	0	2000
22006	Aísa	Zonas verdes artificiales, no agrícolas	0	2006
22007	Albalate de Cinca	Aguas continentales	14,028573	2000
22007	Albalate de Cinca	Aguas continentales	0	2006
22007	Albalate de Cinca	Bosques	261,628881	2000
22007	Albalate de Cinca	Bosques	259,863815	2006
22007	Albalate de Cinca	Cultivos permanentes	110,432017	2000
22007	Albalate de Cinca	Cultivos permanentes	112,627714	2006
22007	Albalate de Cinca	Espacios abiertos con poca o sin vegetación	0	2000
22007	Albalate de Cinca	Espacios abiertos con poca o sin vegetación	0	2006
22007	Albalate de Cinca	Espacios de vegetación arbustiva y/o herbácea	352,60432	2000
22007	Albalate de Cinca	Espacios de vegetación arbustiva y/o herbácea	352,494304	2006
22007	Albalate de Cinca	Prados y praderas	0	2000
22007	Albalate de Cinca	Prados y praderas	0	2006
22007	Albalate de Cinca	Tierras de labor	2740,08363	2000
22007	Albalate de Cinca	Tierras de labor	2517,620357	2006
22007	Albalate de Cinca	Zonas agrícolas heterogéneas	888,647001	2000
22007	Albalate de Cinca	Zonas agrícolas heterogéneas	1125,329141	2006
22007	Albalate de Cinca	Zonas de extracción minera, vertederos y de construcción	0	2000
22007	Albalate de Cinca	Zonas de extracción minera, vertederos y de construcción	0	2006
22007	Albalate de Cinca	Zonas húmedas continentales	0	2000
22007	Albalate de Cinca	Zonas húmedas continentales	0	2006
22007	Albalate de Cinca	Zonas industriales, comerciales y de transportes	0	2000
22007	Albalate de Cinca	Zonas industriales, comerciales y de transportes	0	2006
22007	Albalate de Cinca	Zonas Urbanas	59,271108	2000
22007	Albalate de Cinca	Zonas Urbanas	59,271597	2006
22007	Albalate de Cinca	Zonas verdes artificiales, no agrícolas	0	2000
22007	Albalate de Cinca	Zonas verdes artificiales, no agrícolas	0	2006
22008	Albalatillo	Aguas continentales	0	2000
22008	Albalatillo	Aguas continentales	0	2006
22008	Albalatillo	Bosques	47,315409	2000
22008	Albalatillo	Bosques	47,2614	2006
22008	Albalatillo	Cultivos permanentes	0	2000
22008	Albalatillo	Cultivos permanentes	0	2006
22008	Albalatillo	Espacios abiertos con poca o sin vegetación	0	2000
22008	Albalatillo	Espacios abiertos con poca o sin vegetación	0	2006
22008	Albalatillo	Espacios de vegetación arbustiva y/o herbácea	261,347325	2000
22008	Albalatillo	Espacios de vegetación arbustiva y/o herbácea	263,744876	2006
22008	Albalatillo	Prados y praderas	0	2000
22008	Albalatillo	Prados y praderas	0	2006
22008	Albalatillo	Tierras de labor	580,060104	2000
22008	Albalatillo	Tierras de labor	604,350974	2006
22008	Albalatillo	Zonas agrícolas heterogéneas	0	2000
22008	Albalatillo	Zonas agrícolas heterogéneas	0	2006
22008	Albalatillo	Zonas de extracción minera, vertederos y de construcción	0	2000
22008	Albalatillo	Zonas de extracción minera, vertederos y de construcción	0	2006
22008	Albalatillo	Zonas húmedas continentales	0	2000
22008	Albalatillo	Zonas húmedas continentales	0	2006
22008	Albalatillo	Zonas industriales, comerciales y de transportes	6,585855	2000
22008	Albalatillo	Zonas industriales, comerciales y de transportes	0	2006
22008	Albalatillo	Zonas Urbanas	14,112785	2000
22008	Albalatillo	Zonas Urbanas	0	2006
22008	Albalatillo	Zonas verdes artificiales, no agrícolas	0	2000
22008	Albalatillo	Zonas verdes artificiales, no agrícolas	0	2006
22009	Albelda	Aguas continentales	5,540974	2000
22009	Albelda	Aguas continentales	0	2006
22009	Albelda	Bosques	62,99885	2000
22009	Albelda	Bosques	63,235226	2006
22009	Albelda	Cultivos permanentes	563,300768	2000
22009	Albelda	Cultivos permanentes	562,053198	2006
22009	Albelda	Espacios abiertos con poca o sin vegetación	0	2000
22009	Albelda	Espacios abiertos con poca o sin vegetación	0	2006
22009	Albelda	Espacios de vegetación arbustiva y/o herbácea	912,170375	2000
22009	Albelda	Espacios de vegetación arbustiva y/o herbácea	913,385758	2006
22009	Albelda	Prados y praderas	0	2000
22009	Albelda	Prados y praderas	0	2006
22009	Albelda	Tierras de labor	2239,439673	2000
22009	Albelda	Tierras de labor	2226,356601	2006
22009	Albelda	Zonas agrícolas heterogéneas	1388,321864	2000
22009	Albelda	Zonas agrícolas heterogéneas	1433,14362	2006
22009	Albelda	Zonas de extracción minera, vertederos y de construcción	0	2000
22009	Albelda	Zonas de extracción minera, vertederos y de construcción	0	2006
22009	Albelda	Zonas húmedas continentales	0	2000
22009	Albelda	Zonas húmedas continentales	0	2006
22009	Albelda	Zonas industriales, comerciales y de transportes	1,684913	2000
22009	Albelda	Zonas industriales, comerciales y de transportes	0	2006
22009	Albelda	Zonas Urbanas	18,426675	2000
22009	Albelda	Zonas Urbanas	0	2006
22009	Albelda	Zonas verdes artificiales, no agrícolas	0	2000
22009	Albelda	Zonas verdes artificiales, no agrícolas	0	2006
22011	Albero Alto	Aguas continentales	0	2000
22011	Albero Alto	Aguas continentales	0	2006
22011	Albero Alto	Bosques	53,0672	2000
22011	Albero Alto	Bosques	53,063363	2006
22011	Albero Alto	Cultivos permanentes	0	2000
22011	Albero Alto	Cultivos permanentes	0	2006
22011	Albero Alto	Espacios abiertos con poca o sin vegetación	0	2000
22011	Albero Alto	Espacios abiertos con poca o sin vegetación	0	2006
22011	Albero Alto	Espacios de vegetación arbustiva y/o herbácea	146,404311	2000
22011	Albero Alto	Espacios de vegetación arbustiva y/o herbácea	146,344443	2006
22011	Albero Alto	Prados y praderas	0	2000
22011	Albero Alto	Prados y praderas	0	2006
22011	Albero Alto	Tierras de labor	1669,287394	2000
22011	Albero Alto	Tierras de labor	1678,087068	2006
22011	Albero Alto	Zonas agrícolas heterogéneas	50,970808	2000
22011	Albero Alto	Zonas agrícolas heterogéneas	51,096652	2006
22011	Albero Alto	Zonas de extracción minera, vertederos y de construcción	0	2000
22011	Albero Alto	Zonas de extracción minera, vertederos y de construcción	0	2006
22011	Albero Alto	Zonas húmedas continentales	0	2000
22011	Albero Alto	Zonas húmedas continentales	0	2006
22011	Albero Alto	Zonas industriales, comerciales y de transportes	0	2000
22011	Albero Alto	Zonas industriales, comerciales y de transportes	0	2006
22011	Albero Alto	Zonas Urbanas	8,388462	2000
22011	Albero Alto	Zonas Urbanas	0	2006
22011	Albero Alto	Zonas verdes artificiales, no agrícolas	0	2000
22011	Albero Alto	Zonas verdes artificiales, no agrícolas	0	2006
22012	Albero Bajo	Aguas continentales	0	2000
22012	Albero Bajo	Aguas continentales	0	2006
22012	Albero Bajo	Bosques	21,725363	2000
22012	Albero Bajo	Bosques	21,814564	2006
22012	Albero Bajo	Cultivos permanentes	0	2000
22012	Albero Bajo	Cultivos permanentes	0	2006
22012	Albero Bajo	Espacios abiertos con poca o sin vegetación	0	2000
22012	Albero Bajo	Espacios abiertos con poca o sin vegetación	0	2006
22012	Albero Bajo	Espacios de vegetación arbustiva y/o herbácea	15,828466	2000
22012	Albero Bajo	Espacios de vegetación arbustiva y/o herbácea	15,786131	2006
22012	Albero Bajo	Prados y praderas	0	2000
22012	Albero Bajo	Prados y praderas	0	2006
22012	Albero Bajo	Tierras de labor	2086,480635	2000
22012	Albero Bajo	Tierras de labor	2094,308977	2006
22012	Albero Bajo	Zonas agrícolas heterogéneas	90,396048	2000
22012	Albero Bajo	Zonas agrícolas heterogéneas	90,940428	2006
22012	Albero Bajo	Zonas de extracción minera, vertederos y de construcción	0	2000
22012	Albero Bajo	Zonas de extracción minera, vertederos y de construcción	0	2006
22012	Albero Bajo	Zonas húmedas continentales	0	2000
22012	Albero Bajo	Zonas húmedas continentales	0	2006
22012	Albero Bajo	Zonas industriales, comerciales y de transportes	0	2000
22012	Albero Bajo	Zonas industriales, comerciales y de transportes	0	2006
22012	Albero Bajo	Zonas Urbanas	8,957491	2000
22012	Albero Bajo	Zonas Urbanas	0	2006
22012	Albero Bajo	Zonas verdes artificiales, no agrícolas	0	2000
22012	Albero Bajo	Zonas verdes artificiales, no agrícolas	0	2006
22013	Alberuela de Tubo	Aguas continentales	0	2000
22013	Alberuela de Tubo	Aguas continentales	0	2006
22013	Alberuela de Tubo	Bosques	49,993431	2000
22013	Alberuela de Tubo	Bosques	49,992738	2006
22013	Alberuela de Tubo	Cultivos permanentes	0	2000
22013	Alberuela de Tubo	Cultivos permanentes	0	2006
22013	Alberuela de Tubo	Espacios abiertos con poca o sin vegetación	0	2000
22013	Alberuela de Tubo	Espacios abiertos con poca o sin vegetación	0	2006
22013	Alberuela de Tubo	Espacios de vegetación arbustiva y/o herbácea	287,754258	2000
22013	Alberuela de Tubo	Espacios de vegetación arbustiva y/o herbácea	287,141957	2006
22013	Alberuela de Tubo	Prados y praderas	0	2000
22013	Alberuela de Tubo	Prados y praderas	0	2006
22013	Alberuela de Tubo	Tierras de labor	1729,336855	2000
22013	Alberuela de Tubo	Tierras de labor	1742,955028	2006
22013	Alberuela de Tubo	Zonas agrícolas heterogéneas	0	2000
22013	Alberuela de Tubo	Zonas agrícolas heterogéneas	0	2006
22013	Alberuela de Tubo	Zonas de extracción minera, vertederos y de construcción	0	2000
22013	Alberuela de Tubo	Zonas de extracción minera, vertederos y de construcción	0	2006
22013	Alberuela de Tubo	Zonas húmedas continentales	0	2000
22013	Alberuela de Tubo	Zonas húmedas continentales	0	2006
22013	Alberuela de Tubo	Zonas industriales, comerciales y de transportes	0	2000
22013	Alberuela de Tubo	Zonas industriales, comerciales y de transportes	0	2006
22013	Alberuela de Tubo	Zonas Urbanas	16,425004	2000
22013	Alberuela de Tubo	Zonas Urbanas	0	2006
22013	Alberuela de Tubo	Zonas verdes artificiales, no agrícolas	0	2000
22013	Alberuela de Tubo	Zonas verdes artificiales, no agrícolas	0	2006
22014	Alcalá de Gurrea	Aguas continentales	1022,276159	2000
22014	Alcalá de Gurrea	Aguas continentales	1023,470949	2006
22014	Alcalá de Gurrea	Bosques	112,322974	2000
22014	Alcalá de Gurrea	Bosques	112,192673	2006
22014	Alcalá de Gurrea	Cultivos permanentes	0	2000
22014	Alcalá de Gurrea	Cultivos permanentes	0	2006
22014	Alcalá de Gurrea	Espacios abiertos con poca o sin vegetación	58,337862	2000
22014	Alcalá de Gurrea	Espacios abiertos con poca o sin vegetación	0	2006
22014	Alcalá de Gurrea	Espacios de vegetación arbustiva y/o herbácea	748,992258	2000
22014	Alcalá de Gurrea	Espacios de vegetación arbustiva y/o herbácea	746,672367	2006
22014	Alcalá de Gurrea	Prados y praderas	0	2000
22014	Alcalá de Gurrea	Prados y praderas	0	2006
22014	Alcalá de Gurrea	Tierras de labor	4504,093581	2000
22014	Alcalá de Gurrea	Tierras de labor	4561,505594	2006
22014	Alcalá de Gurrea	Zonas agrícolas heterogéneas	653,562986	2000
22014	Alcalá de Gurrea	Zonas agrícolas heterogéneas	685,629463	2006
22014	Alcalá de Gurrea	Zonas de extracción minera, vertederos y de construcción	0	2000
22014	Alcalá de Gurrea	Zonas de extracción minera, vertederos y de construcción	0	2006
22014	Alcalá de Gurrea	Zonas húmedas continentales	13,342007	2000
22014	Alcalá de Gurrea	Zonas húmedas continentales	13,375827	2006
22014	Alcalá de Gurrea	Zonas industriales, comerciales y de transportes	4,496683	2000
22014	Alcalá de Gurrea	Zonas industriales, comerciales y de transportes	0	2006
22014	Alcalá de Gurrea	Zonas Urbanas	19,445706	2000
22014	Alcalá de Gurrea	Zonas Urbanas	0	2006
22014	Alcalá de Gurrea	Zonas verdes artificiales, no agrícolas	0	2000
22014	Alcalá de Gurrea	Zonas verdes artificiales, no agrícolas	0	2006
22015	Alcalá del Obispo	Aguas continentales	0	2000
22015	Alcalá del Obispo	Aguas continentales	0	2006
22015	Alcalá del Obispo	Bosques	256,950179	2000
22015	Alcalá del Obispo	Bosques	219,127656	2006
22015	Alcalá del Obispo	Cultivos permanentes	0	2000
22015	Alcalá del Obispo	Cultivos permanentes	0	2006
22015	Alcalá del Obispo	Espacios abiertos con poca o sin vegetación	0	2000
22015	Alcalá del Obispo	Espacios abiertos con poca o sin vegetación	0	2006
22015	Alcalá del Obispo	Espacios de vegetación arbustiva y/o herbácea	75,037441	2000
22015	Alcalá del Obispo	Espacios de vegetación arbustiva y/o herbácea	71,319673	2006
22015	Alcalá del Obispo	Prados y praderas	0	2000
22015	Alcalá del Obispo	Prados y praderas	0	2006
22015	Alcalá del Obispo	Tierras de labor	4138,319598	2000
22015	Alcalá del Obispo	Tierras de labor	4085,237051	2006
22015	Alcalá del Obispo	Zonas agrícolas heterogéneas	292,315517	2000
22015	Alcalá del Obispo	Zonas agrícolas heterogéneas	292,132431	2006
22015	Alcalá del Obispo	Zonas de extracción minera, vertederos y de construcción	0	2000
22015	Alcalá del Obispo	Zonas de extracción minera, vertederos y de construcción	0	2006
22015	Alcalá del Obispo	Zonas húmedas continentales	0	2000
22015	Alcalá del Obispo	Zonas húmedas continentales	0	2006
22015	Alcalá del Obispo	Zonas industriales, comerciales y de transportes	3,880086	2000
22015	Alcalá del Obispo	Zonas industriales, comerciales y de transportes	119,086773	2006
22015	Alcalá del Obispo	Zonas Urbanas	25,763285	2000
22015	Alcalá del Obispo	Zonas Urbanas	0	2006
22015	Alcalá del Obispo	Zonas verdes artificiales, no agrícolas	0	2000
22015	Alcalá del Obispo	Zonas verdes artificiales, no agrícolas	0	2006
22016	Alcampell	Aguas continentales	0	2000
22016	Alcampell	Aguas continentales	0	2006
22016	Alcampell	Bosques	834,215095	2000
22016	Alcampell	Bosques	832,646802	2006
22016	Alcampell	Cultivos permanentes	34,669426	2000
22016	Alcampell	Cultivos permanentes	36,266095	2006
22016	Alcampell	Espacios abiertos con poca o sin vegetación	0	2000
22016	Alcampell	Espacios abiertos con poca o sin vegetación	0	2006
22016	Alcampell	Espacios de vegetación arbustiva y/o herbácea	555,278102	2000
22016	Alcampell	Espacios de vegetación arbustiva y/o herbácea	552,149202	2006
22016	Alcampell	Prados y praderas	0	2000
22016	Alcampell	Prados y praderas	0	2006
22016	Alcampell	Tierras de labor	3084,71313	2000
22016	Alcampell	Tierras de labor	2196,74173	2006
22016	Alcampell	Zonas agrícolas heterogéneas	1284,029697	2000
22016	Alcampell	Zonas agrícolas heterogéneas	2189,341188	2006
22016	Alcampell	Zonas de extracción minera, vertederos y de construcción	0	2000
22016	Alcampell	Zonas de extracción minera, vertederos y de construcción	0	2006
22016	Alcampell	Zonas húmedas continentales	0	2000
22016	Alcampell	Zonas húmedas continentales	0	2006
22016	Alcampell	Zonas industriales, comerciales y de transportes	0	2000
22016	Alcampell	Zonas industriales, comerciales y de transportes	0	2006
22016	Alcampell	Zonas Urbanas	23,94315	2000
22016	Alcampell	Zonas Urbanas	0	2006
22016	Alcampell	Zonas verdes artificiales, no agrícolas	0	2000
22016	Alcampell	Zonas verdes artificiales, no agrícolas	0	2006
22017	Alcolea de Cinca	Aguas continentales	0	2000
22017	Alcolea de Cinca	Aguas continentales	0	2006
22017	Alcolea de Cinca	Bosques	376,783774	2000
22017	Alcolea de Cinca	Bosques	380,222925	2006
22017	Alcolea de Cinca	Cultivos permanentes	0	2000
22017	Alcolea de Cinca	Cultivos permanentes	25,168351	2006
22017	Alcolea de Cinca	Espacios abiertos con poca o sin vegetación	79,941838	2000
22017	Alcolea de Cinca	Espacios abiertos con poca o sin vegetación	79,942642	2006
22017	Alcolea de Cinca	Espacios de vegetación arbustiva y/o herbácea	1252,610433	2000
22017	Alcolea de Cinca	Espacios de vegetación arbustiva y/o herbácea	1235,908788	2006
22017	Alcolea de Cinca	Prados y praderas	0	2000
22017	Alcolea de Cinca	Prados y praderas	0	2006
22017	Alcolea de Cinca	Tierras de labor	6325,093326	2000
22017	Alcolea de Cinca	Tierras de labor	6299,976186	2006
22017	Alcolea de Cinca	Zonas agrícolas heterogéneas	205,557286	2000
22017	Alcolea de Cinca	Zonas agrícolas heterogéneas	258,572367	2006
22017	Alcolea de Cinca	Zonas de extracción minera, vertederos y de construcción	0	2000
22017	Alcolea de Cinca	Zonas de extracción minera, vertederos y de construcción	0	2006
22017	Alcolea de Cinca	Zonas húmedas continentales	0	2000
22017	Alcolea de Cinca	Zonas húmedas continentales	0	2006
22017	Alcolea de Cinca	Zonas industriales, comerciales y de transportes	66,032569	2000
22017	Alcolea de Cinca	Zonas industriales, comerciales y de transportes	0	2006
22017	Alcolea de Cinca	Zonas Urbanas	26,450662	2000
22017	Alcolea de Cinca	Zonas Urbanas	51,123138	2006
22017	Alcolea de Cinca	Zonas verdes artificiales, no agrícolas	0	2000
22017	Alcolea de Cinca	Zonas verdes artificiales, no agrícolas	0	2006
22018	Alcubierre	Aguas continentales	0	2000
22018	Alcubierre	Aguas continentales	0	2006
22018	Alcubierre	Bosques	2272,627615	2000
22018	Alcubierre	Bosques	2274,385046	2006
22018	Alcubierre	Cultivos permanentes	0	2000
22018	Alcubierre	Cultivos permanentes	0	2006
22018	Alcubierre	Espacios abiertos con poca o sin vegetación	43,447352	2000
22018	Alcubierre	Espacios abiertos con poca o sin vegetación	43,444834	2006
22018	Alcubierre	Espacios de vegetación arbustiva y/o herbácea	1809,885695	2000
22018	Alcubierre	Espacios de vegetación arbustiva y/o herbácea	1810,638255	2006
22018	Alcubierre	Prados y praderas	0	2000
22018	Alcubierre	Prados y praderas	0	2006
22018	Alcubierre	Tierras de labor	6483,002075	2000
22018	Alcubierre	Tierras de labor	6504,933818	2006
22018	Alcubierre	Zonas agrícolas heterogéneas	901,236362	2000
22018	Alcubierre	Zonas agrícolas heterogéneas	901,197836	2006
22018	Alcubierre	Zonas de extracción minera, vertederos y de construcción	0	2000
22018	Alcubierre	Zonas de extracción minera, vertederos y de construcción	0	2006
22018	Alcubierre	Zonas húmedas continentales	0	2000
22018	Alcubierre	Zonas húmedas continentales	0	2006
22018	Alcubierre	Zonas industriales, comerciales y de transportes	0	2000
22018	Alcubierre	Zonas industriales, comerciales y de transportes	0	2006
22018	Alcubierre	Zonas Urbanas	23,837858	2000
22018	Alcubierre	Zonas Urbanas	0	2006
22018	Alcubierre	Zonas verdes artificiales, no agrícolas	0	2000
22018	Alcubierre	Zonas verdes artificiales, no agrícolas	0	2006
22019	Alerre	Aguas continentales	0	2000
22019	Alerre	Aguas continentales	0	2006
22019	Alerre	Bosques	41,133558	2000
22019	Alerre	Bosques	40,408933	2006
22019	Alerre	Cultivos permanentes	0	2000
22019	Alerre	Cultivos permanentes	0	2006
22019	Alerre	Espacios abiertos con poca o sin vegetación	0	2000
22019	Alerre	Espacios abiertos con poca o sin vegetación	0	2006
22019	Alerre	Espacios de vegetación arbustiva y/o herbácea	37,315416	2000
22019	Alerre	Espacios de vegetación arbustiva y/o herbácea	37,315669	2006
22019	Alerre	Prados y praderas	0	2000
22019	Alerre	Prados y praderas	0	2006
22019	Alerre	Tierras de labor	709,583848	2000
22019	Alerre	Tierras de labor	722,717898	2006
22019	Alerre	Zonas agrícolas heterogéneas	95,077709	2000
22019	Alerre	Zonas agrícolas heterogéneas	93,983543	2006
22019	Alerre	Zonas de extracción minera, vertederos y de construcción	0	2000
22019	Alerre	Zonas de extracción minera, vertederos y de construcción	0	2006
22019	Alerre	Zonas húmedas continentales	0	2000
22019	Alerre	Zonas húmedas continentales	0	2006
22019	Alerre	Zonas industriales, comerciales y de transportes	0	2000
22019	Alerre	Zonas industriales, comerciales y de transportes	0	2006
22019	Alerre	Zonas Urbanas	13,474923	2000
22019	Alerre	Zonas Urbanas	0	2006
22019	Alerre	Zonas verdes artificiales, no agrícolas	0	2000
22019	Alerre	Zonas verdes artificiales, no agrícolas	0	2006
22020	Alfántega	Aguas continentales	0	2000
22020	Alfántega	Aguas continentales	0	2006
22020	Alfántega	Bosques	172,161231	2000
22020	Alfántega	Bosques	170,86902	2006
22020	Alfántega	Cultivos permanentes	0	2000
22020	Alfántega	Cultivos permanentes	0	2006
22020	Alfántega	Espacios abiertos con poca o sin vegetación	0	2000
22020	Alfántega	Espacios abiertos con poca o sin vegetación	0	2006
22020	Alfántega	Espacios de vegetación arbustiva y/o herbácea	162,103788	2000
22020	Alfántega	Espacios de vegetación arbustiva y/o herbácea	163,679937	2006
22020	Alfántega	Prados y praderas	0	2000
22020	Alfántega	Prados y praderas	0	2006
22020	Alfántega	Tierras de labor	428,834427	2000
22020	Alfántega	Tierras de labor	418,410575	2006
22020	Alfántega	Zonas agrícolas heterogéneas	103,935432	2000
