Año	Residencia provincia código	Residencia provincia nombre	Edad (grupos quinquenales)	Sexo	Personas
1998	50	Zaragoza	70 a 74	Mujeres	22992
1998	50	Zaragoza	75 a 79	Mujeres	18972
1998	50	Zaragoza	80 a 84	Mujeres	12535
1998	50	Zaragoza	85 a 89	Mujeres	7427
1998	50	Zaragoza	90 a 94	Mujeres	2768
1998	50	Zaragoza	95 y más	Mujeres	699
1999	22	Huesca	00 a 04	Mujeres	3649
1999	22	Huesca	05 a 09	Mujeres	3993
1999	22	Huesca	10 a 14	Mujeres	4594
1999	22	Huesca	15 a 19	Mujeres	5642
1999	22	Huesca	20 a 24	Mujeres	6575
1999	22	Huesca	25 a 29	Mujeres	6731
1999	22	Huesca	30 a 34	Mujeres	7161
1999	22	Huesca	35 a 39	Mujeres	7389
1999	22	Huesca	40 a 44	Mujeres	6659
1999	22	Huesca	45 a 49	Mujeres	5762
1999	22	Huesca	50 a 54	Mujeres	5733
1999	22	Huesca	55 a 59	Mujeres	4816
1999	22	Huesca	60 a 64	Mujeres	5741
1999	22	Huesca	65 a 69	Mujeres	6823
1999	22	Huesca	70 a 74	Mujeres	6501
1999	22	Huesca	75 a 79	Mujeres	5564
1999	22	Huesca	80 a 84	Mujeres	3886
1999	22	Huesca	85 a 89	Mujeres	2412
1999	22	Huesca	90 a 94	Mujeres	904
1999	22	Huesca	95 y más	Mujeres	221
1999	44	Teruel	00 a 04	Mujeres	2454
1999	44	Teruel	05 a 09	Mujeres	2937
1999	44	Teruel	10 a 14	Mujeres	3297
1999	44	Teruel	15 a 19	Mujeres	3570
1999	44	Teruel	20 a 24	Mujeres	3869
1999	44	Teruel	25 a 29	Mujeres	3963
1999	44	Teruel	30 a 34	Mujeres	4640
1999	44	Teruel	35 a 39	Mujeres	4589
1999	44	Teruel	40 a 44	Mujeres	3943
1999	44	Teruel	45 a 49	Mujeres	3446
1999	44	Teruel	50 a 54	Mujeres	3323
1999	44	Teruel	55 a 59	Mujeres	3088
1999	44	Teruel	60 a 64	Mujeres	4168
1999	44	Teruel	65 a 69	Mujeres	5123
1999	44	Teruel	70 a 74	Mujeres	4756
1999	44	Teruel	75 a 79	Mujeres	4076
1999	44	Teruel	80 a 84	Mujeres	2754
1999	44	Teruel	85 a 89	Mujeres	1880
1999	44	Teruel	90 a 94	Mujeres	770
1999	44	Teruel	95 y más	Mujeres	193
1999	50	Zaragoza	00 a 04	Mujeres	14874
1999	50	Zaragoza	05 a 09	Mujeres	17121
1999	50	Zaragoza	10 a 14	Mujeres	19527
1999	50	Zaragoza	15 a 19	Mujeres	24748
1999	50	Zaragoza	20 a 24	Mujeres	31470
1999	50	Zaragoza	25 a 29	Mujeres	31602
1999	50	Zaragoza	30 a 34	Mujeres	31467
1999	50	Zaragoza	35 a 39	Mujeres	31092
1999	50	Zaragoza	40 a 44	Mujeres	29221
1999	50	Zaragoza	45 a 49	Mujeres	27322
1999	50	Zaragoza	50 a 54	Mujeres	27086
1999	50	Zaragoza	55 a 59	Mujeres	22603
1999	50	Zaragoza	60 a 64	Mujeres	23389
1999	50	Zaragoza	65 a 69	Mujeres	26270
1999	50	Zaragoza	70 a 74	Mujeres	23709
1999	50	Zaragoza	75 a 79	Mujeres	20198
1999	50	Zaragoza	80 a 84	Mujeres	13199
1999	50	Zaragoza	85 a 89	Mujeres	7905
1999	50	Zaragoza	90 a 94	Mujeres	2995
1999	50	Zaragoza	95 y más	Mujeres	776
2000	22	Huesca	00 a 04	Mujeres	3680
2000	22	Huesca	05 a 09	Mujeres	4066
2000	22	Huesca	10 a 14	Mujeres	4466
2000	22	Huesca	15 a 19	Mujeres	5427
2000	22	Huesca	20 a 24	Mujeres	6635
2000	22	Huesca	25 a 29	Mujeres	6862
2000	22	Huesca	30 a 34	Mujeres	7342
2000	22	Huesca	35 a 39	Mujeres	7570
2000	22	Huesca	40 a 44	Mujeres	6958
2000	22	Huesca	45 a 49	Mujeres	5925
2000	22	Huesca	50 a 54	Mujeres	5831
2000	22	Huesca	55 a 59	Mujeres	5259
2000	22	Huesca	60 a 64	Mujeres	5280
2000	22	Huesca	65 a 69	Mujeres	6776
2000	22	Huesca	70 a 74	Mujeres	6606
2000	22	Huesca	75 a 79	Mujeres	5867
2000	22	Huesca	80 a 84	Mujeres	3846
2000	22	Huesca	85 a 89	Mujeres	2570
2000	22	Huesca	90 a 94	Mujeres	958
2000	22	Huesca	95 y más	Mujeres	248
2000	44	Teruel	00 a 04	Mujeres	2359
2000	44	Teruel	05 a 09	Mujeres	2949
2000	44	Teruel	10 a 14	Mujeres	3277
2000	44	Teruel	15 a 19	Mujeres	3514
2000	44	Teruel	20 a 24	Mujeres	3874
2000	44	Teruel	25 a 29	Mujeres	4079
2000	44	Teruel	30 a 34	Mujeres	4628
2000	44	Teruel	35 a 39	Mujeres	4817
2000	44	Teruel	40 a 44	Mujeres	4219
2000	44	Teruel	45 a 49	Mujeres	3481
2000	44	Teruel	50 a 54	Mujeres	3333
2000	44	Teruel	55 a 59	Mujeres	3393
2000	44	Teruel	60 a 64	Mujeres	3752
2000	44	Teruel	65 a 69	Mujeres	5020
2000	44	Teruel	70 a 74	Mujeres	4797
2000	44	Teruel	75 a 79	Mujeres	4271
2000	44	Teruel	80 a 84	Mujeres	2818
2000	44	Teruel	85 a 89	Mujeres	1968
2000	44	Teruel	90 a 94	Mujeres	800
2000	44	Teruel	95 y más	Mujeres	224
2000	50	Zaragoza	00 a 04	Mujeres	15695
2000	50	Zaragoza	05 a 09	Mujeres	17177
2000	50	Zaragoza	10 a 14	Mujeres	19274
2000	50	Zaragoza	15 a 19	Mujeres	23631
2000	50	Zaragoza	20 a 24	Mujeres	31158
2000	50	Zaragoza	25 a 29	Mujeres	32583
2000	50	Zaragoza	30 a 34	Mujeres	31836
2000	50	Zaragoza	35 a 39	Mujeres	31999
2000	50	Zaragoza	40 a 44	Mujeres	30358
2000	50	Zaragoza	45 a 49	Mujeres	27460
2000	50	Zaragoza	50 a 54	Mujeres	27696
2000	50	Zaragoza	55 a 59	Mujeres	24174
2000	50	Zaragoza	60 a 64	Mujeres	21938
2000	50	Zaragoza	65 a 69	Mujeres	26311
2000	50	Zaragoza	70 a 74	Mujeres	24135
2000	50	Zaragoza	75 a 79	Mujeres	21185
2000	50	Zaragoza	80 a 84	Mujeres	13641
2000	50	Zaragoza	85 a 89	Mujeres	8331
2000	50	Zaragoza	90 a 94	Mujeres	3209
2000	50	Zaragoza	95 y más	Mujeres	886
2001	22	Huesca	00 a 04	Mujeres	3687
2001	22	Huesca	05 a 09	Mujeres	4047
2001	22	Huesca	10 a 14	Mujeres	4358
2001	22	Huesca	15 a 19	Mujeres	5123
2001	22	Huesca	20 a 24	Mujeres	6559
2001	22	Huesca	25 a 29	Mujeres	6897
2001	22	Huesca	30 a 34	Mujeres	7177
2001	22	Huesca	35 a 39	Mujeres	7574
2001	22	Huesca	40 a 44	Mujeres	7207
2001	22	Huesca	45 a 49	Mujeres	6200
2001	22	Huesca	50 a 54	Mujeres	5668
2001	22	Huesca	55 a 59	Mujeres	5426
2001	22	Huesca	60 a 64	Mujeres	5088
2001	22	Huesca	65 a 69	Mujeres	6528
2001	22	Huesca	70 a 74	Mujeres	6712
2001	22	Huesca	75 a 79	Mujeres	5898
2001	22	Huesca	80 a 84	Mujeres	4041
2001	22	Huesca	85 a 89	Mujeres	2675
2001	22	Huesca	90 a 94	Mujeres	1036
2001	22	Huesca	95 y más	Mujeres	297
2001	44	Teruel	00 a 04	Mujeres	2305
2001	44	Teruel	05 a 09	Mujeres	2876
2001	44	Teruel	10 a 14	Mujeres	3245
2001	44	Teruel	15 a 19	Mujeres	3409
2001	44	Teruel	20 a 24	Mujeres	3799
2001	44	Teruel	25 a 29	Mujeres	4080
2001	44	Teruel	30 a 34	Mujeres	4521
2001	44	Teruel	35 a 39	Mujeres	4827
2001	44	Teruel	40 a 44	Mujeres	4321
2001	44	Teruel	45 a 49	Mujeres	3621
2001	44	Teruel	50 a 54	Mujeres	3351
2001	44	Teruel	55 a 59	Mujeres	3316
2001	44	Teruel	60 a 64	Mujeres	3539
2001	44	Teruel	65 a 69	Mujeres	4946
2001	44	Teruel	70 a 74	Mujeres	4887
2001	44	Teruel	75 a 79	Mujeres	4310
2001	44	Teruel	80 a 84	Mujeres	2903
2001	44	Teruel	85 a 89	Mujeres	1981
2001	44	Teruel	90 a 94	Mujeres	857
2001	44	Teruel	95 y más	Mujeres	265
2001	50	Zaragoza	00 a 04	Mujeres	15666
2001	50	Zaragoza	05 a 09	Mujeres	17306
2001	50	Zaragoza	10 a 14	Mujeres	18719
2001	50	Zaragoza	15 a 19	Mujeres	22636
2001	50	Zaragoza	20 a 24	Mujeres	30730
2001	50	Zaragoza	25 a 29	Mujeres	33474
2001	50	Zaragoza	30 a 34	Mujeres	32527
2001	50	Zaragoza	35 a 39	Mujeres	32370
2001	50	Zaragoza	40 a 44	Mujeres	31452
2001	50	Zaragoza	45 a 49	Mujeres	28082
2001	50	Zaragoza	50 a 54	Mujeres	27548
2001	50	Zaragoza	55 a 59	Mujeres	24757
2001	50	Zaragoza	60 a 64	Mujeres	21819
2001	50	Zaragoza	65 a 69	Mujeres	25943
2001	50	Zaragoza	70 a 74	Mujeres	24639
2001	50	Zaragoza	75 a 79	Mujeres	21471
2001	50	Zaragoza	80 a 84	Mujeres	14526
2001	50	Zaragoza	85 a 89	Mujeres	8539
2001	50	Zaragoza	90 a 94	Mujeres	3475
2001	50	Zaragoza	95 y más	Mujeres	975
2002	22	Huesca	00 a 04	Mujeres	3928
2002	22	Huesca	05 a 09	Mujeres	4065
2002	22	Huesca	10 a 14	Mujeres	4303
2002	22	Huesca	15 a 19	Mujeres	5030
2002	22	Huesca	20 a 24	Mujeres	6518
2002	22	Huesca	25 a 29	Mujeres	7216
2002	22	Huesca	30 a 34	Mujeres	7299
2002	22	Huesca	35 a 39	Mujeres	7670
2002	22	Huesca	40 a 44	Mujeres	7382
2002	22	Huesca	45 a 49	Mujeres	6438
2002	22	Huesca	50 a 54	Mujeres	5737
2002	22	Huesca	55 a 59	Mujeres	5649
2002	22	Huesca	60 a 64	Mujeres	4699
2002	22	Huesca	65 a 69	Mujeres	6525
2002	22	Huesca	70 a 74	Mujeres	6650
2002	22	Huesca	75 a 79	Mujeres	5991
2002	22	Huesca	80 a 84	Mujeres	4248
2002	22	Huesca	85 a 89	Mujeres	2695
2002	22	Huesca	90 a 94	Mujeres	1051
2002	22	Huesca	95 y más	Mujeres	303
2002	44	Teruel	00 a 04	Mujeres	2347
2002	44	Teruel	05 a 09	Mujeres	2810
2002	44	Teruel	10 a 14	Mujeres	3214
2002	44	Teruel	15 a 19	Mujeres	3412
2002	44	Teruel	20 a 24	Mujeres	3870
2002	44	Teruel	25 a 29	Mujeres	4179
2002	44	Teruel	30 a 34	Mujeres	4493
2002	44	Teruel	35 a 39	Mujeres	4860
2002	44	Teruel	40 a 44	Mujeres	4556
2002	44	Teruel	45 a 49	Mujeres	3803
2002	44	Teruel	50 a 54	Mujeres	3396
2002	44	Teruel	55 a 59	Mujeres	3374
2002	44	Teruel	60 a 64	Mujeres	3268
2002	44	Teruel	65 a 69	Mujeres	4809
2002	44	Teruel	70 a 74	Mujeres	4889
2002	44	Teruel	75 a 79	Mujeres	4346
2002	44	Teruel	80 a 84	Mujeres	3007
2002	44	Teruel	85 a 89	Mujeres	1917
2002	44	Teruel	90 a 94	Mujeres	844
2002	44	Teruel	95 y más	Mujeres	266
2002	50	Zaragoza	00 a 04	Mujeres	16600
2002	50	Zaragoza	05 a 09	Mujeres	17613
2002	50	Zaragoza	10 a 14	Mujeres	18680
2002	50	Zaragoza	15 a 19	Mujeres	21995
2002	50	Zaragoza	20 a 24	Mujeres	30069
2002	50	Zaragoza	25 a 29	Mujeres	34459
2002	50	Zaragoza	30 a 34	Mujeres	33501
2002	50	Zaragoza	35 a 39	Mujeres	33278
2002	50	Zaragoza	40 a 44	Mujeres	32259
2002	50	Zaragoza	45 a 49	Mujeres	28914
2002	50	Zaragoza	50 a 54	Mujeres	27632
2002	50	Zaragoza	55 a 59	Mujeres	25824
2002	50	Zaragoza	60 a 64	Mujeres	20818
2002	50	Zaragoza	65 a 69	Mujeres	25996
2002	50	Zaragoza	70 a 74	Mujeres	24696
2002	50	Zaragoza	75 a 79	Mujeres	21706
2002	50	Zaragoza	80 a 84	Mujeres	15214
2002	50	Zaragoza	85 a 89	Mujeres	8680
2002	50	Zaragoza	90 a 94	Mujeres	3585
2002	50	Zaragoza	95 y más	Mujeres	983
2003	22	Huesca	00 a 04	Mujeres	4047
2003	22	Huesca	05 a 09	Mujeres	4106
2003	22	Huesca	10 a 14	Mujeres	4341
2003	22	Huesca	15 a 19	Mujeres	4935
2003	22	Huesca	20 a 24	Mujeres	6436
2003	22	Huesca	25 a 29	Mujeres	7346
2003	22	Huesca	30 a 34	Mujeres	7346
2003	22	Huesca	35 a 39	Mujeres	7765
2003	22	Huesca	40 a 44	Mujeres	7501
2003	22	Huesca	45 a 49	Mujeres	6657
2003	22	Huesca	50 a 54	Mujeres	5953
2003	22	Huesca	55 a 59	Mujeres	5710
2003	22	Huesca	60 a 64	Mujeres	4611
2003	22	Huesca	65 a 69	Mujeres	6210
2003	22	Huesca	70 a 74	Mujeres	6693
2003	22	Huesca	75 a 79	Mujeres	5971
2003	22	Huesca	80 a 84	Mujeres	4529
2003	22	Huesca	85 a 89	Mujeres	2690
2003	22	Huesca	90 a 94	Mujeres	1163
2003	22	Huesca	95 y más	Mujeres	314
2003	44	Teruel	00 a 04	Mujeres	2403
2003	44	Teruel	05 a 09	Mujeres	2828
2003	44	Teruel	10 a 14	Mujeres	3219
2003	44	Teruel	15 a 19	Mujeres	3362
2003	44	Teruel	20 a 24	Mujeres	3942
2003	44	Teruel	25 a 29	Mujeres	4297
2003	44	Teruel	30 a 34	Mujeres	4369
2003	44	Teruel	35 a 39	Mujeres	4942
2003	44	Teruel	40 a 44	Mujeres	4690
2003	44	Teruel	45 a 49	Mujeres	3938
2003	44	Teruel	50 a 54	Mujeres	3481
2003	44	Teruel	55 a 59	Mujeres	3442
2003	44	Teruel	60 a 64	Mujeres	3069
2003	44	Teruel	65 a 69	Mujeres	4606
2003	44	Teruel	70 a 74	Mujeres	4939
2003	44	Teruel	75 a 79	Mujeres	4321
2003	44	Teruel	80 a 84	Mujeres	3198
2003	44	Teruel	85 a 89	Mujeres	1829
2003	44	Teruel	90 a 94	Mujeres	880
2003	44	Teruel	95 y más	Mujeres	290
2003	50	Zaragoza	00 a 04	Mujeres	17528
2003	50	Zaragoza	05 a 09	Mujeres	17845
2003	50	Zaragoza	10 a 14	Mujeres	18886
2003	50	Zaragoza	15 a 19	Mujeres	21545
2003	50	Zaragoza	20 a 24	Mujeres	29346
2003	50	Zaragoza	25 a 29	Mujeres	35044
2003	50	Zaragoza	30 a 34	Mujeres	34054
2003	50	Zaragoza	35 a 39	Mujeres	33863
2003	50	Zaragoza	40 a 44	Mujeres	32871
2003	50	Zaragoza	45 a 49	Mujeres	29651
2003	50	Zaragoza	50 a 54	Mujeres	28028
2003	50	Zaragoza	55 a 59	Mujeres	26550
2003	50	Zaragoza	60 a 64	Mujeres	21223
2003	50	Zaragoza	65 a 69	Mujeres	24872
2003	50	Zaragoza	70 a 74	Mujeres	25170
2003	50	Zaragoza	75 a 79	Mujeres	21610
2003	50	Zaragoza	80 a 84	Mujeres	16129
2003	50	Zaragoza	85 a 89	Mujeres	8650
2003	50	Zaragoza	90 a 94	Mujeres	3673
2003	50	Zaragoza	95 y más	Mujeres	973
2004	22	Huesca	00 a 04	Mujeres	4085
2004	22	Huesca	05 a 09	Mujeres	4177
2004	22	Huesca	10 a 14	Mujeres	4315
2004	22	Huesca	15 a 19	Mujeres	4849
2004	22	Huesca	20 a 24	Mujeres	6184
2004	22	Huesca	25 a 29	Mujeres	7488
2004	22	Huesca	30 a 34	Mujeres	7467
2004	22	Huesca	35 a 39	Mujeres	7776
2004	22	Huesca	40 a 44	Mujeres	7787
2004	22	Huesca	45 a 49	Mujeres	6856
2004	22	Huesca	50 a 54	Mujeres	5927
2004	22	Huesca	55 a 59	Mujeres	5863
2004	22	Huesca	60 a 64	Mujeres	4883
2004	22	Huesca	65 a 69	Mujeres	5716
2004	22	Huesca	70 a 74	Mujeres	6603
2004	22	Huesca	75 a 79	Mujeres	6059
2004	22	Huesca	80 a 84	Mujeres	4707
2004	22	Huesca	85 a 89	Mujeres	2682
2004	22	Huesca	90 a 94	Mujeres	1176
2004	22	Huesca	95 y más	Mujeres	340
2004	44	Teruel	00 a 04	Mujeres	2445
2004	44	Teruel	05 a 09	Mujeres	2806
2004	44	Teruel	10 a 14	Mujeres	3127
2004	44	Teruel	15 a 19	Mujeres	3429
2004	44	Teruel	20 a 24	Mujeres	3871
2004	44	Teruel	25 a 29	Mujeres	4393
2004	44	Teruel	30 a 34	Mujeres	4346
2004	44	Teruel	35 a 39	Mujeres	4897
2004	44	Teruel	40 a 44	Mujeres	4826
2004	44	Teruel	45 a 49	Mujeres	4107
2004	44	Teruel	50 a 54	Mujeres	3609
2004	44	Teruel	55 a 59	Mujeres	3466
2004	44	Teruel	60 a 64	Mujeres	3166
2004	44	Teruel	65 a 69	Mujeres	4120
2004	44	Teruel	70 a 74	Mujeres	4961
2004	44	Teruel	75 a 79	Mujeres	4332
2004	44	Teruel	80 a 84	Mujeres	3377
2004	44	Teruel	85 a 89	Mujeres	1804
2004	44	Teruel	90 a 94	Mujeres	907
2004	44	Teruel	95 y más	Mujeres	271
2004	50	Zaragoza	00 a 04	Mujeres	18341
2004	50	Zaragoza	05 a 09	Mujeres	18109
2004	50	Zaragoza	10 a 14	Mujeres	19052
2004	50	Zaragoza	15 a 19	Mujeres	21455
2004	50	Zaragoza	20 a 24	Mujeres	28460
2004	50	Zaragoza	25 a 29	Mujeres	35776
2004	50	Zaragoza	30 a 34	Mujeres	35299
2004	50	Zaragoza	35 a 39	Mujeres	34923
2004	50	Zaragoza	40 a 44	Mujeres	33528
2004	50	Zaragoza	45 a 49	Mujeres	30785
2004	50	Zaragoza	50 a 54	Mujeres	28101
2004	50	Zaragoza	55 a 59	Mujeres	27416
2004	50	Zaragoza	60 a 64	Mujeres	22718
2004	50	Zaragoza	65 a 69	Mujeres	23224
2004	50	Zaragoza	70 a 74	Mujeres	25396
2004	50	Zaragoza	75 a 79	Mujeres	21960
2004	50	Zaragoza	80 a 84	Mujeres	16920
2004	50	Zaragoza	85 a 89	Mujeres	9116
2004	50	Zaragoza	90 a 94	Mujeres	3845
2004	50	Zaragoza	95 y más	Mujeres	1086
2005	22	Huesca	00 a 04	Mujeres	4116
2005	22	Huesca	05 a 09	Mujeres	4292
2005	22	Huesca	10 a 14	Mujeres	4362
2005	22	Huesca	15 a 19	Mujeres	4772
2005	22	Huesca	20 a 24	Mujeres	6080
2005	22	Huesca	25 a 29	Mujeres	7629
2005	22	Huesca	30 a 34	Mujeres	7555
2005	22	Huesca	35 a 39	Mujeres	7819
2005	22	Huesca	40 a 44	Mujeres	7932
2005	22	Huesca	45 a 49	Mujeres	7128
2005	22	Huesca	50 a 54	Mujeres	6070
2005	22	Huesca	55 a 59	Mujeres	5904
2005	22	Huesca	60 a 64	Mujeres	5288
2005	22	Huesca	65 a 69	Mujeres	5236
2005	22	Huesca	70 a 74	Mujeres	6478
2005	22	Huesca	75 a 79	Mujeres	6080
2005	22	Huesca	80 a 84	Mujeres	4950
2005	22	Huesca	85 a 89	Mujeres	2673
2005	22	Huesca	90 a 94	Mujeres	1281
2005	22	Huesca	95 y más	Mujeres	350
2005	44	Teruel	00 a 04	Mujeres	2500
2005	44	Teruel	05 a 09	Mujeres	2737
2005	44	Teruel	10 a 14	Mujeres	3181
2005	44	Teruel	15 a 19	Mujeres	3453
2005	44	Teruel	20 a 24	Mujeres	3867
2005	44	Teruel	25 a 29	Mujeres	4353
2005	44	Teruel	30 a 34	Mujeres	4432
2005	44	Teruel	35 a 39	Mujeres	4897
2005	44	Teruel	40 a 44	Mujeres	5004
2005	44	Teruel	45 a 49	Mujeres	4391
2005	44	Teruel	50 a 54	Mujeres	3635
2005	44	Teruel	55 a 59	Mujeres	3442
2005	44	Teruel	60 a 64	Mujeres	3436
2005	44	Teruel	65 a 69	Mujeres	3678
2005	44	Teruel	70 a 74	Mujeres	4839
2005	44	Teruel	75 a 79	Mujeres	4355
2005	44	Teruel	80 a 84	Mujeres	3523
2005	44	Teruel	85 a 89	Mujeres	1872
2005	44	Teruel	90 a 94	Mujeres	953
2005	44	Teruel	95 y más	Mujeres	270
2005	50	Zaragoza	00 a 04	Mujeres	19420
2005	50	Zaragoza	05 a 09	Mujeres	18338
2005	50	Zaragoza	10 a 14	Mujeres	19197
2005	50	Zaragoza	15 a 19	Mujeres	21342
2005	50	Zaragoza	20 a 24	Mujeres	27766
2005	50	Zaragoza	25 a 29	Mujeres	36138
2005	50	Zaragoza	30 a 34	Mujeres	36542
2005	50	Zaragoza	35 a 39	Mujeres	35141
2005	50	Zaragoza	40 a 44	Mujeres	34454
2005	50	Zaragoza	45 a 49	Mujeres	31930
2005	50	Zaragoza	50 a 54	Mujeres	28208
2005	50	Zaragoza	55 a 59	Mujeres	27974
2005	50	Zaragoza	60 a 64	Mujeres	24216
2005	50	Zaragoza	65 a 69	Mujeres	21630
2005	50	Zaragoza	70 a 74	Mujeres	25411
2005	50	Zaragoza	75 a 79	Mujeres	22186
2005	50	Zaragoza	80 a 84	Mujeres	17748
2005	50	Zaragoza	85 a 89	Mujeres	9244
2005	50	Zaragoza	90 a 94	Mujeres	4069
2005	50	Zaragoza	95 y más	Mujeres	1112
2006	22	Huesca	00 a 04	Mujeres	4324
2006	22	Huesca	05 a 09	Mujeres	4415
2006	22	Huesca	10 a 14	Mujeres	4435
2006	22	Huesca	15 a 19	Mujeres	4745
2006	22	Huesca	20 a 24	Mujeres	5896
2006	22	Huesca	25 a 29	Mujeres	7633
2006	22	Huesca	30 a 34	Mujeres	7745
2006	22	Huesca	35 a 39	Mujeres	7841
2006	22	Huesca	40 a 44	Mujeres	8059
2006	22	Huesca	45 a 49	Mujeres	7442
2006	22	Huesca	50 a 54	Mujeres	6353
2006	22	Huesca	55 a 59	Mujeres	5773
2006	22	Huesca	60 a 64	Mujeres	5462
2006	22	Huesca	65 a 69	Mujeres	5053
2006	22	Huesca	70 a 74	Mujeres	6258
2006	22	Huesca	75 a 79	Mujeres	6197
2006	22	Huesca	80 a 84	Mujeres	4920
2006	22	Huesca	85 a 89	Mujeres	2823
2006	22	Huesca	90 a 94	Mujeres	1300
2006	22	Huesca	95 y más	Mujeres	366
2006	44	Teruel	00 a 04	Mujeres	2527
2006	44	Teruel	05 a 09	Mujeres	2762
2006	44	Teruel	10 a 14	Mujeres	3110
2006	44	Teruel	15 a 19	Mujeres	3472
2006	44	Teruel	20 a 24	Mujeres	3832
2006	44	Teruel	25 a 29	Mujeres	4357
2006	44	Teruel	30 a 34	Mujeres	4484
2006	44	Teruel	35 a 39	Mujeres	4895
2006	44	Teruel	40 a 44	Mujeres	5062
2006	44	Teruel	45 a 49	Mujeres	4505
2006	44	Teruel	50 a 54	Mujeres	3803
2006	44	Teruel	55 a 59	Mujeres	3468
2006	44	Teruel	60 a 64	Mujeres	3352
2006	44	Teruel	65 a 69	Mujeres	3522
2006	44	Teruel	70 a 74	Mujeres	4755
2006	44	Teruel	75 a 79	Mujeres	4449
2006	44	Teruel	80 a 84	Mujeres	3553
2006	44	Teruel	85 a 89	Mujeres	1921
2006	44	Teruel	90 a 94	Mujeres	975
2006	44	Teruel	95 y más	Mujeres	287
2006	50	Zaragoza	00 a 04	Mujeres	19860
2006	50	Zaragoza	05 a 09	Mujeres	18574
2006	50	Zaragoza	10 a 14	Mujeres	19412
2006	50	Zaragoza	15 a 19	Mujeres	20953
2006	50	Zaragoza	20 a 24	Mujeres	26825
2006	50	Zaragoza	25 a 29	Mujeres	35575
2006	50	Zaragoza	30 a 34	Mujeres	37096
2006	50	Zaragoza	35 a 39	Mujeres	35509
2006	50	Zaragoza	40 a 44	Mujeres	34601
2006	50	Zaragoza	45 a 49	Mujeres	32950
2006	50	Zaragoza	50 a 54	Mujeres	28741
2006	50	Zaragoza	55 a 59	Mujeres	27846
2006	50	Zaragoza	60 a 64	Mujeres	24717
2006	50	Zaragoza	65 a 69	Mujeres	21467
2006	50	Zaragoza	70 a 74	Mujeres	25033
2006	50	Zaragoza	75 a 79	Mujeres	22609
2006	50	Zaragoza	80 a 84	Mujeres	17824
2006	50	Zaragoza	85 a 89	Mujeres	9863
2006	50	Zaragoza	90 a 94	Mujeres	4056
2006	50	Zaragoza	95 y más	Mujeres	1170
2007	22	Huesca	00 a 04	Mujeres	4376
2007	22	Huesca	05 a 09	Mujeres	4543
2007	22	Huesca	10 a 14	Mujeres	4503
2007	22	Huesca	15 a 19	Mujeres	4719
