Año	Sexo	Comarca Código	Comarca Nombre	Nº Accidentes	Grupo Grado Código	Grupo Grado Código
2020	Mujeres	01	La Jacetania	56	Leves	1
2020	Mujeres	02	Alto Gállego	31	Leves	1
2020	Mujeres	03	Sobrarbe	13	Leves	1
2020	Mujeres	04	La Ribagorza	45	Leves	1
2020	Mujeres	05	Cinco Villas	92	Leves	1
2020	Mujeres	06	Hoya de Huesca / Plana de Uesca	309	Leves	1
2020	Mujeres	07	Somontano de Barbastro	140	Leves	1
2020	Mujeres	08	Cinca Medio	59	Leves	1
2020	Mujeres	09	La Litera / La Llitera	110	Leves	1
2020	Mujeres	10	Los Monegros	29	Leves	1
2020	Mujeres	11	Bajo Cinca / Baix Cinca	125	Leves	1
2020	Mujeres	12	Tarazona y el Moncayo	31	Leves	1
2020	Mujeres	13	Campo de Borja	70	Leves	1
2020	Mujeres	14	Aranda	5	Leves	1
2020	Mujeres	15	Ribera Alta del Ebro	128	Leves	1
2020	Mujeres	16	Valdejalón	135	Leves	1
2020	Mujeres	17	Central	2769	Leves	1
2020	Mujeres	18	Ribera Baja del Ebro	24	Leves	1
2020	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	33	Leves	1
2020	Mujeres	20	Comunidad de Calatayud	89	Leves	1
2020	Mujeres	21	Campo de Cariñena	31	Leves	1
2020	Mujeres	22	Campo de Belchite	5	Leves	1
2020	Mujeres	23	Bajo Martín	17	Leves	1
2020	Mujeres	24	Campo de Daroca	7	Leves	1
2020	Mujeres	25	Jiloca	22	Leves	1
2020	Mujeres	26	Cuencas Mineras	34	Leves	1
2020	Mujeres	27	Andorra-Sierra de Arcos	23	Leves	1
2020	Mujeres	28	Bajo Aragón	63	Leves	1
2020	Mujeres	29	Comunidad de Teruel	175	Leves	1
2020	Mujeres	30	Maestrazgo	3	Leves	1
2020	Mujeres	31	Sierra de Albarracín	11	Leves	1
2020	Mujeres	32	Gúdar-Javalambre	17	Leves	1
2020	Mujeres	33	Matarraña / Matarranya	15	Leves	1
2020	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón	11	Leves	1
2019	Hombres	01	La Jacetania	127	Leves	1
2019	Hombres	02	Alto Gállego	131	Leves	1
2019	Hombres	03	Sobrarbe	40	Leves	1
2019	Hombres	04	La Ribagorza	118	Leves	1
2019	Hombres	05	Cinco Villas	400	Leves	1
2019	Hombres	06	Hoya de Huesca / Plana de Uesca	742	Leves	1
2019	Hombres	07	Somontano de Barbastro	191	Leves	1
2019	Hombres	08	Cinca Medio	370	Leves	1
2019	Hombres	09	La Litera / La Llitera	353	Leves	1
2019	Hombres	10	Los Monegros	172	Leves	1
2019	Hombres	11	Bajo Cinca / Baix Cinca	365	Leves	1
2019	Hombres	12	Tarazona y el Moncayo	121	Leves	1
2019	Hombres	13	Campo de Borja	131	Leves	1
2019	Hombres	14	Aranda	26	Leves	1
2019	Hombres	15	Ribera Alta del Ebro	549	Leves	1
2019	Hombres	16	Valdejalón	504	Leves	1
2019	Hombres	17	Central	5657	Leves	1
2019	Hombres	18	Ribera Baja del Ebro	104	Leves	1
2019	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	138	Leves	1
2019	Hombres	20	Comunidad de Calatayud	219	Leves	1
2019	Hombres	21	Campo de Cariñena	121	Leves	1
2019	Hombres	22	Campo de Belchite	17	Leves	1
2019	Hombres	23	Bajo Martín	91	Leves	1
2019	Hombres	24	Campo de Daroca	40	Leves	1
2019	Hombres	25	Jiloca	90	Leves	1
2019	Hombres	26	Cuencas Mineras	70	Leves	1
2019	Hombres	27	Andorra-Sierra de Arcos	45	Leves	1
2019	Hombres	28	Bajo Aragón	198	Leves	1
2019	Hombres	29	Comunidad de Teruel	460	Leves	1
2019	Hombres	30	Maestrazgo	12	Leves	1
2019	Hombres	31	Sierra de Albarracín	15	Leves	1
2019	Hombres	32	Gúdar-Javalambre	81	Leves	1
2019	Hombres	33	Matarraña / Matarranya	58	Leves	1
2019	Hombres	NC	Municipio del centro de trabajo fuera de Aragón	153	Leves	1
2019	Mujeres	01	La Jacetania	78	Leves	1
2019	Mujeres	02	Alto Gállego	56	Leves	1
2019	Mujeres	03	Sobrarbe	23	Leves	1
2019	Mujeres	04	La Ribagorza	45	Leves	1
2019	Mujeres	05	Cinco Villas	91	Leves	1
2019	Mujeres	06	Hoya de Huesca / Plana de Uesca	234	Leves	1
2019	Mujeres	07	Somontano de Barbastro	61	Leves	1
2019	Mujeres	08	Cinca Medio	74	Leves	1
2019	Mujeres	09	La Litera / La Llitera	78	Leves	1
2019	Mujeres	10	Los Monegros	48	Leves	1
2019	Mujeres	11	Bajo Cinca / Baix Cinca	106	Leves	1
2019	Mujeres	12	Tarazona y el Moncayo	40	Leves	1
2019	Mujeres	13	Campo de Borja	65	Leves	1
2019	Mujeres	14	Aranda	18	Leves	1
2019	Mujeres	15	Ribera Alta del Ebro	167	Leves	1
2019	Mujeres	16	Valdejalón	151	Leves	1
2019	Mujeres	17	Central	2498	Leves	1
2019	Mujeres	18	Ribera Baja del Ebro	35	Leves	1
2019	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	37	Leves	1
2019	Mujeres	20	Comunidad de Calatayud	106	Leves	1
2019	Mujeres	21	Campo de Cariñena	36	Leves	1
2019	Mujeres	22	Campo de Belchite	7	Leves	1
2019	Mujeres	23	Bajo Martín	14	Leves	1
2019	Mujeres	24	Campo de Daroca	19	Leves	1
2019	Mujeres	25	Jiloca	27	Leves	1
2019	Mujeres	26	Cuencas Mineras	23	Leves	1
2019	Mujeres	27	Andorra-Sierra de Arcos	19	Leves	1
2019	Mujeres	28	Bajo Aragón	86	Leves	1
2019	Mujeres	29	Comunidad de Teruel	186	Leves	1
2019	Mujeres	30	Maestrazgo	4	Leves	1
2019	Mujeres	31	Sierra de Albarracín	9	Leves	1
2019	Mujeres	32	Gúdar-Javalambre	15	Leves	1
2019	Mujeres	33	Matarraña / Matarranya	24	Leves	1
2019	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón	31	Leves	1
2018	Hombres	01	La Jacetania	110	Leves	1
2018	Hombres	02	Alto Gállego	91	Leves	1
2018	Hombres	03	Sobrarbe	38	Leves	1
2018	Hombres	04	La Ribagorza	102	Leves	1
2018	Hombres	05	Cinco Villas	389	Leves	1
2018	Hombres	06	Hoya de Huesca / Plana de Uesca	589	Leves	1
2018	Hombres	07	Somontano de Barbastro	194	Leves	1
2018	Hombres	08	Cinca Medio	372	Leves	1
2018	Hombres	09	La Litera / La Llitera	289	Leves	1
2018	Hombres	10	Los Monegros	148	Leves	1
2018	Hombres	11	Bajo Cinca / Baix Cinca	293	Leves	1
2018	Hombres	12	Tarazona y el Moncayo	130	Leves	1
2018	Hombres	13	Campo de Borja	119	Leves	1
2018	Hombres	14	Aranda	30	Leves	1
2018	Hombres	15	Ribera Alta del Ebro	601	Leves	1
2018	Hombres	16	Valdejalón	497	Leves	1
2018	Hombres	17	Central	5294	Leves	1
2018	Hombres	18	Ribera Baja del Ebro	85	Leves	1
2018	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	102	Leves	1
2018	Hombres	20	Comunidad de Calatayud	219	Leves	1
2018	Hombres	21	Campo de Cariñena	126	Leves	1
2018	Hombres	22	Campo de Belchite	24	Leves	1
2018	Hombres	23	Bajo Martín	102	Leves	1
2018	Hombres	24	Campo de Daroca	41	Leves	1
2018	Hombres	25	Jiloca	90	Leves	1
2018	Hombres	26	Cuencas Mineras	58	Leves	1
2018	Hombres	27	Andorra-Sierra de Arcos	61	Leves	1
2018	Hombres	28	Bajo Aragón	195	Leves	1
2018	Hombres	29	Comunidad de Teruel	451	Leves	1
2018	Hombres	30	Maestrazgo	7	Leves	1
2018	Hombres	31	Sierra de Albarracín	23	Leves	1
2018	Hombres	32	Gúdar-Javalambre	83	Leves	1
2018	Hombres	33	Matarraña / Matarranya	66	Leves	1
2018	Hombres	NC	Municipio del centro de trabajo fuera de Aragón	120	Leves	1
2018	Mujeres	01	La Jacetania	59	Leves	1
2018	Mujeres	02	Alto Gállego	48	Leves	1
2018	Mujeres	03	Sobrarbe	19	Leves	1
2018	Mujeres	04	La Ribagorza	34	Leves	1
2018	Mujeres	05	Cinco Villas	89	Leves	1
2018	Mujeres	06	Hoya de Huesca / Plana de Uesca	205	Leves	1
2018	Mujeres	07	Somontano de Barbastro	70	Leves	1
2018	Mujeres	08	Cinca Medio	68	Leves	1
2018	Mujeres	09	La Litera / La Llitera	41	Leves	1
2018	Mujeres	10	Los Monegros	34	Leves	1
2018	Mujeres	11	Bajo Cinca / Baix Cinca	75	Leves	1
2018	Mujeres	12	Tarazona y el Moncayo	24	Leves	1
2018	Mujeres	13	Campo de Borja	50	Leves	1
2018	Mujeres	14	Aranda	9	Leves	1
2018	Mujeres	15	Ribera Alta del Ebro	177	Leves	1
2018	Mujeres	16	Valdejalón	144	Leves	1
2018	Mujeres	17	Central	2523	Leves	1
2018	Mujeres	18	Ribera Baja del Ebro	37	Leves	1
2018	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	34	Leves	1
2018	Mujeres	20	Comunidad de Calatayud	110	Leves	1
2018	Mujeres	21	Campo de Cariñena	29	Leves	1
2018	Mujeres	22	Campo de Belchite	4	Leves	1
2018	Mujeres	23	Bajo Martín	12	Leves	1
2018	Mujeres	24	Campo de Daroca	14	Leves	1
2018	Mujeres	25	Jiloca	34	Leves	1
2018	Mujeres	26	Cuencas Mineras	30	Leves	1
2018	Mujeres	27	Andorra-Sierra de Arcos	20	Leves	1
2018	Mujeres	28	Bajo Aragón	63	Leves	1
2018	Mujeres	29	Comunidad de Teruel	182	Leves	1
2018	Mujeres	30	Maestrazgo	1	Leves	1
2018	Mujeres	31	Sierra de Albarracín	12	Leves	1
2018	Mujeres	32	Gúdar-Javalambre	19	Leves	1
2018	Mujeres	33	Matarraña / Matarranya	20	Leves	1
2018	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón	17	Leves	1
2017	Hombres	01	La Jacetania	118	Leves	1
2017	Hombres	02	Alto Gállego	97	Leves	1
2017	Hombres	03	Sobrarbe	28	Leves	1
2017	Hombres	04	La Ribagorza	89	Leves	1
2017	Hombres	05	Cinco Villas	356	Leves	1
2017	Hombres	06	Hoya de Huesca / Plana de Uesca	574	Leves	1
2017	Hombres	07	Somontano de Barbastro	163	Leves	1
2017	Hombres	08	Cinca Medio	340	Leves	1
2017	Hombres	09	La Litera / La Llitera	209	Leves	1
2017	Hombres	10	Los Monegros	149	Leves	1
2017	Hombres	11	Bajo Cinca / Baix Cinca	310	Leves	1
2017	Hombres	12	Tarazona y el Moncayo	71	Leves	1
2017	Hombres	13	Campo de Borja	148	Leves	1
2017	Hombres	14	Aranda	22	Leves	1
2017	Hombres	15	Ribera Alta del Ebro	552	Leves	1
2017	Hombres	16	Valdejalón	445	Leves	1
2017	Hombres	17	Central	5005	Leves	1
2017	Hombres	18	Ribera Baja del Ebro	76	Leves	1
2017	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	135	Leves	1
2017	Hombres	20	Comunidad de Calatayud	197	Leves	1
2017	Hombres	21	Campo de Cariñena	118	Leves	1
2017	Hombres	22	Campo de Belchite	10	Leves	1
2017	Hombres	23	Bajo Martín	59	Leves	1
2017	Hombres	24	Campo de Daroca	44	Leves	1
2017	Hombres	25	Jiloca	73	Leves	1
2017	Hombres	26	Cuencas Mineras	79	Leves	1
2017	Hombres	27	Andorra-Sierra de Arcos	52	Leves	1
2017	Hombres	28	Bajo Aragón	194	Leves	1
2017	Hombres	29	Comunidad de Teruel	397	Leves	1
2017	Hombres	30	Maestrazgo	8	Leves	1
2017	Hombres	31	Sierra de Albarracín	21	Leves	1
2017	Hombres	32	Gúdar-Javalambre	65	Leves	1
2017	Hombres	33	Matarraña / Matarranya	57	Leves	1
2017	Hombres	NC	Municipio del centro de trabajo fuera de Aragón	99	Leves	1
2017	Mujeres	01	La Jacetania	54	Leves	1
2017	Mujeres	02	Alto Gállego	40	Leves	1
2017	Mujeres	03	Sobrarbe	13	Leves	1
2017	Mujeres	04	La Ribagorza	40	Leves	1
2017	Mujeres	05	Cinco Villas	82	Leves	1
2017	Mujeres	06	Hoya de Huesca / Plana de Uesca	192	Leves	1
2017	Mujeres	07	Somontano de Barbastro	59	Leves	1
2017	Mujeres	08	Cinca Medio	57	Leves	1
2017	Mujeres	09	La Litera / La Llitera	62	Leves	1
2017	Mujeres	10	Los Monegros	24	Leves	1
2017	Mujeres	11	Bajo Cinca / Baix Cinca	110	Leves	1
2017	Mujeres	12	Tarazona y el Moncayo	21	Leves	1
2017	Mujeres	13	Campo de Borja	49	Leves	1
2017	Mujeres	14	Aranda	10	Leves	1
2017	Mujeres	15	Ribera Alta del Ebro	165	Leves	1
2017	Mujeres	16	Valdejalón	151	Leves	1
2017	Mujeres	17	Central	2408	Leves	1
2017	Mujeres	18	Ribera Baja del Ebro	31	Leves	1
2017	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	34	Leves	1
2017	Mujeres	20	Comunidad de Calatayud	74	Leves	1
2017	Mujeres	21	Campo de Cariñena	34	Leves	1
2017	Mujeres	22	Campo de Belchite	1	Leves	1
2017	Mujeres	23	Bajo Martín	9	Leves	1
2017	Mujeres	24	Campo de Daroca	14	Leves	1
2017	Mujeres	25	Jiloca	24	Leves	1
2017	Mujeres	26	Cuencas Mineras	23	Leves	1
2017	Mujeres	27	Andorra-Sierra de Arcos	28	Leves	1
2017	Mujeres	28	Bajo Aragón	56	Leves	1
2017	Mujeres	29	Comunidad de Teruel	147	Leves	1
2017	Mujeres	30	Maestrazgo	3	Leves	1
2017	Mujeres	31	Sierra de Albarracín	15	Leves	1
2017	Mujeres	32	Gúdar-Javalambre	17	Leves	1
2017	Mujeres	33	Matarraña / Matarranya	15	Leves	1
2017	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón	16	Leves	1
2016	Hombres	01	La Jacetania	107	Leves	1
2016	Hombres	02	Alto Gállego	88	Leves	1
2016	Hombres	03	Sobrarbe	34	Leves	1
2016	Hombres	04	La Ribagorza	84	Leves	1
2016	Hombres	05	Cinco Villas	248	Leves	1
2016	Hombres	06	Hoya de Huesca / Plana de Uesca	497	Leves	1
2016	Hombres	07	Somontano de Barbastro	162	Leves	1
2016	Hombres	08	Cinca Medio	313	Leves	1
2016	Hombres	09	La Litera / La Llitera	200	Leves	1
2016	Hombres	10	Los Monegros	159	Leves	1
2016	Hombres	11	Bajo Cinca / Baix Cinca	290	Leves	1
2016	Hombres	12	Tarazona y el Moncayo	76	Leves	1
2016	Hombres	13	Campo de Borja	113	Leves	1
2016	Hombres	14	Aranda	34	Leves	1
2016	Hombres	15	Ribera Alta del Ebro	447	Leves	1
2016	Hombres	16	Valdejalón	413	Leves	1
2016	Hombres	17	Central	4694	Leves	1
2016	Hombres	18	Ribera Baja del Ebro	45	Leves	1
2016	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	101	Leves	1
2016	Hombres	20	Comunidad de Calatayud	202	Leves	1
2016	Hombres	21	Campo de Cariñena	101	Leves	1
2016	Hombres	22	Campo de Belchite	29	Leves	1
2016	Hombres	23	Bajo Martín	85	Leves	1
2016	Hombres	24	Campo de Daroca	35	Leves	1
2016	Hombres	25	Jiloca	86	Leves	1
2016	Hombres	26	Cuencas Mineras	100	Leves	1
2016	Hombres	27	Andorra-Sierra de Arcos	136	Leves	1
2016	Hombres	28	Bajo Aragón	147	Leves	1
2016	Hombres	29	Comunidad de Teruel	387	Leves	1
2016	Hombres	30	Maestrazgo	12	Leves	1
2016	Hombres	31	Sierra de Albarracín	22	Leves	1
2016	Hombres	32	Gúdar-Javalambre	54	Leves	1
2016	Hombres	33	Matarraña / Matarranya	58	Leves	1
2016	Hombres	NC	Municipio del centro de trabajo fuera de Aragón	109	Leves	1
2016	Mujeres	01	La Jacetania	35	Leves	1
2016	Mujeres	02	Alto Gállego	27	Leves	1
2016	Mujeres	03	Sobrarbe	14	Leves	1
2016	Mujeres	04	La Ribagorza	40	Leves	1
2016	Mujeres	05	Cinco Villas	72	Leves	1
2016	Mujeres	06	Hoya de Huesca / Plana de Uesca	210	Leves	1
2016	Mujeres	07	Somontano de Barbastro	81	Leves	1
2016	Mujeres	08	Cinca Medio	48	Leves	1
2016	Mujeres	09	La Litera / La Llitera	35	Leves	1
2016	Mujeres	10	Los Monegros	22	Leves	1
2016	Mujeres	11	Bajo Cinca / Baix Cinca	82	Leves	1
2016	Mujeres	12	Tarazona y el Moncayo	28	Leves	1
2016	Mujeres	13	Campo de Borja	48	Leves	1
2016	Mujeres	14	Aranda	15	Leves	1
2016	Mujeres	15	Ribera Alta del Ebro	105	Leves	1
2016	Mujeres	16	Valdejalón	137	Leves	1
2016	Mujeres	17	Central	2465	Leves	1
2016	Mujeres	18	Ribera Baja del Ebro	30	Leves	1
2016	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	34	Leves	1
2016	Mujeres	20	Comunidad de Calatayud	81	Leves	1
2016	Mujeres	21	Campo de Cariñena	21	Leves	1
2016	Mujeres	22	Campo de Belchite	5	Leves	1
2016	Mujeres	23	Bajo Martín	8	Leves	1
2016	Mujeres	24	Campo de Daroca	7	Leves	1
2016	Mujeres	25	Jiloca	28	Leves	1
2016	Mujeres	26	Cuencas Mineras	25	Leves	1
2016	Mujeres	27	Andorra-Sierra de Arcos	28	Leves	1
2016	Mujeres	28	Bajo Aragón	78	Leves	1
2016	Mujeres	29	Comunidad de Teruel	202	Leves	1
2016	Mujeres	30	Maestrazgo	4	Leves	1
2016	Mujeres	31	Sierra de Albarracín	16	Leves	1
2016	Mujeres	32	Gúdar-Javalambre	20	Leves	1
2016	Mujeres	33	Matarraña / Matarranya	17	Leves	1
2016	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón	23	Leves	1
2015	Hombres	01	La Jacetania	81	Leves	1
2015	Hombres	02	Alto Gállego	66	Leves	1
2015	Hombres	03	Sobrarbe	28	Leves	1
2015	Hombres	04	La Ribagorza	83	Leves	1
2015	Hombres	05	Cinco Villas	276	Leves	1
2015	Hombres	06	Hoya de Huesca / Plana de Uesca	461	Leves	1
2015	Hombres	07	Somontano de Barbastro	175	Leves	1
2015	Hombres	08	Cinca Medio	241	Leves	1
2015	Hombres	09	La Litera / La Llitera	196	Leves	1
2015	Hombres	10	Los Monegros	157	Leves	1
2015	Hombres	11	Bajo Cinca / Baix Cinca	250	Leves	1
2015	Hombres	12	Tarazona y el Moncayo	102	Leves	1
2015	Hombres	13	Campo de Borja	96	Leves	1
2015	Hombres	14	Aranda	30	Leves	1
2015	Hombres	15	Ribera Alta del Ebro	435	Leves	1
2015	Hombres	16	Valdejalón	362	Leves	1
2015	Hombres	17	Central	4353	Leves	1
2015	Hombres	18	Ribera Baja del Ebro	69	Leves	1
2015	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	98	Leves	1
2015	Hombres	20	Comunidad de Calatayud	155	Leves	1
2015	Hombres	21	Campo de Cariñena	108	Leves	1
2015	Hombres	22	Campo de Belchite	20	Leves	1
2015	Hombres	23	Bajo Martín	59	Leves	1
2015	Hombres	24	Campo de Daroca	48	Leves	1
2015	Hombres	25	Jiloca	68	Leves	1
2015	Hombres	26	Cuencas Mineras	59	Leves	1
2015	Hombres	27	Andorra-Sierra de Arcos	107	Leves	1
2015	Hombres	28	Bajo Aragón	106	Leves	1
2015	Hombres	29	Comunidad de Teruel	239	Leves	1
2015	Hombres	30	Maestrazgo	12	Leves	1
2015	Hombres	31	Sierra de Albarracín	14	Leves	1
2015	Hombres	32	Gúdar-Javalambre	40	Leves	1
2015	Hombres	33	Matarraña / Matarranya	50	Leves	1
2015	Hombres	NC	Municipio del centro de trabajo fuera de Aragón	64	Leves	1
2015	Mujeres	01	La Jacetania	39	Leves	1
2015	Mujeres	02	Alto Gállego	31	Leves	1
2015	Mujeres	03	Sobrarbe	24	Leves	1
2015	Mujeres	04	La Ribagorza	31	Leves	1
2015	Mujeres	05	Cinco Villas	66	Leves	1
2015	Mujeres	06	Hoya de Huesca / Plana de Uesca	189	Leves	1
2015	Mujeres	07	Somontano de Barbastro	59	Leves	1
2015	Mujeres	08	Cinca Medio	51	Leves	1
2015	Mujeres	09	La Litera / La Llitera	44	Leves	1
2015	Mujeres	10	Los Monegros	24	Leves	1
2015	Mujeres	11	Bajo Cinca / Baix Cinca	68	Leves	1
2015	Mujeres	12	Tarazona y el Moncayo	21	Leves	1
2015	Mujeres	13	Campo de Borja	39	Leves	1
2015	Mujeres	14	Aranda	14	Leves	1
2015	Mujeres	15	Ribera Alta del Ebro	90	Leves	1
2015	Mujeres	16	Valdejalón	112	Leves	1
2015	Mujeres	17	Central	2330	Leves	1
2015	Mujeres	18	Ribera Baja del Ebro	28	Leves	1
2015	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	41	Leves	1
2015	Mujeres	20	Comunidad de Calatayud	86	Leves	1
2015	Mujeres	21	Campo de Cariñena	24	Leves	1
2015	Mujeres	22	Campo de Belchite	5	Leves	1
2015	Mujeres	23	Bajo Martín	7	Leves	1
2015	Mujeres	24	Campo de Daroca	8	Leves	1
2015	Mujeres	25	Jiloca	11	Leves	1
2015	Mujeres	26	Cuencas Mineras	23	Leves	1
2015	Mujeres	27	Andorra-Sierra de Arcos	17	Leves	1
2015	Mujeres	28	Bajo Aragón	41	Leves	1
2015	Mujeres	29	Comunidad de Teruel	107	Leves	1
2015	Mujeres	31	Sierra de Albarracín	7	Leves	1
2015	Mujeres	32	Gúdar-Javalambre	17	Leves	1
2015	Mujeres	33	Matarraña / Matarranya	4	Leves	1
2015	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón	10	Leves	1
2014	Hombres	01	La Jacetania	77	Leves	1
2014	Hombres	02	Alto Gállego	74	Leves	1
2014	Hombres	03	Sobrarbe	30	Leves	1
2014	Hombres	04	La Ribagorza	75	Leves	1
2014	Hombres	05	Cinco Villas	219	Leves	1
2014	Hombres	06	Hoya de Huesca / Plana de Uesca	458	Leves	1
2014	Hombres	07	Somontano de Barbastro	154	Leves	1
2014	Hombres	08	Cinca Medio	210	Leves	1
2014	Hombres	09	La Litera / La Llitera	170	Leves	1
2014	Hombres	10	Los Monegros	102	Leves	1
2014	Hombres	11	Bajo Cinca / Baix Cinca	240	Leves	1
2014	Hombres	12	Tarazona y el Moncayo	53	Leves	1
2014	Hombres	13	Campo de Borja	88	Leves	1
2014	Hombres	14	Aranda	32	Leves	1
2014	Hombres	15	Ribera Alta del Ebro	353	Leves	1
2014	Hombres	16	Valdejalón	341	Leves	1
2014	Hombres	17	Central	3838	Leves	1
2014	Hombres	18	Ribera Baja del Ebro	57	Leves	1
2014	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	69	Leves	1
2014	Hombres	20	Comunidad de Calatayud	163	Leves	1
2014	Hombres	21	Campo de Cariñena	87	Leves	1
2014	Hombres	22	Campo de Belchite	15	Leves	1
2014	Hombres	23	Bajo Martín	56	Leves	1
2014	Hombres	24	Campo de Daroca	46	Leves	1
2014	Hombres	25	Jiloca	77	Leves	1
2014	Hombres	26	Cuencas Mineras	73	Leves	1
2014	Hombres	27	Andorra-Sierra de Arcos	98	Leves	1
2014	Hombres	28	Bajo Aragón	128	Leves	1
2014	Hombres	29	Comunidad de Teruel	285	Leves	1
2014	Hombres	30	Maestrazgo	7	Leves	1
2014	Hombres	31	Sierra de Albarracín	11	Leves	1
2014	Hombres	32	Gúdar-Javalambre	46	Leves	1
2014	Hombres	33	Matarraña / Matarranya	28	Leves	1
2014	Hombres	NC	Municipio del centro de trabajo fuera de Aragón	72	Leves	1
2014	Mujeres	01	La Jacetania	54	Leves	1
2014	Mujeres	02	Alto Gállego	30	Leves	1
2014	Mujeres	03	Sobrarbe	16	Leves	1
2014	Mujeres	04	La Ribagorza	32	Leves	1
2014	Mujeres	05	Cinco Villas	59	Leves	1
2014	Mujeres	06	Hoya de Huesca / Plana de Uesca	180	Leves	1
2014	Mujeres	07	Somontano de Barbastro	45	Leves	1
2014	Mujeres	08	Cinca Medio	55	Leves	1
2014	Mujeres	09	La Litera / La Llitera	32	Leves	1
2014	Mujeres	10	Los Monegros	18	Leves	1
2014	Mujeres	11	Bajo Cinca / Baix Cinca	79	Leves	1
2014	Mujeres	12	Tarazona y el Moncayo	12	Leves	1
2014	Mujeres	13	Campo de Borja	35	Leves	1
2014	Mujeres	14	Aranda	15	Leves	1
2014	Mujeres	15	Ribera Alta del Ebro	79	Leves	1
2014	Mujeres	16	Valdejalón	108	Leves	1
2014	Mujeres	17	Central	2092	Leves	1
2014	Mujeres	18	Ribera Baja del Ebro	19	Leves	1
2014	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	27	Leves	1
2014	Mujeres	20	Comunidad de Calatayud	72	Leves	1
2014	Mujeres	21	Campo de Cariñena	17	Leves	1
2014	Mujeres	22	Campo de Belchite	1	Leves	1
2014	Mujeres	23	Bajo Martín	11	Leves	1
2014	Mujeres	24	Campo de Daroca	14	Leves	1
2014	Mujeres	25	Jiloca	15	Leves	1
2014	Mujeres	26	Cuencas Mineras	29	Leves	1
2014	Mujeres	27	Andorra-Sierra de Arcos	25	Leves	1
2014	Mujeres	28	Bajo Aragón	64	Leves	1
2014	Mujeres	29	Comunidad de Teruel	123	Leves	1
2014	Mujeres	30	Maestrazgo	1	Leves	1
2014	Mujeres	31	Sierra de Albarracín	5	Leves	1
2014	Mujeres	32	Gúdar-Javalambre	10	Leves	1
2014	Mujeres	33	Matarraña / Matarranya	9	Leves	1
2014	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón	15	Leves	1
