Año	Sexo	Edad (grupos quinquenales)	Nº Accidentes	CCAA
2016	Mujeres	25-29	352	Aragón
2016	Mujeres	30-34	435	Aragón
2016	Mujeres	35-39	537	Aragón
2016	Mujeres	40-44	639	Aragón
2016	Mujeres	45-49	587	Aragón
2016	Mujeres	50-54	612	Aragón
2016	Mujeres	55-59	459	Aragón
2016	Mujeres	60-64	256	Aragón
2016	Mujeres	Más de 64	20	Aragón
2015	Hombres	16-19	63	Aragón
2015	Hombres	20-24	491	Aragón
2015	Hombres	25-29	912	Aragón
2015	Hombres	30-34	1252	Aragón
2015	Hombres	35-39	1544	Aragón
2015	Hombres	40-44	1356	Aragón
2015	Hombres	45-49	1193	Aragón
2015	Hombres	50-54	977	Aragón
2015	Hombres	55-59	716	Aragón
2015	Hombres	60-64	294	Aragón
2015	Hombres	Más de 64	7	Aragón
2015	Mujeres	16-19	16	Aragón
2015	Mujeres	20-24	173	Aragón
2015	Mujeres	25-29	292	Aragón
2015	Mujeres	30-34	429	Aragón
2015	Mujeres	35-39	514	Aragón
2015	Mujeres	40-44	492	Aragón
2015	Mujeres	45-49	521	Aragón
2015	Mujeres	50-54	558	Aragón
2015	Mujeres	55-59	443	Aragón
2015	Mujeres	60-64	228	Aragón
2015	Mujeres	Más de 64	13	Aragón
2014	Hombres	16-19	42	Aragón
2014	Hombres	20-24	431	Aragón
2014	Hombres	25-29	821	Aragón
2014	Hombres	30-34	1140	Aragón
2014	Hombres	35-39	1440	Aragón
2014	Hombres	40-44	1293	Aragón
2014	Hombres	45-49	1015	Aragón
2014	Hombres	50-54	849	Aragón
2014	Hombres	55-59	617	Aragón
2014	Hombres	60-64	258	Aragón
2014	Hombres	Más de 64	12	Aragón
2014	Mujeres	16-19	18	Aragón
2014	Mujeres	20-24	144	Aragón
2014	Mujeres	25-29	319	Aragón
2014	Mujeres	30-34	359	Aragón
2014	Mujeres	35-39	486	Aragón
2014	Mujeres	40-44	470	Aragón
2014	Mujeres	45-49	493	Aragón
2014	Mujeres	50-54	548	Aragón
2014	Mujeres	55-59	378	Aragón
2014	Mujeres	60-64	190	Aragón
2014	Mujeres	Más de 64	2	Aragón
2013	Hombres	16-19	44	Aragón
2013	Hombres	20-24	408	Aragón
2013	Hombres	25-29	767	Aragón
2013	Hombres	30-34	1209	Aragón
2013	Hombres	35-39	1361	Aragón
2013	Hombres	40-44	1200	Aragón
2013	Hombres	45-49	1012	Aragón
2013	Hombres	50-54	824	Aragón
2013	Hombres	55-59	583	Aragón
2013	Hombres	60-64	218	Aragón
2013	Hombres	Más de 64	9	Aragón
2013	Mujeres	16-19	10	Aragón
2013	Mujeres	20-24	127	Aragón
2013	Mujeres	25-29	342	Aragón
2013	Mujeres	30-34	402	Aragón
2013	Mujeres	35-39	448	Aragón
2013	Mujeres	40-44	447	Aragón
2013	Mujeres	45-49	481	Aragón
2013	Mujeres	50-54	493	Aragón
2013	Mujeres	55-59	372	Aragón
2013	Mujeres	60-64	172	Aragón
2013	Mujeres	Más de 64	6	Aragón
2012	Hombres	16-19	60	Aragón
2012	Hombres	20-24	546	Aragón
2012	Hombres	25-29	963	Aragón
2012	Hombres	30-34	1318	Aragón
2012	Hombres	35-39	1360	Aragón
2012	Hombres	40-44	1174	Aragón
2012	Hombres	45-49	1087	Aragón
2012	Hombres	50-54	849	Aragón
2012	Hombres	55-59	601	Aragón
2012	Hombres	60-64	268	Aragón
2012	Hombres	Más de 64	11	Aragón
2012	Mujeres	16-19	16	Aragón
2012	Mujeres	20-24	175	Aragón
2012	Mujeres	25-29	299	Aragón
2012	Mujeres	30-34	397	Aragón
2012	Mujeres	35-39	384	Aragón
2012	Mujeres	40-44	431	Aragón
2012	Mujeres	45-49	426	Aragón
2012	Mujeres	50-54	366	Aragón
2012	Mujeres	55-59	277	Aragón
2012	Mujeres	60-64	146	Aragón
2012	Mujeres	Más de 64	9	Aragón
2011	Hombres	16-19	117	Aragón
2011	Hombres	20-24	793	Aragón
2011	Hombres	25-29	1290	Aragón
2011	Hombres	30-34	1677	Aragón
2011	Hombres	35-39	1662	Aragón
2011	Hombres	40-44	1432	Aragón
2011	Hombres	45-49	1183	Aragón
2011	Hombres	50-54	899	Aragón
2011	Hombres	55-59	678	Aragón
2011	Hombres	60-64	264	Aragón
2011	Hombres	Más de 64	16	Aragón
2011	Mujeres	16-19	32	Aragón
2011	Mujeres	20-24	237	Aragón
2011	Mujeres	25-29	446	Aragón
2011	Mujeres	30-34	514	Aragón
2011	Mujeres	35-39	552	Aragón
2011	Mujeres	40-44	532	Aragón
2011	Mujeres	45-49	502	Aragón
2011	Mujeres	50-54	454	Aragón
2011	Mujeres	55-59	301	Aragón
2011	Mujeres	60-64	143	Aragón
2011	Mujeres	Más de 64	9	Aragón
2010	Hombres	16-19	155	Aragón
2010	Hombres	20-24	933	Aragón
2010	Hombres	25-29	1493	Aragón
2010	Hombres	30-34	1920	Aragón
2010	Hombres	35-39	1793	Aragón
2010	Hombres	40-44	1551	Aragón
2010	Hombres	45-49	1280	Aragón
2010	Hombres	50-54	984	Aragón
2010	Hombres	55-59	730	Aragón
2010	Hombres	60-64	291	Aragón
2010	Hombres	Más de 64	11	Aragón
2010	Mujeres	16-19	40	Aragón
2010	Mujeres	20-24	297	Aragón
2010	Mujeres	25-29	488	Aragón
2010	Mujeres	30-34	614	Aragón
2010	Mujeres	35-39	604	Aragón
2010	Mujeres	40-44	565	Aragón
2010	Mujeres	45-49	568	Aragón
2010	Mujeres	50-54	445	Aragón
2010	Mujeres	55-59	282	Aragón
2010	Mujeres	60-64	138	Aragón
2010	Mujeres	Más de 64	12	Aragón
2009	Hombres	16-19	224	Aragón
2009	Hombres	20-24	1148	Aragón
2009	Hombres	25-29	1632	Aragón
2009	Hombres	30-34	2099	Aragón
2009	Hombres	35-39	1798	Aragón
2009	Hombres	40-44	1585	Aragón
2009	Hombres	45-49	1314	Aragón
2009	Hombres	50-54	975	Aragón
2009	Hombres	55-59	777	Aragón
2009	Hombres	60-64	321	Aragón
2009	Hombres	Más de 64	29	Aragón
2009	Mujeres	16-19	65	Aragón
2009	Mujeres	20-24	359	Aragón
2009	Mujeres	25-29	574	Aragón
2009	Mujeres	30-34	584	Aragón
2009	Mujeres	35-39	579	Aragón
2009	Mujeres	40-44	523	Aragón
2009	Mujeres	45-49	572	Aragón
2009	Mujeres	50-54	451	Aragón
2009	Mujeres	55-59	285	Aragón
2009	Mujeres	60-64	113	Aragón
2009	Mujeres	Más de 64	11	Aragón
2008	Hombres	16-19	599	Aragón
2008	Hombres	20-24	1988	Aragón
2008	Hombres	25-29	2814	Aragón
2008	Hombres	30-34	2951	Aragón
2008	Hombres	35-39	2636	Aragón
2008	Hombres	40-44	2222	Aragón
2008	Hombres	45-49	1720	Aragón
2008	Hombres	50-54	1249	Aragón
2008	Hombres	55-59	942	Aragón
2008	Hombres	60-64	389	Aragón
2008	Hombres	Más de 64	26	Aragón
2008	Mujeres	16-19	150	Aragón
2008	Mujeres	20-24	581	Aragón
2008	Mujeres	25-29	861	Aragón
2008	Mujeres	30-34	809	Aragón
2008	Mujeres	35-39	720	Aragón
2008	Mujeres	40-44	755	Aragón
2008	Mujeres	45-49	652	Aragón
2008	Mujeres	50-54	531	Aragón
2008	Mujeres	55-59	314	Aragón
2008	Mujeres	60-64	132	Aragón
2008	Mujeres	Más de 64	9	Aragón
2007	Hombres	16-19	777	Aragón
2007	Hombres	20-24	2361	Aragón
2007	Hombres	25-29	3213	Aragón
2007	Hombres	30-34	3258	Aragón
2007	Hombres	35-39	2844	Aragón
2007	Hombres	40-44	2358	Aragón
2007	Hombres	45-49	1847	Aragón
2007	Hombres	50-54	1343	Aragón
2007	Hombres	55-59	1050	Aragón
2007	Hombres	60-64	393	Aragón
2007	Hombres	Más de 64	17	Aragón
2007	Mujeres	16-19	153	Aragón
2007	Mujeres	20-24	663	Aragón
2007	Mujeres	25-29	906	Aragón
2007	Mujeres	30-34	830	Aragón
2007	Mujeres	35-39	731	Aragón
2007	Mujeres	40-44	705	Aragón
2007	Mujeres	45-49	636	Aragón
2007	Mujeres	50-54	444	Aragón
2007	Mujeres	55-59	322	Aragón
2007	Mujeres	60-64	115	Aragón
2007	Mujeres	Más de 64	6	Aragón
2006	Hombres	16-19	671	Aragón
2006	Hombres	20-24	2420	Aragón
2006	Hombres	25-29	3158	Aragón
2006	Hombres	30-34	3084	Aragón
2006	Hombres	35-39	2626	Aragón
2006	Hombres	40-44	2204	Aragón
2006	Hombres	45-49	1659	Aragón
2006	Hombres	50-54	1183	Aragón
2006	Hombres	55-59	949	Aragón
2006	Hombres	60-64	414	Aragón
2006	Hombres	Más de 64	16	Aragón
2006	Mujeres	16-19	160	Aragón
2006	Mujeres	20-24	638	Aragón
2006	Mujeres	25-29	846	Aragón
2006	Mujeres	30-34	711	Aragón
2006	Mujeres	35-39	680	Aragón
2006	Mujeres	40-44	590	Aragón
2006	Mujeres	45-49	566	Aragón
2006	Mujeres	50-54	379	Aragón
2006	Mujeres	55-59	280	Aragón
2006	Mujeres	60-64	112	Aragón
2006	Mujeres	Más de 64	5	Aragón
2005	Hombres	16-19	717	Aragón
2005	Hombres	20-24	2457	Aragón
2005	Hombres	25-29	3015	Aragón
2005	Hombres	30-34	2704	Aragón
2005	Hombres	35-39	2461	Aragón
2005	Hombres	40-44	1997	Aragón
2005	Hombres	45-49	1432	Aragón
2005	Hombres	50-54	1137	Aragón
2005	Hombres	55-59	962	Aragón
2005	Hombres	60-64	392	Aragón
2005	Hombres	Más de 64	13	Aragón
2005	Mujeres	16-19	155	Aragón
2005	Mujeres	20-24	670	Aragón
2005	Mujeres	25-29	884	Aragón
2005	Mujeres	30-34	700	Aragón
2005	Mujeres	35-39	567	Aragón
2005	Mujeres	40-44	567	Aragón
2005	Mujeres	45-49	459	Aragón
2005	Mujeres	50-54	359	Aragón
2005	Mujeres	55-59	250	Aragón
2005	Mujeres	60-64	87	Aragón
2005	Mujeres	Más de 64	4	Aragón
2004	Hombres	16-19	765	Aragón
2004	Hombres	20-24	2254	Aragón
2004	Hombres	25-29	2928	Aragón
2004	Hombres	30-34	2677	Aragón
2004	Hombres	35-39	2301	Aragón
2004	Hombres	40-44	1856	Aragón
2004	Hombres	45-49	1347	Aragón
2004	Hombres	50-54	1117	Aragón
2004	Hombres	55-59	932	Aragón
2004	Hombres	60-64	385	Aragón
2004	Hombres	Más de 64	8	Aragón
2004	Hombres	Sin clasificar	1	Aragón
2004	Mujeres	16-19	146	Aragón
2004	Mujeres	20-24	634	Aragón
2004	Mujeres	25-29	819	Aragón
2004	Mujeres	30-34	641	Aragón
2004	Mujeres	35-39	512	Aragón
2004	Mujeres	40-44	501	Aragón
2004	Mujeres	45-49	385	Aragón
2004	Mujeres	50-54	295	Aragón
2004	Mujeres	55-59	211	Aragón
2004	Mujeres	60-64	84	Aragón
2004	Mujeres	Más de 64	2	Aragón
2004	Mujeres	Sin clasificar	1	Aragón
2003	Hombres	16-19	779	Aragón
2003	Hombres	20-24	2415	Aragón
2003	Hombres	25-29	2963	Aragón
2003	Hombres	30-34	2633	Aragón
2003	Hombres	35-39	2297	Aragón
2003	Hombres	40-44	1843	Aragón
2003	Hombres	45-49	1346	Aragón
2003	Hombres	50-54	1137	Aragón
2003	Hombres	55-59	902	Aragón
2003	Hombres	60-64	373	Aragón
2003	Hombres	Más de 64	13	Aragón
2003	Mujeres	16-19	155	Aragón
2003	Mujeres	20-24	649	Aragón
2003	Mujeres	25-29	813	Aragón
2003	Mujeres	30-34	598	Aragón
2003	Mujeres	35-39	528	Aragón
2003	Mujeres	40-44	436	Aragón
2003	Mujeres	45-49	351	Aragón
2003	Mujeres	50-54	300	Aragón
2003	Mujeres	55-59	215	Aragón
2003	Mujeres	60-64	58	Aragón
2003	Mujeres	Más de 64	4	Aragón
