Comarca código	Comarca nombre	Año	Orden	Siglas	Concejales
05	Cinco Villas	2015	89	GANAR-ZRZ	1
06	Hoya de Huesca / Plana de Uesca	2007	1	PSOE	100
06	Hoya de Huesca / Plana de Uesca	2007	2	PP	86
06	Hoya de Huesca / Plana de Uesca	2007	3	PAR	52
06	Hoya de Huesca / Plana de Uesca	2007	4	CHA	17
06	Hoya de Huesca / Plana de Uesca	2007	5	IU	1
06	Hoya de Huesca / Plana de Uesca	2007	13	LV-GV	0
06	Hoya de Huesca / Plana de Uesca	2007	16	PFYV	0
06	Hoya de Huesca / Plana de Uesca	2007	25	A.E.S.	2
06	Hoya de Huesca / Plana de Uesca	2007	26	AI	0
06	Hoya de Huesca / Plana de Uesca	2007	43	AIEADO	0
06	Hoya de Huesca / Plana de Uesca	2011	1	PP	97
06	Hoya de Huesca / Plana de Uesca	2011	2	PSOE	98
06	Hoya de Huesca / Plana de Uesca	2011	3	PAR	55
06	Hoya de Huesca / Plana de Uesca	2011	4	CHA	15
06	Hoya de Huesca / Plana de Uesca	2011	5	IU	2
06	Hoya de Huesca / Plana de Uesca	2011	6	UPyD	0
06	Hoya de Huesca / Plana de Uesca	2011	8	FIA	0
06	Hoya de Huesca / Plana de Uesca	2011	9	ECOLO	0
06	Hoya de Huesca / Plana de Uesca	2011	17	AES	0
06	Hoya de Huesca / Plana de Uesca	2011	29	ECOLO VERDES	1
06	Hoya de Huesca / Plana de Uesca	2011	34	UCE	0
06	Hoya de Huesca / Plana de Uesca	2015	1	PP	93
06	Hoya de Huesca / Plana de Uesca	2015	2	PSOE	99
06	Hoya de Huesca / Plana de Uesca	2015	4	PAR	47
06	Hoya de Huesca / Plana de Uesca	2015	5	C's	3
06	Hoya de Huesca / Plana de Uesca	2015	7	CHA	9
06	Hoya de Huesca / Plana de Uesca	2015	9	UPyD	0
06	Hoya de Huesca / Plana de Uesca	2015	10	EB	0
06	Hoya de Huesca / Plana de Uesca	2015	13	ARAGONSIPUEDE	4
06	Hoya de Huesca / Plana de Uesca	2015	15	CAMBIAR	5
06	Hoya de Huesca / Plana de Uesca	2015	28	FIA	2
06	Hoya de Huesca / Plana de Uesca	2015	63	A.E.G.	3
06	Hoya de Huesca / Plana de Uesca	2015	78	AE MURILLO DE GALLEGO	3
07	Somontano de Barbastro	2007	1	PSOE	81
07	Somontano de Barbastro	2007	2	PP	46
07	Somontano de Barbastro	2007	3	PAR	15
07	Somontano de Barbastro	2007	4	CHA	27
07	Somontano de Barbastro	2007	5	IU	1
07	Somontano de Barbastro	2007	13	LV-GV	1
07	Somontano de Barbastro	2007	20	AEI-CP	4
07	Somontano de Barbastro	2007	42	AE NAVAL-MI	0
07	Somontano de Barbastro	2011	1	PP	67
07	Somontano de Barbastro	2011	2	PSOE	78
07	Somontano de Barbastro	2011	3	PAR	18
07	Somontano de Barbastro	2011	4	CHA	9
07	Somontano de Barbastro	2011	5	IU	3
07	Somontano de Barbastro	2011	8	FIA	0
07	Somontano de Barbastro	2011	9	ECOLO	0
07	Somontano de Barbastro	2011	37	A E NAVAL-MIPANAS	0
07	Somontano de Barbastro	2015	1	PP	50
07	Somontano de Barbastro	2015	2	PSOE	86
07	Somontano de Barbastro	2015	4	PAR	22
07	Somontano de Barbastro	2015	5	C's	2
07	Somontano de Barbastro	2015	7	CHA	3
07	Somontano de Barbastro	2015	13	ARAGONSIPUEDE	3
07	Somontano de Barbastro	2015	15	CAMBIAR	3
07	Somontano de Barbastro	2015	47	C.P.Btro	0
08	Cinca Medio	2007	1	PSOE	34
08	Cinca Medio	2007	2	PP	24
08	Cinca Medio	2007	3	PAR	18
08	Cinca Medio	2007	4	CHA	2
08	Cinca Medio	2007	5	IU	0
08	Cinca Medio	2007	10	IU-A	1
08	Cinca Medio	2011	1	PP	26
08	Cinca Medio	2011	2	PSOE	29
08	Cinca Medio	2011	3	PAR	19
08	Cinca Medio	2011	4	CHA	3
08	Cinca Medio	2011	5	IU	2
08	Cinca Medio	2011	8	FIA	0
08	Cinca Medio	2015	1	PP	21
08	Cinca Medio	2015	2	PSOE	35
08	Cinca Medio	2015	4	PAR	15
08	Cinca Medio	2015	5	C's	1
08	Cinca Medio	2015	7	CHA	1
08	Cinca Medio	2015	10	EB	0
08	Cinca Medio	2015	15	CAMBIAR	4
09	La Litera / La Llitera	2007	1	PSOE	58
09	La Litera / La Llitera	2007	2	PP	18
09	La Litera / La Llitera	2007	3	PAR	24
09	La Litera / La Llitera	2007	4	CHA	2
09	La Litera / La Llitera	2007	10	IU-A	0
09	La Litera / La Llitera	2011	1	PP	27
09	La Litera / La Llitera	2011	2	PSOE	52
09	La Litera / La Llitera	2011	3	PAR	19
09	La Litera / La Llitera	2011	4	CHA	2
09	La Litera / La Llitera	2011	5	IU	0
09	La Litera / La Llitera	2015	1	PP	20
09	La Litera / La Llitera	2015	2	PSOE	59
09	La Litera / La Llitera	2015	4	PAR	14
09	La Litera / La Llitera	2015	5	C's	0
09	La Litera / La Llitera	2015	7	CHA	0
09	La Litera / La Llitera	2015	15	CAMBIAR	5
10	Los Monegros	2007	1	PSOE	96
10	Los Monegros	2007	2	PP	49
10	Los Monegros	2007	3	PAR	56
10	Los Monegros	2007	4	CHA	10
10	Los Monegros	2007	5	IU	0
10	Los Monegros	2007	18	P.S.	1
10	Los Monegros	2007	27	I.E.I.	0
10	Los Monegros	2007	33	A AL	1
10	Los Monegros	2011	1	PP	55
10	Los Monegros	2011	2	PSOE	83
10	Los Monegros	2011	3	PAR	55
10	Los Monegros	2011	4	CHA	7
10	Los Monegros	2011	5	IU	1
10	Los Monegros	2011	7	COMPROMISO CON ARAGON	0
10	Los Monegros	2011	8	FIA	1
10	Los Monegros	2011	24	A E I POLEÑINO	1
10	Los Monegros	2015	1	PP	59
10	Los Monegros	2015	2	PSOE	95
10	Los Monegros	2015	4	PAR	41
10	Los Monegros	2015	7	CHA	4
10	Los Monegros	2015	13	ARAGONSIPUEDE	1
10	Los Monegros	2015	15	CAMBIAR	0
10	Los Monegros	2015	67	A.I.E.V.I.	3
11	Bajo Cinca / Baix Cinca	2007	1	PSOE	44
11	Bajo Cinca / Baix Cinca	2007	2	PP	27
11	Bajo Cinca / Baix Cinca	2007	3	PAR	20
11	Bajo Cinca / Baix Cinca	2007	4	CHA	1
11	Bajo Cinca / Baix Cinca	2007	5	IU	3
11	Bajo Cinca / Baix Cinca	2007	19	ALCIVI	0
11	Bajo Cinca / Baix Cinca	2011	1	PP	35
11	Bajo Cinca / Baix Cinca	2011	2	PSOE	45
11	Bajo Cinca / Baix Cinca	2011	3	PAR	15
11	Bajo Cinca / Baix Cinca	2011	4	CHA	0
11	Bajo Cinca / Baix Cinca	2011	5	IU	0
11	Bajo Cinca / Baix Cinca	2011	20	CDF	0
11	Bajo Cinca / Baix Cinca	2015	1	PP	32
11	Bajo Cinca / Baix Cinca	2015	2	PSOE	45
11	Bajo Cinca / Baix Cinca	2015	4	PAR	15
11	Bajo Cinca / Baix Cinca	2015	5	C's	1
11	Bajo Cinca / Baix Cinca	2015	7	CHA	0
11	Bajo Cinca / Baix Cinca	2015	13	ARAGONSIPUEDE	1
11	Bajo Cinca / Baix Cinca	2015	15	CAMBIAR	0
11	Bajo Cinca / Baix Cinca	2015	42	CXF	1
12	Tarazona y el Moncayo	2007	1	PSOE	32
12	Tarazona y el Moncayo	2007	2	PP	38
12	Tarazona y el Moncayo	2007	3	PAR	16
12	Tarazona y el Moncayo	2007	4	CHA	3
12	Tarazona y el Moncayo	2007	5	IU	0
12	Tarazona y el Moncayo	2007	14	CC-IU	1
12	Tarazona y el Moncayo	2011	1	PP	47
12	Tarazona y el Moncayo	2011	2	PSOE	30
12	Tarazona y el Moncayo	2011	3	PAR	15
12	Tarazona y el Moncayo	2011	4	CHA	2
12	Tarazona y el Moncayo	2011	5	IU	2
12	Tarazona y el Moncayo	2011	7	COMPROMISO CON ARAGON	0
12	Tarazona y el Moncayo	2011	34	UCE	0
12	Tarazona y el Moncayo	2015	1	PP	49
12	Tarazona y el Moncayo	2015	2	PSOE	32
12	Tarazona y el Moncayo	2015	3	ZGZ	3
12	Tarazona y el Moncayo	2015	4	PAR	9
12	Tarazona y el Moncayo	2015	5	C's	2
12	Tarazona y el Moncayo	2015	7	CHA	1
12	Tarazona y el Moncayo	2015	12	COMPROMISO CON ARAGON	0
12	Tarazona y el Moncayo	2015	72	IU	0
13	Campo de Borja	2007	1	PSOE	61
13	Campo de Borja	2007	2	PP	24
13	Campo de Borja	2007	3	PAR	30
13	Campo de Borja	2007	4	CHA	7
13	Campo de Borja	2011	1	PP	38
13	Campo de Borja	2011	2	PSOE	57
13	Campo de Borja	2011	3	PAR	25
13	Campo de Borja	2011	4	CHA	3
13	Campo de Borja	2011	5	IU	1
13	Campo de Borja	2011	34	UCE	0
13	Campo de Borja	2015	1	PP	40
13	Campo de Borja	2015	2	PSOE	49
13	Campo de Borja	2015	4	PAR	17
13	Campo de Borja	2015	7	CHA	5
13	Campo de Borja	2015	12	COMPROMISO CON ARAGON	0
13	Campo de Borja	2015	13	ARAGONSIPUEDE	2
13	Campo de Borja	2015	17	IU-ZGZ	1
13	Campo de Borja	2015	38	POR MALLEN	4
14	Aranda	2007	1	PSOE	30
14	Aranda	2007	2	PP	15
14	Aranda	2007	3	PAR	19
14	Aranda	2007	4	CHA	2
14	Aranda	2007	5	IU	1
14	Aranda	2011	1	PP	17
14	Aranda	2011	2	PSOE	24
14	Aranda	2011	3	PAR	24
14	Aranda	2011	4	CHA	1
14	Aranda	2011	5	IU	1
14	Aranda	2011	31	INDEPENDIENTE CALCENA	2
14	Aranda	2015	1	PP	17
14	Aranda	2015	2	PSOE	29
14	Aranda	2015	4	PAR	19
14	Aranda	2015	7	CHA	2
14	Aranda	2015	17	IU-ZGZ	1
14	Aranda	2015	28	FIA	1
15	Ribera Alta del Ebro	2007	1	PSOE	75
15	Ribera Alta del Ebro	2007	2	PP	32
15	Ribera Alta del Ebro	2007	3	PAR	21
15	Ribera Alta del Ebro	2007	4	CHA	8
15	Ribera Alta del Ebro	2007	5	IU	4
15	Ribera Alta del Ebro	2007	6	LV-FIA	1
15	Ribera Alta del Ebro	2011	1	PP	42
15	Ribera Alta del Ebro	2011	2	PSOE	62
15	Ribera Alta del Ebro	2011	3	PAR	25
15	Ribera Alta del Ebro	2011	4	CHA	7
15	Ribera Alta del Ebro	2011	5	IU	2
15	Ribera Alta del Ebro	2011	6	UPyD	1
15	Ribera Alta del Ebro	2011	8	FIA	0
15	Ribera Alta del Ebro	2015	1	PP	46
15	Ribera Alta del Ebro	2015	2	PSOE	69
15	Ribera Alta del Ebro	2015	4	PAR	12
15	Ribera Alta del Ebro	2015	5	C's	1
15	Ribera Alta del Ebro	2015	7	CHA	7
15	Ribera Alta del Ebro	2015	13	ARAGONSIPUEDE	3
15	Ribera Alta del Ebro	2015	17	IU-ZGZ	3
15	Ribera Alta del Ebro	2015	30	BAR	0
15	Ribera Alta del Ebro	2015	41	CCA-ZGZ	2
16	Valdejalón	2007	1	PSOE	59
16	Valdejalón	2007	2	PP	39
16	Valdejalón	2007	3	PAR	20
16	Valdejalón	2007	4	CHA	21
16	Valdejalón	2007	5	IU	0
16	Valdejalón	2007	6	LV-FIA	0
16	Valdejalón	2011	1	PP	51
16	Valdejalón	2011	2	PSOE	56
16	Valdejalón	2011	3	PAR	12
16	Valdejalón	2011	4	CHA	17
16	Valdejalón	2011	5	IU	1
16	Valdejalón	2011	6	UPyD	0
16	Valdejalón	2011	7	COMPROMISO CON ARAGON	0
16	Valdejalón	2011	8	FIA	3
16	Valdejalón	2011	12	CDL	1
16	Valdejalón	2015	1	PP	47
16	Valdejalón	2015	2	PSOE	60
16	Valdejalón	2015	3	ZGZ	3
16	Valdejalón	2015	4	PAR	14
16	Valdejalón	2015	5	C's	1
16	Valdejalón	2015	7	CHA	9
16	Valdejalón	2015	17	IU-ZGZ	2
16	Valdejalón	2015	28	FIA	0
16	Valdejalón	2015	40	SOMOS EPILA	2
16	Valdejalón	2015	55	GLM-ZGZ	1
17	Central	2007	1	PSOE	89
17	Central	2007	2	PP	62
17	Central	2007	3	PAR	42
17	Central	2007	4	CHA	18
17	Central	2007	5	IU	2
17	Central	2007	6	LV-FIA	0
17	Central	2007	8	PCUA	0
17	Central	2007	9	CDL	3
17	Central	2007	11	PACMA	0
17	Central	2007	12	CIPV	6
17	Central	2007	15	PUM+J	0
17	Central	2007	16	PFYV	0
17	Central	2007	17	PH	0
17	Central	2007	23	CAVA	1
17	Central	2007	24	PSD	0
17	Central	2007	40	PAVIP	0
17	Central	2011	1	PP	78
17	Central	2011	2	PSOE	75
17	Central	2011	3	PAR	44
17	Central	2011	4	CHA	22
17	Central	2011	5	IU	5
17	Central	2011	6	UPyD	0
17	Central	2011	7	COMPROMISO CON ARAGON	0
17	Central	2011	8	FIA	4
17	Central	2011	9	ECOLO	0
17	Central	2011	10	LV-GV	0
17	Central	2011	11	PACMA	0
17	Central	2011	12	CDL	2
17	Central	2011	14	PUM+J	0
17	Central	2011	15	TA	0
17	Central	2011	16	PCUA	0
17	Central	2011	17	AES	0
17	Central	2011	18	PCPE	0
17	Central	2011	19	PFYV	0
17	Central	2011	21	PH	0
17	Central	2011	22	L'VIA	1
17	Central	2011	23	ACC	0
17	Central	2011	27	CAVA	0
17	Central	2015	1	PP	69
17	Central	2015	2	PSOE	69
17	Central	2015	3	ZGZ	12
17	Central	2015	4	PAR	40
17	Central	2015	5	C's	16
17	Central	2015	7	CHA	17
17	Central	2015	9	UPyD	0
17	Central	2015	10	EB	0
17	Central	2015	11	PACMA	0
17	Central	2015	12	COMPROMISO CON ARAGON	2
17	Central	2015	13	ARAGONSIPUEDE	2
17	Central	2015	14	LV-GV	0
17	Central	2015	17	IU-ZGZ	4
17	Central	2015	18	P.C.P.E.	0
17	Central	2015	22	M.S.R.	0
17	Central	2015	28	FIA	1
17	Central	2015	30	BAR	0
17	Central	2015	32	E.A.	0
17	Central	2015	37	SZ - ZGZ	2
17	Central	2015	43	FIA-PILL	1
17	Central	2015	46	UNIÓN UTEBO	0
17	Central	2015	61	GA-ZGZ	2
17	Central	2015	84	A.E.L.H.A.	0
18	Ribera Baja del Ebro	2007	1	PSOE	40
18	Ribera Baja del Ebro	2007	2	PP	17
18	Ribera Baja del Ebro	2007	3	PAR	12
18	Ribera Baja del Ebro	2007	4	CHA	5
18	Ribera Baja del Ebro	2007	5	IU	0
18	Ribera Baja del Ebro	2011	1	PP	17
18	Ribera Baja del Ebro	2011	2	PSOE	42
18	Ribera Baja del Ebro	2011	3	PAR	14
18	Ribera Baja del Ebro	2011	4	CHA	3
18	Ribera Baja del Ebro	2011	5	IU	0
18	Ribera Baja del Ebro	2015	1	PP	18
18	Ribera Baja del Ebro	2015	2	PSOE	35
18	Ribera Baja del Ebro	2015	4	PAR	15
18	Ribera Baja del Ebro	2015	7	CHA	5
18	Ribera Baja del Ebro	2015	10	EB	0
18	Ribera Baja del Ebro	2015	59	A.V.P.	1
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2007	1	PSOE	22
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2007	2	PP	20
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2007	3	PAR	7
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2007	4	CHA	2
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2007	5	IU	0
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2007	7	CPC	5
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	1	PP	23
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	2	PSOE	18
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	3	PAR	8
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	4	CHA	4
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	13	CPC	3
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2015	1	PP	28
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2015	2	PSOE	20
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2015	4	PAR	0
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2015	5	C's	0
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2015	7	CHA	5
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2015	13	ARAGONSIPUEDE	1
20	Comunidad de Calatayud	2007	1	PSOE	162
20	Comunidad de Calatayud	2007	2	PP	85
20	Comunidad de Calatayud	2007	3	PAR	87
20	Comunidad de Calatayud	2007	4	CHA	15
20	Comunidad de Calatayud	2007	5	IU	1
20	Comunidad de Calatayud	2007	22	IA	3
20	Comunidad de Calatayud	2011	1	PP	93
20	Comunidad de Calatayud	2011	2	PSOE	161
20	Comunidad de Calatayud	2011	3	PAR	95
20	Comunidad de Calatayud	2011	4	CHA	21
20	Comunidad de Calatayud	2011	5	IU	0
20	Comunidad de Calatayud	2011	6	UPyD	0
20	Comunidad de Calatayud	2011	8	FIA	1
20	Comunidad de Calatayud	2011	35	A E I SABIÑAN	0
20	Comunidad de Calatayud	2015	1	PP	87
20	Comunidad de Calatayud	2015	2	PSOE	151
20	Comunidad de Calatayud	2015	4	PAR	89
20	Comunidad de Calatayud	2015	5	C's	5
20	Comunidad de Calatayud	2015	7	CHA	18
20	Comunidad de Calatayud	2015	13	ARAGONSIPUEDE	1
20	Comunidad de Calatayud	2015	17	IU-ZGZ	1
20	Comunidad de Calatayud	2015	52	CALATAYUD PLURAL - ZGZ	0
20	Comunidad de Calatayud	2015	62	IP ATECA - ZGZ	1
20	Comunidad de Calatayud	2015	77	AGRUPACION DE ELECTORES TODOS CERVERA	2
20	Comunidad de Calatayud	2015	92	COMIENZOS NUEVOS	0
21	Campo de Cariñena	2007	1	PSOE	40
21	Campo de Cariñena	2007	2	PP	21
21	Campo de Cariñena	2007	3	PAR	19
21	Campo de Cariñena	2007	4	CHA	11
21	Campo de Cariñena	2007	5	IU	0
21	Campo de Cariñena	2007	21	GIC	1
21	Campo de Cariñena	2011	1	PP	22
21	Campo de Cariñena	2011	2	PSOE	42
21	Campo de Cariñena	2011	3	PAR	14
21	Campo de Cariñena	2011	4	CHA	10
21	Campo de Cariñena	2011	5	IU	0
21	Campo de Cariñena	2011	30	PIRUM	0
21	Campo de Cariñena	2015	1	PP	20
21	Campo de Cariñena	2015	2	PSOE	39
21	Campo de Cariñena	2015	4	PAR	13
21	Campo de Cariñena	2015	5	C's	4
21	Campo de Cariñena	2015	7	CHA	9
21	Campo de Cariñena	2015	12	COMPROMISO CON ARAGON	2
21	Campo de Cariñena	2015	88	JUNTOS POR ALADRÉN	1
22	Campo de Belchite	2007	1	PSOE	30
22	Campo de Belchite	2007	2	PP	9
22	Campo de Belchite	2007	3	PAR	36
22	Campo de Belchite	2007	4	CHA	1
22	Campo de Belchite	2007	5	IU	0
22	Campo de Belchite	2007	31	UCL	1
22	Campo de Belchite	2011	1	PP	15
22	Campo de Belchite	2011	2	PSOE	31
22	Campo de Belchite	2011	3	PAR	37
22	Campo de Belchite	2011	4	CHA	1
22	Campo de Belchite	2011	5	IU	0
22	Campo de Belchite	2011	32	UCL	1
22	Campo de Belchite	2015	1	PP	23
22	Campo de Belchite	2015	2	PSOE	26
22	Campo de Belchite	2015	4	PAR	31
22	Campo de Belchite	2015	5	C's	0
22	Campo de Belchite	2015	7	CHA	0
22	Campo de Belchite	2015	12	COMPROMISO CON ARAGON	3
22	Campo de Belchite	2015	17	IU-ZGZ	0
22	Campo de Belchite	2015	30	BAR	0
23	Bajo Martín	2007	1	PSOE	29
23	Bajo Martín	2007	2	PP	19
23	Bajo Martín	2007	3	PAR	6
23	Bajo Martín	2007	4	CHA	3
23	Bajo Martín	2007	5	IU	3
23	Bajo Martín	2007	37	CDIG	1
23	Bajo Martín	2011	1	PP	16
23	Bajo Martín	2011	2	PSOE	27
23	Bajo Martín	2011	3	PAR	11
23	Bajo Martín	2011	4	CHA	1
23	Bajo Martín	2011	5	IU	5
23	Bajo Martín	2011	8	FIA	1
23	Bajo Martín	2015	1	PP	23
23	Bajo Martín	2015	2	PSOE	18
23	Bajo Martín	2015	4	PAR	8
23	Bajo Martín	2015	5	C's	2
23	Bajo Martín	2015	7	CHA	0
23	Bajo Martín	2015	16	G:IU-LV	8
23	Bajo Martín	2015	90	YA	0
24	Campo de Daroca	2007	1	PSOE	45
24	Campo de Daroca	2007	2	PP	29
24	Campo de Daroca	2007	3	PAR	39
24	Campo de Daroca	2007	4	CHA	0
24	Campo de Daroca	2007	5	IU	0
24	Campo de Daroca	2007	39	IND	0
24	Campo de Daroca	2011	1	PP	28
24	Campo de Daroca	2011	2	PSOE	43
24	Campo de Daroca	2011	3	PAR	45
24	Campo de Daroca	2011	4	CHA	0
24	Campo de Daroca	2011	5	IU	0
24	Campo de Daroca	2011	7	COMPROMISO CON ARAGON	1
24	Campo de Daroca	2015	1	PP	28
24	Campo de Daroca	2015	2	PSOE	52
24	Campo de Daroca	2015	4	PAR	36
24	Campo de Daroca	2015	7	CHA	2
24	Campo de Daroca	2015	66	I.P.H.	3
24	Campo de Daroca	2015	72	IU	0
25	Jiloca	2007	1	PSOE	52
25	Jiloca	2007	2	PP	47
25	Jiloca	2007	3	PAR	53
25	Jiloca	2007	4	CHA	4
25	Jiloca	2007	5	IU	0
25	Jiloca	2011	1	PP	54
25	Jiloca	2011	2	PSOE	48
25	Jiloca	2011	3	PAR	64
25	Jiloca	2011	4	CHA	3
25	Jiloca	2011	5	IU	0
25	Jiloca	2011	7	COMPROMISO CON ARAGON	3
25	Jiloca	2011	8	FIA	2
25	Jiloca	2015	1	PP	37
25	Jiloca	2015	2	PSOE	45
25	Jiloca	2015	4	PAR	83
25	Jiloca	2015	5	C's	2
25	Jiloca	2015	7	CHA	4
25	Jiloca	2015	12	COMPROMISO CON ARAGON	1
26	Cuencas Mineras	2007	1	PSOE	53
26	Cuencas Mineras	2007	2	PP	15
26	Cuencas Mineras	2007	3	PAR	35
26	Cuencas Mineras	2007	4	CHA	8
26	Cuencas Mineras	2007	5	IU	3
26	Cuencas Mineras	2011	1	PP	21
26	Cuencas Mineras	2011	2	PSOE	53
26	Cuencas Mineras	2011	3	PAR	15
26	Cuencas Mineras	2011	4	CHA	7
26	Cuencas Mineras	2011	5	IU	1
26	Cuencas Mineras	2011	7	COMPROMISO CON ARAGON	25
26	Cuencas Mineras	2011	8	FIA	0
26	Cuencas Mineras	2015	1	PP	16
26	Cuencas Mineras	2015	2	PSOE	46
26	Cuencas Mineras	2015	4	PAR	23
26	Cuencas Mineras	2015	5	C's	1
26	Cuencas Mineras	2015	7	CHA	5
26	Cuencas Mineras	2015	12	COMPROMISO CON ARAGON	22
26	Cuencas Mineras	2015	16	G:IU-LV	2
26	Cuencas Mineras	2015	28	FIA	0
26	Cuencas Mineras	2015	64	C.S.I.E	2
27	Andorra-Sierra de Arcos	2007	1	PSOE	21
27	Andorra-Sierra de Arcos	2007	2	PP	19
27	Andorra-Sierra de Arcos	2007	3	PAR	16
27	Andorra-Sierra de Arcos	2007	4	CHA	1
27	Andorra-Sierra de Arcos	2007	5	IU	6
27	Andorra-Sierra de Arcos	2011	1	PP	15
27	Andorra-Sierra de Arcos	2011	2	PSOE	23
