Mes y año	Mes (código)	Sexo	Número de contratos	Temporalidad	Bonificado o no	Mes nombre	Año	CCAA nombre
Enero 2018	201801	Mujeres	1950	Indefinido	No bonificados	Enero	2018	Aragón
Enero 2018	201801	Hombres	168	Temporal	Bonificados	Enero	2018	Aragón
Enero 2018	201801	Mujeres	305	Temporal	Bonificados	Enero	2018	Aragón
Enero 2018	201801	Hombres	22543	Temporal	No bonificados	Enero	2018	Aragón
Enero 2018	201801	Mujeres	18452	Temporal	No bonificados	Enero	2018	Aragón
Diciembre 2017	201712	Hombres	124	Indefinido	Bonificados	Diciembre	2017	Aragón
Diciembre 2017	201712	Mujeres	101	Indefinido	Bonificados	Diciembre	2017	Aragón
Diciembre 2017	201712	Hombres	2069	Indefinido	No bonificados	Diciembre	2017	Aragón
Diciembre 2017	201712	Mujeres	1553	Indefinido	No bonificados	Diciembre	2017	Aragón
Diciembre 2017	201712	Hombres	142	Temporal	Bonificados	Diciembre	2017	Aragón
Diciembre 2017	201712	Mujeres	276	Temporal	Bonificados	Diciembre	2017	Aragón
Diciembre 2017	201712	Hombres	19757	Temporal	No bonificados	Diciembre	2017	Aragón
Diciembre 2017	201712	Mujeres	18221	Temporal	No bonificados	Diciembre	2017	Aragón
Noviembre 2017	201711	Hombres	189	Indefinido	Bonificados	Noviembre	2017	Aragón
Noviembre 2017	201711	Mujeres	147	Indefinido	Bonificados	Noviembre	2017	Aragón
Noviembre 2017	201711	Hombres	2559	Indefinido	No bonificados	Noviembre	2017	Aragón
Noviembre 2017	201711	Mujeres	1982	Indefinido	No bonificados	Noviembre	2017	Aragón
Noviembre 2017	201711	Hombres	214	Temporal	Bonificados	Noviembre	2017	Aragón
Noviembre 2017	201711	Mujeres	411	Temporal	Bonificados	Noviembre	2017	Aragón
Noviembre 2017	201711	Hombres	22961	Temporal	No bonificados	Noviembre	2017	Aragón
Noviembre 2017	201711	Mujeres	20053	Temporal	No bonificados	Noviembre	2017	Aragón
Octubre 2017	201710	Hombres	192	Indefinido	Bonificados	Octubre	2017	Aragón
Octubre 2017	201710	Mujeres	149	Indefinido	Bonificados	Octubre	2017	Aragón
Octubre 2017	201710	Hombres	2578	Indefinido	No bonificados	Octubre	2017	Aragón
Octubre 2017	201710	Mujeres	2583	Indefinido	No bonificados	Octubre	2017	Aragón
Octubre 2017	201710	Hombres	257	Temporal	Bonificados	Octubre	2017	Aragón
Octubre 2017	201710	Mujeres	418	Temporal	Bonificados	Octubre	2017	Aragón
Octubre 2017	201710	Hombres	28357	Temporal	No bonificados	Octubre	2017	Aragón
Octubre 2017	201710	Mujeres	24373	Temporal	No bonificados	Octubre	2017	Aragón
Septiembre 2017	201709	Hombres	199	Indefinido	Bonificados	Septiembre	2017	Aragón
Septiembre 2017	201709	Mujeres	169	Indefinido	Bonificados	Septiembre	2017	Aragón
Septiembre 2017	201709	Hombres	2688	Indefinido	No bonificados	Septiembre	2017	Aragón
Septiembre 2017	201709	Mujeres	2483	Indefinido	No bonificados	Septiembre	2017	Aragón
Septiembre 2017	201709	Hombres	194	Temporal	Bonificados	Septiembre	2017	Aragón
Septiembre 2017	201709	Mujeres	366	Temporal	Bonificados	Septiembre	2017	Aragón
Septiembre 2017	201709	Hombres	29984	Temporal	No bonificados	Septiembre	2017	Aragón
Septiembre 2017	201709	Mujeres	24746	Temporal	No bonificados	Septiembre	2017	Aragón
Agosto 2017	201708	Hombres	151	Indefinido	Bonificados	Agosto	2017	Aragón
Agosto 2017	201708	Mujeres	122	Indefinido	Bonificados	Agosto	2017	Aragón
Agosto 2017	201708	Hombres	1718	Indefinido	No bonificados	Agosto	2017	Aragón
Agosto 2017	201708	Mujeres	1160	Indefinido	No bonificados	Agosto	2017	Aragón
Agosto 2017	201708	Hombres	180	Temporal	Bonificados	Agosto	2017	Aragón
Agosto 2017	201708	Mujeres	271	Temporal	Bonificados	Agosto	2017	Aragón
Agosto 2017	201708	Hombres	28337	Temporal	No bonificados	Agosto	2017	Aragón
Agosto 2017	201708	Mujeres	19971	Temporal	No bonificados	Agosto	2017	Aragón
Julio 2017	201707	Hombres	191	Indefinido	Bonificados	Julio	2017	Aragón
Julio 2017	201707	Mujeres	138	Indefinido	Bonificados	Julio	2017	Aragón
Julio 2017	201707	Hombres	2233	Indefinido	No bonificados	Julio	2017	Aragón
Julio 2017	201707	Mujeres	1575	Indefinido	No bonificados	Julio	2017	Aragón
Julio 2017	201707	Hombres	280	Temporal	Bonificados	Julio	2017	Aragón
Julio 2017	201707	Mujeres	342	Temporal	Bonificados	Julio	2017	Aragón
Julio 2017	201707	Hombres	30859	Temporal	No bonificados	Julio	2017	Aragón
Julio 2017	201707	Mujeres	22953	Temporal	No bonificados	Julio	2017	Aragón
Junio 2017	201706	Hombres	231	Indefinido	Bonificados	Junio	2017	Aragón
Junio 2017	201706	Mujeres	198	Indefinido	Bonificados	Junio	2017	Aragón
Junio 2017	201706	Hombres	2749	Indefinido	No bonificados	Junio	2017	Aragón
Junio 2017	201706	Mujeres	2046	Indefinido	No bonificados	Junio	2017	Aragón
Junio 2017	201706	Hombres	242	Temporal	Bonificados	Junio	2017	Aragón
Junio 2017	201706	Mujeres	395	Temporal	Bonificados	Junio	2017	Aragón
Junio 2017	201706	Hombres	34693	Temporal	No bonificados	Junio	2017	Aragón
Junio 2017	201706	Mujeres	25650	Temporal	No bonificados	Junio	2017	Aragón
Mayo 2017	201705	Hombres	194	Indefinido	Bonificados	Mayo	2017	Aragón
Mayo 2017	201705	Mujeres	171	Indefinido	Bonificados	Mayo	2017	Aragón
Mayo 2017	201705	Hombres	2864	Indefinido	No bonificados	Mayo	2017	Aragón
Mayo 2017	201705	Mujeres	2192	Indefinido	No bonificados	Mayo	2017	Aragón
Mayo 2017	201705	Hombres	223	Temporal	Bonificados	Mayo	2017	Aragón
Mayo 2017	201705	Mujeres	413	Temporal	Bonificados	Mayo	2017	Aragón
Mayo 2017	201705	Hombres	36260	Temporal	No bonificados	Mayo	2017	Aragón
Mayo 2017	201705	Mujeres	25806	Temporal	No bonificados	Mayo	2017	Aragón
Abril 2017	201704	Hombres	166	Indefinido	Bonificados	Abril	2017	Aragón
Abril 2017	201704	Mujeres	150	Indefinido	Bonificados	Abril	2017	Aragón
Abril 2017	201704	Hombres	2299	Indefinido	No bonificados	Abril	2017	Aragón
Abril 2017	201704	Mujeres	1873	Indefinido	No bonificados	Abril	2017	Aragón
Abril 2017	201704	Hombres	191	Temporal	Bonificados	Abril	2017	Aragón
Abril 2017	201704	Mujeres	279	Temporal	Bonificados	Abril	2017	Aragón
Abril 2017	201704	Hombres	23262	Temporal	No bonificados	Abril	2017	Aragón
Abril 2017	201704	Mujeres	18373	Temporal	No bonificados	Abril	2017	Aragón
Marzo 2017	201703	Hombres	201	Indefinido	Bonificados	Marzo	2017	Aragón
Marzo 2017	201703	Mujeres	145	Indefinido	Bonificados	Marzo	2017	Aragón
Marzo 2017	201703	Hombres	2603	Indefinido	No bonificados	Marzo	2017	Aragón
Marzo 2017	201703	Mujeres	2255	Indefinido	No bonificados	Marzo	2017	Aragón
Marzo 2017	201703	Hombres	231	Temporal	Bonificados	Marzo	2017	Aragón
Marzo 2017	201703	Mujeres	369	Temporal	Bonificados	Marzo	2017	Aragón
Marzo 2017	201703	Hombres	21911	Temporal	No bonificados	Marzo	2017	Aragón
Marzo 2017	201703	Mujeres	18072	Temporal	No bonificados	Marzo	2017	Aragón
Febrero 2017	201702	Hombres	150	Indefinido	Bonificados	Febrero	2017	Aragón
Febrero 2017	201702	Mujeres	120	Indefinido	Bonificados	Febrero	2017	Aragón
Febrero 2017	201702	Hombres	2116	Indefinido	No bonificados	Febrero	2017	Aragón
Febrero 2017	201702	Mujeres	1745	Indefinido	No bonificados	Febrero	2017	Aragón
Febrero 2017	201702	Hombres	176	Temporal	Bonificados	Febrero	2017	Aragón
Febrero 2017	201702	Mujeres	317	Temporal	Bonificados	Febrero	2017	Aragón
Febrero 2017	201702	Hombres	18649	Temporal	No bonificados	Febrero	2017	Aragón
Febrero 2017	201702	Mujeres	15543	Temporal	No bonificados	Febrero	2017	Aragón
Enero 2017	201701	Hombres	146	Indefinido	Bonificados	Enero	2017	Aragón
Enero 2017	201701	Mujeres	127	Indefinido	Bonificados	Enero	2017	Aragón
Enero 2017	201701	Hombres	2066	Indefinido	No bonificados	Enero	2017	Aragón
Enero 2017	201701	Mujeres	1699	Indefinido	No bonificados	Enero	2017	Aragón
Enero 2017	201701	Hombres	150	Temporal	Bonificados	Enero	2017	Aragón
Enero 2017	201701	Mujeres	313	Temporal	Bonificados	Enero	2017	Aragón
Enero 2017	201701	Hombres	20592	Temporal	No bonificados	Enero	2017	Aragón
Enero 2017	201701	Mujeres	16972	Temporal	No bonificados	Enero	2017	Aragón
Diciembre 2016	201612	Hombres	116	Indefinido	Bonificados	Diciembre	2016	Aragón
Diciembre 2016	201612	Mujeres	100	Indefinido	Bonificados	Diciembre	2016	Aragón
Diciembre 2016	201612	Hombres	1645	Indefinido	No bonificados	Diciembre	2016	Aragón
Diciembre 2016	201612	Mujeres	1459	Indefinido	No bonificados	Diciembre	2016	Aragón
Diciembre 2016	201612	Hombres	121	Temporal	Bonificados	Diciembre	2016	Aragón
Diciembre 2016	201612	Mujeres	262	Temporal	Bonificados	Diciembre	2016	Aragón
Diciembre 2016	201612	Hombres	19125	Temporal	No bonificados	Diciembre	2016	Aragón
Diciembre 2016	201612	Mujeres	17907	Temporal	No bonificados	Diciembre	2016	Aragón
Noviembre 2016	201611	Hombres	154	Indefinido	Bonificados	Noviembre	2016	Aragón
Noviembre 2016	201611	Mujeres	120	Indefinido	Bonificados	Noviembre	2016	Aragón
Noviembre 2016	201611	Hombres	1875	Indefinido	No bonificados	Noviembre	2016	Aragón
Noviembre 2016	201611	Mujeres	1752	Indefinido	No bonificados	Noviembre	2016	Aragón
Noviembre 2016	201611	Hombres	176	Temporal	Bonificados	Noviembre	2016	Aragón
Noviembre 2016	201611	Mujeres	327	Temporal	Bonificados	Noviembre	2016	Aragón
Noviembre 2016	201611	Hombres	22213	Temporal	No bonificados	Noviembre	2016	Aragón
Noviembre 2016	201611	Mujeres	19781	Temporal	No bonificados	Noviembre	2016	Aragón
Octubre 2016	201610	Hombres	167	Indefinido	Bonificados	Octubre	2016	Aragón
Octubre 2016	201610	Mujeres	130	Indefinido	Bonificados	Octubre	2016	Aragón
Octubre 2016	201610	Hombres	2066	Indefinido	No bonificados	Octubre	2016	Aragón
Octubre 2016	201610	Mujeres	2019	Indefinido	No bonificados	Octubre	2016	Aragón
Octubre 2016	201610	Hombres	195	Temporal	Bonificados	Octubre	2016	Aragón
Octubre 2016	201610	Mujeres	339	Temporal	Bonificados	Octubre	2016	Aragón
Octubre 2016	201610	Hombres	25131	Temporal	No bonificados	Octubre	2016	Aragón
Octubre 2016	201610	Mujeres	21441	Temporal	No bonificados	Octubre	2016	Aragón
Septiembre 2016	201609	Hombres	189	Indefinido	Bonificados	Septiembre	2016	Aragón
Septiembre 2016	201609	Mujeres	170	Indefinido	Bonificados	Septiembre	2016	Aragón
Septiembre 2016	201609	Hombres	2368	Indefinido	No bonificados	Septiembre	2016	Aragón
Septiembre 2016	201609	Mujeres	2187	Indefinido	No bonificados	Septiembre	2016	Aragón
Septiembre 2016	201609	Hombres	212	Temporal	Bonificados	Septiembre	2016	Aragón
Septiembre 2016	201609	Mujeres	366	Temporal	Bonificados	Septiembre	2016	Aragón
Septiembre 2016	201609	Hombres	28199	Temporal	No bonificados	Septiembre	2016	Aragón
Septiembre 2016	201609	Mujeres	21686	Temporal	No bonificados	Septiembre	2016	Aragón
Agosto 2016	201608	Hombres	73	Indefinido	Bonificados	Agosto	2016	Aragón
Agosto 2016	201608	Mujeres	53	Indefinido	Bonificados	Agosto	2016	Aragón
Agosto 2016	201608	Hombres	1565	Indefinido	No bonificados	Agosto	2016	Aragón
Agosto 2016	201608	Mujeres	1151	Indefinido	No bonificados	Agosto	2016	Aragón
Agosto 2016	201608	Hombres	162	Temporal	Bonificados	Agosto	2016	Aragón
Agosto 2016	201608	Mujeres	322	Temporal	Bonificados	Agosto	2016	Aragón
Agosto 2016	201608	Hombres	25558	Temporal	No bonificados	Agosto	2016	Aragón
Agosto 2016	201608	Mujeres	18023	Temporal	No bonificados	Agosto	2016	Aragón
Julio 2016	201607	Hombres	130	Indefinido	Bonificados	Julio	2016	Aragón
Julio 2016	201607	Mujeres	83	Indefinido	Bonificados	Julio	2016	Aragón
Julio 2016	201607	Hombres	2147	Indefinido	No bonificados	Julio	2016	Aragón
Julio 2016	201607	Mujeres	1454	Indefinido	No bonificados	Julio	2016	Aragón
Julio 2016	201607	Hombres	241	Temporal	Bonificados	Julio	2016	Aragón
Julio 2016	201607	Mujeres	336	Temporal	Bonificados	Julio	2016	Aragón
Julio 2016	201607	Hombres	28531	Temporal	No bonificados	Julio	2016	Aragón
Julio 2016	201607	Mujeres	21683	Temporal	No bonificados	Julio	2016	Aragón
Junio 2016	201606	Hombres	130	Indefinido	Bonificados	Junio	2016	Aragón
Junio 2016	201606	Mujeres	88	Indefinido	Bonificados	Junio	2016	Aragón
Junio 2016	201606	Hombres	2319	Indefinido	No bonificados	Junio	2016	Aragón
Junio 2016	201606	Mujeres	1905	Indefinido	No bonificados	Junio	2016	Aragón
Junio 2016	201606	Hombres	187	Temporal	Bonificados	Junio	2016	Aragón
Junio 2016	201606	Mujeres	358	Temporal	Bonificados	Junio	2016	Aragón
Junio 2016	201606	Hombres	32223	Temporal	No bonificados	Junio	2016	Aragón
Junio 2016	201606	Mujeres	23005	Temporal	No bonificados	Junio	2016	Aragón
Mayo 2016	201605	Hombres	112	Indefinido	Bonificados	Mayo	2016	Aragón
Mayo 2016	201605	Mujeres	80	Indefinido	Bonificados	Mayo	2016	Aragón
Mayo 2016	201605	Hombres	2299	Indefinido	No bonificados	Mayo	2016	Aragón
Mayo 2016	201605	Mujeres	1962	Indefinido	No bonificados	Mayo	2016	Aragón
Mayo 2016	201605	Hombres	191	Temporal	Bonificados	Mayo	2016	Aragón
Mayo 2016	201605	Mujeres	371	Temporal	Bonificados	Mayo	2016	Aragón
Mayo 2016	201605	Hombres	30216	Temporal	No bonificados	Mayo	2016	Aragón
Mayo 2016	201605	Mujeres	21612	Temporal	No bonificados	Mayo	2016	Aragón
Abril 2016	201604	Hombres	126	Indefinido	Bonificados	Abril	2016	Aragón
Abril 2016	201604	Mujeres	91	Indefinido	Bonificados	Abril	2016	Aragón
Abril 2016	201604	Hombres	2294	Indefinido	No bonificados	Abril	2016	Aragón
Abril 2016	201604	Mujeres	1746	Indefinido	No bonificados	Abril	2016	Aragón
Abril 2016	201604	Hombres	173	Temporal	Bonificados	Abril	2016	Aragón
Abril 2016	201604	Mujeres	373	Temporal	Bonificados	Abril	2016	Aragón
Abril 2016	201604	Hombres	20253	Temporal	No bonificados	Abril	2016	Aragón
Abril 2016	201604	Mujeres	15769	Temporal	No bonificados	Abril	2016	Aragón
Marzo 2016	201603	Hombres	113	Indefinido	Bonificados	Marzo	2016	Aragón
Marzo 2016	201603	Mujeres	80	Indefinido	Bonificados	Marzo	2016	Aragón
Marzo 2016	201603	Hombres	2226	Indefinido	No bonificados	Marzo	2016	Aragón
Marzo 2016	201603	Mujeres	1800	Indefinido	No bonificados	Marzo	2016	Aragón
Marzo 2016	201603	Hombres	182	Temporal	Bonificados	Marzo	2016	Aragón
Marzo 2016	201603	Mujeres	330	Temporal	Bonificados	Marzo	2016	Aragón
Marzo 2016	201603	Hombres	18520	Temporal	No bonificados	Marzo	2016	Aragón
Marzo 2016	201603	Mujeres	16516	Temporal	No bonificados	Marzo	2016	Aragón
Febrero 2016	201602	Hombres	103	Indefinido	Bonificados	Febrero	2016	Aragón
Febrero 2016	201602	Mujeres	75	Indefinido	Bonificados	Febrero	2016	Aragón
Febrero 2016	201602	Hombres	1757	Indefinido	No bonificados	Febrero	2016	Aragón
Febrero 2016	201602	Mujeres	1544	Indefinido	No bonificados	Febrero	2016	Aragón
Febrero 2016	201602	Hombres	181	Temporal	Bonificados	Febrero	2016	Aragón
Febrero 2016	201602	Mujeres	345	Temporal	Bonificados	Febrero	2016	Aragón
Febrero 2016	201602	Hombres	18003	Temporal	No bonificados	Febrero	2016	Aragón
Febrero 2016	201602	Mujeres	14804	Temporal	No bonificados	Febrero	2016	Aragón
Enero 2016	201601	Hombres	95	Indefinido	Bonificados	Enero	2016	Aragón
Enero 2016	201601	Mujeres	77	Indefinido	Bonificados	Enero	2016	Aragón
Enero 2016	201601	Hombres	1724	Indefinido	No bonificados	Enero	2016	Aragón
Enero 2016	201601	Mujeres	1519	Indefinido	No bonificados	Enero	2016	Aragón
Enero 2016	201601	Hombres	148	Temporal	Bonificados	Enero	2016	Aragón
Enero 2016	201601	Mujeres	308	Temporal	Bonificados	Enero	2016	Aragón
Enero 2016	201601	Hombres	17525	Temporal	No bonificados	Enero	2016	Aragón
Enero 2016	201601	Mujeres	14303	Temporal	No bonificados	Enero	2016	Aragón
Diciembre 2015	201512	Hombres	71	Indefinido	Bonificados	Diciembre	2015	Aragón
Diciembre 2015	201512	Mujeres	68	Indefinido	Bonificados	Diciembre	2015	Aragón
Diciembre 2015	201512	Hombres	1425	Indefinido	No bonificados	Diciembre	2015	Aragón
Diciembre 2015	201512	Mujeres	1307	Indefinido	No bonificados	Diciembre	2015	Aragón
Diciembre 2015	201512	Hombres	135	Temporal	Bonificados	Diciembre	2015	Aragón
Diciembre 2015	201512	Mujeres	287	Temporal	Bonificados	Diciembre	2015	Aragón
Diciembre 2015	201512	Hombres	17454	Temporal	No bonificados	Diciembre	2015	Aragón
Diciembre 2015	201512	Mujeres	16616	Temporal	No bonificados	Diciembre	2015	Aragón
Noviembre 2015	201511	Hombres	98	Indefinido	Bonificados	Noviembre	2015	Aragón
Noviembre 2015	201511	Mujeres	57	Indefinido	Bonificados	Noviembre	2015	Aragón
Noviembre 2015	201511	Hombres	1959	Indefinido	No bonificados	Noviembre	2015	Aragón
Noviembre 2015	201511	Mujeres	1445	Indefinido	No bonificados	Noviembre	2015	Aragón
Noviembre 2015	201511	Hombres	185	Temporal	Bonificados	Noviembre	2015	Aragón
Noviembre 2015	201511	Mujeres	325	Temporal	Bonificados	Noviembre	2015	Aragón
Noviembre 2015	201511	Hombres	18642	Temporal	No bonificados	Noviembre	2015	Aragón
Noviembre 2015	201511	Mujeres	15609	Temporal	No bonificados	Noviembre	2015	Aragón
Octubre 2015	201510	Hombres	105	Indefinido	Bonificados	Octubre	2015	Aragón
Octubre 2015	201510	Mujeres	91	Indefinido	Bonificados	Octubre	2015	Aragón
Octubre 2015	201510	Hombres	2079	Indefinido	No bonificados	Octubre	2015	Aragón
Octubre 2015	201510	Mujeres	1907	Indefinido	No bonificados	Octubre	2015	Aragón
Octubre 2015	201510	Hombres	177	Temporal	Bonificados	Octubre	2015	Aragón
Octubre 2015	201510	Mujeres	344	Temporal	Bonificados	Octubre	2015	Aragón
Octubre 2015	201510	Hombres	22757	Temporal	No bonificados	Octubre	2015	Aragón
Octubre 2015	201510	Mujeres	19298	Temporal	No bonificados	Octubre	2015	Aragón
Septiembre 2015	201509	Hombres	116	Indefinido	Bonificados	Septiembre	2015	Aragón
Septiembre 2015	201509	Mujeres	99	Indefinido	Bonificados	Septiembre	2015	Aragón
Septiembre 2015	201509	Hombres	1940	Indefinido	No bonificados	Septiembre	2015	Aragón
Septiembre 2015	201509	Mujeres	1923	Indefinido	No bonificados	Septiembre	2015	Aragón
Septiembre 2015	201509	Hombres	207	Temporal	Bonificados	Septiembre	2015	Aragón
Septiembre 2015	201509	Mujeres	364	Temporal	Bonificados	Septiembre	2015	Aragón
Septiembre 2015	201509	Hombres	25459	Temporal	No bonificados	Septiembre	2015	Aragón
Septiembre 2015	201509	Mujeres	19559	Temporal	No bonificados	Septiembre	2015	Aragón
Agosto 2015	201508	Hombres	53	Indefinido	Bonificados	Agosto	2015	Aragón
Agosto 2015	201508	Mujeres	32	Indefinido	Bonificados	Agosto	2015	Aragón
Agosto 2015	201508	Hombres	1123	Indefinido	No bonificados	Agosto	2015	Aragón
Agosto 2015	201508	Mujeres	865	Indefinido	No bonificados	Agosto	2015	Aragón
Agosto 2015	201508	Hombres	179	Temporal	Bonificados	Agosto	2015	Aragón
Agosto 2015	201508	Mujeres	227	Temporal	Bonificados	Agosto	2015	Aragón
Agosto 2015	201508	Hombres	22380	Temporal	No bonificados	Agosto	2015	Aragón
Agosto 2015	201508	Mujeres	15101	Temporal	No bonificados	Agosto	2015	Aragón
Julio 2015	201507	Hombres	132	Indefinido	Bonificados	Julio	2015	Aragón
Julio 2015	201507	Mujeres	85	Indefinido	Bonificados	Julio	2015	Aragón
Julio 2015	201507	Hombres	1784	Indefinido	No bonificados	Julio	2015	Aragón
Julio 2015	201507	Mujeres	1536	Indefinido	No bonificados	Julio	2015	Aragón
Julio 2015	201507	Hombres	237	Temporal	Bonificados	Julio	2015	Aragón
Julio 2015	201507	Mujeres	335	Temporal	Bonificados	Julio	2015	Aragón
Julio 2015	201507	Hombres	28238	Temporal	No bonificados	Julio	2015	Aragón
Julio 2015	201507	Mujeres	21055	Temporal	No bonificados	Julio	2015	Aragón
Junio 2015	201506	Hombres	132	Indefinido	Bonificados	Junio	2015	Aragón
Junio 2015	201506	Mujeres	92	Indefinido	Bonificados	Junio	2015	Aragón
Junio 2015	201506	Hombres	1903	Indefinido	No bonificados	Junio	2015	Aragón
Junio 2015	201506	Mujeres	1578	Indefinido	No bonificados	Junio	2015	Aragón
Junio 2015	201506	Hombres	191	Temporal	Bonificados	Junio	2015	Aragón
Junio 2015	201506	Mujeres	331	Temporal	Bonificados	Junio	2015	Aragón
Junio 2015	201506	Hombres	27994	Temporal	No bonificados	Junio	2015	Aragón
Junio 2015	201506	Mujeres	20400	Temporal	No bonificados	Junio	2015	Aragón
Mayo 2015	201505	Hombres	82	Indefinido	Bonificados	Mayo	2015	Aragón
Mayo 2015	201505	Mujeres	73	Indefinido	Bonificados	Mayo	2015	Aragón
Mayo 2015	201505	Hombres	1978	Indefinido	No bonificados	Mayo	2015	Aragón
Mayo 2015	201505	Mujeres	1555	Indefinido	No bonificados	Mayo	2015	Aragón
Mayo 2015	201505	Hombres	186	Temporal	Bonificados	Mayo	2015	Aragón
Mayo 2015	201505	Mujeres	349	Temporal	Bonificados	Mayo	2015	Aragón
Mayo 2015	201505	Hombres	26867	Temporal	No bonificados	Mayo	2015	Aragón
Mayo 2015	201505	Mujeres	18663	Temporal	No bonificados	Mayo	2015	Aragón
Abril 2015	201504	Hombres	74	Indefinido	Bonificados	Abril	2015	Aragón
