Año	Municipio código	Municipio nombre	Visados, total	Visados, obra nueva	Visados, ampliación	Visados, reforma	Visados, otros	Viviendas, obra nueva, total	Viviendas, obra nueva, unifamiliar	Viviendas, obra nueva, bloque	Viviendas, obra nueva, otros	Viviendas, ampliación o reforma
2011	44013	Alcañiz	38	7	0	30	1	26	7	19	0	25
2011	44216	Teruel	80	26	3	26	24	215	40	175	0	19
2011	50067	Calatayud	39	9	0	22	8	67	2	65	0	18
2011	50095	Ejea de los Caballeros	31	10	0	15	6	35	15	20	0	14
2011	50251	Tarazona	17	0	0	6	11	0	0	0	0	3
2011	50272	Utebo	11	6	0	3	2	54	2	52	0	0
2011	50297	Zaragoza	825	79	8	414	324	1318	23	1295	0	334
2010	22048	Barbastro	22	6	1	12	3	14	2	12	0	10
2010	22112	Fraga	21	7	4	8	2	5	4	0	1	6
2010	22125	Huesca	50	16	2	27	5	491	5	486	0	18
2010	22130	Jaca	53	8	3	22	20	11	3	8	0	18
2010	22158	Monzón	20	5	1	6	8	38	3	35	0	5
2010	22199	Sabiñánigo	35	9	1	15	10	8	8	0	0	12
2010	44013	Alcañiz	58	18	2	29	9	162	9	153	0	24
2010	44216	Teruel	106	50	7	30	19	434	24	410	0	22
2010	50067	Calatayud	65	6	1	47	11	2	2	0	0	41
2010	50095	Ejea de los Caballeros	62	20	2	30	10	80	14	66	0	28
2010	50251	Tarazona	13	0	1	5	7	0	0	0	0	2
2010	50272	Utebo	11	3	1	7	0	1	1	0	0	5
2010	50297	Zaragoza	805	105	8	425	267	2746	29	2717	0	307
2009	22048	Barbastro	35	17	1	9	8	17	17	0	0	7
2009	22112	Fraga	26	10	2	9	5	7	5	2	0	9
2009	22125	Huesca	64	12	1	40	11	254	19	235	0	27
2009	22130	Jaca	59	12	1	30	16	101	9	92	0	21
2009	22158	Monzón	29	11	1	11	6	59	3	56	0	5
2009	22199	Sabiñánigo	27	9	0	11	7	79	6	73	0	4
2009	44013	Alcañiz	25	7	0	14	4	13	5	8	0	10
2009	44216	Teruel	107	42	2	36	26	48	31	17	0	20
2009	50067	Calatayud	36	5	2	23	6	134	2	132	0	16
2009	50095	Ejea de los Caballeros	47	15	2	20	10	37	7	30	0	12
2009	50251	Tarazona	15	8	0	2	5	13	4	9	0	1
2009	50272	Utebo	16	7	1	4	3	3	3	0	0	4
2009	50297	Zaragoza	739	114	9	352	264	2019	28	1991	0	250
2008	22048	Barbastro	37	19	1	10	7	49	15	34	0	5
2008	22112	Fraga	35	17	6	8	4	33	13	20	0	14
2008	22125	Huesca	64	11	5	27	20	79	12	67	0	17
2008	22130	Jaca	48	14	2	21	11	111	8	103	0	18
2008	22158	Monzón	30	14	1	10	5	70	5	65	0	6
2008	22199	Sabiñánigo	21	12	2	6	1	117	6	111	0	9
2008	44013	Alcañiz	36	16	2	9	9	81	6	75	0	7
2008	44216	Teruel	95	41	3	24	27	519	14	505	0	9
2008	50067	Calatayud	61	20	1	21	19	194	13	181	0	10
2008	50095	Ejea de los Caballeros	43	19	0	12	12	62	16	46	0	8
2008	50251	Tarazona	28	9	0	9	10	120	0	120	0	6
2008	50272	Utebo	21	5	0	5	11	11	2	9	0	3
2008	50297	Zaragoza	907	178	11	424	294	1910	52	1858	0	283
2007	22048	Barbastro	30	16	1	7	6	194	7	187	0	5
2007	22112	Fraga	60	32	5	16	7	275	16	259	0	15
2007	22125	Huesca	73	26	4	24	19	600	2	598	0	8
2007	22130	Jaca	52	20	1	20	11	343	8	335	0	15
2007	22158	Monzón	43	31	2	7	3	343	11	332	0	5
2007	44013	Alcañiz	53	22	3	12	16	146	9	137	0	10
2007	44216	Teruel	113	59	6	20	28	568	59	509	0	12
2007	50067	Calatayud	76	21	1	28	26	431	5	426	0	17
2007	50095	Ejea de los Caballeros	55	21	1	11	22	215	18	197	0	10
2007	50251	Tarazona	36	17	0	7	12	123	4	119	0	4
2007	50272	Utebo	33	18	1	4	10	259	11	248	0	2
2007	50297	Zaragoza	1057	304	14	415	324	7045	86	6959	0	302
2006	22048	Barbastro	48	38	0	8	2	456	19	437	0	17
2006	22112	Fraga	70	46	5	11	8	475	21	454	0	13
2006	22125	Huesca	83	32	0	13	38	777	6	771	0	23
2006	22130	Jaca	92	41	7	22	22	342	66	276	0	31
2006	22158	Monzón	40	30	2	5	3	338	14	323	1	5
2006	44013	Alcañiz	51	29	1	8	13	265	21	244	0	6
2006	44216	Teruel	128	78	0	20	30	779	42	737	0	26
2006	50067	Calatayud	75	33	0	14	28	504	82	422	0	14
2006	50095	Ejea de los Caballeros	67	31	0	15	21	311	33	278	0	9
2006	50251	Tarazona	30	6	2	15	7	68	2	66	0	12
2006	50272	Utebo										
2006	50297	Zaragoza	1185	351	10	323	500	7717	254	7463	0	313
2005	22048	Barbastro	58	34	1	7	16	232	46	186	0	23
2005	22112	Fraga	47	28	4	5	10	213	23	190	0	9
2005	22125	Huesca	106	41	2	25	36	663	19	630	14	43
2005	22130	Jaca	81	40	1	21	19	993	69	924	0	30
2005	22158	Monzón	41	17	4	8	12	185	7	178	0	13
2005	44013	Alcañiz	54	24	5	14	11	159	14	144	1	21
2005	44216	Teruel	114	67	3	18	24	442	40	401	1	56
2005	50067	Calatayud	65	24	0	12	29	189	27	162	0	4
2005	50095	Ejea de los Caballeros	68	34	1	11	22	117	46	71	0	7
2005	50251	Tarazona	36	14	3	8	11	103	53	50	0	18
2005	50272	Utebo										
2005	50297	Zaragoza	1142	349	14	282	496	4443	504	3939	0	312
2004	22048	Barbastro	54	30	3	9	12	212	18	194	0	13
2004	22112	Fraga	41	24	0	9	8	150	5	143	2	7
2004	22125	Huesca	92	34	0	17	40	879	3	876	0	39
2004	22130	Jaca	85	53	3	20	9	1099	89	1010	0	35
2004	22158	Monzón	44	23	3	7	11	175	44	131	0	6
2004	44013	Alcañiz	58	34	5	10	9	282	17	265	0	30
2004	44216	Teruel	125	73	9	11	32	304	69	235	0	20
2004	50067	Calatayud	71	41	0	6	24	411	34	377	0	3
2004	50095	Ejea de los Caballeros	73	35	2	11	25	98	52	46	0	9
2004	50251	Tarazona	32	10	0	11	11	137	35	102	0	17
2004	50272	Utebo	50	27	1	4	18	520	95	425	0	3
2004	50297	Zaragoza	1097	310	5	313	469	4385	763	3622	0	515
2003	22048	Barbastro	51	33	1	9	8	261	67	194	0	10
2003	22112	Fraga	49	22	3	8	16	146	9	137	0	10
2003	22125	Huesca	101	39	1	24	37	836	1	835	0	58
2003	22130	Jaca	63	33	2	24	4	1059	54	1005	0	33
2003	22158	Monzón	38	21	5	4	8	180	32	148	0	6
2003	44013	Alcañiz	48	35	1	3	9	111	23	88	0	1
2003	44216	Teruel	104	52	3	15	33	393	41	352	0	26
2003	50067	Calatayud	63	28	0	9	26	232	89	143	0	17
2003	50095	Ejea de los Caballeros	79	39	4	10	26	225	80	145	0	7
2003	50251	Tarazona	22	8	0	5	9	32	24	8	0	3
2003	50272	Utebo	47	35	0	0	12	444	176	268	0	0
2003	50297	Zaragoza	1075	331	9	283	452	5366	667	4655	44	464
2002	22048	Barbastro	53	21	1	5	26	137	55	82	0	19
2002	22112	Fraga	41	22	4	5	10	72	18	54	0	8
2002	22125	Huesca	81	28	0	21	32	640	30	609	1	40
2002	22130	Jaca	64	32	1	17	14	562	77	485	0	18
2002	22158	Monzón	51	34	0	10	7	247	39	208	0	9
2002	44013	Alcañiz	38	28	1	3	6	220	15	205	0	4
2002	44216	Teruel	91	36	4	20	31	356	13	343	0	100
2002	50067	Calatayud	43	17	1	9	16	232	26	206	0	9
2002	50095	Ejea de los Caballeros	66	29	2	9	26	142	36	105	1	9
2002	50251	Tarazona	24	14	0	6	4	105	30	75	0	7
2002	50272	Utebo	49	26	1	5	17	281	50	231	0	4
2002	50297	Zaragoza	1092	337	13	281	461	6321	1690	4631	0	592
