Año	Código de la comarca	Comarca	Personas que son mano de obra familiar	Personas mano obra familiar sólo trabajan en la explotación	Personas mano obra familiar trabajan también en otra activ. lucrativa	Personas mano obra familiar trabajan en otra actividad como principal	Personas mano obra familiar trabajan en otra actividad como secundaria	Personas mano obra familiar titulares que sólo trabajan en la explotación	Personas mano obra familiar titulares que trabajan también en otra activ. lucrativa	Personas mano obra familiar titulares que trabajan en otra actividad como principal	Personas mano obra familiar titulares que trabajan en otra actividad como secundaria	Personas mano obra familiar cónyuges que sólo trabajan en la explotación	Personas mano obra familiar cónyuges que trabajan también en otra activ. Lucrativa	Personas mano obra familiar cónyuges que trabajan en otra actividad como principal	Personas mano obra familiar cónyuges que trabajan en otra actividad como secundaria	Personas mano obra familiar otros, que sólo trabajan en la explotación	Personas mano obra familiar otros, que  trabajan también en otra activ. lucrativa	Personas mano obra familiar otros,  trabajan en otra actividad como principal	Personas mano obra familiar otros, que trabajan en otra actividad como secundaria	Personas mano obra familiar con <25% trabajando en explotación	Personas mano obra familiar con >24,99 y <50% trabajando en explotación	Personas mano obra familiar con >49,99 y <75% trabajando en explotación	Personas mano obra familiar con >74,99 y <100% trabajando en explotación	Personas mano obra familiar con 100% trabajando en explotación
1999	16	Valdejalón	7868	4265	3603	3463	140	2528	1666	1566	100	784	386	371	15	953	1551	1526	25	6028	677	200	173	548
1999	17	Central	5262	2496	2766	2511	255	2031	2002	1792	210	217	220	201	19	248	544	518	26	3472	521	192	224	673
1999	18	Ribera Baja del Ebro	1920	1193	727	676	51	948	479	440	39	139	98	91	7	106	150	145	5	1275	219	130	76	151
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	3514	2411	1103	973	130	1478	686	590	96	528	176	158	18	405	241	225	16	1890	649	181	168	617
1999	20	Comunidad de Calatayud	9344	5540	3804	3575	229	3840	2233	2061	172	951	341	320	21	749	1230	1194	36	6705	902	288	298	1052
1999	21	Campo de Cariñena	4791	2521	2270	2062	208	1668	1326	1167	159	407	232	216	16	446	712	679	33	3425	505	196	128	307
1999	22	Campo de Belchite	2085	1212	873	820	53	930	532	486	46	176	95	93	2	106	246	241	5	1322	293	102	109	179
1999	23	Bajo Martín	1969	1278	691	627	64	937	451	399	52	247	81	71	10	94	159	157	2	1403	256	54	63	182
1999	24	Campo de Daroca	2375	1576	799	735	64	1284	542	486	56	166	78	73	5	126	179	176	3	1583	210	103	116	317
1999	25	Jiloca	3789	2806	983	900	83	1988	675	609	66	625	138	124	14	193	170	167	3	2005	615	257	211	647
1999	26	Cuencas Mineras	1184	750	434	398	36	515	286	260	26	171	46	42	4	64	102	96	6	688	136	60	82	195
1999	27	Andorra-Sierra de Arcos	2183	1598	585	576	9	986	291	287	4	416	70	69	1	196	224	220	4	1849	160	31	26	109
1999	28	Bajo Aragón	5241	3611	1630	1519	111	2249	899	825	74	826	250	230	20	536	481	464	17	3340	665	343	145	712
1999	29	Comunidad de Teruel	3859	2047	1812	1679	133	1440	1291	1193	98	448	201	192	9	159	320	294	26	2286	362	162	307	648
1999	30	Maestrazgo	1248	847	401	340	61	595	255	221	34	173	60	56	4	79	86	63	23	638	158	73	81	292
1999	31	Sierra de Albarracín	739	493	246	194	52	326	154	116	38	125	35	27	8	42	57	51	6	345	96	37	63	190
1999	32	Gúdar-Javalambre	1588	751	837	757	80	559	579	523	56	119	136	121	15	73	122	113	9	920	172	107	58	319
1999	33	Matarraña / Matarranya	3595	2456	1139	949	190	1619	684	565	119	504	197	158	39	333	258	226	32	1660	659	253	184	817
