Número de miembros del hogar      	Nº medio de miembros	Comarca codigo	Comarca nombre	Nº hogares
3 personas	3	31	Sierra de Albarracín	426,0322436878
3 personas	3	32	Gúdar-Javalambre	649,3572011391
3 personas	3	33	Matarraña / Matarranya	705,4943254782
4 personas	4	01	La Jacetania	1139,9329371572
4 personas	4	02	Alto Gállego	798,6197152831
4 personas	4	03	Sobrarbe	506,8159202327
4 personas	4	04	La Ribagorza	688,2263597
4 personas	4	05	Cinco Villas	2296,0825507266
4 personas	4	06	Hoya de Huesca / Plana de Uesca	4525,5220812979
4 personas	4	07	Somontano de Barbastro	1615,7616357724
4 personas	4	08	Cinca Medio	1620,0205707197
4 personas	4	09	La Litera / La Llitera	1262,6441108589
4 personas	4	10	Los Monegros	1477,0070771693
4 personas	4	11	Bajo Cinca / Baix Cinca	1671,1257536103
4 personas	4	12	Tarazona y el Moncayo	980,7280344897
4 personas	4	13	Campo de Borja	1178,6930504013
4 personas	4	14	Aranda	599,6352079601
4 personas	4	15	Ribera Alta del Ebro	1982,5938096285
4 personas	4	16	Valdejalón	2216,9373752805
4 personas	4	17	D.C. Zaragoza	51782,1475936459
4 personas	4	18	Ribera Baja del Ebro	673,398967075
4 personas	4	19	Bajo Aragón-Caspe / Baix Aragó-Casp	898,5802368372
4 personas	4	20	Comunidad de Calatayud	2691,4122946511
4 personas	4	21	Campo de Cariñena	724,9137496121
4 personas	4	22	Campo de Belchite	331,9326052959
4 personas	4	23	Bajo Martín	436,876348567
4 personas	4	24	Campo de Daroca	341,3901006247
4 personas	4	25	Jiloca	983,2211464328
4 personas	4	26	Cuencas Mineras	607,0141942696
4 personas	4	27	Andorra-Sierra de Arcos	937,4295299215
4 personas	4	28	Bajo Aragón	2225,9628260649
4 personas	4	29	Comunidad de Teruel	3593,6843359622
4 personas	4	30	Maestrazgo	235,4214895879
4 personas	4	31	Sierra de Albarracín	323,6471194633
4 personas	4	32	Gúdar-Javalambre	588,5420468239
4 personas	4	33	Matarraña / Matarranya	600,4744938646
5 personas	5	01	La Jacetania	257,4253465735
5 personas	5	02	Alto Gállego	340,1858868635
5 personas	5	03	Sobrarbe	181,9482434089
5 personas	5	04	La Ribagorza	211,3214400179
5 personas	5	05	Cinco Villas	734,5685120749
5 personas	5	06	Hoya de Huesca / Plana de Uesca	1068,7524472576
5 personas	5	07	Somontano de Barbastro	352,823167081
5 personas	5	08	Cinca Medio	400,480844817
5 personas	5	09	La Litera / La Llitera	272,5253390022
5 personas	5	10	Los Monegros	433,1241553507
5 personas	5	11	Bajo Cinca / Baix Cinca	616,0185664167
5 personas	5	12	Tarazona y el Moncayo	267,2384807419
5 personas	5	13	Campo de Borja	286,8010436818
5 personas	5	14	Aranda	75,0307507134
5 personas	5	15	Ribera Alta del Ebro	298,4679593444
5 personas	5	16	Valdejalón	478,7976969587
5 personas	5	17	D.C. Zaragoza	9945,2891795144
5 personas	5	18	Ribera Baja del Ebro	142,501957384
5 personas	5	19	Bajo Aragón-Caspe / Baix Aragó-Casp	367,9607763052
5 personas	5	20	Comunidad de Calatayud	704,3031737594
5 personas	5	21	Campo de Cariñena	222,0623529257
5 personas	5	22	Campo de Belchite	60,5155808809
5 personas	5	23	Bajo Martín	117,4290187532
5 personas	5	24	Campo de Daroca	63,6018920323
5 personas	5	25	Jiloca	145,2928272572
5 personas	5	26	Cuencas Mineras	155,2903822548
5 personas	5	27	Andorra-Sierra de Arcos	140,3742294704
5 personas	5	28	Bajo Aragón	656,9225441459
5 personas	5	29	Comunidad de Teruel	664,2091924472
5 personas	5	30	Maestrazgo	45,9161034832
5 personas	5	31	Sierra de Albarracín	83,9530389744
5 personas	5	32	Gúdar-Javalambre	140,1991235097
5 personas	5	33	Matarraña / Matarranya	176,0731529056
6 personas	6	01	La Jacetania	52,5180383451
6 personas	6	02	Alto Gállego	22,7763564958
6 personas	6	03	Sobrarbe	19,5952852553
6 personas	6	04	La Ribagorza	100,1964641483
6 personas	6	05	Cinco Villas	64,8657793658
6 personas	6	06	Hoya de Huesca / Plana de Uesca	218,0786769116
6 personas	6	07	Somontano de Barbastro	136,0358409531
6 personas	6	08	Cinca Medio	73,2114885614
6 personas	6	09	La Litera / La Llitera	85,4751755933
6 personas	6	10	Los Monegros	159,8212961545
6 personas	6	11	Bajo Cinca / Baix Cinca	236,3220268053
6 personas	6	12	Tarazona y el Moncayo	38,2981310061
6 personas	6	13	Campo de Borja	26,1295300323
6 personas	6	14	Aranda	23,1878007338
6 personas	6	15	Ribera Alta del Ebro	108,2059024871
6 personas	6	16	Valdejalón	123,414009492
6 personas	6	17	D.C. Zaragoza	2715,6356675985
6 personas	6	18	Ribera Baja del Ebro	39,0566427301
6 personas	6	19	Bajo Aragón-Caspe / Baix Aragó-Casp	115,6619466067
6 personas	6	20	Comunidad de Calatayud	182,854743452
6 personas	6	21	Campo de Cariñena	19,3107411441
6 personas	6	22	Campo de Belchite	8,7547066999
6 personas	6	23	Bajo Martín	17,3007547109
6 personas	6	24	Campo de Daroca	25,8547058162
6 personas	6	25	Jiloca	96,8517180166
6 personas	6	26	Cuencas Mineras	54,3769247121
6 personas	6	27	Andorra-Sierra de Arcos	41,0774538115
6 personas	6	28	Bajo Aragón	89,3086272743
6 personas	6	29	Comunidad de Teruel	286,2283297643
6 personas	6	30	Maestrazgo	28,6074018893
6 personas	6	31	Sierra de Albarracín	10,4566585332
6 personas	6	32	Gúdar-Javalambre	41,2286285146
6 personas	6	33	Matarraña / Matarranya	33,9518755565
7 o más personas	7,21096053360185	01	La Jacetania	24,3655808906
7 o más personas	7,3178847495405	02	Alto Gállego	27,3884745364
7 o más personas	7,52221319207099	03	Sobrarbe	10,372853229
7 o más personas	7,486532593595	04	La Ribagorza	17,0860092196
7 o más personas	8,11542249487861	05	Cinco Villas	12,7709996327
7 o más personas	7,25129200432073	06	Hoya de Huesca / Plana de Uesca	99,0025665339
7 o más personas	7,03745568405186	07	Somontano de Barbastro	11,0440201393
7 o más personas	8,23175701063218	08	Cinca Medio	127,5291165207
7 o más personas	7,26973535673886	09	La Litera / La Llitera	42,5861711823
7 o más personas	7	10	Los Monegros	9,5050148787
7 o más personas	7,40901862563998	11	Bajo Cinca / Baix Cinca	15,8949356346
7 o más personas		12	Tarazona y el Moncayo	
7 o más personas	7,27007833335802	13	Campo de Borja	9,8211035303
7 o más personas		14	Aranda	
7 o más personas	8,1491299700315	15	Ribera Alta del Ebro	60,7304368618
7 o más personas	7,50351538740819	16	Valdejalón	37,3790829551
7 o más personas	7,60292315525395	17	D.C. Zaragoza	819,8281395572
7 o más personas		18	Ribera Baja del Ebro	
7 o más personas	7	19	Bajo Aragón-Caspe / Baix Aragó-Casp	62,1588573714
7 o más personas	8,35879583378944	20	Comunidad de Calatayud	27,6255558213
7 o más personas	7	21	Campo de Cariñena	9,5936112799
7 o más personas	10	22	Campo de Belchite	1,4018282165
7 o más personas	7	23	Bajo Martín	6,1624948845
7 o más personas	7	24	Campo de Daroca	3,020266861
7 o más personas	7	25	Jiloca	8,0443753507
7 o más personas	8,13250958130595	26	Cuencas Mineras	16,6549052027
7 o más personas		27	Andorra-Sierra de Arcos	
7 o más personas	7,7494280392957	28	Bajo Aragón	9,8107399387
7 o más personas	7,60973702823618	29	Comunidad de Teruel	36,2750590542
7 o más personas	7	30	Maestrazgo	9,9556688925
7 o más personas	8	31	Sierra de Albarracín	1,6074146751
7 o más personas	7,84551347373383	32	Gúdar-Javalambre	7,238371576
7 o más personas	7,44406854311755	33	Matarraña / Matarranya	2,5126878287
