Municipio código	Municipio nombre	Tipo local	Actividad del local	Número de locales
22025	Altorricón	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	9
22025	Altorricón	Local comercial	Activo	31
22025	Altorricón	Oficinas(incluye también el resto de servicios)	Activo	26
22025	Altorricón	Local industrial	Activo	18
22027	Angüés	No aplicable	Inactivo	12
22027	Angüés	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	3
22027	Angüés	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	2
22027	Angüés	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	1
22027	Angüés	Local comercial	Activo	14
22027	Angüés	Oficinas(incluye también el resto de servicios)	Activo	10
22027	Angüés	Local industrial	Activo	4
22027	Angüés	Local agrario	Activo	7
22028	Ansó	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	2
22028	Ansó	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	2
22028	Ansó	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	2
22028	Ansó	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	6
22028	Ansó	Local comercial	Activo	17
22028	Ansó	Oficinas(incluye también el resto de servicios)	Activo	27
22028	Ansó	Local industrial	Activo	7
22029	Antillón	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	1
22029	Antillón	Oficinas(incluye también el resto de servicios)	Activo	3
22029	Antillón	Local industrial	Activo	1
22032	Aragüés del Puerto	No aplicable	Inactivo	7
22032	Aragüés del Puerto	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22032	Aragüés del Puerto	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	2
22032	Aragüés del Puerto	Local comercial	Activo	3
22032	Aragüés del Puerto	Oficinas(incluye también el resto de servicios)	Activo	5
22035	Arén	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22035	Arén	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	1
22035	Arén	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	3
22035	Arén	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	7
22035	Arén	Local comercial	Activo	19
22035	Arén	Oficinas(incluye también el resto de servicios)	Activo	1
22036	Argavieso	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22036	Argavieso	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	1
22036	Argavieso	Oficinas(incluye también el resto de servicios)	Activo	2
22039	Ayerbe	No aplicable	Inactivo	45
22039	Ayerbe	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	4
22039	Ayerbe	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	3
22039	Ayerbe	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	4
22039	Ayerbe	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	6
22039	Ayerbe	Local comercial	Activo	37
22039	Ayerbe	Oficinas(incluye también el resto de servicios)	Activo	28
22039	Ayerbe	Local industrial	Activo	4
22039	Ayerbe	Local agrario	Activo	14
22040	Azanuy-Alins	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22040	Azanuy-Alins	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	1
22040	Azanuy-Alins	Local comercial	Activo	1
22040	Azanuy-Alins	Oficinas(incluye también el resto de servicios)	Activo	4
22040	Azanuy-Alins	Local industrial	Activo	1
22041	Azara	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22041	Azara	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	1
22041	Azara	Local comercial	Activo	17
22041	Azara	Oficinas(incluye también el resto de servicios)	Activo	1
22041	Azara	Local industrial	Activo	3
22042	Azlor	No aplicable	Inactivo	1
22042	Azlor	Local comercial	Activo	1
22042	Azlor	Oficinas(incluye también el resto de servicios)	Activo	1
22043	Baells	No aplicable	Inactivo	2
22043	Baells	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22043	Baells	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	1
22043	Baells	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	1
22043	Baells	Local comercial	Activo	2
22043	Baells	Oficinas(incluye también el resto de servicios)	Activo	1
22044	Bailo	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22044	Bailo	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	2
22044	Bailo	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	2
22044	Bailo	Local comercial	Activo	5
22044	Bailo	Oficinas(incluye también el resto de servicios)	Activo	4
22045	Baldellou	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	1
22045	Baldellou	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	1
22045	Baldellou	Local comercial	Activo	1
22045	Baldellou	Oficinas(incluye también el resto de servicios)	Activo	1
22046	Ballobar	No aplicable	Inactivo	5
22046	Ballobar	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22046	Ballobar	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	2
22046	Ballobar	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	2
22046	Ballobar	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	2
22046	Ballobar	Local comercial	Activo	31
22046	Ballobar	Oficinas(incluye también el resto de servicios)	Activo	8
22046	Ballobar	Local industrial	Activo	1
22046	Ballobar	Local agrario	Activo	2
22048	Barbastro	No aplicable	Inactivo	174
22048	Barbastro	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	33
22048	Barbastro	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	31
22048	Barbastro	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	31
22048	Barbastro	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	21
22048	Barbastro	Local comercial	Activo	570
22048	Barbastro	Oficinas(incluye también el resto de servicios)	Activo	168
22048	Barbastro	Local industrial	Activo	133
22049	Barbués	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22049	Barbués	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	1
22049	Barbués	Oficinas(incluye también el resto de servicios)	Activo	1
22050	Barbuñales	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22050	Barbuñales	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	1
22050	Barbuñales	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	2
22050	Barbuñales	Local comercial	Activo	1
22050	Barbuñales	Oficinas(incluye también el resto de servicios)	Activo	3
22050	Barbuñales	Local industrial	Activo	1
22051	Bárcabo	No aplicable	Inactivo	1
22051	Bárcabo	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	8
22051	Bárcabo	Local comercial	Activo	10
22052	Belver de Cinca	No aplicable	Inactivo	8
22052	Belver de Cinca	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22052	Belver de Cinca	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	1
22052	Belver de Cinca	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	4
22052	Belver de Cinca	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	11
22052	Belver de Cinca	Local comercial	Activo	44
22052	Belver de Cinca	Oficinas(incluye también el resto de servicios)	Activo	6
22052	Belver de Cinca	Local industrial	Activo	26
22052	Belver de Cinca	Local agrario	Activo	1
22053	Benabarre	No aplicable	Inactivo	3
22053	Benabarre	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	1
22053	Benabarre	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	8
22053	Benabarre	Local comercial	Activo	35
22053	Benabarre	Oficinas(incluye también el resto de servicios)	Activo	3
22053	Benabarre	Local industrial	Activo	1
22054	Benasque	No aplicable	Inactivo	23
22054	Benasque	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22054	Benasque	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	4
22054	Benasque	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	2
22054	Benasque	Local comercial	Activo	104
22054	Benasque	Oficinas(incluye también el resto de servicios)	Activo	19
22054	Benasque	Local industrial	Activo	6
22054	Benasque	Local agrario	Activo	1
22055	Berbegal	No aplicable	Inactivo	3
22055	Berbegal	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22055	Berbegal	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	3
22055	Berbegal	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	1
22055	Berbegal	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	3
22055	Berbegal	Local comercial	Activo	11
22055	Berbegal	Oficinas(incluye también el resto de servicios)	Activo	8
22055	Berbegal	Local industrial	Activo	3
22057	Bielsa	No aplicable	Inactivo	5
22057	Bielsa	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	2
22057	Bielsa	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	2
22057	Bielsa	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	5
22057	Bielsa	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	1
22057	Bielsa	Local comercial	Activo	34
22057	Bielsa	Oficinas(incluye también el resto de servicios)	Activo	12
22057	Bielsa	Local industrial	Activo	3
22058	Bierge	No aplicable	Inactivo	2
22058	Bierge	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22058	Bierge	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	6
22058	Bierge	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	1
22058	Bierge	Local comercial	Activo	17
22058	Bierge	Oficinas(incluye también el resto de servicios)	Activo	1
22059	Biescas	No aplicable	Inactivo	88
22059	Biescas	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	3
22059	Biescas	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	10
22059	Biescas	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	7
22059	Biescas	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	23
22059	Biescas	Local comercial	Activo	74
22059	Biescas	Oficinas(incluye también el resto de servicios)	Activo	20
22059	Biescas	Local industrial	Activo	13
22059	Biescas	Local agrario	Activo	1
22060	Binaced	No aplicable	Inactivo	11
22060	Binaced	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22060	Binaced	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	4
22060	Binaced	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	2
22060	Binaced	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	6
22060	Binaced	Local comercial	Activo	46
22060	Binaced	Oficinas(incluye también el resto de servicios)	Activo	8
22060	Binaced	Local industrial	Activo	7
22060	Binaced	Local agrario	Activo	1
22061	Binéfar	No aplicable	Inactivo	91
22061	Binéfar	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	12
22061	Binéfar	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	10
22061	Binéfar	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	6
22061	Binéfar	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	13
22061	Binéfar	Local comercial	Activo	281
22061	Binéfar	Oficinas(incluye también el resto de servicios)	Activo	61
22061	Binéfar	Local industrial	Activo	54
22062	Bisaurri	No aplicable	Inactivo	3
22062	Bisaurri	Oficinas(incluye también el resto de servicios)	Activo	9
22062	Bisaurri	Local industrial	Activo	5
22063	Biscarrués	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22063	Biscarrués	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	1
22063	Biscarrués	Local comercial	Activo	1
22063	Biscarrués	Oficinas(incluye también el resto de servicios)	Activo	4
22064	Blecua y Torres	No aplicable	Inactivo	1
22064	Blecua y Torres	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	3
22064	Blecua y Torres	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	3
22064	Blecua y Torres	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	1
22064	Blecua y Torres	Oficinas(incluye también el resto de servicios)	Activo	6
22066	Boltaña	No aplicable	Inactivo	6
22066	Boltaña	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22066	Boltaña	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	5
22066	Boltaña	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	5
22066	Boltaña	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	2
22066	Boltaña	Local comercial	Activo	25
22066	Boltaña	Oficinas(incluye también el resto de servicios)	Activo	13
22066	Boltaña	Local industrial	Activo	8
22066	Boltaña	Local agrario	Activo	3
22067	Bonansa	No aplicable	Inactivo	3
22067	Bonansa	Local comercial	Activo	8
22067	Bonansa	Oficinas(incluye también el resto de servicios)	Activo	3
22068	Borau	No aplicable	Inactivo	10
22068	Borau	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	2
22068	Borau	Local comercial	Activo	1
22068	Borau	Oficinas(incluye también el resto de servicios)	Activo	2
22068	Borau	Local agrario	Activo	9
22069	Broto	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	3
22069	Broto	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	2
22069	Broto	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	1
22069	Broto	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	7
22069	Broto	Local comercial	Activo	21
22069	Broto	Oficinas(incluye también el resto de servicios)	Activo	22
22069	Broto	Local industrial	Activo	2
22069	Broto	Local agrario	Activo	1
22072	Caldearenas	No aplicable	Inactivo	1
22072	Caldearenas	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22072	Caldearenas	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	3
22072	Caldearenas	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	6
22072	Caldearenas	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	3
22072	Caldearenas	Local comercial	Activo	5
22072	Caldearenas	Oficinas(incluye también el resto de servicios)	Activo	12
22072	Caldearenas	Local industrial	Activo	1
22074	Campo	No aplicable	Inactivo	11
22074	Campo	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22074	Campo	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	1
22074	Campo	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	3
22074	Campo	Local comercial	Activo	24
22074	Campo	Oficinas(incluye también el resto de servicios)	Activo	7
22074	Campo	Local industrial	Activo	7
22075	Camporrells	No aplicable	Inactivo	1
22075	Camporrells	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	1
22075	Camporrells	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	1
22075	Camporrells	Local comercial	Activo	3
22075	Camporrells	Oficinas(incluye también el resto de servicios)	Activo	3
22076	Canal de Berdún	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	3
22076	Canal de Berdún	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	6
22076	Canal de Berdún	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	1
22076	Canal de Berdún	Local comercial	Activo	17
22076	Canal de Berdún	Oficinas(incluye también el resto de servicios)	Activo	9
22077	Candasnos	No aplicable	Inactivo	11
22077	Candasnos	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22077	Candasnos	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	2
22077	Candasnos	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	1
22077	Candasnos	Local comercial	Activo	9
22077	Candasnos	Oficinas(incluye también el resto de servicios)	Activo	17
22077	Candasnos	Local industrial	Activo	2
22078	Canfranc	No aplicable	Inactivo	6
22078	Canfranc	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22078	Canfranc	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	1
22078	Canfranc	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	2
22078	Canfranc	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	1
22078	Canfranc	Local comercial	Activo	24
22078	Canfranc	Oficinas(incluye también el resto de servicios)	Activo	13
22078	Canfranc	Local industrial	Activo	1
22079	Capdesaso	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22079	Capdesaso	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	1
22079	Capdesaso	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	2
22079	Capdesaso	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	2
22079	Capdesaso	Local comercial	Activo	1
22079	Capdesaso	Oficinas(incluye también el resto de servicios)	Activo	9
22079	Capdesaso	Local agrario	Activo	1
