Mes (código)	Mes y año	Comarca código	Comarca nombre	Sexo	Nacionalidad	Afiliaciones en alta
202104	Abril 2021	08	Cinca Medio	Mujeres	Extranjeros comunitarios (UE-28)	275
202104	Abril 2021	08	Cinca Medio	Hombres	Extranjeros no comunitarios	639
202104	Abril 2021	08	Cinca Medio	Mujeres	Extranjeros no comunitarios	203
202104	Abril 2021	08	Cinca Medio	Hombres	Extranjeros comunitarios (UE-28)	60
202104	Abril 2021	08	Cinca Medio	Mujeres	Extranjeros comunitarios (UE-28)	63
202104	Abril 2021	09	La Litera / La Llitera	Hombres	Españoles	4437
202104	Abril 2021	09	La Litera / La Llitera	Mujeres	Españoles	2543
202104	Abril 2021	09	La Litera / La Llitera	Hombres	Extranjeros comunitarios (UE-28)	566
202104	Abril 2021	09	La Litera / La Llitera	Mujeres	Extranjeros comunitarios (UE-28)	303
202104	Abril 2021	09	La Litera / La Llitera	Hombres	Extranjeros no comunitarios	1508
202104	Abril 2021	09	La Litera / La Llitera	Mujeres	Extranjeros no comunitarios	282
202104	Abril 2021	09	La Litera / La Llitera	Hombres	Extranjeros comunitarios (UE-28)	97
202104	Abril 2021	09	La Litera / La Llitera	Mujeres	Extranjeros comunitarios (UE-28)	46
202104	Abril 2021	10	Los Monegros	Hombres	Españoles	3543
202104	Abril 2021	10	Los Monegros	Mujeres	Españoles	1785
202104	Abril 2021	10	Los Monegros	Hombres	No consta	1
202104	Abril 2021	10	Los Monegros	Mujeres	No consta	1
202104	Abril 2021	10	Los Monegros	Hombres	Extranjeros comunitarios (UE-28)	340
202104	Abril 2021	10	Los Monegros	Mujeres	Extranjeros comunitarios (UE-28)	163
202104	Abril 2021	10	Los Monegros	Hombres	Extranjeros no comunitarios	398
202104	Abril 2021	10	Los Monegros	Mujeres	Extranjeros no comunitarios	113
202104	Abril 2021	10	Los Monegros	Hombres	Extranjeros comunitarios (UE-28)	56
202104	Abril 2021	10	Los Monegros	Mujeres	Extranjeros comunitarios (UE-28)	21
202104	Abril 2021	11	Bajo Cinca / Baix Cinca	Hombres	Españoles	4913
202104	Abril 2021	11	Bajo Cinca / Baix Cinca	Mujeres	Españoles	3317
202104	Abril 2021	11	Bajo Cinca / Baix Cinca	Hombres	Extranjeros comunitarios (UE-28)	1040
202104	Abril 2021	11	Bajo Cinca / Baix Cinca	Mujeres	Extranjeros comunitarios (UE-28)	674
202104	Abril 2021	11	Bajo Cinca / Baix Cinca	Hombres	Extranjeros no comunitarios	1550
202104	Abril 2021	11	Bajo Cinca / Baix Cinca	Mujeres	Extranjeros no comunitarios	199
202104	Abril 2021	11	Bajo Cinca / Baix Cinca	Hombres	Extranjeros comunitarios (UE-28)	103
202104	Abril 2021	11	Bajo Cinca / Baix Cinca	Mujeres	Extranjeros comunitarios (UE-28)	112
202104	Abril 2021	12	Tarazona y el Moncayo	Hombres	Españoles	2193
202104	Abril 2021	12	Tarazona y el Moncayo	Mujeres	Españoles	1614
202104	Abril 2021	12	Tarazona y el Moncayo	Hombres	Extranjeros comunitarios (UE-28)	83
202104	Abril 2021	12	Tarazona y el Moncayo	Mujeres	Extranjeros comunitarios (UE-28)	43
202104	Abril 2021	12	Tarazona y el Moncayo	Hombres	Extranjeros no comunitarios	144
202104	Abril 2021	12	Tarazona y el Moncayo	Mujeres	Extranjeros no comunitarios	56
202104	Abril 2021	12	Tarazona y el Moncayo	Hombres	Extranjeros comunitarios (UE-28)	15
202104	Abril 2021	12	Tarazona y el Moncayo	Mujeres	Extranjeros comunitarios (UE-28)	15
202104	Abril 2021	13	Campo de Borja	Hombres	Españoles	2115
202104	Abril 2021	13	Campo de Borja	Mujeres	Españoles	1751
202104	Abril 2021	13	Campo de Borja	Hombres	Extranjeros comunitarios (UE-28)	185
202104	Abril 2021	13	Campo de Borja	Mujeres	Extranjeros comunitarios (UE-28)	123
202104	Abril 2021	13	Campo de Borja	Hombres	Extranjeros no comunitarios	164
202104	Abril 2021	13	Campo de Borja	Mujeres	Extranjeros no comunitarios	51
202104	Abril 2021	13	Campo de Borja	Hombres	Extranjeros comunitarios (UE-28)	12
202104	Abril 2021	13	Campo de Borja	Mujeres	Extranjeros comunitarios (UE-28)	12
202104	Abril 2021	14	Aranda	Hombres	Españoles	825
202104	Abril 2021	14	Aranda	Mujeres	Españoles	460
202104	Abril 2021	14	Aranda	Hombres	Extranjeros comunitarios (UE-28)	58
202104	Abril 2021	14	Aranda	Mujeres	Extranjeros comunitarios (UE-28)	35
202104	Abril 2021	14	Aranda	Hombres	Extranjeros no comunitarios	25
202104	Abril 2021	14	Aranda	Mujeres	Extranjeros no comunitarios	5
202104	Abril 2021	14	Aranda	Hombres	Extranjeros comunitarios (UE-28)	3
202104	Abril 2021	15	Ribera Alta del Ebro	Hombres	Españoles	11841
202104	Abril 2021	15	Ribera Alta del Ebro	Mujeres	Españoles	4421
202104	Abril 2021	15	Ribera Alta del Ebro	Hombres	No consta	1
202104	Abril 2021	15	Ribera Alta del Ebro	Hombres	Extranjeros comunitarios (UE-28)	722
202104	Abril 2021	15	Ribera Alta del Ebro	Mujeres	Extranjeros comunitarios (UE-28)	349
202104	Abril 2021	15	Ribera Alta del Ebro	Hombres	Extranjeros no comunitarios	837
202104	Abril 2021	15	Ribera Alta del Ebro	Mujeres	Extranjeros no comunitarios	261
202104	Abril 2021	15	Ribera Alta del Ebro	Hombres	Extranjeros comunitarios (UE-28)	186
202104	Abril 2021	15	Ribera Alta del Ebro	Mujeres	Extranjeros comunitarios (UE-28)	61
202104	Abril 2021	16	Valdejalón	Hombres	Españoles	7248
202104	Abril 2021	16	Valdejalón	Mujeres	Españoles	3672
202104	Abril 2021	16	Valdejalón	Hombres	No consta	4
202104	Abril 2021	16	Valdejalón	Hombres	Extranjeros comunitarios (UE-28)	1119
202104	Abril 2021	16	Valdejalón	Mujeres	Extranjeros comunitarios (UE-28)	863
202104	Abril 2021	16	Valdejalón	Hombres	Extranjeros no comunitarios	921
202104	Abril 2021	16	Valdejalón	Mujeres	Extranjeros no comunitarios	306
202104	Abril 2021	16	Valdejalón	Hombres	Extranjeros comunitarios (UE-28)	101
202104	Abril 2021	16	Valdejalón	Mujeres	Extranjeros comunitarios (UE-28)	46
202104	Abril 2021	17	Central	Hombres	Españoles	146786
202104	Abril 2021	17	Central	Mujeres	Españoles	143454
202104	Abril 2021	17	Central	Hombres	No consta	29
202104	Abril 2021	17	Central	Mujeres	No consta	21
202104	Abril 2021	17	Central	Hombres	Extranjeros comunitarios (UE-28)	6599
202104	Abril 2021	17	Central	Mujeres	Extranjeros comunitarios (UE-28)	8175
202104	Abril 2021	17	Central	Hombres	Extranjeros comunitarios (UE-28)	6
202104	Abril 2021	17	Central	Mujeres	Extranjeros comunitarios (UE-28)	4
202104	Abril 2021	17	Central	Hombres	Extranjeros no comunitarios	11985
202104	Abril 2021	17	Central	Mujeres	Extranjeros no comunitarios	10301
202104	Abril 2021	17	Central	Hombres	Extranjeros comunitarios (UE-28)	1870
202104	Abril 2021	17	Central	Mujeres	Extranjeros comunitarios (UE-28)	1490
202104	Abril 2021	18	Ribera Baja del Ebro	Hombres	Españoles	1920
202104	Abril 2021	18	Ribera Baja del Ebro	Mujeres	Españoles	1142
202104	Abril 2021	18	Ribera Baja del Ebro	Hombres	Extranjeros comunitarios (UE-28)	113
202104	Abril 2021	18	Ribera Baja del Ebro	Mujeres	Extranjeros comunitarios (UE-28)	60
202104	Abril 2021	18	Ribera Baja del Ebro	Hombres	Extranjeros no comunitarios	171
202104	Abril 2021	18	Ribera Baja del Ebro	Mujeres	Extranjeros no comunitarios	63
202104	Abril 2021	18	Ribera Baja del Ebro	Hombres	Extranjeros comunitarios (UE-28)	14
202104	Abril 2021	18	Ribera Baja del Ebro	Mujeres	Extranjeros comunitarios (UE-28)	8
202104	Abril 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Españoles	2161
202104	Abril 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Españoles	1638
202104	Abril 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	No consta	4
202104	Abril 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	No consta	9
202104	Abril 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Extranjeros comunitarios (UE-28)	370
202104	Abril 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Extranjeros comunitarios (UE-28)	390
202104	Abril 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Extranjeros no comunitarios	1287
202104	Abril 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Extranjeros no comunitarios	139
202104	Abril 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Extranjeros comunitarios (UE-28)	65
202104	Abril 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Extranjeros comunitarios (UE-28)	50
202104	Abril 2021	20	Comunidad de Calatayud	Hombres	Españoles	4661
202104	Abril 2021	20	Comunidad de Calatayud	Mujeres	Españoles	3990
202104	Abril 2021	20	Comunidad de Calatayud	Hombres	Extranjeros comunitarios (UE-28)	678
202104	Abril 2021	20	Comunidad de Calatayud	Mujeres	Extranjeros comunitarios (UE-28)	561
202104	Abril 2021	20	Comunidad de Calatayud	Hombres	Extranjeros no comunitarios	317
202104	Abril 2021	20	Comunidad de Calatayud	Mujeres	Extranjeros no comunitarios	185
202104	Abril 2021	20	Comunidad de Calatayud	Hombres	Extranjeros comunitarios (UE-28)	25
202104	Abril 2021	20	Comunidad de Calatayud	Mujeres	Extranjeros comunitarios (UE-28)	18
202104	Abril 2021	21	Campo de Cariñena	Hombres	Españoles	2511
202104	Abril 2021	21	Campo de Cariñena	Mujeres	Españoles	1065
202104	Abril 2021	21	Campo de Cariñena	Hombres	Extranjeros comunitarios (UE-28)	359
202104	Abril 2021	21	Campo de Cariñena	Mujeres	Extranjeros comunitarios (UE-28)	217
202104	Abril 2021	21	Campo de Cariñena	Hombres	Extranjeros no comunitarios	275
202104	Abril 2021	21	Campo de Cariñena	Mujeres	Extranjeros no comunitarios	100
202104	Abril 2021	21	Campo de Cariñena	Hombres	Extranjeros comunitarios (UE-28)	42
202104	Abril 2021	21	Campo de Cariñena	Mujeres	Extranjeros comunitarios (UE-28)	27
202104	Abril 2021	22	Campo de Belchite	Hombres	Españoles	714
202104	Abril 2021	22	Campo de Belchite	Mujeres	Españoles	383
202104	Abril 2021	22	Campo de Belchite	Hombres	Extranjeros comunitarios (UE-28)	65
202104	Abril 2021	22	Campo de Belchite	Mujeres	Extranjeros comunitarios (UE-28)	47
202104	Abril 2021	22	Campo de Belchite	Hombres	Extranjeros no comunitarios	40
202104	Abril 2021	22	Campo de Belchite	Mujeres	Extranjeros no comunitarios	30
202104	Abril 2021	22	Campo de Belchite	Hombres	Extranjeros comunitarios (UE-28)	4
202104	Abril 2021	22	Campo de Belchite	Mujeres	Extranjeros comunitarios (UE-28)	2
202104	Abril 2021	23	Bajo Martín	Hombres	Españoles	1445
202104	Abril 2021	23	Bajo Martín	Mujeres	Españoles	661
202104	Abril 2021	23	Bajo Martín	Hombres	Extranjeros comunitarios (UE-28)	274
202104	Abril 2021	23	Bajo Martín	Mujeres	Extranjeros comunitarios (UE-28)	51
202104	Abril 2021	23	Bajo Martín	Hombres	Extranjeros no comunitarios	284
202104	Abril 2021	23	Bajo Martín	Mujeres	Extranjeros no comunitarios	22
202104	Abril 2021	23	Bajo Martín	Hombres	Extranjeros comunitarios (UE-28)	67
202104	Abril 2021	23	Bajo Martín	Mujeres	Extranjeros comunitarios (UE-28)	8
202104	Abril 2021	24	Campo de Daroca	Hombres	Españoles	982
202104	Abril 2021	24	Campo de Daroca	Mujeres	Españoles	537
202104	Abril 2021	24	Campo de Daroca	Hombres	No consta	1
202104	Abril 2021	24	Campo de Daroca	Hombres	Extranjeros comunitarios (UE-28)	156
202104	Abril 2021	24	Campo de Daroca	Mujeres	Extranjeros comunitarios (UE-28)	91
202104	Abril 2021	24	Campo de Daroca	Hombres	Extranjeros comunitarios (UE-28)	1
202104	Abril 2021	24	Campo de Daroca	Hombres	Extranjeros no comunitarios	156
202104	Abril 2021	24	Campo de Daroca	Mujeres	Extranjeros no comunitarios	48
202104	Abril 2021	24	Campo de Daroca	Hombres	Extranjeros comunitarios (UE-28)	5
202104	Abril 2021	24	Campo de Daroca	Mujeres	Extranjeros comunitarios (UE-28)	2
202104	Abril 2021	25	Jiloca	Hombres	Españoles	1930
202104	Abril 2021	25	Jiloca	Mujeres	Españoles	1228
202104	Abril 2021	25	Jiloca	Hombres	Extranjeros comunitarios (UE-28)	183
202104	Abril 2021	25	Jiloca	Mujeres	Extranjeros comunitarios (UE-28)	130
202104	Abril 2021	25	Jiloca	Hombres	Extranjeros no comunitarios	213
202104	Abril 2021	25	Jiloca	Mujeres	Extranjeros no comunitarios	57
202104	Abril 2021	25	Jiloca	Hombres	Extranjeros comunitarios (UE-28)	31
202104	Abril 2021	25	Jiloca	Mujeres	Extranjeros comunitarios (UE-28)	24
202104	Abril 2021	26	Cuencas Mineras	Hombres	Españoles	1207
202104	Abril 2021	26	Cuencas Mineras	Mujeres	Españoles	767
202104	Abril 2021	26	Cuencas Mineras	Hombres	Extranjeros comunitarios (UE-28)	38
202104	Abril 2021	26	Cuencas Mineras	Mujeres	Extranjeros comunitarios (UE-28)	33
202104	Abril 2021	26	Cuencas Mineras	Hombres	Extranjeros no comunitarios	101
202104	Abril 2021	26	Cuencas Mineras	Mujeres	Extranjeros no comunitarios	33
202104	Abril 2021	26	Cuencas Mineras	Hombres	Extranjeros comunitarios (UE-28)	4
202104	Abril 2021	26	Cuencas Mineras	Mujeres	Extranjeros comunitarios (UE-28)	2
202104	Abril 2021	27	Andorra-Sierra de Arcos	Hombres	Españoles	1114
202104	Abril 2021	27	Andorra-Sierra de Arcos	Mujeres	Españoles	832
202104	Abril 2021	27	Andorra-Sierra de Arcos	Hombres	Extranjeros comunitarios (UE-28)	34
202104	Abril 2021	27	Andorra-Sierra de Arcos	Mujeres	Extranjeros comunitarios (UE-28)	31
202104	Abril 2021	27	Andorra-Sierra de Arcos	Hombres	Extranjeros no comunitarios	64
202104	Abril 2021	27	Andorra-Sierra de Arcos	Mujeres	Extranjeros no comunitarios	19
202104	Abril 2021	27	Andorra-Sierra de Arcos	Hombres	Extranjeros comunitarios (UE-28)	12
202104	Abril 2021	27	Andorra-Sierra de Arcos	Mujeres	Extranjeros comunitarios (UE-28)	17
202104	Abril 2021	28	Bajo Aragón	Hombres	Españoles	4881
202104	Abril 2021	28	Bajo Aragón	Mujeres	Españoles	3978
202104	Abril 2021	28	Bajo Aragón	Hombres	Extranjeros comunitarios (UE-28)	480
202104	Abril 2021	28	Bajo Aragón	Mujeres	Extranjeros comunitarios (UE-28)	351
202104	Abril 2021	28	Bajo Aragón	Hombres	Extranjeros no comunitarios	341
202104	Abril 2021	28	Bajo Aragón	Mujeres	Extranjeros no comunitarios	128
202104	Abril 2021	28	Bajo Aragón	Hombres	Extranjeros comunitarios (UE-28)	42
202104	Abril 2021	28	Bajo Aragón	Mujeres	Extranjeros comunitarios (UE-28)	36
202104	Abril 2021	29	Comunidad de Teruel	Hombres	Españoles	11061
202104	Abril 2021	29	Comunidad de Teruel	Mujeres	Españoles	10555
202104	Abril 2021	29	Comunidad de Teruel	Hombres	No consta	3
202104	Abril 2021	29	Comunidad de Teruel	Mujeres	No consta	1
202104	Abril 2021	29	Comunidad de Teruel	Hombres	Extranjeros comunitarios (UE-28)	495
202104	Abril 2021	29	Comunidad de Teruel	Mujeres	Extranjeros comunitarios (UE-28)	523
202104	Abril 2021	29	Comunidad de Teruel	Hombres	Extranjeros no comunitarios	839
202104	Abril 2021	29	Comunidad de Teruel	Mujeres	Extranjeros no comunitarios	375
202104	Abril 2021	29	Comunidad de Teruel	Hombres	Extranjeros comunitarios (UE-28)	84
202104	Abril 2021	29	Comunidad de Teruel	Mujeres	Extranjeros comunitarios (UE-28)	53
202104	Abril 2021	30	Maestrazgo	Hombres	Españoles	517
202104	Abril 2021	30	Maestrazgo	Mujeres	Españoles	340
202104	Abril 2021	30	Maestrazgo	Hombres	Extranjeros comunitarios (UE-28)	31
202104	Abril 2021	30	Maestrazgo	Mujeres	Extranjeros comunitarios (UE-28)	19
202104	Abril 2021	30	Maestrazgo	Hombres	Extranjeros no comunitarios	36
202104	Abril 2021	30	Maestrazgo	Mujeres	Extranjeros no comunitarios	15
202104	Abril 2021	30	Maestrazgo	Hombres	Extranjeros comunitarios (UE-28)	3
202104	Abril 2021	30	Maestrazgo	Mujeres	Extranjeros comunitarios (UE-28)	2
202104	Abril 2021	31	Sierra de Albarracín	Hombres	Españoles	624
202104	Abril 2021	31	Sierra de Albarracín	Mujeres	Españoles	466
202104	Abril 2021	31	Sierra de Albarracín	Hombres	Extranjeros comunitarios (UE-28)	10
202104	Abril 2021	31	Sierra de Albarracín	Mujeres	Extranjeros comunitarios (UE-28)	17
202104	Abril 2021	31	Sierra de Albarracín	Hombres	Extranjeros no comunitarios	60
202104	Abril 2021	31	Sierra de Albarracín	Mujeres	Extranjeros no comunitarios	36
202104	Abril 2021	31	Sierra de Albarracín	Hombres	Extranjeros comunitarios (UE-28)	10
202104	Abril 2021	31	Sierra de Albarracín	Mujeres	Extranjeros comunitarios (UE-28)	4
202104	Abril 2021	32	Gúdar-Javalambre	Hombres	Españoles	1576
202104	Abril 2021	32	Gúdar-Javalambre	Mujeres	Españoles	949
202104	Abril 2021	32	Gúdar-Javalambre	Hombres	Extranjeros comunitarios (UE-28)	70
202104	Abril 2021	32	Gúdar-Javalambre	Mujeres	Extranjeros comunitarios (UE-28)	49
202104	Abril 2021	32	Gúdar-Javalambre	Hombres	Extranjeros no comunitarios	198
202104	Abril 2021	32	Gúdar-Javalambre	Mujeres	Extranjeros no comunitarios	59
202104	Abril 2021	32	Gúdar-Javalambre	Hombres	Extranjeros comunitarios (UE-28)	9
202104	Abril 2021	32	Gúdar-Javalambre	Mujeres	Extranjeros comunitarios (UE-28)	10
202104	Abril 2021	33	Matarraña / Matarranya	Hombres	Españoles	1501
202104	Abril 2021	33	Matarraña / Matarranya	Mujeres	Españoles	1085
202104	Abril 2021	33	Matarraña / Matarranya	Hombres	Extranjeros comunitarios (UE-28)	162
202104	Abril 2021	33	Matarraña / Matarranya	Mujeres	Extranjeros comunitarios (UE-28)	111
202104	Abril 2021	33	Matarraña / Matarranya	Hombres	Extranjeros no comunitarios	229
202104	Abril 2021	33	Matarraña / Matarranya	Mujeres	Extranjeros no comunitarios	52
202104	Abril 2021	33	Matarraña / Matarranya	Hombres	Extranjeros comunitarios (UE-28)	31
202104	Abril 2021	33	Matarraña / Matarranya	Mujeres	Extranjeros comunitarios (UE-28)	26
202103	Marzo 2021	01	La Jacetania	Hombres	Españoles	2553
202103	Marzo 2021	01	La Jacetania	Mujeres	Españoles	2317
202103	Marzo 2021	01	La Jacetania	Hombres	Extranjeros comunitarios (UE-28)	63
202103	Marzo 2021	01	La Jacetania	Mujeres	Extranjeros comunitarios (UE-28)	57
202103	Marzo 2021	01	La Jacetania	Hombres	Extranjeros no comunitarios	152
202103	Marzo 2021	01	La Jacetania	Mujeres	Extranjeros no comunitarios	141
202103	Marzo 2021	01	La Jacetania	Hombres	Extranjeros comunitarios (UE-28)	45
202103	Marzo 2021	01	La Jacetania	Mujeres	Extranjeros comunitarios (UE-28)	29
202103	Marzo 2021	02	Alto Gállego	Hombres	Españoles	2638
202103	Marzo 2021	02	Alto Gállego	Mujeres	Españoles	1782
202103	Marzo 2021	02	Alto Gállego	Mujeres	No consta	1
202103	Marzo 2021	02	Alto Gállego	Hombres	Extranjeros comunitarios (UE-28)	123
202103	Marzo 2021	02	Alto Gállego	Mujeres	Extranjeros comunitarios (UE-28)	100
202103	Marzo 2021	02	Alto Gállego	Hombres	Extranjeros no comunitarios	171
202103	Marzo 2021	02	Alto Gállego	Mujeres	Extranjeros no comunitarios	70
202103	Marzo 2021	02	Alto Gállego	Hombres	Extranjeros comunitarios (UE-28)	67
202103	Marzo 2021	02	Alto Gállego	Mujeres	Extranjeros comunitarios (UE-28)	48
202103	Marzo 2021	03	Sobrarbe	Hombres	Españoles	1283
202103	Marzo 2021	03	Sobrarbe	Mujeres	Españoles	923
202103	Marzo 2021	03	Sobrarbe	Hombres	Extranjeros comunitarios (UE-28)	104
202103	Marzo 2021	03	Sobrarbe	Mujeres	Extranjeros comunitarios (UE-28)	88
202103	Marzo 2021	03	Sobrarbe	Hombres	Extranjeros no comunitarios	74
202103	Marzo 2021	03	Sobrarbe	Mujeres	Extranjeros no comunitarios	70
202103	Marzo 2021	03	Sobrarbe	Hombres	Extranjeros comunitarios (UE-28)	29
202103	Marzo 2021	03	Sobrarbe	Mujeres	Extranjeros comunitarios (UE-28)	31
202103	Marzo 2021	04	La Ribagorza	Hombres	Españoles	2223
202103	Marzo 2021	04	La Ribagorza	Mujeres	Españoles	1624
202103	Marzo 2021	04	La Ribagorza	Hombres	Extranjeros comunitarios (UE-28)	278
202103	Marzo 2021	04	La Ribagorza	Mujeres	Extranjeros comunitarios (UE-28)	192
202103	Marzo 2021	04	La Ribagorza	Hombres	Extranjeros no comunitarios	133
202103	Marzo 2021	04	La Ribagorza	Mujeres	Extranjeros no comunitarios	106
202103	Marzo 2021	04	La Ribagorza	Hombres	Extranjeros comunitarios (UE-28)	48
202103	Marzo 2021	04	La Ribagorza	Mujeres	Extranjeros comunitarios (UE-28)	31
202103	Marzo 2021	05	Cinco Villas	Hombres	Españoles	6466
202103	Marzo 2021	05	Cinco Villas	Mujeres	Españoles	4217
202103	Marzo 2021	05	Cinco Villas	Hombres	Extranjeros comunitarios (UE-28)	824
202103	Marzo 2021	05	Cinco Villas	Mujeres	Extranjeros comunitarios (UE-28)	481
202103	Marzo 2021	05	Cinco Villas	Hombres	Extranjeros no comunitarios	1128
202103	Marzo 2021	05	Cinco Villas	Mujeres	Extranjeros no comunitarios	366
202103	Marzo 2021	05	Cinco Villas	Hombres	Extranjeros comunitarios (UE-28)	60
