Año	Dirección Provincial Código	Dirección Provincial Nombre	Sexo	Nº Accidentes	Grupo Grado Código	Grupo Grado Código
2006	44	Teruel	Hombres	1622	Leves	1
2006	50	Zaragoza	Hombres	13438	Leves	1
2006	22	Huesca	Mujeres	633	Leves	1
2006	44	Teruel	Mujeres	372	Leves	1
2006	50	Zaragoza	Mujeres	3950	Leves	1
2005	22	Huesca	Hombres	2858	Leves	1
2005	44	Teruel	Hombres	1601	Leves	1
2005	50	Zaragoza	Hombres	12612	Leves	1
2005	22	Huesca	Mujeres	589	Leves	1
2005	44	Teruel	Mujeres	334	Leves	1
2005	50	Zaragoza	Mujeres	3762	Leves	1
2004	22	Huesca	Hombres	2600	Leves	1
2004	44	Teruel	Hombres	1451	Leves	1
2004	50	Zaragoza	Hombres	12277	Leves	1
2004	22	Huesca	Mujeres	492	Leves	1
2004	44	Teruel	Mujeres	246	Leves	1
2004	50	Zaragoza	Mujeres	3466	Leves	1
2003	22	Huesca	Hombres	2577	Leves	1
2003	44	Teruel	Hombres	1574	Leves	1
2003	50	Zaragoza	Hombres	12308	Leves	1
2003	22	Huesca	Mujeres	507	Leves	1
2003	44	Teruel	Mujeres	280	Leves	1
2003	50	Zaragoza	Mujeres	3302	Leves	1
2018	22	Huesca	Hombres	23	Graves o muy graves	2
2018	44	Teruel	Hombres	13	Graves o muy graves	2
2018	50	Zaragoza	Hombres	63	Graves o muy graves	2
2018	22	Huesca	Mujeres	2	Graves o muy graves	2
2018	44	Teruel	Mujeres	1	Graves o muy graves	2
2018	50	Zaragoza	Mujeres	6	Graves o muy graves	2
2017	22	Huesca	Hombres	27	Graves o muy graves	2
2017	44	Teruel	Hombres	10	Graves o muy graves	2
2017	50	Zaragoza	Hombres	55	Graves o muy graves	2
2017	22	Huesca	Mujeres	3	Graves o muy graves	2
2017	44	Teruel	Mujeres	2	Graves o muy graves	2
2017	50	Zaragoza	Mujeres	5	Graves o muy graves	2
2016	22	Huesca	Hombres	19	Graves o muy graves	2
2016	44	Teruel	Hombres	14	Graves o muy graves	2
2016	50	Zaragoza	Hombres	39	Graves o muy graves	2
2016	22	Huesca	Mujeres	2	Graves o muy graves	2
2016	44	Teruel	Mujeres	2	Graves o muy graves	2
2016	50	Zaragoza	Mujeres	3	Graves o muy graves	2
2015	22	Huesca	Hombres	18	Graves o muy graves	2
2015	44	Teruel	Hombres	11	Graves o muy graves	2
2015	50	Zaragoza	Hombres	44	Graves o muy graves	2
2015	22	Huesca	Mujeres	1	Graves o muy graves	2
2015	50	Zaragoza	Mujeres	6	Graves o muy graves	2
2014	22	Huesca	Hombres	23	Graves o muy graves	2
2014	44	Teruel	Hombres	15	Graves o muy graves	2
2014	50	Zaragoza	Hombres	35	Graves o muy graves	2
2014	22	Huesca	Mujeres	3	Graves o muy graves	2
2014	50	Zaragoza	Mujeres	4	Graves o muy graves	2
2013	22	Huesca	Hombres	16	Graves o muy graves	2
2013	44	Teruel	Hombres	6	Graves o muy graves	2
2013	50	Zaragoza	Hombres	41	Graves o muy graves	2
2013	22	Huesca	Mujeres	1	Graves o muy graves	2
2013	44	Teruel	Mujeres	2	Graves o muy graves	2
2013	50	Zaragoza	Mujeres	6	Graves o muy graves	2
2012	22	Huesca	Hombres	30	Graves o muy graves	2
2012	44	Teruel	Hombres	6	Graves o muy graves	2
2012	50	Zaragoza	Hombres	39	Graves o muy graves	2
2012	22	Huesca	Mujeres	2	Graves o muy graves	2
2012	44	Teruel	Mujeres	3	Graves o muy graves	2
2012	50	Zaragoza	Mujeres	7	Graves o muy graves	2
2011	22	Huesca	Hombres	27	Graves o muy graves	2
2011	44	Teruel	Hombres	12	Graves o muy graves	2
2011	50	Zaragoza	Hombres	34	Graves o muy graves	2
2011	22	Huesca	Mujeres	2	Graves o muy graves	2
2011	44	Teruel	Mujeres	1	Graves o muy graves	2
2011	50	Zaragoza	Mujeres	4	Graves o muy graves	2
2010	22	Huesca	Hombres	39	Graves o muy graves	2
2010	44	Teruel	Hombres	12	Graves o muy graves	2
2010	50	Zaragoza	Hombres	46	Graves o muy graves	2
2010	22	Huesca	Mujeres	3	Graves o muy graves	2
2010	50	Zaragoza	Mujeres	4	Graves o muy graves	2
2009	22	Huesca	Hombres	30	Graves o muy graves	2
2009	44	Teruel	Hombres	14	Graves o muy graves	2
2009	50	Zaragoza	Hombres	72	Graves o muy graves	2
2009	22	Huesca	Mujeres	4	Graves o muy graves	2
2009	50	Zaragoza	Mujeres	11	Graves o muy graves	2
2008	22	Huesca	Hombres	32	Graves o muy graves	2
2008	44	Teruel	Hombres	15	Graves o muy graves	2
2008	50	Zaragoza	Hombres	85	Graves o muy graves	2
2008	22	Huesca	Mujeres	3	Graves o muy graves	2
2008	50	Zaragoza	Mujeres	6	Graves o muy graves	2
2007	22	Huesca	Hombres	45	Graves o muy graves	2
2007	44	Teruel	Hombres	19	Graves o muy graves	2
2007	50	Zaragoza	Hombres	117	Graves o muy graves	2
2007	22	Huesca	Mujeres	2	Graves o muy graves	2
2007	50	Zaragoza	Mujeres	7	Graves o muy graves	2
2006	22	Huesca	Hombres	31	Graves o muy graves	2
2006	44	Teruel	Hombres	12	Graves o muy graves	2
2006	50	Zaragoza	Hombres	114	Graves o muy graves	2
2006	22	Huesca	Mujeres	2	Graves o muy graves	2
2006	44	Teruel	Mujeres	1	Graves o muy graves	2
2006	50	Zaragoza	Mujeres	8	Graves o muy graves	2
2005	22	Huesca	Hombres	43	Graves o muy graves	2
2005	44	Teruel	Hombres	28	Graves o muy graves	2
2005	50	Zaragoza	Hombres	111	Graves o muy graves	2
2005	22	Huesca	Mujeres	6	Graves o muy graves	2
2005	44	Teruel	Mujeres	1	Graves o muy graves	2
2005	50	Zaragoza	Mujeres	9	Graves o muy graves	2
2004	22	Huesca	Hombres	43	Graves o muy graves	2
2004	44	Teruel	Hombres	34	Graves o muy graves	2
2004	50	Zaragoza	Hombres	124	Graves o muy graves	2
2004	22	Huesca	Mujeres	5	Graves o muy graves	2
2004	44	Teruel	Mujeres	3	Graves o muy graves	2
2004	50	Zaragoza	Mujeres	17	Graves o muy graves	2
2003	22	Huesca	Hombres	41	Graves o muy graves	2
2003	44	Teruel	Hombres	33	Graves o muy graves	2
2003	50	Zaragoza	Hombres	137	Graves o muy graves	2
2003	22	Huesca	Mujeres	3	Graves o muy graves	2
2003	44	Teruel	Mujeres	3	Graves o muy graves	2
2003	50	Zaragoza	Mujeres	11	Graves o muy graves	2
2018	22	Huesca	Hombres	8	Mortales	3
2018	44	Teruel	Hombres	3	Mortales	3
2018	50	Zaragoza	Hombres	15	Mortales	3
2017	22	Huesca	Hombres	5	Mortales	3
2017	44	Teruel	Hombres	8	Mortales	3
2017	50	Zaragoza	Hombres	13	Mortales	3
2016	22	Huesca	Hombres	8	Mortales	3
2016	44	Teruel	Hombres	3	Mortales	3
2016	50	Zaragoza	Hombres	11	Mortales	3
2016	22	Huesca	Mujeres	1	Mortales	3
2015	22	Huesca	Hombres	5	Mortales	3
2015	44	Teruel	Hombres	1	Mortales	3
2015	50	Zaragoza	Hombres	18	Mortales	3
2015	50	Zaragoza	Mujeres	4	Mortales	3
2014	22	Huesca	Hombres	1	Mortales	3
2014	44	Teruel	Hombres	2	Mortales	3
2014	50	Zaragoza	Hombres	10	Mortales	3
2014	50	Zaragoza	Mujeres	2	Mortales	3
2013	22	Huesca	Hombres	1	Mortales	3
2013	44	Teruel	Hombres	2	Mortales	3
2013	50	Zaragoza	Hombres	13	Mortales	3
2013	50	Zaragoza	Mujeres	1	Mortales	3
2012	22	Huesca	Hombres	5	Mortales	3
2012	44	Teruel	Hombres	5	Mortales	3
2012	50	Zaragoza	Hombres	8	Mortales	3
2012	50	Zaragoza	Mujeres	1	Mortales	3
2011	22	Huesca	Hombres	2	Mortales	3
2011	44	Teruel	Hombres	9	Mortales	3
2011	50	Zaragoza	Hombres	10	Mortales	3
2011	22	Huesca	Mujeres	2	Mortales	3
2010	22	Huesca	Hombres	6	Mortales	3
2010	44	Teruel	Hombres	2	Mortales	3
2010	50	Zaragoza	Hombres	16	Mortales	3
2010	50	Zaragoza	Mujeres	1	Mortales	3
2009	22	Huesca	Hombres	6	Mortales	3
2009	44	Teruel	Hombres	9	Mortales	3
2009	50	Zaragoza	Hombres	21	Mortales	3
2008	22	Huesca	Hombres	2	Mortales	3
2008	44	Teruel	Hombres	6	Mortales	3
2008	50	Zaragoza	Hombres	21	Mortales	3
2008	50	Zaragoza	Mujeres	1	Mortales	3
2007	22	Huesca	Hombres	6	Mortales	3
2007	44	Teruel	Hombres	10	Mortales	3
2007	50	Zaragoza	Hombres	22	Mortales	3
2007	44	Teruel	Mujeres	1	Mortales	3
2006	22	Huesca	Hombres	5	Mortales	3
2006	44	Teruel	Hombres	8	Mortales	3
2006	50	Zaragoza	Hombres	20	Mortales	3
2006	50	Zaragoza	Mujeres	1	Mortales	3
2005	22	Huesca	Hombres	5	Mortales	3
2005	44	Teruel	Hombres	7	Mortales	3
2005	50	Zaragoza	Hombres	22	Mortales	3
2005	50	Zaragoza	Mujeres	1	Mortales	3
2004	22	Huesca	Hombres	10	Mortales	3
2004	44	Teruel	Hombres	9	Mortales	3
2004	50	Zaragoza	Hombres	23	Mortales	3
2004	50	Zaragoza	Mujeres	2	Mortales	3
2003	22	Huesca	Hombres	5	Mortales	3
2003	44	Teruel	Hombres	11	Mortales	3
2003	50	Zaragoza	Hombres	15	Mortales	3
2003	22	Huesca	Mujeres	1	Mortales	3
