Mes y año	Mes (código)	Sexo	Número de contratos	Provincia código	Provincia nombre
Diciembre 2017	201712	Mujeres	15331	50	Zaragoza
Noviembre 2017	201711	Hombres	3460	22	Huesca
Noviembre 2017	201711	Hombres	2423	44	Teruel
Noviembre 2017	201711	Hombres	20040	50	Zaragoza
Noviembre 2017	201711	Mujeres	2776	22	Huesca
Noviembre 2017	201711	Mujeres	1736	44	Teruel
Noviembre 2017	201711	Mujeres	18081	50	Zaragoza
Octubre 2017	201710	Hombres	3995	22	Huesca
Octubre 2017	201710	Hombres	3149	44	Teruel
Octubre 2017	201710	Hombres	24240	50	Zaragoza
Octubre 2017	201710	Mujeres	3585	22	Huesca
Octubre 2017	201710	Mujeres	1992	44	Teruel
Octubre 2017	201710	Mujeres	21946	50	Zaragoza
Septiembre 2017	201709	Hombres	4363	22	Huesca
Septiembre 2017	201709	Hombres	3048	44	Teruel
Septiembre 2017	201709	Hombres	25654	50	Zaragoza
Septiembre 2017	201709	Mujeres	3631	22	Huesca
Septiembre 2017	201709	Mujeres	2275	44	Teruel
Septiembre 2017	201709	Mujeres	21858	50	Zaragoza
Agosto 2017	201708	Hombres	5262	22	Huesca
Agosto 2017	201708	Hombres	2292	44	Teruel
Agosto 2017	201708	Hombres	22832	50	Zaragoza
Agosto 2017	201708	Mujeres	3463	22	Huesca
Agosto 2017	201708	Mujeres	1632	44	Teruel
Agosto 2017	201708	Mujeres	16429	50	Zaragoza
Julio 2017	201707	Hombres	6957	22	Huesca
Julio 2017	201707	Hombres	2893	44	Teruel
Julio 2017	201707	Hombres	23713	50	Zaragoza
Julio 2017	201707	Mujeres	4813	22	Huesca
Julio 2017	201707	Mujeres	2237	44	Teruel
Julio 2017	201707	Mujeres	17958	50	Zaragoza
Junio 2017	201706	Hombres	7361	22	Huesca
Junio 2017	201706	Hombres	2959	44	Teruel
Junio 2017	201706	Hombres	27595	50	Zaragoza
Junio 2017	201706	Mujeres	5057	22	Huesca
Junio 2017	201706	Mujeres	2030	44	Teruel
Junio 2017	201706	Mujeres	21202	50	Zaragoza
Mayo 2017	201705	Hombres	8483	22	Huesca
Mayo 2017	201705	Hombres	3224	44	Teruel
Mayo 2017	201705	Hombres	27834	50	Zaragoza
Mayo 2017	201705	Mujeres	5060	22	Huesca
Mayo 2017	201705	Mujeres	2052	44	Teruel
Mayo 2017	201705	Mujeres	21470	50	Zaragoza
Abril 2017	201704	Hombres	4614	22	Huesca
Abril 2017	201704	Hombres	2962	44	Teruel
Abril 2017	201704	Hombres	18342	50	Zaragoza
Abril 2017	201704	Mujeres	3318	22	Huesca
Abril 2017	201704	Mujeres	2003	44	Teruel
Abril 2017	201704	Mujeres	15354	50	Zaragoza
Marzo 2017	201703	Hombres	3804	22	Huesca
Marzo 2017	201703	Hombres	2349	44	Teruel
Marzo 2017	201703	Hombres	18793	50	Zaragoza
Marzo 2017	201703	Mujeres	3019	22	Huesca
Marzo 2017	201703	Mujeres	1565	44	Teruel
Marzo 2017	201703	Mujeres	16257	50	Zaragoza
Febrero 2017	201702	Hombres	3202	22	Huesca
Febrero 2017	201702	Hombres	1801	44	Teruel
Febrero 2017	201702	Hombres	16088	50	Zaragoza
Febrero 2017	201702	Mujeres	2729	22	Huesca
Febrero 2017	201702	Mujeres	1295	44	Teruel
Febrero 2017	201702	Mujeres	13701	50	Zaragoza
Enero 2017	201701	Hombres	3342	22	Huesca
Enero 2017	201701	Hombres	1783	44	Teruel
Enero 2017	201701	Hombres	17829	50	Zaragoza
Enero 2017	201701	Mujeres	2795	22	Huesca
Enero 2017	201701	Mujeres	1283	44	Teruel
Enero 2017	201701	Mujeres	15033	50	Zaragoza
Diciembre 2016	201612	Hombres	3249	22	Huesca
Diciembre 2016	201612	Hombres	1938	44	Teruel
Diciembre 2016	201612	Hombres	15820	50	Zaragoza
Diciembre 2016	201612	Mujeres	3323	22	Huesca
Diciembre 2016	201612	Mujeres	1424	44	Teruel
Diciembre 2016	201612	Mujeres	14981	50	Zaragoza
Noviembre 2016	201611	Hombres	3215	22	Huesca
Noviembre 2016	201611	Hombres	1742	44	Teruel
Noviembre 2016	201611	Hombres	19461	50	Zaragoza
Noviembre 2016	201611	Mujeres	2778	22	Huesca
Noviembre 2016	201611	Mujeres	1423	44	Teruel
Noviembre 2016	201611	Mujeres	17779	50	Zaragoza
Octubre 2016	201610	Hombres	3629	22	Huesca
Octubre 2016	201610	Hombres	2350	44	Teruel
Octubre 2016	201610	Hombres	21580	50	Zaragoza
Octubre 2016	201610	Mujeres	3138	22	Huesca
Octubre 2016	201610	Mujeres	1823	44	Teruel
Octubre 2016	201610	Mujeres	18968	50	Zaragoza
Septiembre 2016	201609	Hombres	4587	22	Huesca
Septiembre 2016	201609	Hombres	2583	44	Teruel
Septiembre 2016	201609	Hombres	23798	50	Zaragoza
Septiembre 2016	201609	Mujeres	3494	22	Huesca
Septiembre 2016	201609	Mujeres	1882	44	Teruel
Septiembre 2016	201609	Mujeres	19033	50	Zaragoza
Agosto 2016	201608	Hombres	5427	22	Huesca
Agosto 2016	201608	Hombres	1986	44	Teruel
Agosto 2016	201608	Hombres	19945	50	Zaragoza
Agosto 2016	201608	Mujeres	3344	22	Huesca
Agosto 2016	201608	Mujeres	1577	44	Teruel
Agosto 2016	201608	Mujeres	14628	50	Zaragoza
Julio 2016	201607	Hombres	6382	22	Huesca
Julio 2016	201607	Hombres	2519	44	Teruel
Julio 2016	201607	Hombres	22148	50	Zaragoza
Julio 2016	201607	Mujeres	4650	22	Huesca
Julio 2016	201607	Mujeres	1994	44	Teruel
Julio 2016	201607	Mujeres	16912	50	Zaragoza
Junio 2016	201606	Hombres	6308	22	Huesca
Junio 2016	201606	Hombres	2219	44	Teruel
Junio 2016	201606	Hombres	26332	50	Zaragoza
Junio 2016	201606	Mujeres	4848	22	Huesca
Junio 2016	201606	Mujeres	1614	44	Teruel
Junio 2016	201606	Mujeres	18894	50	Zaragoza
Mayo 2016	201605	Hombres	6978	22	Huesca
Mayo 2016	201605	Hombres	2285	44	Teruel
Mayo 2016	201605	Hombres	23555	50	Zaragoza
Mayo 2016	201605	Mujeres	4172	22	Huesca
Mayo 2016	201605	Mujeres	1730	44	Teruel
Mayo 2016	201605	Mujeres	18123	50	Zaragoza
Abril 2016	201604	Hombres	3650	22	Huesca
Abril 2016	201604	Hombres	1928	44	Teruel
Abril 2016	201604	Hombres	17268	50	Zaragoza
Abril 2016	201604	Mujeres	2822	22	Huesca
Abril 2016	201604	Mujeres	1296	44	Teruel
Abril 2016	201604	Mujeres	13861	50	Zaragoza
Marzo 2016	201603	Hombres	3401	22	Huesca
Marzo 2016	201603	Hombres	1818	44	Teruel
Marzo 2016	201603	Hombres	15822	50	Zaragoza
Marzo 2016	201603	Mujeres	3050	22	Huesca
Marzo 2016	201603	Mujeres	1490	44	Teruel
Marzo 2016	201603	Mujeres	14186	50	Zaragoza
Febrero 2016	201602	Hombres	3103	22	Huesca
Febrero 2016	201602	Hombres	1819	44	Teruel
Febrero 2016	201602	Hombres	15122	50	Zaragoza
Febrero 2016	201602	Mujeres	2616	22	Huesca
Febrero 2016	201602	Mujeres	1200	44	Teruel
Febrero 2016	201602	Mujeres	12952	50	Zaragoza
Enero 2016	201601	Hombres	3058	22	Huesca
Enero 2016	201601	Hombres	1649	44	Teruel
Enero 2016	201601	Hombres	14785	50	Zaragoza
Enero 2016	201601	Mujeres	2522	22	Huesca
Enero 2016	201601	Mujeres	1077	44	Teruel
Enero 2016	201601	Mujeres	12608	50	Zaragoza
Diciembre 2015	201512	Hombres	3198	22	Huesca
Diciembre 2015	201512	Hombres	1476	44	Teruel
Diciembre 2015	201512	Hombres	14411	50	Zaragoza
Diciembre 2015	201512	Mujeres	3151	22	Huesca
Diciembre 2015	201512	Mujeres	1421	44	Teruel
Diciembre 2015	201512	Mujeres	13706	50	Zaragoza
Noviembre 2015	201511	Hombres	2959	22	Huesca
Noviembre 2015	201511	Hombres	1659	44	Teruel
Noviembre 2015	201511	Hombres	16266	50	Zaragoza
Noviembre 2015	201511	Mujeres	2348	22	Huesca
Noviembre 2015	201511	Mujeres	1126	44	Teruel
Noviembre 2015	201511	Mujeres	13962	50	Zaragoza
Octubre 2015	201510	Hombres	3511	22	Huesca
Octubre 2015	201510	Hombres	2167	44	Teruel
Octubre 2015	201510	Hombres	19440	50	Zaragoza
Octubre 2015	201510	Mujeres	2963	22	Huesca
Octubre 2015	201510	Mujeres	1716	44	Teruel
Octubre 2015	201510	Mujeres	16961	50	Zaragoza
Septiembre 2015	201509	Hombres	3821	22	Huesca
Septiembre 2015	201509	Hombres	2215	44	Teruel
Septiembre 2015	201509	Hombres	21686	50	Zaragoza
Septiembre 2015	201509	Mujeres	3121	22	Huesca
Septiembre 2015	201509	Mujeres	1769	44	Teruel
Septiembre 2015	201509	Mujeres	17055	50	Zaragoza
Agosto 2015	201508	Hombres	4448	22	Huesca
Agosto 2015	201508	Hombres	1902	44	Teruel
Agosto 2015	201508	Hombres	17385	50	Zaragoza
Agosto 2015	201508	Mujeres	2655	22	Huesca
Agosto 2015	201508	Mujeres	1437	44	Teruel
Agosto 2015	201508	Mujeres	12133	50	Zaragoza
Julio 2015	201507	Hombres	6665	22	Huesca
Julio 2015	201507	Hombres	2424	44	Teruel
Julio 2015	201507	Hombres	21302	50	Zaragoza
Julio 2015	201507	Mujeres	4843	22	Huesca
Julio 2015	201507	Mujeres	1915	44	Teruel
Julio 2015	201507	Mujeres	16253	50	Zaragoza
Junio 2015	201506	Hombres	5724	22	Huesca
Junio 2015	201506	Hombres	2307	44	Teruel
Junio 2015	201506	Hombres	22189	50	Zaragoza
Junio 2015	201506	Mujeres	4358	22	Huesca
Junio 2015	201506	Mujeres	1578	44	Teruel
Junio 2015	201506	Mujeres	16465	50	Zaragoza
Mayo 2015	201505	Hombres	6922	22	Huesca
Mayo 2015	201505	Hombres	2141	44	Teruel
Mayo 2015	201505	Hombres	20050	50	Zaragoza
Mayo 2015	201505	Mujeres	4027	22	Huesca
Mayo 2015	201505	Mujeres	1511	44	Teruel
Mayo 2015	201505	Mujeres	15102	50	Zaragoza
Abril 2015	201504	Hombres	3614	22	Huesca
Abril 2015	201504	Hombres	1869	44	Teruel
Abril 2015	201504	Hombres	15230	50	Zaragoza
Abril 2015	201504	Mujeres	2686	22	Huesca
Abril 2015	201504	Mujeres	1375	44	Teruel
Abril 2015	201504	Mujeres	12079	50	Zaragoza
Marzo 2015	201503	Hombres	3300	22	Huesca
Marzo 2015	201503	Hombres	1883	44	Teruel
Marzo 2015	201503	Hombres	14905	50	Zaragoza
Marzo 2015	201503	Mujeres	2742	22	Huesca
Marzo 2015	201503	Mujeres	1180	44	Teruel
Marzo 2015	201503	Mujeres	12634	50	Zaragoza
Febrero 2015	201502	Hombres	2507	22	Huesca
Febrero 2015	201502	Hombres	1436	44	Teruel
Febrero 2015	201502	Hombres	13501	50	Zaragoza
Febrero 2015	201502	Mujeres	2090	22	Huesca
Febrero 2015	201502	Mujeres	1001	44	Teruel
Febrero 2015	201502	Mujeres	10970	50	Zaragoza
Enero 2015	201501	Hombres	2941	22	Huesca
Enero 2015	201501	Hombres	1644	44	Teruel
Enero 2015	201501	Hombres	14518	50	Zaragoza
Enero 2015	201501	Mujeres	2573	22	Huesca
Enero 2015	201501	Mujeres	1064	44	Teruel
Enero 2015	201501	Mujeres	12395	50	Zaragoza
Diciembre 2014	201412	Hombres	2799	22	Huesca
Diciembre 2014	201412	Hombres	1532	44	Teruel
Diciembre 2014	201412	Hombres	12514	50	Zaragoza
Diciembre 2014	201412	Mujeres	2701	22	Huesca
Diciembre 2014	201412	Mujeres	1213	44	Teruel
Diciembre 2014	201412	Mujeres	11852	50	Zaragoza
Noviembre 2014	201411	Hombres	2440	22	Huesca
Noviembre 2014	201411	Hombres	1500	44	Teruel
Noviembre 2014	201411	Hombres	14142	50	Zaragoza
Noviembre 2014	201411	Mujeres	2048	22	Huesca
Noviembre 2014	201411	Mujeres	898	44	Teruel
Noviembre 2014	201411	Mujeres	12623	50	Zaragoza
Octubre 2014	201410	Hombres	3074	22	Huesca
Octubre 2014	201410	Hombres	1992	44	Teruel
Octubre 2014	201410	Hombres	18284	50	Zaragoza
Octubre 2014	201410	Mujeres	2883	22	Huesca
Octubre 2014	201410	Mujeres	1329	44	Teruel
Octubre 2014	201410	Mujeres	16001	50	Zaragoza
Septiembre 2014	201409	Hombres	3391	22	Huesca
Septiembre 2014	201409	Hombres	2462	44	Teruel
Septiembre 2014	201409	Hombres	20265	50	Zaragoza
Septiembre 2014	201409	Mujeres	2904	22	Huesca
Septiembre 2014	201409	Mujeres	1644	44	Teruel
Septiembre 2014	201409	Mujeres	15899	50	Zaragoza
Agosto 2014	201408	Hombres	3885	22	Huesca
Agosto 2014	201408	Hombres	1912	44	Teruel
Agosto 2014	201408	Hombres	15725	50	Zaragoza
Agosto 2014	201408	Mujeres	2624	22	Huesca
Agosto 2014	201408	Mujeres	1242	44	Teruel
Agosto 2014	201408	Mujeres	11473	50	Zaragoza
Julio 2014	201407	Hombres	6366	22	Huesca
Julio 2014	201407	Hombres	2390	44	Teruel
Julio 2014	201407	Hombres	19517	50	Zaragoza
Julio 2014	201407	Mujeres	4606	22	Huesca
Julio 2014	201407	Mujeres	1773	44	Teruel
Julio 2014	201407	Mujeres	15269	50	Zaragoza
Junio 2014	201406	Hombres	5012	22	Huesca
Junio 2014	201406	Hombres	2164	44	Teruel
Junio 2014	201406	Hombres	20496	50	Zaragoza
Junio 2014	201406	Mujeres	4098	22	Huesca
Junio 2014	201406	Mujeres	1399	44	Teruel
Junio 2014	201406	Mujeres	15121	50	Zaragoza
Mayo 2014	201405	Hombres	5896	22	Huesca
Mayo 2014	201405	Hombres	2325	44	Teruel
Mayo 2014	201405	Hombres	19984	50	Zaragoza
Mayo 2014	201405	Mujeres	3623	22	Huesca
Mayo 2014	201405	Mujeres	1352	44	Teruel
Mayo 2014	201405	Mujeres	15068	50	Zaragoza
Abril 2014	201404	Hombres	3260	22	Huesca
Abril 2014	201404	Hombres	2056	44	Teruel
Abril 2014	201404	Hombres	13793	50	Zaragoza
Abril 2014	201404	Mujeres	2618	22	Huesca
Abril 2014	201404	Mujeres	1330	44	Teruel
Abril 2014	201404	Mujeres	11477	50	Zaragoza
Marzo 2014	201403	Hombres	2803	22	Huesca
Marzo 2014	201403	Hombres	1612	44	Teruel
Marzo 2014	201403	Hombres	12394	50	Zaragoza
Marzo 2014	201403	Mujeres	2057	22	Huesca
Marzo 2014	201403	Mujeres	939	44	Teruel
Marzo 2014	201403	Mujeres	10253	50	Zaragoza
Febrero 2014	201402	Hombres	2075	22	Huesca
Febrero 2014	201402	Hombres	1388	44	Teruel
Febrero 2014	201402	Hombres	11899	50	Zaragoza
Febrero 2014	201402	Mujeres	1767	22	Huesca
Febrero 2014	201402	Mujeres	878	44	Teruel
Febrero 2014	201402	Mujeres	9976	50	Zaragoza
Enero 2014	201401	Hombres	2576	22	Huesca
Enero 2014	201401	Hombres	1568	44	Teruel
Enero 2014	201401	Hombres	12794	50	Zaragoza
Enero 2014	201401	Mujeres	2106	22	Huesca
Enero 2014	201401	Mujeres	1020	44	Teruel
Enero 2014	201401	Mujeres	10455	50	Zaragoza
Diciembre 2013	201312	Hombres	2561	22	Huesca
Diciembre 2013	201312	Hombres	1650	44	Teruel
Diciembre 2013	201312	Hombres	11341	50	Zaragoza
Diciembre 2013	201312	Mujeres	2667	22	Huesca
Diciembre 2013	201312	Mujeres	1028	44	Teruel
Diciembre 2013	201312	Mujeres	10630	50	Zaragoza
Noviembre 2013	201311	Hombres	2460	22	Huesca
Noviembre 2013	201311	Hombres	1492	44	Teruel
Noviembre 2013	201311	Hombres	12591	50	Zaragoza
Noviembre 2013	201311	Mujeres	1926	22	Huesca
Noviembre 2013	201311	Mujeres	921	44	Teruel
Noviembre 2013	201311	Mujeres	10895	50	Zaragoza
Octubre 2013	201310	Hombres	2819	22	Huesca
Octubre 2013	201310	Hombres	2015	44	Teruel
Octubre 2013	201310	Hombres	17800	50	Zaragoza
Octubre 2013	201310	Mujeres	2432	22	Huesca
Octubre 2013	201310	Mujeres	1495	44	Teruel
Octubre 2013	201310	Mujeres	14849	50	Zaragoza
Septiembre 2013	201309	Hombres	3059	22	Huesca
Septiembre 2013	201309	Hombres	2147	44	Teruel
Septiembre 2013	201309	Hombres	17618	50	Zaragoza
Septiembre 2013	201309	Mujeres	2452	22	Huesca
Septiembre 2013	201309	Mujeres	1481	44	Teruel
Septiembre 2013	201309	Mujeres	13731	50	Zaragoza
Agosto 2013	201308	Hombres	3947	22	Huesca
Agosto 2013	201308	Hombres	1524	44	Teruel
Agosto 2013	201308	Hombres	13209	50	Zaragoza
Agosto 2013	201308	Mujeres	2375	22	Huesca
Agosto 2013	201308	Mujeres	1216	44	Teruel
Agosto 2013	201308	Mujeres	9941	50	Zaragoza
Julio 2013	201307	Hombres	5377	22	Huesca
Julio 2013	201307	Hombres	2412	44	Teruel
Julio 2013	201307	Hombres	18039	50	Zaragoza
Julio 2013	201307	Mujeres	4211	22	Huesca
Julio 2013	201307	Mujeres	1746	44	Teruel
Julio 2013	201307	Mujeres	13510	50	Zaragoza
Junio 2013	201306	Hombres	3985	22	Huesca
Junio 2013	201306	Hombres	1922	44	Teruel
Junio 2013	201306	Hombres	16176	50	Zaragoza
Junio 2013	201306	Mujeres	3273	22	Huesca
Junio 2013	201306	Mujeres	1358	44	Teruel
Junio 2013	201306	Mujeres	12113	50	Zaragoza
Mayo 2013	201305	Hombres	5239	22	Huesca
Mayo 2013	201305	Hombres	1846	44	Teruel
Mayo 2013	201305	Hombres	15650	50	Zaragoza
Mayo 2013	201305	Mujeres	2890	22	Huesca
Mayo 2013	201305	Mujeres	1205	44	Teruel
Mayo 2013	201305	Mujeres	12254	50	Zaragoza
Abril 2013	201304	Hombres	2659	22	Huesca
Abril 2013	201304	Hombres	1542	44	Teruel
Abril 2013	201304	Hombres	11378	50	Zaragoza
Abril 2013	201304	Mujeres	2075	22	Huesca
Abril 2013	201304	Mujeres	996	44	Teruel
Abril 2013	201304	Mujeres	9599	50	Zaragoza
Marzo 2013	201303	Hombres	2226	22	Huesca
Marzo 2013	201303	Hombres	1358	44	Teruel
Marzo 2013	201303	Hombres	9120	50	Zaragoza
Marzo 2013	201303	Mujeres	1793	22	Huesca
Marzo 2013	201303	Mujeres	953	44	Teruel
Marzo 2013	201303	Mujeres	8460	50	Zaragoza
Febrero 2013	201302	Hombres	1944	22	Huesca
Febrero 2013	201302	Hombres	1072	44	Teruel
Febrero 2013	201302	Hombres	8589	50	Zaragoza
Febrero 2013	201302	Mujeres	1576	22	Huesca
Febrero 2013	201302	Mujeres	700	44	Teruel
Febrero 2013	201302	Mujeres	7918	50	Zaragoza
Enero 2013	201301	Hombres	2201	22	Huesca
Enero 2013	201301	Hombres	1345	44	Teruel
Enero 2013	201301	Hombres	10532	50	Zaragoza
Enero 2013	201301	Mujeres	1965	22	Huesca
Enero 2013	201301	Mujeres	799	44	Teruel
Enero 2013	201301	Mujeres	9729	50	Zaragoza
Diciembre 2012	201212	Hombres	2060	22	Huesca
Diciembre 2012	201212	Hombres	1053	44	Teruel
Diciembre 2012	201212	Hombres	9066	50	Zaragoza
Diciembre 2012	201212	Mujeres	2114	22	Huesca
Diciembre 2012	201212	Mujeres	912	44	Teruel
Diciembre 2012	201212	Mujeres	8964	50	Zaragoza
Noviembre 2012	201211	Hombres	2172	22	Huesca
Noviembre 2012	201211	Hombres	1171	44	Teruel
Noviembre 2012	201211	Hombres	11451	50	Zaragoza
Noviembre 2012	201211	Mujeres	1823	22	Huesca
Noviembre 2012	201211	Mujeres	1030	44	Teruel
Noviembre 2012	201211	Mujeres	10778	50	Zaragoza
Octubre 2012	201210	Hombres	2295	22	Huesca
Octubre 2012	201210	Hombres	1903	44	Teruel
Octubre 2012	201210	Hombres	15164	50	Zaragoza
Octubre 2012	201210	Mujeres	2305	22	Huesca
Octubre 2012	201210	Mujeres	1389	44	Teruel
Octubre 2012	201210	Mujeres	14878	50	Zaragoza
Septiembre 2012	201209	Hombres	2596	22	Huesca
Septiembre 2012	201209	Hombres	1817	44	Teruel
Septiembre 2012	201209	Hombres	15994	50	Zaragoza
Septiembre 2012	201209	Mujeres	2241	22	Huesca
Septiembre 2012	201209	Mujeres	1154	44	Teruel
Septiembre 2012	201209	Mujeres	14240	50	Zaragoza
Agosto 2012	201208	Hombres	3750	22	Huesca
Agosto 2012	201208	Hombres	1266	44	Teruel
Agosto 2012	201208	Hombres	14069	50	Zaragoza
Agosto 2012	201208	Mujeres	2550	22	Huesca
Agosto 2012	201208	Mujeres	1159	44	Teruel
Agosto 2012	201208	Mujeres	10679	50	Zaragoza
Julio 2012	201207	Hombres	4651	22	Huesca
Julio 2012	201207	Hombres	2169	44	Teruel
Julio 2012	201207	Hombres	15696	50	Zaragoza
Julio 2012	201207	Mujeres	4214	22	Huesca
Julio 2012	201207	Mujeres	1810	44	Teruel
Julio 2012	201207	Mujeres	15842	50	Zaragoza
Junio 2012	201206	Hombres	3638	22	Huesca
Junio 2012	201206	Hombres	1902	44	Teruel
Junio 2012	201206	Hombres	16432	50	Zaragoza
Junio 2012	201206	Mujeres	3518	22	Huesca
Junio 2012	201206	Mujeres	1387	44	Teruel
Junio 2012	201206	Mujeres	15555	50	Zaragoza
Mayo 2012	201205	Hombres	5046	22	Huesca
Mayo 2012	201205	Hombres	1860	44	Teruel
Mayo 2012	201205	Hombres	16470	50	Zaragoza
Mayo 2012	201205	Mujeres	2919	22	Huesca
Mayo 2012	201205	Mujeres	1319	44	Teruel
Mayo 2012	201205	Mujeres	13365	50	Zaragoza
Abril 2012	201204	Hombres	2260	22	Huesca
Abril 2012	201204	Hombres	1526	44	Teruel
Abril 2012	201204	Hombres	10330	50	Zaragoza
Abril 2012	201204	Mujeres	1929	22	Huesca
Abril 2012	201204	Mujeres	1012	44	Teruel
Abril 2012	201204	Mujeres	9545	50	Zaragoza
Marzo 2012	201203	Hombres	2365	22	Huesca
Marzo 2012	201203	Hombres	1418	44	Teruel
Marzo 2012	201203	Hombres	10700	50	Zaragoza
Marzo 2012	201203	Mujeres	2117	22	Huesca
Marzo 2012	201203	Mujeres	958	44	Teruel
Marzo 2012	201203	Mujeres	10275	50	Zaragoza
Febrero 2012	201202	Hombres	2020	22	Huesca
Febrero 2012	201202	Hombres	1474	44	Teruel
Febrero 2012	201202	Hombres	10268	50	Zaragoza
Febrero 2012	201202	Mujeres	1991	22	Huesca
Febrero 2012	201202	Mujeres	925	44	Teruel
Febrero 2012	201202	Mujeres	9734	50	Zaragoza
Enero 2012	201201	Hombres	2223	22	Huesca
Enero 2012	201201	Hombres	1435	44	Teruel
Enero 2012	201201	Hombres	10593	50	Zaragoza
Enero 2012	201201	Mujeres	1873	22	Huesca
