Año	Nº Accidentes	Tamaño Centro	Grupo Grado Código	Grupo Grado Código	CCAA
2017	1754	De 10 a 19 trabajadores	Leves	1	Aragón
2016	1621	De 10 a 19 trabajadores	Leves	1	Aragón
2015	1502	De 10 a 19 trabajadores	Leves	1	Aragón
2014	1336	De 10 a 19 trabajadores	Leves	1	Aragón
2013	1336	De 10 a 19 trabajadores	Leves	1	Aragón
2012	1456	De 10 a 19 trabajadores	Leves	1	Aragón
2011	1758	De 10 a 19 trabajadores	Leves	1	Aragón
2010	2036	De 10 a 19 trabajadores	Leves	1	Aragón
2009	2228	De 10 a 19 trabajadores	Leves	1	Aragón
2008	3180	De 10 a 19 trabajadores	Leves	1	Aragón
2007	3603	De 10 a 19 trabajadores	Leves	1	Aragón
2006	3318	De 10 a 19 trabajadores	Leves	1	Aragón
2005	3196	De 10 a 19 trabajadores	Leves	1	Aragón
2004	2997	De 10 a 19 trabajadores	Leves	1	Aragón
2003	2945	De 10 a 19 trabajadores	Leves	1	Aragón
2018	21	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2017	15	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2016	12	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2015	15	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2014	6	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2013	8	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2012	20	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2011	10	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2010	15	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2009	24	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2008	17	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2007	43	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2006	31	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2005	23	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2004	33	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2003	34	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2018	2	De 10 a 19 trabajadores	Mortales	3	Aragón
2017	4	De 10 a 19 trabajadores	Mortales	3	Aragón
2016	2	De 10 a 19 trabajadores	Mortales	3	Aragón
2015	1	De 10 a 19 trabajadores	Mortales	3	Aragón
2014	4	De 10 a 19 trabajadores	Mortales	3	Aragón
2013	1	De 10 a 19 trabajadores	Mortales	3	Aragón
2012	1	De 10 a 19 trabajadores	Mortales	3	Aragón
2011	3	De 10 a 19 trabajadores	Mortales	3	Aragón
2010	3	De 10 a 19 trabajadores	Mortales	3	Aragón
2009	4	De 10 a 19 trabajadores	Mortales	3	Aragón
2008	4	De 10 a 19 trabajadores	Mortales	3	Aragón
2007	7	De 10 a 19 trabajadores	Mortales	3	Aragón
2006	3	De 10 a 19 trabajadores	Mortales	3	Aragón
2005	5	De 10 a 19 trabajadores	Mortales	3	Aragón
2004	8	De 10 a 19 trabajadores	Mortales	3	Aragón
2003	6	De 10 a 19 trabajadores	Mortales	3	Aragón
2018	2982	De 20 a 49 trabajadores	Leves	1	Aragón
2017	2673	De 20 a 49 trabajadores	Leves	1	Aragón
2016	2618	De 20 a 49 trabajadores	Leves	1	Aragón
2015	2337	De 20 a 49 trabajadores	Leves	1	Aragón
2014	2178	De 20 a 49 trabajadores	Leves	1	Aragón
2013	1930	De 20 a 49 trabajadores	Leves	1	Aragón
2012	2183	De 20 a 49 trabajadores	Leves	1	Aragón
2011	2578	De 20 a 49 trabajadores	Leves	1	Aragón
2010	2942	De 20 a 49 trabajadores	Leves	1	Aragón
2009	3138	De 20 a 49 trabajadores	Leves	1	Aragón
2008	4702	De 20 a 49 trabajadores	Leves	1	Aragón
2007	5334	De 20 a 49 trabajadores	Leves	1	Aragón
2006	4906	De 20 a 49 trabajadores	Leves	1	Aragón
2005	4632	De 20 a 49 trabajadores	Leves	1	Aragón
2004	4353	De 20 a 49 trabajadores	Leves	1	Aragón
2003	4348	De 20 a 49 trabajadores	Leves	1	Aragón
2018	21	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2017	18	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2016	11	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2015	14	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2014	10	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2013	10	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2012	10	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2011	14	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2010	23	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2009	18	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2008	28	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2007	34	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2006	36	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2005	40	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2004	48	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2003	41	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2018	6	De 20 a 49 trabajadores	Mortales	3	Aragón
2017	9	De 20 a 49 trabajadores	Mortales	3	Aragón
2016	3	De 20 a 49 trabajadores	Mortales	3	Aragón
2015	10	De 20 a 49 trabajadores	Mortales	3	Aragón
2014	3	De 20 a 49 trabajadores	Mortales	3	Aragón
2013	1	De 20 a 49 trabajadores	Mortales	3	Aragón
2012	3	De 20 a 49 trabajadores	Mortales	3	Aragón
2011	3	De 20 a 49 trabajadores	Mortales	3	Aragón
2010	7	De 20 a 49 trabajadores	Mortales	3	Aragón
2009	7	De 20 a 49 trabajadores	Mortales	3	Aragón
2008	6	De 20 a 49 trabajadores	Mortales	3	Aragón
2007	6	De 20 a 49 trabajadores	Mortales	3	Aragón
2006	6	De 20 a 49 trabajadores	Mortales	3	Aragón
2005	11	De 20 a 49 trabajadores	Mortales	3	Aragón
2004	6	De 20 a 49 trabajadores	Mortales	3	Aragón
2003	9	De 20 a 49 trabajadores	Mortales	3	Aragón
2018	1866	De 50 a 99 trabajadores	Leves	1	Aragón
2017	1783	De 50 a 99 trabajadores	Leves	1	Aragón
2016	1675	De 50 a 99 trabajadores	Leves	1	Aragón
2015	1436	De 50 a 99 trabajadores	Leves	1	Aragón
2014	1330	De 50 a 99 trabajadores	Leves	1	Aragón
2013	1392	De 50 a 99 trabajadores	Leves	1	Aragón
2012	1335	De 50 a 99 trabajadores	Leves	1	Aragón
2011	1693	De 50 a 99 trabajadores	Leves	1	Aragón
2010	1777	De 50 a 99 trabajadores	Leves	1	Aragón
2009	1939	De 50 a 99 trabajadores	Leves	1	Aragón
2008	2973	De 50 a 99 trabajadores	Leves	1	Aragón
2007	3267	De 50 a 99 trabajadores	Leves	1	Aragón
2006	2851	De 50 a 99 trabajadores	Leves	1	Aragón
2005	2696	De 50 a 99 trabajadores	Leves	1	Aragón
2004	2646	De 50 a 99 trabajadores	Leves	1	Aragón
2003	2714	De 50 a 99 trabajadores	Leves	1	Aragón
2018	13	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2017	8	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2016	10	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2015	6	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2014	8	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2013	3	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2012	6	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2011	10	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2010	9	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2009	21	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2008	18	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2007	22	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2006	11	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2005	25	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2004	28	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2003	28	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2018	2	De 50 a 99 trabajadores	Mortales	3	Aragón
2016	3	De 50 a 99 trabajadores	Mortales	3	Aragón
2015	3	De 50 a 99 trabajadores	Mortales	3	Aragón
2014	1	De 50 a 99 trabajadores	Mortales	3	Aragón
2013	2	De 50 a 99 trabajadores	Mortales	3	Aragón
2012	5	De 50 a 99 trabajadores	Mortales	3	Aragón
2011	5	De 50 a 99 trabajadores	Mortales	3	Aragón
2010	2	De 50 a 99 trabajadores	Mortales	3	Aragón
2009	2	De 50 a 99 trabajadores	Mortales	3	Aragón
2008	3	De 50 a 99 trabajadores	Mortales	3	Aragón
2007	2	De 50 a 99 trabajadores	Mortales	3	Aragón
2006	4	De 50 a 99 trabajadores	Mortales	3	Aragón
2005	4	De 50 a 99 trabajadores	Mortales	3	Aragón
2004	3	De 50 a 99 trabajadores	Mortales	3	Aragón
2003	1	De 50 a 99 trabajadores	Mortales	3	Aragón
2018	1440	De 100 a 199 trabajadores	Leves	1	Aragón
2017	1333	De 100 a 199 trabajadores	Leves	1	Aragón
2016	1279	De 100 a 199 trabajadores	Leves	1	Aragón
2015	1184	De 100 a 199 trabajadores	Leves	1	Aragón
2014	1038	De 100 a 199 trabajadores	Leves	1	Aragón
2013	960	De 100 a 199 trabajadores	Leves	1	Aragón
2012	919	De 100 a 199 trabajadores	Leves	1	Aragón
2011	1219	De 100 a 199 trabajadores	Leves	1	Aragón
2010	1478	De 100 a 199 trabajadores	Leves	1	Aragón
2009	1511	De 100 a 199 trabajadores	Leves	1	Aragón
2008	2234	De 100 a 199 trabajadores	Leves	1	Aragón
2007	2173	De 100 a 199 trabajadores	Leves	1	Aragón
2006	2189	De 100 a 199 trabajadores	Leves	1	Aragón
2005	1813	De 100 a 199 trabajadores	Leves	1	Aragón
2004	1922	De 100 a 199 trabajadores	Leves	1	Aragón
2003	1926	De 100 a 199 trabajadores	Leves	1	Aragón
2018	8	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2017	2	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2016	2	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2015	3	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2014	2	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2013	3	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2012	4	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2011	6	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2010	5	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2009	13	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2008	13	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2007	12	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2006	12	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2005	16	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2004	18	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2003	11	De 100 a 199 trabajadores	Graves o muy graves	2	Aragón
2018	3	De 100 a 199 trabajadores	Mortales	3	Aragón
2017	4	De 100 a 199 trabajadores	Mortales	3	Aragón
2016	2	De 100 a 199 trabajadores	Mortales	3	Aragón
2015	1	De 100 a 199 trabajadores	Mortales	3	Aragón
2014	1	De 100 a 199 trabajadores	Mortales	3	Aragón
2013	1	De 100 a 199 trabajadores	Mortales	3	Aragón
2012	1	De 100 a 199 trabajadores	Mortales	3	Aragón
2010	1	De 100 a 199 trabajadores	Mortales	3	Aragón
2009	5	De 100 a 199 trabajadores	Mortales	3	Aragón
2008	5	De 100 a 199 trabajadores	Mortales	3	Aragón
2007	3	De 100 a 199 trabajadores	Mortales	3	Aragón
2006	8	De 100 a 199 trabajadores	Mortales	3	Aragón
2005	2	De 100 a 199 trabajadores	Mortales	3	Aragón
2004	9	De 100 a 199 trabajadores	Mortales	3	Aragón
2003	3	De 100 a 199 trabajadores	Mortales	3	Aragón
2018	2070	De 200 a 499 trabajadores	Leves	1	Aragón
2017	1704	De 200 a 499 trabajadores	Leves	1	Aragón
2016	1496	De 200 a 499 trabajadores	Leves	1	Aragón
2015	1303	De 200 a 499 trabajadores	Leves	1	Aragón
2014	1110	De 200 a 499 trabajadores	Leves	1	Aragón
2013	1085	De 200 a 499 trabajadores	Leves	1	Aragón
2012	1032	De 200 a 499 trabajadores	Leves	1	Aragón
2011	1345	De 200 a 499 trabajadores	Leves	1	Aragón
2010	1598	De 200 a 499 trabajadores	Leves	1	Aragón
2009	1564	De 200 a 499 trabajadores	Leves	1	Aragón
2008	2443	De 200 a 499 trabajadores	Leves	1	Aragón
2007	2837	De 200 a 499 trabajadores	Leves	1	Aragón
2006	2534	De 200 a 499 trabajadores	Leves	1	Aragón
2005	2169	De 200 a 499 trabajadores	Leves	1	Aragón
2004	2218	De 200 a 499 trabajadores	Leves	1	Aragón
2003	2222	De 200 a 499 trabajadores	Leves	1	Aragón
2018	7	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2017	6	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2016	5	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2015	6	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2014	9	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2013	8	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2012	3	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2011	3	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2010	10	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2009	5	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2008	13	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2007	9	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2006	11	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2005	10	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2004	23	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2003	13	De 200 a 499 trabajadores	Graves o muy graves	2	Aragón
2018	6	De 200 a 499 trabajadores	Mortales	3	Aragón
2017	2	De 200 a 499 trabajadores	Mortales	3	Aragón
2016	3	De 200 a 499 trabajadores	Mortales	3	Aragón
2015	3	De 200 a 499 trabajadores	Mortales	3	Aragón
2014	1	De 200 a 499 trabajadores	Mortales	3	Aragón
2013	2	De 200 a 499 trabajadores	Mortales	3	Aragón
2012	1	De 200 a 499 trabajadores	Mortales	3	Aragón
2011	2	De 200 a 499 trabajadores	Mortales	3	Aragón
2010	2	De 200 a 499 trabajadores	Mortales	3	Aragón
2009	3	De 200 a 499 trabajadores	Mortales	3	Aragón
2008	1	De 200 a 499 trabajadores	Mortales	3	Aragón
2007	4	De 200 a 499 trabajadores	Mortales	3	Aragón
2006	5	De 200 a 499 trabajadores	Mortales	3	Aragón
2005	3	De 200 a 499 trabajadores	Mortales	3	Aragón
2004	1	De 200 a 499 trabajadores	Mortales	3	Aragón
2018	804	De 500 a 999 trabajadores	Leves	1	Aragón
2017	789	De 500 a 999 trabajadores	Leves	1	Aragón
2016	691	De 500 a 999 trabajadores	Leves	1	Aragón
2015	571	De 500 a 999 trabajadores	Leves	1	Aragón
2014	561	De 500 a 999 trabajadores	Leves	1	Aragón
2013	534	De 500 a 999 trabajadores	Leves	1	Aragón
2012	580	De 500 a 999 trabajadores	Leves	1	Aragón
2011	751	De 500 a 999 trabajadores	Leves	1	Aragón
2010	755	De 500 a 999 trabajadores	Leves	1	Aragón
2009	665	De 500 a 999 trabajadores	Leves	1	Aragón
2008	1096	De 500 a 999 trabajadores	Leves	1	Aragón
2007	1239	De 500 a 999 trabajadores	Leves	1	Aragón
2006	1150	De 500 a 999 trabajadores	Leves	1	Aragón
2005	1227	De 500 a 999 trabajadores	Leves	1	Aragón
2004	946	De 500 a 999 trabajadores	Leves	1	Aragón
2003	818	De 500 a 999 trabajadores	Leves	1	Aragón
2018	5	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2017	3	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2016	2	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2015	3	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2014	2	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2013	2	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2012	5	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2011	4	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2010	5	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2009	2	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2008	2	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2007	5	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2006	5	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2005	8	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2004	4	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2003	10	De 500 a 999 trabajadores	Graves o muy graves	2	Aragón
2017	3	De 500 a 999 trabajadores	Mortales	3	Aragón
2016	1	De 500 a 999 trabajadores	Mortales	3	Aragón
2015	1	De 500 a 999 trabajadores	Mortales	3	Aragón
2010	2	De 500 a 999 trabajadores	Mortales	3	Aragón
2009	1	De 500 a 999 trabajadores	Mortales	3	Aragón
2008	2	De 500 a 999 trabajadores	Mortales	3	Aragón
2006	1	De 500 a 999 trabajadores	Mortales	3	Aragón
2005	1	De 500 a 999 trabajadores	Mortales	3	Aragón
2003	1	De 500 a 999 trabajadores	Mortales	3	Aragón
2018	1042	De 1000 a 4999 trabajadores	Leves	1	Aragón
2017	1032	De 1000 a 4999 trabajadores	Leves	1	Aragón
2016	1029	De 1000 a 4999 trabajadores	Leves	1	Aragón
2015	1005	De 1000 a 4999 trabajadores	Leves	1	Aragón
2014	821	De 1000 a 4999 trabajadores	Leves	1	Aragón
2013	782	De 1000 a 4999 trabajadores	Leves	1	Aragón
2012	662	De 1000 a 4999 trabajadores	Leves	1	Aragón
2011	806	De 1000 a 4999 trabajadores	Leves	1	Aragón
2010	874	De 1000 a 4999 trabajadores	Leves	1	Aragón
2009	921	De 1000 a 4999 trabajadores	Leves	1	Aragón
2008	1130	De 1000 a 4999 trabajadores	Leves	1	Aragón
2007	1058	De 1000 a 4999 trabajadores	Leves	1	Aragón
2006	1035	De 1000 a 4999 trabajadores	Leves	1	Aragón
2005	1000	De 1000 a 4999 trabajadores	Leves	1	Aragón
2004	996	De 1000 a 4999 trabajadores	Leves	1	Aragón
2003	1069	De 1000 a 4999 trabajadores	Leves	1	Aragón
2018	3	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2017	2	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2015	1	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2014	2	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2013	4	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2012	3	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2011	1	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2010	2	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2009	3	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2008	4	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2007	2	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2006	5	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2005	7	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2004	14	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2003	12	De 1000 a 4999 trabajadores	Graves o muy graves	2	Aragón
2016	1	De 1000 a 4999 trabajadores	Mortales	3	Aragón
2014	1	De 1000 a 4999 trabajadores	Mortales	3	Aragón
2009	1	De 1000 a 4999 trabajadores	Mortales	3	Aragón
2006	1	De 1000 a 4999 trabajadores	Mortales	3	Aragón
2005	1	De 1000 a 4999 trabajadores	Mortales	3	Aragón
2003	1	De 1000 a 4999 trabajadores	Mortales	3	Aragón
2018	31	De 5000 o más trabajadores	Leves	1	Aragón
2017	54	De 5000 o más trabajadores	Leves	1	Aragón
2016	57	De 5000 o más trabajadores	Leves	1	Aragón
2015	57	De 5000 o más trabajadores	Leves	1	Aragón
2014	34	De 5000 o más trabajadores	Leves	1	Aragón
2013	32	De 5000 o más trabajadores	Leves	1	Aragón
2012	15	De 5000 o más trabajadores	Leves	1	Aragón
2011	45	De 5000 o más trabajadores	Leves	1	Aragón
2010	79	De 5000 o más trabajadores	Leves	1	Aragón
2009	34	De 5000 o más trabajadores	Leves	1	Aragón
2008	38	De 5000 o más trabajadores	Leves	1	Aragón
2007	88	De 5000 o más trabajadores	Leves	1	Aragón
2006	54	De 5000 o más trabajadores	Leves	1	Aragón
2005	33	De 5000 o más trabajadores	Leves	1	Aragón
2004	50	De 5000 o más trabajadores	Leves	1	Aragón
2003	86	De 5000 o más trabajadores	Leves	1	Aragón
2017	2	De 5000 o más trabajadores	Graves o muy graves	2	Aragón
2016	1	De 5000 o más trabajadores	Graves o muy graves	2	Aragón
2015	1	De 5000 o más trabajadores	Graves o muy graves	2	Aragón
2014	2	De 5000 o más trabajadores	Graves o muy graves	2	Aragón
2013	1	De 5000 o más trabajadores	Graves o muy graves	2	Aragón
2010	2	De 5000 o más trabajadores	Graves o muy graves	2	Aragón
2008	1	De 5000 o más trabajadores	Graves o muy graves	2	Aragón
2007	3	De 5000 o más trabajadores	Graves o muy graves	2	Aragón
2006	1	De 5000 o más trabajadores	Graves o muy graves	2	Aragón
2003	1	De 5000 o más trabajadores	Graves o muy graves	2	Aragón
2012	1	De 5000 o más trabajadores	Mortales	3	Aragón
2010	1	De 5000 o más trabajadores	Mortales	3	Aragón
2005	1	De 5000 o más trabajadores	Mortales	3	Aragón
