Año	Código del municipio	Nombre del municipio	Número total de explotaciones	Explotaciones con tierras	Explotaciones con tierras sin SAU	Explotaciones con tierras con SAU >=25% y <50% de su propiedad	Explotaciones con tierras con SAU >=50% y <75% de su propiedad	Explotaciones con tierras con SAU >=75% y <100% de su propiedad	Explotaciones con tierras con SAU totalmente de su propiedad	Explotaciones con tierras con SAU	Explotaciones con tierras con SAU  <25% de su propiedad
1989	22055	Berbegal	91	91	0	12	16	14	43	91	6
1989	22057	Bielsa	95	95	10	6	5	4	64	85	6
1989	22058	Bierge	179	177	75	1	3	8	87	102	3
1989	22059	Biescas	200	200	25	20	12	23	105	175	15
1989	22060	Binaced	236	235	4	20	35	31	131	231	14
1989	22061	Binéfar	179	176	3	16	16	9	113	173	19
1989	22062	Bisaurri	71	71	4	2	10	12	40	67	3
1989	22063	Biscarrués	70	70	1	3	11	7	46	69	2
1989	22064	Blecua y Torres	59	59	3	4	6	6	34	56	6
1989	22066	Boltaña	88	88	33	1	6	3	43	55	2
1989	22067	Bonansa	20	20	3	2	6	3	5	17	1
1989	22068	Borau	30	30	10	1	2	1	16	20	0
1989	22069	Broto	149	149	3	8	10	14	111	146	3
1989	22072	Caldearenas	63	63	11	2	6	10	32	52	2
1989	22074	Campo	40	36	2	3	0	3	27	34	1
1989	22075	Camporrells	126	123	17	2	6	3	91	106	4
1989	22076	Canal de Berdún	118	117	4	15	32	21	28	113	17
1989	22077	Candasnos	93	90	1	21	25	6	20	89	17
1989	22078	Canfranc	5	5	0	1	0	0	3	5	1
1989	22079	Capdesaso	46	46	3	9	8	6	10	43	10
1989	22080	Capella	155	154	32	8	12	7	92	122	3
1989	22081	Casbas de Huesca	149	149	23	10	13	6	91	126	6
1989	22082	Castejón del Puente	81	81	3	5	3	4	50	78	16
1989	22083	Castejón de Monegros	171	166	4	32	19	34	32	162	45
1989	22084	Castejón de Sos	68	68	4	3	5	4	49	64	3
1989	22085	Castelflorite	54	54	1	6	8	7	20	53	12
1989	22086	Castiello de Jaca	23	23	0	2	3	3	13	23	2
1989	22087	Castigaleu	24	24	3	0	1	1	15	21	4
1989	22088	Castillazuelo	90	90	11	1	3	5	70	79	0
1989	22089	Castillonroy	99	99	2	6	12	18	58	97	3
1989	22090	Colungo	67	67	6	1	1	2	57	61	0
1989	22094	Chalamera	39	39	1	2	6	9	18	38	3
1989	22095	Chía	27	27	1	5	5	2	12	26	2
1989	22096	Chimillas	20	20	1	0	5	6	7	19	1
1989	22099	Esplús	167	166	7	7	9	6	128	159	9
1989	22102	Estada	66	66	7	2	2	5	49	59	1
1989	22103	Estadilla	174	169	5	10	20	21	106	164	7
1989	22105	Estopiñán del Castillo	105	105	10	3	5	7	74	95	6
1989	22106	Fago	8	8	0	0	0	0	8	8	0
1989	22107	Fanlo	26	26	6	4	0	0	11	20	5
1989	22109	Fiscal	89	89	24	4	10	6	39	65	6
1989	22110	Fonz	224	224	5	18	28	19	143	219	11
1989	22111	Foradada del Toscar	67	66	8	4	4	6	40	58	4
1989	22112	Fraga	1166	1163	40	38	61	53	930	1123	41
1989	22113	Fueva (La)	257	252	54	7	14	11	163	198	3
1989	22114	Gistaín	67	65	2	4	7	17	34	63	1
1989	22115	Grado (El)	226	226	69	1	5	13	137	157	1
1989	22116	Grañén	264	261	3	23	29	24	146	258	36
1989	22117	Graus	486	485	121	16	25	52	256	364	15
1989	22119	Gurrea de Gállego	300	297	10	51	43	24	97	287	72
1989	22122	Hoz de Jaca	19	18	0	0	3	6	9	18	0
1989	22124	Huerto	92	91	4	9	14	15	38	87	11
1989	22125	Huesca	229	227	5	23	15	23	126	222	35
1989	22126	Ibieca	33	33	0	0	2	4	24	33	3
1989	22127	Igriés	32	30	4	5	3	5	10	26	3
1989	22128	Ilche	84	84	1	5	15	11	43	83	9
1989	22129	Isábena	66	66	3	2	3	7	47	63	4
1989	22130	Jaca	327	325	17	11	31	34	216	308	16
1989	22131	Jasa	14	14	3	0	4	0	7	11	0
1989	22133	Labuerda	48	48	12	1	3	2	30	36	0
1989	22135	Laluenga	79	79	0	8	22	10	29	79	10
1989	22136	Lalueza	312	311	3	22	10	9	114	308	153
1989	22137	Lanaja	295	291	4	20	20	16	105	287	126
1989	22139	Laperdiguera	25	25	0	3	3	9	9	25	1
1989	22141	Lascellas-Ponzano	51	51	0	5	5	9	27	51	5
1989	22142	Lascuarre	44	44	5	4	2	5	28	39	0
1989	22143	Laspaúles	74	74	1	9	12	11	40	73	1
1989	22144	Laspuña	64	64	0	3	7	9	43	64	2
1989	22149	Loarre	133	128	7	7	18	9	84	121	3
1989	22150	Loporzano	186	184	18	6	15	24	107	166	14
1989	22151	Loscorrales	48	48	0	3	13	6	18	48	8
1989	22155	Monesma y Cajigar	32	32	2	3	3	6	13	30	5
1989	22156	Monflorite-Lascasas	45	45	3	6	3	5	25	42	3
1989	22157	Montanuy	102	102	6	8	15	18	44	96	11
1989	22158	Monzón	829	828	26	31	41	42	631	802	57
1989	22160	Naval	94	94	37	0	2	4	51	57	0
1989	22162	Novales	38	38	1	0	3	6	26	37	2
1989	22163	Nueno	86	86	22	2	2	9	48	64	3
1989	22164	Olvena	30	30	6	3	2	3	15	24	1
1989	22165	Ontiñena	135	131	0	12	14	10	82	131	13
1989	22167	Osso de Cinca	145	145	6	11	15	20	90	139	3
1989	22168	Palo	35	35	11	0	3	1	18	24	2
1989	22170	Panticosa	65	63	6	5	10	1	39	57	2
1989	22172	Peñalba	116	115	2	13	20	35	31	113	14
1989	22173	Peñas de Riglos (Las)	99	99	26	6	11	3	48	73	5
1989	22174	Peralta de Alcofea	117	117	0	19	21	24	34	117	19
1989	22175	Peralta de Calasanz	227	227	25	7	16	10	164	202	5
1989	22176	Peraltilla	46	46	3	1	5	3	33	43	1
1989	22177	Perarrúa	64	64	23	3	4	5	29	41	0
1989	22178	Pertusa	27	27	1	4	2	4	10	26	6
1989	22181	Piracés	23	23	2	2	3	3	6	21	7
1989	22182	Plan	77	77	7	11	14	4	40	70	1
1989	22184	Poleñino	56	56	2	7	8	6	25	54	8
1989	22186	Pozán de Vero	93	92	2	2	0	6	78	90	4
1989	22187	Puebla de Castro (La)	96	96	33	1	6	5	49	63	2
1989	22188	Puente de Montañana	26	26	6	1	3	2	9	20	5
1989	22189	Puértolas	67	67	12	8	4	0	39	55	4
1989	22190	Pueyo de Araguás (El)	57	57	12	1	5	1	37	45	1
1989	22193	Pueyo de Santa Cruz	77	77	3	5	6	11	44	74	8
1989	22195	Quicena	12	12	0	2	0	2	8	12	0
1989	22197	Robres	117	116	1	11	19	18	51	115	16
1989	22199	Sabiñánigo	298	298	67	7	15	6	190	231	13
1989	22200	Sahún	59	59	14	8	9	6	20	45	2
1989	22201	Salas Altas	128	128	5	3	5	7	108	123	0
1989	22202	Salas Bajas	76	76	8	0	1	1	66	68	0
1989	22203	Salillas	34	34	2	8	9	3	10	32	2
1989	22204	Sallent de Gállego	88	86	4	12	14	10	42	82	4
1989	22205	San Esteban de Litera	269	266	20	24	22	20	151	246	29
1989	22206	Sangarrén	77	77	3	6	13	9	39	74	7
1989	22207	San Juan de Plan	35	35	3	0	9	14	8	32	1
1989	22208	Santa Cilia	47	47	7	2	6	2	25	40	5
1989	22209	Santa Cruz de la Serós	35	35	4	1	0	1	29	31	0
1989	22212	Santaliestra y San Quílez	30	30	9	2	0	1	17	21	1
1989	22213	Sariñena	488	482	14	47	31	29	157	468	204
1989	22214	Secastilla	63	63	17	1	4	5	35	46	1
1989	22215	Seira	39	39	21	3	4	3	6	18	2
1989	22217	Sena	146	145	2	15	17	14	60	143	37
1989	22218	Senés de Alcubierre	22	22	1	2	3	4	11	21	1
1989	22220	Sesa	59	59	5	10	11	12	17	54	4
1989	22221	Sesué	19	19	2	4	4	3	4	17	2
1989	22222	Siétamo	91	91	5	6	9	10	52	86	9
1989	22223	Sopeira	33	33	3	5	1	2	19	30	3
1989	22225	Tamarite de Litera	577	576	12	32	56	42	402	564	32
1989	22226	Tardienta	216	212	2	8	19	53	64	210	66
1989	22227	Tella-Sin	56	56	6	3	2	4	38	50	3
1989	22228	Tierz	20	18	0	0	2	0	15	18	1
1989	22229	Tolva	77	77	7	5	4	7	48	70	6
1989	22230	Torla-Ordesa	55	55	1	7	21	7	19	54	0
1989	22232	Torralba de Aragón	46	46	2	2	5	7	21	44	9
1989	22233	Torre la Ribera	29	29	2	1	2	1	19	27	4
1989	22234	Torrente de Cinca	112	112	4	1	4	9	86	108	8
1989	22235	Torres de Alcanadre	29	29	1	3	2	4	19	28	0
1989	22236	Torres de Barbués	53	53	0	7	7	4	25	53	10
1989	22239	Tramaced	37	37	1	5	3	4	21	36	3
1989	22242	Valfarta	33	33	2	8	3	2	16	31	2
1989	22243	Valle de Bardají	20	20	5	1	6	1	7	15	0
1989	22244	Valle de Lierp	18	18	4	1	3	4	5	14	1
1989	22245	Velilla de Cinca	74	74	1	4	9	25	30	73	5
1989	22246	Beranuy	35	35	3	4	2	2	21	32	3
1989	22247	Viacamp y Litera	30	30	11	2	2	0	13	19	2
1989	22248	Vicién	10	10	0	1	1	1	6	10	1
1989	22249	Villanova	9	8	1	2	1	1	2	7	1
1989	22250	Villanúa	26	26	1	3	2	2	15	25	3
1989	22251	Villanueva de Sigena	108	107	4	5	8	12	63	103	15
1989	22252	Yebra de Basa	32	32	7	2	5	2	15	25	1
1989	22253	Yésero	22	22	3	0	2	3	14	19	0
1989	22254	Zaidín	356	356	6	10	16	28	272	350	24
1989	22901	Valle de Hecho	191	191	27	6	9	16	124	164	9
1989	22902	Puente la Reina de Jaca	72	71	3	3	3	12	48	68	2
1989	22903	San Miguel del Cinca	275	275	9	24	22	17	121	266	82
1989	22904	Sotonera (La)	410	410	24	10	16	28	319	386	13
1989	22905	Lupiñén-Ortilla	109	109	5	5	7	13	75	104	4
1989	22906	Santa María de Dulcis	82	81	2	1	1	2	72	79	3
1989	22907	Aínsa-Sobrarbe	183	183	17	8	26	19	103	166	10
1989	22908	Hoz y Costeán	168	167	58	1	5	2	98	109	3
1989	22909	Vencillón	83	83	1	0	1	0	81	82	0
1989	44001	Ababuj	32	32	2	10	4	2	9	30	5
1989	44002	Abejuela	22	22	5	1	1	2	11	17	2
1989	44003	Aguatón	12	12	0	3	3	1	4	12	1
1989	44004	Aguaviva	153	151	10	9	15	11	97	141	9
1989	44005	Aguilar del Alfambra	34	33	0	3	2	1	20	33	7
1989	44006	Alacón	117	113	4	7	3	10	66	109	23
1989	44007	Alba	72	72	2	13	11	22	12	70	12
1989	44008	Albalate del Arzobispo	366	356	5	34	45	42	160	351	70
1989	44009	Albarracín	101	99	18	4	3	2	47	81	25
1989	44010	Albentosa	165	165	4	2	3	8	142	161	6
1989	44011	Alcaine	32	30	15	1	0	0	11	15	3
1989	44012	Alcalá de la Selva	208	207	11	0	2	2	166	196	26
1989	44013	Alcañiz	892	880	11	63	49	46	615	869	96
1989	44014	Alcorisa	494	486	10	19	29	27	372	476	29
1989	44016	Alfambra	164	162	4	22	17	11	33	158	75
1989	44017	Aliaga	167	166	24	4	4	9	102	142	23
1989	44018	Almohaja	7	7	1	2	1	2	1	6	0
1989	44019	Alobras	38	37	4	2	1	0	25	33	5
1989	44020	Alpeñés	23	23	2	3	0	4	5	21	9
1989	44021	Allepuz	100	100	5	7	5	2	69	95	12
1989	44022	Alloza	172	170	3	10	8	20	110	167	19
1989	44023	Allueva	6	6	2	0	0	0	3	4	1
1989	44024	Anadón	8	8	2	1	0	0	1	6	4
1989	44025	Andorra	314	304	3	27	23	38	194	301	19
1989	44026	Arcos de las Salinas	52	50	4	4	1	4	31	46	6
1989	44027	Arens de Lledó	91	90	12	1	3	3	69	78	2
1989	44028	Argente	72	71	1	18	9	21	9	70	13
1989	44029	Ariño	189	189	34	2	1	3	135	155	14
1989	44031	Azaila	51	50	0	15	11	2	11	50	11
1989	44032	Bádenas	13	12	3	1	1	0	3	9	4
1989	44033	Báguena	211	211	2	10	6	27	161	209	5
1989	44034	Bañón	46	45	5	15	7	4	9	40	5
1989	44035	Barrachina	49	49	2	9	3	6	18	47	11
1989	44036	Bea	17	16	2	2	0	1	4	14	7
1989	44037	Beceite	222	221	64	1	0	0	153	157	3
1989	44038	Belmonte de San José	114	114	31	1	3	3	69	83	7
1989	44039	Bello	96	96	1	22	25	31	8	95	9
1989	44040	Berge	85	85	1	3	6	10	60	84	5
1989	44041	Bezas	16	16	7	0	0	0	7	9	2
1989	44042	Blancas	51	51	1	14	7	8	5	50	16
1989	44043	Blesa	55	54	6	6	1	3	20	48	18
1989	44044	Bordón	47	47	2	8	1	3	25	45	8
1989	44045	Bronchales	75	75	27	5	10	1	15	48	17
1989	44046	Bueña	44	44	0	7	11	7	14	44	5
1989	44047	Burbáguena	250	249	12	3	2	15	213	237	4
1989	44048	Cabra de Mora	58	57	25	2	0	2	17	32	11
1989	44049	Calaceite	360	356	8	5	12	13	311	348	7
1989	44050	Calamocha	864	859	32	49	82	92	526	827	78
1989	44051	Calanda	402	396	2	40	60	65	184	394	45
1989	44052	Calomarde	25	25	4	3	6	4	3	21	5
1989	44053	Camañas	46	46	1	10	8	4	5	45	18
1989	44054	Camarena de la Sierra	210	210	161	0	0	1	44	49	4
1989	44055	Camarillas	70	69	1	4	5	10	41	68	8
1989	44056	Caminreal	150	149	2	15	25	15	73	147	19
1989	44059	Cantavieja	104	104	6	7	11	4	57	98	19
1989	44060	Cañada de Benatanduz	30	30	3	3	3	1	14	27	6
1989	44061	Cañada de Verich (La)	66	66	23	1	1	1	36	43	4
1989	44062	Cañada Vellida	26	26	1	5	6	4	7	25	3
1989	44063	Cañizar del Olivar	61	61	14	1	1	4	39	47	2
1989	44064	Cascante del Río	215	214	156	2	1	2	49	58	4
1989	44065	Castejón de Tornos	32	32	4	6	4	1	13	28	4
1989	44066	Castel de Cabra	50	50	5	1	2	2	39	45	1
1989	44067	Castelnou	31	31	1	11	3	3	7	30	6
1989	44068	Castelserás	149	149	1	12	8	14	100	148	14
1989	44070	Castellar (El)	42	42	2	3	6	0	24	40	7
1989	44071	Castellote	415	415	46	10	11	19	298	369	31
1989	44074	Cedrillas	152	148	2	15	12	33	62	146	24
1989	44075	Celadas	123	123	1	23	29	26	29	122	15
1989	44076	Cella	512	508	4	56	89	218	79	504	62
1989	44077	Cerollera (La)	56	56	17	3	0	1	35	39	0
1989	44080	Codoñera (La)	71	71	1	6	9	5	41	70	9
1989	44082	Corbalán	34	34	3	4	3	3	14	31	7
1989	44084	Cortes de Aragón	22	22	2	5	0	2	7	20	6
1989	44085	Cosa	33	33	3	11	10	1	5	30	3
1989	44086	Cretas	266	266	15	9	11	20	206	251	5
1989	44087	Crivillén	103	103	24	0	0	1	71	79	7
1989	44088	Cuba (La)	25	25	5	1	1	1	16	20	1
1989	44089	Cubla	129	128	88	5	1	1	30	40	3
1989	44090	Cucalón	15	15	1	4	0	0	2	14	8
1989	44092	Cuervo (El)	56	56	12	2	2	7	30	44	3
1989	44093	Cuevas de Almudén	31	31	1	8	8	5	9	30	0
1989	44094	Cuevas Labradas	50	50	2	8	12	4	7	48	17
1989	44096	Ejulve	318	318	158	6	6	3	142	160	3
1989	44097	Escorihuela	74	73	2	11	16	8	17	71	19
1989	44099	Escucha	89	84	12	5	3	3	58	72	3
1989	44100	Estercuel	130	130	4	1	1	1	120	126	3
1989	44101	Ferreruela de Huerva	30	29	2	8	2	4	6	27	7
1989	44102	Fonfría	14	13	2	7	0	0	0	11	4
1989	44103	Formiche Alto	54	54	6	4	5	3	30	48	6
1989	44105	Fórnoles	221	221	91	3	8	4	113	130	2
1989	44106	Fortanete	102	100	10	4	3	4	68	90	11
1989	44107	Foz-Calanda	65	65	3	2	13	6	30	62	11
1989	44108	Fresneda (La)	310	310	95	7	10	16	179	215	3
1989	44109	Frías de Albarracín	37	37	8	2	4	3	9	29	11
1989	44110	Fuenferrada	30	30	2	6	3	1	15	28	3
1989	44111	Fuentes Calientes	44	44	1	6	13	6	8	43	10
1989	44112	Fuentes Claras	158	158	2	28	21	27	69	156	11
1989	44113	Fuentes de Rubielos	93	92	11	1	2	0	76	81	2
1989	44114	Fuentespalda	154	152	45	4	6	5	90	107	2
1989	44115	Galve	42	42	3	9	6	11	7	39	6
1989	44116	Gargallo	99	99	7	3	2	1	85	92	1
1989	44117	Gea de Albarracín	128	128	33	9	10	7	54	95	15
1989	44118	Ginebrosa (La)	164	163	36	7	14	6	81	127	19
1989	44119	Griegos	35	35	6	1	2	1	16	29	9
1989	44120	Guadalaviar	53	51	8	4	8	1	17	43	13
1989	44121	Gúdar	71	69	15	2	3	11	29	54	9
1989	44122	Híjar	373	357	13	24	17	29	191	344	83
1989	44123	Hinojosa de Jarque	52	52	0	8	10	20	12	52	2
1989	44124	Hoz de la Vieja (La)	90	89	44	3	4	2	18	45	18
1989	44125	Huesa del Común	54	54	12	5	4	2	25	42	6
1989	44126	Iglesuela del Cid (La)	131	131	16	14	11	10	60	115	20
1989	44127	Jabaloyas	35	33	4	8	8	4	5	29	4
1989	44128	Jarque de la Val	27	27	2	7	4	5	7	25	2
1989	44129	Jatiel	10	10	0	2	1	1	3	10	3
1989	44130	Jorcas	22	22	1	3	1	3	5	21	9
1989	44131	Josa	60	60	26	1	0	0	33	34	0
1989	44132	Lagueruela	27	26	1	6	1	6	4	25	8
1989	44133	Lanzuela	19	19	2	2	1	1	10	17	3
1989	44135	Libros	134	133	35	2	1	6	80	98	9
1989	44136	Lidón	25	24	0	3	4	3	5	24	9
1989	44137	Linares de Mora	125	125	36	2	4	2	53	89	28
1989	44138	Loscos	58	57	2	9	2	2	23	55	19
1989	44141	Lledó	61	61	1	1	2	6	49	60	2
1989	44142	Maicas	34	34	29	0	1	0	4	5	0
1989	44143	Manzanera	209	208	28	12	7	7	135	180	19
1989	44144	Martín del Río	115	115	12	7	5	5	73	103	13
1989	44145	Mas de las Matas	144	143	8	12	13	14	84	135	12
1989	44146	Mata de los Olmos (La)	58	57	6	2	5	2	37	51	5
1989	44147	Mazaleón	222	221	12	10	24	36	126	209	13
1989	44148	Mezquita de Jarque	30	29	1	16	3	2	5	28	2
1989	44149	Mirambel	42	41	4	0	4	4	24	37	5
1989	44150	Miravete de la Sierra	45	45	3	1	2	3	33	42	3
1989	44151	Molinos	109	108	3	3	8	11	76	105	7
1989	44152	Monforte de Moyuela	39	39	3	8	3	0	15	36	10
1989	44153	Monreal del Campo	281	280	12	43	35	28	135	268	27
1989	44154	Monroyo	133	133	21	8	10	13	76	112	5
1989	44155	Montalbán	146	144	26	2	6	4	100	118	6
1989	44156	Monteagudo del Castillo	38	38	2	3	2	11	8	36	12
1989	44157	Monterde de Albarracín	19	19	0	4	3	0	7	19	5
1989	44158	Mora de Rubielos	322	319	105	14	7	5	162	214	26
1989	44159	Moscardón	17	15	1	1	2	2	5	14	4
1989	44160	Mosqueruela	230	229	29	9	19	15	88	200	69
1989	44161	Muniesa	152	148	3	21	10	10	78	145	26
1989	44163	Noguera de Albarracín	48	47	21	1	0	1	19	26	5
1989	44164	Nogueras	16	16	5	4	1	0	5	11	1
1989	44165	Nogueruelas	124	123	6	3	3	6	88	117	17
1989	44167	Obón	89	89	57	0	0	0	29	32	3
1989	44168	Odón	82	81	2	16	15	13	23	79	12
1989	44169	Ojos Negros	92	90	7	22	14	3	14	83	30
1989	44171	Olba	310	310	89	1	0	2	213	221	5
1989	44172	Oliete	265	264	53	10	6	9	168	211	18
1989	44173	Olmos (Los)	77	77	6	5	6	4	49	71	7
1989	44174	Orihuela del Tremedal	44	41	5	8	3	1	12	36	12
1989	44175	Orrios	65	65	0	19	11	5	7	65	23
1989	44176	Palomar de Arroyos	55	55	7	4	2	3	35	48	4
1989	44177	Pancrudo	84	84	2	7	19	12	16	82	28
1989	44178	Parras de Castellote (Las)	41	41	6	2	1	6	22	35	4
1989	44179	Peñarroya de Tastavins	189	186	44	5	4	10	104	142	19
1989	44180	Peracense	19	19	1	4	3	2	7	18	2
1989	44181	Peralejos	30	30	0	4	4	2	8	30	12
1989	44182	Perales del Alfambra	106	106	29	7	12	6	13	77	39
1989	44183	Pitarque	101	101	24	1	1	3	64	77	8
1989	44184	Plou	20	20	0	1	0	0	16	20	3
1989	44185	Pobo (El)	60	57	0	12	11	10	15	57	9
1989	44187	Portellada (La)	70	70	4	1	3	9	50	66	3
1989	44189	Pozondón	36	36	4	4	4	1	7	32	16
1989	44190	Pozuel del Campo	26	26	4	8	1	2	3	22	8
1989	44191	Puebla de Híjar (La)	136	132	2	21	18	16	51	130	24
1989	44192	Puebla de Valverde (La)	294	291	6	7	5	5	240	285	28
1989	44193	Puertomingalvo	101	101	15	8	7	8	41	86	22
1989	44194	Ráfales	72	72	2	2	2	4	60	70	2
1989	44195	Rillo	33	33	2	7	5	8	2	31	9
1989	44196	Riodeva	282	282	2	1	1	24	254	280	0
1989	44197	Ródenas	41	41	1	7	5	6	13	40	9
1989	44198	Royuela	46	43	5	10	6	2	7	38	13
1989	44199	Rubiales	51	50	39	1	0	0	7	11	3
1989	44200	Rubielos de la Cérida	21	21	2	2	3	1	10	19	3
1989	44201	Rubielos de Mora	287	287	87	3	2	1	173	200	21
1989	44203	Salcedillo	6	5	3	0	0	0	0	2	2
1989	44204	Saldón	23	23	2	1	1	1	13	21	5
1989	44205	Samper de Calanda	214	204	4	18	16	17	122	200	27
1989	44206	San Agustín	190	190	5	5	7	10	158	185	5
1989	44207	San Martín del Río	184	183	0	4	4	12	156	183	7
1989	44208	Santa Cruz de Nogueras	13	13	1	2	2	1	5	12	2
1989	44209	Santa Eulalia	131	130	5	24	12	22	27	125	40
1989	44210	Sarrión	277	275	2	20	13	7	212	273	21
1989	44211	Segura de los Baños	24	24	6	2	3	1	5	18	7
1989	44212	Seno	50	50	3	2	4	2	38	47	1
1989	44213	Singra	31	31	3	6	6	1	7	28	8
1989	44215	Terriente	59	59	5	2	5	2	34	54	11
1989	44216	Teruel	505	499	30	56	39	24	265	469	85
1989	44217	Toril y Masegoso	12	12	0	2	2	0	5	12	3
1989	44218	Tormón	16	16	3	0	0	0	13	13	0
1989	44219	Tornos	77	77	1	15	20	20	11	76	10
1989	44220	Torralba de los Sisones	63	63	2	14	16	18	7	61	6
1989	44221	Torrecilla de Alcañiz	91	91	0	12	10	9	49	91	11
1989	44222	Torrecilla del Rebollar	43	43	7	7	5	2	9	36	13
1989	44223	Torre de Arcas	36	36	9	4	4	1	16	27	2
1989	44224	Torre de las Arcas	25	25	2	1	1	0	18	23	3
1989	44225	Torre del Compte	118	118	40	5	3	8	55	78	7
1989	44226	Torrelacárcel	73	73	1	17	9	7	29	72	10
1989	44227	Torre los Negros	41	41	1	4	3	1	22	40	10
1989	44228	Torremocha de Jiloca	47	47	1	3	13	12	9	46	9
1989	44229	Torres de Albarracín	39	39	5	5	2	2	15	34	10
1989	44230	Torrevelilla	93	93	1	5	9	6	63	92	9
1989	44231	Torrijas	34	34	2	3	0	1	19	32	9
1989	44232	Torrijo del Campo	141	141	1	28	18	15	53	140	26
1989	44234	Tramacastiel	175	175	8	0	0	0	165	167	2
1989	44235	Tramacastilla	25	25	7	3	4	1	3	18	7
1989	44236	Tronchón	49	49	3	6	1	2	28	46	9
1989	44237	Urrea de Gaén	142	139	4	13	8	17	69	135	28
1989	44238	Utrillas	72	72	8	1	2	1	54	64	6
1989	44239	Valacloche	68	68	45	1	1	1	20	23	0
1989	44240	Valbona	101	101	35	1	3	6	43	66	13
1989	44241	Valdealgorfa	208	208	4	7	7	20	163	204	7
1989	44243	Valdecuenca	6	6	0	0	0	1	3	6	2
1989	44244	Valdelinares	57	57	7	5	4	2	22	50	17
1989	44245	Valdeltormo	33	33	2	1	3	2	24	31	1
1989	44246	Valderrobres	389	385	54	14	14	20	253	331	30
1989	44247	Valjunquera	124	124	6	11	12	12	75	118	8
1989	44249	Vallecillo (El)	10	10	5	0	0	0	3	5	2
1989	44250	Veguillas de la Sierra	12	12	0	3	2	0	4	12	3
1989	44251	Villafranca del Campo	97	97	4	14	10	7	43	93	19
1989	44252	Villahermosa del Campo	26	25	2	2	10	2	6	23	3
1989	44256	Villanueva del Rebollar de la Sierra	13	13	1	5	2	1	2	12	2
1989	44257	Villar del Cobo	60	59	13	3	2	1	21	46	19
1989	44258	Villar del Salz	46	46	11	1	0	7	21	35	6
1989	44260	Villarluengo	93	93	9	5	4	4	55	84	16
1989	44261	Villarquemado	226	222	1	34	33	51	35	221	68
1989	44262	Villarroya de los Pinares	72	72	0	1	2	1	54	72	14
