Mes y año	Mes (código)	Sexo	UE28-UE27-UE25	UE28	UE27	UE25	Número de contratos	CCAA nombre
Junio 2015	201506	Hombres	Españoles	Españoles	Españoles	ESPAÑA	20310	Aragón
Junio 2015	201506	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	3999	Aragón
Junio 2015	201506	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	314	Aragón
Junio 2015	201506	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	RESTO DEL MUNDO	1	Aragón
Junio 2015	201506	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	5595	Aragón
Junio 2015	201506	Hombres	No consta	No consta	No consta	No consta	1	Aragón
Junio 2015	201506	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	16937	Aragón
Junio 2015	201506	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	3373	Aragón
Junio 2015	201506	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	365	Aragón
Junio 2015	201506	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	RESTO DEL MUNDO	1	Aragón
Junio 2015	201506	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1724	Aragón
Junio 2015	201506	Mujeres	No consta	No consta	No consta	No consta	1	Aragón
Mayo 2015	201505	Hombres	Españoles	Españoles	Españoles	ESPAÑA	17131	Aragón
Mayo 2015	201505	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	4488	Aragón
Mayo 2015	201505	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	355	Aragón
Mayo 2015	201505	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	7138	Aragón
Mayo 2015	201505	Hombres	No consta	No consta	No consta	No consta	1	Aragón
Mayo 2015	201505	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	14480	Aragón
Mayo 2015	201505	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	4097	Aragón
Mayo 2015	201505	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	389	Aragón
Mayo 2015	201505	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1673	Aragón
Mayo 2015	201505	Mujeres	No consta	No consta	No consta	No consta	1	Aragón
Abril 2015	201504	Hombres	Españoles	Españoles	Españoles	ESPAÑA	15157	Aragón
Abril 2015	201504	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2133	Aragón
Abril 2015	201504	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	307	Aragón
Abril 2015	201504	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	3116	Aragón
Abril 2015	201504	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	13138	Aragón
Abril 2015	201504	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1548	Aragón
Abril 2015	201504	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	245	Aragón
Abril 2015	201504	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1207	Aragón
Abril 2015	201504	Mujeres	No consta	No consta	No consta	No consta	2	Aragón
Marzo 2015	201503	Hombres	Españoles	Españoles	Españoles	ESPAÑA	15629	Aragón
Marzo 2015	201503	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1703	Aragón
Marzo 2015	201503	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	226	Aragón
Marzo 2015	201503	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	2530	Aragón
Marzo 2015	201503	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	13725	Aragón
Marzo 2015	201503	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1328	Aragón
Marzo 2015	201503	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	190	Aragón
Marzo 2015	201503	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1313	Aragón
Febrero 2015	201502	Hombres	Españoles	Españoles	Españoles	ESPAÑA	13962	Aragón
Febrero 2015	201502	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1314	Aragón
Febrero 2015	201502	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	199	Aragón
Febrero 2015	201502	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1969	Aragón
Febrero 2015	201502	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	11962	Aragón
Febrero 2015	201502	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	931	Aragón
Febrero 2015	201502	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	130	Aragón
Febrero 2015	201502	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1038	Aragón
Enero 2015	201501	Hombres	Españoles	Españoles	Españoles	ESPAÑA	15305	Aragón
Enero 2015	201501	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1394	Aragón
Enero 2015	201501	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	220	Aragón
Enero 2015	201501	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	2184	Aragón
Enero 2015	201501	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	13688	Aragón
Enero 2015	201501	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1045	Aragón
Enero 2015	201501	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	209	Aragón
Enero 2015	201501	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1090	Aragón
Diciembre 2014	201412	Hombres	Españoles	Españoles	Españoles	ESPAÑA	13386	Aragón
Diciembre 2014	201412	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1216	Aragón
Diciembre 2014	201412	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	200	Aragón
Diciembre 2014	201412	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	2042	Aragón
Diciembre 2014	201412	Hombres	No consta	No consta	No consta	No consta	1	Aragón
Diciembre 2014	201412	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	13358	Aragón
Diciembre 2014	201412	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1084	Aragón
Diciembre 2014	201412	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	161	Aragón
Diciembre 2014	201412	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	RESTO DEL MUNDO	1	Aragón
Diciembre 2014	201412	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1161	Aragón
Diciembre 2014	201412	Mujeres	No consta	No consta	No consta	No consta	1	Aragón
Noviembre 2014	201411	Hombres	Españoles	Españoles	Españoles	ESPAÑA	14218	Aragón
Noviembre 2014	201411	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1387	Aragón
Noviembre 2014	201411	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	200	Aragón
